State Facility Type 1 Literal,Email Address,License Number,Facility Name,Licensee,Address,City,Zip Code,County,Capacity,Phone Number,State
ASSISTED LIVING FACILITY,jenmc@wyoming.com,15016,Warm Valley Lodge Assisted Living,DUBOIS ASSISTED LIVING INC,5643 US HWY 26,Dubois,82513,Fremont,25,307-455-2645,WY
ASSISTED LIVING FACILITY,aanderson@hmsmt.com,15303,Mountain Lodge Llc,,1110 BIRCH STREET,Douglas,82633,Converse,34,307-358-1897,WY
ASSISTED LIVING FACILITY,joy@cjrny.com,15352,Compassionate Journey Llc,,624 TWIN RIDGE  AVE,Evanston,82930,Uinta,16,307-444-8969,WY
ASSISTED LIVING FACILITY,willowcreekofevanston@gmail.com,15260,Willow Creek Homes Of Evanston,,1949 WEST UINTA ST,Evanston,82930,Uinta,16,307-444-4483,WY
ASSISTED LIVING FACILITY,opspecialist@primroseretirement.com,15019,Primrose Retirement Community Of Gillette,GILLETTE RETIREMENT LLC,921 MOUNTAIN MEADOW LANE,Gillette,82716,Campbell,45,307-682-8800,WY
ASSISTED LIVING FACILITY,bobbijo.drozd@missionhealthservices.org,15274,Mission At The Villa,,1445 UINTA DR,Green,WY,Sweetwater,27,307-872-4690,WY
ASSISTED LIVING FACILITY,arikaalong@gmail.com,15021,Showboat Retirement Center,,150 WYOMING ST,Lander,82520,Fremont,50,307-332-6788,WY
ASSISTED LIVING FACILITY,rschriner@edgewoodmail.com,15283,Spring Wind Assisted Living Community,EMG LARAMIE LLC,1072 NORTH 22ND ST,Laramie,82072,Albany,117,307-755-5811,WY
ASSISTED LIVING FACILITY,smoore8@nbhh.com,15023,New Horizons Assisted Living Facility,,1111 LANE 12,Lovell,82431,Big Horn,9,307-548-5200,WY
ASSISTED LIVING FACILITY,mondellheights@gmail.com,15024,Mondell Heights Retirement Community,BAIRD HUDSON ENTERPRISES LLC,106 EAST MAIN,Newcastle,82701,Weston,23,307-941-1919,WY
ASSISTED LIVING FACILITY,scoguill@pvhc.org,15025,Heartland Assisted Living,,777 AVE H,Powell,82435,Park,24,307-754-2267,WY
ASSISTED LIVING FACILITY,jeff@deertrailassistedliving.com,15026,Deer Trail Assisted Living,EP-RSAL LLC,2360 REAGAN AVE,Rock,WY,Sweetwater,62,307-362-0100,WY
ASSISTED LIVING FACILITY,homestead@wyoming.com,15250,Homestead Assisted Living,,950 HOMESTEAD AVE,Riverton,82501,Fremont,55,307-856-5789,WY
ASSISTED LIVING FACILITY,tamara.yelton-boone@elmcroft.com,15289,Elmcroft Of Sugarland Ridge,,1551 SUGARLAND DRIVE,Sheridan,82801,Sheridan,65,307-674-5575,WY
ASSISTED LIVING FACILITY,wjohnson60@yahoo.com,15028,Sundance Assisted Care,,108 ABBY LANE,Sundance,82729,Crook,15,307-283-1042,WY
ASSISTED LIVING FACILITY,emerritt@silverstar.com,15029,Legacy Homes Assisted Living & Adult Day Care,,2391 MUDDY STRING CO RD 117,Thayne,83127,Lincoln,16,307-883-3800,WY
ASSISTED LIVING FACILITY,julie.hoffman@wyo.gov,15030,Wyoming Pioneer Home,,141 PIONEER HOME DR,Thermopolis,82443,Hot Springs,61,307-864-3151,WY
ASSISTED LIVING FACILITY,josie.lauck@pcmnh.com,15231,Platte County Assisted Living,,98 19TH ST,Wheatland,82201,Platte,16,307-322-7400,WY
