Facility Name,Address,Phone Number,Capacity,City,Zip Code,State,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal,County,Licensee,License Number,Facility ID
Your Loving Care Housing,734 MARIGOLD ST,(252) 813-5960,10.0,Rocky Mount,27801,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Arbor Ridge At   Kernersville,1237 MASTEN DRIVE,(336) 993-0160,32.0,Kernersville,27284,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Arbor Ridge At   Stanleyville,350 ARBOR VIEW   LANE,(336) 377-2195,48.0,Winston-Salem,27105,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
My  Brother'S Keeper,208 OAK  STREET,(252) 521-3809,3.0,Snow Hill,28580,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Abbotswood At Irving Park,3504 FLINT ST,"                            (336) 282-8870
                        ",228.0,Greensboro,27405,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Silver Bluff Village -  Arrowhead Cove,100 SILVER BLUFF DRIVE,"                            (828) 648-2044
                        ",0.0,Canton,28716,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
The Meadows At Spicewood Cottages,59 LOVING WAY,(828) 456-8365,0.0,Clyde,28721,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Lake Point Landing,333 THOMPSON   STREET,(828) 693-7800,197.0,Hendersonville,28792,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Sunnybrook Assisted Living,306 SPRING ST,(828) 693-5417,46.0,Hendersonville,28739,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
The Bridge At Lake Pointe   Landing,334 THOMPSON   STREET,"                            (828) 692-7601
                        ",73.0,Hendersonville,28792,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Tore'S  Home #23,25  TORE'S DR,"                            (828) 513-5087
                        ",8.0,East Flat Rock,28726,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Tore'S Home #24,31 TORE'S DRIVE,(828) 697-7522,6.0,East Flat Rock,28726,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Katie’S House,842 NC HWY 461,(252) 332-5201,0.0,Ahoskie,27910,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Biltmore @ Home,522 BILTMORE STREET,(704) 996-3996,0.0,Mooresville,28115,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Biltmore @ Home #2,518 BILTMORE STREET,(704) 996-3996,3.0,Mooresville,28115,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Blessed Hands Care,313 SOUTH GARDNER AVE.,(919) 502-9227,8.0,Kenly,27542,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Community Based Solutions/ Harper House Of Hope,300 S. SHARPE STREET,(919) 634-9937,0.0,Selma,27576,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Restoration  Living Center, Llc",203 WEST 6TH STREET,"                            (919) 333-5511
                        ",2.0,Kenly,27542,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Agape Multi Assisted Housing  Service,1111 CANDLEWOOD ST.,"                            (252) 916-3173
                        ",3.0,Kinston,25801,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Cohomes At  Harrowfield,11308 HARROWFIELD,(704) 272-1777,3.0,Charlotte,28226,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Lakeside Place, Inc.",7210 LAKESIDE DRIVE,"                            (704) 563-1341
                        ",6.0,Charlotte,28215,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Lakeside Place, Inc. #2",7725 LINDA LAKE DRIVE,(704) 563-1341,6.0,Charlotte,28215,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Madison Saints Paradise   South,1821 BISHOP MADISON   LANE,"                            (704) 264-0137
                        ",14.0,Charlotte,28216,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
One  Step Forward Housing Services,4531  BELLE PLAIN DR,(704) 496-1186,5.0,Charlotte,28213,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
,,,0.0,,,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Progressive Recovery Resources,9811 CENTRAL DRIVE,(704) 891-6404,2.0,Charlotte,28205,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Progressive Recovery Resources Homes At Tuckaseegee,5805 TUCKASEEGEE RD,(704) 891-6404,2.0,Charlotte,28205,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
The Dorchester   South,12930 DORMAN ROAD,(704) 541-0016,190.0,Pineville,28134,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
The Manor,12910 DORMAN ROAD,(704) 541-0016,117.0,Pineville,28134,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Mt. Gilead Independent  Senior & Assisted Living,110 ROOSEVELT ST.,(910) 439-1635,30.0,Mt. Gilead,27306,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Breckenridge Independent Living Suites,2500 HUNTER RD.,(252) 443-5400,16.0,Rocky Mount,27804,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Hope Assisted Living Facility,507 1ST. STREET,(252) 969-2132 ,3.0,Spring Hope,27882,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Hosanna Forever,121 SHANNON COURT,(252) 469-4763,8.0,Rocky Mount,27804,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
House Of Hope,1420 SOUTH FRANKLIN STREET,(252) 886-3464,6.0,Rocky Mount,27803,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Khloe'S House,418 WESTERN AVENUE,(252) 469-3247 ,0.0,Rocky Mount,27804,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Legacy Multi-Unit Home,608 E. COCKRELL DR., ,15.0,Nashville,27856,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Little Solutions,1013 NASHVILLE ROAD,(252) 984-0417 ,0.0,Rocky Mount,27803,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Moore House Ii,213 E. LUCILLE STREET,(252) 459-6469,15.0,Nashville,27856,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Oakdale Residential Services,400 OAKDALE ROAD,(252) 360-9806 ,12.0,Rocky Mount,27804,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
The New Care Group,453 GOLDEN VILLAS DRIVE,(252) 908-0611,12.0,Rocky Mount,27804,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Your Loving Care Housing 2,816 PAUL ST,(252) 813-5960 ,4.0,Rocky Mount,27803,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Cambridge Village Of Wilmington,75 CAVALIER DRIVE,"                            (910) 239-9500
                        ",124.0,Wilmington,28405,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Arbor Landing At Hampstead,13937 US-17,(910) 406-1451,127.0,Hampstead,28443,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Eden House,4271 HIGH STREET,(252) 216-2600,12.0,Ayden,28513,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
House Of Chance,2458 JAY CIRCLE,(252) 917-1167,2.0,Greenville,27858,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Spring Waters,1643 VOA SITE-C ROAD,(252) 267-3745 ,4.0,Greenville,27834,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Trinity Home Multiunit Assisted Housing With Services,207 WALTER CIRCLE,(252) 216-2600,12.0,Winterville,28590,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
The Cross Road Rest And Retirement   Center,1302 OLD COX ROAD,336-629-7811,107.0,Asheboro,27205,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Cedar Senior Living 2,2275 HB LEWIS RD,(910) 596-2195,0.0,Clinton,83280,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Ridgecrest Retirement,1000 RIDGECREST   LANE,(336) 755-2960,114.0,Mount Airy,27030,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
College Walk Inn,55 COLLEGE LANE,(828) 884-5800,27.0,Brevard,28712,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Caresmatic  Estates, Llc",808  BENMORE CIRCLE,(704) 737-8217,18.0,Waxhaw,28173,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Abbotswood At Stonehenge,7900 CREEDMOOR RD,919-847-3202 ,144.0,Raleigh,67613,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Atria Oakridge,10810 SANDY OAK LANE,(919) 848-2088 ,211.0,Raleigh,27614,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Brookdale Of North Raleigh,1200 CARLOS DR.,(919) 334-2222 ,163.0,Raleigh,27609,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Cambridge Village Of Apex,10000 CAMBRIDGE VILLAGE LOOP,(919) 363-2080 ,119.0,Apex,27502,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Independence Village Of Olde Raleigh,3112 CHARLES B. ROOT WYND,(919) 781-8226 ,117.0,Raleigh,27612,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Magnolia Glen,5301 CREEDMOOR RD,(919) 844-4747 ,170.0,Raleigh,27612,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Preston Pointe,1995 NW CARY PARKWAY,(919) 460-8141 ,218.0,Morrisville,27560,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Summit Senior Homes Llc,4441 SIX FORKS RD,(919) 338-4161 ,14.0,Raleigh,27609,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Treeo-Raleigh,2722 SPRING FOREST ROAD,(919) 863-7770,158.0,Raleigh,27616,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Woodland Terrace,300 KILDAIRE WOODS DRIVE,(919) 465-0356 ,88.0,Cary,27511,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Appalachian/Brian Estates, Incorporated",163 SHADOWLINE DR.,(828) 264-1006,83.0,Boone,28607,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Better Home Residential Services,201 S. BERKELEY BLVD,(919) 587-7788,9.0,Goldsboro,27534,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Sozo Family Multiunit,900 FRANKLIN STREET,(252) 747-3008,12.0,Goldsboro,27530,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Sunset Place Phase I,1001 SUNSET PLACE,(919) 988-2377,3.0,Goldsboro,27534,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Atiya'S Loving Arms,1108 GROVE ST,(919) 502-9124 ,4.0,Wilson,27893,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
B&B 4 Lyfe,3903 HART AVE.,(252) 315-5794 ,0.0,Wilson,27896,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Beloved Care,4106 BELAND DRIVE,(252) 289-7230,3.0,Wilson,27896,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Daniels Love & Care,1715 WALLACE DR.,(919) 502-9207 ,7.0,Wilson,27893,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Destiny Helping Hands,403 MOUNT VERNON,(252) 366-1939 ,0.0,Wilson,27896,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Enriched Housing Solutions,504 POE STREET,(252) 548-4448,7.0,Wilson,27893,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Extended Housing With Services,205 HILL ST.,(252) 674-7589,4.0,Wilson,27893,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Infinity Loving Care,517 GROVE ST.,(252) 363-0207 ,3.0,Wilson,27893,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Jade'S Love, Llc",1007 BELMONT ST.,(252) 236-8143 ,1.0,Wilson,27893,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Refuge Life House,1708 BYWOOD DRIVE, ,0.0,Se Wilson,27893,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Restart Independence, Llc",1608 WOODSIDE DRIVE,(919) 502-9414,8.0,Wilson,27893,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Restoration Living Center Ii, Llc",702 ENGLEWOOD DRIVE,(919) 295-2429 ,3.0,Kenly,27542,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Sarah Ella’S House,7441 NC HWY 33 NW, ,3.0,Tarboro,27886,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Sevyn Kreations Residential Service, Llc",3643 LONGLEAF DRIVE,(252) 296-8027,8.0,Elm City,27822,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Sj’S House Of Love,218 LILLIAN RD,(252) 290-7533,18.0,Wilson,27893,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Sunshine'S Haven,3642 LONGLEAF DRIVE,(252) 281-3967 ,3.0,Elm City,27822,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Share-A-Home Of Yadkin County,   Inc.",2800 WOODRUFF   ROAD,(336) 367-5420,12.0,Boonville,27011,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
A Vision Come True,220 HATCH STREET,(336)227-4960,12.0,Burlington,27217,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,VISION COME TRUE INC.,HAL-001-103,30407.0
Alamance House,2766 GRAND OAKS BOULEVARD,(336)261-0021,94.0,Burlington,27215-8100,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"BURLINGTON AL HOLDINGS I, LLC",HAL-001-148,100775.0
Blakey Hall Assisted Living,501 BLAKEY HALL LANE,(336)506-2300,72.0,Elon,27244,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"BLAKEY HALL ASSOCIATES, A NC LIMITED PARTNERSHIP",HAL-001-023,980084.0
Brookdale Burlington,3619 SOUTH MEBANE STREET,(336)584-9636,52.0,Burlington,27215,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"SOUTHERN ASSISTED LIVING, LLC",HAL-001-028,980270.0
Brookdale Burlington Al (Nc),3615 SOUTH MEBANE STREET,(336)584-9066,84.0,Burlington,27215,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"SOUTHERN ASSISTED LIVING, LLC",HAL-001-024,970513.0
Burlington Care Center,2201 BURCH BRIDGE ROAD,(336)222-1077,12.0,Burlington,27217,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,LAWANDA J. RAY,HAL-001-002,920146.0
Elon Village Home,715 EAST HAGGARD AVENUE,(336)584-7930,12.0,Elon,27244,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"ELON VILLAGE HOMES, INC",HAL-001-128,921291.0
Golden Years Assisted Living,209 E. SIXTH STREET,(336)229-5165,12.0,Burlington,27215-5730,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,A. EVELYN LOVE,HAL-001-026,921138.0
Golden Years Assisted Living Ii,205-B EAST 6TH STREET,(336)222-9131,12.0,Burlington,27215-5730,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,A. EVELYN LOVE,HAL-001-099,970514.0
Homeplace Of Burlington,118 ALAMANCE ROAD,(336)227-2328,67.0,Burlington,27215,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,SNH SE BURLINGTON TENANT LLC,HAL-001-141,970680.0
Mebane Ridge Assisted Living,1999 SOUTH NC HWY. 119,(919)568-0083,100.0,Mebane,27302,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"MEBANE RIDGE ASSISTED LIVING, LLC",HAL-001-159,130248.0
Pleasant Grove Retirement Home,4516 N NC HIGHWAY 49,(336)578-0441,12.0,Burlington,27217,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,ROBERT F. MCCORMICK 'ET AL',HAL-001-008,920953.0
Springview - Brock Building,1032 C N. MEBANE STREET,(336)227-3808,12.0,Burlington,27217-4133,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"SPRINGVIEW SENIOR LIVING, INC.",HAL-001-161,955712.0
Springview - Crouse Building,613 W. WHITSETT STREET,(336)222-6999,12.0,Graham,27253-1635,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"SPRINGVIEW SENIOR LIVING, INC.",HAL-001-162,980775.0
Springview - Ross Building,1032 B NORTH MEBANE STREET,(336)227-4417,12.0,Burlington,27217-4133,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"SPRINGVIEW SENIOR LIVING, INC.",HAL-001-164,960837.0
Springview - Stewart Building,611 W. WHITSETT STREET,(336)222-1888,12.0,Graham,27253-1635,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,"SPRINGVIEW SENIOR LIVING, INC.",HAL-001-163,279.0
The Oaks Of Alamance,1670 WESTBROOK AVENUE,(336)584-3070,69.0,Burlington,27215,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alamance,THE OAKS OF ALAMANCE LLC,HAL-001-134,921211.0
A New Outlook Of Taylorsville,668 WOOD ROAD,(828)635-8350,34.0,Taylorsville,28681,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alexander,"A NEW OUTLOOK OF TAYLORSVILLE, INC",HAL-002-007,920080.0
Faith Assisted Living Facility,"3032 N.C. HIGHWAY 16, SOUTH",(828)303-8343,32.0,Taylorsville,28681,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alexander,"FAITH ASSISTED LIVING FACILITY, LLC",HAL-002-008,921096.0
