XFCOUNTY,XFACILITY,XCAP,LLICENSEE,XSADDR,XSCITY,XSSTATE,XSZIP,XFADDR1,XFADDR2,XFCITY,XFSTATE,XFZIP,XFPHONE,XFFAX,LLICENSNO,XFID,XSTATUS,STARS
Alamance,Mebane Ridge Assisted Living,100,"Mebane Ridge Assisted Living, LLC",1999 South NC Hwy. 119,Mebane,NC,27302,853 Old Winston Road,Suite118,Kernersville,NC,27284,(919)568-0083,(919)568-0147,HAL-001-159,130248,Active,4
Alamance,Pleasant Grove Retirement Home,12,Robert F. McCormick 'et al',4516 N NC Highway 49,Burlington,NC,27217,4516 N NC Highway 49,,Burlington,NC,27217,(336)578-0441,(336)578-2222,HAL-001-008,920953,Active,3
Alamance,Springview - Brock Building,12,"Springview Senior Living, Inc.",1032 C N. Mebane Street,Burlington,NC,27217-4133,PO Box 2175,,Burlington,NC,27216-2175,(336)227-3808,(336)222-1935,HAL-001-161,955712,Ownership Changed,4
Alamance,Springview - Crouse Building,12,"Springview Senior Living, Inc.",613 W. Whitsett Street,Graham,NC,27253-1635,PO Box 2175,,Burlington,NC,27216-2175,(336)222-6999,(336)222-1935,HAL-001-162,980775,Ownership Changed,4
Alamance,Springview - Ross Building,12,"Springview Senior Living, Inc.",1032 B North Mebane Street,Burlington,NC,27217-4133,PO Box 2175,,Burlington,NC,27216-2175,(336)227-4417,(336)222-1935,HAL-001-164,960837,Ownership Changed,4
Alamance,Springview - Stewart Building,12,"Springview Senior Living, Inc.",611 W. Whitsett Street,Graham,NC,27253-1635,PO Box 2175,,Burlington,NC,27216-2175,(336)222-1888,(336)222-1935,HAL-001-163,279,Ownership Changed,3
Alamance,The Oaks of Alamance,69,The Oaks of Alamance LLC,1670 Westbrook Avenue,Burlington,NC,27215,1670 Westbrook Avenue,,Burlington,NC,27215,(336)584-3070,(336)584-3458,HAL-001-134,921211,Active,3
Alexander,A New Outlook of Taylorsville,34,"A New Outlook of Taylorsville, Inc",668 Wood Road,Taylorsville,NC,28681,P.O. Box 1693,,Sanford,NC,27331-1693,(828)635-8350,(828)635-8353,HAL-002-007,920080,Active,2
Alexander,Faith Assisted Living Facility,32,"Faith Assisted Living Facility, LLC","3032 N.C. Highway 16, South",Taylorsville,NC,28681,3032 NC Hwy 16 S,,Taylorsville,NC,28681,(828)303-8343,(828)635-7333,HAL-002-008,921096,Ownership Changed,0
Alexander,Taylorsville House,60,"Taylorsville House, LLC",350 School Drive,Taylorsville,NC,28681-2340,PO Box 26255,,Winston Salem,NC,27114,(828)635-8989,(828)635-5554,HAL-002-003,971401,Active,4
Anson,Meadowview Terrace of Wadesboro,60,"JFC Meridian Opco-Wadesboro, LLC",123 Anson High School Road,Wadesboro,NC,28170,PO Box 26255,,Winston Salem,NC,27114,(704)994-9050,(704)695-1044,HAL-004-003,40187,Active,0
Ashe,Ashe Assisted Living and Memory Care,55,"Ashe Services for Aging, Inc",182 ChattyRob Lane,West Jefferson,NC,28694,182 ChattyRob Lane,,West Jefferson,NC,28694,(336)846-6200,(336)846-6202,HAL-005-013,70051,Active,3
Ashe,Forest Ridge,60,"Forest Ridge Assisted Living , LLC",151 Village Park Drive,West Jefferson,NC,28694,853 Old Winston Road Suite 118,,Kernersville,NC,27284,(336)846-1008,(336)846-1147,HAL-005-015,20751,Active,4
Avery,Cranberry House,60,"WP-Newland Health Holdings, LLC",6215 N.  US 19 E Highway,Newland,NC,28657-9447,P.O. Box 26255,,Winston Salem,NC,27114,(828)733-5558,(828)733-5207,HAL-006-007,980293,Active,4
Avery,The Heritage of Sugar Mountain,40,"The Heritage of Sugar Mountain, LLC",264 Sugar Mtn. #2 Road,Newland,NC,28657-9998,264 Sugar Mtn. #2 Road,,Newland,NC,28657,(828)733-6249,(828)733-0358,HAL-006-005,921117,Active,3
Beaufort,Autumnfield of Belhaven,64,Billie Albritton,1345 Seed Tick Neck Road,Pinetown,NC,27865,P O Box 459,,Belhaven,NC,27810,(252)964-2490,(252)964-2494,HAL-007-001,920053,Active,4
Beaufort,Clara Manor,20,Sovereign Healthcare LLC,1218 Pamlico Street,Washington,NC,27889,PO Box 724,,Washington,NC,27889,(252)946-2481,(252)946-6356,HAL-007-014,920354,Active,2
Beaufort,Pantego Rest Home,30,"Sovereign Healthcare, LLC",143 Swamp Road,Pantego,NC,27860,P.O. BOX 724,,Washington,NC,27889,(252)944-0075,(252)944-0257,HAL-007-015,921132,Active,1
Beaufort,Washington Manor,9,John S. Asby & Kimberly Ann Asby,609 West 2nd Street,Washington,NC,27889,1270 Seymour Price Road,,Jamesville,NC,27846,(252)946-1701,(252)946-1701,HAL-007-019,941309,Active,4
Beaufort,Willow Manor,34,Eakes Investment LP,4288 Highway 17 South,Chocowinity,NC,27817,P O Box 149,,Kure Beach,NC,28449,(910)458-5635,(910)458-3177,HAL-007-023,920959,Ownership Changed,4
Bertie,Windsor House,60,"WP-Windsor Health Holdings, LLC",336 South Rhodes Avenue,Windsor,NC,27983-9611,P.O. Box 26255,,Winston Salem,NC,27114,(252)794-9333,(252)794-5178,HAL-008-034,971515,Active,3
Bertie,Winston Gardens,25,"Sovereign Healthcare, LLC",205 Watson Street,Windsor,NC,27983,P O Box 724,,Washington,NC,27889,(252)484-1048,(252)484-1096,HAL-008-041,921362,Active,1
Bladen,Bladen Manor Assisted Living,60,"Bladen Manor Assisted Living, LLC",53 South Smith Street,Clarkton,NC,28433,"201 N. Front Street, Suite 805",,Wilmington,NC,28401,(910)647-2421,(910)647-0290,HAL-009-029,920162,Active,0
Bladen,West Bladen Assisted Living,60,"West Bladen Assisted Living, LLC",714 Bladen Street,Bladenboro,NC,28320,"201 N Front St, Ste 805",,Wilmington,NC,28401,(910)863-4500,(910)863-3142,HAL-009-025,920537,Active,2
Brunswick,Coastal Pointe,110,"The Brunswick Community, LLC",5220 Ocean Hwy W,Shallotte,NC,28470,201 N Front St,Ste 805,Wilmington,NC,28401,(910)713-1717,(910)713-1722,HAL-010-012,150394,Active,3
Brunswick,Elmcroft of Southport,96,"EC Opco Southport, LP",1125 E Leonard Street,Southport,NC,28461,"5885 Meadows Rd., Suite 500",,Lake Oswego,OR,97035,(910)454-4001,(910)454-0300,HAL-010-010,459,Ownership Changed,3
Brunswick,Leland House,78,"Leland House, LLC",1935 Lincoln Road,Leland,NC,28451-9187,P.O. Box 26255,,Winston-Salem,NC,27114,(910)383-6235,(910)383-6248,HAL-010-007,960422,Active,0
Brunswick,Ocean Isle Operations,40,"Ocean Isle Operations, LLC",5490 Arbor Branch Drive,Shallotte,NC,28470,853 Old Winston Road,Suite 118,Kernersville,NC,27284,(910)754-8080,(910)754-8087,HAL-010-011,150390,Ownership Changed,3
Brunswick,Shallotte Assisted Living,80,"Johnson Adult Care, LLC",520 Mulberry Street,Shallotte,NC,28470,PO Box 1803,,Shelby,NC,28151,(910)754-6621,(910)754-6122,HAL-010-008,940164,Active,0
Brunswick,The Landings of Oak Island,0,"Brunswick Opco Holdings, LLC",2910 Pine Plantation Parkway,Oak Island,NC,28461,PO Box 26255,,Winston Salem,NC,27114,(910)540-2578,(828)330-4505,HAL-010-013,150395,New,0
Buncombe,Arbor Terrace of Asheville,70,"ARHC ATASHNC01 TRS, LLC",3199 Sweeten Creek Road,Asheville,NC,28803,3199 Sweeten Creek Road,,Asheville,NC,28803,(404)237-4026,(828)681-5533,HAL-011-338,970842,Active,4
Buncombe,Becky's Rest Home #1,15,"Becky's Rest Home #1, Inc",316 Lower Brush Creek Road,Fletcher,NC,28732,316 Lower Brush Creek Road,,Fletcher,NC,28732,(828)628-3395,(828)628-9931,HAL-011-002,920075,Active,3
Buncombe,Becky's Rest Home #2,15,"Becky's Rest Home, Inc",316 Lower Brush Creek Road,Fletcher,NC,28732,316 Lower Brush Creek Road,,Fletcher,NC,28732,(828)628-1943,(828)628-9931,HAL-011-003,920076,Active,3
Buncombe,Brookdale Asheville Overlook,79,"Southern Assisted Living, LLC",308 Overlook Road,Asheville,NC,28803,308 Overlook Road,,Asheville,NC,28803,(828)684-1982,(828)684-1917,HAL-011-036,920036,Active,4
Buncombe,Brookdale Asheville Walden Ridge,38,"Brookdale Senior Living Communities, Inc.",4 Walden Ridge Drive,Asheville,NC,28803,4 Walden Ridge Drive,,Asheville,NC,28803,(828)687-0155,(828)687-0511,HAL-011-035,980697,Active,4
Buncombe,Candler Living Center,29,"Integrity - Candler Living Center, LLC",136 Robinson Cove Road,Candler,NC,28715,3053 S. Church Street,,Burlington,NC,27215,(828)667-4453,(828)667-4296,HAL-011-369,920447,Active,3
Buncombe,Chase Samaritan Assisted Living,54,"Davis & Davis Associates, LLC",30 Dalea Drive,Asheville,NC,28805,100 N Wentworth Drive,,Mocksville,NC,27028,(828)298-7592,(828)298-7598,HAL-011-133,921153,Active,3
Buncombe,Chunn's Cove Assisted Living,67,"Chunn's Cove of Asheville, LLC",67 Mountain Brook Road,Asheville,NC,28805,67 Mountain Brook Road,,Asheville,NC,28805,(828)258-8787,(828)258-0351,HAL-011-262,960749,Active,3
Buncombe,Flesher's Fairview Rest Home,64,"Flesher's Fairview Rest Home, Inc",3016 Cane Creek Road,Fairview,NC,28730,P O Box 1160,,Fairview,NC,28730,(828)628-1066,(828)628-4871,HAL-011-005,920387,Active,4
Buncombe,Harmony at Reynolds Mountain,99,"Buncombe Operations, LLC",41 Cobbler's Way,Asheville,NC,28804,41 Cobbler's Way,,Asheville,NC,28804,(828)575-0627,(828)424-7192,HAL-011-361,140015,Active,3
Buncombe,Heather Glen At Ardenwoods,60,"Arden Retirement, LLC",103 Appalachian Boulevard,Arden,NC,28704,2400 Appalachian Boulevard,,Arden,NC,28704,(828)687-7321,(828)687-0229,HAL-011-371,980995,Active,3
Buncombe,Hominy Valley Retirement Center,30,"Integrity - Hominy Valley, LLC",2189 Smokey Park Highway,Candler,NC,28715,3053 S. Church Street,,Burlington,NC,27215,(828)667-0158,(828)667-0134,HAL-011-370,921323,Active,4
Buncombe,Marjorie McCune Memorial Center,64,Western North Carolina Lion's Inc,101 Lions Way,Black Mountain,NC,28711,101 Lions Way,,Black Mountain,NC,28711,(828)669-8452,(828)669-2377,HAL-011-011,920722,Active,4
Buncombe,"Richard A. Wood, Jr. Assisted Living Center",56,"Givens Estates, Inc.",100 Wesley Drive,Asheville,NC,28803,2360 Sweeten Creek Road,,Asheville,NC,28803,(828)274-4800,(828)771-2233,HAL-011-130,10236,Active,4
Buncombe,Richmond Hill Rest Home #1,12,Asheville Geriatric. LLC,95 Richmond Hill Road,Asheville,NC,28806,1121 Baltusrol Ln,,Waxhaw,NC,28173,(828)252-6229,(828)236-9486,HAL-011-376,921006,Ownership Changed,4
Buncombe,Richmond Hill Rest Home #2,12,"Asheville Geriatric, LLC",95 Richmond Hill Road,Asheville,NC,28806,1121 Baltusrol Ln,,Waxhaw,NC,28173,(828)252-6229,(828)236-9486,HAL-011-375,921007,Ownership Changed,3
Buncombe,Richmond Hill Rest Home #3,12,"Asheville Geriatric, LLC",95 Richmond Hill Road,Asheville,NC,28806,1121 Baltusrol Ln,,Waxhaw,NC,28173,(828)252-6229,(828)236-9486,HAL-011-374,921008,Ownership Changed,3
Buncombe,Richmond Hill Rest Home #4,12,"Asheville Geriatric, LLC",95 Richmond Hill Road,Asheville,NC,28806,1121 Baltusrol Ln,,Waxhaw,NC,28173,(828)252-6229,(828)236-9486,HAL-011-373,921009,Ownership Changed,4
Buncombe,Richmond Hill Rest Home #5,12,"Asheville Geriatric, LLC",95 Richmond Hill Road,Asheville,NC,28806,1121 Baltusrol Ln,,Waxhaw,NC,28173,(828)252-6229,(828)236-9486,HAL-011-372,921010,Ownership Changed,4
Buncombe,Trinity View,24,"Lutheran Retirement Center at Lutheridge, Inc.",2533 Hendersonville Road,Arden,NC,28704,2533 Hendersonville Road,,Arden,NC,28704,(828)687-0068,(828)684-8929,HAL-011-022,920279,Active,4
Buncombe,Windwood Assisted Living,12,Mountain Area Enterprises Inc,6 Windwood Dr,Candler,NC,28715,PO Box 910,,Candler,NC,28715,(828)665-1021,(828)667-1012,HAL-011-296,921358,Active,3
Burke,Burke Long Term Care,24,"Burke Rest Home, Inc",125 Camellia Garden Street,Morganton,NC,28655,125 Camellia Garden Street,,Morganton,NC,28655,(828)433-5875,(828)433-7022,HAL-012-042,920145,Ownership Changed,3
Burke,Cambridge House,60,"DePaul Adult Care Communities, Inc",114 Tenth Street NE,Hildebran,NC,28637,114 Tenth Street NE,,Hildebran,NC,28637,(828)325-4980,(828)325-4982,HAL-012-010,971201,Active,4
Burke,Jonas Ridge Adult Care,57,"RenCare Solutions, Inc",9051 Hwy 181,Jonas Ridge,NC,28641,PO Box 471,,Newland,NC,28657,(828)733-2224,(828)733-2229,HAL-012-040,920610,Active,4
Burke,McAlpine Adult Care,60,"Integrity-McAlpine Adult Care, LLC",3806 Kathy Road,Morganton,NC,28655,3053 S. Church Street,,Burlington,NC,27215,(828)584-4513,(828)584-4513,HAL-012-041,940740,Active,4
Burke,"Morganton Long Term Care, Southview Facility",64,"Morganton Long Term Care, Inc.",151 Southview Street,Morganton,NC,28655,151 Southview Street,,Morganton,NC,28655,(828)433-5069,(828)433-6286,HAL-012-007,956885,Active,3
Burke,The Berkeley,63,"Morganton Opco Holdings, LLC",330 Juniper Street,Morganton,NC,28655,PO Box 26255,,Winston Salem,NC,27114,(828)433-7400,(828)604-4602,HAL-012-043,150436,Active,3
Cabarrus,Brookdale Concord Parkway,112,"Southern Assisted Living, LLC",2452 Rock Hill Church Road NW,Concord,NC,28027,2452 Rock Hill Church Road NW,,Concord,NC,28027,(704)782-7594,(704)786-3173,HAL-013-019,960773,Active,4
Cabarrus,Caremoor Retirement Center,30,"Caremoor Retirement Center, Inc.",4876 Caremoor Place,Kannapolis,NC,28081,4876 Caremoor Place,,Kannapolis,NC,28081,(704)938-2927,(704)933-7522,HAL-013-007,930169,Active,4
Cabarrus,Concord Place,60,"Concord BG OPCO, LLC",1501 Zion Church Road,Concord,NC,28025,330 North  Wasbash # 3700,,Chicago,IL,60611,(704)782-1100,(704)721-3144,HAL-013-045,960405,Active,3
Cabarrus,Elmcroft of Harrisburg,96,"EC Opco Harrisburg, LP",6200 Roberta Road,Harrisburg,NC,28075,5885 Meadows Rd. Suite 500,,Lake Oswego,OR,97035,(704)455-6226,(704)455-4080,HAL-013-048,960654,Ownership Changed,4
Cabarrus,Morningside of Concord,105,SNH NC Tenant LLC,"500 Penny Lane, NE",Concord,NC,28025,400 Centre St,,Newton,MA,2458,(704)795-1200,(704)795-1210,HAL-013-047,960752,Ownership Changed,4
Cabarrus,Mt. Pleasant House,74,"WP-Mt Pleasant Health Holdings, LLC",935 Page Street,Mt. Pleasant,NC,28124-9735,PO Box 26255,,Winston Salem,NC,27114,(704)436-2923,(704)436-2338,HAL-013-041,920835,Active,4
Cabarrus,St. Andrews Living Center,56,"St. Andrews Living Center, Inc",246 Cabarrus Avenue West,Concord,NC,28025,P. O. Box 143,,Concord,NC,28026,(704)788-1018,(704)788-1015,HAL-013-006,921139,Active,4
Cabarrus,The Country Home,40,K & B Adult Care LLC,2908 Country Home Road,Concord,NC,28025,P.O. Box 1803,,Shelby,NC,28151,(704)782-5288,(704)782-5304,HAL-013-042,921184,Active,2
Cabarrus,The Landings of Cabarrus,67,"Cabarrus AL Holdings, LLC",4968 Milestone Avenue,Kannapolis,NC,28081,P.O. Box 26255,,Winston Salem,NC,27114,(704)933-4000,(704)933-7157,HAL-013-046,140292,Active,3
Cabarrus,The Living Center of Concord,180,"MPV Enterprises, LLC",160 Warren C. Coleman Blvd. N,Concord,NC,28027,160 Warren C. Coleman Blvd. N,,Concord,NC,28027,(704)793-4760,(704)793-4764,HAL-013-044,920384,Active,0
Caldwell,Brockford Inn,67,"Camelot Manor, Inc",56 N. Highland Avenue,Granite Falls,NC,28630,PO Box 58,,Granite Falls,NC,28630-1205,(828)396-3111,(828)396-5822,HAL-014-014,920158,Active,2
Caldwell,Brookdale Lenoir,82,"Southern Assisted Living, LLC",1145 Powell Road NE,Lenoir,NC,28645,1145 Powell Road NE,,Lenoir,NC,28645,(828)757-7800,(828)757-7804,HAL-014-010,970705,Active,4
Caldwell,Grace Village Assisted Living,60,"Grace Village, Inc.","229 Wilson Street, NW",Lenoir,NC,28645,PO Box 1678,,Clemmons,NC,27012,(828)754-6106,(828)758-0539,HAL-014-016,920552,Active,0
Caldwell,Grandview Villa Assisted Living,40,"Grandview Villa Assisted Living, LLC",2544 Grandview Circle SW,Lenoir,NC,28645,2544 Grandview Circle SW,,Lenoir,NC,28645,(828)757-0136,(828)757-0213,HAL-014-015,921118,Active,0
Caldwell,The Shaire Center,82,"The Shaire Center, Inc. / Shaire Too",1450 Shaire Center Drive,Lenoir,NC,28645,PO Box 622,,Hudson,NC,28638,(828)728-6500,(828)728-6545,HAL-014-004,921220,Active,3
Camden,Needham Adult Care Home,24,"Needham FCH, Inc.",916 A Sandy Hook Rd,Shiloh,NC,27974,916 A Sandy Hook Rd,,Shiloh,NC,27974,(252)336-2700,(252)336-2325,HAL-015-002,80592,Active,2
Carteret,Brookdale Morehead City,72,"Southern Assisted Living, LLC",107 Bryan Street,Morehead City,NC,28557,107 Bryan Street,,Morehead City,NC,28557,(252)726-4454,(252)726-9709,HAL-016-006,971005,Active,4
Carteret,Carteret House,64,"Newport AL Holdings, LLC",3020 Market Street,Newport,NC,28570-8708,PO Box 26255,,Winston Salem,NC,27114,(252)223-2600,(252)223-4754,HAL-016-018,945270,Active,1
Carteret,Carteret Landing,110,"Carteret Landing, LLC",221 Friendly Road,Morehead City,NC,28557,853 Old Winston Road,Suite 118,Kernersville,NC,27284,(252)773-0980,(252)773-0979,HAL-016-022,80618,Active,3
Caswell,Caswell House,100,"WP-Yanceyville Health Holdings, LLC",535 US Highway 158 West,Yanceyville,NC,27379-8305,PO Box 26255,,Winston-Salem,NC,27114,(336)694-1555,(336)694-6231,HAL-017-054,60221,Active,3
Caswell,G. Anthony Rucker Rest Home,12,"G. Anthony Rucker Rest Home, Inc",1196 Hodges Dairy Road,Yanceyville,NC,27379,1196 Hodges Dairy Road,,Yanceyville,NC,27379,(336)694-5360,(336)349-2873,HAL-017-040,920934,Active,3
Caswell,Jefferson Care Home,12,Jefferson Care Homes Trust,111 Staley Boswell Road,Yanceyville,NC,27379,106-B S Maple St.,,Graham,NC,27253-2812,(336)524-0355,(336)584-5533,HAL-017-058,920596,Active,4
Catawba,Austin Adult Care,29,The Austin Corporation,511 Bumgarner Industrial Drive,Conover,NC,28613,PO Box 727,,Glen Alpine,NC,28628,(828)466-0300,(828)466-8883,HAL-018-023,920187,Active,3
Catawba,Brookdale Falling Creek,60,"Brookdale Senior Living Communities, Inc.",910 29th Avenue NE,Hickory,NC,28601,910 29th Avenue NE,,Hickory,NC,28601,(828)328-6090,(828)328-3866,HAL-018-011,970652,Active,4
Catawba,Brookdale Hickory Northeast,88,"Southern Assisted Living, LLC","2530 16th Street, N.E.",Hickory,NC,28601,"2530 16th Street, N.E.",,Hickory,NC,28601,(828)324-5400,(828)326-9770,HAL-018-016,944618,Active,4
Catawba,Catawba Valley Living At Rock Barn,80,"Catawba Valley Living, LLC",4174 Shook Road,Claremont,NC,28610,PO Box 1599,,Conover,NC,28613,(828)459-0008,(828)459-1669,HAL-018-024,41372,Active,3
Catawba,Elmcroft of Newton,96,"EC Opco Newton, LP",1088 Radio Station Road,Newton,NC,28658,"5885 Meadows Rd, Suite 500",,Lake Oswego,OR,97035,(828)466-7474,(828)466-7477,HAL-018-036,980168,Ownership Changed,4
Catawba,Heritage Care of Conover,60,"Heritage Care of Conover, LLC",3430 Lester Street,Conover,NC,28613,PO Box 129,,Conover,NC,28613,(828)256-9868,(828)256-4971,HAL-018-018,920525,Active,3
Catawba,Hickory Village,56,"DePaul Adult Care Communities, Inc",427 3rd Avenue S.E.,Hickory,NC,28602,"427 3rd Avenue, SE",,Hickory,NC,28602,(828)322-2230,(828)322-2142,HAL-018-015,970790,Active,4
Catawba,Piedmont Village at Newton,40,P & C Adult Care LLC,1345 Chapman Lane,Newton,NC,28658,1002 Bell Ridge Ct.,,Rockwell,NC,28138,(828)464-6490,(704)856-8196,HAL-018-037,940186,Ownership Changed,3
Catawba,Springs of Catawba,66,"Hickory Health Investors, LLC","2010 29th Avenue Drive, NE",Hickory,NC,28601-7517,P.O. Box 26255,,Winston Salem,NC,27114,(828)326-7200,(828)261-0099,HAL-018-032,960659,Active,4
Catawba,The Alberta House,21,"CHOPAH, Inc.",807 4th St. SW,Conover,NC,28613,807 4th St. SW,,Conover,NC,28613,(828)464-3715,(828)466-0190,HAL-018-030,920267,Active,4
Chatham,Cambridge Hills of Pittsboro,90,"REME, LLC",140 Brookstone Lane,Pittsboro,NC,27312,PO Box 1209,,Pittsboro,NC,27312,(919)545-9573,(919)545-9072,HAL-019-019,990292,Active,4
Chatham,Carolina Meadows Fairways,95,"Carolina Meadows, Inc",700  A Carolina Meadows,Chapel Hill,NC,27517,700 Carolina Meadows,,Chapel Hill,NC,27517,(919)942-4014,(919)929-7808,HAL-019-020,60596,Active,3
Chatham,Chatham Ridge Assisted Living,91,"Chatham Ridge Assisted Living, LLC",114 Polks Village Lane,Chapel Hill,NC,27517,853 Old Winston Road,Suite 118,Kernersville,NC,27284,(919)918-7872,(919)918-7876,HAL-019-021,110283,Active,1
Chatham,Coventry House Of Siler City,86,"Siler City Opco, LLC",260 Village Lake Road,Siler City,NC,27344,PO Box 130,,Sanford,NC,27331,(919)742-4052,(919)742-9362,HAL-019-022,30840,Ownership Changed,4
Chatham,Pittsboro Christian Village,40,"Pittsboro Christian Village, Inc.",1825 East Street,Pittsboro,NC,27312,1825 East Street,,Pittsboro,NC,27312,(919)542-3151,(919)542-5919,HAL-019-006,920950,Active,4
Cherokee,Carolina Care Home #1,12,"Carolina Care Homes, Inc",4021 Pisgah Road,Andrews,NC,28901,PO Box 1300,,Andrews,NC,28901,(828)321-4272,(828)516-0007,HAL-020-001,920175,Active,3
Cherokee,Carolina Care Home #2,12,"Carolina Care Homes, Inc",4025 Pisgah Road,Andrews,NC,28901,PO Box 1300,,Andrews,NC,28901,(828)321-4272,(828)516-0007,HAL-020-002,920176,Active,3
Chowan,Edenton House,60,"WP-Edenton Health Holdings, LLC",323 Medical Arts Drive,Edenton,NC,27932-8608,P.O. Box 26255,,Winston Salem,NC,27114,(252)482-1113,(252)482-3273,HAL-021-009,971527,Active,4
Chowan,Edenton Prime Time Retirement Village,60,Edenton Retirement Community LLC,106 Mark Drive,Edenton,NC,27932,P. O. Box 987,,Edenton,NC,27932,(252)482-4491,(252)482-5138,HAL-021-008,920345,Active,0
Clay,Hayesville House,60,"WP-Hayesville Health Holdings, LLC",480 Old 64 West,Hayesville,NC,28904-7268,P.O. Box 26255,,Winston Salem,NC,27114,(828)389-8700,(828)389-1741,HAL-022-005,60220,Active,4
Cleveland,Brookdale Shelby,60,"Brookdale Senior Living Communities, Inc",1425 E. Marion Street,Shelby,NC,28150,1425 E. Marion Street,,Shelby,NC,28150,(704)481-0150,(704)471-9935,HAL-023-011,970653,Active,3
Cleveland,Cleveland House,72,"Shelby House, LLC",950 Hardin Drive,Shelby,NC,28150-3500,PO Box 26255,,Winston Salem,NC,27114,(704)480-9800,(704)480-9803,HAL-023-045,920681,Active,0
Cleveland,Elmcroft of Shelby,96,"EC Opco Shelby, LP",1550 Charles Road,Shelby,NC,28152,"5885 Meadows Rd., Suite 500",,Lake Oswego,OR,97035,(704)471-2828,(704)471-2829,HAL-023-048,980167,Ownership Changed,2
Cleveland,Golden Years Rest Home,12,Golden Years Rest Home Inc,630 Sugar Hill Road,Lawndale,NC,28090,609 Sugar Hill Road,,Lawndale,NC,28090,(704)538-8855,(704)312-6282,HAL-023-041,920442,Active,2
Cleveland,Kings Mountain Care Center,20,"Kings Mountain Care Center, Inc",115 Ferguson Drive,Kings Mountain,NC,28086,PO Box 997,,Kings Mountain,NC,28086,(704)739-5929,(704)739-1103,HAL-023-031,920631,Active,4
Cleveland,Openview Retirement Center,24,S & V Adult Care LLC,112 Pony Barn Road,Lawndale,NC,28090,PO BOX 1803,,Shelby,NC,28090,(704)538-8026,(704)538-3295,HAL-023-047,940880,Active,3
Cleveland,Shelby Manor,74,"Shelby Opco, LLC",1176 Wyke Road,Shelby,NC,28150,P O Box 26255,,Winston Salem,NC,27114,(704)482-0000,(704)487-0772,HAL-023-046,921104,Active,3
Cleveland,Summit Place of Kings Mountain,65,SNH SE Kings Mtn Tenant LLC,1001 Phifer Road,Kings Mountain,NC,28086,400 Centre St,,Newton,MA,2458,(704)739-6772,(704)739-6449,HAL-023-042,980109,Active,4
Columbus,Tabor Commons,80,"RenCare Solutions, Inc",703 Elizabeth St.,Tabor City,NC,28463,PO BOX 471,,Newland,NC,28657,(910)653-4055,(910)653-4057,HAL-024-015,920244,Active,3
Craven,Brookdale New Bern,60,"Brookdale Senior Living Communities, Inc.",1336 South Glenburnie Road,New Bern,NC,28562,1336 South Glenburnie Road,,New Bern,NC,28562,(252)638-6660,(252)514-6828,HAL-025-012,970888,Active,3
Craven,Croatan Village,72,"Premier Operating Croatan, LLC",4522 Old Cherry Point Road,New Bern,NC,28560,4522 Old Cherry Point Rd.,,New Bern,NC,28560,(252)634-9066,(252)638-9038,HAL-025-037,971021,Active,2
