County,Facility Name,Capacity,Licensee,Address,City,State,Zip Code,Phone Number,License Number,Facility ID,State Facility Type 1 Literal,State Facility Type 2 Literal,Date Accessed
Burke,"Morganton Long Term Care, Southview Facility",64,"Morganton Long Term Care, Inc.",151 Southview Street,Morganton,NC,28655,(828)433-5069,HAL-012-007,956885,Assisted Living Residence,Adult Care Home,6/29/21
Burke,The Berkeley,63,"Morganton Opco Holdings, LLC",330 Juniper Street,Morganton,NC,28655,(828)433-7400,HAL-012-043,150436,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,Brookdale Concord Parkway,112,"Southern Assisted Living, LLC",2452 Rock Hill Church Road NW,Concord,NC,28027,(704)782-7594,HAL-013-019,960773,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,Caremoor Retirement Center,30,"Caremoor Retirement Center, Inc.",4876 Caremoor Place,Kannapolis,NC,28081,(704)938-2927,HAL-013-007,930169,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,Concord Place,60,"Concord BG OPCO, LLC",1501 Zion Church Road,Concord,NC,28025,(704)782-1100,HAL-013-045,960405,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,Elmcroft of Harrisburg,96,"EC Opco Harrisburg, LP",6200 Roberta Road,Harrisburg,NC,28075,(704)455-6226,HAL-013-048,960654,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,Morningside of Concord,105,SNH NC Tenant LLC,"500 Penny Lane, NE",Concord,NC,28025,(704)795-1200,HAL-013-047,960752,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,Mt. Pleasant House,74,"WP-Mt Pleasant Health Holdings, LLC",935 Page Street,Mt. Pleasant,NC,28124-9735,(704)436-2923,HAL-013-041,920835,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,St. Andrews Living Center,56,"St. Andrews Living Center, Inc",246 Cabarrus Avenue West,Concord,NC,28025,(704)788-1018,HAL-013-006,921139,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,The Country Home,40,K & B Adult Care LLC,2908 Country Home Road,Concord,NC,28025,(704)782-5288,HAL-013-042,921184,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,The Landings of Cabarrus,67,"Cabarrus AL Holdings, LLC",4968 Milestone Avenue,Kannapolis,NC,28081,(704)933-4000,HAL-013-046,140292,Assisted Living Residence,Adult Care Home,6/29/21
Cabarrus,The Living Center of Concord,180,"MPV Enterprises, LLC",160 Warren C. Coleman Blvd. N,Concord,NC,28027,(704)793-4760,HAL-013-044,920384,Assisted Living Residence,Adult Care Home,6/29/21
Caldwell,Brockford Inn,67,"Camelot Manor, Inc",56 N. Highland Avenue,Granite Falls,NC,28630,(828)396-3111,HAL-014-014,920158,Assisted Living Residence,Adult Care Home,6/29/21
Caldwell,Brookdale Lenoir,82,"Southern Assisted Living, LLC",1145 Powell Road NE,Lenoir,NC,28645,(828)757-7800,HAL-014-010,970705,Assisted Living Residence,Adult Care Home,6/29/21
Caldwell,Grace Village Assisted Living,60,"Grace Village, Inc.","229 Wilson Street, NW",Lenoir,NC,28645,(828)754-6106,HAL-014-016,920552,Assisted Living Residence,Adult Care Home,6/29/21
Caldwell,Grandview Villa Assisted Living,40,"Grandview Villa Assisted Living, LLC",2544 Grandview Circle SW,Lenoir,NC,28645,(828)757-0136,HAL-014-015,921118,Assisted Living Residence,Adult Care Home,6/29/21
Caldwell,The Shaire Center,82,"The Shaire Center, Inc. / Shaire Too",1450 Shaire Center Drive,Lenoir,NC,28645,(828)728-6500,HAL-014-004,921220,Assisted Living Residence,Adult Care Home,6/29/21
Camden,Needham Adult Care Home,24,"Needham FCH, Inc.",916 A Sandy Hook Rd,Shiloh,NC,27974,(252)336-2700,HAL-015-002,80592,Assisted Living Residence,Adult Care Home,6/29/21
Carteret,Brookdale Morehead City,72,"Southern Assisted Living, LLC",107 Bryan Street,Morehead City,NC,28557,(252)726-4454,HAL-016-006,971005,Assisted Living Residence,Adult Care Home,6/29/21
Carteret,Carteret House,64,"Newport AL Holdings, LLC",3020 Market Street,Newport,NC,28570-8708,(252)223-2600,HAL-016-018,945270,Assisted Living Residence,Adult Care Home,6/29/21
Carteret,Carteret Landing,110,"Carteret Landing, LLC",221 Friendly Road,Morehead City,NC,28557,(252)773-0980,HAL-016-022,80618,Assisted Living Residence,Adult Care Home,6/29/21
Caswell,Caswell House,100,"WP-Yanceyville Health Holdings, LLC",535 US Highway 158 West,Yanceyville,NC,27379-8305,(336)694-1555,HAL-017-054,60221,Assisted Living Residence,Adult Care Home,6/29/21
Caswell,G. Anthony Rucker Rest Home,12,"G. Anthony Rucker Rest Home, Inc",1196 Hodges Dairy Road,Yanceyville,NC,27379,(336)694-5360,HAL-017-040,920934,Assisted Living Residence,Adult Care Home,6/29/21
Caswell,Jefferson Care Home,12,Jefferson Care Homes Trust,111 Staley Boswell Road,Yanceyville,NC,27379,(336)524-0355,HAL-017-058,920596,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,Austin Adult Care,29,The Austin Corporation,511 Bumgarner Industrial Drive,Conover,NC,28613,(828)466-0300,HAL-018-023,920187,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,Brookdale Falling Creek,60,"Brookdale Senior Living Communities, Inc.",910 29th Avenue NE,Hickory,NC,28601,(828)328-6090,HAL-018-011,970652,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,Brookdale Hickory Northeast,88,"Southern Assisted Living, LLC","2530 16th Street, N.E.",Hickory,NC,28601,(828)324-5400,HAL-018-016,944618,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,Catawba Valley Living At Rock Barn,80,"Catawba Valley Living, LLC",4174 Shook Road,Claremont,NC,28610,(828)459-0008,HAL-018-024,41372,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,Elmcroft of Newton,96,"EC Opco Newton, LP",1088 Radio Station Road,Newton,NC,28658,(828)466-7474,HAL-018-036,980168,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,Heritage Care of Conover,60,"Heritage Care of Conover, LLC",3430 Lester Street,Conover,NC,28613,(828)256-9868,HAL-018-018,920525,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,Hickory Village,56,"DePaul Adult Care Communities, Inc",427 3rd Avenue S.E.,Hickory,NC,28602,(828)322-2230,HAL-018-015,970790,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,Piedmont Village at Newton,40,P & C Adult Care LLC,1345 Chapman Lane,Newton,NC,28658,(828)464-6490,HAL-018-037,940186,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,Springs of Catawba,66,"Hickory Health Investors, LLC","2010 29th Avenue Drive, NE",Hickory,NC,28601-7517,(828)326-7200,HAL-018-032,960659,Assisted Living Residence,Adult Care Home,6/29/21
Catawba,The Alberta House,21,"CHOPAH, Inc.",807 4th St. SW,Conover,NC,28613,(828)464-3715,HAL-018-030,920267,Assisted Living Residence,Adult Care Home,6/29/21
Chatham,Cambridge Hills of Pittsboro,90,"REME, LLC",140 Brookstone Lane,Pittsboro,NC,27312,(919)545-9573,HAL-019-019,990292,Assisted Living Residence,Adult Care Home,6/29/21
Chatham,Carolina Meadows Fairways,95,"Carolina Meadows, Inc",700  A Carolina Meadows,Chapel Hill,NC,27517,(919)942-4014,HAL-019-020,60596,Assisted Living Residence,Adult Care Home,6/29/21
Chatham,Chatham Ridge Assisted Living,91,"Chatham Ridge Assisted Living, LLC",114 Polks Village Lane,Chapel Hill,NC,27517,(919)918-7872,HAL-019-021,110283,Assisted Living Residence,Adult Care Home,6/29/21
Chatham,Coventry House Of Siler City,86,"Siler City Opco, LLC",260 Village Lake Road,Siler City,NC,27344,(919)742-4052,HAL-019-022,30840,Assisted Living Residence,Adult Care Home,6/29/21
Chatham,Pittsboro Christian Village,40,"Pittsboro Christian Village, Inc.",1825 East Street,Pittsboro,NC,27312,(919)542-3151,HAL-019-006,920950,Assisted Living Residence,Adult Care Home,6/29/21
Cherokee,Carolina Care Home #1,12,"Carolina Care Homes, Inc",4021 Pisgah Road,Andrews,NC,28901,(828)321-4272,HAL-020-001,920175,Assisted Living Residence,Adult Care Home,6/29/21
Cherokee,Carolina Care Home #2,12,"Carolina Care Homes, Inc",4025 Pisgah Road,Andrews,NC,28901,(828)321-4272,HAL-020-002,920176,Assisted Living Residence,Adult Care Home,6/29/21
Chowan,Edenton House,60,"WP-Edenton Health Holdings, LLC",323 Medical Arts Drive,Edenton,NC,27932-8608,(252)482-1113,HAL-021-009,971527,Assisted Living Residence,Adult Care Home,6/29/21
Chowan,Edenton Prime Time Retirement Village,60,Edenton Retirement Community LLC,106 Mark Drive,Edenton,NC,27932,(252)482-4491,HAL-021-008,920345,Assisted Living Residence,Adult Care Home,6/29/21
Clay,Hayesville House,60,"WP-Hayesville Health Holdings, LLC",480 Old 64 West,Hayesville,NC,28904-7268,(828)389-8700,HAL-022-005,60220,Assisted Living Residence,Adult Care Home,6/29/21
Cleveland,Brookdale Shelby,60,"Brookdale Senior Living Communities, Inc",1425 E. Marion Street,Shelby,NC,28150,(704)481-0150,HAL-023-011,970653,Assisted Living Residence,Adult Care Home,6/29/21
Cleveland,Cleveland House,72,"Shelby House, LLC",950 Hardin Drive,Shelby,NC,28150-3500,(704)480-9800,HAL-023-045,920681,Assisted Living Residence,Adult Care Home,6/29/21
Cleveland,Elmcroft of Shelby,96,"EC Opco Shelby, LP",1550 Charles Road,Shelby,NC,28152,(704)471-2828,HAL-023-048,980167,Assisted Living Residence,Adult Care Home,6/29/21
Cleveland,Golden Years Rest Home,12,Golden Years Rest Home Inc,630 Sugar Hill Road,Lawndale,NC,28090,(704)538-8855,HAL-023-041,920442,Assisted Living Residence,Adult Care Home,6/29/21
Cleveland,Kings Mountain Care Center,20,"Kings Mountain Care Center, Inc",115 Ferguson Drive,Kings Mountain,NC,28086,(704)739-5929,HAL-023-031,920631,Assisted Living Residence,Adult Care Home,6/29/21
Cleveland,Openview Retirement Center,24,S & V Adult Care LLC,112 Pony Barn Road,Lawndale,NC,28090,(704)538-8026,HAL-023-047,940880,Assisted Living Residence,Adult Care Home,6/29/21
Cleveland,Shelby Manor,74,"Shelby Opco, LLC",1176 Wyke Road,Shelby,NC,28150,(704)482-0000,HAL-023-046,921104,Assisted Living Residence,Adult Care Home,6/29/21
Cleveland,Summit Place of Kings Mountain,65,SNH SE Kings Mtn Tenant LLC,1001 Phifer Road,Kings Mountain,NC,28086,(704)739-6772,HAL-023-042,980109,Assisted Living Residence,Adult Care Home,6/29/21
Columbus,Tabor Commons,80,"RenCare Solutions, Inc",703 Elizabeth St.,Tabor City,NC,28463,(910)653-4055,HAL-024-015,920244,Assisted Living Residence,Adult Care Home,6/29/21
Craven,Brookdale New Bern,60,"Brookdale Senior Living Communities, Inc.",1336 South Glenburnie Road,New Bern,NC,28562,(252)638-6660,HAL-025-012,970888,Assisted Living Residence,Adult Care Home,6/29/21
Craven,Croatan Village,72,"Premier Operating Croatan, LLC",4522 Old Cherry Point Road,New Bern,NC,28560,(252)634-9066,HAL-025-037,971021,Assisted Living Residence,Adult Care Home,6/29/21
Craven,Good Shepherd Home for the Aged,54,"Sovereign Healthcare, LLC",603 West Street,New Bern,NC,28560,(252)636-2722,HAL-025-023,920445,Assisted Living Residence,Adult Care Home,6/29/21
Craven,Homeplace of New Bern,60,SNH NC Tenant LLC,1309 McCarthy Blvd.,New Bern,NC,28562,(252)637-7133,HAL-025-039,970675,Assisted Living Residence,Adult Care Home,6/29/21
Craven,Riverstone,64,"Riverstone Health Management, Inc.",104 Efird Boulevard,New Bern,NC,28562,(252)633-3455,HAL-025-026,920215,Assisted Living Residence,Adult Care Home,6/29/21
Craven,The Gardens of Trent,60,"WP-New Bern Health Holdings, LLC",2915 Brunswick Avenue,New Bern,NC,28562-2601,(252)638-4680,HAL-025-035,970158,Assisted Living Residence,Adult Care Home,6/29/21
Craven,The Oaks of New Bern,83,"Pierce Properties #1, LLC",3407 Oaks Road,New Bern,NC,28560,(336)643-0555,HAL-025-042,920850,Assisted Living Residence,Adult Care Home,6/29/21
Craven,"Truewood by Merrill, New Bern",55,Merrill Gardens L.L.C,2701 Amhurst Boulevard,New Bern,NC,28562,(252)297-1758,HAL-025-041,950090,Assisted Living Residence,Adult Care Home,6/29/21
Craven,"Truewood by Merrill, New Bern Memory Care",25,Merrill Gardens L.L.C.,2701 Amhurst Boulevard,New Bern,NC,28562,(252)297-1758,HAL-025-040,970789,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Arc of Hope Mills,29,"A1A - Arc of Hope Mills, LLC",4124 Pecan Dr,Hope Mills,NC,28348,(910)425-6530,HAL-026-067,920499,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Carolina Inn at Village Green,100,"The Carolina Inn at Village Green, LLC",400 Forsythe Street,Fayetteville,NC,28303,(910)829-0100,HAL-026-017,960985,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Cumberland Village Assisted Living,163,"Cumberland Village Assisted Living, LLC",1124 Cedar Creek Road,Fayetteville,NC,28312,(910)323-8212,HAL-026-062,920670,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Fayetteville Manor,60,"Fayetteville Manor, LLC",231 Treetop Drive,Fayetteville,NC,28311-0600,(910)488-4821,HAL-026-054,951078,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Harmony at Hope Mills,100,"Cumberland Operations, LLC",7051 Rockfish Road,Fayetteville,NC,28306,(910)635-0555,HAL-026-065,160155,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Heritage Suites,62,"Cool Springs Senior Care, LLC",240 Ann Street,Fayetteville,NC,28301-5543,(910)323-4925,HAL-026-064,990115,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Hope Mills Retirement Center,64,"Hope Mills Retirement Center, Inc",4217 Elk Road,Hope Mills,NC,28348,(910)425-6306,HAL-026-008,920570,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Morning Star Special Care Unit,44,J&S Care Inc.,3017 Dunn Road,Fayetteville,NC,28312,(910)822-5552,HAL-026-066,923426,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Pine Valley Adult Care Home,40,"Pine Valley Care, Inc.",3522 Camden Road,Fayetteville,NC,28306,(910)425-8954,HAL-026-048,920393,Assisted Living Residence,Adult Care Home,6/29/21
