License #,Facility Name,County,Address,Region,Initial Date,Total Bed Count,Number of Secured Beds,Adult Day Care Services Beds
328,Brookdale Jackson Oaks,Madison,"3131 N Highland Ave
Jackson, TN 38305",West,40018,49,0,0
154,Brookdale Johnson City,Washington,"2003 Water's Edge Dr
Johnson City, TN 37604",East,36266,60,23,0
94,Brookdale Kingsport,Sullivan,"2424 John B Dennis Hwy
Kingsport, TN 37660",East,36088,70,0,0
242,Brookdale Mount Vernon Drive,Bradley,"1775 Mt Vernon Dr NW
Cleveland, TN 37311",East,37484,40,40,0
17,Brookdale Rock Springs,Sullivan,"640 Rock Springs Rd
Kingsport, TN 37664",East,36007,70,0,0
76,Brookdale Sandy Springs,Blount,"511 Pearson Springs Rd
Maryville, TN 37803",East,36047,100,34,0
188,Brookdale Sevierville,Sevier,"1020 Middle Creek Rd
Sevierville, TN 37862",East,36466,70,14,0
16,Brookdale Tullahoma,Coffee,"801 Wilson Ave
Tullahoma, TN 37388",East,36164,76,0,0
29,Burton Court at the Blakeford,Davidson,"11 Burton Hills Blvd
Nashville, TN 37215",Middle,35983,78,0,0
66,Cadence at Rivergate,Davidson,"94 Twin Hills Dr
Madison, TN 37115",Middle,36504,113,0,0
350,Cades Center,Madison,"82 Will McKnight Dr
Jackson, TN 38301",West,40500,48,0,0
397,Cades Center of Humboldt,Gibson,"1632 Hwy 65 W By-Pass N
Humboldt, TN 38343",West,41878,48,0,0
449,Canterfield of Franklin,Williamson,"7015 Moores Ln
Brentwood, TN 37027",West,43319,99,20,0
399,Canterfield of Oak Ridge,Anderson,"200 Bus Terminal Rd
Oak Ridge, TN 37830",East,41547,96,22,0
61,Carriage Court of Memphis,Shelby,"1645 W Massey Rd
Memphis, TN 38120",West,36049,125,26,0
260,Carriage House Inn,Bedford,"311 Colloredo Blvd
Shelbyville, TN 37160",Middle,38191,49,20,0
347,Carrick Glen Senior Living,Wilson,"100 Carrick Court
Mount Juliet, TN 37122",Middle,40721,89,36,0
405,Carthage Assisted Living,Smith,"130 Lebanon Hwy
Carthage, TN 37030",Middle,42268,74,26,0
82,Cedar Hills Retirement Center,Putnam,"1250 Cedar Hills Drive
Cookeville, TN 38506",East,36052,55,0,0
5,Celebration Way,Bedford,"895 Union Street
Shelbyville, TN 37160",Middle,35942,42,0,0
185,Chandler House,Jefferson,"550 Deerview Way
Jefferson City, TN 37760",East,36805,64,20,0
270,Charter Senior Living at Hermitage,Davidson,"4131 Andrew Jackson Pkwy
Hermitage, TN 37076",Middle,38993,60,21,0
491,Clarendale at Bellevue Place,Davidson,"7632 Hwy 70S
Nashville, TN 37221",West,43903,85,40,0
472,Clarendale at Indian Lake,Sumner,"195 Indian Lake Blvd
Hendersonville, TN 37075",Middle,43594,78,38,0
423,Clover Hill Senior Living,Blount,"2317 Hwy 411 S
Maryville, TN 37801",East,42410,57,57,0
14,"Commonwealth Senior Living at
Oak Ridge",Anderson,"360 Laboratory Road
Oak Ridge, TN 37830",East,36046,62,0,0
263,"Cornerstone Village North
Assisted Living",Washington,"2012 Sherwood Dr
Johnson City, TN 37601",East,38699,24,0,0
78,"Cornerstone Village South
Assisted Living",Washington,"213 University Pkwy
Johnson City, TN 37604",East,36048,79,18,0
168,Country Cottage - Lawrenceburg,Lawrence,"469 Weakley Creek Rd
Lawrenceburg, TN 38464",West,36213,29,0,0
308,Creekside at Three Rivers,Rutherford,"2744 Ashers Fork Rd
Murfreesboro, TN 37128",Middle,40368,117,57,5
38,Crown Cypress,Sullivan,"2424 East Stone Dr
Kingsport, TN 37660",East,36000,60,0,0
172,"Cumberland Ridge Assisted Living
Center",Cumberland,"458 Wayne Ave
Crossville, TN 38555",East,36377,40,0,0
259,"David Jones Jr Assisted Living
Center",Davidson,"1204 Schrader Acres Dr
Nashville, TN 37208",Middle,38169,34,0,0
88,Deane Hill Place,Knox,"401 Catherine McAuley Way
Knoxville, TN 37919",East,36076,124,32,0
198,Dewitt Place,Hamblen,"2131 Walters Drive
Morristown, TN 37814",East,36434,62,0,0
32,Dogwood Bend,Montgomery,"160 Hillcrest
Clarksville, TN 37043",West,36005,50,0,0
468,Dogwood Pointe,Gibson,"9001 Telecom Drive
Milan, TN 38358",West,43637,36,0,0
443,Dominion Senior Living of Athens,McMinn,"2090 W Madison Ave
Athens, TN 37303",East,42997,72,26,0
437,Dominion Senior Living of Bristol,Sullivan,"425 Shelby Ln
Bristol, TN 37620",East,42864,58,58,0
422,"Dominion Senior Living of
Crossville",Cumberland,"887 Woodland Rd
Crossville, TN 38555",East,42563,58,58,0
429,Dominion Senior Living of Hixson,Hamilton,"2143 Northpoint Blvd
Chattanooga, TN 37343",East,42779,66,32,0
402,"Dominion Senior Living of Johnson
City",Washington,"2412 Knob Creek Rd
Johnson City, TN 37604",East,42234,68,17,0
392,"Dominion Senior Living of
Sevierville",Sevier,"1102 Medical Park Ct
Sevierville, TN 37862",East,41737,56,56,0
318,Eagle Crest Assisted Living,Hamilton,"8248 Standifer Gap Rd
Chattanooga, TN 37421",East,39848,16,0,0
49,Eiffel Gardens,Henry,"1025 Volunteer Drive
Paris, TN 38242",West,36026,48,0,0
68,Elizabeth Fletcher House,Cumberland,"40 Fletcher Drive
Pleasant Hill, TN 38578",East,36307,62,0,0
62,Elmcroft of Bartlett,Shelby,"3345 Kirby Whitten Pkwy
Bartlett, TN 38134",West,36447,116,0,0
64,Elmcroft of Brentwood,Davidson,"5436 Edmonson Pike
Nashville, TN 37211",Middle,36138,118,29,0
119,Elmcroft of Bristol,Sullivan,"826 Meadow View Rd
Bristol, TN 37620",East,36196,99,25,0
28,Elmcroft of Halls,Knox,"7521 Andersonville Pk
Knoxville, TN 37938",East,35986,65,17,0
72,Elmcroft of Hamilton Place,Hamilton,"1502 Gunbarrel Rd
Chattanooga, TN 37421",East,36210,60,22,0
123,Elmcroft of Hendersonville,Sumner,"1020 Carrington Place
Hendersonville, TN 37075",Middle,36439,66,32,0
36,Elmcroft of Jackson,Madison,"911 Old Humboldt Rd
Jackson, TN 38305",West,36004,88,31,0
125,Elmcroft of Johnson City,Washington,"406 E Mountain View Rd
Johnson City, TN 37604",East,36307,80,12,0
121,Elmcroft of Kingsport,Sullivan,"901 Teasel Dr
Kingsport, TN 37660",East,36333,64,22,0
138,Elmcroft of Lebanon,Wilson,"801 W Main St
Lebanon, TN 37087",Middle,36685,82,36,0
127,Elmcroft of Murfreesboro,Rutherford,"3211 Memorial Blvd
Murfreesboro, TN 37129",Middle,36231,80,18,0
63,"Elmcroft of Shallowford C/O
Eclipse Senior Living",Hamilton,"7127 Lee Hwy Ste 500
Chattanooga, TN 37421",East,36432,113,24,0
126,Elmcroft of West Knoxville,Knox,"8024 Gleason Dr
Knoxville, TN 37919",East,36664,125,24,0
4,"Family Ministries John M Reed
Center",Washington,"124 John M Reed Home Rd
Limestone, TN 37681",East,36061,44,20,0
255,Fieldstone Place,Montgomery,"51 Patel Way
Clarksville, TN 37043",West,38385,52,0,2
166,Fireside Villa/Providence Place,Shelby,"3535 Kirby Road
Memphis, TN 38115",West,36138,64,0,0
395,Fountains of Franklin,Williamson,"4100 Murfreesboro Rd
Franklin, TN 37067",West,41429,98,18,2
15,"Foxbridge Assisted Living &
Memory Care",Shelby,"2180 Mangum Rd
Memphis, TN 38134",West,36123,149,36,0
191,"Franklin Manor, An Inspirit Senior
Living Community",Franklin,"3619 Cowan Hwy
Winchester, TN 37398",East,36643,40,0,0
466,Freedom Senior Living,Sevier,"2951 Boyds Creek Hwy
Sevierville, TN 37876",East,42646,61,7,0
143,Garden Plaza of Cleveland,Bradley,"3500 Keith Street
Cleveland, TN 37312",East,38847,53,0,0
317,Gardens of Germantown,Shelby,"3179 Professional Plaza Dr
Germantown, TN 38138",West,40542,62,62,0
251,"Germantown Plantation Senior
Living Community",Shelby,"9293 Poplar Ave
Germantown, TN 38139",West,38566,152,0,0
320,"Good Samaritan Society - Fairfield
Glade",Cumberland,"100 Samaritan Way
Fairfield Glade, TN 38555",East,40808,99,0,0
341,"Governor's Bend Retirement &
Assisted Living",Unicoi,"1631 Zane Whitson Dr
Erwin, TN 37650",East,41190,124,28,0
325,Grace Manor,Davidson,"1420 Old Hickory Blvd
Nashville, TN 37207",Middle,40521,46,0,0
417,"Green Crest Assisted Living
Centers",Decatur,"55 Herbert Volner Lane
Parsons, TN 38363",West,42192,40,0,0
46,Greenbrier Meadows,Weakley,"436 Hannings Lane
Martin, TN 38237",West,36012,50,0,0
496,Harborchase of Germantown,Shelby,"6300 Briarcrest Ave
Memphis, TN 38120",West,44014,160,48,0
460,Harmony at Brentwood,Williamson,"9045 Church Street East
Brentwood, TN 37027",West,43689,124,43,0
453,Harmony at Victory Station,Rutherford,"211 Fortress Blvd
Murfreesboro, TN 37128",Middle,43405,99,35,0
107,Harmony Hill,Carroll,"100 Jerry F Adkins Lane
Huntingdon, TN 38344",West,36724,54,0,0
321,Hearth at Hendersonville,Sumner,"419 E Main St
Hendersonville, TN 37075",Middle,41019,155,33,0
173,Hearthside at Castle Heights,Wilson,"215 Castle Heights Ave N
Lebanon, TN 37087",Middle,37000,49,0,0
383,"Hearthside Senior Living at
Collierville",Shelby,"601 Wolf River Blvd
Collierville, TN 38017",West,41717,120,0,0
393,"Hearthside Senior Living of
Bartlett",Shelby,"7480 US Hwy 70
Bartlett, TN 38133",West,42542,120,0,0
70,Heritage Assisted Living,Knox,"273 S Peters Rd
Knoxville, TN 37923",East,36096,38,0,0
365,Heritage at Irene Woods,Shelby,"4580 S Forest Hill Irene Rd
Memphis, TN 38125",West,41523,69,30,0
106,Heritage Place Assisted Living,Henderson,"1735 N Broad St
Lexington, TN 38351",West,36271,24,0,0
278,Heritage Pointe Senior Living,Putnam,"1030 S Maple Ave
Cookeville, TN 38501",East,39252,66,18,0
248,"Hickory Gardens Assisted Living by
Americare",Davidson,"527 Old Hickory Blvd
Madison, TN 37115",Middle,38673,42,0,0
432,"Hickory Hills Alzheimer's Special
Care Center",Sumner,"162 Indian Lake Blvd
Hendersonville, TN 37075",Middle,42600,66,66,0
1,Ivy Crest,Giles,"101 Ivy Lane
Pulaski, TN 38478",West,35977,24,0,0
512,Jubilee Hills at Warfield,Montgomery,"475 Bellamy Lane
Clarksville, TN 37043",West,43578,110,24,0
295,Keestone Senior Community,Lawrence,"322 Kennedy Street
Lawrenceburg, TN 38464",West,39650,45,0,0
463,Kempton of Hermitage,Davidson,"3778 Central Pike
Hermitage, TN 37076",Middle,42787,99,26,0
217,"LaFollette Court Assisted Living
Community",Campbell,"139 Massachusetts Ave
LaFollette, TN 37766",East,36720,55,0,0
265,Lakewood Place,Loudon,"1125 Grove Street
Loudon, TN 37774",East,38813,46,0,0
481,Legacy Village of Cleveland,Bradley,"2255 Candies Lane NW
Cleveland, TN 37312",East,43369,121,43,0
527,"Liberty Assisted Living, LLC",Blount,"312 McMaster Place     Maryville,
TN 37801",East,44126,28,0,0
215,"Lincoln Manor, An Inspirit Senior
Living Community",Lincoln,"115 Medical Center Blvd
Fayetteville, TN 37334",West,36997,49,0,0
222,"Lynnfield Place Assisted Care
Living Facility",McNairy,"150 High School Rd
Selmer, TN 38375",West,37504,48,0,0
254,Mabry Assisted Living,Jackson,"100 Jettie Mabry Lane
Gainesboro, TN 38562",East,38419,28,0,0
225,Magnolia Place,Humphreys,"811 W Main St
Waverly, TN 37185",West,37719,47,12,2
234,Magnolia Place,Obion,"1620 N Clover St
Union City, TN 38261",West,37073,42,0,0
141,Main Street Senior Living,Sumner,"674 E Main St
Hendersonville, TN 37075",Middle,36650,99,18,0
163,Manorhouse Assisted Living,Knox,"8501 E Northshore Dr
Knoxville, TN 37922",East,36651,105,30,0
183,Manorhouse Assisted Living,Hamilton,"1148 Mountain Creek Rd
Chattanooga, TN 37405",East,36651,105,40,0
503,Maple Cottage Assisted Living,Sumner,"101 Maple Dr
Hendersonville, TN 37075",West,43294,16,16,0
388,Maple Court,Knox,"7545 Thunder Lane
Powell, TN 37849",East,41486,60,60,0
212,Maple Ridge Manor,Dyer,"705 Lake Road
Dyersburg, TN 38024",West,36497,50,0,0
359,Maristone of Providence,Wilson,"140 Providence Trail
Mount Juliet, TN 37122",Middle,40850,74,18,3
177,Martin-Boyd Christian Home,Hamilton,"6845 Standifer Gap Rd
Chattanooga, TN 37421",East,36521,124,19,0
218,"Mary, Queen of Angels",Davidson,"34 White Bridge Rd
Nashville, TN 37205",Middle,37190,130,18,0
40,"Maybelle Carter Senior Adult
Home",Davidson,"208 W Due West Ave
Madison, TN 37115",Middle,36012,103,14,0
303,McArthur Manor Assisted Living,Coffee,"119 Bryan Ave
Manchester, TN 37355",East,39924,62,0,0
237,McKendree Village,Davidson,"4347 Lebanon Rd
Hermitage, TN 37076",Middle,37413,99,29,0
170,"McMinnville Boarding Home for
the Elderly",Warren,"345 Garfield St
McMinnville, TN 37110",East,36342,33,0,0
344,"Meadow View Senior Living
Community",Anderson,"111 Acuff Lane
Clinton, TN 37716",East,40133,49,0,0
482,"Memory Assisted Living at
Uplands Village",Cumberland,"880 W Main St
Pleasant Hill, TN 38578",East,42858,31,31,0
96,Morning Pointe of Athens,McMinn,"1025 Crestway Dr
Athens, TN 37303",East,36081,56,0,0
364,Morning Pointe of Brentwood,Williamson,"1522 Wilson Pike
Brentwood, TN 37027",West,41190,80,20,0
137,Morning Pointe of Chattanooga,Hamilton,"7620 Shallowford Rd
Chattanooga, TN 37421",East,36192,69,60,0
400,"Morning Pointe of Chattanooga at
Shallowford",Hamilton,"7719 Shallowford Rd
Chattanooga, TN 37421",East,41963,90,0,0
201,Morning Pointe of Clinton,Anderson,"960 S Charles G Seivers Blvd
Clinton, TN 37716",East,36615,58,58,0
273,Morning Pointe of Collegedale at Greenbriar Cove,Hamilton,"9650 Leyland Dr
Ooltewah, TN 37363",East,38919,65,0,0
85,Morning Pointe of Greeneville,Greene,"324 Mt Bethel Rd
Greeneville, TN 37745",East,36031,49,0,0
311,Morning Pointe of Hixson,Hamilton,"5501 Old Hixson Pike
Hixson, TN 37343",East,40109,80,16,0
484,Morning Pointe of Knoxville,Knox,"9649 Westland Dr
Knoxville, TN 37922",East,43487,81,0,0
304,Morning Pointe of Lenoir City,Loudon,"198 Morning Pointe Dr
Lenoir City, TN 37772",East,39916,66,0,0
389,Morning Pointe of Powell,Knox,"7700 Dannaher Dr
Powell, TN 37849",East,41737,80,20,0
450,Morning Pointe of Spring Hill,Maury,"1001 McCutheon Creek Ln
Spring Hill, TN 37174",West,43084,80,20,0
80,Morning Pointe of Tullahoma,Coffee,"711 Kings Lane
Tullahoma, TN 37388",East,36061,56,16,0
97,Morningside of Belmont,Davidson,"1710 Magnolia Blvd
Nashville, TN 37212",Middle,36083,130,0,0
115,Morningside of Cleveland,Bradley,"2900 Westside Dr NW
Cleveland, TN 37312",East,36108,49,0,0
91,Morningside of Cookeville,Putnam,"1010 East Spring St
Cookeville, TN 38501",East,36068,84,0,0
87,Morningside of Franklin,Williamson,"105 Sunrise Circle
Franklin, TN 37067",West,36055,49,0,0
50,Morningside of Gallatin,Sumner,"1085 Hartsville Pike
Gallatin, TN 37066",Middle,36024,49,0,0
2,Morningside of Jackson,Madison,"1200 North Parkway
Jackson, TN 38305",West,36563,70,18,8
30,Morningside of Paris,Henry,"350 Volunteer Dr
Paris, TN 38242",West,35984,84,0,0
51,Morningside of Springfield,Robertson,"205 Westgate Dr
Springfield, TN 37172",West,36031,55,0,0
209,Morningview Village,Blount,"2304 E Lamar Alexander Pkwy
Maryville, TN 37804",East,37053,85,18,0
13,Mountainbrook Assisted Living,Sevier,"700 Markhill Dr
Sevierville, TN 37862",East,36048,74,17,0
196,Navion Bke Bellevue,Davidson,"8118-B Sawyer Brown Rd
Nashville, TN 37221",Middle,37538,99,16,0
128,Navion Bke Oak Ridge,Anderson,"734 Emory Valley Rd
Oak Ridge, TN 37830",East,36438,94,16,0
84,NHC Healthcare Dickson,Dickson,"812 N Charlotte St
Dickson, TN 37055",West,36035,20,0,0
189,NHC Healthcare Smithville,DeKalb,"825 Fisher Ave
Smithville, TN 37166",East,36144,6,0,0
164,NHC Healthcare Somerville,Fayette,"308 Lake Drive
Somerville, TN 38068",West,36114,12,0,0
245,NHC Place at Cool Springs,Williamson,"211 Cool Springs Blvd
Franklin, TN 37069",West,38112,108,20,0
447,NHC Place at The Trace,Davidson,"8353 Hwy 100
Nashville, TN 37221",Middle,42541,99,27,0
488,NHC Place Cavette Hill,Knox,"121 Cavette Hill Lane
Knoxville, TN 37934",East,43473,64,32,0
6,NHC Place Farragut,Knox,"122 Cavett Hill Lane
Knoxville, TN 37934",East,35936,124,0,0
401,NHC Place Sumner,Sumner,"140 Thorne Blvd
Gallatin, TN 37066",Middle,42118,99,20,0
369,Northcliff Assisted Living,Henderson,"14691 Highway 22 N
Lexington, TN 38351",West,41208,48,0,0
467,Northshore Senior Living,Knox,"8804 S Northshore Dr
Knoxville, TN 37922",East,42709,74,17,0
118,"Oak Haven Assisted Care Living
Facility",Henderson,"1460 Crucifer Road
Huron, TN 38345",West,36033,24,0,0
391,Oakwood Senior Living,Knox,"232 E Churchwell Ave
Knoxville, TN 37917",East,42255,74,24,0
81,Olive Branch Assisted Living,Dickson,"110 Luther Road
Dickson, TN 37055",West,36047,58,0,0
448,Opal at Music City,Davidson,"2733 McCampbell Ave
Nashville, TN 37214",Middle,43109,115,26,0
45,Parkway Cove,Tipton,"805 Bert Johnston
Covington, TN 38019",West,36013,42,0,0
77,Poplar Estates Retirement Center,Maury,"1310 Rosewood Dr
Columbia, TN 38401",West,36048,58,16,0
280,Preston Place II,Sullivan,"2303 N John B Dennis Hwy
Kingsport, TN 37660",East,39176,36,36,0
3,Preston Place Suites,Sullivan,"2001 N John B Dennis Hwy
Kingsport, TN 37660",East,36097,66,0,0
486,"Princeton Transitional Care &
Assisted Living",Washington,"401 Princeton Road
Johnson City, TN 37601",East,43523,79,0,0
431,Prosperity Pointe,Knox,"214 Prosperity Dr
Knoxville, TN 37923",East,42696,74,0,0
174,Providence Place of Mt Juliet,Wilson,"1020 Charlie Daniels Pkwy
Mount Juliet, TN 37122",Middle,36811,55,0,0
407,"Quail Ridge Alzheimer's Special
Care Center",Shelby,"2820 Kirby Whitten Pkwy
Bartlett, TN 38134",West,42116,66,66,0
361,Raintree Terrace,Knox,"555 Rain Forest Rd
Knoxville, TN 37923",East,41249,72,16,0
329,Red Cedar Glen,Sumner,"202 Walton Ferry Rd
Hendersonville, TN 37075",Middle,40241,49,0,0
150,Regency House,Hamilton,"2062 Hamill Rd
Hixson, TN 37343",East,36657,54,0,1
288,Regency Retirement Village,Hamblen,"739 E 2nd North St
Morristown, TN 37814",East,39336,168,47,0
124,"Regency Retirement Village of
Jackson",Madison,"420 Cheyenne Dr
Jackson, TN 38305",West,36181,74,32,0
277,Renaissance Terrace,Knox,"215 Bearden Place
Knoxville, TN 37917",East,39822,50,0,0
299,"Richland Place Senior Living
Center",Sumner,"201 Richland Lake Dr
Portland, TN 37148",Middle,39589,64,0,0
319,Ridgemont Manor #1,Shelby,"3805 Ridgemont Ave
Memphis, TN 38128",West,43040,12,0,0
312,Ridgemont Manor #2,Shelby,"3815 Ridgemont Ave
Memphis, TN 38128",West,39630,12,0,0
41,River Oaks Place,Loudon,"100 Fifth Ave
Lenoir City, TN 37771",East,36004,35,13,0
52,River Oaks Place - Loudon,Loudon,"1101 Grove St
Loudon, TN 37774",East,36031,49,24,0
200,River Wick,Hardin,"1545 Florence Rd
Savannah, TN 38372",West,36903,48,0,0
370,Riverdale Assisted Living Facility,Shelby,"6880 East Raines Road
Memphis, TN 38115",West,40982,96,30,0
114,Riverview Terrace,Warren,"114 Highland Dr
McMinnville, TN 37110",East,36293,42,0,0
373,Rockgate Assisted Living Facility,Franklin,"328 Cumberland St W
Cowan, TN 37318",East,40953,17,0,17
292,Rose of Sharon's Senior Villa,Hamilton,"5410 Lee Avenue
Chattanooga, TN 37410",East,39264,28,0,0
290,"Schilling Gardens Assisted Living
by Americare",Shelby,"15 Schilling Bend Commons
Collierville, TN 38017",West,39989,78,28,0
135,"Shannondale Assisted Living
Center",Knox,"7350 Middlebrook Pike
Knoxville, TN 37909",East,36108,49,0,0
238,"Shannondale of Maryville Assisted
Living Center",Blount,"805 Shannondale Way
Maryville, TN 37803",East,37848,59,0,0
26,Shelby Gardens Place,Shelby,"1535 Appling Care Lane
Cordova, TN 38018",West,35978,88,21,0
492,Sheltering Arms,Grundy,"265 Turner Road
Palmer, TN 37365",East,43696,8,0,0
424,Signature Lifestyles,Jefferson,"129 Mosey Creek Dr
Jefferson City, TN 37760",East,42341,60,0,0
427,Signature Lifestyles,Hawkins,"1341 E Main St
Rogersville, TN 37857",East,42461,60,0,0
434,Somerby of Franklin,Williamson,"870 Oak Meadow Dr
Franklin, TN 37064",West,42961,96,24,0
485,Somerfield at the Heritage,Williamson,"900 Heritage Way
Brentwood, TN 37027",West,43640,11,0,0
343,Someroak Senior Living,Fayette,"10790 Highway 64 W
Somerville, TN 38068",West,40774,40,0,0
514,South High Senior Living,Knox,"835 Tipton Ave
Knoxville, TN 37221",East,44020,74,28,0
363,Southbreeze Assisted Living,Shelby,"3168 Hacks Cross Rd
Memphis, TN 38125",West,41474,88,32,0
300,Southerland Place,Williamson,"200 Winners Circle S
Brentwood, TN 37027",West,39657,52,0,0
7,Southern Care,Williamson,"3595 Carothers Pkwy
Franklin, TN 37067",West,36656,60,60,0
197,Southern Oaks,Chester,"558 White Ave
Henderson, TN 38340",West,36595,38,0,0
240,"Springfield Heights Assisted Living
Facility",Robertson,"2540 South Main St
Springfield, TN 37172",West,37817,50,0,0
471,"Springhouse Village of Collierville Assisted Care Living and Memory
Care",Shelby,"1633 Winchester Blvd
Collierville, TN 38017",West,43768,124,34,0
302,Stonecrest,Macon,"2861 Hwy 52 By-Pass E
Lafayette, TN 37083",Middle,39875,28,0,0
142,Stones River Manor,Rutherford,"205 Haynes Dr
Murfreesboro, TN 37129",Middle,36353,100,24,5
293,Sugar Creek Retirement Center,Haywood,"1169 Dupree Ave
Brownsville, TN 38012",West,39665,37,0,0
