License Number,Facility Name,County,Address,Capacity,State Facility Type 1 Literal,Date Accessed,City,Zip Code,State
452,Jenn Care,Shelby,5347 DUNNELLON AVE,7,RESIDENTIAL HOME FOR THE AGED,6/30/21,Memphis,38134,TN
396,Lakeshore Heartland,Davidson,3025 FERNBROOK LN,20,RESIDENTIAL HOME FOR THE AGED,6/30/21,Nashville,37214,TN
60,Laurel Oaks,Franklin,4884 OLD TULLAHOMA HWY,12,RESIDENTIAL HOME FOR THE AGED,6/30/21,Winchester,37398,TN
7,Liberty Assisted Living,Blount,312 MCMASTER PLACE,28,RESIDENTIAL HOME FOR THE AGED,6/30/21,Maryville,37801,TN
158,Loving Arms Of Memphis,Shelby,667 BETHEL AVE,7,RESIDENTIAL HOME FOR THE AGED,6/30/21,Memphis,38107,TN
399,Meadows,Davidson,8044 COLEY DAVIS RD,20,RESIDENTIAL HOME FOR THE AGED,6/30/21,Nashville,37221,TN
465,Mighty Hearts Home Care,Sumner,1005 HWY 52 E,12,RESIDENTIAL HOME FOR THE AGED,6/30/21,Portland,37148,TN
182,Minter Residential Home For The Aged,Shelby,519 LORAINE DR,14,RESIDENTIAL HOME FOR THE AGED,6/30/21,Memphis,38109,TN
31,Northpark Village Senior Living,Davidson,700 N DUPONT AVE,24,RESIDENTIAL HOME FOR THE AGED,6/30/21,Madison,37115,TN
514,Oak Hill Senior Living,Sumner,639 N BROADWAY,14,RESIDENTIAL HOME FOR THE AGED,6/30/21,Portland,37148,TN
236,Park Terrace Assisted Living,Obion,712 BROADWAY ST,36,RESIDENTIAL HOME FOR THE AGED,6/30/21,South Fulton,38257,TN
144,Patriot Hills Assisted Living,Roane,209 GUM HOLLOW RD,25,RESIDENTIAL HOME FOR THE AGED,6/30/21,Oak Ridge,38830,TN
624,Peaceful Village Residential Home,Trousdale,124 LOCK SIX RD,6,RESIDENTIAL HOME FOR THE AGED,6/30/21,Hartsville,37074,TN
202,Pineview Boarding Home For The Aged #2,Trousdale,714 GWINN ST,5,RESIDENTIAL HOME FOR THE AGED,6/30/21,Hartsville,37074,TN
203,Pineview Boarding Home For The Aged #3,Trousdale,725 GWINN ST,33,RESIDENTIAL HOME FOR THE AGED,6/30/21,Hartsville,37074,TN
475,River Oaks Place Building Ii,Loudon,100 FIFTH AVE,49,RESIDENTIAL HOME FOR THE AGED,6/30/21,Lenoir City,37771,TN
406,Shannondale Retirement Home,Knox,801 VANOSDALE RD,113,RESIDENTIAL HOME FOR THE AGED,6/30/21,Knoxville,37909,TN
331,Southern Heritage Assisted Living I,Hamilton,5310 CLEMONS RD,32,RESIDENTIAL HOME FOR THE AGED,6/30/21,East Ridge,37412,TN
497,Southern Heritage Assisted Living Ii,Hamilton,5310 CLEMONS RD,32,RESIDENTIAL HOME FOR THE AGED,6/30/21,East Ridge,37412,TN
86,Southern Oaks Assisted Living,Hamilton,7230 LEE HIGHWAY,28,RESIDENTIAL HOME FOR THE AGED,6/30/21,Chattanooga,37421,TN
587,Sunrise Home Care,Davidson,8084 SAWYER BROWN RD,4,RESIDENTIAL HOME FOR THE AGED,6/30/21,Nashville,37221,TN
134,Waterford In Sango,Montgomery,300 SANGO DR,11,RESIDENTIAL HOME FOR THE AGED,6/30/21,Clarksville,37043,TN
424,Wesley Fountain Place,Gibson,12410 TELECOM RD,36,RESIDENTIAL HOME FOR THE AGED,6/30/21,Milan,38358,TN
257,Willow Acres,Mcminn,255 COUNTRY RD 730,9,RESIDENTIAL HOME FOR THE AGED,6/30/21,Riceville,37370,TN
562,Willow Acres Building 2,Mcminn,253 COUNTRY RD 730,9,RESIDENTIAL HOME FOR THE AGED,6/30/21,Riceville,37370,TN
353,Abe'S Garden/Park Manor Apartments,Davidson,115 WOODMONT BLVD,64,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37205,TN
169,Adams Place,Rutherford,1927 MEMORIAL BLVD,149,ASSISTED CARE LIVING FACILITY,6/30/21,Murfreesboro,37129,TN
444,Alexander Guest House,Anderson,83 KENTUCKY AVE,74,ASSISTED CARE LIVING FACILITY,6/30/21,Oak Ridge,37830,TN
21,Alexandria Place,Madison,108 PHYSICIANS DRIVE,50,ASSISTED CARE LIVING FACILITY,6/30/21,Jackson,38305,TN
387,Alexian Village Of Tennessee,Hamilton,622 ALEXIAN WAY,70,ASSISTED CARE LIVING FACILITY,6/30/21,Signal Mountain,37377,TN
301,Apple Grove Alzheimer'S & Dementia Residence,Shelby,3575 HACKS CROSS RD,49,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38125,TN
18,Arbor Terrace Of Knoxville,Knox,9051 CROSS PARK DR,99,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37923,TN
458,Arcadia Senior Living Clarksville,Montgomery,175 CHESAPEAKE DR,79,ASSISTED CARE LIVING FACILITY,6/30/21,Clarksville,37040,TN
195,Asbury Cove,Lauderdale,315 ASBURY AVE,38,ASSISTED CARE LIVING FACILITY,6/30/21,Ripley,38063,TN
33,Asbury Place At Steadman Hill,Sullivan,1300 BLOOMINGDALE PIKE,58,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37660,TN
224,Asbury Place Maryville,Blount,2648 SEVIERVILLE RD,143,ASSISTED CARE LIVING FACILITY,6/30/21,Maryville,37804,TN
226,Assisted Living At Standifer Place,Hamilton,2636 WALKER ROAD,74,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37421,TN
34,Assisted Living At Trezevant,Shelby,177 N HIGHLAND AVE,151,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38111,TN
149,Athens Place,Mcminn,120 KEITH LANE,60,ASSISTED CARE LIVING FACILITY,6/30/21,Athens,37303,TN
100,Atria Weston Place,Knox,2900 LAKE BROOK BLVD,102,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37909,TN
108,Austin Hewitt House,Giles,322 EAST WASHINGTON ST,54,ASSISTED CARE LIVING FACILITY,6/30/21,Pulaski,38478,TN
310,Autumn Care,Knox,3222 BYINGTON BEAVER RIDGE RD,36,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37931,TN
382,Autumn Care Ii,Knox,136 CANTON HOLLOW RD,56,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37922,TN
459,Autumn Care Iii,Knox,400 HERRON RD,77,ASSISTED CARE LIVING FACILITY,6/30/21,Farragut,37984,TN
113,Autumn Oaks,Coffee,1621 MCMINNVILLE HWY,49,ASSISTED CARE LIVING FACILITY,6/30/21,Manchester,37355,TN
56,Ave Maria Home Assisted Living,Shelby,2805 CHARLES BRYAN RD,101,ASSISTED CARE LIVING FACILITY,6/30/21,Bartlett,38134,TN
348,Avenir Memory Care At Knoxville,Knox,901 CONCORD RD,62,ASSISTED CARE LIVING FACILITY,6/30/21,Farragut,37934,TN
83,Azalea Court,Rutherford,207 COMMERCE DR,62,ASSISTED CARE LIVING FACILITY,6/30/21,Smyrna,37167,TN
390,Azalea Trace Assisted Living,Davidson,4107 GALLATIN ROAD,65,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37216,TN
261,Bailey Manor,Lincoln,113 MEDICAL CENTER BLVD,24,ASSISTED CARE LIVING FACILITY,6/30/21,Fayetteville,37334,TN
262,Bailey Manor,Franklin,300 HOSPITAL RD,24,ASSISTED CARE LIVING FACILITY,6/30/21,Winchester,37398,TN
268,Bailey Manor,Coffee,1707 MCMINNVILLE HWY,24,ASSISTED CARE LIVING FACILITY,6/30/21,Manchester,37355,TN
465,Bailey Manor,Putnam,580 EAST VETERAN'S BLVD,24,ASSISTED CARE LIVING FACILITY,6/30/21,Cookeville,38501,TN
175,Barton House,Davidson,6961 US HWY 70 S,44,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37221,TN
457,Beehives Homes Of Powell,Knox,1301 W BEAVER CREEK DR,16,ASSISTED CARE LIVING FACILITY,6/30/21,Powell,37849,TN
57,Bells Assisted Care Living,Crockett,276 HERNDON DRIVE,20,ASSISTED CARE LIVING FACILITY,6/30/21,Bells,38006,TN
230,Bellwood Assisted Living,Wilson,3190 CARTHAGE HIGHWAY,40,ASSISTED CARE LIVING FACILITY,6/30/21,Lebanon,37087,TN
59,Belmont Village,Davidson,4206 STAMMER PL,160,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37215,TN
102,Belmont Village,Shelby,6605 QUAIL HOLLOW RD,120,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38120,TN
157,Belvedere Commons Of Franklin,Williamson,303 S ROYAL OAKS BLVD,99,ASSISTED CARE LIVING FACILITY,6/30/21,Franklin,37064,TN
227,Boyd Cottages Assisted Living,Wayne,210 FAIRLANE DR,34,ASSISTED CARE LIVING FACILITY,6/30/21,Waynesboro,38485,TN
103,Brighton Gardens Of Brentwood,Williamson,103 ARCARO PL,125,ASSISTED CARE LIVING FACILITY,6/30/21,Brentwood,37027,TN
199,Brookdale Belle Meade,Davidson,6767 BROOKMONT TERRACE,184,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37205,TN
95,Brookdale Browns Creek,Blount,1869 CREST RD,52,ASSISTED CARE LIVING FACILITY,6/30/21,Maryville,37804,TN
47,Brookdale Clarksville,Montgomery,2183 MEMORIAL DR,54,ASSISTED CARE LIVING FACILITY,6/30/21,Clarksville,37043,TN
326,Brookdale Cleveland,Bradley,2745 EXECUTIVE PARK NW,60,ASSISTED CARE LIVING FACILITY,6/30/21,Cleveland,37312,TN
148,Brookdale Colonial Heights,Sullivan,400 PROFESSIONAL PARK DR,60,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37663,TN
139,Brookdale Columbia,Maury,5011 TROTWOOD AVE,55,ASSISTED CARE LIVING FACILITY,6/30/21,Columbia,38401,TN
352,Brookdale Dogwood Creek,Shelby,8199 POPLAR AVE,60,ASSISTED CARE LIVING FACILITY,6/30/21,Germantown,38138,TN
140,Brookdale Gallatin,Sumner,400 HANCOCK ROAD,74,ASSISTED CARE LIVING FACILITY,6/30/21,Gallatin,37066,TN
73,Brookdale Germantown,Shelby,7701 POPLAR AVE,54,ASSISTED CARE LIVING FACILITY,6/30/21,Germantown,38138,TN
86,Brookdale Goodlettsville,Sumner,2025 CALDWELL DRIVE,55,ASSISTED CARE LIVING FACILITY,6/30/21,Goodlettsville,37072,TN
178,Brookdale Goodlettsville,Sumner,3001 BUSINESS PARK CIR,40,ASSISTED CARE LIVING FACILITY,6/30/21,Goodlettsville,37072,TN
294,Brookdale Green Hills Cumberland,Davidson,15 BURTON HILLS BLVD,149,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37215,TN
151,Brookdale Greeneville,Greene,155 SERRAL DR,60,ASSISTED CARE LIVING FACILITY,6/30/21,Greeneville,37743,TN
327,Brookdale Hixson,Hamilton,2515 HIXSON PIKE,50,ASSISTED CARE LIVING FACILITY,6/30/21,Hixson,37343,TN
328,Brookdale Jackson Oaks,Madison,3131 N HIGHLAND AVE,49,ASSISTED CARE LIVING FACILITY,6/30/21,Jackson,38305,TN
154,Brookdale Johnson City,Washington,2003 WATER'S EDGE DR,60,ASSISTED CARE LIVING FACILITY,6/30/21,Johnson City,37604,TN
94,Brookdale Kingsport,Sullivan,2424 JOHN B DENNIS HWY,70,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37660,TN
242,Brookdale Mount Vernon Drive,Bradley,1775 MT VERNON DR NW,40,ASSISTED CARE LIVING FACILITY,6/30/21,Cleveland,37311,TN
17,Brookdale Rock Springs,Sullivan,640 ROCK SPRINGS RD,70,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37664,TN
76,Brookdale Sandy Springs,Blount,511 PEARSON SPRINGS RD,100,ASSISTED CARE LIVING FACILITY,6/30/21,Maryville,37803,TN
188,Brookdale Sevierville,Sevier,1020 MIDDLE CREEK RD,70,ASSISTED CARE LIVING FACILITY,6/30/21,Sevierville,37862,TN
16,Brookdale Tullahoma,Coffee,801 WILSON AVE,76,ASSISTED CARE LIVING FACILITY,6/30/21,Tullahoma,37388,TN
29,Burton Court At The Blakeford,Davidson,11 BURTON HILLS BLVD,78,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37215,TN
66,Cadence At Rivergate,Davidson,94 TWIN HILLS DR,113,ASSISTED CARE LIVING FACILITY,6/30/21,Madison,37115,TN
350,Cades Center,Madison,82 WILL MCKNIGHT DR,48,ASSISTED CARE LIVING FACILITY,6/30/21,Jackson,38301,TN
397,Cades Center Of Humboldt,Gibson,1632 HWY 65 W BY-PASS N,48,ASSISTED CARE LIVING FACILITY,6/30/21,Humboldt,38343,TN
449,Canterfield Of Franklin,Williamson,7015 MOORES LN,99,ASSISTED CARE LIVING FACILITY,6/30/21,Brentwood,37027,TN
399,Canterfield Of Oak Ridge,Anderson,200 BUS TERMINAL RD,96,ASSISTED CARE LIVING FACILITY,6/30/21,Oak Ridge,37830,TN
61,Carriage Court Of Memphis,Shelby,1645 W MASSEY RD,125,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38120,TN
260,Carriage House Inn,Bedford,311 COLLOREDO BLVD,49,ASSISTED CARE LIVING FACILITY,6/30/21,Shelbyville,37160,TN
347,Carrick Glen Senior Living,Wilson,100 CARRICK COURT,89,ASSISTED CARE LIVING FACILITY,6/30/21,Mount Juliet,37122,TN
405,Carthage Assisted Living,Smith,130 LEBANON HWY,74,ASSISTED CARE LIVING FACILITY,6/30/21,Carthage,37030,TN
82,Cedar Hills Retirement Center,Putnam,1250 CEDAR HILLS DRIVE,55,ASSISTED CARE LIVING FACILITY,6/30/21,Cookeville,38506,TN
5,Celebration Way,Bedford,895 UNION STREET,42,ASSISTED CARE LIVING FACILITY,6/30/21,Shelbyville,37160,TN
185,Chandler House,Jefferson,550 DEERVIEW WAY,64,ASSISTED CARE LIVING FACILITY,6/30/21,Jefferson City,37760,TN
270,Charter Senior Living At Hermitage,Davidson,4131 ANDREW JACKSON PKWY,60,ASSISTED CARE LIVING FACILITY,6/30/21,Hermitage,37076,TN
491,Clarendale At Bellevue Place,Davidson,7632 HWY 70S,85,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37221,TN
472,Clarendale At Indian Lake,Sumner,195 INDIAN LAKE BLVD,78,ASSISTED CARE LIVING FACILITY,6/30/21,Hendersonville,37075,TN
423,Clover Hill Senior Living,Blount,2317 HWY 411 S,57,ASSISTED CARE LIVING FACILITY,6/30/21,Maryville,37801,TN
14,Commonwealth Senior Living At Oak Ridge,Anderson,360 LABORATORY ROAD,62,ASSISTED CARE LIVING FACILITY,6/30/21,Oak Ridge,37830,TN
263,Cornerstone Village North Assisted Living,Washington,2012 SHERWOOD DR,24,ASSISTED CARE LIVING FACILITY,6/30/21,Johnson City,37601,TN
78,Cornerstone Village South Assisted Living,Washington,213 UNIVERSITY PKWY,79,ASSISTED CARE LIVING FACILITY,6/30/21,Johnson City,37604,TN
168,Country Cottage - Lawrenceburg,Lawrence,469 WEAKLEY CREEK RD,29,ASSISTED CARE LIVING FACILITY,6/30/21,Lawrenceburg,38464,TN
308,Creekside At Three Rivers,Rutherford,2744 ASHERS FORK RD,117,ASSISTED CARE LIVING FACILITY,6/30/21,Murfreesboro,37128,TN
38,Crown Cypress,Sullivan,2424 EAST STONE DR,60,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37660,TN
172,Cumberland Ridge Assisted Living Center,Cumberland,458 WAYNE AVE,40,ASSISTED CARE LIVING FACILITY,6/30/21,Crossville,38555,TN
259,David Jones Jr Assisted Living Center,Davidson,1204 SCHRADER ACRES DR,34,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37208,TN
88,Deane Hill Place,Knox,401 CATHERINE MCAULEY WAY,124,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37919,TN
198,Dewitt Place,Hamblen,2131 WALTERS DRIVE,62,ASSISTED CARE LIVING FACILITY,6/30/21,Morristown,37814,TN
32,Dogwood Bend,Montgomery,160 HILLCREST,50,ASSISTED CARE LIVING FACILITY,6/30/21,Clarksville,37043,TN
468,Dogwood Pointe,Gibson,9001 TELECOM DRIVE,36,ASSISTED CARE LIVING FACILITY,6/30/21,Milan,38358,TN
443,Dominion Senior Living Of Athens,Mcminn,2090 W MADISON AVE,72,ASSISTED CARE LIVING FACILITY,6/30/21,Athens,37303,TN
437,Dominion Senior Living Of Bristol,Sullivan,425 SHELBY LN,58,ASSISTED CARE LIVING FACILITY,6/30/21,Bristol,37620,TN
422,Dominion Senior Living Of Crossville,Cumberland,887 WOODLAND RD,58,ASSISTED CARE LIVING FACILITY,6/30/21,Crossville,38555,TN
429,Dominion Senior Living Of Hixson,Hamilton,2143 NORTHPOINT BLVD,66,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37343,TN
402,Dominion Senior Living Of Johnson City,Washington,2412 KNOB CREEK RD,68,ASSISTED CARE LIVING FACILITY,6/30/21,Johnson City,37604,TN
392,Dominion Senior Living Of Sevierville,Sevier,1102 MEDICAL PARK CT,56,ASSISTED CARE LIVING FACILITY,6/30/21,Sevierville,37862,TN
318,Eagle Crest Assisted Living,Hamilton,8248 STANDIFER GAP RD,16,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37421,TN
49,Eiffel Gardens,Henry,1025 VOLUNTEER DRIVE,48,ASSISTED CARE LIVING FACILITY,6/30/21,Paris,38242,TN
68,Elizabeth Fletcher House,Cumberland,40 FLETCHER DRIVE,62,ASSISTED CARE LIVING FACILITY,6/30/21,Pleasant Hill,38578,TN
62,Elmcroft Of Bartlett,Shelby,3345 KIRBY WHITTEN PKWY,116,ASSISTED CARE LIVING FACILITY,6/30/21,Bartlett,38134,TN
64,Elmcroft Of Brentwood,Davidson,5436 EDMONSON PIKE,118,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37211,TN
119,Elmcroft Of Bristol,Sullivan,826 MEADOW VIEW RD,99,ASSISTED CARE LIVING FACILITY,6/30/21,Bristol,37620,TN
28,Elmcroft Of Halls,Knox,7521 ANDERSONVILLE PK,65,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37938,TN
72,Elmcroft Of Hamilton Place,Hamilton,1502 GUNBARREL RD,60,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37421,TN
123,Elmcroft Of Hendersonville,Sumner,1020 CARRINGTON PLACE,66,ASSISTED CARE LIVING FACILITY,6/30/21,Hendersonville,37075,TN
36,Elmcroft Of Jackson,Madison,911 OLD HUMBOLDT RD,88,ASSISTED CARE LIVING FACILITY,6/30/21,Jackson,38305,TN
125,Elmcroft Of Johnson City,Washington,406 E MOUNTAIN VIEW RD,80,ASSISTED CARE LIVING FACILITY,6/30/21,Johnson City,37604,TN
121,Elmcroft Of Kingsport,Sullivan,901 TEASEL DR,64,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37660,TN
138,Elmcroft Of Lebanon,Wilson,801 W MAIN ST,82,ASSISTED CARE LIVING FACILITY,6/30/21,Lebanon,37087,TN
127,Elmcroft Of Murfreesboro,Rutherford,3211 MEMORIAL BLVD,80,ASSISTED CARE LIVING FACILITY,6/30/21,Murfreesboro,37129,TN
63,Elmcroft Of Shallowford C/O Eclipse Senior Living,Hamilton,7127 LEE HWY STE 500,113,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37421,TN
126,Elmcroft Of West Knoxville,Knox,8024 GLEASON DR,125,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37919,TN
4,Family Ministries John M Reed Center,Washington,124 JOHN M REED HOME RD,44,ASSISTED CARE LIVING FACILITY,6/30/21,Limestone,37681,TN
255,Fieldstone Place,Montgomery,51 PATEL WAY,52,ASSISTED CARE LIVING FACILITY,6/30/21,Clarksville,37043,TN
166,Fireside Villa/Providence Place,Shelby,3535 KIRBY ROAD,64,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38115,TN
395,Fountains Of Franklin,Williamson,4100 MURFREESBORO RD,98,ASSISTED CARE LIVING FACILITY,6/30/21,Franklin,37067,TN
15,Foxbridge Assisted Living & Memory Care,Shelby,2180 MANGUM RD,149,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38134,TN
191,"Franklin Manor, An Inspirit Senior Living Community",Franklin,3619 COWAN HWY,40,ASSISTED CARE LIVING FACILITY,6/30/21,Winchester,37398,TN
466,Freedom Senior Living,Sevier,2951 BOYDS CREEK HWY,61,ASSISTED CARE LIVING FACILITY,6/30/21,Sevierville,37876,TN
143,Garden Plaza Of Cleveland,Bradley,3500 KEITH STREET,53,ASSISTED CARE LIVING FACILITY,6/30/21,Cleveland,37312,TN
317,Gardens Of Germantown,Shelby,3179 PROFESSIONAL PLAZA DR,62,ASSISTED CARE LIVING FACILITY,6/30/21,Germantown,38138,TN
251,Germantown Plantation Senior Living Community,Shelby,9293 POPLAR AVE,152,ASSISTED CARE LIVING FACILITY,6/30/21,Germantown,38139,TN
320,Good Samaritan Society - Fairfield Glade,Cumberland,100 SAMARITAN WAY,99,ASSISTED CARE LIVING FACILITY,6/30/21,Fairfield Glade,38555,TN
341,Governor'S Bend Retirement & Assisted Living,Unicoi,1631 ZANE WHITSON DR,124,ASSISTED CARE LIVING FACILITY,6/30/21,Erwin,37650,TN
325,Grace Manor,Davidson,1420 OLD HICKORY BLVD,46,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37207,TN
417,Green Crest Assisted Living Centers,Decatur,55 HERBERT VOLNER LANE,40,ASSISTED CARE LIVING FACILITY,6/30/21,Parsons,38363,TN
46,Greenbrier Meadows,Weakley,436 HANNINGS LANE,50,ASSISTED CARE LIVING FACILITY,6/30/21,Martin,38237,TN
496,Harborchase Of Germantown,Shelby,6300 BRIARCREST AVE,160,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38120,TN
460,Harmony At Brentwood,Williamson,9045 CHURCH STREET EAST,124,ASSISTED CARE LIVING FACILITY,6/30/21,Brentwood,37027,TN
453,Harmony At Victory Station,Rutherford,211 FORTRESS BLVD,99,ASSISTED CARE LIVING FACILITY,6/30/21,Murfreesboro,37128,TN
107,Harmony Hill,Carroll,100 JERRY F ADKINS LANE,54,ASSISTED CARE LIVING FACILITY,6/30/21,Huntingdon,38344,TN
321,Hearth At Hendersonville,Sumner,419 E MAIN ST,155,ASSISTED CARE LIVING FACILITY,6/30/21,Hendersonville,37075,TN
173,Hearthside At Castle Heights,Wilson,215 CASTLE HEIGHTS AVE N,49,ASSISTED CARE LIVING FACILITY,6/30/21,Lebanon,37087,TN
383,Hearthside Senior Living At Collierville,Shelby,601 WOLF RIVER BLVD,120,ASSISTED CARE LIVING FACILITY,6/30/21,Collierville,38017,TN
393,Hearthside Senior Living Of Bartlett,Shelby,7480 US HWY 70,120,ASSISTED CARE LIVING FACILITY,6/30/21,Bartlett,38133,TN
70,Heritage Assisted Living,Knox,273 S PETERS RD,38,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37923,TN
365,Heritage At Irene Woods,Shelby,4580 S FOREST HILL IRENE RD,69,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38125,TN
106,Heritage Place Assisted Living,Henderson,1735 N BROAD ST,24,ASSISTED CARE LIVING FACILITY,6/30/21,Lexington,38351,TN
278,Heritage Pointe Senior Living,Putnam,1030 S MAPLE AVE,66,ASSISTED CARE LIVING FACILITY,6/30/21,Cookeville,38501,TN
248,Hickory Gardens Assisted Living By Americare,Davidson,527 OLD HICKORY BLVD,42,ASSISTED CARE LIVING FACILITY,6/30/21,Madison,37115,TN
432,Hickory Hills Alzheimer'S Special Care Center,Sumner,162 INDIAN LAKE BLVD,66,ASSISTED CARE LIVING FACILITY,6/30/21,Hendersonville,37075,TN
1,Ivy Crest,Giles,101 IVY LANE,24,ASSISTED CARE LIVING FACILITY,6/30/21,Pulaski,38478,TN
