License Number,Facility Name,County,Address,Capacity
148,Brookdale Colonial Heights,Sullivan,"400 Professional Park Dr
Kingsport, TN 37663",60
139,Brookdale Columbia,Maury,"5011 Trotwood Ave
Columbia, TN 38401",55
352,Brookdale Dogwood Creek,Shelby,"8199 Poplar Ave
Germantown, TN 38138",60
140,Brookdale Gallatin,Sumner,"400 Hancock Road
Gallatin, TN 37066",74
73,Brookdale Germantown,Shelby,"7701 Poplar Ave
Germantown, TN 38138",54
86,Brookdale Goodlettsville,Sumner,"2025 Caldwell Drive
Goodlettsville, TN 37072",55
178,Brookdale Goodlettsville,Sumner,"3001 Business Park Cir
Goodlettsville, TN 37072",40
294,Brookdale Green Hills Cumberland,Davidson,"15 Burton Hills Blvd
Nashville, TN 37215",149
151,Brookdale Greeneville,Greene,"155 Serral Dr
Greeneville, TN 37743",60
327,Brookdale Hixson,Hamilton,"2515 Hixson Pike
Hixson, TN 37343",50
328,Brookdale Jackson Oaks,Madison,"3131 N Highland Ave
Jackson, TN 38305",49
154,Brookdale Johnson City,Washington,"2003 Water's Edge Dr
Johnson City, TN 37604",60
94,Brookdale Kingsport,Sullivan,"2424 John B Dennis Hwy
Kingsport, TN 37660",70
242,Brookdale Mount Vernon Drive,Bradley,"1775 Mt Vernon Dr NW
Cleveland, TN 37311",40
17,Brookdale Rock Springs,Sullivan,"640 Rock Springs Rd
Kingsport, TN 37664",70
76,Brookdale Sandy Springs,Blount,"511 Pearson Springs Rd
Maryville, TN 37803",100
188,Brookdale Sevierville,Sevier,"1020 Middle Creek Rd
Sevierville, TN 37862",70
16,Brookdale Tullahoma,Coffee,"801 Wilson Ave
Tullahoma, TN 37388",76
29,Burton Court at the Blakeford,Davidson,"11 Burton Hills Blvd
Nashville, TN 37215",78
66,Cadence at Rivergate,Davidson,"94 Twin Hills Dr
Madison, TN 37115",113
350,Cades Center,Madison,"82 Will McKnight Dr
Jackson, TN 38301",48
397,Cades Center of Humboldt,Gibson,"1632 Hwy 65 W By-Pass N
Humboldt, TN 38343",48
449,Canterfield of Franklin,Williamson,"7015 Moores Ln
Brentwood, TN 37027",99
399,Canterfield of Oak Ridge,Anderson,"200 Bus Terminal Rd
Oak Ridge, TN 37830",96
61,Carriage Court of Memphis,Shelby,"1645 W Massey Rd
Memphis, TN 38120",125
260,Carriage House Inn,Bedford,"311 Colloredo Blvd
Shelbyville, TN 37160",49
347,Carrick Glen Senior Living,Wilson,"100 Carrick Court
Mount Juliet, TN 37122",89
405,Carthage Assisted Living,Smith,"130 Lebanon Hwy
Carthage, TN 37030",74
82,Cedar Hills Retirement Center,Putnam,"1250 Cedar Hills Drive
Cookeville, TN 38506",55
5,Celebration Way,Bedford,"895 Union Street
Shelbyville, TN 37160",42
185,Chandler House,Jefferson,"550 Deerview Way
Jefferson City, TN 37760",64
270,Charter Senior Living at Hermitage,Davidson,"4131 Andrew Jackson Pkwy
Hermitage, TN 37076",60
491,Clarendale at Bellevue Place,Davidson,"7632 Hwy 70S
Nashville, TN 37221",85
472,Clarendale at Indian Lake,Sumner,"195 Indian Lake Blvd
Hendersonville, TN 37075",78
423,Clover Hill Senior Living,Blount,"2317 Hwy 411 S
Maryville, TN 37801",57
14,"Commonwealth Senior Living at
Oak Ridge",Anderson,"360 Laboratory Road
Oak Ridge, TN 37830",62
263,"Cornerstone Village North
Assisted Living",Washington,"2012 Sherwood Dr
Johnson City, TN 37601",24
78,"Cornerstone Village South
Assisted Living",Washington,"213 University Pkwy
Johnson City, TN 37604",79
168,Country Cottage - Lawrenceburg,Lawrence,"469 Weakley Creek Rd
Lawrenceburg, TN 38464",29
308,Creekside at Three Rivers,Rutherford,"2744 Ashers Fork Rd
Murfreesboro, TN 37128",117
38,Crown Cypress,Sullivan,"2424 East Stone Dr
Kingsport, TN 37660",60
172,"Cumberland Ridge Assisted Living
Center",Cumberland,"458 Wayne Ave
Crossville, TN 38555",40
259,"David Jones Jr Assisted Living
Center",Davidson,"1204 Schrader Acres Dr
Nashville, TN 37208",34
88,Deane Hill Place,Knox,"401 Catherine McAuley Way
Knoxville, TN 37919",124
198,Dewitt Place,Hamblen,"2131 Walters Drive
Morristown, TN 37814",62
32,Dogwood Bend,Montgomery,"160 Hillcrest
Clarksville, TN 37043",50
468,Dogwood Pointe,Gibson,"9001 Telecom Drive
Milan, TN 38358",36
443,Dominion Senior Living of Athens,McMinn,"2090 W Madison Ave
Athens, TN 37303",72
437,Dominion Senior Living of Bristol,Sullivan,"425 Shelby Ln
Bristol, TN 37620",58
422,"Dominion Senior Living of
Crossville",Cumberland,"887 Woodland Rd
Crossville, TN 38555",58
429,Dominion Senior Living of Hixson,Hamilton,"2143 Northpoint Blvd
Chattanooga, TN 37343",66
402,"Dominion Senior Living of Johnson
City",Washington,"2412 Knob Creek Rd
Johnson City, TN 37604",68
392,"Dominion Senior Living of
Sevierville",Sevier,"1102 Medical Park Ct
Sevierville, TN 37862",56
318,Eagle Crest Assisted Living,Hamilton,"8248 Standifer Gap Rd
Chattanooga, TN 37421",16
49,Eiffel Gardens,Henry,"1025 Volunteer Drive
Paris, TN 38242",48
68,Elizabeth Fletcher House,Cumberland,"40 Fletcher Drive
Pleasant Hill, TN 38578",62
62,Elmcroft of Bartlett,Shelby,"3345 Kirby Whitten Pkwy
Bartlett, TN 38134",116
64,Elmcroft of Brentwood,Davidson,"5436 Edmonson Pike
Nashville, TN 37211",118
119,Elmcroft of Bristol,Sullivan,"826 Meadow View Rd
Bristol, TN 37620",99
28,Elmcroft of Halls,Knox,"7521 Andersonville Pk
Knoxville, TN 37938",65
72,Elmcroft of Hamilton Place,Hamilton,"1502 Gunbarrel Rd
Chattanooga, TN 37421",60
123,Elmcroft of Hendersonville,Sumner,"1020 Carrington Place
Hendersonville, TN 37075",66
36,Elmcroft of Jackson,Madison,"911 Old Humboldt Rd
Jackson, TN 38305",88
125,Elmcroft of Johnson City,Washington,"406 E Mountain View Rd
Johnson City, TN 37604",80
121,Elmcroft of Kingsport,Sullivan,"901 Teasel Dr
Kingsport, TN 37660",64
138,Elmcroft of Lebanon,Wilson,"801 W Main St
Lebanon, TN 37087",82
127,Elmcroft of Murfreesboro,Rutherford,"3211 Memorial Blvd
Murfreesboro, TN 37129",80
63,"Elmcroft of Shallowford C/O
Eclipse Senior Living",Hamilton,"7127 Lee Hwy Ste 500
Chattanooga, TN 37421",113
126,Elmcroft of West Knoxville,Knox,"8024 Gleason Dr
Knoxville, TN 37919",125
4,"Family Ministries John M Reed
Center",Washington,"124 John M Reed Home Rd
Limestone, TN 37681",44
255,Fieldstone Place,Montgomery,"51 Patel Way
Clarksville, TN 37043",52
166,Fireside Villa/Providence Place,Shelby,"3535 Kirby Road
Memphis, TN 38115",64
395,Fountains of Franklin,Williamson,"4100 Murfreesboro Rd
Franklin, TN 37067",98
15,"Foxbridge Assisted Living &
Memory Care",Shelby,"2180 Mangum Rd
Memphis, TN 38134",149
191,"Franklin Manor, An Inspirit Senior
Living Community",Franklin,"3619 Cowan Hwy
Winchester, TN 37398",40
466,Freedom Senior Living,Sevier,"2951 Boyds Creek Hwy
Sevierville, TN 37876",61
143,Garden Plaza of Cleveland,Bradley,"3500 Keith Street
Cleveland, TN 37312",53
317,Gardens of Germantown,Shelby,"3179 Professional Plaza Dr
Germantown, TN 38138",62
251,"Germantown Plantation Senior
Living Community",Shelby,"9293 Poplar Ave
Germantown, TN 38139",152
320,"Good Samaritan Society - Fairfield
Glade",Cumberland,"100 Samaritan Way
Fairfield Glade, TN 38555",99
341,"Governor's Bend Retirement &
Assisted Living",Unicoi,"1631 Zane Whitson Dr
Erwin, TN 37650",124
325,Grace Manor,Davidson,"1420 Old Hickory Blvd
Nashville, TN 37207",46
417,"Green Crest Assisted Living
Centers",Decatur,"55 Herbert Volner Lane
Parsons, TN 38363",40
46,Greenbrier Meadows,Weakley,"436 Hannings Lane
Martin, TN 38237",50
496,Harborchase of Germantown,Shelby,"6300 Briarcrest Ave
Memphis, TN 38120",160
460,Harmony at Brentwood,Williamson,"9045 Church Street East
Brentwood, TN 37027",124
453,Harmony at Victory Station,Rutherford,"211 Fortress Blvd
Murfreesboro, TN 37128",99
107,Harmony Hill,Carroll,"100 Jerry F Adkins Lane
Huntingdon, TN 38344",54
321,Hearth at Hendersonville,Sumner,"419 E Main St
Hendersonville, TN 37075",155
173,Hearthside at Castle Heights,Wilson,"215 Castle Heights Ave N
Lebanon, TN 37087",49
383,"Hearthside Senior Living at
Collierville",Shelby,"601 Wolf River Blvd
Collierville, TN 38017",120
393,"Hearthside Senior Living of
Bartlett",Shelby,"7480 US Hwy 70
Bartlett, TN 38133",120
70,Heritage Assisted Living,Knox,"273 S Peters Rd
Knoxville, TN 37923",38
365,Heritage at Irene Woods,Shelby,"4580 S Forest Hill Irene Rd
Memphis, TN 38125",69
106,Heritage Place Assisted Living,Henderson,"1735 N Broad St
Lexington, TN 38351",24
278,Heritage Pointe Senior Living,Putnam,"1030 S Maple Ave
Cookeville, TN 38501",66
248,"Hickory Gardens Assisted Living by
Americare",Davidson,"527 Old Hickory Blvd
Madison, TN 37115",42
432,"Hickory Hills Alzheimer's Special
Care Center",Sumner,"162 Indian Lake Blvd
Hendersonville, TN 37075",66
1,Ivy Crest,Giles,"101 Ivy Lane
Pulaski, TN 38478",24
512,Jubilee Hills at Warfield,Montgomery,"475 Bellamy Lane
Clarksville, TN 37043",110
295,Keestone Senior Community,Lawrence,"322 Kennedy Street
Lawrenceburg, TN 38464",45
463,Kempton of Hermitage,Davidson,"3778 Central Pike
Hermitage, TN 37076",99
217,"LaFollette Court Assisted Living
Community",Campbell,"139 Massachusetts Ave
LaFollette, TN 37766",55
265,Lakewood Place,Loudon,"1125 Grove Street
Loudon, TN 37774",46
481,Legacy Village of Cleveland,Bradley,"2255 Candies Lane NW
Cleveland, TN 37312",121
527,"Liberty Assisted Living, LLC",Blount,"312 McMaster Place     Maryville,
TN 37801",28
215,"Lincoln Manor, An Inspirit Senior
Living Community",Lincoln,"115 Medical Center Blvd
Fayetteville, TN 37334",49
222,"Lynnfield Place Assisted Care
Living Facility",McNairy,"150 High School Rd
Selmer, TN 38375",48
254,Mabry Assisted Living,Jackson,"100 Jettie Mabry Lane
Gainesboro, TN 38562",28
225,Magnolia Place,Humphreys,"811 W Main St
Waverly, TN 37185",47
234,Magnolia Place,Obion,"1620 N Clover St
Union City, TN 38261",42
141,Main Street Senior Living,Sumner,"674 E Main St
Hendersonville, TN 37075",99
163,Manorhouse Assisted Living,Knox,"8501 E Northshore Dr
Knoxville, TN 37922",105
183,Manorhouse Assisted Living,Hamilton,"1148 Mountain Creek Rd
Chattanooga, TN 37405",105
503,Maple Cottage Assisted Living,Sumner,"101 Maple Dr
Hendersonville, TN 37075",16
388,Maple Court,Knox,"7545 Thunder Lane
Powell, TN 37849",60
212,Maple Ridge Manor,Dyer,"705 Lake Road
Dyersburg, TN 38024",50
359,Maristone of Providence,Wilson,"140 Providence Trail
Mount Juliet, TN 37122",74
177,Martin-Boyd Christian Home,Hamilton,"6845 Standifer Gap Rd
Chattanooga, TN 37421",124
218,"Mary, Queen of Angels",Davidson,"34 White Bridge Rd
Nashville, TN 37205",130
40,"Maybelle Carter Senior Adult
Home",Davidson,"208 W Due West Ave
Madison, TN 37115",103
303,McArthur Manor Assisted Living,Coffee,"119 Bryan Ave
Manchester, TN 37355",62
237,McKendree Village,Davidson,"4347 Lebanon Rd
Hermitage, TN 37076",99
170,"McMinnville Boarding Home for
the Elderly",Warren,"345 Garfield St
McMinnville, TN 37110",33
344,"Meadow View Senior Living
Community",Anderson,"111 Acuff Lane
Clinton, TN 37716",49
482,"Memory Assisted Living at
Uplands Village",Cumberland,"880 W Main St
Pleasant Hill, TN 38578",31
96,Morning Pointe of Athens,McMinn,"1025 Crestway Dr
Athens, TN 37303",56
364,Morning Pointe of Brentwood,Williamson,"1522 Wilson Pike
Brentwood, TN 37027",80
137,Morning Pointe of Chattanooga,Hamilton,"7620 Shallowford Rd
Chattanooga, TN 37421",69
400,"Morning Pointe of Chattanooga at
Shallowford",Hamilton,"7719 Shallowford Rd
Chattanooga, TN 37421",90
201,Morning Pointe of Clinton,Anderson,"960 S Charles G Seivers Blvd
Clinton, TN 37716",58
273,Morning Pointe of Collegedale at Greenbriar Cove,Hamilton,"9650 Leyland Dr
Ooltewah, TN 37363",65
85,Morning Pointe of Greeneville,Greene,"324 Mt Bethel Rd
Greeneville, TN 37745",49
311,Morning Pointe of Hixson,Hamilton,"5501 Old Hixson Pike
Hixson, TN 37343",80
484,Morning Pointe of Knoxville,Knox,"9649 Westland Dr
Knoxville, TN 37922",81
304,Morning Pointe of Lenoir City,Loudon,"198 Morning Pointe Dr
Lenoir City, TN 37772",66
389,Morning Pointe of Powell,Knox,"7700 Dannaher Dr
Powell, TN 37849",80
450,Morning Pointe of Spring Hill,Maury,"1001 McCutheon Creek Ln
Spring Hill, TN 37174",80
80,Morning Pointe of Tullahoma,Coffee,"711 Kings Lane
Tullahoma, TN 37388",56
97,Morningside of Belmont,Davidson,"1710 Magnolia Blvd
Nashville, TN 37212",130
115,Morningside of Cleveland,Bradley,"2900 Westside Dr NW
Cleveland, TN 37312",49
91,Morningside of Cookeville,Putnam,"1010 East Spring St
Cookeville, TN 38501",84
87,Morningside of Franklin,Williamson,"105 Sunrise Circle
Franklin, TN 37067",49
50,Morningside of Gallatin,Sumner,"1085 Hartsville Pike
Gallatin, TN 37066",49
2,Morningside of Jackson,Madison,"1200 North Parkway
Jackson, TN 38305",70
30,Morningside of Paris,Henry,"350 Volunteer Dr
Paris, TN 38242",84
51,Morningside of Springfield,Robertson,"205 Westgate Dr
Springfield, TN 37172",55
209,Morningview Village,Blount,"2304 E Lamar Alexander Pkwy
Maryville, TN 37804",85
13,Mountainbrook Assisted Living,Sevier,"700 Markhill Dr
Sevierville, TN 37862",74
196,Navion Bke Bellevue,Davidson,"8118-B Sawyer Brown Rd
Nashville, TN 37221",99
128,Navion Bke Oak Ridge,Anderson,"734 Emory Valley Rd
Oak Ridge, TN 37830",94
84,NHC Healthcare Dickson,Dickson,"812 N Charlotte St
Dickson, TN 37055",20
189,NHC Healthcare Smithville,DeKalb,"825 Fisher Ave
Smithville, TN 37166",6
164,NHC Healthcare Somerville,Fayette,"308 Lake Drive
Somerville, TN 38068",12
245,NHC Place at Cool Springs,Williamson,"211 Cool Springs Blvd
Franklin, TN 37069",108
447,NHC Place at The Trace,Davidson,"8353 Hwy 100
Nashville, TN 37221",99
488,NHC Place Cavette Hill,Knox,"121 Cavette Hill Lane
Knoxville, TN 37934",64
6,NHC Place Farragut,Knox,"122 Cavett Hill Lane
Knoxville, TN 37934",124
401,NHC Place Sumner,Sumner,"140 Thorne Blvd
Gallatin, TN 37066",99
369,Northcliff Assisted Living,Henderson,"14691 Highway 22 N
Lexington, TN 38351",48
467,Northshore Senior Living,Knox,"8804 S Northshore Dr
Knoxville, TN 37922",74
118,"Oak Haven Assisted Care Living
Facility",Henderson,"1460 Crucifer Road
Huron, TN 38345",24
391,Oakwood Senior Living,Knox,"232 E Churchwell Ave
Knoxville, TN 37917",74
81,Olive Branch Assisted Living,Dickson,"110 Luther Road
Dickson, TN 37055",58
448,Opal at Music City,Davidson,"2733 McCampbell Ave
Nashville, TN 37214",115
45,Parkway Cove,Tipton,"805 Bert Johnston
Covington, TN 38019",42
77,Poplar Estates Retirement Center,Maury,"1310 Rosewood Dr
Columbia, TN 38401",58
280,Preston Place II,Sullivan,"2303 N John B Dennis Hwy
Kingsport, TN 37660",36
3,Preston Place Suites,Sullivan,"2001 N John B Dennis Hwy
Kingsport, TN 37660",66
486,"Princeton Transitional Care &
Assisted Living",Washington,"401 Princeton Road
Johnson City, TN 37601",79
431,Prosperity Pointe,Knox,"214 Prosperity Dr
Knoxville, TN 37923",74
174,Providence Place of Mt Juliet,Wilson,"1020 Charlie Daniels Pkwy
Mount Juliet, TN 37122",55
407,"Quail Ridge Alzheimer's Special
Care Center",Shelby,"2820 Kirby Whitten Pkwy
Bartlett, TN 38134",66
361,Raintree Terrace,Knox,"555 Rain Forest Rd
Knoxville, TN 37923",72
329,Red Cedar Glen,Sumner,"202 Walton Ferry Rd
Hendersonville, TN 37075",49
150,Regency House,Hamilton,"2062 Hamill Rd
Hixson, TN 37343",54
288,Regency Retirement Village,Hamblen,"739 E 2nd North St
Morristown, TN 37814",168
124,"Regency Retirement Village of
Jackson",Madison,"420 Cheyenne Dr
Jackson, TN 38305",74
277,Renaissance Terrace,Knox,"215 Bearden Place
Knoxville, TN 37917",50
299,"Richland Place Senior Living
Center",Sumner,"201 Richland Lake Dr
Portland, TN 37148",64
319,Ridgemont Manor #1,Shelby,"3805 Ridgemont Ave
Memphis, TN 38128",12
312,Ridgemont Manor #2,Shelby,"3815 Ridgemont Ave
Memphis, TN 38128",12
41,River Oaks Place,Loudon,"100 Fifth Ave
Lenoir City, TN 37771",35
52,River Oaks Place - Loudon,Loudon,"1101 Grove St
Loudon, TN 37774",49
200,River Wick,Hardin,"1545 Florence Rd
Savannah, TN 38372",48
370,Riverdale Assisted Living Facility,Shelby,"6880 East Raines Road
Memphis, TN 38115",96
114,Riverview Terrace,Warren,"114 Highland Dr
McMinnville, TN 37110",42
373,Rockgate Assisted Living Facility,Franklin,"328 Cumberland St W
Cowan, TN 37318",17
292,Rose of Sharon's Senior Villa,Hamilton,"5410 Lee Avenue
Chattanooga, TN 37410",28
290,"Schilling Gardens Assisted Living
by Americare",Shelby,"15 Schilling Bend Commons
Collierville, TN 38017",78
135,"Shannondale Assisted Living
Center",Knox,"7350 Middlebrook Pike
Knoxville, TN 37909",49
238,"Shannondale of Maryville Assisted
Living Center",Blount,"805 Shannondale Way
Maryville, TN 37803",59
26,Shelby Gardens Place,Shelby,"1535 Appling Care Lane
Cordova, TN 38018",88
492,Sheltering Arms,Grundy,"265 Turner Road
Palmer, TN 37365",8
424,Signature Lifestyles,Jefferson,"129 Mosey Creek Dr
Jefferson City, TN 37760",60
427,Signature Lifestyles,Hawkins,"1341 E Main St
Rogersville, TN 37857",60
434,Somerby of Franklin,Williamson,"870 Oak Meadow Dr
Franklin, TN 37064",96
485,Somerfield at the Heritage,Williamson,"900 Heritage Way
Brentwood, TN 37027",11
343,Someroak Senior Living,Fayette,"10790 Highway 64 W
Somerville, TN 38068",40
514,South High Senior Living,Knox,"835 Tipton Ave
Knoxville, TN 37221",74
363,Southbreeze Assisted Living,Shelby,"3168 Hacks Cross Rd
Memphis, TN 38125",88
300,Southerland Place,Williamson,"200 Winners Circle S
Brentwood, TN 37027",52
7,Southern Care,Williamson,"3595 Carothers Pkwy
Franklin, TN 37067",60
197,Southern Oaks,Chester,"558 White Ave
Henderson, TN 38340",38
240,"Springfield Heights Assisted Living
Facility",Robertson,"2540 South Main St
Springfield, TN 37172",50
471,"Springhouse Village of Collierville Assisted Care Living and Memory
Care",Shelby,"1633 Winchester Blvd
Collierville, TN 38017",124
302,Stonecrest,Macon,"2861 Hwy 52 By-Pass E
Lafayette, TN 37083",28
142,Stones River Manor,Rutherford,"205 Haynes Dr
Murfreesboro, TN 37129",100
293,Sugar Creek Retirement Center,Haywood,"1169 Dupree Ave
Brownsville, TN 38012",37
324,Summit View,Hamilton,"825 Runyan Drive
Chattanooga, TN 37405",40
497,Sunset Gardens,Johnson,"3683 Hwy 421 South
Mountain City, TN 37683",30
291,Sweetwater Living,Monroe,"245 Butler Dr
Sweetwater, TN 37874",10
474,"Sycamore Place Alzheimer's
Special Care Center",Shelby,"8722 Winchester Rd
Memphis, TN 38125",66
398,"Sycamore Springs Senior Living
Community",Carter,"1504 W Elk Ave
Elizabethton, TN 37643",60
152,Sycamore Trace,Roane,"1098 Bradford Way
Kingston, TN 37763",51
39,The Arbors at Dogwood Pointe,Gibson,"2080 Craig Dr
Milan, TN 38358",42
470,The Arbors at Springfield Heights,Robertson,"2530 South Main Street
Springfield, TN 37172",22
426,"The Arbors at The Etheridge
House",Obion,"1400 S Home St
Union City, TN 38261",32
518,The Blake at Kingsport,Sullivan,"915 Holston Hills Drive
Kingsport, TN 37664",130
165,"The Bridge Assisted Living at Life
Care Center of Columbia",Maury,"851 W James Campbell Blvd
Columbia, TN 38401",74
208,"The Bridge Assisted Living at Life
Care Center of Sparta",White,"508 Mose Drive
Sparta, TN 38583",60
360,The Bridge at Hickory Woods,Davidson,"4220 Murfreesboro Pike
Antioch, TN 37013",143
381,The Bridge at Ooltewah,Hamilton,"5901 Snow Hill Rd
Ooltewah, TN 37363",108
378,The Bridge at Rhea County,Rhea,"10055 Rhea County Hwy
Dayton, TN 37321",40
346,"The Courtyards Senior Living
Briarcliff",Anderson,"300 Briarcliff Ave Bldg #1
Oak Ridge, TN 37830",50
376,"The Courtyards Senior Living
Johnson City",Washington,"2111 E Lakeview Dr
Johnson City, TN 37601",83
445,"The Courtyards Senior Living
Knoxville",Knox,"1029 W Parkway Ave
Knoxville, TN 37912",32
377,"The Courtyards Senior Living
Knoxville 3",Knox,"801 E Inskip Dr
Knoxville, TN 37912",57
20,The Etheridge House,Obion,"701 Sherrill
Union City, TN 38261",46
285,The Gardens at Providence Place,Wilson,"1016 Charlie Daniels Pkwy
Mount Juliet, TN 37122",33
314,The Glenmary at Evergreen,Shelby,"1550 N Parkway
Memphis, TN 38112",54
161,"The Health Center at Richland
Place",Davidson,"504 Elmington Ave
Nashville, TN 37205",30
384,The Hearth at Franklin,Williamson,"1035 Fulton Greer Lane
Franklin, TN 37064",149
286,"The Lantern Alzheimer's Center at
Morning Pointe",Hamilton,"9300 Messinger Lane
Ooltewah, TN 37363",42
495,"The Lantern at Morning Pointe
Alzheimer's Center",Knox,"9647 Westland Dr
Knoxville, TN 37922",70
507,"The Lantern at Morning Pointe
Alzheimer's Center",Maury,"1003 McCutheon Creek Ln
Spring Hill, TN 37174",52
362,"The Lantern at Morning Pointe
Alzheimer's Center",Loudon,"155 Morning Pointe Dr
Lenoir City, TN 37772",49
502,"The Lantern at Morning Pointe of
Franklin",Williamson,"1015 Generations Way
Franklin, TN 37064",52
367,The Lodge at Natchez Trace,Davidson,"8207 Hwy 100
Nashville, TN 37221",122
159,The Lodge at Wood Village,Monroe,"524 Old Highway 68
Sweetwater, TN 37874",36
307,The Maristone of Franklin,Williamson,"347 Riverside Dr
Franklin, TN 37064",72
372,The Meadows at Halltown,Sumner,"711 Halltown Rd
Portland, TN 37148",21
216,"The Neighborhood at Tellico
Village",Loudon,"100 Chatuga Drive W
Loudon, TN 37774",112
480,The Pavilion Assisted Living,Wilson,"1409 Medical Center Dr
Lebanon, TN 37087",74
475,The Pinnacle on Schaeffer,Knox,"10520 Waterville Lane
Knoxville, TN 37923",74
510,The Place at Crossfield,Sumner,"111 Crossfield Drive
Hendersonville, TN 37075",11
131,The Pointe at Kirby Gate,Shelby,"6480 Quince Rd
Memphis, TN 38119",60
451,The Pointe at Lifespring,Knox,"4371 Lifespring Lane
Knoxville, TN 37918",94
456,The Reserve at Spring Hill,Maury,"2000 Reserve Blvd
Spring Hill, TN 37174",30
213,The Rutherford Assisted Living,Rutherford,"1658 Lacassas Pike
Murfreesboro, TN 37130",74
274,The Rutherford Memory Care,Rutherford,"2045 Gold Valley Dr
Murfreesboro, TN 37130",32
167,The Summit of Lawrenceburg,Lawrence,"186 Prosser Rd
Lawrenceburg, TN 38464",45
257,The Terrace at Mountain Creek,Hamilton,"1005 Mountain Creek Rd
Chattanooga, TN 37405",120
239,The Village at Allandale,Hawkins,"100 Strickland Court
Kingsport, TN 37660",78
253,The Village at Germantown,Shelby,"8020 Walking Horse Cir
Germantown, TN 38138",60
22,The Village at Primacy Place,Shelby,"6015 Primacy Pkwy
Memphis, TN 38119",70
145,The Village Manor,Marshall,"101 Tiger Blvd
Lewisburg, TN 37091",58
498,The Village of Murfreesboro,Rutherford,"2550 Willowoak Trail
Murfreesboro, TN 37129",22
296,The Waterford in Smyrna,Rutherford,"10540 Cedar Grove Rd
Smyrna, TN 37167",92
35,"The Webb House Retirement
Center",DeKalb,"115 Jennings Lane
Smithville, TN 37166",53
