Est Name,Address,City,State,Zip,Phone,License Number,Issued,Expires,AZ,Reg,FL,Total,Alzheimer,Adult Day,County
Bell Tower Retirement LLC,430 Sidney Street,East Dubuque,,61025,8157476701,5104481,09/13/18,05/15/19,14,11,23,48,Yes,No,JoDaviess
Belmont Village Buffalo Grove,500 McHenry Rd,Buffalo Grove,,60089,8475375000,5104242,03/30/18,03/30/20,46,70,,116,Yes,No,Lake
Benedale Ctr-Villa St. Benedict,1920 Maple Ave,Lisle,IL,60532,6307257000,5101396,10/06/17,10/06/19,14,51,,65,Yes,No,DuPage
Bethel Place-AZ Establishment,6901 N. Galena Rd,Peoria,IL,61614,3096899658,5100208,12/29/18,12/29/20,20,,,20,Yes,No,Peoria
Betty's Garden Memory Care,141 Acorn St South,Kewanee,IL,61443,3098839917,5106650,03/16/19,03/16/20,24,,,24,Yes,No,Henry
Bickford - Bloomington House,14 Heartland Dr,Bloomington,IL,61704,3096610094,5100240,04/17/19,04/17/20,16,,55,71,Yes,No,McLean
Bickford - Champaign Cottage,1002 S. Staley Rd,Champaign,IL,61822,2174031900,5100232,10/04/18,10/04/19,16,28,,44,Yes,No,Champaign
Bickford - Crystal Lake Cottage,717 McHenry Ave,Crystal Lake,IL,60014,8154774200,5102956,05/14/19,05/14/20,14,42,,56,Yes,Yes,McHenry
Bickford - Macomb Cottage,1600 Maple Ave,Macomb,IL,61455,3098369700,5100224,11/16/17,11/16/19,,28,,28,No,Yes,McDonough
Bickford - Moline Cottage,3650 41st St,Moline,IL,61265,3097360700,5101883,02/03/19,02/03/20,,28,,28,No,No,Rock Island
Bickford - Oswego Cottage,3712 Grove Rd,Oswego,IL,60543,6305548811,5102998,05/14/18,05/14/19,14,42,,56,Yes,No,Kendall
Bickford - Peoria I House,1920 W. Willow Knolls Dr,Peoria,IL,61614,3096895400,5100273,04/19/18,04/19/19,,,60,60,No,No,Peoria
Bickford - Peoria II Cottage,2000 W. Willow Knolls Dr.,Peoria,IL,61614,3095890800,5102469,04/19/19,04/19/20,32,,,32,Yes,Yes,Peoria
Bickford - Quincy Cottage,4221 Maine,Quincy,IL,62305,2172280800,5101909,10/21/18,10/21/19,7,39,,46,Yes,Yes,Adams
Bickford - Rockford House,960 N. Mulford Rd,Rockford,IL,61107,8153977100,5100265,11/11/18,11/11/19,,,65,65,No,No,Winnebago
Bickford - Springfield House,2451 W. White Oak Dr,Springfield,IL,62704,2177879000,5101891,09/07/18,09/07/19,,,55,55,No,No,Sangamon
Bickford Cottage - St. Charles,2875 Campton Hills Rd,St.Charles,IL,60175,6305878800,5103210,09/09/17,09/09/19,12,64,,76,Yes,No,Kane
Bickford of Aurora,7 South Orchard Road,Aurora,IL,60506,6306315555,5105934,09/08/18,09/08/19,16,44,,60,Yes,No,Kane
Bickford of Gurnee,301 S. Hunt Club Road,Gurnee,IL,60031,8472810780,5106270,04/26/18,04/26/19,16,44,,60,Yes,No,Lake
Bickford of Tinley Park,17301 80th Ave.,Tinley Park,,60477,7088455490,5105579,11/22/18,11/22/19,16,44,,60,Yes,No,Cook
"Birches, LLC (The)",215 55th St,Clarendon Hills,IL,60514,6307891135,5100307,01/16/19,01/16/20,32,58,,90,Yes,No,DuPage
Blackberry Cottage,904-B Estates Drive,Jerseyville,,62052,6189209898,5201501,07/08/18,07/08/19,10,,,10,Yes,No,Jersey
Bourbonnais Bickford House,100 Jones Dr,Bourbonnais,IL,60914,8159369500,5100257,05/16/18,05/16/20,,,50,50,No,Yes,Kankakee
Bradford Place,1463 Benchmark Ct,Swansea,IL,62226,6186240683,5103483,07/29/18,07/29/19,8,31,,39,Yes,No,St Clair
Bradford Villa LLC-IV,1122 Koch's Lane,Quincy,,62305,2172283379,5201220,10/01/18,10/01/20,,8,,8,No,No,Adams
"Bradford Villa, LLC-I",1122 Koch's Ln,Quincy,IL,62305,2172283379,5200362,10/01/18,10/01/20,,8,,8,No,No,Adams
"Bradford Villa, LLC-II",1122 Koch's Ln,Quincy,IL,62305,2172283379,5200560,10/01/18,10/01/20,,8,,8,No,No,Adams
"Bradford Villa, LLC-III",1122 Koch's Ln,Quincy,IL,62305,2172283379,5200693,10/01/18,10/01/20,,8,,8,No,No,Adams
Bridgeway Assisted Living,303 East Washington Street,Bensenville,,60106,6307660605,5104978,04/30/18,04/30/19,17,10,130,157,Yes,No,DuPage
Bridle Brook Assisted Living,1505 Patton Drive,Mahomet,,61853,2175863200,5105355,01/30/19,01/30/20,30,48,,78,Yes,No,Champaign
Bright Oaks of Aurora 1  (SMSK Aurora LLC),1340 River Street,Aurora,,60506,6308928800,5106874,03/01/19,07/01/19,24,36,,60,No,No,Kane
Brightly Senior Living Mascoutah,649 Legacy Place,Mascoutah,IL,62258,6185660566,5106114,07/01/18,07/01/19,22,35,,57,Yes,No,St Clair
Brighton Gardens of St. Charles,600 Dunham Rd,St. Charles,IL,60174,6305876120,5106809,04/01/19,08/01/19,39,65,,104,Yes,No,Kane
Brighton Gardens of Wheaton,831 E. Butterfield Rd,Wheaton,IL,60189,6306811234,5106817,04/01/19,08/01/19,38,78,,116,Yes,No,DuPage
Brookdale Des Plaines,800 S River Rd,Des Plaines,IL,60016,8472940100,5101743,10/15/18,10/15/19,,29,46,75,No,No,Cook
Brookdale Glen Ellyn,60 N. Nicoll Way,Glen Ellyn,IL,60137,6304461600,5100976,08/21/18,08/21/19,,63,,63,No,No,DuPage
Brookdale Hawthorne Lakes AL,10 E. Hawthorne Pkwy,Vernon Hills,IL,60061,8473672516,5101768,10/15/18,10/15/19,,50,12,62,No,No,Lake
Brookdale Hoffman Estates,1515 Barrington Rd,Hoffman Estates,IL,60169,8474905800,5101750,10/15/18,10/15/20,,,30,30,No,No,Cook
Brookdale Lake Shore Drive,2960 N. Lake Shore,Chicago,IL,60657,7738802960,5102378,03/21/19,03/21/20,,20,50,70,No,No,Cook
Brookdale Lake View,3121 N. Sheridan Rd,Chicago,IL,60657,7734049800,5101776,10/15/18,10/15/19,,41,16,57,No,No,Cook
Brookdale Lisle AL,1700 Robin Ln,Lisle,IL,60532,6309631880,5101735,10/15/18,10/15/19,,56,8,64,No,No,DuPage
Brookdale Northbrook,4501 Concord Ln,Northbrook,IL,60062,8478037100,5101131,07/08/18,07/08/19,,44,26,70,No,No,Cook
Brookdale Oak Park,1111 Ontario St,Oak Park,IL,60302,7083831111,5100786,02/25/19,08/22/19,,38,6,44,No,No,Cook
Brookdale Orland Park,16051 S. LaGrange Rd,Orland Park,IL,60467,7084032001,5103574,01/06/19,07/06/19,24,80,,104,Yes,No,Cook
Brookdale Urbana,1706 E Amber Ln,Urbana,IL,61802,2173283150,5100349,10/25/18,04/25/19,20,71,,91,Yes,No,Champaign
Brookdale Vernon Hills,145 N. Milwaukee Ave.,Vernon Hills,IL,60061,8477932470,5103798,12/30/18,12/30/19,,56,43,99,No,No,Lake
Brookstone Estates of Charleston,300 Lincoln Highway,Charleston,,61920,2173486500,5105009,04/19/18,04/19/19,16,,,16,Yes,No,Coles
Brookstone Estates of Olney,1110 North East Street,Olney,,62450,6183925870,5104994,04/21/19,04/21/20,,46,,46,No,No,Richland
Burge House (The),424 N. Worthey Street,Flora,IL,62839,6186620931,5201774,05/10/19,11/10/19,,16,,16,No,No,Clay
"Caledonian House, The",2800 S Des Plaines Avenue,North Riverside,,60546,7084475092,5105496,12/08/18,12/08/20,20,,,20,Yes,No,Cook
Carriage Crossing Champaign,1701 Congressional Way,Champaign,,61822,2173038840,5105611,11/05/18,11/05/20,18,42,,60,Yes,No,Champaign
Carriage Crossing Senior Living,909 Green Mill Rd,Arcola,,61910,2172683516,5104366,08/15/18,08/15/19,14,42,,56,Yes,Yes,Douglas
Carrington at Lincolnwood,3501 Northeast Parkway,Lincolnwood,IL,60712,8479736262,5106247,12/20/18,12/20/19,44,88,,132,Yes,No,Cook
Casita Catherine AL,1510 N 10th St,Quincy,IL,62301,2172244850,5201725,10/21/17,10/21/19,,10,,10,No,No,Adams
Cedar Lake Assisted Living & Memory Care,777 Church Street,Lake Zurich,,60047,8478474425,5105397,02/01/19,02/01/20,24,62,,86,Yes,No,Lake
Cedar Trails Senior Living,490 Urbana Drive,Freeburg,IL,62243,6185399190,5105983,04/22/19,12/19/19,16,45,,61,No,No,St Clair
Cedarhurst of Bethalto,903 North Moreland Road,Bethalto,IL,62010,6183910335,5106171,05/25/18,05/25/19,18,50,,68,Yes,No,Madison
Cedarhurst of Breese,13887 Progress Drive,Breese,IL,62230,6185269600,5106346,06/14/18,06/14/19,16,41,,57,Yes,No,Clinton
Cedarhurst of Centralia,1827 E. Mc Cord,Centralia,IL,62801,6189183764,5101630,03/22/19,03/22/20,16,,,16,Yes,No,Marion
Cedarhurst of Collinsville,1207 Vandalia Avenue,Collinsville,,62234,6183430800,5105330,01/01/19,01/01/20,15,51,,66,Yes,No,Madison
Cedarhurst of Edwardsville,7108 Marine Road,Edwardsville,,62025,6186599112,5104606,08/02/18,08/02/20,54,,,54,Yes,No,Madison
Cedarhurst of Godfrey,1000 Airport Rd,Godfrey,IL,62035,6184668831,5106890,04/01/19,08/01/19,,63,,63,No,No,Madison
Cedarhurst of Granite City,3450 Village Ln,Granite City,IL,62040,6189313988,5106882,04/01/19,08/01/19,,72,,72,No,No,Madison
Cedarhurst of Greenville,1200 E. Harris Avenue,Greenville,IL,62246,6186900116,5105942,11/24/18,11/24/19,16,,,16,Yes,No,Bond
Cedarhurst of Highland,220 Field Crossing Dr.,Highland,IL,62249,6186543737,5106338,06/14/18,06/14/19,5,52,,57,Yes,No,Madison
Cedarhurst of Jacksonville,2225 W. Morton Ave,Jacksonville,,62650,2172452996,5105652,01/06/19,01/06/20,18,50,,68,Yes,No,Morgan
Cedarhurst of Naperville,3333 75th Street,Woodridge,IL,60517,6303134992,5106189,07/13/18,07/13/19,24,85,,109,Yes,No,DuPage
Cedarhurst of Quincy,319 S. 48th Street,Quincy,IL,62305,2177426067,5106825,03/27/19,07/27/19,56,,,56,Yes,No,Adams
"Cedarhurst of Shiloh, LLC",429 S. Main St,Shiloh,IL,62269,6186229890,5103558,02/28/19,02/28/20,31,56,,87,Yes,No,St. Clair
Cedarhurst of Sparta,211 N. Market Street,Sparta,,62286,6184432600,5104713,05/30/18,05/30/19,,50,,50,No,No,Randolph
Cedarhurst of Sparta Memory Care,217 N Market St,Sparta,IL,62286,3148842000,5106205,05/30/18,05/30/19,16,,,16,Yes,No,Randolph
Cedarhurst of Waterloo,526 Legacy Drive,Waterloo,,62298,6189394030,5106320,06/14/18,06/14/19,,56,,56,No,No,Monroe
Cedarhurst of Waterloo MC,518 Legacy Drive,Waterloo,IL,62298,6189394344,5106353,06/14/18,06/14/19,30,,,30,Yes,No,Monroe
Cedarhurst of Yorkville,4040 Cannonball Trail,Yorkville,IL,60560,6303828725,5106833,05/01/19,09/01/19,20,53,,73,Yes,No,Kendall
Centennial Pointe Assisted Living,3440 Hedley Road,Springfield,,62712,2175469301,5105124,11/14/18,11/14/19,,28,,28,No,Yes,Sangamon
Central Baptist Village,4747 N Canfield Ave,Norridge,IL,60706,7085838500,5100364,05/15/18,05/15/20,,96,,96,No,No,Cook
Century Assisted Living I,701 South Lewis Lane,Carbondale,IL,62901,6185499898,5200867,04/14/18,04/14/19,12,,,12,Yes,No,Jackson
Century Assisted Living II,703 Lewis Lane,Carbondale,IL,62901,6185499898,5200875,04/14/18,04/14/19,14,,,14,Yes,No,Jackson
Charter Senior Living of Glen Ellyn,190 Geneva Road,Glen Ellyn,,60137,6309090101,5107005,04/01/19,08/01/19,44,,,44,Yes,No,DuPage
Cherryvale Place,1545 Temple Lane,Rockford,,61112,8153328484,5105686,12/31/18,12/31/19,22,71,4,97,Yes,No,Winnebago
Christian Garden Villa I,3406 W. Washington St,Springfield,IL,62711,2177879600,5200925,03/31/17,03/31/19,,10,,10,No,No,Sangamon
Christian Garden Villa II,3408 W. Washington St.,Springfield,IL,62711,2177879600,5201147,03/31/17,03/31/19,,10,,10,No,No,Sangamon
Church Creek,1250 W. Central Road,Arlington Heights,,60005,8475063200,5104085,02/28/18,02/28/19,21,13,,34,Yes,No,Cook
Clarendale of Algonquin,2001 West Algonquin RD,Algonquin,,60102,8474586800,5105702,02/28/19,02/28/20,54,60,,114,Yes,No,Mc Henry
Clarendale of Mokena,21536 South Wolf Road,Mokena,,60448,8154644418,5106767,04/20/19,04/20/20,40,53,3,96,No,No,Will
Colfax Manor Assisted Living,8200 S Colfax Ave.,Chicago,,60617,7732034098,5201162,03/30/19,03/30/20,4,,,4,Yes,No,Cook
"Colonnade Senior Living, The",700 Weber Road,O' Fallon,,62269,6186246000,5104614,07/21/18,07/21/19,43,82,,125,Yes,No,St Clair
Concordia Village,4101 West Iles,Springfield,IL,62711,2177939429,5103228,12/12/18,12/12/19,,48,,48,No,No,Sangamon
Copper Creek Cottages,203 Stahlhut Dr,Lincoln,,62656,2176518364,5105462,11/15/18,11/15/19,30,,,30,Yes,Yes,Logan
Copper Creek Cottages,1007 E. Columbia St,Litchfield,IL,62056,2173241900,5106064,12/04/18,12/04/19,30,,,30,Yes,Yes,Montgomery
Copper Creek Cottages,920 Country Club Road,Mattoon,IL,61938,2172350001,5105892,09/19/18,09/19/19,30,,,30,Yes,Yes,Coles
Cordia Senior Residence,865 N. Cass Ave,Westmont,IL,60559,6308877000,5100406,10/04/18,10/04/19,,116,,116,No,No,DuPage
Cottage at New Perspective (The),1902 Eleventh St.,Silvis,IL,61282,3097922800,5101053,04/30/18,04/30/20,13,,,13,Yes,No,Rock Island
"Cottages At Salem, Inc",339 S. Hotze Rd,Salem,IL,62881,6185948581,5201758,08/25/18,08/25/19,15,,,15,Yes,No,Marion
Cottages of Fox Lake (The)  (Cottages 18 & 20 AZ),"16,18,20,22 Lilac Ave",Fox Lake,IL,60020,8474374663,5106429,06/16/18,06/16/19,32,32,,64,Yes,No,Lake
"Cottages of New Lenox, Cottage #1",1023 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106916,04/09/19,08/09/19,,16,,16,No,No,Will
"Cottages of New Lenox, Cottage #2",1025 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106924,04/09/19,08/09/19,16,,,16,Yes,No,Will
"Cottages of New Lenox, Cottage #3",1027 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106932,04/09/19,08/09/19,16,,,16,Yes,No,Will
"Cottages of New Lenox, Cottage #4",1029 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106940,04/09/19,08/09/19,16,,,16,Yes,No,Will
"Cottages of New Lenox, Cottage #5",1031 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106957,04/09/19,08/09/19,16,,,16,Yes,No,Will
Country Comfort -Elmwood,829 Hurff Drive,Elmwood,,61529,3097422274,5201386,11/08/17,11/08/19,6,6,,12,Yes,No,Peoria
Country Comfort Henry,615 Patricia Ln,Henry,IL,61537,3093643607,5200818,05/29/18,05/29/19,8,,,8,Yes,No,Marshall
Country Comfort Princeton,802 N. Mercer,Princeton,IL,61356,8158792096,5200800,11/04/17,11/04/19,8,,,8,Yes,No,Bureau
Country Lane Memory Care,875 Riverton Road,Riverton,,62561,2176294265,5105454,12/04/18,12/04/19,30,,,30,Yes,Yes,Sangamon
Courtyard Estates of Bradford,100 Courtyard Estates,Bradford,IL,61421,3098978316,5102683,04/15/18,04/15/20,,18,,18,No,No,Stark
Courtyard Estates of Bushnell,1201 N.Cole St,Bushnell,IL,61422,3097728000,5103012,07/07/18,07/07/19,9,29,,38,Yes,No,McDonough
Courtyard Estates of Farmington,1000 East Fort Street,Farmington,,61531,3092452550,5105553,01/18/19,01/18/20,11,21,,32,Yes,No,Fulton
Courtyard Estates of Galva,1000 Courtyard Estates,Galva,IL,61434,3099322600,5102733,04/16/19,04/16/21,,32,,32,No,No,Henry
Courtyard Estates of Kewanee,141 Junior Ave South,Kewanee,IL,61443,3098532460,5100414,12/02/18,12/02/20,,35,,35,No,No,Henry
Courtyard Estates of Knoxville,415 East Main Street,Knoxville,,61448,3092892660,5105348,04/02/19,04/02/20,7,25,,32,Yes,No,Knox
Courtyard Estates of Monmouth,1 Courtyard Blvd,Monmouth,IL,61462,3097349355,5101693,09/27/18,09/27/20,,51,,51,No,No,Warren
Courtyard Village of Kewanee,860 Sunset Dr,Kewanee,IL,61443,3098534044,5101537,12/02/18,12/02/20,,39,,39,No,No,Henry
Crimson Pointe,7130 Crimson Ridge Dr.,Rockford,IL,61107,8153987792,5103699,12/27/18,12/27/19,,73,,73,No,No,Winnebago
Eastland Retirement Community,901 Eastland Drive,Auburn,,62615,2174389394,5105405,02/11/19,02/11/20,,42,,42,No,No,Sangamon
Eberhardt Village,431 W. Palmer,Arthur,IL,61911,2175433705,5101917,11/15/18,11/15/19,,37,,37,No,No,Moultrie
"Eden Retirement Center, Inc",300 S.Station Rd,Glen Carbon,IL,62034,6182885014,5103020,08/26/18,08/26/19,,74,50,124,No,No,Madison
Elevate Saint Andrew Living,7000 N. Newark Avenue,Niles,,60714,8476478332,5106973,04/01/19,08/01/19,12,47,,59,Yes,No,Cook
Elmcroft of Wyndcrest,4817 Oak Hill Road,Rochester,,62563,2174986959,5104424,10/29/18,10/29/20,,37,,37,No,No,Sangamon
Emerald Place,1879 Chestnut Avenue,Glenview,IL,60025,2242069588,5106197,04/13/19,04/13/20,66,,,66,Yes,No,Cook
Ems Haven of Rest,719 S. McKinley,Havana,IL,62644,3094020060,5200404,11/28/18,11/28/20,,4,,4,No,No,Mason
Estates Senior Living & Spa (Ninebark),6800 Ninebark,Springfield,IL,62712,2179713905,5201733,01/21/19,01/21/20,,6,,6,No,No,Sangamon
"Estates Senior Living & Spa, The",3305 Collingwood Drive,Springfield,,62711,2179713905,5201477,02/05/19,02/05/21,,5,,5,No,No,Sangamon
Eve Assisted Living,10 N. Washington,Hinsdale,IL,60521,6304911000,5103756,04/26/19,04/26/20,11,50,,61,Yes,No,DuPage
Ever-Green Manor Memory Care,8641 South Saginaw,Chicago,IL,60617,7732034098,5201782,11/13/18,03/13/19,6,,,6,Yes,No,Cook
Evergreen Place,4114 West Springfield Avenue,Champaign,,61822,2175304300,5106726,01/01/19,01/01/20,,52,,52,No,No,Champaign
Evergreen Place AL,801 W Gregory St,Normal,IL,61761,3094519355,5100497,07/08/17,07/08/19,,60,,60,No,No,McLean
Evergreen Place Senior Living - Orland Park,10820 183rd Street,Orland Park,,60467,7084791082,5105439,07/08/18,07/08/19,40,76,,116,Yes,No,Will
Evergreen Senior Living - Chillicothe,404 S. Stillwater Drive,Chillicothe,,61523,3092745440,5105033,03/09/19,03/09/20,20,53,,73,Yes,No,Peoria
Fairview Assisted Living,605 North 4th St.,Fairbury,IL,61739,8156922572,5201857,02/01/18,02/01/20,,13,,13,No,No,Livingston
Family 1st Shared Home of Oregon,8 Terrace View Blvd,Oregon,IL,61061,8157324045,5200628,12/13/18,12/13/19,,16,,16,No,No,Ogle
"Fifth Season Res., Benton",401 N. DuQuoin St,Benton,IL,62812,6184396600,5101719,10/13/18,10/13/20,,28,,28,No,No,Franklin
"Fifth Season Res., Radcliffe",915 Radcliffe St,Marion,IL,62959,6189932800,5100513,03/13/19,03/13/20,,26,,26,No,No,Williamson
Fountains at Crystal Lake,965 N. Brighton Circle,Crystal Lake,IL,60012,8154558400,5105140,06/01/18,06/01/19,15,80,40,135,Yes,No,McHenry
