Facility Name,Address,City,State,Zip Code,Phone Number,License Number,Capacity,County,Date Accessed,State Facility Type 1 Literal
Aspired Living Of Westmont,407 WEST 63RD STREET,Westmont,IL,60559,6309604400,5105850,107,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Assisi Hc Center At Clare Oaks,829 CARILLON DR.,Bartlett,IL,60103,6304834742,5102816,33,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Assisted Living At Franciscan Village,11400 THERESA DRIVE,Lemont,IL,60439,6302433500,5104622,34,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Assisted Living At Silver Creek,1227 WINDING OAKS LN,Mascoutah,IL,62258,6185664100,5102634,33,St. Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Assisted Living At Victory Lakes,1065 VICTORY DR,Lindenhurst,IL,60046,8473564800,5102980,60,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Atria At River Trail,370 N. WEBER ROAD,Bolingbrook,IL,60440,3312536511,5106544,128,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
Atria Park Of Glen Ellyn,95 CARLETON AVENUE,Glen Ellyn,IL,60137,6304695555,5101248,85,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Atrium (The),2885 MCFARLAND ROAD,Rockford,IL,61107,8152823340,5106460,40,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Autumn Accolade, Inc.",13516 TOWNLINE RD,Green Valley,IL,61534,3093481548,5100125,40,Tazewell,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Fields Adult Community,325 E. ORANGE ST.,Hoopeston,IL,60942,2172832120,5103897,51,Vermilion,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Fields Of Savoy,65 EAST AIRPORT ROAD,Savoy,IL,61874,2173551990,5104820,46,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Fields Of Tilton,316 E 14TH ST,Tilton,IL,61833,2176552255,5106668,48,Vermilion,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Green At Midway Village,6700 S. KEATING,Chicago,IL,60629,7735822888,5103996,44,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Green At Wright Campus,4239 N. OAK PARK AVE.,Chicago,IL,60634,7732023388,5103988,45,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Leaves Of Arlington Heights,1625 S. ARLINGTON HEIGHTS RD,Arlington Heights,IL,60005,8477256700,5105165,42,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Leaves Of Bolingbrook,351 LILY CACHE LANE,Bolingbrook,IL,60440,6307590797,5104283,36,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Leaves Of Crystal Lake,495 ALEXANDRA BLVD,Crystal Lake,IL,60014,8154597800,5102865,36,Mchenry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Leaves Of Gurnee,505 N. HUNT CLUB ROAD,Gurnee,IL,60031,8886628886,5105363,42,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Leaves Of Oswego,900 DOUGLAS RD.,Oswego,IL,60543,3314547540,5103962,40,Kendall,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Leaves Of South Barrington,215 BARTLETT ROAD,South Barrington,IL,60010,8478441205,5104762,38,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Leaves Of St. Charles,10 N. PECK ST.,St. Charles,IL,60174,6304854510,5103970,40,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Autumn Leaves Of Vernon Hills,500 ATRIUM DR,Vernon Hills,IL,60061,8479961000,5102949,36,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Avonlea Cottage #1/Quad Cities,2021 E. 1ST ST,Milan,IL,61264,3097560755,5100133,30,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
Avonlea Cottage #2/Quad Cities,2025 E. 1ST ST,Milan,IL,61264,3097562257,5100141,16,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
Avonlea Cottage Of Dixon,503 COUNTRYSIDE LANE,Dixon,IL,61021,8152886044,5104838,16,Lee,6/24/21,ASSISTED LIVING/SHARED HOUSING
Avonlea Cottage/Sterling,2201 E. LEFEVRE RD,Sterling,IL,61081,8156265439,5100158,30,Whiteside,6/24/21,ASSISTED LIVING/SHARED HOUSING
Axelson Assisted Living,2195 FOXGLOVE DR,Northbrook,IL,60062,8474806350,5102881,58,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bell Tower Retirement Llc,430 SIDNEY STREET,East Dubuque,IL,61025,8157476701,5104481,48,Jodaviess,6/24/21,ASSISTED LIVING/SHARED HOUSING
Belmont Village Buffalo Grove,500 MCHENRY RD,Buffalo Grove,IL,60089,8475375000,5104242,116,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Benedale Ctr-Villa St. Benedict,1920 MAPLE AVE,Lisle,IL,60532,6307257000,5101396,65,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bethel Place-Az Establishment,6901 N. GALENA RD,Peoria,IL,61614,3096899658,5100208,20,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Betty'S Garden Memory Care,141 ACORN ST SOUTH,Kewanee,IL,61443,3098839917,5106650,24,Henry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Bloomington House,14 HEARTLAND DR,Bloomington,IL,61704,3096610094,5100240,71,Mclean,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Champaign Cottage,1002 S. STALEY RD,Champaign,IL,61822,2174031900,5100232,44,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Crystal Lake Cottage,717 MCHENRY AVE,Crystal Lake,IL,60014,8154774200,5102956,56,Mchenry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Macomb Cottage,1600 MAPLE AVE,Macomb,IL,61455,3098369700,5100224,28,Mcdonough,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Moline Cottage,3650 41ST ST,Moline,IL,61265,3097360700,5101883,28,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Oswego Cottage,3712 GROVE RD,Oswego,IL,60543,6305548811,5102998,56,Kendall,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Peoria I House,1920 W. WILLOW KNOLLS DR,Peoria,IL,61614,3096895400,5100273,60,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Peoria Ii Cottage,2000 W. WILLOW KNOLLS DR.,Peoria,IL,61614,3095890800,5102469,32,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Quincy Cottage,4221 MAINE,Quincy,IL,62305,2172280800,5101909,46,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Rockford House,960 N. MULFORD RD,Rockford,IL,61107,8153977100,5100265,65,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford - Springfield House,2451 W. WHITE OAK DR,Springfield,IL,62704,2177879000,5101891,55,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford Cottage - St. Charles,2875 CAMPTON HILLS RD,St.Charles,IL,60175,6305878800,5103210,76,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford Of Aurora,7 SOUTH ORCHARD ROAD,Aurora,IL,60506,6306315555,5105934,60,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford Of Gurnee,301 S. HUNT CLUB ROAD,Gurnee,IL,60031,8472810780,5106270,60,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bickford Of Tinley Park,17301 80TH AVE.,Tinley Park,IL,60477,7088455490,5105579,60,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Birches, Llc (The)",215 55TH ST,Clarendon Hills,IL,60514,6307891135,5100307,90,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Blackberry Cottage,904-B ESTATES DRIVE,Jerseyville,IL,62052,6189209898,5201501,10,Jersey,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bourbonnais Bickford House,100 JONES DR,Bourbonnais,IL,60914,8159369500,5100257,50,Kankakee,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bradford Place,1463 BENCHMARK CT,Swansea,IL,62226,6186240683,5103483,39,St Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bradford Villa Llc-Iv,1122 KOCH'S LANE,Quincy,IL,62305,2172283379,5201220,8,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Bradford Villa, Llc-I",1122 KOCH'S LN,Quincy,IL,62305,2172283379,5200362,8,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Bradford Villa, Llc-Ii",1122 KOCH'S LN,Quincy,IL,62305,2172283379,5200560,8,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Bradford Villa, Llc-Iii",1122 KOCH'S LN,Quincy,IL,62305,2172283379,5200693,8,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bridgeway Assisted Living,303 EAST WASHINGTON STREET,Bensenville,IL,60106,6307660605,5104978,157,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bridle Brook Assisted Living,1505 PATTON DRIVE,Mahomet,IL,61853,2175863200,5105355,78,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Bright Oaks Of Aurora 1  (Smsk Aurora Llc),1340 RIVER STREET,Aurora,IL,60506,6308928800,5106874,60,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brightly Senior Living Mascoutah,649 LEGACY PLACE,Mascoutah,IL,62258,6185660566,5106114,57,St Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brighton Gardens Of St. Charles,600 DUNHAM RD,St. Charles,IL,60174,6305876120,5106809,104,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brighton Gardens Of Wheaton,831 E. BUTTERFIELD RD,Wheaton,IL,60189,6306811234,5106817,116,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Des Plaines,800 S RIVER RD,Des Plaines,IL,60016,8472940100,5101743,75,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Glen Ellyn,60 N. NICOLL WAY,Glen Ellyn,IL,60137,6304461600,5100976,63,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Hawthorne Lakes Al,10 E. HAWTHORNE PKWY,Vernon Hills,IL,60061,8473672516,5101768,62,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Hoffman Estates,1515 BARRINGTON RD,Hoffman Estates,IL,60169,8474905800,5101750,30,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Lake Shore Drive,2960 N. LAKE SHORE,Chicago,IL,60657,7738802960,5102378,70,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Lake View,3121 N. SHERIDAN RD,Chicago,IL,60657,7734049800,5101776,57,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Lisle Al,1700 ROBIN LN,Lisle,IL,60532,6309631880,5101735,64,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Northbrook,4501 CONCORD LN,Northbrook,IL,60062,8478037100,5101131,70,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Oak Park,1111 ONTARIO ST,Oak Park,IL,60302,7083831111,5100786,44,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Orland Park,16051 S. LAGRANGE RD,Orland Park,IL,60467,7084032001,5103574,104,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Urbana,1706 E AMBER LN,Urbana,IL,61802,2173283150,5100349,91,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookdale Vernon Hills,145 N. MILWAUKEE AVE.,Vernon Hills,IL,60061,8477932470,5103798,99,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookstone Estates Of Charleston,300 LINCOLN HIGHWAY,Charleston,IL,61920,2173486500,5105009,16,Coles,6/24/21,ASSISTED LIVING/SHARED HOUSING
Brookstone Estates Of Olney,1110 NORTH EAST STREET,Olney,IL,62450,6183925870,5104994,46,Richland,6/24/21,ASSISTED LIVING/SHARED HOUSING
Burge House (The),424 N. WORTHEY STREET,Flora,IL,62839,6186620931,5201774,16,Clay,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Caledonian House, The",2800 S DES PLAINES AVENUE,North Riverside,IL,60546,7084475092,5105496,20,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Carriage Crossing Champaign,1701 CONGRESSIONAL WAY,Champaign,IL,61822,2173038840,5105611,60,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Carriage Crossing Senior Living,909 GREEN MILL RD,Arcola,IL,61910,2172683516,5104366,56,Douglas,6/24/21,ASSISTED LIVING/SHARED HOUSING
Carrington At Lincolnwood,3501 NORTHEAST PARKWAY,Lincolnwood,IL,60712,8479736262,5106247,132,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Casita Catherine Al,1510 N 10TH ST,Quincy,IL,62301,2172244850,5201725,10,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedar Lake Assisted Living & Memory Care,777 CHURCH STREET,Lake Zurich,IL,60047,8478474425,5105397,86,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedar Trails Senior Living,490 URBANA DRIVE,Freeburg,IL,62243,6185399190,5105983,61,St Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Bethalto,903 NORTH MORELAND ROAD,Bethalto,IL,62010,6183910335,5106171,68,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Breese,13887 PROGRESS DRIVE,Breese,IL,62230,6185269600,5106346,57,Clinton,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Centralia,1827 E. MC CORD,Centralia,IL,62801,6189183764,5101630,16,Marion,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Collinsville,1207 VANDALIA AVENUE,Collinsville,IL,62234,6183430800,5105330,66,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Edwardsville,7108 MARINE ROAD,Edwardsville,IL,62025,6186599112,5104606,54,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Godfrey,1000 AIRPORT RD,Godfrey,IL,62035,6184668831,5106890,63,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Granite City,3450 VILLAGE LN,Granite City,IL,62040,6189313988,5106882,72,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Greenville,1200 E. HARRIS AVENUE,Greenville,IL,62246,6186900116,5105942,16,Bond,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Highland,220 FIELD CROSSING DR.,Highland,IL,62249,6186543737,5106338,57,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Jacksonville,2225 W. MORTON AVE,Jacksonville,IL,62650,2172452996,5105652,68,Morgan,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Naperville,3333 75TH STREET,Woodridge,IL,60517,6303134992,5106189,109,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Quincy,319 S. 48TH STREET,Quincy,IL,62305,2177426067,5106825,56,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Cedarhurst Of Shiloh, Llc",429 S. MAIN ST,Shiloh,IL,62269,6186229890,5103558,87,St. Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Sparta,211 N. MARKET STREET,Sparta,IL,62286,6184432600,5104713,50,Randolph,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Sparta Memory Care,217 N MARKET ST,Sparta,IL,62286,3148842000,5106205,16,Randolph,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Waterloo,526 LEGACY DRIVE,Waterloo,IL,62298,6189394030,5106320,56,Monroe,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Waterloo Mc,518 LEGACY DRIVE,Waterloo,IL,62298,6189394344,5106353,30,Monroe,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cedarhurst Of Yorkville,4040 CANNONBALL TRAIL,Yorkville,IL,60560,6303828725,5106833,73,Kendall,6/24/21,ASSISTED LIVING/SHARED HOUSING
Centennial Pointe Assisted Living,3440 HEDLEY ROAD,Springfield,IL,62712,2175469301,5105124,28,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Central Baptist Village,4747 N CANFIELD AVE,Norridge,IL,60706,7085838500,5100364,96,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Century Assisted Living I,701 SOUTH LEWIS LANE,Carbondale,IL,62901,6185499898,5200867,12,Jackson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Century Assisted Living Ii,703 LEWIS LANE,Carbondale,IL,62901,6185499898,5200875,14,Jackson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Charter Senior Living Of Glen Ellyn,190 GENEVA ROAD,Glen Ellyn,IL,60137,6309090101,5107005,44,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cherryvale Place,1545 TEMPLE LANE,Rockford,IL,61112,8153328484,5105686,97,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Christian Garden Villa I,3406 W. WASHINGTON ST,Springfield,IL,62711,2177879600,5200925,10,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Christian Garden Villa Ii,3408 W. WASHINGTON ST.,Springfield,IL,62711,2177879600,5201147,10,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Church Creek,1250 W. CENTRAL ROAD,Arlington Heights,IL,60005,8475063200,5104085,34,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Clarendale Of Algonquin,2001 WEST ALGONQUIN RD,Algonquin,IL,60102,8474586800,5105702,114,Mc Henry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Clarendale Of Mokena,21536 SOUTH WOLF ROAD,Mokena,IL,60448,8154644418,5106767,96,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
Colfax Manor Assisted Living,8200 S COLFAX AVE.,Chicago,IL,60617,7732034098,5201162,4,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Colonnade Senior Living, The",700 WEBER ROAD,O' Fallon,IL,62269,6186246000,5104614,125,St Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Concordia Village,4101 WEST ILES,Springfield,IL,62711,2177939429,5103228,48,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Copper Creek Cottages,203 STAHLHUT DR,Lincoln,IL,62656,2176518364,5105462,30,Logan,6/24/21,ASSISTED LIVING/SHARED HOUSING
Copper Creek Cottages,1007 E. COLUMBIA ST,Litchfield,IL,62056,2173241900,5106064,30,Montgomery,6/24/21,ASSISTED LIVING/SHARED HOUSING
Copper Creek Cottages,920 COUNTRY CLUB ROAD,Mattoon,IL,61938,2172350001,5105892,30,Coles,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cordia Senior Residence,865 N. CASS AVE,Westmont,IL,60559,6308877000,5100406,116,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cottage At New Perspective (The),1902 ELEVENTH ST.,Silvis,IL,61282,3097922800,5101053,13,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Cottages At Salem, Inc",339 S. HOTZE RD,Salem,IL,62881,6185948581,5201758,15,Marion,6/24/21,ASSISTED LIVING/SHARED HOUSING
Cottages Of Fox Lake (The)  (Cottages 18 & 20 Az),"16,18,20,22 LILAC AVE",Fox Lake,IL,60020,8474374663,5106429,64,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Cottages Of New Lenox, Cottage #1",1023 S. CEDAR RD,New Lenox,IL,60451,8154638880,5106916,16,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Cottages Of New Lenox, Cottage #2",1025 S. CEDAR RD,New Lenox,IL,60451,8154638880,5106924,16,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Cottages Of New Lenox, Cottage #3",1027 S. CEDAR RD,New Lenox,IL,60451,8154638880,5106932,16,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Cottages Of New Lenox, Cottage #4",1029 S. CEDAR RD,New Lenox,IL,60451,8154638880,5106940,16,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Cottages Of New Lenox, Cottage #5",1031 S. CEDAR RD,New Lenox,IL,60451,8154638880,5106957,16,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
Country Comfort -Elmwood,829 HURFF DRIVE,Elmwood,IL,61529,3097422274,5201386,12,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Country Comfort Henry,615 PATRICIA LN,Henry,IL,61537,3093643607,5200818,8,Marshall,6/24/21,ASSISTED LIVING/SHARED HOUSING
Country Comfort Princeton,802 N. MERCER,Princeton,IL,61356,8158792096,5200800,8,Bureau,6/24/21,ASSISTED LIVING/SHARED HOUSING
Country Lane Memory Care,875 RIVERTON ROAD,Riverton,IL,62561,2176294265,5105454,30,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Courtyard Estates Of Bradford,100 COURTYARD ESTATES,Bradford,IL,61421,3098978316,5102683,18,Stark,6/24/21,ASSISTED LIVING/SHARED HOUSING
Courtyard Estates Of Bushnell,1201 N.COLE ST,Bushnell,IL,61422,3097728000,5103012,38,Mcdonough,6/24/21,ASSISTED LIVING/SHARED HOUSING
Courtyard Estates Of Farmington,1000 EAST FORT STREET,Farmington,IL,61531,3092452550,5105553,32,Fulton,6/24/21,ASSISTED LIVING/SHARED HOUSING
Courtyard Estates Of Galva,1000 COURTYARD ESTATES,Galva,IL,61434,3099322600,5102733,32,Henry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Courtyard Estates Of Kewanee,141 JUNIOR AVE SOUTH,Kewanee,IL,61443,3098532460,5100414,35,Henry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Courtyard Estates Of Knoxville,415 EAST MAIN STREET,Knoxville,IL,61448,3092892660,5105348,32,Knox,6/24/21,ASSISTED LIVING/SHARED HOUSING
Courtyard Estates Of Monmouth,1 COURTYARD BLVD,Monmouth,IL,61462,3097349355,5101693,51,Warren,6/24/21,ASSISTED LIVING/SHARED HOUSING
Courtyard Village Of Kewanee,860 SUNSET DR,Kewanee,IL,61443,3098534044,5101537,39,Henry,6/24/21,ASSISTED LIVING/SHARED HOUSING
