Facility Name,Address,City,State,Zip Code,Phone Number,License Number,Capacity,County
Assisted Living at Franciscan Village,11400 Theresa Drive,Lemont,IL,60439,6302433500,5104622,34,Cook
Assisted Living at Silver Creek,1227 Winding Oaks Ln,Mascoutah,IL,62258,6185664100,5102634,33,St. Clair
Assisted Living at Victory Lakes,1065 Victory Dr,Lindenhurst,IL,60046,8473564800,5102980,60,Lake
Atria at River Trail,370 N. Weber Road,Bolingbrook,IL,60440,3312536511,5106544,128,Will
Atria Park of Glen Ellyn,95 Carleton Avenue,Glen Ellyn,IL,60137,6304695555,5101248,85,DuPage
Atrium (The),2885 McFarland Road,Rockford,IL,61107,8152823340,5106460,40,Winnebago
"Autumn Accolade, Inc.",13516 Townline Rd,Green Valley,IL,61534,3093481548,5100125,40,Tazewell
Autumn Fields Adult Community,325 E. Orange St.,Hoopeston,IL,60942,2172832120,5103897,51,Vermilion
Autumn Fields of Savoy,65 East Airport Road,Savoy,IL,61874,2173551990,5104820,46,Champaign
Autumn Fields of Tilton,316 E 14th St,Tilton,IL,61833,2176552255,5106668,48,Vermilion
Autumn Green at Midway Village,6700 S. Keating,Chicago,IL,60629,7735822888,5103996,44,Cook
Autumn Green at Wright Campus,4239 N. Oak Park Ave.,Chicago,IL,60634,7732023388,5103988,45,Cook
Autumn Leaves of Arlington Heights,1625 S. Arlington Heights Rd,Arlington Heights,IL,60005,8477256700,5105165,42,Cook
Autumn Leaves of Bolingbrook,351 Lily Cache Lane,Bolingbrook,IL,60440,6307590797,5104283,36,DuPage
Autumn Leaves of Crystal Lake,495 Alexandra Blvd,Crystal Lake,IL,60014,8154597800,5102865,36,McHenry
Autumn Leaves of Gurnee,505 N. Hunt Club Road,Gurnee,IL,60031,8886628886,5105363,42,Lake
Autumn Leaves of Oswego,900 Douglas Rd.,Oswego,IL,60543,3314547540,5103962,40,Kendall
Autumn Leaves of South Barrington,215 Bartlett Road,South Barrington,IL,60010,8478441205,5104762,38,Cook
Autumn Leaves of St. Charles,10 N. Peck St.,St. Charles,IL,60174,6304854510,5103970,40,Kane
Autumn Leaves of Vernon Hills,500 Atrium Dr,Vernon Hills,IL,60061,8479961000,5102949,36,Lake
Avonlea Cottage #1/Quad Cities,2021 E. 1st St,Milan,IL,61264,3097560755,5100133,30,Rock Island
Avonlea Cottage #2/Quad Cities,2025 E. 1st St,Milan,IL,61264,3097562257,5100141,16,Rock Island
Avonlea Cottage of Dixon,503 Countryside Lane,Dixon,IL,61021,8152886044,5104838,16,Lee
Avonlea Cottage/Sterling,2201 E. LeFevre Rd,Sterling,IL,61081,8156265439,5100158,30,Whiteside
Axelson Assisted Living,2195 Foxglove Dr,Northbrook,IL,60062,8474806350,5102881,58,Cook
Bell Tower Retirement LLC,430 Sidney Street,East Dubuque,IL,61025,8157476701,5104481,48,JoDaviess
Belmont Village Buffalo Grove,500 McHenry Rd,Buffalo Grove,IL,60089,8475375000,5104242,116,Lake
Benedale Ctr-Villa St. Benedict,1920 Maple Ave,Lisle,IL,60532,6307257000,5101396,65,DuPage
Bethel Place-AZ Establishment,6901 N. Galena Rd,Peoria,IL,61614,3096899658,5100208,20,Peoria
Betty's Garden Memory Care,141 Acorn St South,Kewanee,IL,61443,3098839917,5106650,24,Henry
Bickford - Bloomington House,14 Heartland Dr,Bloomington,IL,61704,3096610094,5100240,71,McLean
Bickford - Champaign Cottage,1002 S. Staley Rd,Champaign,IL,61822,2174031900,5100232,44,Champaign
Bickford - Crystal Lake Cottage,717 McHenry Ave,Crystal Lake,IL,60014,8154774200,5102956,56,McHenry
Bickford - Macomb Cottage,1600 Maple Ave,Macomb,IL,61455,3098369700,5100224,28,McDonough
Bickford - Moline Cottage,3650 41st St,Moline,IL,61265,3097360700,5101883,28,Rock Island
Bickford - Oswego Cottage,3712 Grove Rd,Oswego,IL,60543,6305548811,5102998,56,Kendall
Bickford - Peoria I House,1920 W. Willow Knolls Dr,Peoria,IL,61614,3096895400,5100273,60,Peoria
Bickford - Peoria II Cottage,2000 W. Willow Knolls Dr.,Peoria,IL,61614,3095890800,5102469,32,Peoria
Bickford - Quincy Cottage,4221 Maine,Quincy,IL,62305,2172280800,5101909,46,Adams
Bickford - Rockford House,960 N. Mulford Rd,Rockford,IL,61107,8153977100,5100265,65,Winnebago
Bickford - Springfield House,2451 W. White Oak Dr,Springfield,IL,62704,2177879000,5101891,55,Sangamon
Bickford Cottage - St. Charles,2875 Campton Hills Rd,St.Charles,IL,60175,6305878800,5103210,76,Kane
Bickford of Aurora,7 South Orchard Road,Aurora,IL,60506,6306315555,5105934,60,Kane
Bickford of Gurnee,301 S. Hunt Club Road,Gurnee,IL,60031,8472810780,5106270,60,Lake
Bickford of Tinley Park,17301 80th Ave.,Tinley Park,IL,60477,7088455490,5105579,60,Cook
"Birches, LLC (The)",215 55th St,Clarendon Hills,IL,60514,6307891135,5100307,90,DuPage
Blackberry Cottage,904-B Estates Drive,Jerseyville,IL,62052,6189209898,5201501,10,Jersey
Bourbonnais Bickford House,100 Jones Dr,Bourbonnais,IL,60914,8159369500,5100257,50,Kankakee
Bradford Place,1463 Benchmark Ct,Swansea,IL,62226,6186240683,5103483,39,St Clair
Bradford Villa LLC-IV,1122 Koch's Lane,Quincy,IL,62305,2172283379,5201220,8,Adams
"Bradford Villa, LLC-I",1122 Koch's Ln,Quincy,IL,62305,2172283379,5200362,8,Adams
"Bradford Villa, LLC-II",1122 Koch's Ln,Quincy,IL,62305,2172283379,5200560,8,Adams
"Bradford Villa, LLC-III",1122 Koch's Ln,Quincy,IL,62305,2172283379,5200693,8,Adams
Bridgeway Assisted Living,303 East Washington Street,Bensenville,IL,60106,6307660605,5104978,157,DuPage
Bridle Brook Assisted Living,1505 Patton Drive,Mahomet,IL,61853,2175863200,5105355,78,Champaign
Bright Oaks of Aurora 1  (SMSK Aurora LLC),1340 River Street,Aurora,IL,60506,6308928800,5106874,60,Kane
Brightly Senior Living Mascoutah,649 Legacy Place,Mascoutah,IL,62258,6185660566,5106114,57,St Clair
Brighton Gardens of St. Charles,600 Dunham Rd,St. Charles,IL,60174,6305876120,5106809,104,Kane
Brighton Gardens of Wheaton,831 E. Butterfield Rd,Wheaton,IL,60189,6306811234,5106817,116,DuPage
Brookdale Des Plaines,800 S River Rd,Des Plaines,IL,60016,8472940100,5101743,75,Cook
Brookdale Glen Ellyn,60 N. Nicoll Way,Glen Ellyn,IL,60137,6304461600,5100976,63,DuPage
Brookdale Hawthorne Lakes AL,10 E. Hawthorne Pkwy,Vernon Hills,IL,60061,8473672516,5101768,62,Lake
Brookdale Hoffman Estates,1515 Barrington Rd,Hoffman Estates,IL,60169,8474905800,5101750,30,Cook
Brookdale Lake Shore Drive,2960 N. Lake Shore,Chicago,IL,60657,7738802960,5102378,70,Cook
Brookdale Lake View,3121 N. Sheridan Rd,Chicago,IL,60657,7734049800,5101776,57,Cook
Brookdale Lisle AL,1700 Robin Ln,Lisle,IL,60532,6309631880,5101735,64,DuPage
Brookdale Northbrook,4501 Concord Ln,Northbrook,IL,60062,8478037100,5101131,70,Cook
Brookdale Oak Park,1111 Ontario St,Oak Park,IL,60302,7083831111,5100786,44,Cook
Brookdale Orland Park,16051 S. LaGrange Rd,Orland Park,IL,60467,7084032001,5103574,104,Cook
Brookdale Urbana,1706 E Amber Ln,Urbana,IL,61802,2173283150,5100349,91,Champaign
Brookdale Vernon Hills,145 N. Milwaukee Ave.,Vernon Hills,IL,60061,8477932470,5103798,99,Lake
Brookstone Estates of Charleston,300 Lincoln Highway,Charleston,IL,61920,2173486500,5105009,16,Coles
Brookstone Estates of Olney,1110 North East Street,Olney,IL,62450,6183925870,5104994,46,Richland
Burge House (The),424 N. Worthey Street,Flora,IL,62839,6186620931,5201774,16,Clay
"Caledonian House, The",2800 S Des Plaines Avenue,North Riverside,IL,60546,7084475092,5105496,20,Cook
Carriage Crossing Champaign,1701 Congressional Way,Champaign,IL,61822,2173038840,5105611,60,Champaign
Carriage Crossing Senior Living,909 Green Mill Rd,Arcola,IL,61910,2172683516,5104366,56,Douglas
Carrington at Lincolnwood,3501 Northeast Parkway,Lincolnwood,IL,60712,8479736262,5106247,132,Cook
Casita Catherine AL,1510 N 10th St,Quincy,IL,62301,2172244850,5201725,10,Adams
Cedar Lake Assisted Living & Memory Care,777 Church Street,Lake Zurich,IL,60047,8478474425,5105397,86,Lake
Cedar Trails Senior Living,490 Urbana Drive,Freeburg,IL,62243,6185399190,5105983,61,St Clair
Cedarhurst of Bethalto,903 North Moreland Road,Bethalto,IL,62010,6183910335,5106171,68,Madison
Cedarhurst of Breese,13887 Progress Drive,Breese,IL,62230,6185269600,5106346,57,Clinton
Cedarhurst of Centralia,1827 E. Mc Cord,Centralia,IL,62801,6189183764,5101630,16,Marion
Cedarhurst of Collinsville,1207 Vandalia Avenue,Collinsville,IL,62234,6183430800,5105330,66,Madison
Cedarhurst of Edwardsville,7108 Marine Road,Edwardsville,IL,62025,6186599112,5104606,54,Madison
Cedarhurst of Godfrey,1000 Airport Rd,Godfrey,IL,62035,6184668831,5106890,63,Madison
Cedarhurst of Granite City,3450 Village Ln,Granite City,IL,62040,6189313988,5106882,72,Madison
Cedarhurst of Greenville,1200 E. Harris Avenue,Greenville,IL,62246,6186900116,5105942,16,Bond
Cedarhurst of Highland,220 Field Crossing Dr.,Highland,IL,62249,6186543737,5106338,57,Madison
Cedarhurst of Jacksonville,2225 W. Morton Ave,Jacksonville,IL,62650,2172452996,5105652,68,Morgan
Cedarhurst of Naperville,3333 75th Street,Woodridge,IL,60517,6303134992,5106189,109,DuPage
Cedarhurst of Quincy,319 S. 48th Street,Quincy,IL,62305,2177426067,5106825,56,Adams
"Cedarhurst of Shiloh, LLC",429 S. Main St,Shiloh,IL,62269,6186229890,5103558,87,St. Clair
Cedarhurst of Sparta,211 N. Market Street,Sparta,IL,62286,6184432600,5104713,50,Randolph
Cedarhurst of Sparta Memory Care,217 N Market St,Sparta,IL,62286,3148842000,5106205,16,Randolph
Cedarhurst of Waterloo,526 Legacy Drive,Waterloo,IL,62298,6189394030,5106320,56,Monroe
Cedarhurst of Waterloo MC,518 Legacy Drive,Waterloo,IL,62298,6189394344,5106353,30,Monroe
Cedarhurst of Yorkville,4040 Cannonball Trail,Yorkville,IL,60560,6303828725,5106833,73,Kendall
Centennial Pointe Assisted Living,3440 Hedley Road,Springfield,IL,62712,2175469301,5105124,28,Sangamon
Central Baptist Village,4747 N Canfield Ave,Norridge,IL,60706,7085838500,5100364,96,Cook
Century Assisted Living I,701 South Lewis Lane,Carbondale,IL,62901,6185499898,5200867,12,Jackson
Century Assisted Living II,703 Lewis Lane,Carbondale,IL,62901,6185499898,5200875,14,Jackson
Charter Senior Living of Glen Ellyn,190 Geneva Road,Glen Ellyn,IL,60137,6309090101,5107005,44,DuPage
Cherryvale Place,1545 Temple Lane,Rockford,IL,61112,8153328484,5105686,97,Winnebago
Christian Garden Villa I,3406 W. Washington St,Springfield,IL,62711,2177879600,5200925,10,Sangamon
Christian Garden Villa II,3408 W. Washington St.,Springfield,IL,62711,2177879600,5201147,10,Sangamon
Church Creek,1250 W. Central Road,Arlington Heights,IL,60005,8475063200,5104085,34,Cook
Clarendale of Algonquin,2001 West Algonquin RD,Algonquin,IL,60102,8474586800,5105702,114,Mc Henry
Clarendale of Mokena,21536 South Wolf Road,Mokena,IL,60448,8154644418,5106767,96,Will
Colfax Manor Assisted Living,8200 S Colfax Ave.,Chicago,IL,60617,7732034098,5201162,4,Cook
"Colonnade Senior Living, The",700 Weber Road,O' Fallon,IL,62269,6186246000,5104614,125,St Clair
Concordia Village,4101 West Iles,Springfield,IL,62711,2177939429,5103228,48,Sangamon
Copper Creek Cottages,203 Stahlhut Dr,Lincoln,IL,62656,2176518364,5105462,30,Logan
Copper Creek Cottages,1007 E. Columbia St,Litchfield,IL,62056,2173241900,5106064,30,Montgomery
Copper Creek Cottages,920 Country Club Road,Mattoon,IL,61938,2172350001,5105892,30,Coles
Cordia Senior Residence,865 N. Cass Ave,Westmont,IL,60559,6308877000,5100406,116,DuPage
Cottage at New Perspective (The),1902 Eleventh St.,Silvis,IL,61282,3097922800,5101053,13,Rock Island
"Cottages At Salem, Inc",339 S. Hotze Rd,Salem,IL,62881,6185948581,5201758,15,Marion
Cottages of Fox Lake (The)  (Cottages 18 & 20 AZ),"16,18,20,22 Lilac Ave",Fox Lake,IL,60020,8474374663,5106429,64,Lake
"Cottages of New Lenox, Cottage #1",1023 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106916,16,Will
"Cottages of New Lenox, Cottage #2",1025 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106924,16,Will
"Cottages of New Lenox, Cottage #3",1027 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106932,16,Will
"Cottages of New Lenox, Cottage #4",1029 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106940,16,Will
"Cottages of New Lenox, Cottage #5",1031 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106957,16,Will
Country Comfort -Elmwood,829 Hurff Drive,Elmwood,IL,61529,3097422274,5201386,12,Peoria
Country Comfort Henry,615 Patricia Ln,Henry,IL,61537,3093643607,5200818,8,Marshall
Country Comfort Princeton,802 N. Mercer,Princeton,IL,61356,8158792096,5200800,8,Bureau
Country Lane Memory Care,875 Riverton Road,Riverton,IL,62561,2176294265,5105454,30,Sangamon
Courtyard Estates of Bradford,100 Courtyard Estates,Bradford,IL,61421,3098978316,5102683,18,Stark
Courtyard Estates of Bushnell,1201 N.Cole St,Bushnell,IL,61422,3097728000,5103012,38,McDonough
Courtyard Estates of Farmington,1000 East Fort Street,Farmington,IL,61531,3092452550,5105553,32,Fulton
Courtyard Estates of Galva,1000 Courtyard Estates,Galva,IL,61434,3099322600,5102733,32,Henry
Courtyard Estates of Kewanee,141 Junior Ave South,Kewanee,IL,61443,3098532460,5100414,35,Henry
Courtyard Estates of Knoxville,415 East Main Street,Knoxville,IL,61448,3092892660,5105348,32,Knox
Courtyard Estates of Monmouth,1 Courtyard Blvd,Monmouth,IL,61462,3097349355,5101693,51,Warren
Courtyard Village of Kewanee,860 Sunset Dr,Kewanee,IL,61443,3098534044,5101537,39,Henry
Crimson Pointe,7130 Crimson Ridge Dr.,Rockford,IL,61107,8153987792,5103699,73,Winnebago
Eastland Retirement Community,901 Eastland Drive,Auburn,IL,62615,2174389394,5105405,42,Sangamon
Eberhardt Village,431 W. Palmer,Arthur,IL,61911,2175433705,5101917,37,Moultrie
"Eden Retirement Center, Inc",300 S.Station Rd,Glen Carbon,IL,62034,6182885014,5103020,124,Madison
Elevate Saint Andrew Living,7000 N. Newark Avenue,Niles,IL,60714,8476478332,5106973,59,Cook
Elmcroft of Wyndcrest,4817 Oak Hill Road,Rochester,IL,62563,2174986959,5104424,37,Sangamon
Emerald Place,1879 Chestnut Avenue,Glenview,IL,60025,2242069588,5106197,66,Cook
Ems Haven of Rest,719 S. McKinley,Havana,IL,62644,3094020060,5200404,4,Mason
Estates Senior Living & Spa (Ninebark),6800 Ninebark,Springfield,IL,62712,2179713905,5201733,6,Sangamon
"Estates Senior Living & Spa, The",3305 Collingwood Drive,Springfield,IL,62711,2179713905,5201477,5,Sangamon
Eve Assisted Living,10 N. Washington,Hinsdale,IL,60521,6304911000,5103756,61,DuPage
Ever-Green Manor Memory Care,8641 South Saginaw,Chicago,IL,60617,7732034098,5201782,6,Cook
Evergreen Place,4114 West Springfield Avenue,Champaign,IL,61822,2175304300,5106726,52,Champaign
Evergreen Place AL,801 W Gregory St,Normal,IL,61761,3094519355,5100497,60,McLean
Evergreen Place Senior Living - Orland Park,10820 183rd Street,Orland Park,IL,60467,7084791082,5105439,116,Will
Evergreen Senior Living - Chillicothe,404 S. Stillwater Drive,Chillicothe,IL,61523,3092745440,5105033,73,Peoria
Fairview Assisted Living,605 North 4th St.,Fairbury,IL,61739,8156922572,5201857,13,Livingston
Family 1st Shared Home of Oregon,8 Terrace View Blvd,Oregon,IL,61061,8157324045,5200628,16,Ogle
"Fifth Season Res., Benton",401 N. DuQuoin St,Benton,IL,62812,6184396600,5101719,28,Franklin
"Fifth Season Res., Radcliffe",915 Radcliffe St,Marion,IL,62959,6189932800,5100513,26,Williamson
Fountains at Crystal Lake,965 N. Brighton Circle,Crystal Lake,IL,60012,8154558400,5105140,135,McHenry
Fountainview Manor Memory Care,3432 Village Lane,Granite City,IL,62040,6189313999,5103129,46,Madison
Fox Point,3300 Charles Miller Road,McHenry,IL,60050,8153859840,5104408,97,McHenry
Fox Point Manor,3350 Charles Miller Road,McHenry,IL,60050,8153859840,5104416,40,McHenry
Fox River Apartments,1016 Parker St,Olney,IL,62450,6183926168,5100554,30,Richland
Franciscan Village of Lemont,1260 Franciscan Dr,Lemont,IL,60439,6302433500,5100570,47,Cook
Friendship Manor of Illinois,1209 21st Ave,Rock Island,IL,61201,3097869667,5101495,97,Rock Island
Friendship Village of Schaumburg,350 W Schaumburg Rd,Schaumburg,IL,60194,8478845000,5100604,106,Cook
Galena Stauss Assisted Living,200 Altenburg Dr,Galena,IL,61036,8157767375,5100612,24,Jo Daviess
Garden Place Columbia,480 DD Road,Columbia,IL,62236,6182814200,5106007,46,Monroe
Garden Place Millstadt,208 S. Kossuth,Millstadt,IL,62260,6184761440,5106049,15,St Clair
Garden Place Red Bud,351 Lockwood,Red Bud,IL,62278,6182827775,5106015,15,Randolph
Garden Place Waterloo,735 Columbia Ave,Waterloo,IL,62298,6189394900,5106031,20,Monroe
Gardens at Moweaqua (The),525 South Macon Street,Moweaqua,IL,62550,2177683951,5105231,16,Shelby
Gardens at Park Pointe (The),1550 Dupont Avenue,Morris,IL,60450,8155857200,5105801,60,Grundy
Generations at Riverview Senior Living,500 Centennial Drive,East Peoria,IL,61611,3096940022,5106759,42,Tazewell
"Glenwood of Effingham, The",14061 East 1600th St.,Effingham,IL,62401,2173478880,5104804,42,Effingham
"Glenwood of Mahomet, The",1709 South Division Street,Mahomet,IL,61853,2175865100,5104796,44,Champaign
Golden Age Assisted Living,5734 S. Thurlow St,Hinsdale,IL,60521,6302461968,5201543,4,Du Page
Good Samaritan Home of Quincy,2130 Harrison St,Quincy,IL,62301,2172238717,5103772,26,Adams
Grace Point Place,5701 W 101st,Oak Lawn,IL,60453,7082903255,5106403,66,Cook
Grand Victorian of Rockford,3495 McFarland Road,Rockford,IL,61114,8156541400,5105710,62,Winnebago
Grand Victorian of Sycamore,1440 Somonauk Street,Sycamore,IL,60173,8158951900,5105017,61,DeKalb
Grand View Alzheimer's SCC,6210 N. University Street,Peoria,IL,61614,3093238518,5104895,38,Peoria
Grand View Estates,540 Pleasant St,Elizabeth,IL,61028,8158582275,5100646,23,Jo Daviess
Green House of Clark-Lindsey Village (The),101 W Windsor Rd,Urbana,IL,61802,2173442144,5201675,12,Champaign
Green Oaks Senior Living,14595 West Rockland Road,Libertyville,IL,60048,8476801205,5106098,72,Lake
Greenfields of Geneva,0N801 Friendship Way,Geneva,IL,60134,6305786600,5103954,77,Kane
Greentree at Mt. Vernon,208 Zackery Rd,Mt Vernon,IL,62864,6182445580,5106841,112,Jefferson
Griggsville Estates,201 S. Oak,Griggsville,IL,62340,2178332369,5102121,20,Pike
Gurnee Manor,5631 Manchester,Gurnee,IL,60031,3125434404,5201709,8,Lake
Halina's Home Care-5th Avenue,825 N. 5th Avenue,St. Charles,IL,60174,6306700819,5201014,5,Kane
Halina's Home Care-Marion Ave,555 Marion Ave.,St. Charles,IL,60174,6306700819,5201667,5,Kane
Harbor Chase of Long Grove,1190 Old McHenry Rd,Long Grove,IL,60047,8476134838,5106288,138,Lake
Harbor Chase of Naperville,1619 N. Mill Street,Naperville,IL,60563,6307783475,5105603,101,Du Page
Harbor Chase of Plainfield,12446 S. Van Dyke Road,Plainfield,IL,60585,8152673510,5104523,110,Will
Harry Ekstam Assisted Living,831 N. Batavia Ave,Batavia,IL,60510,6308794300,5100794,62,Kane
Hartwell Place,5520 N. Paulina St,Chicago,IL,60640,7732752400,5100653,29,Cook
Harvest View,100 Harvest View Lane,Herscher,IL,60941,8154262000,5103004,42,Kankakee
Harvester Place,150 South Frontage Road,Burr Ridge,IL,60527,6302301170,5105314,66,DuPage
Hawthorne Inn of Galesburg,2245 N. Seminary St.,Galesburg,IL,61401,3093435050,5101941,52,Knox
Hawthorne Inn of Parkway,3116 Williamson County Pk.,Marion,IL,62959,6189938600,5102253,17,Williamson
Hawthorne Inn of Peoria,6906 N Stalworth Dr.,Peoria,IL,61615,3096931400,5100687,52,Peoria
Hawthorne Inn of Peru,1101 31st St,Peru,IL,61354,8152242200,5100695,52,LaSalle
Hawthorne Inn of Pittsfield,625 Prospect St.,Pittsfield,IL,62363,2172855200,5102295,22,Pike
Hawthorne Inn of Rochelle,2201 Flagg Rd,Rochelle,IL,61068,8155614099,5106528,46,Ogle
Hawthorne Inn of Shelbyville,1111 W. North 12th St.,Shelbyville,IL,62565,2177741020,5102246,20,Shelby
Hearthstone of Arlington Heights,800 W. Oakton St.,Arlington Heights,IL,60004,8473687300,5100729,100,Cook
Hearthstone Village,840 N. Seminary Ave,Woodstock,IL,60098,8153382110,5101859,73,McHenry
Heartis Village of Orland Park,7420 W. 159th Street,Orland Park,IL,60462,7084441231,5106262,96,Cook
Heartis Village of Peoria,8201 N. IL State Route 91,Peoria,IL,61615,3096933960,5105595,108,Peoria
Heritage House/Carthage,601 Locust St,Carthage,IL,62321,2173573651,5200180,6,Hancock
"Heritage Woods of Huntley, LLC",12450 Regency Parkway,Huntley,IL,60142,8476695185,5103251,111,Kane
Herrin Affordable,400 Lou Ann Drive,Herrin,IL,62948,6189889540,5100810,24,Williamson
Herrin Market,400 Lou Ann Dr,Herrin,IL,62948,6189889540,5100828,28,Williamson
Hickory Estates of Taylorville,1091 E. 1500 N. Rd,Taylorville,IL,62568,2178243355,5105926,46,Christian
Hickory Point Christian Village,565 W. Marion Ave,Forsyth,IL,62535,2178721122,5102097,48,Macon
Highlands at Westminster Place,3131 Simpson Street,Evanston,IL,60201,8478661605,5100745,85,Cook
Highlands of Lake Forest Place,1101 Pembridge Dr,Lake Forest,IL,60045,8476046700,5100752,31,Lake
Highview in the Woodlands,1000 Falcon Point Place,Rockton,IL,61072,8156246700,5100760,36,Winnebago
Home Care Advantage 1,646 Van Nortwick Court,Batavia,IL,60510,6306772850,5201436,4,Kane
Home Sweet Home of Arlington Hts.,207 W. Appletree Lane,Arlington Heights,IL,60004,8477978646,5201196,4,Cook
Hopedale Commons,221 SW Railroad St,Hopedale,IL,61747,3094496790,5100802,45,Tazewell
Imboden Creek Gardens,185 W. Imboden Dr,Decatur,IL,62521,2172331425,5100836,46,Macon
Inspirations,1000 N. 6th Ave.,St. Charles,IL,60174,6307122233,5201154,6,Kane
Lake Barrington Woods,22320 Classic Ct.,Lake Barrington,IL,60010,8478428900,5104093,100,Lake
Lakeview Memory Care Community,241 E. Lake St.,Bloomingdale,IL,60108,8474665183,5105728,46,Du Page
Lamoine Retirement Living (The),203 N. Randolph Street,Macomb,IL,61455,3095753018,5106676,46,McDonough
"Landings of Carbondale, LLC (The)",2100 Reed Station Parkway,Carbondale,IL,62901,6185199600,5106056,91,Jackson
Lavender Ridge - Jacksonville,750 W. Walnut,Jacksonville,IL,62650,2172438550,5104515,28,Morgan
Lavender Ridge - Olney,1304 N. East St.,Olney,IL,62450,6183924747,5105769,28,Richland
Lavender Ridge Inc. - Mt. Vernon,1400 S. 34th St,Mt. Vernon,IL,62864,6182424050,5103087,28,Jefferson
"Lexington Sq LC Lombard, LLC",555 Foxworth Blvd.,Lombard,IL,60148,6306292900,5103194,126,DuPage
Lexington Sq Lifecare Elmhurst,400 W. Butterfield Rd,Elmhurst,IL,60126,6308325959,5103889,70,DuPage
Liberty Court,124 Liberty Court,Dixon,IL,61021,8152852000,5106478,36,Lee
Liberty Village of Geneseo,920 S Chicago St.,Geneseo,IL,61254,3099440460,5100885,30,Henry
Liberty Village of Streator,2322 N Eastwood Ave.,Streator,IL,61364,8156721900,5100901,30,LaSalle
Life's Journey Mattoon II,300 South Lerna Road South,Mattoon,IL,61938,2172343003,5105918,22,Coles
Life's Journey SL Mattoon,300 Lerna Road South,Mattoon,IL,61938,2172343003,5105272,28,Coles
Life's Journey SL Pana,340 Illinois Route 29,Pana,IL,62557,2175623004,5201683,15,Christian
Life's Journey SL Paris,705 Kenton Avenue,Paris,IL,61944,2174633003,5105264,24,Edgar
