Name of Facility,Location Street,Location City,Location State,ZIP Code,County,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,# of Licensed Beds,Max # of Beds,X,Y,Permit Type,x,y
ASHLAN VILLAGE,415 BRENDA WAY,LYMAN,SC,29365-9264,Spartanburg,864-949-7825, PH#: ,LHILL@ASHLANVILLAGE.COM,,CRC-1483 / 10/31/2021,Spartanburg / Limited Liability,415 BRENDA WAY,LYMAN,SC,29365-9264,ASHLAN PROPERTIES LLC,Y,Y,75,,-82.14195628,34.97392741,HLRESIDENTIALCARE,395759.1707,3870747.214
ASHLEY GARDENS ALZHEIMER'S SPECIAL CARE CENTER,2290 HENRY TECKLENBURG DR,CHARLESTON,SC,29414,Charleston,843-556-4100,"ROODT, HEATHER PH#: ",ASSETMANAGEMENT@SUNSHINERET.COM,,CRC-1595 / 06/30/2021,Charleston / Limited Liability,PO BOX 820528,VANCOUVER,WA,98682-0011,CHARLESTON CARE GROUP LLC,Y,Y,66,,-80.04158239,32.80405608,HLRESIDENTIALCARE,589730.4986,3629971.535
ASHLEY LANDING ASSISTED LIVING,4550 GREAT OAK DR,NORTH CHARLESTON,SC,29418-5001,Charleston,843-760-0831, PH#: ,DJEFFCOAT@ASHLEYLANDING.COM,,CRC-2158 / 07/31/2021,Charleston / Limited Liability,,,,,NORTH CHARLESTON ASSISTED LIVING LLC,N,N,100,,-80.061808,32.874495,HLRESIDENTIALCARE,587767.5994,3637763.6
ASHLEY PLACE,526 HALTIWANGER RD,GREENWOOD,SC,29649-1799,Greenwood,864-943-1933,"MIELECH, DANIEL PH#: ",DMIELECH@ENLIVANT.COM,DMIELECH@ENLIVANT.COM,CRC-1404 / 11/30/2021,Greenwood / Corporation,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,ASHLEY AID OPCO LLC,N,N,44,44,-82.16100784,34.23350912,HLRESIDENTIALCARE,393075.001,3788656.996
ASHLEY RIVER PLANTATION,2333 ASHLEY RIVER RD,CHARLESTON,SC,29414-4755,Charleston,843-766-9898,"ADAIR, MICHELE LORRAINE PH#: 843-766-9898",ADAIR@5SSL.COM,,CRC-1376 / 06/30/2021,Charleston / Limited Liability,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,SNH SE ASHLEY RIVER TENANT LLC,Y,Y,123,123,-80.0378161,32.82246596,HLRESIDENTIALCARE,590064.5502,3632015.717
ATRIA FOREST LAKE,4405 FOREST DR,COLUMBIA,SC,29206-3103,Richland,803-790-9800,"FAULISI, NANCY PH#: 803-790-9800",NANCY.FAULISI@ATRIASENIORLIVING.COM,NANCY.FAULISI@ATRIASENIORLIVING.COM,CRC-1143 / 05/31/2022,Richland / Limited Liability,4405 FOREST DR,COLUMBIA,SC,29206-3103,WG FOREST LAKE SH LLC,Y,Y,60,60,-80.9762651,34.02154544,HLRESIDENTIALCARE,502191.3132,3764545.151
ATRIA MOUNT PLEASANT,601 SOLANA WAY,MOUNT PLEASANT,SC,29464,Charleston,843-800-2323, PH#: ,ALLISON.JOHNSON@ATRIASENIORLIVING.COM,,CRC-2109 / 09/30/2021,Charleston / ,,,,,FDG-MP OPCO LLC,Y,Y,112,,-79.859505,32.818011,HLRESIDENTIALCARE,606761.5145,3631687.892
B & J RESIDENTIAL CARE FACILITY,528 ATTERBURY DR,COLUMBIA,SC,29203-3002,Richland,803-786-0011,"DAVIS-EARGLE, EUGENIA M. PH#: 803-786-0011",EMARIEEARGLE@YAHOO.COM,EMARIEEARGLE@YAHOO.COM,CRC-1461 / 12/31/2021,Richland / Corporation,213 LINGSTROM LN,COLUMBIA,SC,29212,B & J RESIDENTIAL CARE FACILITY LLC,N,N,5,6,-81.0006952,34.076817,HLRESIDENTIALCARE,499935.8579,3770673.348
BAYBERRY OF GREENWOOD,116 ABBEY DR,GREENWOOD,SC,29649-8536,Greenwood,864-223-6510, PH#: ,GREENWOOD@THEBAYBERRYINN.COM,,CRC-0589 / 05/31/2022,Greenwood / Limited Liability Limited Partnership,116 ABBEY DR,GREENWOOD,SC,29649-8536,EVERGREEN VILLAGES LIMITED PARTNERSHIP,N,N,23,23,-82.20177571,34.19894762,HLRESIDENTIALCARE,389275.0035,3784867.998
BAYBERRY OF GREER,309 NORTHVIEW DR,GREER,SC,29651-1340,Greenville,864-848-1935,"PRITCHETT, NATOSHA J. PH#: 864-848-1935",HOME@THEBAYBERRYINN.COM,GREER@THEBAYBERRYINN.COM,CRC-0595 / 07/31/2021,Greenville / Limited Liability Limited Partnership,309 NORTHVIEW DR,GREER,SC,29651-1340,EVERGREEN VILLAGES LIMITED PARTNERSHIP,N,N,23,23,-82.22450496,34.95169472,HLRESIDENTIALCARE,388193.3205,3868370.728
BAYSHORE ON HILTON HEAD ISLAND,421 SQUIRE POPE RD,HILTON HEAD ISLAND,SC,29926,Beaufort,843-342-2222,"MCKEE, RODNEY PH#: 843-342-2222",RMCKEE@BAYSHOREHILTONHEAD.COM,MCKEERODNEY@LCSNET.COM,CRC-1963 / 06/30/2021,Beaufort / Limited Liability,421 SQUIRE POPE RD,HILTON HEAD ISLAND,SC,29926,BAYSHORE HILTON HEAD LLC,N,N,147,,-80.74607279,32.23644023,HLRESIDENTIALCARE,523923.0623,3566672.076
BEARD RESIDENTIAL CARE FACILITY #1,123 N WARREN ST,TIMMONSVILLE,SC,29161-1443,Florence,843-346-5272,"BEARD, CATHERINE H. PH#: 843-346-5272",BEARDSRCF@YAHOO.COM,BEARDSRCF@YAHOO.COM,CRC-0140 / 04/30/2022,Florence / Sole Proprietorship,123 N WARREN ST,TIMMONSVILLE,SC,29161-1443,CATHERINE H BEARD,N,N,10,11,-79.94261646,34.13534694,HLRESIDENTIALCARE,597494.0018,3777667.997
BELL'S PROFESSIONAL RESIDENTIAL HOME CARE,1910 DALTON ST,NORTH CHARLESTON,SC,29406-3961,Charleston,843-744-1765,"BELL, TROY A. PH#: 843-744-1765",BACHBELL25@GMAIL.COM,BACHBELL25@GMAIL.COM,CRC-1209 / 05/31/2022,Charleston / Ltd. Liability,1910 DALTON ST,NORTH CHARLESTON,SC,29406-3961,BELL'S PROFESSIONAL RESIDENTIAL HOME CARE LLC,N,N,20,20,-80.00372581,32.88300239,HLRESIDENTIALCARE,593192.3667,3638756.619
BELVEDERE COMMONS OF SENECA,515 BENTON ST,SENECA,SC,29672-6883,Oconee,864-888-4114, PH#: ,JWITZEL@BELVEDERECOMMONSSENECA.COM,,CRC-1466 / 11/30/2021,Oconee / Ltd. Liability,515 BENTON ST,SENECA,SC,29672-6883,FKP SENECA SENIOR LIVING TENANT LLC,Y,Y,62,62,-82.99264159,34.72184786,HLRESIDENTIALCARE,317541.9703,3844005.381
BENCHMARK HOMES - SPARTANBURG,450 W HENRY ST,SPARTANBURG,SC,29306-6037,Spartanburg,864-308-8852,"MASON, SUZAN B. PH#: 864-308-8852",SMASON@CHARLESLEA.ORG,SMASON@CHARLESLEA.ORG,CRC-1509 / 09/30/2021,Spartanburg / Corporation,195 BURDETTE ST,SPARTANBURG,SC,29307-1003,CHARLES LEA CENTER,N,N,12,,-81.94050995,34.94390902,HLRESIDENTIALCARE,414117.0491,3867226.577
BENTON HOUSE OF AIKEN,530 BENTON HOUSE WY,AIKEN,SC,29803,Aiken,803-226-0838, PH#: ,LICENSING@PRINCIPALSENIORLIVING.COM,,CRC-2049 / 02/28/2022,Aiken / Limited Liability,1000 LEGION PL STE 1600,ORLANDO,FL,32801,BENTON SENIOR CARE LLC,Y,Y,100,,-81.74995645,33.49424499,HLRESIDENTIALCARE,430334.6206,3706332.784
BENTON HOUSE OF BLUFFTON,8 HAMPTON LAKE DR,BLUFFTON,SC,29910-9568,Beaufort,843-757-3111, PH#: ,BLUFFTONDIRECTOR@BENTONHOUSE.COM,,CRC-1585 / 03/31/2022,Beaufort / Limited Liability,11175 CICERO DR STE 500,ALPHARETTA,GA,30022-0004,BLUFFTON SLP LLC,Y,Y,104,,-80.93397803,32.2660935,HLRESIDENTIALCARE,506218.051,3569932.682
BENTON HOUSE OF FLORENCE,1370 CELEBRATION BLVD,FLORENCE,SC,29501,Florence,854-400-6644, PH#: ,SCOOPER@PRINCIPALSENIORLIVING.COM,,CRC-2061 / 02/28/2022,Florence / Limited Liability,11175 CICERO DR STE 500,ALPHARETTA,GA,30022,FLORENCE SLP LLC,Y,Y,93,,-79.828539,34.168549,HLRESIDENTIALCARE,607970.6421,3781464.615
BENTON HOUSE OF WEST ASHLEY,1445 BLUEWATER WAY,CHARLESTON,SC,29414,Charleston,843-576-9667,"LYON, RICHARD E. PH#: 843-576-9667",LICENSING@PRINCIPALSENIORLIVING.COM,WESTASHLEYDIRECTOR@BENTONHOUSE.COM,CRC-1897 / 12/31/2021,Charleston / ,11175 CICERO DR STE 500,ALPHARETTA,GA,30022-0004,WEST ASHLEY SLP LLC,Y,Y,98,,-80.06025,32.828619,HLRESIDENTIALCARE,584343.3049,3630930.563
BETHEA BAPTIST ASSISTED LIVING,157 HOME AVE,DARLINGTON,SC,29532-7625,Darlington,843-393-2867,"SPURLING, BENJAMIN S. PH#: 843-393-2867",BSPURLING@SCBMA.COM,BSPURLING@SCBMA.COM,CRC-1533 / 08/31/2021,Darlington / Non-Profit Corporation,157 HOME AVE,DARLINGTON,SC,29532-7625,SOUTH CAROLINA BAPTIST MINISTRIES FOR THE AGING INC,N,N,14,,-79.83820395,34.25718118,HLRESIDENTIALCARE,606967.6371,3791282.839
BIRD STREET I COMMUNITY RESIDENTIAL CARE FACILITY,1705 BIRD ST,ROCK HILL,SC,29730-3830,York,803-366-7121, PH#: ,MSHAFFER@MAXABILITIES.ORG,,CRC-1357 / 06/30/2022,York / State,PO BOX 549,YORK,SC,29745-0549,YORK COUNTY DISIBILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-81.00086678,34.94403076,HLRESIDENTIALCARE,499920.851,3866836.317
BIRD STREET II COMMUNITY RESIDENTIAL CARE FACILITY,1711 BIRD ST,ROCK HILL,SC,29730-3830,York,803-366-6113, PH#: ,MSHAFFER@MAXABILITIES.ORG,,CRC-1358 / 06/30/2022,York / ,PO BOX 549,YORK,SC,29745-0549,YORK COUNTY DISIBILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-81.00060376,34.94432282,HLRESIDENTIALCARE,499944.8682,3866868.705
BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,1 BISHOP GADSDEN WAY,CHARLESTON,SC,29412-3577,Charleston,843-762-3300,"COOK, JONNA PH#: 843-762-3300",JONNA.COOK@BISHOPGADSDEN.ORG,JONNA.COOK@BISHOPGADSDEN.ORG,CRC-0451 / 11/30/2021,Charleston / Non-Profit Corporation,1 GADSDEN WAY,CHARLESTON,SC,29412,BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,Y,Y,112,112,-79.97625268,32.73215979,HLRESIDENTIALCARE,595924.2535,3622058.197
BISHOPVILLE MANOR,2779 HWY 15 N,BISHOPVILLE,SC,29010-7101,Lee,803-428-2222, PH#: ,KATHY.MINGUS@YAHOO.COM,,CRC-2054 / 12/31/2021,Lee / Limited Liability,PO BOX 308,RIDGE SPRING,SC,29129-0308,BISHOPVILLE MANOR OPERATING GROUP LLC,N,N,44,,-80.17105256,34.2590074,HLRESIDENTIALCARE,576319.3596,3791185.614
BLACK'S DRIVE COMMUNITY RESIDENCE,160 BLACKS DR,WILLISTON,SC,29853-3558,Barnwell,803-266-3211,"SISK, DARRIN W. PH#: 803-266-3211",BPARKER@BARNWELLSC.COM,DSISK@COLLETONDSN.ORG,CRC-1524 / 08/31/2021,Barnwell / County,20 PARK ST,BARNWELL,SC,29812-0556,ALLENDALE/BARNWELL COUNTIES DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,,-81.43776434,33.41060004,HLRESIDENTIALCARE,459296.1894,3696893.229
BLAKE AT BAXTER VILLAGE,522 6TH BAXTER CROSSING,FORT MILL,SC,29708,York,803-752-4700, PH#: ,RITA.HILL@BLAKELIVING.COM,,CRC-2111 / 11/30/2021,York / Limited Liability,,,,,BAXTER SENIOR CARE LLC,Y,Y,114,,-80.976216,35.021738,HLRESIDENTIALCARE,502169.8286,3875454.03
BLAKE AT CARNES CROSSROADS,4015 2ND AVE,SUMMERVILLE,SC,29486,Berkeley,843-376-3996,"TATE, CRYSTAL PH#: 312-725-7000",CRYSTAL.TATE@BLAKELIVING.COM,CTATE@ENLIVANT.COM,CRC-1896 / 07/31/2021,Berkeley / Limited Liability,4015 2ND AVE,SUMMERVILLE,SC,29486,BLAKE AT CARNES CROSSROADS LLC,Y,Y,114,,-80.18398,33.000443,HLRESIDENTIALCARE,583982.2643,3658299.242
BLAKE AT EDGEWATER,1099 EDGEWATER CORPORATE PKWY,INDIAN LAND,SC,29707,Lancaster,803-310-4242,"FISHER, JASON PH#: ",JASON.FISHER@BLAKELIVING.COM,JASON.FISHER@BLAKELIVING.COM,CRC-2112 / 11/30/2021,Lancaster / Limited Liability,,,,,EDGEWATER SENIOR CARE LLC,Y,Y,105,,-80.860431,34.997515,HLRESIDENTIALCARE,512736.3588,3872776.353
BLAKE AT HOLLINGSWORTH PARK,360 WOODRUFF RD,GREENVILLE,SC,29607,Greenville,, PH#: ,MACK@CARDINALALVENTURES.NET,,CRC-2041 / 11/30/2021,Greenville / Limited Liability,4266 I55 N STE 108,JACKSON,MS,39211,BLAKE AT HOLLINGSWORTH PARK LLC,Y,Y,114,,-82.338479,34.834108,HLRESIDENTIALCARE,377611.7329,3855463.216
BLAKE AT WOODCREEK FARMS,385 SPEARS CREEK CHURCH RD,ELGIN,SC,29045-9312,Richland,803-828-7370,"VIDAL, KATHLEEN PH#: ",KATHLEEN.VIDAL@BLAKELIVING.COM,KATHLEEN.VIDAL@BLAKELIVING.COM,CRC-1570 / 02/28/2022,Richland / ,4266 I-55N STE 108,JACKSON,MS,39211,BLAKE AT WOODCREEK FARMS LLC,Y,Y,100,,-80.84217197,34.1146167,HLRESIDENTIALCARE,514555.4786,3774875.812
BLOOM AT BELFAIR,60 OAK FOREST RD,BLUFFTON,SC,29910-5010,Beaufort,843-815-2338, PH#: ,ADMIN@BLOOMATBELFAIR.COM,,CRC-1510 / 12/31/2021,Beaufort / Limited Liability,60 OAK FOREST RD,BLUFFTON,SC,29910,BLOOMFIELD SENIOR LIVING OF BLUFFTON LLC,Y,Y,68,,-80.85667003,32.27032058,HLRESIDENTIALCARE,513498.417,3570408.345
BLOOM AT BLUFFTON,800 FORDING ISLAND RD,BLUFFTON,SC,29910-4845,Beaufort,843-815-2555,"THOMAS, LAUREN PH#: ",WROGERS@LEEDYANDROGERS.COM,ADMIN@BLOOMATBLUFFTON.COM,CRC-1381 / 04/30/2022,Beaufort / ,260 E BROWN ST STE 315,BIRMINGHAM,MI,48009-6236,BLOOMFIELD SENIOR LIVING OF BLUFFTON II LLC,Y,Y,70,70,-80.86319652,32.26867375,HLRESIDENTIALCARE,512884.0023,3570224.995
BLOOM AT HILTON HEAD,35 BEACH CITY RD,HILTON HEAD ISLAND,SC,29926-4725,Beaufort,843-342-5599,"BAZEN, TIFFANY R. PH#: 843-342-5599",WROGERS@LEEDYANDROGERS.COM,ADMIN@BLOOMATHILTONHEAD.COM,CRC-1382 / 04/30/2022,Beaufort / Limited Liability,260 E BROWN ST STE 315,BIRMINGHAM,MI,48009-6236,BLOOMFIELD SENIOR LIVING OF HILTON HEAD LLC,Y,Y,72,72,-80.71235921,32.22061584,HLRESIDENTIALCARE,527104.003,3564925.996
BOSTICK'S ADULT RESIDENTIAL CARE FACILITY,1912 DUKE ST,BEAUFORT,SC,29902-4404,Beaufort,843-524-3906,"BURNS, WANDA BOSTICK PH#: 843-524-3906",BARCF1@GMAIL.COM,WRBOSTICK@YAHOO.COM,CRC-0143 / 05/31/2022,Beaufort / Limited Liability,,,,,BOSTICK S ADULT RESIDENTIAL CARE FACILITY LLC,N,N,20,21,-80.68395188,32.43615057,HLRESIDENTIALCARE,529710.3207,3588825.312
BOWLES COMMUNITY CARE HOME,9270 N HWY 17,MC CLELLANVILLE,SC,29458-9422,Charleston,843-887-4180,"BOWLES, BENJAMIN PH#: 843-887-4180",BBOWCARE@AOL.COM,BBOWCARE@AOL.COM,CRC-0090 / 09/30/2021,Charleston / Sole Proprietorship,9270 HWY 17 N,MC CLELLANVILLE,SC,29458-9422,"BENJAMIN, BOWLES",N,N,16,16,-79.519624,33.072464,HLRESIDENTIALCARE,638183.7157,3660294.663
BOWLES COMMUNITY CARE HOME 2,9274 N HWY 17,MCCLELLANVILLE,SC,29458-9422,Charleston,843-887-4180,"BOWLES, BENJAMIN PH#: 843-887-4180",BBOWCARE@AOL.COM,BBOWCARE@AOL.COM,CRC-1497 / 11/30/2021,Charleston / Sole Proprietorship,9270 N HWY 17,MCCLELLANVILLE,SC,29458-9422,"BOWLES, BENJAMIN",N,N,5,,-79.51878144,33.07181087,HLRESIDENTIALCARE,638263.3452,3660223.34
BRIANA'S RESIDENTIAL CARE FACILITY,252 CHARLESTON AVE N,FAIRFAX,SC,29827-4502,Allendale,803-632-9813,"JENKINS, GENORA W. PH#: 803-632-9813",VERMELLEWALKER@YAHOO.COM,KAMILLE.JENKINS@GMAIL.COM,CRC-1333 / 11/30/2021,Allendale / Sole Proprietorship,649 HAMPTON AVE N,FAIRFAX,SC,29827-4313,"WALKER, JOHN W.",N,N,10,10,-81.23474852,32.95980507,HLRESIDENTIALCARE,478060.8083,3646855.396
BRIAN'S RESIDENTIAL CARE,1115 WHITMAN ST,ORANGEBURG,SC,29118,Orangeburg,803-533-1588,"STOKES, ALBERT O. PH#: 803-533-1588",MCAKLEY18@GMAIL.COM,DSTOKES30@SC.RR.COM,CRC-2068 / 12/31/2021,Orangeburg / Limited Liability,1027 BERKELEY DR,ORANGEBURG,SC,29118-8356,BRIANS AND STOKES ASSISTED LIVING LLC,N,N,7,,-80.846321,33.491294,HLRESIDENTIALCARE,514276.0735,3705764.607
BRIAN'S RESIDENTIAL CARE II,4003 CALHOUN ST,BRANCHVILLE,SC,29432-2243,Orangeburg,803-274-8051,"STOKES, DELAURA PH#: 803-274-8051",MCAKLEY18@GMAIL.COM,DSTOKES30@SC.RR.COM,CRC-2067 / 12/31/2021,Orangeburg / Limited Liability,1027 BERKELEY DR,ORANGEBURG,SC,29118-8356,BRIANS AND STOKES ASSISTED LIVING LLC,N,N,20,,-80.816312,33.257494,HLRESIDENTIALCARE,517109.4836,3679848.406
BRIDGE ASSISTED LIVING AT LIFE CARE CENTER OF CHARLESTON,2590 ELMS PLANTATION BLVD,NORTH CHARLESTON,SC,29406-8105,Charleston,843-553-6342, PH#: ,KATEDAUGHERTY19@GMAIL.COM,,CRC-1064 / 10/31/2021,Charleston / Ltd. Liability,2590 ELMS PLANTATION BLVD,NORTH CHARLESTON,SC,29406,CHARLESTON RETIREMENT INVESTORS LLC,N,N,100,100,-80.06208587,32.98040384,HLRESIDENTIALCARE,587637.0013,3649504.998
BRIGHTWATER ASSISTED LIVING,201 BRIGHTWATER DR,MYRTLE BEACH,SC,29579-8298,Horry,843-903-8940,"FERENCE, LORI PH#: 843-903-8300; FRYAR, LESLIE PH#: 843-903-8940",LICENSING@BRIGHTWATER-LIVING.COM,LFERENCE@BRIGHTWATER-LIVING.COM,CRC-1489 / 04/30/2022,Horry / Limited Liability,3530 TORINGDON WAY STE 204,CHARLOTTE,NC,28277-3436,BRIGHTWATER RETIREMENT LLC,Y,Y,56,,-78.84542286,33.76145877,HLRESIDENTIALCARE,699543.0971,3737793.146
BROAD CREEK CARE CENTER ASSISTED LIVING,801 LEMON GRASS CT,HILTON HEAD ISLAND,SC,29928-3022,Beaufort,843-341-7300,"JACKSON, WILLIAM F. PH#: 843-341-7300",TKOSZYLKO@VLIVING.COM,FJACKSON@VILIVING.COM,CRC-1036 / 07/31/2021,Beaufort / Corporation,71 S WACKER DR STE 900,CHICAGO,IL,60606-4610,CC-HILTON HEAD INC,N,N,50,50,-80.77503265,32.17469718,HLRESIDENTIALCARE,521209.0036,3559821.997
BROOK PINE COMMUNITY RESIDENTIAL CARE FACILITY,3961 FISH HATCHERY RD,GASTON,SC,29053-9038,Lexington,803-955-3821,"MURPHY, LAVERNE PH#: 803-955-3821",MARJORIE.WILSON-GUESS@SCDMH.ORG,LAVERNE.MURPHY@SCDMH.ORG,CRC-2077 / 07/31/2021,Lexington / State,3961 FISH HATCHERY RD,GASTON,SC,29053-9038,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,N,N,16,,-81.15065,33.842779,HLRESIDENTIALCARE,486062.3384,3744734.006
BROOKDALE ANDERSON,311 SIMPSON RD,ANDERSON,SC,29621-2157,Anderson,864-261-3875,"JENKINS, BRIAN PH#: 864-261-3875",BJENKINS1@BROOKDALE.COM,BJENKINS1@BROOKDALE.COM,CRC-1303 / 03/31/2022,Anderson / Corporation,311 SIMPSON RD,ANDERSON,SC,29621-2157,EMERITUS CORPORATION,N,N,40,40,-82.6243156,34.5369082,HLRESIDENTIALCARE,350941.1133,3822887.966
