Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,License / Expiration,Ownership Type,Licensee,Capacity,Longitude,Latitude
ASHLEY GARDENS ALZHEIMER'S SPECIAL CARE CENTER,2290 HENRY TECKLENBURG DR,CHARLESTON,SC,29414,Charleston,843-556-4100,ASSETMANAGEMENT@SUNSHINERET.COM,CRC-1595 / 06/30/2021,Charleston / Limited Liability,CHARLESTON CARE GROUP LLC,66,-80.04158239,32.80405608
ASHLEY LANDING ASSISTED LIVING,4550 GREAT OAK DR,NORTH CHARLESTON,SC,29418-5001,Charleston,843-760-0831,DJEFFCOAT@ASHLEYLANDING.COM,CRC-2158 / 07/31/2021,Charleston / Limited Liability,NORTH CHARLESTON ASSISTED LIVING LLC,100,-80.061808,32.874495
ASHLEY PLACE,526 HALTIWANGER RD,GREENWOOD,SC,29649-1799,Greenwood,864-943-1933,DMIELECH@ENLIVANT.COM,CRC-1404 / 11/30/2021,Greenwood / Corporation,ASHLEY AID OPCO LLC,44,-82.16100784,34.23350912
ASHLEY RIVER PLANTATION,2333 ASHLEY RIVER RD,CHARLESTON,SC,29414-4755,Charleston,843-766-9898,ADAIR@5SSL.COM,CRC-1376 / 06/30/2021,Charleston / Limited Liability,SNH SE ASHLEY RIVER TENANT LLC,123,-80.0378161,32.82246596
ATRIA FOREST LAKE,4405 FOREST DR,COLUMBIA,SC,29206-3103,Richland,803-790-9800,NANCY.FAULISI@ATRIASENIORLIVING.COM,CRC-1143 / 05/31/2022,Richland / Limited Liability,WG FOREST LAKE SH LLC,60,-80.9762651,34.02154544
ATRIA MOUNT PLEASANT,601 SOLANA WAY,MOUNT PLEASANT,SC,29464,Charleston,843-800-2323,ALLISON.JOHNSON@ATRIASENIORLIVING.COM,CRC-2109 / 09/30/2021,Charleston / ,FDG-MP OPCO LLC,112,-79.859505,32.818011
B & J RESIDENTIAL CARE FACILITY,528 ATTERBURY DR,COLUMBIA,SC,29203-3002,Richland,803-786-0011,EMARIEEARGLE@YAHOO.COM,CRC-1461 / 12/31/2021,Richland / Corporation,B & J RESIDENTIAL CARE FACILITY LLC,5,-81.0006952,34.076817
BAYBERRY OF GREENWOOD,116 ABBEY DR,GREENWOOD,SC,29649-8536,Greenwood,864-223-6510,GREENWOOD@THEBAYBERRYINN.COM,CRC-0589 / 05/31/2022,Greenwood / Limited Liability Limited Partnership,EVERGREEN VILLAGES LIMITED PARTNERSHIP,23,-82.20177571,34.19894762
BAYBERRY OF GREER,309 NORTHVIEW DR,GREER,SC,29651-1340,Greenville,864-848-1935,HOME@THEBAYBERRYINN.COM,CRC-0595 / 07/31/2021,Greenville / Limited Liability Limited Partnership,EVERGREEN VILLAGES LIMITED PARTNERSHIP,23,-82.22450496,34.95169472
BAYSHORE ON HILTON HEAD ISLAND,421 SQUIRE POPE RD,HILTON HEAD ISLAND,SC,29926,Beaufort,843-342-2222,RMCKEE@BAYSHOREHILTONHEAD.COM,CRC-1963 / 06/30/2021,Beaufort / Limited Liability,BAYSHORE HILTON HEAD LLC,147,-80.74607279,32.23644023
BEARD RESIDENTIAL CARE FACILITY #1,123 N WARREN ST,TIMMONSVILLE,SC,29161-1443,Florence,843-346-5272,BEARDSRCF@YAHOO.COM,CRC-0140 / 04/30/2022,Florence / Sole Proprietorship,CATHERINE H BEARD,10,-79.94261646,34.13534694
BELL'S PROFESSIONAL RESIDENTIAL HOME CARE,1910 DALTON ST,NORTH CHARLESTON,SC,29406-3961,Charleston,843-744-1765,BACHBELL25@GMAIL.COM,CRC-1209 / 05/31/2022,Charleston / Ltd. Liability,BELL'S PROFESSIONAL RESIDENTIAL HOME CARE LLC,20,-80.00372581,32.88300239
BELVEDERE COMMONS OF SENECA,515 BENTON ST,SENECA,SC,29672-6883,Oconee,864-888-4114,JWITZEL@BELVEDERECOMMONSSENECA.COM,CRC-1466 / 11/30/2021,Oconee / Ltd. Liability,FKP SENECA SENIOR LIVING TENANT LLC,62,-82.99264159,34.72184786
BENCHMARK HOMES - SPARTANBURG,450 W HENRY ST,SPARTANBURG,SC,29306-6037,Spartanburg,864-308-8852,SMASON@CHARLESLEA.ORG,CRC-1509 / 09/30/2021,Spartanburg / Corporation,CHARLES LEA CENTER,12,-81.94050995,34.94390902
BENTON HOUSE OF AIKEN,530 BENTON HOUSE WY,AIKEN,SC,29803,Aiken,803-226-0838,LICENSING@PRINCIPALSENIORLIVING.COM,CRC-2049 / 02/28/2022,Aiken / Limited Liability,BENTON SENIOR CARE LLC,100,-81.74995645,33.49424499
BENTON HOUSE OF BLUFFTON,8 HAMPTON LAKE DR,BLUFFTON,SC,29910-9568,Beaufort,843-757-3111,BLUFFTONDIRECTOR@BENTONHOUSE.COM,CRC-1585 / 03/31/2022,Beaufort / Limited Liability,BLUFFTON SLP LLC,104,-80.93397803,32.2660935
BENTON HOUSE OF FLORENCE,1370 CELEBRATION BLVD,FLORENCE,SC,29501,Florence,854-400-6644,SCOOPER@PRINCIPALSENIORLIVING.COM,CRC-2061 / 02/28/2022,Florence / Limited Liability,FLORENCE SLP LLC,93,-79.828539,34.168549
BENTON HOUSE OF WEST ASHLEY,1445 BLUEWATER WAY,CHARLESTON,SC,29414,Charleston,843-576-9667,LICENSING@PRINCIPALSENIORLIVING.COM,CRC-1897 / 12/31/2021,Charleston / ,WEST ASHLEY SLP LLC,98,-80.06025,32.828619
BETHEA BAPTIST ASSISTED LIVING,157 HOME AVE,DARLINGTON,SC,29532-7625,Darlington,843-393-2867,BSPURLING@SCBMA.COM,CRC-1533 / 08/31/2021,Darlington / Non-Profit Corporation,SOUTH CAROLINA BAPTIST MINISTRIES FOR THE AGING INC,14,-79.83820395,34.25718118
BIRD STREET I COMMUNITY RESIDENTIAL CARE FACILITY,1705 BIRD ST,ROCK HILL,SC,29730-3830,York,803-366-7121,MSHAFFER@MAXABILITIES.ORG,CRC-1357 / 06/30/2022,York / State,YORK COUNTY DISIBILITIES AND SPECIAL NEEDS BOARD,8,-81.00086678,34.94403076
BIRD STREET II COMMUNITY RESIDENTIAL CARE FACILITY,1711 BIRD ST,ROCK HILL,SC,29730-3830,York,803-366-6113,MSHAFFER@MAXABILITIES.ORG,CRC-1358 / 06/30/2022,York / ,YORK COUNTY DISIBILITIES AND SPECIAL NEEDS BOARD,8,-81.00060376,34.94432282
BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,1 BISHOP GADSDEN WAY,CHARLESTON,SC,29412-3577,Charleston,843-762-3300,JONNA.COOK@BISHOPGADSDEN.ORG,CRC-0451 / 11/30/2021,Charleston / Non-Profit Corporation,BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,112,-79.97625268,32.73215979
BISHOPVILLE MANOR,2779 HWY 15 N,BISHOPVILLE,SC,29010-7101,Lee,803-428-2222,KATHY.MINGUS@YAHOO.COM,CRC-2054 / 12/31/2021,Lee / Limited Liability,BISHOPVILLE MANOR OPERATING GROUP LLC,44,-80.17105256,34.2590074
BLACK'S DRIVE COMMUNITY RESIDENCE,160 BLACKS DR,WILLISTON,SC,29853-3558,Barnwell,803-266-3211,BPARKER@BARNWELLSC.COM,CRC-1524 / 08/31/2021,Barnwell / County,ALLENDALE/BARNWELL COUNTIES DISABILITIES AND SPECIAL NEEDS BOARD,8,-81.43776434,33.41060004
BLAKE AT BAXTER VILLAGE,522 6TH BAXTER CROSSING,FORT MILL,SC,29708,York,803-752-4700,RITA.HILL@BLAKELIVING.COM,CRC-2111 / 11/30/2021,York / Limited Liability,BAXTER SENIOR CARE LLC,114,-80.976216,35.021738
BLAKE AT CARNES CROSSROADS,4015 2ND AVE,SUMMERVILLE,SC,29486,Berkeley,843-376-3996,CRYSTAL.TATE@BLAKELIVING.COM,CRC-1896 / 07/31/2021,Berkeley / Limited Liability,BLAKE AT CARNES CROSSROADS LLC,114,-80.18398,33.000443
BLAKE AT EDGEWATER,1099 EDGEWATER CORPORATE PKWY,INDIAN LAND,SC,29707,Lancaster,803-310-4242,JASON.FISHER@BLAKELIVING.COM,CRC-2112 / 11/30/2021,Lancaster / Limited Liability,EDGEWATER SENIOR CARE LLC,105,-80.860431,34.997515
BLAKE AT HOLLINGSWORTH PARK,360 WOODRUFF RD,GREENVILLE,SC,29607,Greenville,,MACK@CARDINALALVENTURES.NET,CRC-2041 / 11/30/2021,Greenville / Limited Liability,BLAKE AT HOLLINGSWORTH PARK LLC,114,-82.338479,34.834108
BLAKE AT WOODCREEK FARMS,385 SPEARS CREEK CHURCH RD,ELGIN,SC,29045-9312,Richland,803-828-7370,KATHLEEN.VIDAL@BLAKELIVING.COM,CRC-1570 / 02/28/2022,Richland / ,BLAKE AT WOODCREEK FARMS LLC,100,-80.84217197,34.1146167
BLOOM AT BELFAIR,60 OAK FOREST RD,BLUFFTON,SC,29910-5010,Beaufort,843-815-2338,ADMIN@BLOOMATBELFAIR.COM,CRC-1510 / 12/31/2021,Beaufort / Limited Liability,BLOOMFIELD SENIOR LIVING OF BLUFFTON LLC,68,-80.85667003,32.27032058
BLOOM AT BLUFFTON,800 FORDING ISLAND RD,BLUFFTON,SC,29910-4845,Beaufort,843-815-2555,WROGERS@LEEDYANDROGERS.COM,CRC-1381 / 04/30/2022,Beaufort / ,BLOOMFIELD SENIOR LIVING OF BLUFFTON II LLC,70,-80.86319652,32.26867375
BLOOM AT HILTON HEAD,35 BEACH CITY RD,HILTON HEAD ISLAND,SC,29926-4725,Beaufort,843-342-5599,WROGERS@LEEDYANDROGERS.COM,CRC-1382 / 04/30/2022,Beaufort / Limited Liability,BLOOMFIELD SENIOR LIVING OF HILTON HEAD LLC,72,-80.71235921,32.22061584
BOSTICK'S ADULT RESIDENTIAL CARE FACILITY,1912 DUKE ST,BEAUFORT,SC,29902-4404,Beaufort,843-524-3906,BARCF1@GMAIL.COM,CRC-0143 / 05/31/2022,Beaufort / Limited Liability,BOSTICK S ADULT RESIDENTIAL CARE FACILITY LLC,20,-80.68395188,32.43615057
BOWLES COMMUNITY CARE HOME,9270 N HWY 17,MC CLELLANVILLE,SC,29458-9422,Charleston,843-887-4180,BBOWCARE@AOL.COM,CRC-0090 / 09/30/2021,Charleston / Sole Proprietorship,"BENJAMIN, BOWLES",16,-79.519624,33.072464
BOWLES COMMUNITY CARE HOME 2,9274 N HWY 17,MCCLELLANVILLE,SC,29458-9422,Charleston,843-887-4180,BBOWCARE@AOL.COM,CRC-1497 / 11/30/2021,Charleston / Sole Proprietorship,"BOWLES, BENJAMIN",5,-79.51878144,33.07181087
BRIANA'S RESIDENTIAL CARE FACILITY,252 CHARLESTON AVE N,FAIRFAX,SC,29827-4502,Allendale,803-632-9813,VERMELLEWALKER@YAHOO.COM,CRC-1333 / 11/30/2021,Allendale / Sole Proprietorship,"WALKER, JOHN W.",10,-81.23474852,32.95980507
BRIAN'S RESIDENTIAL CARE,1115 WHITMAN ST,ORANGEBURG,SC,29118,Orangeburg,803-533-1588,MCAKLEY18@GMAIL.COM,CRC-2068 / 12/31/2021,Orangeburg / Limited Liability,BRIANS AND STOKES ASSISTED LIVING LLC,7,-80.846321,33.491294
BRIAN'S RESIDENTIAL CARE II,4003 CALHOUN ST,BRANCHVILLE,SC,29432-2243,Orangeburg,803-274-8051,MCAKLEY18@GMAIL.COM,CRC-2067 / 12/31/2021,Orangeburg / Limited Liability,BRIANS AND STOKES ASSISTED LIVING LLC,20,-80.816312,33.257494
BRIDGE ASSISTED LIVING AT LIFE CARE CENTER OF CHARLESTON,2590 ELMS PLANTATION BLVD,NORTH CHARLESTON,SC,29406-8105,Charleston,843-553-6342,KATEDAUGHERTY19@GMAIL.COM,CRC-1064 / 10/31/2021,Charleston / Ltd. Liability,CHARLESTON RETIREMENT INVESTORS LLC,100,-80.06208587,32.98040384
BRIGHTWATER ASSISTED LIVING,201 BRIGHTWATER DR,MYRTLE BEACH,SC,29579-8298,Horry,843-903-8940,LICENSING@BRIGHTWATER-LIVING.COM,CRC-1489 / 04/30/2022,Horry / Limited Liability,BRIGHTWATER RETIREMENT LLC,56,-78.84542286,33.76145877
BROAD CREEK CARE CENTER ASSISTED LIVING,801 LEMON GRASS CT,HILTON HEAD ISLAND,SC,29928-3022,Beaufort,843-341-7300,TKOSZYLKO@VLIVING.COM,CRC-1036 / 07/31/2021,Beaufort / Corporation,CC-HILTON HEAD INC,50,-80.77503265,32.17469718
BROOK PINE COMMUNITY RESIDENTIAL CARE FACILITY,3961 FISH HATCHERY RD,GASTON,SC,29053-9038,Lexington,803-955-3821,MARJORIE.WILSON-GUESS@SCDMH.ORG,CRC-2077 / 07/31/2021,Lexington / State,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,16,-81.15065,33.842779
BROOKDALE ANDERSON,311 SIMPSON RD,ANDERSON,SC,29621-2157,Anderson,864-261-3875,BJENKINS1@BROOKDALE.COM,CRC-1303 / 03/31/2022,Anderson / Corporation,EMERITUS CORPORATION,40,-82.6243156,34.5369082
BROOKDALE BRUSHY CREEK,2010 BRUSHY CREEK RD,GREER,SC,29650-2614,Greenville,864-244-9994,JDEATON@BROOKDALE.COM,CRC-1306 / 12/31/2021,Greenville / Corporation,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-82.28780171,34.89949366
BROOKDALE CENTRAL,131 VICKERY DR,CENTRAL,SC,29630-8330,Pickens,864-653-4674,PFOARD@BROOKDALE.COM,CRC-1307 / 12/31/2021,Pickens / Limited Liability,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-82.79112331,34.70644647
BROOKDALE COLUMBIA,251 SPRINGTREE DR,COLUMBIA,SC,29223-7989,Richland,803-741-2600,BSHULL@BROOKDALE.COM,CRC-1310 / 12/31/2021,Richland / Corporation,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-80.96166671,34.07716662
BROOKDALE CONWAY,872 SINGLETON RIDGE RD,CONWAY,SC,29526-9166,Horry,843-347-3050,DKEAR@BROOKDALE.COM,CRC-2143 / 01/31/2022,Horry / Limited Liability,BKD CONWAY SC LLC,52,-79.017916,33.777742
BROOKDALE EBENEZER ROAD,1920 EBENEZER RD,ROCK HILL,SC,29732-1014,York,803-366-1189,MDELTORO1@BROOKDALE.COM,CRC-1308 / 02/28/2022,York / Corporation,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-81.05020137,34.96340516
BROOKDALE GREENWOOD,1408 PKWY RD,GREENWOOD,SC,29646-4043,Greenwood,864-223-2281,PFOARD@BROOKDALE.COM,CRC-1309 / 12/31/2021,Greenwood / Limited Liability,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-82.15838109,34.17183273
BROOKDALE HARBISON,51 WOODCROSS DR,COLUMBIA,SC,29212-2350,Richland,803-732-0300,DKEAR@BROOKDALE.COM,CRC-2053 / 12/31/2021,Richland / Limited Liability,AHC STERLING HOUSE OF HARBISON LLC,52,-81.145986,34.076896
BROOKDALE NORTH AUGUSTA,105 N HILLS DR OFC,NORTH AUGUSTA,SC,29841-0113,Aiken,803-819-0034,ALARKE@BROOKDALE.COM,CRC-1298 / 02/28/2022,Aiken / Corporation,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-81.97032074,33.50984994
BROOKDALE SUMTER,1180 WILSON HALL RD OFC,SUMTER,SC,29150-1741,Sumter,803-469-4508,SSCOTT24@BROOKDALE.COM,CRC-1312 / 12/31/2021,Sumter / Corporation,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-80.40103272,33.95361063
BROOKDALE WEST ASHLEY,2030 CHARLIE HALL BLVD,CHARLESTON,SC,29414-5830,Charleston,843-763-4055,CSTRASBURG@BROOKDALE.COM,CRC-2018 / 03/31/2022,Charleston / Limited Liability,BKD CHARLESTON SOUTH CAROLINA LLC,100,-80.041125,32.816019
BROOKSTONE TERRACE OF WOODRUFF LLC,80 MEDICAL CENTER DR,WOODRUFF,SC,29388-8781,Spartanburg,864-476-9100,GRAY.ANGELL@YAHOO.COM,CRC-2151 / 04/30/2022,Spartanburg / Limited Liability,BROOKSTONE TERRACE OF WOODRUFF LLC,60,-82.023185,34.746989
BROOKWOOD COMMUNITY RESIDENCE,181 BROOKWOOD DR,BATESBURG,SC,29006-2324,Lexington,803-532-4440,SRICHARDSON@BABCOCKCENTER.ORG,CRC-0879 / 09/30/2021,Lexington / Non-Profit Corporation,BABCOCK CENTER INC,8,-81.52968862,33.90472113
BTU REST HOME,113 ELLISON ST,BENNETTSVILLE,SC,29512-0352,Marlboro,843-479-9053,MICHAELCAIN94@AOL.COM,CRC-0235 / 09/30/2021,Marlboro / Corporation,BTU REST HOME INC,80,-79.70034062,34.6074514
BUILDERS CARE HOME,731 SIMS AVE,COLUMBIA,SC,29205-1837,Richland,803-376-8991,COLUMBIAHOMECARE73@ATT.NET,CRC-1491 / 04/30/2022,Richland / Non-Profit Corporation,ALDERSGATE SPECIAL NEEDS MINISTRY,6,-80.99916657,33.99930592
BURGESS RESIDENTIAL CARE #3,615 W EVANS ST,FLORENCE,SC,29501-3409,Florence,843-407-4901,SANDYBURGESS98@YAHOO.COM,CRC-1913 / 08/31/2021,Florence / Limited Liability,DELLAVISION LLC,9,-79.77728287,34.19699579
BURGESS RESIDENTIAL CARE FACILITY,2591 S BREHENAN DR,FLORENCE,SC,29505-6203,Florence,843-665-6843,SANDYBURGESS98@YAHOO.COM,CRC-0925 / 04/30/2022,Florence / Sole Proprietorship,"BURGESS, SANDY",9,-79.74310702,34.15979884
BURGESS RESIDENTIAL CARE FACILITY #4,412 PEE DEE CHRUCH RD,DILLON,SC,29536,Dillon,843-774-0623,SANDYBURGESS98@YAHOO.COM,CRC-2046 / 10/31/2021,Dillon / Limited Liability,DELLAVISION LLC,30,-79.326779,34.391711
CABADING HOMES #1,3431 RIVERS AVE,NORTH CHARLESTON,SC,29405-7760,Charleston,843-747-3050,CABOOTY105@AOL.COM,CRC-0394 / 07/31/2021,Charleston / Corporation,CABADING HOMES INC,18,-79.97820938,32.85605012
CABADING HOMES #2,3435 RIVERS AVE,NORTH CHARLESTON,SC,29405-7760,Charleston,843-566-1075,CABOOTY105@AOL.COM,CRC-0571 / 02/28/2022,Charleston / Corporation,CABADING HOMES INC,15,-79.97837946,32.85611224
CABADING HOMES #3,2149 DORCHESTER RD,NORTH CHARLESTON,SC,29405-7763,Charleston,843-745-9182,CABOOTY105@AOL.COM,CRC-0825 / 07/31/2021,Charleston / Corporation,CABADING HOMES INC,25,-79.98012621,32.85391684
CAMDEN I,975 WATEREE BLVD,CAMDEN,SC,29020-4134,Kershaw,803-432-0973,C.WRIGHT@CHESCOSERVICES.ORG,CRC-1525 / 09/30/2021,Kershaw / Sole Proprietorship,CHESCO SERVICES,8,-80.62632662,34.24654415
CAMDEN II,975 WATEREE BLVD,CAMDEN,SC,29020-4134,Kershaw,803-432-1345,C.WRIGHT@CHESCOSERVICES.ORG,CRC-1522 / 05/31/2022,Kershaw / Sole Proprietorship,CHESCO SERVICES,8,-80.62642702,34.24644881
CAMP COMMUNITY RESIDENCE,1251 CAMP RD,JAMES ISLAND,SC,29412-9212,Charleston,843-795-6983,ETURNER@DSNCC.COM,CRC-1371 / 01/31/2022,Charleston / State,DISABILITIES BOARD OF CHARLESTON COUNTY,8,-79.9498129,32.72764523
CANTERFIELD OF BLUFFTON,567 N OKATIE HWY,RIDGELAND,SC,29936,Jasper,843-645-4000,SHAZIA@CANTERFIELDOFBLUFFTON.COM,CRC-1571 / 11/30/2021,Jasper / Limited Liability,CANTERFIELD OF BLUFFTON LLC,93,-80.93503196,32.30814302
CANTRELL'S RESIDENTIAL CARE FACILITY,124 GLADYS CT,SPARTANBURG,SC,29301-3701,Spartanburg,864-587-1993,WYOMINGSWITZER@ICLOUD.COM,CRC-1105 / 06/30/2022,Spartanburg / Corporation,CANTRELL'S RESIDENTIAL CARE FACILITY INC,22,-81.98207561,34.92103246
CARE WITH LOVE,3408 LENAPE ST,NORTH CHARLESTON,SC,29405-7777,Charleston,843-744-0313,SHEILAPNELSON@GMAIL.COM,CRC-2164 / 01/31/2022,Charleston / Sole Proprietorship,SHEILA NELSON,5,-79.977828,32.855043
CARE WITH LOVE II,2109 COMMANDER RD,NORTH CHARLESTON,SC,29405-7704,Charleston,843-718-3034,SHEILAPNELSON@GMAIL.COM,CRC-2163 / 01/31/2022,Charleston / Sole Proprietorship,SHEILA NELSON,5,-79.978503,32.855324
CARLISLE PLACE,21 DR FRANK PRESSLY DR,DUE WEST,SC,29639-9705,Abbeville,864-379-2570,DLITTLE3@MINDSPRING.COM,CRC-1538 / 12/31/2021,Abbeville / ,THE RENAISSANCE LLC,28,-82.39463264,34.33025767
CAROLINA GARDENS AT CONWAY,2310 HWY 378,CONWAY,SC,29527,Horry,843-397-1010,MFRANKS@PRIORITYLC.COM,CRC-2059 / 03/31/2022,Horry / Limited Liability,SGS CONWAY OPCO LLC,100,-79.09014295,33.84352107
CAROLINA GARDENS AT GARDEN CITY,11951 GRANDHAVEN DR,MURRELS INLET,SC,29576-7843,Horry,843-357-0200,MPIEPENBRING@PRIORITYLC.COM,CRC-2115 / 12/31/2021,Horry / Limited Liability,VP GARDEN CITY OPCP LLC,111,-79.024916,33.587267
CAROLINA GARDENS AT KATHWOOD,4520 TRENHOLM RD,COLUMBIA,SC,29206-4425,Richland,803-787-1234,SBARTON@PRIORITYLC.COM,CRC-2056 / 03/31/2022,Richland / Limited Liability,SGS KATHWOOD OPCO LLC,100,-80.968651,34.008255
CAROLINA GARDENS AT LAURENS,420 W FARLEY AVE,LAURENS,SC,29360,Laurens,864-984-9844,LMIMS@PRIORITYLC.COM,CRC-2055 / 03/31/2022,Laurens / Limited Liability,SGS LAURENS OPCO LLC,100,-82.026632,34.489572
CAROLINA GARDENS AT LEXINGTON,5422 AUGUSTA RD,LEXINGTON,SC,29072-3892,Lexington,803-520-5850,APRILBYRD01@GMAIL.COM,CRC-2058 / 03/31/2022,Lexington / Limited Liability,SGS LEXINGTON OPCO LLC,90,-81.218783,33.976916
CAROLINA GARDENS AT ROCK HILL,1785 LEXINGTON COMMONS DR,ROCK HILL,SC,29732,York,803-207-8000,JKIMBALL@PRIORITYLC.COM,CRC-2116 / 12/31/2021,York / Limited Liability,VP ROCK HILL OPCO LLC,90,-80.994784,34.983962
CAROLINA GARDENS AT YORK,1020 N CONGRESS ST,YORK,SC,29745,York,803-684-0183,KMCCUIN@PRIORITYLC.COM,CRC-2060 / 03/31/2022,York / Limited Liability,SGS YORK OPCO LLC,143,-81.22452841,35.00736061
CAROLINA PLACE,240 CHARLES ST,LAKE CITY,SC,29560-2161,Florence,843-394-5707,LUWAGBAI@FCDSN.ORG,CRC-1258 / 01/31/2022,Florence / State,FLORENCE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-79.74901319,33.87417658
CAROLINIAN,718 S DARGAN ST,FLORENCE,SC,29506-2559,Florence,843-665-9314,DEBORAH.STOUFF@RHF.ORG,CRC-0468 / 04/30/2021,Florence / Corporation,FLORENCE RHF HOUSING INC,38,-79.76337334,34.18600778
CARRIAGE HOUSE SENIOR LIVING OF FLORENCE,739 S PARKER DR,FLORENCE,SC,29501-6062,Florence,843-661-6655,T.BIGLER@ETCARE.BIZ,CRC-1590 / 01/31/2022,Florence / ,CARRIAGE HOUSE SENIOR LIVING OF FLORENCE INC,80,-79.82700204,34.1769165
CARRIAGE HOUSE SENIOR LIVING OF HARTSVILLE,1131 E HOME AVE,HARTSVILLE,SC,29550,Darlington,843-383-6990,CHSLHARTSVILLEADM@ETCARE.BIZ,CRC-0994 / 01/31/2022,Darlington / Corporation,CARRIAGE HOUSE SENIOR LIVING OF HARTSVILLE INC,60,-80.04588632,34.3826454
