Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Ownership Type,Licensee,Capacity,Longitude,Latitude,Date Accessed,State Facility Type 1 Literal,License Number
Arbor Landing At Pawleys,7419 OCEAN HWY,Pawleys Island,SC,29585,Georgetown,843-314-3720,anita.williams@ridgecare.com,LIMITED LIABILITY,ARBOR LANDING AT PAWLEYS LLC,100,-79.175663,33.420791,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1937
Arboretum At The Woodlands At Furman,50 ARBORETUM LN,Greenville,SC,29617-6228,Greenville,864-371-3100,dlilly@twafsc.org,NON-PROFIT CORPORATION,UPSTATE SENIOR LIVING INC,64,-82.44419575,34.93543101,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1492
Ashlan Village,415 BRENDA WAY,Lyman,SC,29365-9264,Spartanburg,864-949-7825,lhill@ashlanvillage.com,LIMITED LIABILITY,ASHLAN PROPERTIES LLC,75,-82.14195628,34.97392741,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1483
Ashley Gardens Alzheimer'S Special Care Center,2290 HENRY TECKLENBURG DR,Charleston,SC,29414,Charleston,843-556-4100,assetmanagement@sunshineret.com,LIMITED LIABILITY,CHARLESTON CARE GROUP LLC,66,-80.04158239,32.80405608,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1595
Ashley Landing Assisted Living,4550 GREAT OAK DR,North Charleston,SC,29418-5001,Charleston,843-760-0831,djeffcoat@ashleylanding.com,LIMITED LIABILITY,NORTH CHARLESTON ASSISTED LIVING LLC,100,-80.061808,32.874495,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2158
Ashley Place,526 HALTIWANGER RD,Greenwood,SC,29649-1799,Greenwood,864-943-1933,dmielech@enlivant.com,CORPORATION,ASHLEY AID OPCO LLC,44,-82.16100784,34.23350912,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1404
Ashley River Plantation,2333 ASHLEY RIVER RD,Charleston,SC,29414-4755,Charleston,843-766-9898,adair@5ssl.com,LIMITED LIABILITY,SNH SE ASHLEY RIVER TENANT LLC,123,-80.0378161,32.82246596,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1376
Atria Forest Lake,4405 FOREST DR,Columbia,SC,29206-3103,Richland,803-790-9800,nancy.faulisi@atriaseniorliving.com,LIMITED LIABILITY,WG FOREST LAKE SH LLC,60,-80.9762651,34.02154544,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1143
Atria Mount Pleasant,601 SOLANA WAY,Mount Pleasant,SC,29464,Charleston,843-800-2323,allison.johnson@atriaseniorliving.com,,FDG-MP OPCO LLC,112,-79.859505,32.818011,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2109
B & J Residential Care Facility,528 ATTERBURY DR,Columbia,SC,29203-3002,Richland,803-786-0011,emarieeargle@yahoo.com,CORPORATION,B & J RESIDENTIAL CARE FACILITY LLC,5,-81.0006952,34.076817,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1461
Bayberry Of Greenwood,116 ABBEY DR,Greenwood,SC,29649-8536,Greenwood,864-223-6510,greenwood@thebayberryinn.com,LIMITED LIABILITY LIMITED PARTNERSHIP,EVERGREEN VILLAGES LIMITED PARTNERSHIP,23,-82.20177571,34.19894762,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0589
Bayberry Of Greer,309 NORTHVIEW DR,Greer,SC,29651-1340,Greenville,864-848-1935,home@thebayberryinn.com,LIMITED LIABILITY LIMITED PARTNERSHIP,EVERGREEN VILLAGES LIMITED PARTNERSHIP,23,-82.22450496,34.95169472,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0595
Bayshore On Hilton Head Island,421 SQUIRE POPE RD,Hilton Head Island,SC,29926,Beaufort,843-342-2222,rmckee@bayshorehiltonhead.com,LIMITED LIABILITY,BAYSHORE HILTON HEAD LLC,147,-80.74607279,32.23644023,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1963
Beard Residential Care Facility #1,123 N WARREN ST,Timmonsville,SC,29161-1443,Florence,843-346-5272,beardsrcf@yahoo.com,SOLE PROPRIETORSHIP,CATHERINE H BEARD,10,-79.94261646,34.13534694,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0140
Bell'S Professional Residential Home Care,1910 DALTON ST,North Charleston,SC,29406-3961,Charleston,843-744-1765,bachbell25@gmail.com,LTD. LIABILITY,BELL'S PROFESSIONAL RESIDENTIAL HOME CARE LLC,20,-80.00372581,32.88300239,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1209
Belvedere Commons Of Seneca,515 BENTON ST,Seneca,SC,29672-6883,Oconee,864-888-4114,jwitzel@belvederecommonsseneca.com,LTD. LIABILITY,FKP SENECA SENIOR LIVING TENANT LLC,62,-82.99264159,34.72184786,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1466
Benchmark Homes - Spartanburg,450 W HENRY ST,Spartanburg,SC,29306-6037,Spartanburg,864-308-8852,smason@charleslea.org,CORPORATION,CHARLES LEA CENTER,12,-81.94050995,34.94390902,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1509
Benton House Of Aiken,530 BENTON HOUSE WY,Aiken,SC,29803,Aiken,803-226-0838,licensing@principalseniorliving.com,LIMITED LIABILITY,BENTON SENIOR CARE LLC,100,-81.74995645,33.49424499,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2049
Benton House Of Bluffton,8 HAMPTON LAKE DR,Bluffton,SC,29910-9568,Beaufort,843-757-3111,blufftondirector@bentonhouse.com,LIMITED LIABILITY,BLUFFTON SLP LLC,104,-80.93397803,32.2660935,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1585
Benton House Of Florence,1370 CELEBRATION BLVD,Florence,SC,29501,Florence,854-400-6644,scooper@principalseniorliving.com,LIMITED LIABILITY,FLORENCE SLP LLC,93,-79.828539,34.168549,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2061
Benton House Of West Ashley,1445 BLUEWATER WAY,Charleston,SC,29414,Charleston,843-576-9667,licensing@principalseniorliving.com,,WEST ASHLEY SLP LLC,98,-80.06025,32.828619,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1897
Bethea Baptist Assisted Living,157 HOME AVE,Darlington,SC,29532-7625,Darlington,843-393-2867,bspurling@scbma.com,NON-PROFIT CORPORATION,SOUTH CAROLINA BAPTIST MINISTRIES FOR THE AGING INC,14,-79.83820395,34.25718118,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1533
Bird Street I Community Residential Care Facility,1705 BIRD ST,Rock Hill,SC,29730-3830,York,803-366-7121,mshaffer@maxabilities.org,STATE,YORK COUNTY DISIBILITIES AND SPECIAL NEEDS BOARD,8,-81.00086678,34.94403076,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1357
Bird Street Ii Community Residential Care Facility,1711 BIRD ST,Rock Hill,SC,29730-3830,York,803-366-6113,mshaffer@maxabilities.org,,YORK COUNTY DISIBILITIES AND SPECIAL NEEDS BOARD,8,-81.00060376,34.94432282,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1358
Bishop Gadsden Episcopal Retirement Community,1 BISHOP GADSDEN WAY,Charleston,SC,29412-3577,Charleston,843-762-3300,jonna.cook@bishopgadsden.org,NON-PROFIT CORPORATION,BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,112,-79.97625268,32.73215979,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0451
Bishopville Manor,2779 HWY 15 N,Bishopville,SC,29010-7101,Lee,803-428-2222,kathy.mingus@yahoo.com,LIMITED LIABILITY,BISHOPVILLE MANOR OPERATING GROUP LLC,44,-80.17105256,34.2590074,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2054
Black'S Drive Community Residence,160 BLACKS DR,Williston,SC,29853-3558,Barnwell,803-266-3211,bparker@barnwellsc.com,COUNTY,ALLENDALE/BARNWELL COUNTIES DISABILITIES AND SPECIAL NEEDS BOARD,8,-81.43776434,33.41060004,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1524
Blake At Baxter Village,522 6TH BAXTER CROSSING,Fort Mill,SC,29708,York,803-752-4700,rita.hill@blakeliving.com,LIMITED LIABILITY,BAXTER SENIOR CARE LLC,114,-80.976216,35.021738,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2111
Blake At Carnes Crossroads,4015 2ND AVE,Summerville,SC,29486,Berkeley,843-376-3996,crystal.tate@blakeliving.com,LIMITED LIABILITY,BLAKE AT CARNES CROSSROADS LLC,114,-80.18398,33.000443,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1896
Blake At Edgewater,1099 EDGEWATER CORPORATE PKWY,Indian Land,SC,29707,Lancaster,803-310-4242,jason.fisher@blakeliving.com,LIMITED LIABILITY,EDGEWATER SENIOR CARE LLC,105,-80.860431,34.997515,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2112
Blake At Hollingsworth Park,360 WOODRUFF RD,Greenville,SC,29607,Greenville,,mack@cardinalalventures.net,LIMITED LIABILITY,BLAKE AT HOLLINGSWORTH PARK LLC,114,-82.338479,34.834108,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2041
Blake At Woodcreek Farms,385 SPEARS CREEK CHURCH RD,Elgin,SC,29045-9312,Richland,803-828-7370,kathleen.vidal@blakeliving.com,,BLAKE AT WOODCREEK FARMS LLC,100,-80.84217197,34.1146167,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1570
Bloom At Belfair,60 OAK FOREST RD,Bluffton,SC,29910-5010,Beaufort,843-815-2338,admin@bloomatbelfair.com,LIMITED LIABILITY,BLOOMFIELD SENIOR LIVING OF BLUFFTON LLC,68,-80.85667003,32.27032058,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1510
Bloom At Bluffton,800 FORDING ISLAND RD,Bluffton,SC,29910-4845,Beaufort,843-815-2555,wrogers@leedyandrogers.com,,BLOOMFIELD SENIOR LIVING OF BLUFFTON II LLC,70,-80.86319652,32.26867375,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1381
Bloom At Hilton Head,35 BEACH CITY RD,Hilton Head Island,SC,29926-4725,Beaufort,843-342-5599,wrogers@leedyandrogers.com,LIMITED LIABILITY,BLOOMFIELD SENIOR LIVING OF HILTON HEAD LLC,72,-80.71235921,32.22061584,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1382
Bostick'S Adult Residential Care Facility,1912 DUKE ST,Beaufort,SC,29902-4404,Beaufort,843-524-3906,barcf1@gmail.com,LIMITED LIABILITY,BOSTICK S ADULT RESIDENTIAL CARE FACILITY LLC,20,-80.68395188,32.43615057,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0143
Bowles Community Care Home,9270 N HWY 17,Mc Clellanville,SC,29458-9422,Charleston,843-887-4180,bbowcare@aol.com,SOLE PROPRIETORSHIP,"BENJAMIN, BOWLES",16,-79.519624,33.072464,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0090
Bowles Community Care Home 2,9274 N HWY 17,Mcclellanville,SC,29458-9422,Charleston,843-887-4180,bbowcare@aol.com,SOLE PROPRIETORSHIP,"BOWLES, BENJAMIN",5,-79.51878144,33.07181087,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1497
Briana'S Residential Care Facility,252 CHARLESTON AVE N,Fairfax,SC,29827-4502,Allendale,803-632-9813,vermellewalker@yahoo.com,SOLE PROPRIETORSHIP,"WALKER, JOHN W.",10,-81.23474852,32.95980507,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1333
Brian'S Residential Care,1115 WHITMAN ST,Orangeburg,SC,29118,Orangeburg,803-533-1588,mcakley18@gmail.com,LIMITED LIABILITY,BRIANS AND STOKES ASSISTED LIVING LLC,7,-80.846321,33.491294,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2068
Brian'S Residential Care Ii,4003 CALHOUN ST,Branchville,SC,29432-2243,Orangeburg,803-274-8051,mcakley18@gmail.com,LIMITED LIABILITY,BRIANS AND STOKES ASSISTED LIVING LLC,20,-80.816312,33.257494,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2067
Bridge Assisted Living At Life Care Center Of Charleston,2590 ELMS PLANTATION BLVD,North Charleston,SC,29406-8105,Charleston,843-553-6342,katedaugherty19@gmail.com,LTD. LIABILITY,CHARLESTON RETIREMENT INVESTORS LLC,100,-80.06208587,32.98040384,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1064
Brightwater Assisted Living,201 BRIGHTWATER DR,Myrtle Beach,SC,29579-8298,Horry,843-903-8940,licensing@brightwater-living.com,LIMITED LIABILITY,BRIGHTWATER RETIREMENT LLC,56,-78.84542286,33.76145877,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1489
Broad Creek Care Center Assisted Living,801 LEMON GRASS CT,Hilton Head Island,SC,29928-3022,Beaufort,843-341-7300,tkoszylko@vliving.com,CORPORATION,CC-HILTON HEAD INC,50,-80.77503265,32.17469718,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1036
Brook Pine Community Residential Care Facility,3961 FISH HATCHERY RD,Gaston,SC,29053-9038,Lexington,803-955-3821,marjorie.wilson-guess@scdmh.org,STATE,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,16,-81.15065,33.842779,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2077
Brookdale Anderson,311 SIMPSON RD,Anderson,SC,29621-2157,Anderson,864-261-3875,bjenkins1@brookdale.com,CORPORATION,EMERITUS CORPORATION,40,-82.6243156,34.5369082,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1303
Brookdale Brushy Creek,2010 BRUSHY CREEK RD,Greer,SC,29650-2614,Greenville,864-244-9994,jdeaton@brookdale.com,CORPORATION,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-82.28780171,34.89949366,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1306
Brookdale Central,131 VICKERY DR,Central,SC,29630-8330,Pickens,864-653-4674,pfoard@brookdale.com,LIMITED LIABILITY,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-82.79112331,34.70644647,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1307
Brookdale Columbia,251 SPRINGTREE DR,Columbia,SC,29223-7989,Richland,803-741-2600,bshull@brookdale.com,CORPORATION,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-80.96166671,34.07716662,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1310
Brookdale Conway,872 SINGLETON RIDGE RD,Conway,SC,29526-9166,Horry,843-347-3050,dkear@brookdale.com,LIMITED LIABILITY,BKD CONWAY SC LLC,52,-79.017916,33.777742,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2143
Brookdale Ebenezer Road,1920 EBENEZER RD,Rock Hill,SC,29732-1014,York,803-366-1189,mdeltoro1@brookdale.com,CORPORATION,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-81.05020137,34.96340516,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1308
Brookdale Greenwood,1408 PKWY RD,Greenwood,SC,29646-4043,Greenwood,864-223-2281,pfoard@brookdale.com,LIMITED LIABILITY,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-82.15838109,34.17183273,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1309
Brookdale Harbison,51 WOODCROSS DR,Columbia,SC,29212-2350,Richland,803-732-0300,dkear@brookdale.com,LIMITED LIABILITY,AHC STERLING HOUSE OF HARBISON LLC,52,-81.145986,34.076896,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2053
Brookdale North Augusta,105 N HILLS DR OFC,North Augusta,SC,29841-0113,Aiken,803-819-0034,alarke@brookdale.com,CORPORATION,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-81.97032074,33.50984994,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1298
Brookdale Sumter,1180 WILSON HALL RD OFC,Sumter,SC,29150-1741,Sumter,803-469-4508,sscott24@brookdale.com,CORPORATION,BROOKDALE SENIOR LIVING COMMUNITIES INC,52,-80.40103272,33.95361063,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1312
Brookdale West Ashley,2030 CHARLIE HALL BLVD,Charleston,SC,29414-5830,Charleston,843-763-4055,cstrasburg@brookdale.com,LIMITED LIABILITY,BKD CHARLESTON SOUTH CAROLINA LLC,100,-80.041125,32.816019,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2018
Brookstone Terrace Of Woodruff Llc,80 MEDICAL CENTER DR,Woodruff,SC,29388-8781,Spartanburg,864-476-9100,gray.angell@yahoo.com,LIMITED LIABILITY,BROOKSTONE TERRACE OF WOODRUFF LLC,60,-82.023185,34.746989,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2151
Brookwood Community Residence,181 BROOKWOOD DR,Batesburg,SC,29006-2324,Lexington,803-532-4440,srichardson@babcockcenter.org,NON-PROFIT CORPORATION,BABCOCK CENTER INC,8,-81.52968862,33.90472113,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0879
Btu Rest Home,113 ELLISON ST,Bennettsville,SC,29512-0352,Marlboro,843-479-9053,michaelcain94@aol.com,CORPORATION,BTU REST HOME INC,80,-79.70034062,34.6074514,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0235
Builders Care Home,731 SIMS AVE,Columbia,SC,29205-1837,Richland,803-376-8991,columbiahomecare73@att.net,NON-PROFIT CORPORATION,ALDERSGATE SPECIAL NEEDS MINISTRY,6,-80.99916657,33.99930592,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1491
Burgess Residential Care #3,615 W EVANS ST,Florence,SC,29501-3409,Florence,843-407-4901,sandyburgess98@yahoo.com,LIMITED LIABILITY,DELLAVISION LLC,9,-79.77728287,34.19699579,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1913
Burgess Residential Care Facility,2591 S BREHENAN DR,Florence,SC,29505-6203,Florence,843-665-6843,sandyburgess98@yahoo.com,SOLE PROPRIETORSHIP,"BURGESS, SANDY",9,-79.74310702,34.15979884,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0925
Burgess Residential Care Facility #4,412 PEE DEE CHRUCH RD,Dillon,SC,29536,Dillon,843-774-0623,sandyburgess98@yahoo.com,LIMITED LIABILITY,DELLAVISION LLC,30,-79.326779,34.391711,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2046
Cabading Homes #1,3431 RIVERS AVE,North Charleston,SC,29405-7760,Charleston,843-747-3050,cabooty105@aol.com,CORPORATION,CABADING HOMES INC,18,-79.97820938,32.85605012,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0394
Cabading Homes #2,3435 RIVERS AVE,North Charleston,SC,29405-7760,Charleston,843-566-1075,cabooty105@aol.com,CORPORATION,CABADING HOMES INC,15,-79.97837946,32.85611224,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0571
Cabading Homes #3,2149 DORCHESTER RD,North Charleston,SC,29405-7763,Charleston,843-745-9182,cabooty105@aol.com,CORPORATION,CABADING HOMES INC,25,-79.98012621,32.85391684,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0825
Camden I,975 WATEREE BLVD,Camden,SC,29020-4134,Kershaw,803-432-0973,c.wright@chescoservices.org,SOLE PROPRIETORSHIP,CHESCO SERVICES,8,-80.62632662,34.24654415,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1525
Camden Ii,975 WATEREE BLVD,Camden,SC,29020-4134,Kershaw,803-432-1345,c.wright@chescoservices.org,SOLE PROPRIETORSHIP,CHESCO SERVICES,8,-80.62642702,34.24644881,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1522
Camp Community Residence,1251 CAMP RD,James Island,SC,29412-9212,Charleston,843-795-6983,eturner@dsncc.com,STATE,DISABILITIES BOARD OF CHARLESTON COUNTY,8,-79.9498129,32.72764523,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1371
Canterfield Of Bluffton,567 N OKATIE HWY,Ridgeland,SC,29936,Jasper,843-645-4000,shazia@canterfieldofbluffton.com,LIMITED LIABILITY,CANTERFIELD OF BLUFFTON LLC,93,-80.93503196,32.30814302,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1571
Cantrell'S Residential Care Facility,124 GLADYS CT,Spartanburg,SC,29301-3701,Spartanburg,864-587-1993,wyomingswitzer@icloud.com,CORPORATION,CANTRELL'S RESIDENTIAL CARE FACILITY INC,22,-81.98207561,34.92103246,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1105
Care With Love,3408 LENAPE ST,North Charleston,SC,29405-7777,Charleston,843-744-0313,sheilapnelson@gmail.com,SOLE PROPRIETORSHIP,SHEILA NELSON,5,-79.977828,32.855043,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2164
Care With Love Ii,2109 COMMANDER RD,North Charleston,SC,29405-7704,Charleston,843-718-3034,sheilapnelson@gmail.com,SOLE PROPRIETORSHIP,SHEILA NELSON,5,-79.978503,32.855324,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2163
Carlisle Place,21 DR FRANK PRESSLY DR,Due West,SC,29639-9705,Abbeville,864-379-2570,dlittle3@mindspring.com,,THE RENAISSANCE LLC,28,-82.39463264,34.33025767,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1538
Carolina Gardens At Conway,2310 HWY 378,Conway,SC,29527,Horry,843-397-1010,mfranks@prioritylc.com,LIMITED LIABILITY,SGS CONWAY OPCO LLC,100,-79.09014295,33.84352107,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2059
Carolina Gardens At Garden City,11951 GRANDHAVEN DR,Murrels Inlet,SC,29576-7843,Horry,843-357-0200,mpiepenbring@prioritylc.com,LIMITED LIABILITY,VP GARDEN CITY OPCP LLC,111,-79.024916,33.587267,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2115
Carolina Gardens At Kathwood,4520 TRENHOLM RD,Columbia,SC,29206-4425,Richland,803-787-1234,sbarton@prioritylc.com,LIMITED LIABILITY,SGS KATHWOOD OPCO LLC,100,-80.968651,34.008255,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2056
Carolina Gardens At Laurens,420 W FARLEY AVE,Laurens,SC,29360,Laurens,864-984-9844,lmims@prioritylc.com,LIMITED LIABILITY,SGS LAURENS OPCO LLC,100,-82.026632,34.489572,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2055
Carolina Gardens At Lexington,5422 AUGUSTA RD,Lexington,SC,29072-3892,Lexington,803-520-5850,aprilbyrd01@gmail.com,LIMITED LIABILITY,SGS LEXINGTON OPCO LLC,90,-81.218783,33.976916,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2058
Carolina Gardens At Rock Hill,1785 LEXINGTON COMMONS DR,Rock Hill,SC,29732,York,803-207-8000,jkimball@prioritylc.com,LIMITED LIABILITY,VP ROCK HILL OPCO LLC,90,-80.994784,34.983962,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2116
Carolina Gardens At York,1020 N CONGRESS ST,York,SC,29745,York,803-684-0183,kmccuin@prioritylc.com,LIMITED LIABILITY,SGS YORK OPCO LLC,143,-81.22452841,35.00736061,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2060
Carolina Place,240 CHARLES ST,Lake City,SC,29560-2161,Florence,843-394-5707,luwagbai@fcdsn.org,STATE,FLORENCE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-79.74901319,33.87417658,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1258
