Name,First,Middle,Last,Owner Manager Name,License No,Profession,License Type,Status,Issue Date,Specialty,Expiration Date,Address Line 1,Address Line 2,Address Line 3,City,State,Zip,Email,Phone,Fax,Total Capacity Beds,Alzheimer/Special Care Unit Beds,Skilled Nursing Facility Beds,Long-Term Care Beds,Skilled/Long-Term Care Beds,Private Pay Beds
AUTUMN VILLA  ASSISTED LIVING,,,,MARCIA LEE DUROCHER ADMINISTRATOR,ALR01416,Assisted Living Residence,Assisted Living Residence,Active,7/1/02,,12/31/21,3579 DIAMOND HILL ROAD,,,CUMBERLAND,RI,2864,AUTUMNVILLA@ME.COM,(401) 333-5050 ,(401) 333-3181 ,48,,,,,
BELLA VILLA,,,,LISA BUONO,ALR01486,Assisted Living Residence,Assisted Living Residence,Active,12/2/13,,12/31/21,336 WILLET AVENUE,,,RIVERSIDE,RI,2915,BELLAVILLA336@VERIZON.NET,(401) 437-0336 ,(401) 437-0338 ,23,,,,,
BLACKSTONE VALLEY ASSISTED LIVING,,,,"BRENDA  KARSPECK, ADMINISTRATOR",ALR01512,Assisted Living Residence,Assisted Living Residence,Active,2/4/20,,12/31/21,649 BROAD STREET,,,CENTRAL FALLS,RI,2863,,(401) 725-7045 ,(401) 725-0004 ,30,,,,,
BLENHEIM NEWPORT,,,,"CHRISTOPHER PECKHAM, ADMINISTRATOR",ALR01507,Assisted Living Residence,Assisted Living Residence,Active,9/1/19,,12/31/21,303 VALLEY ROAD,,,MIDDLETOWN,RI,2842,cpeckham@benchmarkquality.com,(401) 849-0031 ,(401) 849-0199 ,126,,,,,
BRENTWOOD BY THE BAY,,,,MICHAEL MCMAHON,ALR01498,Assisted Living Residence,Assisted Living Residence,Active,8/25/17,,12/31/21,4040 POST ROAD,ATTEN CHERYL KINGMA,,WARWICK,RI,2886,michael.mcmahon19@verizon.net,(401) 884-8022 ,(401) 398-0794 ,74,,,,,
BRIARCLIFFE GARDENS LLC,,,,KYLE M NAYLOR,ALR01458,Assisted Living Residence,Assisted Living Residence,Active,9/18/09,,12/31/21,53 OLD POCASSET ROAD,,,JOHNSTON,RI,2919,ATALWAR@BRIARCLIFFEMANOR.COM,(401) 944-2450 ,(401) 944-2455 ,68,,,,,
BRIGHTVIEW COMMONS,,,,DARLENE LEPORE,ALR01489,Assisted Living Residence,Assisted Living Residence,Active,7/31/14,,12/31/21,57 GRANDE VILLE COURT,,,WAKEFIELD,RI,2879,dlepore@bvsl.net,(401) 789-8777 ,(401) 789-3370 ,88,,,,,
BROOKDALE CENTRE OF NEW ENGLAND,,,,THOMAS GACCIONE,ALR01477,Assisted Living Residence,Assisted Living Residence,Active,11/1/11,,12/31/21,600 CENTRE OF NEW ENGLAND BLVD,,,COVENTRY,RI,2816,Thomas.Gaccione@brookdale.com,(401) 821-2445 ,(401) 821-6180 ,160,,,,,
BROOKDALE SAKONNET BAY,,,,"TOM SMITH, ADMINISTRATOR",ALR01474,Assisted Living Residence,Assisted Living Residence,Active,9/1/11,,12/31/21,1215 MAIN ROAD,,,TIVERTON,RI,2878,tsmith222@brookdale.com,(401) 624-1880 ,(401) 624-6265 ,87,,,,,
BROOKDALE SOUTH BAY,,,,"KERRY ANNE DZIKIEWICZ, ADMINISTRATOR",ALR01473,Assisted Living Residence,Assisted Living Residence,Active,9/1/11,,12/31/21,1959 KINGSTOWN ROAD,,,WAKEFIELD,RI,2879,kdzikiewicz@brookdale.com,(401) 789-4880 ,(401) 792-3780 ,80,,,,,
CAPITOL RIDGE AT PROVIDENCE,,,,TRISTI DELAROCA,ALR01506,Assisted Living Residence,Assisted Living Residence,Active,9/1/19,,12/31/21,700 SMITH STREET,,,PROVIDENCE,RI,2908,TDELAROCA@BENCHMARKQUALITY.COM,(401) 521-0090 ,(401) 453-2514 ,168,,,,,
CARRIAGE HOUSE AT THE ELMS INC THE,,,,MARK TAYLOR,ALR01408,Assisted Living Residence,Assisted Living Residence,Active,12/8/00,,12/31/21,29 CHESTNUT STREET,,,WESTERLY,RI,2891,ELMSAL@VERIZON.NET,(401) 596-8010 ,(401) 596-8013 ,25,,,,,
CHAPEL HILL,,,,COURTNEY FISHER,ALR01501,Assisted Living Residence,Assisted Living Residence,Active,12/20/18,,12/31/21,10 OLD DIAMOND HILL ROAD,,,CUMBERLAND,RI,2864,CHPL.ADM@MERIDIANSENIOR.COM,(844) 458-7373 ,,150,,,,,
CHARLESGATE SENIOR LIVING CENTER,,,,LAUREN YABUT,ALR01499,Assisted Living Residence,Assisted Living Residence,Active,12/6/17,,12/31/21,670 NORTH MAIN STREET,ATTEN:  LAUREN YABUT,,PROVIDENCE,RI,2904,LYABUT@CHARLESGATEAPTS.NET,(401) 453-9317 ,(401) 453-9323 ,60,,,,,
CHESTNUT COTTAGE AT THE ELMS INC,,,,MARK TAYLOR,ALR01459,Assisted Living Residence,Assisted Living Residence,Active,6/29/10,,12/31/21,25 CHESTNUT ST,,,WESTERLY,RI,2891,ELMSAL@VERIZON.NET,(401) 596-4630 ,(401) 348-0113 ,30,,,,,
COLONIAL MANOR ASSISTED LIVING,,,,DOROTHY DESMARAIS,ALR01404,Assisted Living Residence,Assisted Living Residence,Active,7/4/00,,12/31/21,172 CENTRAL AVENUE,,,EAST PROVIDENCE,RI,2914,CMANORDOT@COX.COM,(401) 434-0107 ,(401) 434-6369 ,15,,,,,
COMMONWEALTH HOUSE,,,,AMANDA WILLOUGHBY,ALR01493,Assisted Living Residence,Assisted Living Residence,Active,10/14/16,,12/31/21,655 COMMONWEALTH AVE,,,WARWICK,RI,2886,mandi@commonwealthhouseri.com,(401) 368-1920 ,(401) 889-3670 ,10,,,,,
DARLINGTON ASSISTED LIVING CENTER NO 1,,,,"MELISSA SANFORD, ADMINISTRATOR",ALR01324,Assisted Living Residence,Assisted Living Residence,Active,10/13/87,,12/31/21,123 ARMISTICE BOULEVARD,,,PAWTUCKET,RI,2860,,(401) 725-2400 ,(401) 724-8722 ,38,,,,,
DARLINGTON ASSISTED LIVING CENTER NO 2,,,,"MELISSA SANFORD,  ADMINISTRATOR",ALR01388,Assisted Living Residence,Assisted Living Residence,Active,10/1/97,,12/31/21,56 MAYNARD STREET,,,PAWTUCKET,RI,2860,,(401) 725-0700 ,(401) 724-8240 ,20,,,,,
DARLINGTON MEMORY LANE,,,,MARGARET BUBIS ADMINISTRATOR,ALR01461,Assisted Living Residence,Assisted Living Residence,Active,9/14/10,,12/31/21,1073 & 1081 MINERAL SPRING AVE,,,NORTH PROVIDENCE,RI,2904,MBUBIS@DARLINGTONLIVING.COM,(401) 475-1000 ,(401) 475-9755 ,78,,,,,
"ELMS RETIREMENT RESIDENCE INC, THE",,,,MARK TAYLOR,ALR01306,Assisted Living Residence,Assisted Living Residence,Active,10/13/87,,12/31/21,22 ELM STREET,,,WESTERLY,RI,2891,ELMSAL@VERIZON.NET,(401) 596-4630 ,(401) 348-0113 ,64,,,,,
ETHAN PLACE,,,,HEATHER PREUIT,ALR01311,Assisted Living Residence,Assisted Living Residence,Active,10/13/87,,12/31/21,85 ETHAN STREET,,,WARWICK,RI,2888,AD@Ethanplaceri.com,(401) 781-5460 ,(401) 781-0479 ,32,,,,,
EVERGREEN ASSISTED LIVING,,,,"EMMY JONES,  ADMINISTRATOR",ALR01460,Assisted Living Residence,Assisted Living Residence,Active,7/1/10,,12/31/21,116 GREENE STREET,,,WOONSOCKET,RI,2895,ejones@communitycarealliance.org,(401) 765-1019 ,(401) 766-4196 ,26,,,,,
FOREST FARM ASSISTED LIVING,,,,JENNIFER MELLO ADMINISTRATOR,ALR01308,Assisted Living Residence,Assisted Living Residence,Active,8/16/99,,12/31/21,191 FOREST AVENUE,,,MIDDLETOWN,RI,2842,jmello@royalhealthgroup.com,(401) 849-1090 ,(401) 849-9345 ,55,,,,,
FOUR SEASONS ASSISTED LIVING,,,,DENISE SOUCIE,ALR01497,Assisted Living Residence,Assisted Living Residence,Active,3/30/17,,12/31/21,1057 CHOPMIST HILL ROAD,,,NORTH SCITUATE,RI,2857,DSOUCIE@USA.COM,(401) 764-5092 ,(401) 764-5094 ,27,,,,,
FRANCISCAN MISSIONARIES OF MARY ASSISTED LIVING RESIDENCE,,,,STEPHANIE DYER,ALR01359,Assisted Living Residence,Assisted Living Residence,Active,6/23/93,,12/31/21,399 FRUIT HILL AVENUE,,,NORTH PROVIDENCE,RI,2911,ALRFMM@AOL.COM,(401) 353-5800 ,(401) 353-5386 ,39,0,,,,
FRANKLIN COURT ASSISTED LIVING,,,,ANGELA CABRAL,ALR01409,Assisted Living Residence,Assisted Living Residence,Active,12/19/00,,12/31/21,180 FRANKLIN STREET,,,BRISTOL,RI,2809,acabral@ebcdc.org,(401) 253-3679 ,(401) 253-5855 ,107,,,,,
GOLDEN YEARS ASSISTED LIVING COMMUNITY,,,,NICOLE M ADAMS,ALR01479,Assisted Living Residence,Assisted Living Residence,Active,4/3/12,,12/31/21,118 HIGH STREET,,,WESTERLY,RI,2891,NICOLE@GOLDENYEARSRI.COM,(401) 596-1333 ,(401) 596-5559 ,26,,,,,
GREENWICH FARMS AT WARWICK,,,,LINDA SILVEIRA,ALR01508,Assisted Living Residence,Assisted Living Residence,Active,9/1/19,,12/31/21,75 MINNESOTA AVENUE,,,WARWICK,RI,2888,LSILVEIRA@BENCHMARKQUALITY.COM,(401) 737-7222 ,(401) 737-9702 ,149,,,,,
HALCYON AT WEST BAY LLC,,,,BRIAN LOYNDS,ALR01515,Assisted Living Residence,Assisted Living Residence,Active,4/20/21,,12/31/21,2783 WEST SHORE ROAD,,,WARWICK,RI,2889,,,,165,,,,,
HIGHLANDS ON THE EAST SIDE,,,,PAUL ARAUJO,ALR01496,Assisted Living Residence,Assisted Living Residence,Active,1/1/17,,12/31/21,101 HIGHLAND AVENUE,,,PROVIDENCE,RI,2906,HIGHLANDS@HALLKEEN.COM,(401) 654-5259 ,(401) 654-5223 ,86,,,,,
JEANNE JUGAN RESIDENCE,,,,"ALICIA CURTIN, ADMINISTRATOR",ALR01346,Assisted Living Residence,Assisted Living Residence,Active,2/1/91,,12/31/21,964 MAIN STREET,,,PAWTUCKET,RI,2860,pwadministrator@littlesistersofthepoor.org,(401) 723-4314 ,(401) 723-4316 ,26,,,,,
LIGHTHOUSE AT LINCOLN,,,,LYNN DOMBROSKI,ALR01500,Assisted Living Residence,Assisted Living Residence,Active,10/24/18,,12/31/21,425 ALBION ROAD,,,LINCOLN,RI,2865,LDOMBROSKI@LIGHTHOUSELINCOLN.COM,(401) 333-4600 ,(401) 333-4655 ,68,,,,,
PACIFICA SENIOR LIVING VICTORIA COURT,,,,"RHODAPORN SMITH, ADMINISTRATOR",ALR01454,Assisted Living Residence,Assisted Living Residence,Active,11/7/08,,12/31/21,55 OAKLAWN AVENUE,,,CRANSTON,RI,2920,victoriacourted@pacificaseniorliving.com,(401) 946-5522 ,(401) 942-5582 ,65,,,,,
SAINT ELIZABETH COURT,,,,"MARGARET CONNELLY, ADM",ALR01425,Assisted Living Residence,Assisted Living Residence,Active,8/23/03,,12/31/21,109 MELROSE STREET,,,PROVIDENCE,RI,2907,mconnelly@stelizabethcommunity.org,(401) 490-4646 ,(401) 490-4537 ,72,,,,,
SCANDINAVIAN HOME INC,,,,"SUZANNE CESANA, ADMINISTRATOR",ALR01357,Assisted Living Residence,Assisted Living Residence,Active,11/24/92,,12/31/21,50 WARWICK AVENUE,,,CRANSTON,RI,2905,scesana@scandinaviancommunities.org,(401) 461-1444 ,(401) 941-2268 ,40,,,,,
SMITHFIELD WOODS,,,,"BRITTANY TREMBLAY, ADMINISTRATOR",ALR01502,Assisted Living Residence,Assisted Living Residence,Active,12/20/18,,12/31/21,171 PLEASANT VIEW AVENUE,,,SMITHFIELD,RI,2917,SWDS.ED@meridiansenior.com,(844) 988-4370 ,,140,,,,,
SPRING VILLA MEMORY CARE,,,,CRAIG PIANKA,ALR01487,Assisted Living Residence,Assisted Living Residence,Active,1/30/14,,12/31/21,59 PLEASANT ST,,,WEST WARWICK,RI,2893,SPRINGVILLA@YAHOO.COM,(401) 639-7556 ,(401) 615-2880 ,62,,,,,
ST CLARE - NEWPORT,,,,MARY BETH DAIGNEAULT,ALR01494,Assisted Living Residence,Assisted Living Residence,Active,12/15/16,,12/31/21,309 SPRING STREET,,,NEWPORT,RI,2840,MBDAIGNEAULT@STCLARENEWPORT.ORG,(401) 849-3204 ,(401) 849-5780 ,46,,,,,
ST GERMAIN MANOR,,,,DAVID RANKIN,ALR01484,Assisted Living Residence,Assisted Living Residence,Active,4/11/13,,12/31/21,429 EAST SCHOOL STREET,,,WOONSOCKET,RI,2895,admin@ecchomecare.com,(401) 597-5867 ,(401) 597-5835 ,54,,,,,
STILLWATER ASSISTED LIVING AND SKILLED NURSING COMMUNITY,,,,LOUIS GELLIS,ALR01509,Assisted Living Residence,Assisted Living Residence,Active,12/4/19,,12/31/21,20 AUSTIN AVENUE,,,GREENVILLE,RI,2828,INFORMATION@CORTLANDPLACE.COM,(401) 949-3880 ,(401) 949-4170 ,87,,,,,
SUMMER VILLA,,,,MICHELLE IZZARD,ALR01439,Assisted Living Residence,Assisted Living Residence,Active,7/28/05,,12/31/21,51 LAUREL AVENUE,,,COVENTRY,RI,2816,summervillaassistedliving@yahoo.com,(401) 828-8280 ,(401) 828-8283 ,62,,,,,
SUNRISE HOUSE,,,,"PAUL FITZGERALD, ADMINISTRATOR",ALR01428,Assisted Living Residence,Assisted Living Residence,Active,10/15/03,,12/31/21,106 EIGHTH STREET,,,PROVIDENCE,RI,2906,PAULF@aidscareos.org,(401) 751-1888 ,(401) 751-8229 ,10,,,,,
THE BRIDGE AT CHERRY HILL,,,,MARYANN GRACE ADM,ALR01378,Assisted Living Residence,Assisted Living Residence,Active,5/21/96,,12/31/21,ONE CHERRY HILL ROAD,,,JOHNSTON,RI,2919,MGRACE@CENTURYPA.COM,(401) 233-2880 ,(401) 233-2929 ,96,,,,,
THE PHYLLIS SIPERSTEIN TAMARISK ASSISTED LIVING RESIDENCE,,,,ROBERTA RAGGE,ALR01426,Assisted Living Residence,Assisted Living Residence,Active,9/17/03,,12/31/21,3 SHALOM DRIVE,,,WARWICK,RI,2886,robertas@tamariskri.org,(401) 732-0037 ,(401) 921-0602 ,81,,,,,
THE PRESERVE AT BRIARCLIFFE,,,,NISHA TALWAR,ALR01514,Assisted Living Residence,Assisted Living Residence,Active,4/21/21,,12/31/21,54 OLD POCASSET ROAD,,,JOHNSTON,RI,2919,,(401) 944-2450 ,(401) 944-2455 ,72,,,,,
THE SEASONS EAST GREENWICH,,,,"SUZANNE M. CESANA, ADMINISTRATOR",ALR01419,Assisted Living Residence,Assisted Living Residence,Active,12/1/02,,12/31/21,5 SAINT ELIZABETH WAY,,,EAST GREENWICH,RI,2818,scesana@scandinaviancommunities.org ,(401) 884-9099 ,(401) 884-7439 ,94,,,,,
TOCKWOTTON ON THE WATERFRONT,,,,MICHAELA MCKAY,ALR01482,Assisted Living Residence,Assisted Living Residence,Active,1/12/13,,12/31/21,500 WATERFRONT DRIVE,,,EAST PROVIDENCE,RI,2914,mmckay@tockwotton.org,(401) 272-5280 ,(401) 421-0550 ,117,,,,,
VILLA AT SAINT ANTOINE THE,,,,TAMMY SUMMIEL,ALR01407,Assisted Living Residence,Assisted Living Residence,Active,12/6/00,,12/31/21,400 MENDON ROAD,,,NORTH SMITHFIELD,RI,2896,TSUMMIEL@STANTOINE.NET,(401) 767-2574 ,(401) 767-2581 ,90,,,,,
VILLAGE AT WATERMAN LAKE-LP,,,,"OLIVER HARVEY, ADMINISTRATOR",ALR01347,Assisted Living Residence,Assisted Living Residence,Active,8/5/91,,12/31/21,715 PUTMAN PIKE,,,GREENVILLE,RI,2828,oharvey@villageretirement.com,(401) 949-1333 ,(401) 949-1493 ,178,,,,,
WILLOWS ASSISTED LIVING,,,,"PAULA (MONIZ) LAGE, ADMINISTRATOR",ALR01383,Assisted Living Residence,Assisted Living Residence,Active,3/19/98,,12/31/21,47 BARKER AVENUE,,,WARREN,RI,2885,Paula@gracebarkerhealth.com,(401) 245-2323 ,(401) 247-9030 ,32,,,,,
WINGATE RESIDENCES ON BLACKSTONE BOULEVARD,,,,MAUREEN BRINN,ALR01510,Assisted Living Residence,Assisted Living Residence,Active,2/6/20,,12/31/21,353 BLACKSTONE BOULEVARD,,,PROVIDENCE,RI,2906,RGONSALVES@WINGATESRC.COM,(401) 273-6565 ,(401) 273-6568 ,96,,,,,
WINGATE RESIDENCES ON THE EAST SIDE,,,,VINCENT MESSINA,ALR01513,Assisted Living Residence,Assisted Living Residence,Active,1/28/21,,12/31/21,ONE BUTLER AVENUE,,,PROVIDENCE,RI,2906,,(401) 275-0682 ,(401) 275-0691 ,101,,,,,
WINSLOW GARDENS,,,,SANDRA M CULLEN ADMINISTRATOR,ALR01372,Assisted Living Residence,Assisted Living Residence,Active,8/8/96,,12/31/21,40 IRVING AVENUE,,,EAST PROVIDENCE,RI,2914,SCULLEN@UMELDERCARERI.ORG,(401) 438-4456 ,(401) 431-9166 ,68,,,,,
WYNDEMERE WOODS,,,,LENORE HEANEY,ALR01389,Assisted Living Residence,Assisted Living Residence,Active,10/27/98,,12/31/21,1044 MENDON ROAD,,,WOONSOCKET,RI,2895,Lenore.Wyndemere@gmail.com,(401) 762-4226 ,(401) 766-5548 ,30,,,,,
