Facility Name,License Number,State Facility Type 1 Literal,Address,City,State,Zip,Email Address,Phone Number,Capacity
LIGHTHOUSE AT LINCOLN,ALR01500,Assisted Living Residence,425 ALBION ROAD,LINCOLN,RI,2865,LDOMBROSKI@LIGHTHOUSELINCOLN.COM,(401) 333-4600 ,68
PACIFICA SENIOR LIVING VICTORIA COURT,ALR01454,Assisted Living Residence,55 OAKLAWN AVENUE,CRANSTON,RI,2920,victoriacourted@pacificaseniorliving.com,(401) 946-5522 ,65
SAINT ELIZABETH COURT,ALR01425,Assisted Living Residence,109 MELROSE STREET,PROVIDENCE,RI,2907,mconnelly@stelizabethcommunity.org,(401) 490-4646 ,72
SCANDINAVIAN HOME INC,ALR01357,Assisted Living Residence,50 WARWICK AVENUE,CRANSTON,RI,2905,scesana@scandinaviancommunities.org,(401) 461-1444 ,40
SMITHFIELD WOODS,ALR01502,Assisted Living Residence,171 PLEASANT VIEW AVENUE,SMITHFIELD,RI,2917,SWDS.ED@meridiansenior.com,(844) 988-4370 ,140
SPRING VILLA MEMORY CARE,ALR01487,Assisted Living Residence,59 PLEASANT ST,WEST WARWICK,RI,2893,SPRINGVILLA@YAHOO.COM,(401) 639-7556 ,62
ST CLARE - NEWPORT,ALR01494,Assisted Living Residence,309 SPRING STREET,NEWPORT,RI,2840,MBDAIGNEAULT@STCLARENEWPORT.ORG,(401) 849-3204 ,46
ST GERMAIN MANOR,ALR01484,Assisted Living Residence,429 EAST SCHOOL STREET,WOONSOCKET,RI,2895,admin@ecchomecare.com,(401) 597-5867 ,54
STILLWATER ASSISTED LIVING AND SKILLED NURSING COMMUNITY,ALR01509,Assisted Living Residence,20 AUSTIN AVENUE,GREENVILLE,RI,2828,INFORMATION@CORTLANDPLACE.COM,(401) 949-3880 ,87
SUMMER VILLA,ALR01439,Assisted Living Residence,51 LAUREL AVENUE,COVENTRY,RI,2816,summervillaassistedliving@yahoo.com,(401) 828-8280 ,62
SUNRISE HOUSE,ALR01428,Assisted Living Residence,106 EIGHTH STREET,PROVIDENCE,RI,2906,PAULF@aidscareos.org,(401) 751-1888 ,10
THE BRIDGE AT CHERRY HILL,ALR01378,Assisted Living Residence,ONE CHERRY HILL ROAD,JOHNSTON,RI,2919,MGRACE@CENTURYPA.COM,(401) 233-2880 ,96
THE PHYLLIS SIPERSTEIN TAMARISK ASSISTED LIVING RESIDENCE,ALR01426,Assisted Living Residence,3 SHALOM DRIVE,WARWICK,RI,2886,robertas@tamariskri.org,(401) 732-0037 ,81
THE PRESERVE AT BRIARCLIFFE,ALR01514,Assisted Living Residence,54 OLD POCASSET ROAD,JOHNSTON,RI,2919,,(401) 944-2450 ,72
THE SEASONS EAST GREENWICH,ALR01419,Assisted Living Residence,5 SAINT ELIZABETH WAY,EAST GREENWICH,RI,2818,scesana@scandinaviancommunities.org ,(401) 884-9099 ,94
TOCKWOTTON ON THE WATERFRONT,ALR01482,Assisted Living Residence,500 WATERFRONT DRIVE,EAST PROVIDENCE,RI,2914,mmckay@tockwotton.org,(401) 272-5280 ,117
VILLA AT SAINT ANTOINE THE,ALR01407,Assisted Living Residence,400 MENDON ROAD,NORTH SMITHFIELD,RI,2896,TSUMMIEL@STANTOINE.NET,(401) 767-2574 ,90
VILLAGE AT WATERMAN LAKE-LP,ALR01347,Assisted Living Residence,715 PUTMAN PIKE,GREENVILLE,RI,2828,oharvey@villageretirement.com,(401) 949-1333 ,178
WILLOWS ASSISTED LIVING,ALR01383,Assisted Living Residence,47 BARKER AVENUE,WARREN,RI,2885,Paula@gracebarkerhealth.com,(401) 245-2323 ,32
WINGATE RESIDENCES ON BLACKSTONE BOULEVARD,ALR01510,Assisted Living Residence,353 BLACKSTONE BOULEVARD,PROVIDENCE,RI,2906,RGONSALVES@WINGATESRC.COM,(401) 273-6565 ,96
WINGATE RESIDENCES ON THE EAST SIDE,ALR01513,Assisted Living Residence,ONE BUTLER AVENUE,PROVIDENCE,RI,2906,,(401) 275-0682 ,101
WINSLOW GARDENS,ALR01372,Assisted Living Residence,40 IRVING AVENUE,EAST PROVIDENCE,RI,2914,SCULLEN@UMELDERCARERI.ORG,(401) 438-4456 ,68
WYNDEMERE WOODS,ALR01389,Assisted Living Residence,1044 MENDON ROAD,WOONSOCKET,RI,2895,Lenore.Wyndemere@gmail.com,(401) 762-4226 ,30
