Facility Name,License Number,State Facility Type 1 Literal,Address,City,State,Zip Code,Email Address,Phone Number,Capacity,Date Accessed
Brentwood By The Bay,ALR01498,ASSISTED LIVING RESIDENCE,4040 POST ROAD,Warwick,RI,2886,michael.mcmahon19@verizon.net,(401) 884-8022 ,74,6/30/21
Briarcliffe Gardens Llc,ALR01458,ASSISTED LIVING RESIDENCE,53 OLD POCASSET ROAD,Johnston,RI,2919,atalwar@briarcliffemanor.com,(401) 944-2450 ,68,6/30/21
Brightview Commons,ALR01489,ASSISTED LIVING RESIDENCE,57 GRANDE VILLE COURT,Wakefield,RI,2879,dlepore@bvsl.net,(401) 789-8777 ,88,6/30/21
Brookdale Centre Of New England,ALR01477,ASSISTED LIVING RESIDENCE,600 CENTRE OF NEW ENGLAND BLVD,Coventry,RI,2816,thomas.gaccione@brookdale.com,(401) 821-2445 ,160,6/30/21
Brookdale Sakonnet Bay,ALR01474,ASSISTED LIVING RESIDENCE,1215 MAIN ROAD,Tiverton,RI,2878,tsmith222@brookdale.com,(401) 624-1880 ,87,6/30/21
Brookdale South Bay,ALR01473,ASSISTED LIVING RESIDENCE,1959 KINGSTOWN ROAD,Wakefield,RI,2879,kdzikiewicz@brookdale.com,(401) 789-4880 ,80,6/30/21
Capitol Ridge At Providence,ALR01506,ASSISTED LIVING RESIDENCE,700 SMITH STREET,Providence,RI,2908,tdelaroca@benchmarkquality.com,(401) 521-0090 ,168,6/30/21
Carriage House At The Elms Inc The,ALR01408,ASSISTED LIVING RESIDENCE,29 CHESTNUT STREET,Westerly,RI,2891,elmsal@verizon.net,(401) 596-8010 ,25,6/30/21
Chapel Hill,ALR01501,ASSISTED LIVING RESIDENCE,10 OLD DIAMOND HILL ROAD,Cumberland,RI,2864,chpl.adm@meridiansenior.com,(844) 458-7373 ,150,6/30/21
Charlesgate Senior Living Center,ALR01499,ASSISTED LIVING RESIDENCE,670 NORTH MAIN STREET,Providence,RI,2904,lyabut@charlesgateapts.net,(401) 453-9317 ,60,6/30/21
Chestnut Cottage At The Elms Inc,ALR01459,ASSISTED LIVING RESIDENCE,25 CHESTNUT ST,Westerly,RI,2891,elmsal@verizon.net,(401) 596-4630 ,30,6/30/21
Colonial Manor Assisted Living,ALR01404,ASSISTED LIVING RESIDENCE,172 CENTRAL AVENUE,East Providence,RI,2914,cmanordot@cox.com,(401) 434-0107 ,15,6/30/21
Commonwealth House,ALR01493,ASSISTED LIVING RESIDENCE,655 COMMONWEALTH AVE,Warwick,RI,2886,mandi@commonwealthhouseri.com,(401) 368-1920 ,10,6/30/21
Darlington Assisted Living Center No 1,ALR01324,ASSISTED LIVING RESIDENCE,123 ARMISTICE BOULEVARD,Pawtucket,RI,2860,,(401) 725-2400 ,38,6/30/21
Darlington Assisted Living Center No 2,ALR01388,ASSISTED LIVING RESIDENCE,56 MAYNARD STREET,Pawtucket,RI,2860,,(401) 725-0700 ,20,6/30/21
Darlington Memory Lane,ALR01461,ASSISTED LIVING RESIDENCE,1073 & 1081 MINERAL SPRING AVE,North Providence,RI,2904,mbubis@darlingtonliving.com,(401) 475-1000 ,78,6/30/21
"Elms Retirement Residence Inc, The",ALR01306,ASSISTED LIVING RESIDENCE,22 ELM STREET,Westerly,RI,2891,elmsal@verizon.net,(401) 596-4630 ,64,6/30/21
Ethan Place,ALR01311,ASSISTED LIVING RESIDENCE,85 ETHAN STREET,Warwick,RI,2888,ad@ethanplaceri.com,(401) 781-5460 ,32,6/30/21
Evergreen Assisted Living,ALR01460,ASSISTED LIVING RESIDENCE,116 GREENE STREET,Woonsocket,RI,2895,ejones@communitycarealliance.org,(401) 765-1019 ,26,6/30/21
Forest Farm Assisted Living,ALR01308,ASSISTED LIVING RESIDENCE,191 FOREST AVENUE,Middletown,RI,2842,jmello@royalhealthgroup.com,(401) 849-1090 ,55,6/30/21
Four Seasons Assisted Living,ALR01497,ASSISTED LIVING RESIDENCE,1057 CHOPMIST HILL ROAD,North Scituate,RI,2857,dsoucie@usa.com,(401) 764-5092 ,27,6/30/21
Franciscan Missionaries Of Mary Assisted Living Residence,ALR01359,ASSISTED LIVING RESIDENCE,399 FRUIT HILL AVENUE,North Providence,RI,2911,alrfmm@aol.com,(401) 353-5800 ,39,6/30/21
Franklin Court Assisted Living,ALR01409,ASSISTED LIVING RESIDENCE,180 FRANKLIN STREET,Bristol,RI,2809,acabral@ebcdc.org,(401) 253-3679 ,107,6/30/21
Golden Years Assisted Living Community,ALR01479,ASSISTED LIVING RESIDENCE,118 HIGH STREET,Westerly,RI,2891,nicole@goldenyearsri.com,(401) 596-1333 ,26,6/30/21
Greenwich Farms At Warwick,ALR01508,ASSISTED LIVING RESIDENCE,75 MINNESOTA AVENUE,Warwick,RI,2888,lsilveira@benchmarkquality.com,(401) 737-7222 ,149,6/30/21
Halcyon At West Bay Llc,ALR01515,ASSISTED LIVING RESIDENCE,2783 WEST SHORE ROAD,Warwick,RI,2889,,,165,6/30/21
Highlands On The East Side,ALR01496,ASSISTED LIVING RESIDENCE,101 HIGHLAND AVENUE,Providence,RI,2906,highlands@hallkeen.com,(401) 654-5259 ,86,6/30/21
Jeanne Jugan Residence,ALR01346,ASSISTED LIVING RESIDENCE,964 MAIN STREET,Pawtucket,RI,2860,pwadministrator@littlesistersofthepoor.org,(401) 723-4314 ,26,6/30/21
Lighthouse At Lincoln,ALR01500,ASSISTED LIVING RESIDENCE,425 ALBION ROAD,Lincoln,RI,2865,ldombroski@lighthouselincoln.com,(401) 333-4600 ,68,6/30/21
Pacifica Senior Living Victoria Court,ALR01454,ASSISTED LIVING RESIDENCE,55 OAKLAWN AVENUE,Cranston,RI,2920,victoriacourted@pacificaseniorliving.com,(401) 946-5522 ,65,6/30/21
Saint Elizabeth Court,ALR01425,ASSISTED LIVING RESIDENCE,109 MELROSE STREET,Providence,RI,2907,mconnelly@stelizabethcommunity.org,(401) 490-4646 ,72,6/30/21
Scandinavian Home Inc,ALR01357,ASSISTED LIVING RESIDENCE,50 WARWICK AVENUE,Cranston,RI,2905,scesana@scandinaviancommunities.org,(401) 461-1444 ,40,6/30/21
Smithfield Woods,ALR01502,ASSISTED LIVING RESIDENCE,171 PLEASANT VIEW AVENUE,Smithfield,RI,2917,swds.ed@meridiansenior.com,(844) 988-4370 ,140,6/30/21
Spring Villa Memory Care,ALR01487,ASSISTED LIVING RESIDENCE,59 PLEASANT ST,West Warwick,RI,2893,springvilla@yahoo.com,(401) 639-7556 ,62,6/30/21
St Clare - Newport,ALR01494,ASSISTED LIVING RESIDENCE,309 SPRING STREET,Newport,RI,2840,mbdaigneault@stclarenewport.org,(401) 849-3204 ,46,6/30/21
St Germain Manor,ALR01484,ASSISTED LIVING RESIDENCE,429 EAST SCHOOL STREET,Woonsocket,RI,2895,admin@ecchomecare.com,(401) 597-5867 ,54,6/30/21
Stillwater Assisted Living And Skilled Nursing Community,ALR01509,ASSISTED LIVING RESIDENCE,20 AUSTIN AVENUE,Greenville,RI,2828,information@cortlandplace.com,(401) 949-3880 ,87,6/30/21
Summer Villa,ALR01439,ASSISTED LIVING RESIDENCE,51 LAUREL AVENUE,Coventry,RI,2816,summervillaassistedliving@yahoo.com,(401) 828-8280 ,62,6/30/21
Sunrise House,ALR01428,ASSISTED LIVING RESIDENCE,106 EIGHTH STREET,Providence,RI,2906,paulf@aidscareos.org,(401) 751-1888 ,10,6/30/21
The Bridge At Cherry Hill,ALR01378,ASSISTED LIVING RESIDENCE,ONE CHERRY HILL ROAD,Johnston,RI,2919,mgrace@centurypa.com,(401) 233-2880 ,96,6/30/21
The Phyllis Siperstein Tamarisk Assisted Living Residence,ALR01426,ASSISTED LIVING RESIDENCE,3 SHALOM DRIVE,Warwick,RI,2886,robertas@tamariskri.org,(401) 732-0037 ,81,6/30/21
The Preserve At Briarcliffe,ALR01514,ASSISTED LIVING RESIDENCE,54 OLD POCASSET ROAD,Johnston,RI,2919,,(401) 944-2450 ,72,6/30/21
The Seasons East Greenwich,ALR01419,ASSISTED LIVING RESIDENCE,5 SAINT ELIZABETH WAY,East Greenwich,RI,2818,scesana@scandinaviancommunities.org ,(401) 884-9099 ,94,6/30/21
Tockwotton On The Waterfront,ALR01482,ASSISTED LIVING RESIDENCE,500 WATERFRONT DRIVE,East Providence,RI,2914,mmckay@tockwotton.org,(401) 272-5280 ,117,6/30/21
Villa At Saint Antoine The,ALR01407,ASSISTED LIVING RESIDENCE,400 MENDON ROAD,North Smithfield,RI,2896,tsummiel@stantoine.net,(401) 767-2574 ,90,6/30/21
Village At Waterman Lake-Lp,ALR01347,ASSISTED LIVING RESIDENCE,715 PUTMAN PIKE,Greenville,RI,2828,oharvey@villageretirement.com,(401) 949-1333 ,178,6/30/21
Willows Assisted Living,ALR01383,ASSISTED LIVING RESIDENCE,47 BARKER AVENUE,Warren,RI,2885,paula@gracebarkerhealth.com,(401) 245-2323 ,32,6/30/21
Wingate Residences On Blackstone Boulevard,ALR01510,ASSISTED LIVING RESIDENCE,353 BLACKSTONE BOULEVARD,Providence,RI,2906,rgonsalves@wingatesrc.com,(401) 273-6565 ,96,6/30/21
Wingate Residences On The East Side,ALR01513,ASSISTED LIVING RESIDENCE,ONE BUTLER AVENUE,Providence,RI,2906,,(401) 275-0682 ,101,6/30/21
Winslow Gardens,ALR01372,ASSISTED LIVING RESIDENCE,40 IRVING AVENUE,East Providence,RI,2914,scullen@umeldercareri.org,(401) 438-4456 ,68,6/30/21
Wyndemere Woods,ALR01389,ASSISTED LIVING RESIDENCE,1044 MENDON ROAD,Woonsocket,RI,2895,lenore.wyndemere@gmail.com,(401) 762-4226 ,30,6/30/21
