Facility Name,License Number,State Facility Type 2 Literal,Status,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity
14 GLENRIDGE DRIVE,PND2186,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,14 GLENRIDGE DR,AUGUSTA,ME,04330-6606,KENNEBEC,+1 (207) 626-5793,ASSISTED HOUSING,8
14 RIDGE DRIVE,RCC39128,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,14 RIDGE DR,WINDHAM,ME,04062-5411,CUMBERLAND,+1 (207) 536-4937,ASSISTED HOUSING,3
146 RIDEOUT AVE,RCC39240,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,146 RIDEOUT AVE,LEWISTON,ME,04240-3458,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,3
15 BILLABONG WAY,RCC1592,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 BILLABONG WAY,WINDHAM,ME,04062-3358,CUMBERLAND,+1 (207) 893-2460,ASSISTED HOUSING,3
15 LEAVITT GROUP HOME,RCA39182,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,15 LEAVITT LN,GLENBURN,ME,04401-1013,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
15 OAK LANE,RCA39106,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,15 OAK LN,WINDHAM,ME,04062-5510,CUMBERLAND,+1 (207) 893-8121,ASSISTED HOUSING,2
16 CALDWELL PNMI,RCC38866,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 CALDWELL RD,AUGUSTA,ME,04330-5735,KENNEBEC,+1 (207) 873-2136,ASSISTED HOUSING,6
16 E GROUP HOME,RCA39256,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,16 E ST,BANGOR,ME,04401-2549,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
16 LEWIS AVENUE,RCC39035,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 LEWIS AVE,RANDOLPH,ME,04346-5327,KENNEBEC,+1 (207) 588-7598,ASSISTED HOUSING,5
16 PLEASANT HILL DRIVE,RCC1548,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 PLEASANT HILL DR,WATERVILLE,ME,04901-4105,KENNEBEC,+1 (207) 582-8021,ASSISTED HOUSING,4
16 ROCKY HILL DRIVE,RCC38869,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 ROCKY HILL DR,BRUNSWICK,ME,04011-7145,CUMBERLAND,+1 (207) 504-5811,ASSISTED HOUSING,4
166 FALMOUTH STREET,RCA39358,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,166 FALMOUTH ST,WESTBROOK,ME,,,+1 (207) 939-1009,ASSISTED HOUSING,2
1661 MAIN STREET,PNC1980,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1661 MAIN ST,LEWISTON,ME,04240-2616,ANDROSCOGGIN,+1 (207) 786-2572,ASSISTED HOUSING,5
1665 MAIN STREET,PNC1979,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1665 MAIN ST,LEWISTON,ME,04240-2616,ANDROSCOGGIN,+1 (207) 786-3344,ASSISTED HOUSING,5
167 MAYO ROAD,RCA39209,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,167 MAYO RD,HAMPDEN,ME,04444-1325,PENOBSCOT,+1 (207) 862-2643,ASSISTED HOUSING,2
168 SACO AVENUE,RCA39380,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,168 SACO AVE,OLD ORCHARD BEACH,ME,04064-1672,YORK,+1 (207) 878-3221,ASSISTED HOUSING,2
17 A GROUP HOME,RCA39141,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,17 A ST,BANGOR,ME,04401-2516,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
17 CHAMPLAIN AVE,RCC39238,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,17 CHAMPLAIN AVE,LEWISTON,ME,04240-5218,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,3
17 E GROUP HOME,RCA39257,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,17 E ST,BANGOR,ME,04401-2557,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
17 WEYMOUTH ST,RCA39267,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,17 WEYMOUTH ST,SACO,ME,04072-2840,YORK,+1 (207) 878-3221,ASSISTED HOUSING,2
1704 ROUTE 202,RCC38708,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1704 US ROUTE 202,WINTHROP,ME,04364-1571,KENNEBEC,+1 (207) 395-5511,ASSISTED HOUSING,5
18 DEERING ROAD,RCC1523,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,18 DEERING RD,GORHAM,ME,04038-1921,CUMBERLAND,+1 (207) 828-0048,ASSISTED HOUSING,3
18 VENTURA ST,RCC39241,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,18 VENTURA ST,LEWISTON,ME,04240-4638,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,3
181 COOK,RCA39234,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,181 COOK ST,AUBURN,ME,04210-5377,ANDROSCOGGIN,+1 (207) 241-8023,ASSISTED HOUSING,2
19 JUDSON GROUP HOME,RCA39258,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,19 JUDSON BLVD,BANGOR,ME,04401-2515,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
20 COTTAGE STREET,RCC2058,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,20 COTTAGE ST,BANGOR,ME,04401-3728,PENOBSCOT,+1 (207) 951-6015,ASSISTED HOUSING,3
200 STATE STREET,RCA39273,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,22 WHOOPIE PIE WAY,GORHAM,ME,04038-1179,CUMBERLAND,+1 (207) 878-3221,ASSISTED HOUSING,2
205 EAST AVE,RCB39221,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,205 EAST AVE,LEWISTON,ME,04240-5516,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,3
21 A GROUP HOME,RCA39142,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,21 A ST,BANGOR,ME,04401-2516,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
21 B GROUP HOME,RCA39259,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,21 B ST,BANGOR,ME,04401-2522,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
22 GREEN STREET,PNC1928,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,22 GREEN ST STE 1,AUGUSTA,ME,04330-7473,KENNEBEC,+1 (207) 624-0500,ASSISTED HOUSING,5
222 NORTHERN AVE.,RCC2158,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,222 NORTHERN AVE,FARMINGDALE,ME,04344-4635,KENNEBEC,+1 (207) 588-6617,ASSISTED HOUSING,5
24 B ROCKY ROAD,PNC38994,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,24B ROCKY RD,HEBRON,ME,04238-3584,OXFORD,+1 (207) 783-3446,ASSISTED HOUSING,3
240 CENTRAL - SUPPORT SOLUTIONS,RCA39244,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,240 CENTRAL AVE,LEWISTON,ME,04240-4724,ANDROSCOGGIN,+1 (207) 784-2757,ASSISTED HOUSING,2
240 GRAY ROAD,RCA39006,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,240 GRAY RD,FALMOUTH,ME,04105-2563,CUMBERLAND,+1 (207) 747-4115,ASSISTED HOUSING,2
247 DINGLEY SPRINGS,RCC2365,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,247 DINGLEY SPRING RD,GORHAM,ME,04038-2169,CUMBERLAND,+1 (207) 828-0048,ASSISTED HOUSING,5
249 LIBBY AVENUE,RCC1639,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,249 LIBBY AVE,GORHAM,ME,04038-2617,CUMBERLAND,+1 (207) 839-6085,ASSISTED HOUSING,4
265 GRIFFIN GROUP HOME,RCC39089,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,265 GRIFFIN RD,BANGOR,ME,04401-2812,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,3
28 PUTNAM DRIVE,RCC1535,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,28 PUTNAM DR,FARMINGDALE,ME,04344-2818,KENNEBEC,+1 (207) 582-8021,ASSISTED HOUSING,4
286 HIGHLAND AVENUE,RCC2154,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,286 HIGHLAND AVE,GARDINER,ME,04345-6005,KENNEBEC,+1 (207) 582-8021,ASSISTED HOUSING,5
28-A OLD MILL,RCA39077,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,28A OLD MILL RD,SANFORD,ME,04073-4208,YORK,+1 (207) 520-1512,ASSISTED HOUSING,2
28-B OLD MILL,RCA39078,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,28B OLD MILL RD,SANFORD,ME,04073-4208,YORK,+1 (207) 520-1512,ASSISTED HOUSING,2
29 A GROUP HOME,RCA39143,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,29 A ST,BANGOR,ME,04401-2516,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
3 GARNETT AVE,RCA39236,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,3 GARNETT AVE,LEWISTON,ME,04240-6617,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,2
30 ROSEDALE ST,RCA39232,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,30 ROSEDALE ST,LEWISTON,ME,04240-6134,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,1
306 PINE STREET GROUP HOME,PNC1600,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,306 PINE ST,LEWISTON,ME,04240-6309,ANDROSCOGGIN,+1 (207) 783-4658,ASSISTED HOUSING,5
31 REDWOOD LANE,RCA39007,LEVEL I RESIDENTIAL CARE FACILITY,FAILED TO RENEW,31 REDWOOD LN,SANFORD,ME,04073-5270,YORK,+1 (207) 850-4058,ASSISTED HOUSING,2
33 MT. PLEASANT A,RCA39270,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,33 MOUNT PLEASANT ST,BIDDEFORD,ME,04005-2111,YORK,+1 (207) 878-3224,ASSISTED HOUSING,2
33 PINEWOOD DRIVE,RCC39127,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,33 PINEWOOD DR,CUMBERLAND,ME,04021-4045,CUMBERLAND,+1 (207) 536-4937,ASSISTED HOUSING,3
330 ALFRED A PLOURDE PARKWAY,RCA39405,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,"330 ALFRED A PLOURDE PKWY, GRANITE BAY CARE INC",LEWISTON,ME,04240-1033,ANDROSCOGGIN,+1 (207) 878-3221,ASSISTED HOUSING,2
345 PLEASANT,RCC39222,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,345 PLEASANT ST,LEWISTON,ME,04240-4534,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,3
35 ORANGE ST,RCC39220,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,35 ORANGE ST,LEWISTON,ME,04240-5529,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,3
374 KENNEBEC ROAD,RCA39190,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,374 KENNEBEC RD,HAMPDEN,ME,04444-2014,PENOBSCOT,+1 (207) 862-2643,ASSISTED HOUSING,2
39 DOW ROAD,RCC39129,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,39 DOW RD,GORHAM,ME,04038-2003,CUMBERLAND,+1 (207) 222-0784,ASSISTED HOUSING,3
397 LAKE ST,RCC39223,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,397 LAKE ST,AUBURN,ME,04210-8548,ANDROSCOGGIN,+1 (207) 241-8023,ASSISTED HOUSING,3
41 UNIVERSITY STREET,RCA39374,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,41 UNIVERSITY ST,PRESQUE ISLE,ME,04769-2821,AROOSTOOK,+1 (207) 540-1416,ASSISTED HOUSING,2
410 MEADOW ROAD,RCA39203,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,274 WESTERN AVE,HAMPDEN,ME,04444-1004,PENOBSCOT,+1 (207) 862-2643,ASSISTED HOUSING,2
42 CHARLES ST,RCC39217,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,42 CHARLES ST,LEWISTON,ME,04240-4818,ANDROSCOGGIN,+1 (207) 689-3138,ASSISTED HOUSING,3
42 GLENWOOD,RCA39122,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,42 GLENWOOD AVE,SACO,ME,04072-2943,YORK,+1 (207) 571-8021,ASSISTED HOUSING,2
42 MAGGIE LANE,RCA38922,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,42 MAGGIE LN,PORTLAND,ME,04103-6502,CUMBERLAND,+1 (207) 828-0048 x155,ASSISTED HOUSING,2
43 MAST ROAD,RCC39126,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,43 MAST RD,WESTBROOK,ME,04092-2516,CUMBERLAND,+1 (207) 536-4937,ASSISTED HOUSING,3
433 SOUTH STREET,RCC39125,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,433 SOUTH ST,GORHAM,ME,04038-1942,CUMBERLAND,+1 (207) 536-4937,ASSISTED HOUSING,3
44 GLENWOOD,RCA39121,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,44 GLENWOOD AVE,SACO,ME,04072-2943,YORK,+1 (207) 571-8021,ASSISTED HOUSING,2
44 MAGGIE LANE,RCA38923,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,44 MAGGIE LN,PORTLAND,ME,04103-6502,CUMBERLAND,+1 (207) 828-0048 x155,ASSISTED HOUSING,2
445 KENNEBEC ROAD,RCA39205,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,445 KENNEBEC RD,HAMPDEN,ME,04444-2011,PENOBSCOT,+1 (207) 862-2643,ASSISTED HOUSING,2
45 ESSEX STREET,RCC1676,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,45 ESSEX ST,SANFORD,ME,04073-3229,YORK,+1 (207) 324-2426,ASSISTED HOUSING,3
46 GLENWOOD,RCA39260,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,46 GLENWOOD AVE,SACO,ME,04072-2943,YORK,+1 (207) 283-0883,ASSISTED HOUSING,2
47 SUMMER STREET,RCC2100,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,47 SUMMER ST,GARDINER,ME,04345-1902,KENNEBEC,+1 (207) 588-6394,ASSISTED HOUSING,4
470 ROOSEVELT TRAIL,RCA39113,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,470 ROOSEVELT TRL,WINDHAM,ME,04062-6931,CUMBERLAND,+1 (207) 572-1032,ASSISTED HOUSING,2
5 COLBY LANE,RCA2379,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,5 COLBY LN,KENNEBUNK,ME,04043-6116,YORK,+1 (207) 985-0916,ASSISTED HOUSING,2
5 NELSEN ROAD,RCB39135,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,5 NELSON RD,WESTBROOK,ME,04092-3793,CUMBERLAND,+1 (207) 939-1009,ASSISTED HOUSING,3
5 RIVERSIDE,RCA39233,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,5 RIVERSIDE PL,LEWISTON,ME,04240-6244,ANDROSCOGGIN,+1 (207) 241-0476,ASSISTED HOUSING,1
5 VINE STREET,ALP38774,ASSISTED LIVING PROGRAM,ACTIVE,5 VINE ST,BIDDEFORD,ME,04005-3415,YORK,+1 (207) 571-3387,ASSISTED HOUSING,9
50 MAYO ROAD,RCA39194,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,50 MAYO RD,HAMPDEN,ME,04444-1321,PENOBSCOT,+1 (207) 862-2643,ASSISTED HOUSING,2
53 LONGFELLOW ROAD,RCA38926,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,53 LONGFELLOW RD,GORHAM,ME,04038-1883,CUMBERLAND,+1 (207) 828-0048 x155,ASSISTED HOUSING,2
53 MAPLE LANE,RCA39295,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,53 MAPLE LANE,MILFORD,ME,4461,,+1 (207) 817-0237,ASSISTED HOUSING,2
54 UNIVERSITY WAIVER HOME,RCB39214,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,54 UNIVERSITY ST,PRESQUE ISLE,ME,04769-2898,AROOSTOOK,+1 (207) 764-0134,ASSISTED HOUSING,3
55 PALM STREET,RCC1575,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,55 PALM ST,BANGOR,ME,04401-5403,PENOBSCOT,+1 (207) 307-7540,ASSISTED HOUSING,4
55 WINSTON WAY,RCA38967,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,55 WINSTON WAY,NEW GLOUCESTER,ME,04260-4246,CUMBERLAND,+1 (207) 320-2122,ASSISTED HOUSING,2
56 ELM STREET ASSISTED LIVING,RCD39153,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,56 ELM ST,TOPSHAM,ME,04086-1417,SAGADAHOC,+1 (207) 725-1134,ASSISTED HOUSING,8
57 WINSTON WAY,RCA38968,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,57 WINSTON WAY,NEW GLOUCESTER,ME,04260-4246,CUMBERLAND,+1 (207) 320-2122,ASSISTED HOUSING,2
57 WINTHROP STREET,PND38730,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,57 WINTHROP ST,AUGUSTA,ME,04330-5502,KENNEBEC,+1 (207) 624-0557,ASSISTED HOUSING,8
58 HIGHLAND AVENUE,RCC1695,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,58 HIGHLAND AVE,SCARBOROUGH,ME,04074-7104,CUMBERLAND,+1 (207) 883-5126,ASSISTED HOUSING,4
6 ROOSEVELT,RCD2183,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,6 ROOSEVELT AVE,BREWER,ME,04412-2510,PENOBSCOT,+1 (207) 460-9303,ASSISTED HOUSING,8
65 DIRIGO GROUP HOME,RCA39088,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,65 DIRIGO DR,BANGOR,ME,04401-2355,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
653 MAIN STREET,RCC39022,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,653 MAIN ST,SPRINGVALE,ME,04083-1727,YORK,+1 (207) 490-4930,ASSISTED HOUSING,3
655-A MAIN STREET,RCA39075,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,655 A MAIN STREET,SANFORD,ME,,,+1 (207) 324-5042,ASSISTED HOUSING,2
655-C MAIN STREET,RCA39076,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,655 C MAIN STREET,SANFORD,ME,,,+1 (207) 490-2435,ASSISTED HOUSING,2
66 WINTHROP STREET PROGRAM,PND38632,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,66 WINTHROP ST,AUGUSTA,ME,04330-5506,KENNEBEC,+1 (207) 626-3466,ASSISTED HOUSING,8
7 A GROUP HOME,RCA39139,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,7 A ST,BANGOR,ME,04401-2505,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
7 RIVERVIEW STREET,RCC2107,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,7 RIVERVIEW ST,SANFORD,ME,04073-2844,YORK,+1 (207) 490-3889,ASSISTED HOUSING,4
725 RIVER ROAD,RCA39100,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,725 RIVER RD,WINDHAM,ME,04062-4750,CUMBERLAND,+1 (207) 893-8808,ASSISTED HOUSING,2
73 BAILEY AVENUE,RCC2084,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,73 BAILEY AVE,LEWISTON,ME,04240-3304,ANDROSCOGGIN,+1 (207) 689-3424,ASSISTED HOUSING,4
75 FERN STREET,RCA39404,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,"75 FERN ST, GRANITE BAY CARE INC",AUBURN,ME,04210-4418,ANDROSCOGGIN,+1 (207) 878-3221,ASSISTED HOUSING,2
