Facility Name,License Number,State Facility Type 2 Literal,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity,Date Accessed
112 Birch Hill Group Home,RCA39183,LEVEL I RESIDENTIAL CARE FACILITY,112 BIRCH HILL EST,Bangor,ME,04401-2558,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,1,7/12/21
113 Center Street,ALP38775,ASSISTED LIVING PROGRAM,113 CENTER ST,Bangor,ME,04401-5072,Penobscot,+1 (207) 907-7898,ASSISTED HOUSING,5,7/12/21
115 Center Street,ALP38776,ASSISTED LIVING PROGRAM,115 CENTER ST,Bangor,ME,04401-5073,Penobscot,+1 (207) 907-7898,ASSISTED HOUSING,3,7/12/21
116 Summer St,RCC39239,LEVEL III RESIDENTIAL CARE FACILITY,116 SUMMER ST,Lewiston,ME,04240-7529,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,3,7/12/21
12 A Riverview Street,RCC2313,LEVEL III RESIDENTIAL CARE FACILITY,12A RIVERVIEW ST,Sanford,ME,04073-2812,York,+1 (207) 324-8755,ASSISTED HOUSING,3,7/12/21
12 Cleaves,RCA39237,LEVEL I RESIDENTIAL CARE FACILITY,12 CLEAVES ST,Auburn,ME,04210-4218,Androscoggin,+1 (207) 241-8023,ASSISTED HOUSING,2,7/12/21
12 Katana Drive,RCA39379,LEVEL I RESIDENTIAL CARE FACILITY,12 KATANA DR,South Portland,ME,04106-5528,Cumberland,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
12 Primrose,RCA39286,LEVEL I RESIDENTIAL CARE FACILITY,12 PRIMROSE LN,Gorham,ME,04038-1139,Cumberland,+1 (207) 222-0605,ASSISTED HOUSING,2,7/12/21
129 Foss Street,RCB39124,LEVEL II RESIDENTIAL CARE FACILITY,129 FOSS ST,Biddeford,ME,04005-3516,York,+1 (207) 939-1009,ASSISTED HOUSING,3,7/12/21
13 A Group Home,RCA39140,LEVEL I RESIDENTIAL CARE FACILITY,13 A ST,Bangor,ME,04401-2516,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
13 D Group Home,RCA39184,LEVEL I RESIDENTIAL CARE FACILITY,13 D ST,Bangor,ME,04401-2539,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,1,7/12/21
13 Lawn Ave,RCA39277,LEVEL I RESIDENTIAL CARE FACILITY,13 LAWN AVE,Gorham,ME,04038-1118,Cumberland,+1 (207) 222-0068,ASSISTED HOUSING,2,7/12/21
130 Douglas Street,RCA39131,LEVEL I RESIDENTIAL CARE FACILITY,130 DOUGLASS ST,Portland,ME,04102-2584,Cumberland,+1 (207) 855-0416,ASSISTED HOUSING,2,7/12/21
1324 Hotel Road,RCA39030,LEVEL I RESIDENTIAL CARE FACILITY,1324 HOTEL RD,Auburn,ME,04210-4025,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,2,7/12/21
133 Bolling Group Home,RCC39091,LEVEL III RESIDENTIAL CARE FACILITY,133 BOLLING DR,Bangor,ME,04401-2808,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,3,7/12/21
134 South Ave,RCC39224,LEVEL III RESIDENTIAL CARE FACILITY,134 SOUTH AVE,Lewiston,ME,04240-5759,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,3,7/12/21
135 Bolling Group Home,RCC39092,LEVEL III RESIDENTIAL CARE FACILITY,135 BOLLING DR,Bangor,ME,04401-2808,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,3,7/12/21
1375 Hotel Rd,RCC39226,LEVEL III RESIDENTIAL CARE FACILITY,1375 HOTEL RD,Auburn,ME,04210-4082,Androscoggin,+1 (207) 241-8023,ASSISTED HOUSING,3,7/12/21
14 E Group Home,RCA39181,LEVEL I RESIDENTIAL CARE FACILITY,14 E ST,Bangor,ME,04401-2549,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
14 Glenridge Drive,PND2186,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,14 GLENRIDGE DR,Augusta,ME,04330-6606,Kennebec,+1 (207) 626-5793,ASSISTED HOUSING,8,7/12/21
14 Ridge Drive,RCC39128,LEVEL III RESIDENTIAL CARE FACILITY,14 RIDGE DR,Windham,ME,04062-5411,Cumberland,+1 (207) 536-4937,ASSISTED HOUSING,3,7/12/21
146 Rideout Ave,RCC39240,LEVEL III RESIDENTIAL CARE FACILITY,146 RIDEOUT AVE,Lewiston,ME,04240-3458,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,3,7/12/21
15 Billabong Way,RCC1592,LEVEL III RESIDENTIAL CARE FACILITY,15 BILLABONG WAY,Windham,ME,04062-3358,Cumberland,+1 (207) 893-2460,ASSISTED HOUSING,3,7/12/21
15 Leavitt Group Home,RCA39182,LEVEL I RESIDENTIAL CARE FACILITY,15 LEAVITT LN,Glenburn,ME,04401-1013,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
15 Oak Lane,RCA39106,LEVEL I RESIDENTIAL CARE FACILITY,15 OAK LN,Windham,ME,04062-5510,Cumberland,+1 (207) 893-8121,ASSISTED HOUSING,2,7/12/21
16 Caldwell Pnmi,RCC38866,LEVEL III RESIDENTIAL CARE FACILITY,16 CALDWELL RD,Augusta,ME,04330-5735,Kennebec,+1 (207) 873-2136,ASSISTED HOUSING,6,7/12/21
16 E Group Home,RCA39256,LEVEL I RESIDENTIAL CARE FACILITY,16 E ST,Bangor,ME,04401-2549,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
16 Lewis Avenue,RCC39035,LEVEL III RESIDENTIAL CARE FACILITY,16 LEWIS AVE,Randolph,ME,04346-5327,Kennebec,+1 (207) 588-7598,ASSISTED HOUSING,5,7/12/21
16 Pleasant Hill Drive,RCC1548,LEVEL III RESIDENTIAL CARE FACILITY,16 PLEASANT HILL DR,Waterville,ME,04901-4105,Kennebec,+1 (207) 582-8021,ASSISTED HOUSING,4,7/12/21
16 Rocky Hill Drive,RCC38869,LEVEL III RESIDENTIAL CARE FACILITY,16 ROCKY HILL DR,Brunswick,ME,04011-7145,Cumberland,+1 (207) 504-5811,ASSISTED HOUSING,4,7/12/21
166 Falmouth Street,RCA39358,LEVEL I RESIDENTIAL CARE FACILITY,166 FALMOUTH ST,Westbrook,ME,,,+1 (207) 939-1009,ASSISTED HOUSING,2,7/12/21
1661 Main Street,PNC1980,PNMI LEVEL III RESIDENTIAL CARE FACILITY,1661 MAIN ST,Lewiston,ME,04240-2616,Androscoggin,+1 (207) 786-2572,ASSISTED HOUSING,5,7/12/21
1665 Main Street,PNC1979,PNMI LEVEL III RESIDENTIAL CARE FACILITY,1665 MAIN ST,Lewiston,ME,04240-2616,Androscoggin,+1 (207) 786-3344,ASSISTED HOUSING,5,7/12/21
167 Mayo Road,RCA39209,LEVEL I RESIDENTIAL CARE FACILITY,167 MAYO RD,Hampden,ME,04444-1325,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
168 Saco Avenue,RCA39380,LEVEL I RESIDENTIAL CARE FACILITY,168 SACO AVE,Old Orchard Beach,ME,04064-1672,York,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
17 A Group Home,RCA39141,LEVEL I RESIDENTIAL CARE FACILITY,17 A ST,Bangor,ME,04401-2516,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
17 Champlain Ave,RCC39238,LEVEL III RESIDENTIAL CARE FACILITY,17 CHAMPLAIN AVE,Lewiston,ME,04240-5218,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,3,7/12/21
17 E Group Home,RCA39257,LEVEL I RESIDENTIAL CARE FACILITY,17 E ST,Bangor,ME,04401-2557,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
17 Weymouth St,RCA39267,LEVEL I RESIDENTIAL CARE FACILITY,17 WEYMOUTH ST,Saco,ME,04072-2840,York,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
1704 Route 202,RCC38708,LEVEL III RESIDENTIAL CARE FACILITY,1704 US ROUTE 202,Winthrop,ME,04364-1571,Kennebec,+1 (207) 395-5511,ASSISTED HOUSING,5,7/12/21
18 Deering Road,RCC1523,LEVEL III RESIDENTIAL CARE FACILITY,18 DEERING RD,Gorham,ME,04038-1921,Cumberland,+1 (207) 828-0048,ASSISTED HOUSING,3,7/12/21
18 Ventura St,RCC39241,LEVEL III RESIDENTIAL CARE FACILITY,18 VENTURA ST,Lewiston,ME,04240-4638,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,3,7/12/21
181 Cook,RCA39234,LEVEL I RESIDENTIAL CARE FACILITY,181 COOK ST,Auburn,ME,04210-5377,Androscoggin,+1 (207) 241-8023,ASSISTED HOUSING,2,7/12/21
19 Judson Group Home,RCA39258,LEVEL I RESIDENTIAL CARE FACILITY,19 JUDSON BLVD,Bangor,ME,04401-2515,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
20 Cottage Street,RCC2058,LEVEL III RESIDENTIAL CARE FACILITY,20 COTTAGE ST,Bangor,ME,04401-3728,Penobscot,+1 (207) 951-6015,ASSISTED HOUSING,3,7/12/21
200 State Street,RCA39273,LEVEL I RESIDENTIAL CARE FACILITY,22 WHOOPIE PIE WAY,Gorham,ME,04038-1179,Cumberland,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
205 East Ave,RCB39221,LEVEL II RESIDENTIAL CARE FACILITY,205 EAST AVE,Lewiston,ME,04240-5516,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,3,7/12/21
21 A Group Home,RCA39142,LEVEL I RESIDENTIAL CARE FACILITY,21 A ST,Bangor,ME,04401-2516,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
21 B Group Home,RCA39259,LEVEL I RESIDENTIAL CARE FACILITY,21 B ST,Bangor,ME,04401-2522,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
22 Green Street,PNC1928,PNMI LEVEL III RESIDENTIAL CARE FACILITY,22 GREEN ST STE 1,Augusta,ME,04330-7473,Kennebec,+1 (207) 624-0500,ASSISTED HOUSING,5,7/12/21
222 Northern Ave.,RCC2158,LEVEL III RESIDENTIAL CARE FACILITY,222 NORTHERN AVE,Farmingdale,ME,04344-4635,Kennebec,+1 (207) 588-6617,ASSISTED HOUSING,5,7/12/21
24 B Rocky Road,PNC38994,PNMI LEVEL III RESIDENTIAL CARE FACILITY,24B ROCKY RD,Hebron,ME,04238-3584,Oxford,+1 (207) 783-3446,ASSISTED HOUSING,3,7/12/21
240 Central - Support Solutions,RCA39244,LEVEL I RESIDENTIAL CARE FACILITY,240 CENTRAL AVE,Lewiston,ME,04240-4724,Androscoggin,+1 (207) 784-2757,ASSISTED HOUSING,2,7/12/21
240 Gray Road,RCA39006,LEVEL I RESIDENTIAL CARE FACILITY,240 GRAY RD,Falmouth,ME,04105-2563,Cumberland,+1 (207) 747-4115,ASSISTED HOUSING,2,7/12/21
247 Dingley Springs,RCC2365,LEVEL III RESIDENTIAL CARE FACILITY,247 DINGLEY SPRING RD,Gorham,ME,04038-2169,Cumberland,+1 (207) 828-0048,ASSISTED HOUSING,5,7/12/21
249 Libby Avenue,RCC1639,LEVEL III RESIDENTIAL CARE FACILITY,249 LIBBY AVE,Gorham,ME,04038-2617,Cumberland,+1 (207) 839-6085,ASSISTED HOUSING,4,7/12/21
265 Griffin Group Home,RCC39089,LEVEL III RESIDENTIAL CARE FACILITY,265 GRIFFIN RD,Bangor,ME,04401-2812,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,3,7/12/21
28 Putnam Drive,RCC1535,LEVEL III RESIDENTIAL CARE FACILITY,28 PUTNAM DR,Farmingdale,ME,04344-2818,Kennebec,+1 (207) 582-8021,ASSISTED HOUSING,4,7/12/21
286 Highland Avenue,RCC2154,LEVEL III RESIDENTIAL CARE FACILITY,286 HIGHLAND AVE,Gardiner,ME,04345-6005,Kennebec,+1 (207) 582-8021,ASSISTED HOUSING,5,7/12/21
28-A Old Mill,RCA39077,LEVEL I RESIDENTIAL CARE FACILITY,28A OLD MILL RD,Sanford,ME,04073-4208,York,+1 (207) 520-1512,ASSISTED HOUSING,2,7/12/21
28-B Old Mill,RCA39078,LEVEL I RESIDENTIAL CARE FACILITY,28B OLD MILL RD,Sanford,ME,04073-4208,York,+1 (207) 520-1512,ASSISTED HOUSING,2,7/12/21
29 A Group Home,RCA39143,LEVEL I RESIDENTIAL CARE FACILITY,29 A ST,Bangor,ME,04401-2516,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
3 Garnett Ave,RCA39236,LEVEL I RESIDENTIAL CARE FACILITY,3 GARNETT AVE,Lewiston,ME,04240-6617,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,2,7/12/21
30 Rosedale St,RCA39232,LEVEL I RESIDENTIAL CARE FACILITY,30 ROSEDALE ST,Lewiston,ME,04240-6134,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,1,7/12/21
306 Pine Street Group Home,PNC1600,PNMI LEVEL III RESIDENTIAL CARE FACILITY,306 PINE ST,Lewiston,ME,04240-6309,Androscoggin,+1 (207) 783-4658,ASSISTED HOUSING,5,7/12/21
33 Mt. Pleasant A,RCA39270,LEVEL I RESIDENTIAL CARE FACILITY,33 MOUNT PLEASANT ST,Biddeford,ME,04005-2111,York,+1 (207) 878-3224,ASSISTED HOUSING,2,7/12/21
33 Pinewood Drive,RCC39127,LEVEL III RESIDENTIAL CARE FACILITY,33 PINEWOOD DR,Cumberland,ME,04021-4045,Cumberland,+1 (207) 536-4937,ASSISTED HOUSING,3,7/12/21
330 Alfred A Plourde Parkway,RCA39405,LEVEL I RESIDENTIAL CARE FACILITY,"330 ALFRED A PLOURDE PKWY, GRANITE BAY CARE INC",Lewiston,ME,04240-1033,Androscoggin,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
345 Pleasant,RCC39222,LEVEL III RESIDENTIAL CARE FACILITY,345 PLEASANT ST,Lewiston,ME,04240-4534,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,3,7/12/21
35 Orange St,RCC39220,LEVEL III RESIDENTIAL CARE FACILITY,35 ORANGE ST,Lewiston,ME,04240-5529,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,3,7/12/21
374 Kennebec Road,RCA39190,LEVEL I RESIDENTIAL CARE FACILITY,374 KENNEBEC RD,Hampden,ME,04444-2014,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
39 Dow Road,RCC39129,LEVEL III RESIDENTIAL CARE FACILITY,39 DOW RD,Gorham,ME,04038-2003,Cumberland,+1 (207) 222-0784,ASSISTED HOUSING,3,7/12/21
397 Lake St,RCC39223,LEVEL III RESIDENTIAL CARE FACILITY,397 LAKE ST,Auburn,ME,04210-8548,Androscoggin,+1 (207) 241-8023,ASSISTED HOUSING,3,7/12/21
41 University Street,RCA39374,LEVEL I RESIDENTIAL CARE FACILITY,41 UNIVERSITY ST,Presque Isle,ME,04769-2821,Aroostook,+1 (207) 540-1416,ASSISTED HOUSING,2,7/12/21
410 Meadow Road,RCA39203,LEVEL I RESIDENTIAL CARE FACILITY,274 WESTERN AVE,Hampden,ME,04444-1004,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
42 Charles St,RCC39217,LEVEL III RESIDENTIAL CARE FACILITY,42 CHARLES ST,Lewiston,ME,04240-4818,Androscoggin,+1 (207) 689-3138,ASSISTED HOUSING,3,7/12/21
42 Glenwood,RCA39122,LEVEL I RESIDENTIAL CARE FACILITY,42 GLENWOOD AVE,Saco,ME,04072-2943,York,+1 (207) 571-8021,ASSISTED HOUSING,2,7/12/21
42 Maggie Lane,RCA38922,LEVEL I RESIDENTIAL CARE FACILITY,42 MAGGIE LN,Portland,ME,04103-6502,Cumberland,+1 (207) 828-0048 x155,ASSISTED HOUSING,2,7/12/21
43 Mast Road,RCC39126,LEVEL III RESIDENTIAL CARE FACILITY,43 MAST RD,Westbrook,ME,04092-2516,Cumberland,+1 (207) 536-4937,ASSISTED HOUSING,3,7/12/21
433 South Street,RCC39125,LEVEL III RESIDENTIAL CARE FACILITY,433 SOUTH ST,Gorham,ME,04038-1942,Cumberland,+1 (207) 536-4937,ASSISTED HOUSING,3,7/12/21
44 Glenwood,RCA39121,LEVEL I RESIDENTIAL CARE FACILITY,44 GLENWOOD AVE,Saco,ME,04072-2943,York,+1 (207) 571-8021,ASSISTED HOUSING,2,7/12/21
44 Maggie Lane,RCA38923,LEVEL I RESIDENTIAL CARE FACILITY,44 MAGGIE LN,Portland,ME,04103-6502,Cumberland,+1 (207) 828-0048 x155,ASSISTED HOUSING,2,7/12/21
445 Kennebec Road,RCA39205,LEVEL I RESIDENTIAL CARE FACILITY,445 KENNEBEC RD,Hampden,ME,04444-2011,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
45 Essex Street,RCC1676,LEVEL III RESIDENTIAL CARE FACILITY,45 ESSEX ST,Sanford,ME,04073-3229,York,+1 (207) 324-2426,ASSISTED HOUSING,3,7/12/21
46 Glenwood,RCA39260,LEVEL I RESIDENTIAL CARE FACILITY,46 GLENWOOD AVE,Saco,ME,04072-2943,York,+1 (207) 283-0883,ASSISTED HOUSING,2,7/12/21
47 Summer Street,RCC2100,LEVEL III RESIDENTIAL CARE FACILITY,47 SUMMER ST,Gardiner,ME,04345-1902,Kennebec,+1 (207) 588-6394,ASSISTED HOUSING,4,7/12/21
470 Roosevelt Trail,RCA39113,LEVEL I RESIDENTIAL CARE FACILITY,470 ROOSEVELT TRL,Windham,ME,04062-6931,Cumberland,+1 (207) 572-1032,ASSISTED HOUSING,2,7/12/21
5 Colby Lane,RCA2379,LEVEL I RESIDENTIAL CARE FACILITY,5 COLBY LN,Kennebunk,ME,04043-6116,York,+1 (207) 985-0916,ASSISTED HOUSING,2,7/12/21
5 Nelsen Road,RCB39135,LEVEL II RESIDENTIAL CARE FACILITY,5 NELSON RD,Westbrook,ME,04092-3793,Cumberland,+1 (207) 939-1009,ASSISTED HOUSING,3,7/12/21
5 Riverside,RCA39233,LEVEL I RESIDENTIAL CARE FACILITY,5 RIVERSIDE PL,Lewiston,ME,04240-6244,Androscoggin,+1 (207) 241-0476,ASSISTED HOUSING,1,7/12/21
5 Vine Street,ALP38774,ASSISTED LIVING PROGRAM,5 VINE ST,Biddeford,ME,04005-3415,York,+1 (207) 571-3387,ASSISTED HOUSING,9,7/12/21
50 Mayo Road,RCA39194,LEVEL I RESIDENTIAL CARE FACILITY,50 MAYO RD,Hampden,ME,04444-1321,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
53 Longfellow Road,RCA38926,LEVEL I RESIDENTIAL CARE FACILITY,53 LONGFELLOW RD,Gorham,ME,04038-1883,Cumberland,+1 (207) 828-0048 x155,ASSISTED HOUSING,2,7/12/21
53 Maple Lane,RCA39295,LEVEL I RESIDENTIAL CARE FACILITY,53 MAPLE LANE,Milford,ME,4461,,+1 (207) 817-0237,ASSISTED HOUSING,2,7/12/21
54 University Waiver Home,RCB39214,LEVEL II RESIDENTIAL CARE FACILITY,54 UNIVERSITY ST,Presque Isle,ME,04769-2898,Aroostook,+1 (207) 764-0134,ASSISTED HOUSING,3,7/12/21
55 Palm Street,RCC1575,LEVEL III RESIDENTIAL CARE FACILITY,55 PALM ST,Bangor,ME,04401-5403,Penobscot,+1 (207) 307-7540,ASSISTED HOUSING,4,7/12/21
55 Winston Way,RCA38967,LEVEL I RESIDENTIAL CARE FACILITY,55 WINSTON WAY,New Gloucester,ME,04260-4246,Cumberland,+1 (207) 320-2122,ASSISTED HOUSING,2,7/12/21
56 Elm Street Assisted Living,RCD39153,LEVEL IV RESIDENTIAL CARE FACILITY,56 ELM ST,Topsham,ME,04086-1417,Sagadahoc,+1 (207) 725-1134,ASSISTED HOUSING,8,7/12/21
57 Winston Way,RCA38968,LEVEL I RESIDENTIAL CARE FACILITY,57 WINSTON WAY,New Gloucester,ME,04260-4246,Cumberland,+1 (207) 320-2122,ASSISTED HOUSING,2,7/12/21
57 Winthrop Street,PND38730,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,57 WINTHROP ST,Augusta,ME,04330-5502,Kennebec,+1 (207) 624-0557,ASSISTED HOUSING,8,7/12/21
58 Highland Avenue,RCC1695,LEVEL III RESIDENTIAL CARE FACILITY,58 HIGHLAND AVE,Scarborough,ME,04074-7104,Cumberland,+1 (207) 883-5126,ASSISTED HOUSING,4,7/12/21
6 Roosevelt,RCD2183,LEVEL IV RESIDENTIAL CARE FACILITY,6 ROOSEVELT AVE,Brewer,ME,04412-2510,Penobscot,+1 (207) 460-9303,ASSISTED HOUSING,8,7/12/21
65 Dirigo Group Home,RCA39088,LEVEL I RESIDENTIAL CARE FACILITY,65 DIRIGO DR,Bangor,ME,04401-2355,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
653 Main Street,RCC39022,LEVEL III RESIDENTIAL CARE FACILITY,653 MAIN ST,Springvale,ME,04083-1727,York,+1 (207) 490-4930,ASSISTED HOUSING,3,7/12/21
655-A Main Street,RCA39075,LEVEL I RESIDENTIAL CARE FACILITY,655 A MAIN STREET,Sanford,ME,,,+1 (207) 324-5042,ASSISTED HOUSING,2,7/12/21
655-C Main Street,RCA39076,LEVEL I RESIDENTIAL CARE FACILITY,655 C MAIN STREET,Sanford,ME,,,+1 (207) 490-2435,ASSISTED HOUSING,2,7/12/21
66 Winthrop Street Program,PND38632,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,66 WINTHROP ST,Augusta,ME,04330-5506,Kennebec,+1 (207) 626-3466,ASSISTED HOUSING,8,7/12/21
7 A Group Home,RCA39139,LEVEL I RESIDENTIAL CARE FACILITY,7 A ST,Bangor,ME,04401-2505,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
7 Riverview Street,RCC2107,LEVEL III RESIDENTIAL CARE FACILITY,7 RIVERVIEW ST,Sanford,ME,04073-2844,York,+1 (207) 490-3889,ASSISTED HOUSING,4,7/12/21
725 River Road,RCA39100,LEVEL I RESIDENTIAL CARE FACILITY,725 RIVER RD,Windham,ME,04062-4750,Cumberland,+1 (207) 893-8808,ASSISTED HOUSING,2,7/12/21
73 Bailey Avenue,RCC2084,LEVEL III RESIDENTIAL CARE FACILITY,73 BAILEY AVE,Lewiston,ME,04240-3304,Androscoggin,+1 (207) 689-3424,ASSISTED HOUSING,4,7/12/21
75 Fern Street,RCA39404,LEVEL I RESIDENTIAL CARE FACILITY,"75 FERN ST, GRANITE BAY CARE INC",Auburn,ME,04210-4418,Androscoggin,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
776 Main Street,RCA39294,LEVEL I RESIDENTIAL CARE FACILITY,776 MAIN ST APT 2,Old Town,ME,04468-2030,Penobscot,+1 (207) 817-0659,ASSISTED HOUSING,2,7/12/21
79 Carrier Court,RCC2136,LEVEL III RESIDENTIAL CARE FACILITY,79 CARRIER CT,Auburn,ME,04210-8216,Androscoggin,+1 (207) 376-4845,ASSISTED HOUSING,4,7/12/21
8 Blanchette Street,RCC2083,LEVEL III RESIDENTIAL CARE FACILITY,8 BLANCHETTE ST,Lewiston,ME,04240-4730,Androscoggin,+1 (207) 689-3224,ASSISTED HOUSING,4,7/12/21
823 Congress Street,RCA38927,LEVEL I RESIDENTIAL CARE FACILITY,823 CONGRESS ST APT 3,Portland,ME,04102-3140,Cumberland,+1 (207) 828-0048 x155,ASSISTED HOUSING,2,7/12/21
85 Dirigo Group Home,RCA39090,LEVEL I RESIDENTIAL CARE FACILITY,85 DIRIGO DR,Bangor,ME,04401-2355,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,2,7/12/21
89 West Pleasant Street,RCB39123,LEVEL II RESIDENTIAL CARE FACILITY,89 W PLEASANT ST,Westbrook,ME,04092-2745,Cumberland,+1 (207) 939-1009,ASSISTED HOUSING,3,7/12/21
93 Ridley Road,RCC2366,LEVEL III RESIDENTIAL CARE FACILITY,93 RIDLEY RD,Sanford,ME,04073-6215,York,+1 (207) 850-1049,ASSISTED HOUSING,3,7/12/21
97 Googin,RCA39219,LEVEL I RESIDENTIAL CARE FACILITY,97 GOOGIN ST,Lewiston,ME,04240-5313,Androscoggin,+1 (207) 333-5156,ASSISTED HOUSING,2,7/12/21
Abbot House,RCC38829,LEVEL III RESIDENTIAL CARE FACILITY,76 WEST RD,Abbot,ME,04406-3022,Piscataquis,+1 (207) 876-3703,ASSISTED HOUSING,6,7/12/21
Achievement House,RCC16,LEVEL III RESIDENTIAL CARE FACILITY,54 BARROWS DR,Topsham,ME,04086-1324,Sagadahoc,+1 (207) 844-8491,ASSISTED HOUSING,4,7/12/21
Adams Street,ALP39061,ASSISTED LIVING PROGRAM,65 ADAMS ST,Biddeford,ME,04005-2581,York,+1 (207) 282-4029,ASSISTED HOUSING,6,7/12/21
Addison House,RCC17,LEVEL III RESIDENTIAL CARE FACILITY,2 RIVERVIEW LANE,Addison,ME,4606,Washington,+1 (207) 483-4341,ASSISTED HOUSING,4,7/12/21
