Sort Name,Mailing Name,License Number,Profession,Status,Address Line 1,Address Line 2,Address Line 3,Address Line 4,City,State,Zip,County FIPS,County,Country,Phone,Fax,Address Directions,Mailing Care Of,Mailing Address Line 1,Mailing Address Line 2,Mailing Address Line 3,Mailing Address Line 4,Mailing City,Mailing State,Mailing Zip,Mailing County FIPS,Mailing County,Mailing Country,Mailing Address Directions,NAIC Code,Expiration Date,Responsible Individual,RI License Number,Authorities,Department,Agency,Board,EmailAddress,CE Required By Date,Bed Count,Primary Administrator
111 PROSPECT AVE,111 PROSPECT AVE,RCA39235,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,111 PROSPECT AVE,,,,LEWISTON,ME,04240-8718,23001,ANDROSCOGGIN,,+1 (207) 241-2810,+1 (207) 241-7280,,,,,,,,,,,,,,,5/20/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,AMANDA KAROMBA
112 BIRCH HILL GROUP HOME,112 BIRCH HILL GROUP HOME,RCA39183,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,112 BIRCH HILL EST,,,,BANGOR,ME,04401-2558,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,3/22/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,1,DEBRA D TAYLOR
113 CENTER STREET,113 CENTER STREET,ALP38775,ASSISTED LIVING PROGRAM,ACTIVE,113 CENTER ST,,,,BANGOR,ME,04401-5072,23019,PENOBSCOT,,+1 (207) 907-7898,+1 (207) 373-1160,,,,,,,,,,,,,,,12/13/21,,,Type I - Medication,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,MARIA CAMERON
115 CENTER STREET,115 CENTER STREET,ALP38776,ASSISTED LIVING PROGRAM,ACTIVE,115 CENTER ST,,,,BANGOR,ME,04401-5073,23019,PENOBSCOT,,+1 (207) 907-7898,+1 (207) 373-1160,,,,,,,,,,,,,,,12/13/21,,,Type I - Medication,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,MARIA CAMERON
116 SUMMER ST,116 SUMMER ST,RCC39239,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,116 SUMMER ST,,,,LEWISTON,ME,04240-7529,23001,ANDROSCOGGIN,,+1 (207) 241-2810,+1 (207) 241-7280,,,,,,,,,,,,,,,6/10/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,AMANDA KAROMBA
12 A RIVERVIEW STREET,12 A RIVERVIEW STREET,RCC2313,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,12A RIVERVIEW ST,,,,SANFORD,ME,04073-2812,23031,YORK,,+1 (207) 324-8755,+1 (855) 244-8243,,,,,,,,,,,,,,,2/11/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,KIMBERLY A. PELLERIN
12 CLEAVES,12 CLEAVES,RCA39237,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,12 CLEAVES ST,,,,AUBURN,ME,04210-4218,23001,ANDROSCOGGIN,,+1 (207) 241-8023,+1 (207) 241-7280,,,,,,,,,,,,,,,5/19/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,AMANDA KAROMBA
12 KATANA DRIVE,12 KATANA DRIVE,RCA39379,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,12 KATANA DR,,,,SOUTH PORTLAND,ME,04106-5528,23005,CUMBERLAND,,+1 (207) 878-3221,+1 (207) 878-3019,,,,,,,,,,,,,,,7/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,ELMUTAZ ABDELRAHIM
12 PRIMROSE,12 PRIMROSE,RCA39286,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,12 PRIMROSE LN,,,,GORHAM,ME,04038-1139,23005,CUMBERLAND,,+1 (207) 222-0605,+1 (207) 888-9187,,,,,,,,,,,,,,,7/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,ALEXIS SEMUHOZA
129 FOSS STREET,129 FOSS STREET,RCB39124,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,129 FOSS ST,,,,BIDDEFORD,ME,04005-3516,23031,YORK,,+1 (207) 939-1009,+1 (844) 912-8589,,,,,,,,,,,,,,,12/21/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,MARK OKENY
13 A GROUP HOME,13 A GROUP HOME,RCA39140,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,13 A ST,,,,BANGOR,ME,04401-2516,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,1/11/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DEBRA D TAYLOR
13 D GROUP HOME,13 D GROUP HOME,RCA39184,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,13 D ST,,,,BANGOR,ME,04401-2539,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,3/31/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,1,DEBRA D TAYLOR
13 LAWN AVE,13 LAWN AVE,RCA39277,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,13 LAWN AVE,,,,GORHAM,ME,04038-1118,23005,CUMBERLAND,,+1 (207) 222-0068,+1 (207) 888-9187,,,,,,,,,,,,,,,7/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,ALEXIS SEMUHOZA
130 DOUGLAS STREET,130 DOUGLAS STREET,RCA39131,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,130 DOUGLASS ST,,,,PORTLAND,ME,04102-2584,23005,CUMBERLAND,,+1 (207) 855-0416,+1 (207) 835-0182,,,,,,,,,,,,,,,2/9/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,JOSEPH BUTOYI
1324 HOTEL ROAD,1324 HOTEL ROAD,RCA39030,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1324 HOTEL RD,,,,AUBURN,ME,04210-4025,23001,ANDROSCOGGIN,,+1 (207) 782-2726,+1 (844) 884-6944,,,,,,,,,,,,,,,8/24/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DAVID R WILBUR
133 BOLLING GROUP HOME,133 BOLLING GROUP HOME,RCC39091,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,133 BOLLING DR,,,,BANGOR,ME,04401-2808,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,10/29/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,DEBRA D TAYLOR
134 SOUTH AVE,134 SOUTH AVE,RCC39224,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,134 SOUTH AVE,,,,LEWISTON,ME,04240-5759,23001,ANDROSCOGGIN,,+1 (207) 241-2810,+1 (207) 241-7280,,,,,,,,,,,,,,,5/31/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,AMANDA KAROMBA
135 BOLLING GROUP HOME,135 BOLLING GROUP HOME,RCC39092,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,135 BOLLING DR,,,,BANGOR,ME,04401-2808,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,10/29/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,DEBRA D TAYLOR
1375 HOTEL RD,1375 HOTEL RD,RCC39226,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1375 HOTEL RD,,,,AUBURN,ME,04210-4082,23001,ANDROSCOGGIN,,+1 (207) 241-8023,+1 (207) 241-7280,,,,,,,,,,,,,,,6/2/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,AMANDA KAROMBA
14 E GROUP HOME,14 E GROUP HOME,RCA39181,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,14 E ST,,,,BANGOR,ME,04401-2549,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,3/31/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DEBRA D TAYLOR
14 GLENRIDGE DRIVE,14 GLENRIDGE DRIVE,PND2186,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,14 GLENRIDGE DR,,,,AUGUSTA,ME,04330-6606,23011,KENNEBEC,,+1 (207) 626-5793,+1 (207) 626-5754,,,,,,,,,,,,,,,9/3/21,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,8,SANDRA WIDERYNSKI
14 RIDGE DRIVE,14 RIDGE DRIVE,RCC39128,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,14 RIDGE DR,,,,WINDHAM,ME,04062-5411,23005,CUMBERLAND,,+1 (207) 536-4937,+1 (207) 489-9040,,,,,,,,,,,,,,,2/9/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,JOSEPH BUTOYI
146 RIDEOUT AVE,146 RIDEOUT AVE,RCC39240,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,146 RIDEOUT AVE,,,,LEWISTON,ME,04240-3458,23001,ANDROSCOGGIN,,+1 (207) 241-2810,+1 (207) 241-3712,,,,,,,,,,,,,,,6/24/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,AMANDA KAROMBA
15 BILLABONG WAY,15 BILLABONG WAY,RCC1592,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 BILLABONG WAY,,,,WINDHAM,ME,04062-3358,23005,CUMBERLAND,,+1 (207) 893-2460,+1 (207) 772-3743,,,,,,,,,,,,,,,2/13/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,TAMMY L. PIKE
15 LEAVITT GROUP HOME,15 LEAVITT GROUP HOME,RCA39182,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,15 LEAVITT LN,,,,GLENBURN,ME,04401-1013,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,3/15/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DEBRA D TAYLOR
15 OAK LANE,15 OAK LANE,RCA39106,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,15 OAK LN,,,,WINDHAM,ME,04062-5510,23005,CUMBERLAND,,+1 (207) 893-8121,,,,,,,,,,,,,,,,10/22/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,ASSUAMANI RASHINDI
16 CALDWELL PNMI,16 CALDWELL PNMI,RCC38866,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 CALDWELL RD,,,,AUGUSTA,ME,04330-5735,23011,KENNEBEC,,+1 (207) 873-2136,+1 (207) 872-4522,,,,,,,,,,,,,,,2/4/23,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,BRANDI FARRINGTON
16 E GROUP HOME,16 E GROUP HOME,RCA39256,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,16 E ST,,,,BANGOR,ME,04401-2549,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,6/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DEBRA D TAYLOR
16 LEWIS AVENUE,16 LEWIS AVENUE,RCC39035,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 LEWIS AVE,,,,RANDOLPH,ME,04346-5327,23011,KENNEBEC,,+1 (207) 588-7598,+1 (207) 588-7757,,,,,,,,,,,,,,,9/17/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,JESSICA L. HAMMOND
16 PLEASANT HILL DRIVE,16 PLEASANT HILL DRIVE,RCC1548,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 PLEASANT HILL DR,,,,WATERVILLE,ME,04901-4105,23011,KENNEBEC,,+1 (207) 582-8021,+1 (207) 582-2457,,,,,,,,,,,,,,,5/29/23,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,4,BARBARA L. WOOD
16 ROCKY HILL DRIVE,16 ROCKY HILL DRIVE,RCC38869,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 ROCKY HILL DR,,,,BRUNSWICK,ME,04011-7145,23005,CUMBERLAND,,+1 (207) 504-5811,+1 (207) 725-1416,,,,,,,,,,,,,,,3/26/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,4,AMY L DAVIS
166 FALMOUTH STREET,166 FALMOUTH STREET,RCA39358,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,166 FALMOUTH ST,,,,WESTBROOK,ME,,,,,+1 (207) 939-1009,+1 (207) 912-8589,,,,,,,,,,,,,,,6/20/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,MARK OKENY
1661 MAIN STREET,1661 MAIN STREET,PNC1980,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1661 MAIN ST,,,,LEWISTON,ME,04240-2616,23001,ANDROSCOGGIN,,+1 (207) 786-2572,+1 (207) 786-2577,,,,,,,,,,,,,,,4/2/23,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,SALLY K. WOTHERSPOON
1665 MAIN STREET,1665 MAIN STREET,PNC1979,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1665 MAIN ST,,,,LEWISTON,ME,04240-2616,23001,ANDROSCOGGIN,,+1 (207) 786-3344,+1 (207) 786-2577,,,,,,,,,,,,,,,4/2/23,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,SALLY K. WOTHERSPOON
167 MAYO ROAD,167 MAYO ROAD,RCA39209,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,167 MAYO RD,,,,HAMPDEN,ME,04444-1325,23019,PENOBSCOT,,+1 (207) 862-2643,+1 (207) 862-2709,,,,,,,,,,,,,,,3/28/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,KAREN LEE
168 SACO AVENUE,168 SACO AVENUE,RCA39380,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,168 SACO AVE,,,,OLD ORCHARD BEACH,ME,04064-1672,23031,YORK,,+1 (207) 878-3221,+1 (207) 878-3019,,,,,,,,,,,,,,,7/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,ELMUTAZ ABDELRAHIM
17 A GROUP HOME,17 A GROUP HOME,RCA39141,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,17 A ST,,,,BANGOR,ME,04401-2516,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,1/11/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DEBRA D TAYLOR
17 CHAMPLAIN AVE,17 CHAMPLAIN AVE,RCC39238,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,17 CHAMPLAIN AVE,,,,LEWISTON,ME,04240-5218,23001,ANDROSCOGGIN,,+1 (207) 241-2810,+1 (207) 241-7280,,,,,,,,,,,,,,,6/24/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,AMANDA KAROMBA
17 E GROUP HOME,17 E GROUP HOME,RCA39257,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,17 E ST,,,,BANGOR,ME,04401-2557,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,5/25/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DEBRA D TAYLOR
17 WEYMOUTH ST,17 WEYMOUTH ST,RCA39267,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,17 WEYMOUTH ST,,,,SACO,ME,04072-2840,23031,YORK,,+1 (207) 878-3221,+1 (207) 878-3019,,,,,,,,,,,,,,,4/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,MELISSA TUCKER
1704 ROUTE 202,1704 ROUTE 202,RCC38708,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1704 US ROUTE 202,,,,WINTHROP,ME,04364-1571,23011,KENNEBEC,,+1 (207) 395-5511,+1 (207) 395-5513,,,,,,,,,,,,,,,9/28/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,THERESA M. BUCK
18 DEERING ROAD,18 DEERING ROAD,RCC1523,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,18 DEERING RD,,,,GORHAM,ME,04038-1921,23005,CUMBERLAND,,+1 (207) 828-0048,+1 (207) 772-3743,,,,,,,,,,,,,,,5/3/23,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,TAMMY L. PIKE
18 VENTURA ST,18 VENTURA ST,RCC39241,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,18 VENTURA ST,,,,LEWISTON,ME,04240-4638,23001,ANDROSCOGGIN,,+1 (207) 241-2810,+1 (207) 241-7280,,,,,,,,,,,,,,,6/24/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,AMANDA KAROMBA
181 COOK,181 COOK,RCA39234,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,181 COOK ST,,,,AUBURN,ME,04210-5377,23001,ANDROSCOGGIN,,+1 (207) 241-8023,+1 (207) 241-7280,,,,,,,,,,,,,,,5/19/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,AMANDA KAROMBA
19 JUDSON GROUP HOME,19 JUDSON GROUP HOME,RCA39258,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,19 JUDSON BLVD,,,,BANGOR,ME,04401-2515,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,6/2/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DEBRA D TAYLOR
20 COTTAGE STREET,20 COTTAGE STREET,RCC2058,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,20 COTTAGE ST,,,,BANGOR,ME,04401-3728,23019,PENOBSCOT,,+1 (207) 951-6015,+1 (207) 992-4144,,,,,,,,,,,,,,,10/1/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,WILLIAM W. SEWALL
200 STATE STREET,200 STATE STREET,RCA39273,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,22 WHOOPIE PIE WAY,,,,GORHAM,ME,04038-1179,23005,CUMBERLAND,,+1 (207) 878-3221,+1 (207) 878-3019,,,,,,,,,,,,,,,6/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,ELMUTAZ ABDELRAHIM
205 EAST AVE,205 EAST AVE,RCB39221,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,205 EAST AVE,,,,LEWISTON,ME,04240-5516,23001,ANDROSCOGGIN,,+1 (207) 241-2810,+1 (207) 241-7280,,,,,,,,,,,,,,,5/25/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,AMANDA KAROMBA
21 A GROUP HOME,21 A GROUP HOME,RCA39142,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,21 A ST,,,,BANGOR,ME,04401-2516,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,1/11/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DEBRA D TAYLOR
21 B GROUP HOME,21 B GROUP HOME,RCA39259,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,21 B ST,,,,BANGOR,ME,04401-2522,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,5/25/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,DEBRA D TAYLOR
22 GREEN STREET,22 GREEN STREET,PNC1928,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,22 GREEN ST STE 1,,,,AUGUSTA,ME,04330-7473,23011,KENNEBEC,,+1 (207) 624-0500,+1 (207) 626-3469,,,,,,,,,,,,,,,2/6/23,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,SAMANTHA J. STANCIL
