Facility Name,Phone Number,Address,City,State,Zip Code,City,License Number,County,Capacity
Park Place Assisted Living,(605) 692-5351,405 1st Avenue,Brookings,SD,57006,Brookings,41209,Brookings,32
Edgewood Greenleaf Sisseton LLC,(605) 698-3500,308 Hillview Rd,Sisseton,SD,57262,Sisseton,41332,Roberts,31
Good Samaritan Society - Four Seasons ALC,(605) 874-2159,913 Colonel Pete St,Clear Lake,SD,57226,Clear Lake,41393,Deuel,16
Primrose Retirement Community of Rapid City,(605) 342-6699,224 E Minnesota St,Rapid City,SD,57701,Rapid City,41662,Pennington,48
Parkview Assisted Living,(605) 628-2155,410 S Broadway St,Bryant,SD,57221,Bryant,41812,Hamlin,14
Elder Inn,(605) 842-0390,956 E 7th St,Winner,SD,57580,Winner,41884,Tripp,45
"Edgewood Prairie Crossings Mitchell, LLC",(605) 996-2730,2201 N Wisconsin,Mitchell,SD,57301,Mitchell,41916,Davison,37
Leisure Living,(605) 528-7406,305 W 5th,Hartford,SD,57033,Hartford,41964,Minnehaha,16
StoneyBrook Suites,(605) 352-0014,420 21st St SW,Huron,SD,57350,Huron,41965,Beadle,40
StoneyBrook Suites,(605) 882-0013,500 16th Ave NE,Watertown,SD,57201,Watertown,41966,Codington,60
Primrose Place,(605) 226-1515,1801 3rd Ave SE,Aberdeen,SD,57401,Aberdeen,41967,Brown,28
"Silver Threads, Inc.",(605) 835-9717,210 E 12th St,Gregory,SD,57533,Gregory,41968,Gregory,32
Nano Nagle Village,(605) 622-5850,1020 N Jay St,Aberdeen,SD,57401,Aberdeen,41969,Brown,45
Orchard Hills,(605) 312-4290,200 W 10th St,Dell Rapids,SD,57022,Dell Rapids,41970,Minnehaha,32
Country View Assisted Living Center,(605) 758-2050,1004 6th St,Florence,SD,57235,Florence,41971,Codington,16
Avera Brady Assisted Living,(605) 996-7702,1414 W Cedar Ave,Mitchell,SD,57301,Mitchell,41972,Davison,25
Marion Assisted Living Center,(605) 648-3611,310 E State St,Marion,SD,57043-2011,Marion,41974,Turner,16
Golden Ridge Senior Living,(605) 719-6380,200 Montana Avenue,Lead,SD,57754,Lead,41975,Lawrence,28
Leisure Living,(605) 425-2858,600 S Hill St,Salem,SD,57058,Salem,42874,Mccook,16
Heritage Senior Living,(605) 256-1525,211 NW 1st St,Madison,SD,57042,Madison,45936,Lake,26
Edgewood Greenleaf Flandreau LLC,(605) 997-2775,800 S Wind St,Flandreau,SD,57028,Flandreau,46723,Moody,30
Avera Prince of Peace Retirement Community-Oakwood,(605) 322-5600,4504 Prince of Peace Place,Sioux Falls,SD,57103,Sioux Falls,46761,Minnehaha,36
Angelhaus,(605) 725-7777,1717 E Melgaard Rd,Aberdeen,SD,57401-7646,Aberdeen,46859,Brown,16
Good Samaritan Society - Echo Ridge,(605) 718-1800,931 Fox Run Drive,Rapid City,SD,57701,Rapid City,46860,Pennington,34
Whispering Winds Assisted Living,(605) 772-5885,700 S Main St,Howard,SD,57349,Howard,46902,Miner,23
"Walnut Village, Inc.",(605) 664-4220,613 Walnut St,Yankton,SD,57078-3534,Yankton,46903,Yankton,16
Regency Retirement Living,(605) 734-0404,220 W Beebe,Chamberlain,SD,57325,Chamberlain,46905,Brule,36
Angelhaus West,(605) 665-7255,2903 Douglas Ave,Yankton,SD,57078,Yankton,46906,Yankton,28
TLC Assisted Living Home,(605) 775-6316,713 County Rd,Burke,SD,57523,Burke,46982,Gregory,16
Majestic Bluffs,(605) 655-1600,2109 W 11th St,Yankton,SD,57078,Yankton,46983,Yankton,45
Good Samaritan Society - Howard ALC,(605) 772-4481,300 W Hazel,Howard,SD,57349,Howard,47070,Miner,9
Morningstar Assisted Living,(605) 348-2596,4120 Winﬁeld Street,Rapid City,SD,57701,Rapid City,47202,Pennington,17
Good Samaritan Society - Miller ALC,(605) 853-2701,421 E 4th St,Miller,SD,57362,Miller,47462,Hand,8
Leisure Living,(605) 946-5229,310 N Dakota - No. 124,Corsica,SD,57328-2238,Corsica,47643,Douglas,16
Primrose Retirement Community of Sioux Falls,(605) 334-9100,7400 S Louise Ave,Sioux Falls,SD,57108,Sioux Falls,47881,Lincoln,76
Edgewood Greenleaf Sioux Falls LLC,(605) 275-0074,3409 East 5th Street,Sioux Falls,SD,57103,Sioux Falls,47882,Minnehaha,46
Bethany Meadows,(605) 582-8622,3008 E Aspen Blvd,Brandon,SD,57005-2202,Brandon,48222,Minnehaha,66
StoneyBrook Suites,(605) 692-1013,1906 12th St. S,Brookings,SD,57006,Brookings,49694,Brookings,48
Edgewood Rapid City LLC,(605) 718-3600,4001 Derby Lane,Rapid City,SD,57701,Rapid City,49735,Pennington,110
Edgewood Spearﬁsh Senior Living LLC,(605) 642-2977,540 Falcon Crest Drive,Spearﬁsh,SD,57783,Spearﬁsh,49736,Lawrence,138
Grandview,(605) 729-2525,901 N Main Ave,Bridgewater,SD,57319,Bridgewater,49737,Mccook,16
Dow Rummel Village,(605) 336-1490,1321 W. Dow Rummel St.,Sioux Falls,SD,57104,Sioux Falls,49739,Minnehaha,79
Prairie Villa,(605) 724-2147,1309 Braddock St,Armour,SD,57313,Armour,49877,Douglas,16
Countryside Living,(605) 996-1991,2100 N Wisconsin,Mitchell,SD,57301,Mitchell,49893,Davison,50
Eastern Star Home of SD Assisted Living,(605) 472-0658,126 W 12th Ave,Redﬁeld,SD,57469-0150,Redﬁeld,50258,Spink,24
Cedar Village,(605) 665-3401,3111 Shirley Bridge Ave,Yankton,SD,57078,Yankton,50288,Yankton,22
The Meadows Assisted Living,(605) 598-6214,1401 Pearl St.,Faulkton,SD,57438,Faulkton,53026,Faulk,15
Five Counties Nursing Home - Assisted Living Center,(605) 374-3871,405 6th Ave. West,Lemmon,SD,57638,Lemmon,53587,Perkins,4
Countryside Inn Assisted Living,(605) 537-4588,208 Prairie Ave,Rosholt,SD,57260,Rosholt,53737,Roberts,29
Pine Hills Retirement Community,(605) 745-5555,2711 Highway 18 West,Hot Springs,SD,57747,Hot Springs,53872,Fall River,78
StoneyBrook Suites,(605) 373-0013,4501 E Pampas,Sioux Falls,SD,57110,Sioux Falls,54366,Minnehaha,58
Cayman Court Assisted Living Facility,(605) 271-8540,4101 West Cayman Street,Sioux Falls,SD,57107-7002,Sioux Falls,54874,Minnehaha,24
"Silver Plains Assisted Living, LLC",(605) 847-4800,610 Park Ave. S.,Lake Preston,SD,57249,Lake Preston,55956,Kingsbury,15
Good Samaritan Society - Canistota ALC,(605) 296-3442,700 West Main St,Canistota,SD,57012,Canistota,56129,Mccook,2
Avera Eureka Health Care Center Assisted Living,(605) 284-2145,202 J. Ave.,Eureka,SD,57437-0040,Eureka,56852,Mcpherson,4
"Centerville Care and Rehab Center, Inc.",(605) 563-2251,500 Vermillion St,Centerville,SD,57014,Centerville,57020,Turner,15
Good Samaritan Society - Sioux Falls Hearthstone Assisted Living,(605) 323-6890,4001 S. Marion Rd.,Sioux Falls,SD,57106-1799,Sioux Falls,58558,Minnehaha,40
Bethesda of Beresford - ALC,(605) 763-2050,606 West Cedar,Beresford,SD,57004-1198,Beresford,58917,Lincoln,8
Avantara Arlington,(605) 983-5796,120 Care Center Road,Arlington,SD,57212-0280,Arlington,59013,Kingsbury,2
Strand-Kjorsvig Community Rest Home ALC,(605) 486-4523,801 South Main St,Roslyn,SD,57261,Roslyn,59168,Day,1
Avantara Redﬁeld,(605) 472-2288,1015 East Third Street,Redﬁeld,SD,57469-1402,Redﬁeld,59210,Spink,1
Sunset Manor Avera Health ALC,(605) 263-3318,129 E Clay St,Irene,SD,57037-2034,Irene,59241,Clay,2
"Aurora-Brule Nursing Home, Inc. ALC",(605) 249-2216,408 South Johnston St,White Lake,SD,57383,White Lake,59424,Aurora,20
Menno-Olivet Assisted Living,(605) 387-5139,402 S Pine St,Menno,SD,57045-0487,Menno,59462,Hutchinson,8
Avantara Ipswich,(605) 426-6622,617 Bloemendaal Drive,Ipswich,SD,57451-0728,Ipswich,59478,Edmunds,2
StoneyBrook Suites Assisted Living,(605) 242-0013,301 Dakota Dunes Blvd,Dakota Dunes,SD,57049,Dakota Dunes,60139,Union,28
Morgan Lane Village,(605) 213-1200,540 Morgan Lane,Tea,SD,57064,Tea,61559,Lincoln,32
Belle Estate,(605) 723-3000,10905 Sourdough Rd,Belle Fourche,SD,57717,Belle Fourche,61655,Butte,20
Clarkson Assisted Living,(605) 343-5882,1015 Mt View Rd,Rapid City,SD,57702,Rapid City,62419,Pennington,5
Rosewood Court,(605) 995-0359,2101 N Sanborn Blvd,Mitchell,SD,57301,Mitchell,63502,Davison,24
Twilight Vista Assisted Living,(605) 337-2477,211 S Iowa Ave,Platte,SD,57369,Platte,64077,Charles Mix,16
Good Samaritan Society-Prairie Creek Assisted Living,(605) 331-5507,4312 W Creekside Circle,Sioux Falls,SD,57106,Sioux Falls,64097,Minnehaha,40
Bethany Home Sioux Falls,(605) 338-2351,1901 S Holly Ave,Sioux Falls,SD,57105,Sioux Falls,65371,Minnehaha,27
Medicine Wheel Village,(605) 964-8155,24266 Airport Road,Eagle Butte,SD,57625,Eagle Butte,65643,Ziebach,14
Aspen Grove Assisted Living,(605) 720-4738,2065 Moose Dr,Sturgis,SD,57785,Sturgis,65673,Meade,40
Hudson Care and Rehab Center,(605) 984-2244,720 Parkway,Hudson,SD,57034,Hudson,65982,Lincoln,25
Heritage Place,(605) 343-1919,4811 St. Martin Dr,Rapid City,SD,57702,Rapid City,66221,Pennington,38
Edgewood Pierre LLC,(605) 494-3400,1950 East Fourth Street,Pierre,SD,57501,Pierre,66437,Hughes,86
Wakonda Heritage Manor,(605) 267-2081,515 Ohio St,Wakonda,SD,57073-2013,Wakonda,66468,Clay,3
Avera Prince of Peace - The Lofts,(605) 322-5600,4513 Prince of Peace Place,Sioux Falls,SD,57103,Sioux Falls,66658,Minnehaha,24
Edgewood Prairie Crossings Watertown IL LLC,(605) 882-3084,901 14th Ave NE,Watertown,SD,57201,Watertown,67112,Codington,66
Good Samaritan Society Prairie Creek Memory Care Assisted Living,(605) 331-5507,4309 W Creekside Circle,Sioux Falls,SD,57106,Sioux Falls,67392,Minnehaha,32
Alcester Care and Rehab Center,(605) 934-2011,101 Church St,Alcester,SD,57001-0500,Alcester,67414,Union,10
"Edgewood Prairie Crossings Sioux Falls, LLC",(605) 361-0056,1810 S Dorothy Ave,Sioux Falls,SD,57106,Sioux Falls,67578,Minnehaha,68
Peaceful Pines Senior Living,(605) 718-0542,1760 Tablerock Rd,Rapid City,SD,57701,Rapid City,67662,Pennington,70
Sanford Health Vermillion Dakota Gardens,(605) 677-3500,126 S Plum St,Vermillion,SD,57069,Vermillion,67663,Clay,29
Angelhaus North,(605) 229-7977,1005 Redwood Lane,Aberdeen,SD,57401,Aberdeen,67664,Brown,11
The Village at Skyline Pines,(605) 791-5111,1050 Fairmont Blvd,Rapid City,SD,57701,Rapid City,67721,Pennington,100
Grand Living at Lake Lorraine,(605) 799-1900,2815 S Westlake Dr,Sioux Falls,SD,57106,Sioux Falls,67742,Minnehaha,185
"Edgewood Mitchell, LLC",(605) 996-2730,501 East Spruce Street,Mitchell,SD,57301,Mitchell,68057,Davison,62
Wellshire Huron,(605) 352-7600,1251 Arizona Ave SW,Huron,SD,57350,Huron,68077,Beadle,16
Washington Crossing Senior Living,(605) 271-9273,4709 E 6th Street,Sioux Falls,SD,57110,Sioux Falls,68198,Minnehaha,10
The Courtyard Westhills Village,(605) 342-0255,133 Texas Street,Rapid City,SD,57701,Rapid City,68559,Pennington,60
Highmore Health,(605) 852-2255,410 8th St SE,Highmore,SD,57345,Highmore,68823,Hyde,4
Wilmot Care Center ALC 2,(605) 938-4418,501 4th Street,Wilmot,SD,57279,Wilmot,68850,Roberts,16
Dow Rummel Village,(605) 336-1490,1321 W Dow Rummel St,Sioux Falls,SD,57104,Sioux Falls,69060,Minnehaha,64
The Village Assisted Living,(605) 854-9953,401 Ingalls Ave SW,De Smet,SD,57231,De Smet,69617,Kingsbury,16
Diamond Care Center,(605) 729-2525,901 N Main,Bridgewater,SD,57319,Bridgewater,70135,Mccook,2
Angelhaus Huron,(605) 228-3131,50 7th St SE,Huron,SD,57350,Huron,71778,Beadle,44
