Facility Name,Phone Number,Address,City,State,Zip Code,License Number,County,Capacity,Date Accessed,State Facility Type 1 Literal
Fairmont Grand Senior Care,(605) 399-1551,413 E FAIRLANE DR,Rapid City,SD,57701-7207,11034,Pennington,16,6/30/21,ASSISTED LIVING CENTER
The Victorian Assisted Living,(605) 342-1913,1321 COLUMBUS ST.,Rapid City,SD,57701-2538,11035,Pennington,48,6/30/21,ASSISTED LIVING CENTER
Pioneer Inn,(605) 326-5161,315 N WASHINGTON,Viborg,SD,57070-0368,11036,Turner,12,6/30/21,ASSISTED LIVING CENTER
Angelhaus East,(605) 665-7255,2905 DOUGLAS AVE,Yankton,SD,57078,11037,Yankton,36,6/30/21,ASSISTED LIVING CENTER
Fay Wookey Memorial Assisted Living Center,(605) 532-5799,700 N SMITH,Clark,SD,57225-1120,11038,Clark,30,6/30/21,ASSISTED LIVING CENTER
Bethesda Towne Square,(605) 225-7600,1425 15TH AVE SE,Aberdeen,SD,57401-7754,11040,Brown,52,6/30/21,ASSISTED LIVING CENTER
Spruce Court,(605) 448-2412,413 9TH ST,Britton,SD,57430-2274,11042,Marshall,25,6/30/21,ASSISTED LIVING CENTER
Roetell Senior Housing,(605) 532-5430,108 S SMITH,Clark,SD,57225-1627,11043,Clark,15,6/30/21,ASSISTED LIVING CENTER
Parkview Apartments Assisted Living,(605) 267-2081,515 OHIO ST,Wakonda,SD,57073-0327,11048,Clay,7,6/30/21,ASSISTED LIVING CENTER
Garden Hills Assisted Living,(605) 642-0404,905 S 34TH ST,Spearﬁsh,SD,57783,11051,Lawrence,16,6/30/21,ASSISTED LIVING CENTER
Bethel Suites,(605) 256-4539,911 S EGAN AVE,Madison,SD,57042,11053,Lake,16,6/30/21,ASSISTED LIVING CENTER
Edgewood Greenleaf Brookings Llc,(605) 692-6311,2015 8TH ST S,Brookings,SD,57006-3506,11055,Brookings,50,6/30/21,ASSISTED LIVING CENTER
Sandstone Senior Living,(605) 642-4910,2010 WINDMILL DRIVE,Spearﬁsh,SD,57783,11062,Lawrence,30,6/30/21,ASSISTED LIVING CENTER
Edgewood Watertown Mc 2 Llc,(605) 882-3084,225 14TH AVE NE,Watertown,SD,57201,11064,Codington,16,6/30/21,ASSISTED LIVING CENTER
Springﬁeld Assisted Living Center,(605) 369-5445,701 PINE ST,Springﬁeld,SD,57062-2129,11066,Bon Homme,36,6/30/21,ASSISTED LIVING CENTER
The Silverleaf,(605) 859-3434,519 W PINE ST,Philip,SD,57567-0818,11069,Haakon,16,6/30/21,ASSISTED LIVING CENTER
Meadows On Sycamore Inc.,(605) 332-0938,138 N SYCAMORE,Sioux Falls,SD,57110-1230,11071,Minnehaha,33,6/30/21,ASSISTED LIVING CENTER
"The Homestead Assisted Living, Llc",(605) 785-3310,802 1ST AVE S,Lake Norden,SD,57248,11072,Hamlin,8,6/30/21,ASSISTED LIVING CENTER
Edgewood Sioux Falls Senior Living Llc,(605) 367-9570,3401 RALPH ROGERS RD,Sioux Falls,SD,57108,11073,Lincoln,28,6/30/21,ASSISTED LIVING CENTER
Meadows On Sycamore Inc.,(605) 332-0938,130 N SYCAMORE,Sioux Falls,SD,57110,11077,Minnehaha,45,6/30/21,ASSISTED LIVING CENTER
Eureka Community Health Services - Alc,(605) 284-2661,200 J AVE,Eureka,SD,57437-0517,11079,Mcpherson,13,6/30/21,ASSISTED LIVING CENTER
Prairie Sunset Village,(605) 845-3692,1401 10TH AVE W,Mobridge,SD,57601,11085,Walworth,16,6/30/21,ASSISTED LIVING CENTER
Golden Prairie Manor,(605) 842-0508,1145 GOLDEN PRAIRIE DR,Winner,SD,57580,11087,Tripp,40,6/30/21,ASSISTED LIVING CENTER
Haisch Haus Assisted Living,(605) 654-9045,201 N GARRISON ST,Bonesteel,SD,57317-0257,40097,Gregory,16,6/30/21,ASSISTED LIVING CENTER
Sanford Hiawatha Heights,(605) 764-1400,398 N HIAWATHA DR,Canton,SD,57013-5876,40120,Lincoln,16,6/30/21,ASSISTED LIVING CENTER
"Castlewood Assisted Living, Llc",(605) 793-2234,108 W MAIN,Castlewood,SD,57223-9999,40126,Hamlin,16,6/30/21,ASSISTED LIVING CENTER
Lakeside Assisted Living,(605) 472-2191,1010 W 5TH ST,Redﬁeld,SD,57469-0220,40127,Spink,16,6/30/21,ASSISTED LIVING CENTER
Courtyard Villa Assisted Living Center,(605) 853-0365,225 W 4TH ST,Miller,SD,57362-1545,40288,Hand,24,6/30/21,ASSISTED LIVING CENTER
Wellshire Park Place,(605) 432-5695,1105 S 2ND ST,Milbank,SD,57252-3321,40533,Grant,36,6/30/21,ASSISTED LIVING CENTER
Meadows On Sycamore Inc.,(605) 332-0938,146 N SYCAMORE,Sioux Falls,SD,57110,40562,Minnehaha,45,6/30/21,ASSISTED LIVING CENTER
Kelly`S Retirement Ii,(605) 224-9811,1522 E DAKOTA,Pierre,SD,57501-4118,40563,Hughes,16,6/30/21,ASSISTED LIVING CENTER
Colton Retirement Living,(605) 446-3603,706 E 1ST ST,Colton,SD,57018,40797,Minnehaha,16,6/30/21,ASSISTED LIVING CENTER
There`S A Hart,(605) 343-5563,2303 MICHIGAN AVE,Rapid City,SD,57701,40944,Pennington,13,6/30/21,ASSISTED LIVING CENTER
Wel-Life At Elk Point,(605) 356-2774,600 E LINCOLN ST,Elk Point,SD,57025,41022,Union,36,6/30/21,ASSISTED LIVING CENTER
Garden Hills Assisted Living 2,(605) 642-0404,825 S 34TH ST,Spearﬁsh,SD,57783,41075,Lawrence,15,6/30/21,ASSISTED LIVING CENTER
"Ramona Assisted Living, Llc",(605) 482-8221,210 E 3RD ST,Ramona,SD,57054,41085,Lake,16,6/30/21,ASSISTED LIVING CENTER
Monument Health Assisted Living,(605) 673-5588,423 N 10TH ST,Custer,SD,57730,41208,Custer,16,6/30/21,ASSISTED LIVING CENTER
Park Place Assisted Living,(605) 692-5351,405 1ST AVENUE,Brookings,SD,57006,41209,Brookings,32,6/30/21,ASSISTED LIVING CENTER
Edgewood Greenleaf Sisseton Llc,(605) 698-3500,308 HILLVIEW RD,Sisseton,SD,57262,41332,Roberts,31,6/30/21,ASSISTED LIVING CENTER
Good Samaritan Society - Four Seasons Alc,(605) 874-2159,913 COLONEL PETE ST,Clear Lake,SD,57226,41393,Deuel,16,6/30/21,ASSISTED LIVING CENTER
Primrose Retirement Community Of Rapid City,(605) 342-6699,224 E MINNESOTA ST,Rapid City,SD,57701,41662,Pennington,48,6/30/21,ASSISTED LIVING CENTER
Parkview Assisted Living,(605) 628-2155,410 S BROADWAY ST,Bryant,SD,57221,41812,Hamlin,14,6/30/21,ASSISTED LIVING CENTER
Elder Inn,(605) 842-0390,956 E 7TH ST,Winner,SD,57580,41884,Tripp,45,6/30/21,ASSISTED LIVING CENTER
"Edgewood Prairie Crossings Mitchell, Llc",(605) 996-2730,2201 N WISCONSIN,Mitchell,SD,57301,41916,Davison,37,6/30/21,ASSISTED LIVING CENTER
Leisure Living,(605) 528-7406,305 W 5TH,Hartford,SD,57033,41964,Minnehaha,16,6/30/21,ASSISTED LIVING CENTER
Stoneybrook Suites,(605) 352-0014,420 21ST ST SW,Huron,SD,57350,41965,Beadle,40,6/30/21,ASSISTED LIVING CENTER
Stoneybrook Suites,(605) 882-0013,500 16TH AVE NE,Watertown,SD,57201,41966,Codington,60,6/30/21,ASSISTED LIVING CENTER
Primrose Place,(605) 226-1515,1801 3RD AVE SE,Aberdeen,SD,57401,41967,Brown,28,6/30/21,ASSISTED LIVING CENTER
"Silver Threads, Inc.",(605) 835-9717,210 E 12TH ST,Gregory,SD,57533,41968,Gregory,32,6/30/21,ASSISTED LIVING CENTER
Nano Nagle Village,(605) 622-5850,1020 N JAY ST,Aberdeen,SD,57401,41969,Brown,45,6/30/21,ASSISTED LIVING CENTER
Orchard Hills,(605) 312-4290,200 W 10TH ST,Dell Rapids,SD,57022,41970,Minnehaha,32,6/30/21,ASSISTED LIVING CENTER
Country View Assisted Living Center,(605) 758-2050,1004 6TH ST,Florence,SD,57235,41971,Codington,16,6/30/21,ASSISTED LIVING CENTER
Avera Brady Assisted Living,(605) 996-7702,1414 W CEDAR AVE,Mitchell,SD,57301,41972,Davison,25,6/30/21,ASSISTED LIVING CENTER
Marion Assisted Living Center,(605) 648-3611,310 E STATE ST,Marion,SD,57043-2011,41974,Turner,16,6/30/21,ASSISTED LIVING CENTER
Golden Ridge Senior Living,(605) 719-6380,200 MONTANA AVENUE,Lead,SD,57754,41975,Lawrence,28,6/30/21,ASSISTED LIVING CENTER
Leisure Living,(605) 425-2858,600 S HILL ST,Salem,SD,57058,42874,Mccook,16,6/30/21,ASSISTED LIVING CENTER
Heritage Senior Living,(605) 256-1525,211 NW 1ST ST,Madison,SD,57042,45936,Lake,26,6/30/21,ASSISTED LIVING CENTER
Edgewood Greenleaf Flandreau Llc,(605) 997-2775,800 S WIND ST,Flandreau,SD,57028,46723,Moody,30,6/30/21,ASSISTED LIVING CENTER
Avera Prince Of Peace Retirement Community-Oakwood,(605) 322-5600,4504 PRINCE OF PEACE PLACE,Sioux Falls,SD,57103,46761,Minnehaha,36,6/30/21,ASSISTED LIVING CENTER
Angelhaus,(605) 725-7777,1717 E MELGAARD RD,Aberdeen,SD,57401-7646,46859,Brown,16,6/30/21,ASSISTED LIVING CENTER
Good Samaritan Society - Echo Ridge,(605) 718-1800,931 FOX RUN DRIVE,Rapid City,SD,57701,46860,Pennington,34,6/30/21,ASSISTED LIVING CENTER
Whispering Winds Assisted Living,(605) 772-5885,700 S MAIN ST,Howard,SD,57349,46902,Miner,23,6/30/21,ASSISTED LIVING CENTER
"Walnut Village, Inc.",(605) 664-4220,613 WALNUT ST,Yankton,SD,57078-3534,46903,Yankton,16,6/30/21,ASSISTED LIVING CENTER
Regency Retirement Living,(605) 734-0404,220 W BEEBE,Chamberlain,SD,57325,46905,Brule,36,6/30/21,ASSISTED LIVING CENTER
Angelhaus West,(605) 665-7255,2903 DOUGLAS AVE,Yankton,SD,57078,46906,Yankton,28,6/30/21,ASSISTED LIVING CENTER
Tlc Assisted Living Home,(605) 775-6316,713 COUNTY RD,Burke,SD,57523,46982,Gregory,16,6/30/21,ASSISTED LIVING CENTER
Majestic Bluffs,(605) 655-1600,2109 W 11TH ST,Yankton,SD,57078,46983,Yankton,45,6/30/21,ASSISTED LIVING CENTER
Good Samaritan Society - Howard Alc,(605) 772-4481,300 W HAZEL,Howard,SD,57349,47070,Miner,9,6/30/21,ASSISTED LIVING CENTER
Morningstar Assisted Living,(605) 348-2596,4120 WINFIELD STREET,Rapid City,SD,57701,47202,Pennington,17,6/30/21,ASSISTED LIVING CENTER
Good Samaritan Society - Miller Alc,(605) 853-2701,421 E 4TH ST,Miller,SD,57362,47462,Hand,8,6/30/21,ASSISTED LIVING CENTER
Leisure Living,(605) 946-5229,310 N DAKOTA - NO. 124,Corsica,SD,57328-2238,47643,Douglas,16,6/30/21,ASSISTED LIVING CENTER
Primrose Retirement Community Of Sioux Falls,(605) 334-9100,7400 S LOUISE AVE,Sioux Falls,SD,57108,47881,Lincoln,76,6/30/21,ASSISTED LIVING CENTER
Edgewood Greenleaf Sioux Falls Llc,(605) 275-0074,3409 EAST 5TH STREET,Sioux Falls,SD,57103,47882,Minnehaha,46,6/30/21,ASSISTED LIVING CENTER
Bethany Meadows,(605) 582-8622,3008 E ASPEN BLVD,Brandon,SD,57005-2202,48222,Minnehaha,66,6/30/21,ASSISTED LIVING CENTER
Stoneybrook Suites,(605) 692-1013,1906 12TH ST. S,Brookings,SD,57006,49694,Brookings,48,6/30/21,ASSISTED LIVING CENTER
Edgewood Rapid City Llc,(605) 718-3600,4001 DERBY LANE,Rapid City,SD,57701,49735,Pennington,110,6/30/21,ASSISTED LIVING CENTER
Edgewood Spearﬁsh Senior Living Llc,(605) 642-2977,540 FALCON CREST DRIVE,Spearﬁsh,SD,57783,49736,Lawrence,138,6/30/21,ASSISTED LIVING CENTER
Grandview,(605) 729-2525,901 N MAIN AVE,Bridgewater,SD,57319,49737,Mccook,16,6/30/21,ASSISTED LIVING CENTER
Dow Rummel Village,(605) 336-1490,1321 W. DOW RUMMEL ST.,Sioux Falls,SD,57104,49739,Minnehaha,79,6/30/21,ASSISTED LIVING CENTER
Prairie Villa,(605) 724-2147,1309 BRADDOCK ST,Armour,SD,57313,49877,Douglas,16,6/30/21,ASSISTED LIVING CENTER
Countryside Living,(605) 996-1991,2100 N WISCONSIN,Mitchell,SD,57301,49893,Davison,50,6/30/21,ASSISTED LIVING CENTER
Eastern Star Home Of Sd Assisted Living,(605) 472-0658,126 W 12TH AVE,Redﬁeld,SD,57469-0150,50258,Spink,24,6/30/21,ASSISTED LIVING CENTER
Cedar Village,(605) 665-3401,3111 SHIRLEY BRIDGE AVE,Yankton,SD,57078,50288,Yankton,22,6/30/21,ASSISTED LIVING CENTER
The Meadows Assisted Living,(605) 598-6214,1401 PEARL ST.,Faulkton,SD,57438,53026,Faulk,15,6/30/21,ASSISTED LIVING CENTER
Five Counties Nursing Home - Assisted Living Center,(605) 374-3871,405 6TH AVE. WEST,Lemmon,SD,57638,53587,Perkins,4,6/30/21,ASSISTED LIVING CENTER
Countryside Inn Assisted Living,(605) 537-4588,208 PRAIRIE AVE,Rosholt,SD,57260,53737,Roberts,29,6/30/21,ASSISTED LIVING CENTER
Pine Hills Retirement Community,(605) 745-5555,2711 HIGHWAY 18 WEST,Hot Springs,SD,57747,53872,Fall River,78,6/30/21,ASSISTED LIVING CENTER
Stoneybrook Suites,(605) 373-0013,4501 E PAMPAS,Sioux Falls,SD,57110,54366,Minnehaha,58,6/30/21,ASSISTED LIVING CENTER
Cayman Court Assisted Living Facility,(605) 271-8540,4101 WEST CAYMAN STREET,Sioux Falls,SD,57107-7002,54874,Minnehaha,24,6/30/21,ASSISTED LIVING CENTER
"Silver Plains Assisted Living, Llc",(605) 847-4800,610 PARK AVE. S.,Lake Preston,SD,57249,55956,Kingsbury,15,6/30/21,ASSISTED LIVING CENTER
Good Samaritan Society - Canistota Alc,(605) 296-3442,700 WEST MAIN ST,Canistota,SD,57012,56129,Mccook,2,6/30/21,ASSISTED LIVING CENTER
Avera Eureka Health Care Center Assisted Living,(605) 284-2145,202 J. AVE.,Eureka,SD,57437-0040,56852,Mcpherson,4,6/30/21,ASSISTED LIVING CENTER
"Centerville Care And Rehab Center, Inc.",(605) 563-2251,500 VERMILLION ST,Centerville,SD,57014,57020,Turner,15,6/30/21,ASSISTED LIVING CENTER
Good Samaritan Society - Sioux Falls Hearthstone Assisted Living,(605) 323-6890,4001 S. MARION RD.,Sioux Falls,SD,57106-1799,58558,Minnehaha,40,6/30/21,ASSISTED LIVING CENTER
Bethesda Of Beresford - Alc,(605) 763-2050,606 WEST CEDAR,Beresford,SD,57004-1198,58917,Lincoln,8,6/30/21,ASSISTED LIVING CENTER
Avantara Arlington,(605) 983-5796,120 CARE CENTER ROAD,Arlington,SD,57212-0280,59013,Kingsbury,2,6/30/21,ASSISTED LIVING CENTER
Strand-Kjorsvig Community Rest Home Alc,(605) 486-4523,801 SOUTH MAIN ST,Roslyn,SD,57261,59168,Day,1,6/30/21,ASSISTED LIVING CENTER
Avantara Redﬁeld,(605) 472-2288,1015 EAST THIRD STREET,Redﬁeld,SD,57469-1402,59210,Spink,1,6/30/21,ASSISTED LIVING CENTER
Sunset Manor Avera Health Alc,(605) 263-3318,129 E CLAY ST,Irene,SD,57037-2034,59241,Clay,2,6/30/21,ASSISTED LIVING CENTER
"Aurora-Brule Nursing Home, Inc. Alc",(605) 249-2216,408 SOUTH JOHNSTON ST,White Lake,SD,57383,59424,Aurora,20,6/30/21,ASSISTED LIVING CENTER
Menno-Olivet Assisted Living,(605) 387-5139,402 S PINE ST,Menno,SD,57045-0487,59462,Hutchinson,8,6/30/21,ASSISTED LIVING CENTER
Avantara Ipswich,(605) 426-6622,617 BLOEMENDAAL DRIVE,Ipswich,SD,57451-0728,59478,Edmunds,2,6/30/21,ASSISTED LIVING CENTER
Stoneybrook Suites Assisted Living,(605) 242-0013,301 DAKOTA DUNES BLVD,Dakota Dunes,SD,57049,60139,Union,28,6/30/21,ASSISTED LIVING CENTER
Morgan Lane Village,(605) 213-1200,540 MORGAN LANE,Tea,SD,57064,61559,Lincoln,32,6/30/21,ASSISTED LIVING CENTER
Belle Estate,(605) 723-3000,10905 SOURDOUGH RD,Belle Fourche,SD,57717,61655,Butte,20,6/30/21,ASSISTED LIVING CENTER
Clarkson Assisted Living,(605) 343-5882,1015 MT VIEW RD,Rapid City,SD,57702,62419,Pennington,5,6/30/21,ASSISTED LIVING CENTER
Rosewood Court,(605) 995-0359,2101 N SANBORN BLVD,Mitchell,SD,57301,63502,Davison,24,6/30/21,ASSISTED LIVING CENTER
Twilight Vista Assisted Living,(605) 337-2477,211 S IOWA AVE,Platte,SD,57369,64077,Charles Mix,16,6/30/21,ASSISTED LIVING CENTER
Good Samaritan Society-Prairie Creek Assisted Living,(605) 331-5507,4312 W CREEKSIDE CIRCLE,Sioux Falls,SD,57106,64097,Minnehaha,40,6/30/21,ASSISTED LIVING CENTER
Bethany Home Sioux Falls,(605) 338-2351,1901 S HOLLY AVE,Sioux Falls,SD,57105,65371,Minnehaha,27,6/30/21,ASSISTED LIVING CENTER
Medicine Wheel Village,(605) 964-8155,24266 AIRPORT ROAD,Eagle Butte,SD,57625,65643,Ziebach,14,6/30/21,ASSISTED LIVING CENTER
Aspen Grove Assisted Living,(605) 720-4738,2065 MOOSE DR,Sturgis,SD,57785,65673,Meade,40,6/30/21,ASSISTED LIVING CENTER
Hudson Care And Rehab Center,(605) 984-2244,720 PARKWAY,Hudson,SD,57034,65982,Lincoln,25,6/30/21,ASSISTED LIVING CENTER
Heritage Place,(605) 343-1919,4811 ST. MARTIN DR,Rapid City,SD,57702,66221,Pennington,38,6/30/21,ASSISTED LIVING CENTER
Edgewood Pierre Llc,(605) 494-3400,1950 EAST FOURTH STREET,Pierre,SD,57501,66437,Hughes,86,6/30/21,ASSISTED LIVING CENTER
Wakonda Heritage Manor,(605) 267-2081,515 OHIO ST,Wakonda,SD,57073-2013,66468,Clay,3,6/30/21,ASSISTED LIVING CENTER
Avera Prince Of Peace - The Lofts,(605) 322-5600,4513 PRINCE OF PEACE PLACE,Sioux Falls,SD,57103,66658,Minnehaha,24,6/30/21,ASSISTED LIVING CENTER
Edgewood Prairie Crossings Watertown Il Llc,(605) 882-3084,901 14TH AVE NE,Watertown,SD,57201,67112,Codington,66,6/30/21,ASSISTED LIVING CENTER
Good Samaritan Society Prairie Creek Memory Care Assisted Living,(605) 331-5507,4309 W CREEKSIDE CIRCLE,Sioux Falls,SD,57106,67392,Minnehaha,32,6/30/21,ASSISTED LIVING CENTER
Alcester Care And Rehab Center,(605) 934-2011,101 CHURCH ST,Alcester,SD,57001-0500,67414,Union,10,6/30/21,ASSISTED LIVING CENTER
"Edgewood Prairie Crossings Sioux Falls, Llc",(605) 361-0056,1810 S DOROTHY AVE,Sioux Falls,SD,57106,67578,Minnehaha,68,6/30/21,ASSISTED LIVING CENTER
Peaceful Pines Senior Living,(605) 718-0542,1760 TABLEROCK RD,Rapid City,SD,57701,67662,Pennington,70,6/30/21,ASSISTED LIVING CENTER
Sanford Health Vermillion Dakota Gardens,(605) 677-3500,126 S PLUM ST,Vermillion,SD,57069,67663,Clay,29,6/30/21,ASSISTED LIVING CENTER
Angelhaus North,(605) 229-7977,1005 REDWOOD LANE,Aberdeen,SD,57401,67664,Brown,11,6/30/21,ASSISTED LIVING CENTER
The Village At Skyline Pines,(605) 791-5111,1050 FAIRMONT BLVD,Rapid City,SD,57701,67721,Pennington,100,6/30/21,ASSISTED LIVING CENTER
Grand Living At Lake Lorraine,(605) 799-1900,2815 S WESTLAKE DR,Sioux Falls,SD,57106,67742,Minnehaha,185,6/30/21,ASSISTED LIVING CENTER
"Edgewood Mitchell, Llc",(605) 996-2730,501 EAST SPRUCE STREET,Mitchell,SD,57301,68057,Davison,62,6/30/21,ASSISTED LIVING CENTER
Wellshire Huron,(605) 352-7600,1251 ARIZONA AVE SW,Huron,SD,57350,68077,Beadle,16,6/30/21,ASSISTED LIVING CENTER
Washington Crossing Senior Living,(605) 271-9273,4709 E 6TH STREET,Sioux Falls,SD,57110,68198,Minnehaha,10,6/30/21,ASSISTED LIVING CENTER
The Courtyard Westhills Village,(605) 342-0255,133 TEXAS STREET,Rapid City,SD,57701,68559,Pennington,60,6/30/21,ASSISTED LIVING CENTER
Highmore Health,(605) 852-2255,410 8TH ST SE,Highmore,SD,57345,68823,Hyde,4,6/30/21,ASSISTED LIVING CENTER
Wilmot Care Center Alc 2,(605) 938-4418,501 4TH STREET,Wilmot,SD,57279,68850,Roberts,16,6/30/21,ASSISTED LIVING CENTER
Dow Rummel Village,(605) 336-1490,1321 W DOW RUMMEL ST,Sioux Falls,SD,57104,69060,Minnehaha,64,6/30/21,ASSISTED LIVING CENTER
The Village Assisted Living,(605) 854-9953,401 INGALLS AVE SW,De Smet,SD,57231,69617,Kingsbury,16,6/30/21,ASSISTED LIVING CENTER
Diamond Care Center,(605) 729-2525,901 N MAIN,Bridgewater,SD,57319,70135,Mccook,2,6/30/21,ASSISTED LIVING CENTER
Angelhaus Huron,(605) 228-3131,50 7TH ST SE,Huron,SD,57350,71778,Beadle,44,6/30/21,ASSISTED LIVING CENTER
