Name,Phone,Physical Address,City,State,Zip Code,Mailing Address,City,State,Zip Code,StateLicenserNo,County,Total Beds,Administrator
Meadows on Sycamore Inc.,(605) 332-0938,138 N Sycamore,Sioux Falls,SD,57110-1230,138 N Sycamore,Sioux Falls,SD,57110-1230,11071,Minnehaha,33,"Hughes, Tracey"
"The Homestead Assisted Living, LLC",(605) 785-3310,802 1st Ave S,Lake Norden,SD,57248,PO Box 229,Lake Norden,SD,57248,11072,Hamlin,8,"Johnson, Jolene"
Edgewood Sioux Falls Senior Living LLC,(605) 367-9570,3401 Ralph Rogers Rd,Sioux Falls,SD,57108,3401 Ralph Rogers Rd,Sioux Falls,SD,57108,11073,Lincoln,28,"Nesbitt, Jennifer"
Meadows on Sycamore Inc.,(605) 332-0938,130 N Sycamore,Sioux Falls,SD,57110,130 N Sycamore,Sioux Falls,SD,57110,11077,Minnehaha,45,"Hughes, Tracey"
Eureka Community Health Services - ALC,(605) 284-2661,200 J Ave,Eureka,SD,57437-0517,PO Box 517,Eureka,SD,57437-0517,11079,Mcpherson,13,"Weber, Carmen"
Prairie Sunset Village,(605) 845-3692,1401 10th Ave W,Mobridge,SD,57601,PO Box 580,Mobridge,SD,57601,11085,Walworth,16,"Ayoub, John"
Golden Prairie Manor,(605) 842-0508,1145 Golden Prairie Dr,Winner,SD,57580,1145 Golden Prairie Dr,Winner,SD,57580,11087,Tripp,40,"McCarty, Lori"
Haisch Haus Assisted Living,(605) 654-9045,201 N Garrison St,Bonesteel,SD,57317-0257,201 N Garrison St,Bonesteel,SD,57317-0257,40097,Gregory,16,"Jons, Monica"
Sanford Hiawatha Heights,(605) 764-1400,398 N Hiawatha Dr,Canton,SD,57013-5876,440 N Hiawatha Dr,Canton,SD,57013-5800,40120,Lincoln,16,"Larson, Scott"
"Castlewood Assisted Living, LLC",(605) 793-2234,108 W Main,Castlewood,SD,57223-9999,P O Box 109,Castlewood,SD,57223-9999,40126,Hamlin,16,"Feuerhelm, Brittany"
Lakeside Assisted Living,(605) 472-2191,1010 W 5th St,Redﬁeld,SD,57469-0220,1010 W 5th St,Redﬁeld,SD,57469-0220,40127,Spink,16,"Lemmer, Rosanne"
Courtyard Villa Assisted Living Center,(605) 853-0365,225 W 4th St,Miller,SD,57362-1545,318 W 5th St,Miller,SD,57362,40288,Hand,24,"Breitling, Bryan"
Wellshire Park Place,(605) 432-5695,1105 S 2nd St,Milbank,SD,57252-3321,1105 S 2nd St,Milbank,SD,57252-3321,40533,Grant,36,"Shakespaere, Byron"
Meadows on Sycamore Inc.,(605) 332-0938,146 N Sycamore,Sioux Falls,SD,57110,146 N Sycamore,Sioux Falls,SD,57110,40562,Minnehaha,45,"Hughes, Tracey"
Kelly`s Retirement II,(605) 224-9811,1522 E Dakota,Pierre,SD,57501-4118,615 S Jefferson,Pierre,SD,57501,40563,Hughes,16,"Moore, Robyn"
Colton Retirement Living,(605) 446-3603,706 E 1st St,Colton,SD,57018,706 E 1st St,Colton,SD,57018,40797,Minnehaha,16,"Wagner, Michelle"
There`s A Hart,(605) 343-5563,2303 Michigan Ave,Rapid City,SD,57701,2303 Michigan Ave,Rapid City,SD,57701,40944,Pennington,13,"Uchytil, Christa"
WEL-Life at Elk Point,(605) 356-2774,600 E Lincoln St,Elk Point,SD,57025,600 E Lincoln St,Elk Point,SD,57025,41022,Union,36,"Sayler, Bob"
Garden Hills Assisted Living 2,(605) 642-0404,825 S 34th St,Spearﬁsh,SD,57783,905 S 34th St,Spearﬁsh,SD,57783,41075,Lawrence,15,"Derosier, Kimberly"
"Ramona Assisted Living, LLC",(605) 482-8221,210 E 3rd St,Ramona,SD,57054,210 E 3rd St,Ramona,SD,57054-0115,41085,Lake,16,"Keith, Stacey"
Monument Health Assisted Living,(605) 673-5588,423 N 10th St,Custer,SD,57730,423 N 10th St,Custer,SD,57730,41208,Custer,16,"Fiscarelli, Conner"
Park Place Assisted Living,(605) 692-5351,405 1st Avenue,Brookings,SD,57006,405 1st Ave,Brookings,SD,57006,41209,Brookings,32,"Hight, Kaleb"
Edgewood Greenleaf Sisseton LLC,(605) 698-3500,308 Hillview Rd,Sisseton,SD,57262,308 Hillview Rd,Sisseton,SD,57262,41332,Roberts,31,"Hamm, Bobbi Jo"
Good Samaritan Society - Four Seasons ALC,(605) 874-2159,913 Colonel Pete St,Clear Lake,SD,57226,913 Colonel Pete St,Clear Lake,SD,57226-2124,41393,Deuel,16,"Wanous, Luke"
Primrose Retirement Community of Rapid City,(605) 342-6699,224 E Minnesota St,Rapid City,SD,57701,224 E Minnesota St,Rapid City,SD,57701,41662,Pennington,48,"Maciejewski, Lisa"
Parkview Assisted Living,(605) 628-2155,410 S Broadway St,Bryant,SD,57221,PO Box 247,Bryant,SD,57221,41812,Hamlin,14,"Johnson, Robin"
Elder Inn,(605) 842-0390,956 E 7th St,Winner,SD,57580,956 E 7th St,Winner,SD,57580,41884,Tripp,45,"Meyer, Tammy"
"Edgewood Prairie Crossings Mitchell, LLC",(605) 996-2730,2201 N Wisconsin,Mitchell,SD,57301,2201 N Wisconsin,Mitchell,SD,57301,41916,Davison,37,"Tuttle- AIT, Billie"
Leisure Living,(605) 528-7406,305 W 5th,Hartford,SD,57033,305 W 5th,Hartford,SD,57033,41964,Minnehaha,16,"Ahrendt, Tanya"
StoneyBrook Suites,(605) 352-0014,420 21st St SW,Huron,SD,57350,420 21st St SW,Huron,SD,57350,41965,Beadle,40,"Schweigert, Sara"
StoneyBrook Suites,(605) 882-0013,500 16th Ave NE,Watertown,SD,57201,500 16th Ave NE,Watertown,SD,57201,41966,Codington,60,"Adolphsen, Casey"
Primrose Place,(605) 226-1515,1801 3rd Ave SE,Aberdeen,SD,57401,1801 3rd Ave SE,Aberdeen,SD,57401,41967,Brown,28,"Lewis, Teri"
"Silver Threads, Inc.",(605) 835-9717,210 E 12th St,Gregory,SD,57533,210 E 12th St,Gregory,SD,57533,41968,Gregory,32,"Steppat, Donna"
Nano Nagle Village,(605) 622-5850,1020 N Jay St,Aberdeen,SD,57401,1020 N Jay St,Aberdeen,SD,57401,41969,Brown,45,"Snyder, Tom"
Orchard Hills,(605) 312-4290,200 W 10th St,Dell Rapids,SD,57022,200 W 10th St,Dell Rapids,SD,57022,41970,Minnehaha,32,"Roberts, Hiedi"
Country View Assisted Living Center,(605) 758-2050,1004 6th St,Florence,SD,57235,1004 6th St,Florence,SD,57235,41971,Codington,16,"Raml-AIT, Amanda"
Avera Brady Assisted Living,(605) 996-7702,1414 W Cedar Ave,Mitchell,SD,57301,1414 W Cedar Ave,Mitchell,SD,57301,41972,Davison,25,"Jones, Malisa"
Marion Assisted Living Center,(605) 648-3611,310 E State St,Marion,SD,57043-2011,310 E State St,Marion,SD,57043-2011,41974,Turner,16,"Wilson, Laura"
Golden Ridge Senior Living,(605) 719-6380,200 Montana Avenue,Lead,SD,57754,200 Montana Avenue,Lead,SD,57754,41975,Lawrence,28,"Engel, Scott"
Leisure Living,(605) 425-2858,600 S Hill St,Salem,SD,57058,600 S Hill St,Salem,SD,57058,42874,Mccook,16,"Nordlund, Laura"
Heritage Senior Living,(605) 256-1525,211 NW 1st St,Madison,SD,57042,211 NW 1st St,Madison,SD,57042,45936,Lake,26,"Brown, Rebecca"
Edgewood Greenleaf Flandreau LLC,(605) 997-2775,800 S Wind St,Flandreau,SD,57028,800 S Wind St,Flandreau,SD,57028,46723,Moody,30,"Sonnenburg, Lisa"
Avera Prince of Peace Retirement Community-Oakwood,(605) 322-5600,4504 Prince of Peace Place,Sioux Falls,SD,57103,4504 Prince of Peace Place,Sioux Falls,SD,57103,46761,Minnehaha,36,"Hinker, Justin"
Angelhaus,(605) 725-7777,1717 E Melgaard Rd,Aberdeen,SD,57401-7646,1717 E Melgaard Rd,Aberdeen,SD,57401-7646,46859,Brown,16,"McFarland, Samantha"
Good Samaritan Society - Echo Ridge,(605) 718-1800,931 Fox Run Drive,Rapid City,SD,57701,931 Fox Run Drive,Rapid City,SD,57701,46860,Pennington,34,"Hoelscher, Malenda"
Whispering Winds Assisted Living,(605) 772-5885,700 S Main St,Howard,SD,57349,700 S Main St,Howard,SD,57349,46902,Miner,23,"Eggert, Kim"
"Walnut Village, Inc.",(605) 664-4220,613 Walnut St,Yankton,SD,57078-3534,613 Walnut St,Yankton,SD,57078-3534,46903,Yankton,16,"Blom, Joshua"
Regency Retirement Living,(605) 734-0404,220 W Beebe,Chamberlain,SD,57325,220 W Beebe,Chamberlain,SD,57325,46905,Brule,36,"Frederickson, Shelly"
Angelhaus West,(605) 665-7255,2903 Douglas Ave,Yankton,SD,57078,2903 Douglas Ave,Yankton,SD,57078,46906,Yankton,28,"Eskins, Misty"
TLC Assisted Living Home,(605) 775-6316,713 County Rd,Burke,SD,57523,713 County Rd,Burke,SD,57523,46982,Gregory,16,"Claussen, Sharon"
Majestic Bluffs,(605) 655-1600,2109 W 11th St,Yankton,SD,57078,2109 W 11th St,Yankton,SD,57078,46983,Yankton,45,"Erickson, Anthony"
Good Samaritan Society - Howard ALC,(605) 772-4481,300 W Hazel,Howard,SD,57349,300 W Hazel,Howard,SD,57349,47070,Miner,9,"Swoboda, Krista"
Morningstar Assisted Living,(605) 348-2596,4120 Winﬁeld Street,Rapid City,SD,57701,4120 Winﬁeld St,Rapid City,SD,57701,47202,Pennington,17,"Larvie, Amber"
Good Samaritan Society - Miller ALC,(605) 853-2701,421 E 4th St,Miller,SD,57362,421 E 4th St,Miller,SD,57362,47462,Hand,8,"Bachmeier, Dana"
Leisure Living,(605) 946-5229,310 N Dakota - No. 124,Corsica,SD,57328-2238,310 N Dakota - No. 124,Corsica,SD,57328-2238,47643,Douglas,16,"Schrank, Gina"
Primrose Retirement Community of Sioux Falls,(605) 334-9100,7400 S Louise Ave,Sioux Falls,SD,57108,7400 S Louise Ave,Sioux Falls,SD,57108,47881,Lincoln,76,"Johnson, Katlin"
Edgewood Greenleaf Sioux Falls LLC,(605) 275-0074,3409 East 5th Street,Sioux Falls,SD,57103,3409 East 5th Street,Sioux Falls,SD,57103,47882,Minnehaha,46,"Sullivan, Tyler"
Bethany Meadows,(605) 582-8622,3008 E Aspen Blvd,Brandon,SD,57005-2202,3008 E Aspen Blvd,Brandon,SD,57005-2202,48222,Minnehaha,66,"Macy, Renee"
StoneyBrook Suites,(605) 692-1013,1906 12th St. S,Brookings,SD,57006,1906 12th St S,Brookings,SD,57006,49694,Brookings,48,"Vostad, Peggy"
Edgewood Rapid City LLC,(605) 718-3600,4001 Derby Lane,Rapid City,SD,57701,4001 Derby Lane,Rapid City,SD,57701,49735,Pennington,110,"Andersen, Erin"
Edgewood Spearﬁsh Senior Living LLC,(605) 642-2977,540 Falcon Crest Drive,Spearﬁsh,SD,57783,540 Falcon Crest Drive,Spearﬁsh,SD,57783,49736,Lawrence,138,"Krueger, Michelle"
Grandview,(605) 729-2525,901 N Main Ave,Bridgewater,SD,57319,901 N Main Ave,Bridgewater,SD,57319,49737,Mccook,16,"Morris-EPH, Brianna"
Dow Rummel Village,(605) 336-1490,1321 W. Dow Rummel St.,Sioux Falls,SD,57104,1321 W. Dow Rummel Street,Sioux Falls,SD,57104,49739,Minnehaha,79,"Parish, Rebecca"
Prairie Villa,(605) 724-2147,1309 Braddock St,Armour,SD,57313,1309 Braddock St,Armour,SD,57313,49877,Douglas,16,"Brouwer, Heath"
Countryside Living,(605) 996-1991,2100 N Wisconsin,Mitchell,SD,57301,2100 N Wisconsin,Mitchell,SD,57301,49893,Davison,50,"Smith, Veronnica"
Eastern Star Home of SD Assisted Living,(605) 472-0658,126 W 12th Ave,Redﬁeld,SD,57469-0150,PO Box 150,Redﬁeld,SD,57469-0150,50258,Spink,24,"Bowar, Deborah"
Cedar Village,(605) 665-3401,3111 Shirley Bridge Ave,Yankton,SD,57078,3111 Shirley Bridge Ave,Yankton,SD,57078,50288,Yankton,22,"Stanage, Thomas"
The Meadows Assisted Living,(605) 598-6214,1401 Pearl St.,Faulkton,SD,57438,1401 Pearl St.,Faulkton,SD,57438-2291,53026,Faulk,15,"Ferguson, Brenda"
Five Counties Nursing Home - Assisted Living Center,(605) 374-3871,405 6th Ave. West,Lemmon,SD,57638,405 6th Ave. West,Lemmon,SD,57638,53587,Perkins,4,"Drayton, Stacy"
Countryside Inn Assisted Living,(605) 537-4588,208 Prairie Ave,Rosholt,SD,57260,208 Praire Avenue,Rosholt,SD,57260,53737,Roberts,29,"Brandell, David"
Pine Hills Retirement Community,(605) 745-5555,2711 Highway 18 West,Hot Springs,SD,57747,2711 Highway 18 West,Hot Springs,SD,57747,53872,Fall River,78,"Nekuda, Vickie"
StoneyBrook Suites,(605) 373-0013,4501 E Pampas,Sioux Falls,SD,57110,4501 E Pampas,Sioux Falls,SD,57110,54366,Minnehaha,58,"Elton, Jody"
Cayman Court Assisted Living Facility,(605) 271-8540,4101 West Cayman Street,Sioux Falls,SD,57107-7002,4101 West Cayman Street,Sioux Falls,SD,57107-7002,54874,Minnehaha,24,"Holm, Haley"
"Silver Plains Assisted Living, LLC",(605) 847-4800,610 Park Ave. S.,Lake Preston,SD,57249,610 Park Ave. S.,Lake Preston,SD,57249,55956,Kingsbury,15,"Bumann, Tonya"
Good Samaritan Society - Canistota ALC,(605) 296-3442,700 West Main St,Canistota,SD,57012,700 West Main St,Canistota,SD,57012,56129,Mccook,2,"Aschoff, Kelli"
Avera Eureka Health Care Center Assisted Living,(605) 284-2145,202 J. Ave.,Eureka,SD,57437-0040,PO Box 40,Eureka,SD,57437-0040,56852,Mcpherson,4,"Weber, Carmen"
"Centerville Care and Rehab Center, Inc.",(605) 563-2251,500 Vermillion St,Centerville,SD,57014,500 Vermillion St,Centerville,SD,57014,57020,Turner,15,"Van Voorst, Sam"
Good Samaritan Society - Sioux Falls Hearthstone Assisted Living,(605) 323-6890,4001 S. Marion Rd.,Sioux Falls,SD,57106-1799,4001 S. Marion Rd.,Sioux Falls,SD,57106,58558,Minnehaha,40,"Mercural, Karen"
Bethesda of Beresford - ALC,(605) 763-2050,606 West Cedar,Beresford,SD,57004-1198,606 West Cedar,Beresford,SD,57004-1198,58917,Lincoln,8,"Hansen , Chris"
Avantara Arlington,(605) 983-5796,120 Care Center Road,Arlington,SD,57212-0280,Po Box 280,Arlington,SD,57212-0280,59013,Kingsbury,2,"Paulson, John"
Strand-Kjorsvig Community Rest Home ALC,(605) 486-4523,801 South Main St,Roslyn,SD,57261,PO Box 195,Roslyn,SD,57261,59168,Day,1,"Holler-EPH, Rachel"
Avantara Redﬁeld,(605) 472-2288,1015 East Third Street,Redﬁeld,SD,57469-1402,1015 East Third Street,Redﬁeld,SD,57469-1402,59210,Spink,1,"Forgey, Diane"
Sunset Manor Avera Health ALC,(605) 263-3318,129 E Clay St,Irene,SD,57037-2034,129 E Clay St,Irene,SD,57037-2034,59241,Clay,2,"Stockland, Robin"
"Aurora-Brule Nursing Home, Inc. ALC",(605) 249-2216,408 South Johnston St,White Lake,SD,57383,408 South Johnston St,White Lake,SD,57383,59424,Aurora,20,"Styles-EPH, Kathy"
Menno-Olivet Assisted Living,(605) 387-5139,402 S Pine St,Menno,SD,57045-0487,402 S Pine St,Menno,SD,57045-0487,59462,Hutchinson,8,"Bertsch, Kelsey"
Avantara Ipswich,(605) 426-6622,617 Bloemendaal Drive,Ipswich,SD,57451-0728,PO Box 728,Ipswich,SD,57451-0728,59478,Edmunds,2,"Huss, Theodore"
StoneyBrook Suites Assisted Living,(605) 242-0013,301 Dakota Dunes Blvd,Dakota Dunes,SD,57049,301 Dakota Dunes Blvd,Dakota Dunes,SD,57049,60139,Union,28,"Reynolds-intrim, Beth"
Morgan Lane Village,(605) 213-1200,540 Morgan Lane,Tea,SD,57064,540 Morgan Lane,Tea,SD,57064,61559,Lincoln,32,"Hindberg, Chad"
Belle Estate,(605) 723-3000,10905 Sourdough Rd,Belle Fourche,SD,57717,10905 Sourdough Rd,Belle Fourche,SD,57717,61655,Butte,20,"Sainsbury, Lindsey"
Clarkson Assisted Living,(605) 343-5882,1015 Mt View Rd,Rapid City,SD,57702,1015 Mt View Rd,Rapid City,SD,57702,62419,Pennington,5,"Knoll, Andrea"
Rosewood Court,(605) 995-0359,2101 N Sanborn Blvd,Mitchell,SD,57301,910 W Havens,Mitchell,SD,57301,63502,Davison,24,"Harris, Dave"
Twilight Vista Assisted Living,(605) 337-2477,211 S Iowa Ave,Platte,SD,57369,211 S Iowa Ave,Platte,SD,57369,64077,Charles Mix,16,"Keegel, Shelly"
Good Samaritan Society-Prairie Creek Assisted Living,(605) 331-5507,4312 W Creekside Circle,Sioux Falls,SD,57106,4400 W Creekside Drive,Sioux Falls,SD,57106,64097,Minnehaha,40,"Riniker, Alicia"
Bethany Home Sioux Falls,(605) 338-2351,1901 S Holly Ave,Sioux Falls,SD,57105,1901 S Holly Ave,Sioux Falls,SD,57105,65371,Minnehaha,27,"Herrboldt, Deborah"
Medicine Wheel Village,(605) 964-8155,24266 Airport Road,Eagle Butte,SD,57625,PO Box 800,Eagle Butte,SD,57625,65643,Ziebach,14,"Arbogast, Deb"
Aspen Grove Assisted Living,(605) 720-4738,2065 Moose Dr,Sturgis,SD,57785,2065 Moose Dr,Sturgis,SD,57785,65673,Meade,40,"Henderson, Teresa"
Hudson Care and Rehab Center,(605) 984-2244,720 Parkway,Hudson,SD,57034,720 Parkway,Hudson,SD,57034,65982,Lincoln,25,"Hansen , Chris"
Heritage Place,(605) 343-1919,4811 St. Martin Dr,Rapid City,SD,57702,4811 St. Martin Dr,Rapid City,SD,57702,66221,Pennington,38,"Richards, Kyle"
Edgewood Pierre LLC,(605) 494-3400,1950 East Fourth Street,Pierre,SD,57501,1950 East Fourth Street,Pierre,SD,57501,66437,Hughes,86,"Weyrich, Jennifer"
Wakonda Heritage Manor,(605) 267-2081,515 Ohio St,Wakonda,SD,57073-2013,515 Ohio St,Wakonda,SD,57073-2013,66468,Clay,3,"Stockland, Robin"
Avera Prince of Peace - The Lofts,(605) 322-5600,4513 Prince of Peace Place,Sioux Falls,SD,57103,4513 Prince of Peace Place,Sioux Falls,SD,57103,66658,Minnehaha,24,"Hinker, Justin"
Edgewood Prairie Crossings Watertown IL LLC,(605) 882-3084,901 14th Ave NE,Watertown,SD,57201,901 14th Ave NE,Watertown,SD,57201,67112,Codington,66,"Lempka, Robert"
Good Samaritan Society Prairie Creek Memory Care Assisted Living,(605) 331-5507,4309 W Creekside Circle,Sioux Falls,SD,57106,4309 W Creekside Circle,Sioux Falls,SD,57106,67392,Minnehaha,32,"O neill, Alecia"
Alcester Care and Rehab Center,(605) 934-2011,101 Church St,Alcester,SD,57001-0500,101 Church St,Alcester,SD,57001-0500,67414,Union,10,"Miller-EPH, Tiffany"
"Edgewood Prairie Crossings Sioux Falls, LLC",(605) 361-0056,1810 S Dorothy Ave,Sioux Falls,SD,57106,1810 S Dorothy Ave,Sioux Falls,SD,57106,67578,Minnehaha,68,"Dougherty, Carmen"
Peaceful Pines Senior Living,(605) 718-0542,1760 Tablerock Rd,Rapid City,SD,57701,1760 Tablerock Rd,Rapid City,SD,57701,67662,Pennington,70,"Boudreau, Diane"
Sanford Health Vermillion Dakota Gardens,(605) 677-3500,126 S Plum St,Vermillion,SD,57069,20 S Plum St,Vermillion,SD,57069,67663,Clay,29,"Tracy, Timothy"
Angelhaus North,(605) 229-7977,1005 Redwood Lane,Aberdeen,SD,57401,1005 Redwood Lane,Aberdeen,SD,57401,67664,Brown,11,"Pockat, Jennifer"
The Village at Skyline Pines,(605) 791-5111,1050 Fairmont Blvd,Rapid City,SD,57701,1050 Fairmont Blvd,Rapid City,SD,57701,67721,Pennington,100,"Back, Kelli"
