State Facility Type 2 Literal,Medicaid,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal
Enhanced Adult Residential Care,Yes,2486,45129,Fieldstone Memory Care of Wenatchee,817 Red Apple Road,Wenatchee,WA,98801,Chelan,(509) 884-3178,60,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1223,30510,HERITAGE HEIGHTS AT LAKE CHELAN,505 E HIGHLAND AVENUE,CHELAN,WA,98816,Chelan,(509) 682-1998,32,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2225,42145,HIGHGATE SENIOR LIVING,1320 S MILLER ST,WENATCHEE,WA,98801,Chelan,(509) 665-6695,75,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,1634,30812,MOUNTAIN MEADOWS,320 PARK AVE,LEAVENWORTH,WA,98826,Chelan,(509) 548-4076,60,Assisted Living Facility
No Contract,Yes,2393,44288,Prestige Senior Living at Colonial Vista,601 OKANOGAN AVE,WENATCHEE,WA,98801,Chelan,(509) 663-3337,55,Assisted Living Facility
Assisted Living SOW,Yes,1462,30694,RIVERWEST RETIREMENT COMMUNITY,900 N WESTERN AVE,WENATCHEE,WA,98801,Chelan,(509) 662-2797,56,Assisted Living Facility
No Contract,Yes,713,30139,Arlene Engel Home,138 W 2ND ST,PORT ANGELES,WA,98362,Clallam,(360) 452-3831,19,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2560,46606,Discovery Memory Care,408 W Washington St,Sequim,WA,98382,Clallam,(360) 683-7047,58,Assisted Living Facility
No Contract,Yes,1328,30595,DUNGENESS COURTE ALZHEIMERS COMMUNITY,651 N GARRY OAK DR,SEQUIM,WA,98382,Clallam,(360) 582-9309,40,Assisted Living Facility
No Contract,Yes,1823,30946,GOLDEN YEARS RESIDENTIAL CARE HOME,202 BIRDSONG LANE,PORT ANGELES,WA,98362,Clallam,(360) 452-1566,16,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care",Yes,2378,44047,Highland Court Memory Care,1704 Melody Ln,Port Angeles,WA,98362,Clallam,(360) 452-9086,43,Assisted Living Facility
Assisted Living SOW,Yes,2545,46070,Laurel Place,1133 E Park Ave,Port Angeles,WA,98362,Clallam,(360) 452-7201,45,Assisted Living Facility
No Contract,Yes,2332,43702,Park View Villas,1430 Park View Lane,Port Angeles,WA,98363,Clallam,(360) 452-7222,65,Assisted Living Facility
No Contract,Yes,646,30110,SHERWOOD ASSISTED LIVING,550 W HENDRICKSON RD,SEQUIM,WA,98382,Clallam,(360) 683-3348,107,Assisted Living Facility
No Contract,Yes,2187,42042,Sinclair Place,680 W Prairie St,Sequim,WA,98382,Clallam,(360) 681-3385,68,Assisted Living Facility
Assisted Living SOW,Yes,1195,30488,ST ANDREWS PLACE ASSISTED LIVING,520 EAST PARK AVE,PORT ANGELES,WA,98362,Clallam,(360) 417-3418,41,Assisted Living Facility
Assisted Living SOW,Yes,1588,30780,ARBOR RIDGE ASSISTED LIVING,9501 NE Hazel Dell Ave,Vancouver,WA,98665,Clark,(360) 576-8883,67,Assisted Living Facility
No Contract,Yes,2321,42436,Bonaventure of Salmon Creek,13700 NE Salmon Creek Ave,Vancouver,WA,98686,Clark,(360) 816-4221,89,Assisted Living Facility
No Contract,Yes,2535,45344,Bonaventure of Vancouver,9317 NE 86th Street,Vancouver,WA,98662,Clark,,88,Assisted Living Facility
Assisted Living SOW,Yes,2261,42360,Brookdale Fishers Landing,17171 SE 22ND DR,VANCOUVER,WA,98683,Clark,(360) 885-1400,91,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2308,42389,Brookdale Vancouver Stonebridge,7900 NE Vancouver Mall Dr,Vancouver,WA,98662,Clark,(360) 882-8800,80,Assisted Living Facility
Assisted Living SOW,Yes,784,30164,CASCADE RETIREMENT INN,11613 SE 7th St,Vancouver,WA,98683,Clark,(360) 254-3555,170,Assisted Living Facility
No Contract,Yes,2579,46735,Clearwater Springs Assisted Living,201 NW 78th St,Vancouver,WA,98665,Clark,(360) 546-3344,95,Assisted Living Facility
No Contract,Yes,2472,45281,Cogir Vancouver Orchards,10011 NE 118th Ave,Vancouver,WA,98682,Clark,(360) 896-6081,90,Assisted Living Facility
Assisted Living SOW,Yes,1521,30730,COLUMBIA RIDGE ASSISTED LIVING,2300 W 9TH STREET,WASHOUGAL,WA,98671,Clark,(360) 335-1238,74,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2546,46072,Creekside Place,208 SW 20th Ave,Battle Ground,WA,98604,Clark,,40,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1169,30462,"EVERGREEN INN, THE",500 MAIN ST,VANCOUVER,WA,98660,Clark,(360) 696-4000,85,Assisted Living Facility
No Contract,Yes,2349,43766,Evergreen Place,2610 SE 164th Ave,Vancouver,WA,98683,Clark,(360) 813-6885,44,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,2537,45971,Fort Vancouver Assisted Living,8422 NE 8th Way,Vancouver,WA,98664,Clark,(360) 256-2980,50,Assisted Living Facility
Assisted Living SOW,Yes,1479,30707,GLENWOOD PLACE SENIOR LIVING,5500 NE 82ND AVENUE,VANCOUVER,WA,98662,Clark,(360) 892-1100,253,Assisted Living Facility
No Contract,Yes,2233,42146,Highgate Senior Living,9803 NE Hazel Dell Ave,Vancouver,WA,98665,Clark,(360) 571-7272,71,Assisted Living Facility
No Contract,Yes,2356,43756,Kent Place,2647 NW Kent St,Camas,WA,98607,Clark,(360) 834-3988,42,Assisted Living Facility
Assisted Living SOW,Yes,2398,44307,Mallard Landing Senior Assisted Living Community,813 SE Clark Ave,Battle ground,WA,98604,Clark,(360) 687-0123,85,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2384,44309,Pacifica Senior Living Vancouver,2410 NE 112th Ave,Vancouver,WA,98684,Clark,(360) 619-5245,72,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1615,30800,PRESTIGE ASSISTED LIVING AT HAZEL DELL,7514 NE 13TH AVE,VANCOUVER,WA,98665,Clark,(360) 693-2402,75,Assisted Living Facility
Assisted Living SOW,Yes,2237,42170,Prestige Senior Living Bridgewood,11700 NE Angelo Dr,Vancouver,WA,98684,Clark,(360) 254-4666,80,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2252,42286,Ridgefield Living Center,104 Pioneer St,Ridgefield,WA,98642,Clark,(360) 887-5066,38,Assisted Living Facility
No Contract,Yes,2414,44424,Stephen's Place,501 SE Ellsworth Rd,Vancouver,WA,98664,Clark,(360) 984-3600,30,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,1946,38918,The Hampton Alzheimers Community,1617 SE Talton Ave,Vancouver,WA,98683,Clark,(360) 256-8513,85,Assisted Living Facility
No Contract,Yes,2227,42173,The Hampton at Salmon Creek Memory Care Community,2305 NE 129th Street,Vancouver,WA,98686,Clark,(360) 949-7647,68,Assisted Living Facility
No Contract,Yes,1991,39412,The Quarry Senior Living at Columbia Tech Center,415 SE 177th Ave,Vancouver,WA,98683,Clark,(360) 944-6000,220,Assisted Living Facility
No Contract,Yes,1189,30482,Touchmark at Fairway Village,2911 SE Village Loop,Vancouver,WA,98683,Clark,(360) 254-2866,140,Assisted Living Facility
No Contract,Yes,972,30285,VAN MALL RETIREMENT,7808 NE 51ST ST,VANCOUVER,WA,98662,Clark,(360) 896-9140,75,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2529,45983,Van Vista Assisted Living,410 W 13th St,Vancouver,WA,98660,Clark,(360) 750-4665,97,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2117,40937,Windsor Gardens Inc,1602 NE 162nd Ave,Vancouver,WA,98684,Clark,(360) 944-7419,12,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1028,30328,WOODLAND ASSISTED LIVING,310 4th St,Woodland,WA,98674,Clark,(360) 225-9443,32,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,1180,30473,Patit Creek Adult Residential Care,423 W Main St,Dayton,WA,99328,Columbia,(509) 382-2410,30,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,1580,30776,CANTERBURY GARDENS,1457 3rd Ave,Longview,WA,98632,Cowlitz,(360) 423-2200,72,Assisted Living Facility
No Contract,Yes,1581,30777,CANTERBURY RETIREMENT INN,1324 3rd Ave,Longview,WA,98632,Cowlitz,(360) 425-7947,140,Assisted Living Facility
Assisted Living SOW,Yes,1574,30771,DELAWARE PLAZA RETIREMENT INN,926 Delaware St,Longview,WA,98632,Cowlitz,(360) 423-3333,108,Assisted Living Facility
No Contract,Yes,2348,43759,Highlander Place,114 Corduroy Rd,Kelso,WA,98626,Cowlitz,(360) 636-2319,40,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2380,44194,Kleine Enterprises DBA The Villager LLC,420 1st Ave SW,Castle Rock,WA,98611,Cowlitz,(360) 274-7944,35,Assisted Living Facility
Assisted Living SOW,Yes,1590,30782,NEW WESTSIDE TERRACE (NWST),1200 17TH AVENUE,LONGVIEW,WA,98632,Cowlitz,(360) 423-9392,62,Assisted Living Facility
Assisted Living SOW,Yes,2238,42168,Prestige Senior Living Monticello Park,605 Broadway St,Longview,WA,98632,Cowlitz,(360) 575-1778,95,Assisted Living Facility
Assisted Living SOW,Yes,1461,30693,SOMERSET RETIREMENT APARTMENTS,2025 TIBBETTS DR,LONGVIEW,WA,98632,Cowlitz,(360) 423-7392,56,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2324,42339,Amber Waves ALF LLC,302 East Ash Street,Waterville,WA,98858,Douglas,(509) 745-8187,15,Assisted Living Facility
No Contract,Yes,2026,39725,BONAVENTURE OF EAST WENATCHEE,50 29TH STREET NW,EAST WENATCHEE,WA,98802,Douglas,(509) 881-2093,149,Assisted Living Facility
No Contract,Yes,2580,46794,Kadie Glen Assisted Living,451 North Baker Ave,East Wenatchee,WA,98802,Douglas,(509) 884-9555,64,Assisted Living Facility
Assisted Living Facility (ALF),Yes,2391,44289,Prestige Senior Living at East Wenatchee,589 HIGHLINE DR,EAST WENATCHEE,WA,98802,Douglas,(509) 884-3938,42,Assisted Living Facility
Assisted Living SOW,Yes,1941,30969,KLONDIKE HILLS,36 KLONDIKE RD,REPUBLIC,WA,991660000,Ferry,(509) 775-3333,16,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2515,45617,Rosetta Pasco,5921 Road 60,Pasco,WA,99301,Franklin,(208) 391-2520,46,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2549,46367,Tri-Cities Assisted Living,2000 N 22nd Ave,Pasco,WA,99301,Franklin,(509) 547-2466,115,Assisted Living Facility
Assisted Living SOW,Yes,2463,45020,Avamere at Moses Lake,8425 Aspi Blvd NE,Moses Lake,WA,98837,Grant,(509) 762-9115,85,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2524,45655,Brookdale Hearthstone Moses Lake,905 S Pioneer Way,Moses Lake,WA,98837,Grant,(509) 765-2121,100,Assisted Living Facility
Assisted Living SOW,Yes,1199,30492,Garden Oasis,200 NAT WASHINGTON WAY,Ephrata,WA,98823,Grant,(509) 754-4631,32,Assisted Living Facility
No Contract,Yes,2532,45713,"Monroe House, A Senior Living Community",1405 S MONROE ST,MOSES LAKE,WA,98837,Grant,(509) 765-2200,41,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care",Yes,2514,45604,Summer Wood Alzheimer's Special Care Center,830 NW Sunburst Ct,Moses Lake,WA,98837,Grant,(509) 764-1900,56,Assisted Living Facility
Assisted Living SOW,Yes,1716,30865,THE CAMBRIDGE,301 H ST SW,QUINCY,WA,98848,Grant,(509) 797-9555,36,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2148,41739,Beehive Retirement and Assisted Living Community,401 W Maple St,McCleary,WA,98557,Grays Harbor,(360) 495-3555,61,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2264,42370,Brookdale Ocean Shores,1020 CATALA AVENUE SE,OCEAN SHORES,WA,98569,Grays Harbor,(360) 289-9663,54,Assisted Living Facility
Assisted Living SOW,Yes,874,30215,CHANNEL POINT VILLAGE,907 K St,Hoquiam,WA,98550,Grays Harbor,(360) 532-9000,55,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2383,44253,Elma Home Care,901 West Young St,Elma,WA,98541,Grays Harbor,(360) 482-2684,26,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2363,44012,Riverside Place,1649 Broadway Ave,Hoquiam,WA,98550,Grays Harbor,(360) 532-3007,38,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2152,41742,Westhaven Villa,1000 Anderson Dr,Aberdeen,WA,98520,Grays Harbor,(360) 538-9983,54,Assisted Living Facility
Assisted Living SOW,Yes,894,30227,HARBOR TOWER VILLAGE INC,100 E WHIDBEY AVE,OAK HARBOR,WA,98277,Island,(360) 675-2569,22,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2501,45557,Homeplace Special Care Center at Oak Harbor,171 SW 6TH AVE,OAK HARBOR,WA,98277,Island,(360) 279-2555,50,Assisted Living Facility
No Contract,Yes,1966,39069,Maple Ridge Assisted Living Community,1767 Alliance Avenue,Freeland,WA,98249,Island,(360) 331-1303,81,Assisted Living Facility
"Specialized Dementia Care, Assisted Living SOW",Yes,1738,30882,REGENCY ON WHIDBEY,1045 SW KIMBALL DR,OAK HARBOR,WA,98277,Island,(360) 279-0933,41,Assisted Living Facility
Assisted Living SOW,Yes,1739,30883,REGENCY ON WHIDBEY,1040 SW KIMBALL DRIVE,OAK HARBOR,WA,98277,Island,(360) 279-0933,73,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1839,30960,SUMMER HILL,165 SW 6TH AVE,OAK HARBOR,WA,982770000,Island,(360) 679-1400,70,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2424,44475,Welcome Home (Oak Harbor Senior Memory Care),235 SW 6TH AVE,OAK HARBOR,WA,98277,Island,(360) 682-5998,55,Assisted Living Facility
Assisted Living SOW,Yes,2408,44334,Avamere at Port Townsend,1201 Hancock St,Port Townsend,WA,98368,Jefferson,(360) 379-9376,90,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2143,41741,San Juan Villa,112 Castellano Way,Port Townsend,WA,98368,Jefferson,(360) 344-3114,32,Assisted Living Facility
No Contract,Yes,2185,42039,Victoria Place,491 Discovery Rd,Port Townsend,WA,98368,Jefferson,(360) 638-3845,39,Assisted Living Facility
No Contract,Yes,2505,45681,*Welcome Home Assisted Living LLC,738 N 200TH ST.,SHORELINE,WA,98133,King,(206) 546-1679,8,Assisted Living Facility
No Contract,Yes,1622,30803,AEGIS ASSISTED LIVING OF KIRKLAND,13000 Totem Lake Blvd NE,Kirkland,WA,98034,King,(425) 823-7272,60,Assisted Living Facility
No Contract,Yes,1627,30807,AEGIS AT CALLAHAN HOUSE,15100 1st Ave NE,Shoreline,WA,98155,King,(206) 417-9747,59,Assisted Living Facility
No Contract,Yes,2435,44374,Aegis Gardens at Newcastle,13056 SE 76th St,Newcastle,WA,98056,King,(425) 970-6708,140,Assisted Living Facility
No Contract,Yes,2455,44636,Aegis Living at Ravenna,8511 15th Ave NE,Seattle,WA,98115,King,,104,Assisted Living Facility
No Contract,Yes,2567,46491,Aegis Living Bellevue Overlake,1845 116th Ave NE,Bellevue,WA,98004,King,(425) 233-6030,160,Assisted Living Facility
No Contract,Yes,2454,44848,Aegis Living of West Seattle,4700 SW Admiral Way,Seattle,WA,98116,King,(206) 436-0500,100,Assisted Living Facility
No Contract,Yes,2492,45356,Aegis Lodge of Kirkland,12629 116TH AVE NE,KIRKLAND,WA,98034,King,,96,Assisted Living Facility
No Contract,Yes,2491,45355,Aegis of Bellevue,148 102nd Ave SE,Bellevue,WA,98004,King,,101,Assisted Living Facility
No Contract,Yes,1997,39713,AEGIS OF ISSAQUAH,780 NW JUNIPER STREET,ISSAQUAH,WA,98027,King,(425) 392-8100,100,Assisted Living Facility
No Contract,Yes,2241,41998,AEGIS OF MADISON,2200 E Madison St,Seattle,WA,98112,King,(206) 325-1600,125,Assisted Living Facility
No Contract,Yes,2209,41972,AEGIS OF MARYMOOR,4585 WEST LAKE SAMMAMISH PARKWAY NE,REDMOND,WA,98052,King,(425) 497-0900,72,Assisted Living Facility
No Contract,Yes,2509,45398,Aegis of Mercer Island,7445 SE 24th Street,Mercer Island,WA,98040,King,(206) 602-1365,128,Assisted Living Facility
No Contract,Yes,2381,43932,Aegis of Queen Anne at Rodgers Park,2900 3rd Ave W,Seattle,WA,98119,King,(206) 858-9989,150,Assisted Living Facility
No Contract,Yes,2339,43768,Aegis of Queen Anne on Galer,223 W Galer St,Seattle,WA,98119,King,(206) 285-1106,68,Assisted Living Facility
No Contract,Yes,1944,38914,AEGIS SENIOR INN OF KENT,10421 SE 248th St,Kent,WA,98030,King,(253) 520-8400,48,Assisted Living Facility
No Contract,Yes,1804,30931,AEGIS SENIOR INN OF REDMOND,7480 W LAKE SAMMAMISH PKWY NE,REDMOND,WA,98052,King,(425) 883-4000,52,Assisted Living Facility
No Contract,Yes,1803,30930,AEGIS SENIOR LIVING OF SHORELINE,14900 1ST AVENUE NE,SHORELINE,WA,98155,King,(206) 367-6700,130,Assisted Living Facility
No Contract,Yes,2019,39587,ALJOYA MERCER ISLAND,2430 76TH AVENUE SE,MERCER ISLAND,WA,98040,King,(206) 230-0150,35,Assisted Living Facility
No Contract,Yes,2040,40268,ALJOYA THORNTON PLACE,450 NE 100TH STREET,SEATTLE,WA,98125,King,(206) 470-8000,35,Assisted Living Facility
No Contract,Yes,1993,39576,ARBOR VILLAGE RETIREMENT & ASSISTED LIVING COMMUNITY,24121 116TH AVE SE,KENT,WA,98030,King,(253) 856-1600,100,Assisted Living Facility
No Contract,Yes,2055,40235,BALLARD LANDMARK,5433 LEARY AVENUE NW,SEATTLE,WA,98107,King,(206) 782-4000,60,Assisted Living Facility
No Contract,Yes,162,30011,BAYVIEW MANOR HOMES,11 W Aloha St,Seattle,WA,981199963,King,(206) 284-7330,51,Assisted Living Facility
No Contract,Yes,606,30096,BEVERLY PARK GROUP HOME,150 SW 114TH ST,SEATTLE,WA,98146,King,(206) 241-2049,8,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2390,43960,Brannan Park Assisted Living and Memory Care Community,2901 I Street NE,Auburn,WA,98002,King,(253) 736-2800,90,Assisted Living Facility
No Contract,Yes,2544,46201,Briarwood at Timber Ridge,100 Timber Ridge Way NW,Issaquah,WA,98027,King,(425) 427-5200,35,Assisted Living Facility
No Contract,Yes,2306,42355,Brookdale Admiral Heights,2326 CALIFORNIA AVE SW,SEATTLE,WA,98116,King,(206) 866-1711,55,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2526,45656,Brookdale Federal Way,31002 14th Ave S,Federal Way,WA,98003,King,(253) 941-0156,110,Assisted Living Facility
No Contract,Yes,1917,30970,Brookdale Foundation House,32290 1st Ave S,Federal Way,WA,98003,King,(253) 838-8823,129,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2296,42392,Brookdale Renton,71 SW VICTORIA ST,RENTON,WA,98057,King,(425) 226-8977,105,Assisted Living Facility
No Contract,Yes,2319,42369,Brookdale West Seattle,4611 35TH AVE SW,SEATTLE,WA,98126,King,(206) 932-5480,60,Assisted Living Facility
Assisted Living SOW,Yes,2541,46073,Cascade Place,2000 Mountain View Dr,Enumclaw,WA,98022,King,,40,Assisted Living Facility
No Contract,Yes,2228,41982,CHATEAU AT BOTHELL LANDING RETIREMENT COMMUNITY,17543 102ND AVENUE NE,BOTHELL,WA,98011,King,(425) 485-1155,142,Assisted Living Facility
No Contract,Yes,2230,41980,CHATEAU AT VALLEY CENTER RETIREMENT COMMUNITY,4450 Davis Ave S,Renton,WA,98055,King,(425) 251-6677,120,Assisted Living Facility
No Contract,Yes,2474,45279,Cogir Northgate,11501 15th Ave NE,Seattle,WA,98125,King,(206) 362-7250,85,Assisted Living Facility
No Contract,Yes,2473,45282,Cogir Queen Anne,805 4th Ave N,Seattle,WA,98109,King,,100,Assisted Living Facility
No Contract,Yes,958,30277,Covenant Living West,9115 FORTUNA DRIVE,MERCER ISLAND,WA,98040,King,(206) 316-8042,55,Assisted Living Facility
No Contract,Yes,770,30158,CRISTWOOD RETIREMENT COMMUNITY,19303 Fremont Ave N,Shoreline,WA,98133,King,(206) 546-7573,90,Assisted Living Facility
No Contract,Yes,516,30068,CROWN HILL GROUP HOME,9523 15TH AVE NW,SEATTLE,WA,98117,King,(206) 782-4293,6,Assisted Living Facility
