State Facility Type 2 Literal,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal,Date Accessed
ENHANCED ADULT RESIDENTIAL CARE,2511,45603,Callaway Gardens Alzheimers Special Care Center,5505 W SKAGIT CT,Kennewick,WA,99336,Benton,(509) 783-5433,56,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2459,45089,Creekstone Care Homes Llc,3321 W 10TH AVE,Kennewick,WA,99336,Benton,,28,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2449,44923,Fieldstone Grandridge Independent And Assisted Living,7255 W GRANDRIDGE BLVD,Kennewick,WA,99336,Benton,(509) 491-3946,102,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2448,44922,Fieldstone Memory Care Of Kennewick,575 N YOUNG ST,Kennewick,WA,99336,Benton,(509) 491-3945,69,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",1513,30723,Guardian Angel Homes (The Cottage),245 VAN GIESEN ST,Richland,WA,99354,Benton,(509) 943-2100,96,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1268,30548,Hawthorne Court,524 N ELY ST,Kennewick,WA,99336,Benton,(509) 783-8313,62,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2025,40208,Parkview Estates,7820 W 6TH AVE,Kennewick,WA,99336,Benton,(509) 734-9773,110,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2150,41835,Prestige Assisted Living At Richland,1745 PIKE AVE,Richland,WA,993542295,Benton,(509) 946-8095,26,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1526,30733,"Rosetta Assisted Living,  Fisher",520 N FISHER STREET,Kennewick,WA,99336,Benton,(509) 734-3311,16,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1614,30799,"Rosetta Assisted Living, Hoxie",1939 HOXIE AVE,Richland,WA,99354,Benton,(509) 943-5411,16,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1527,30734,"Rosetta Assisted Living, Olympia",1208 W 11TH PL,Kennewick,WA,99337,Benton,(509) 582-3832,16,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2581,46796,Royal Columbian Senior Living,5615 W UMATILLA AVE,Kennewick,WA,99336,Benton,(509) 591-9974,96,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2206,41933,Ruan'S Garden,3502 W 4TH AVE,Kennewick,WA,99336,Benton,(509) 783-9305,15,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",1440,30675,Sun Terrace Prosser,2131 WINE COUNTRY ROAD,Prosser,WA,99350,Benton,(509) 786-3300,95,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2536,46079,Three Rivers Place Senior Living,1108 W 5TH AVE,Kennewick,WA,99336,Benton,,42,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2540,46053,Windsong At Southridge,4000 W 24TH AVENUE,Kennewick,WA,99338,Benton,(509) 202-4327,56,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2415,44333,Avamere At Wenatchee,1550 CHERRY STREET,Wenatchee,WA,98801,Chelan,(509) 662-8646,84,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2395,44304,Blossom Creek Senior Alzheimer Community,1740 MADISON ST,Wenatchee,WA,988014700,Chelan,(509) 662-3500,50,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2397,44306,Blossom Valley Senior Assisted Living Community,1701 ORCHARD AVE,Wenatchee,WA,98801,Chelan,(509) 667-0990,80,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2067,40850,Christopher House,100 S CLEVELAND AVE,Wenatchee,WA,98801,Chelan,(509) 888-0773,77,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1422,30661,Epledalen Retirement & Assisted Living,809 PIONEER AVENUE,Cashmere,WA,98815,Chelan,(509) 782-7600,39,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2486,45129,Fieldstone Memory Care Of Wenatchee,817 RED APPLE ROAD,Wenatchee,WA,98801,Chelan,(509) 884-3178,60,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1223,30510,Heritage Heights At Lake Chelan,505 E HIGHLAND AVENUE,Chelan,WA,98816,Chelan,(509) 682-1998,32,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2225,42145,Highgate Senior Living,1320 S MILLER ST,Wenatchee,WA,98801,Chelan,(509) 665-6695,75,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",1634,30812,Mountain Meadows,320 PARK AVE,Leavenworth,WA,98826,Chelan,(509) 548-4076,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2393,44288,Prestige Senior Living At Colonial Vista,601 OKANOGAN AVE,Wenatchee,WA,98801,Chelan,(509) 663-3337,55,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1462,30694,Riverwest Retirement Community,900 N WESTERN AVE,Wenatchee,WA,98801,Chelan,(509) 662-2797,56,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,713,30139,Arlene Engel Home,138 W 2ND ST,Port Angeles,WA,98362,Clallam,(360) 452-3831,19,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2560,46606,Discovery Memory Care,408 W WASHINGTON ST,Sequim,WA,98382,Clallam,(360) 683-7047,58,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1328,30595,Dungeness Courte Alzheimers Community,651 N GARRY OAK DR,Sequim,WA,98382,Clallam,(360) 582-9309,40,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1823,30946,Golden Years Residential Care Home,202 BIRDSONG LANE,Port Angeles,WA,98362,Clallam,(360) 452-1566,16,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",2378,44047,Highland Court Memory Care,1704 MELODY LN,Port Angeles,WA,98362,Clallam,(360) 452-9086,43,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2545,46070,Laurel Place,1133 E PARK AVE,Port Angeles,WA,98362,Clallam,(360) 452-7201,45,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2332,43702,Park View Villas,1430 PARK VIEW LANE,Port Angeles,WA,98363,Clallam,(360) 452-7222,65,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,646,30110,Sherwood Assisted Living,550 W HENDRICKSON RD,Sequim,WA,98382,Clallam,(360) 683-3348,107,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2187,42042,Sinclair Place,680 W PRAIRIE ST,Sequim,WA,98382,Clallam,(360) 681-3385,68,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1195,30488,St Andrews Place Assisted Living,520 EAST PARK AVE,Port Angeles,WA,98362,Clallam,(360) 417-3418,41,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1588,30780,Arbor Ridge Assisted Living,9501 NE HAZEL DELL AVE,Vancouver,WA,98665,Clark,(360) 576-8883,67,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2321,42436,Bonaventure Of Salmon Creek,13700 NE SALMON CREEK AVE,Vancouver,WA,98686,Clark,(360) 816-4221,89,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2535,45344,Bonaventure Of Vancouver,9317 NE 86TH STREET,Vancouver,WA,98662,Clark,,88,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2261,42360,Brookdale Fishers Landing,17171 SE 22ND DR,Vancouver,WA,98683,Clark,(360) 885-1400,91,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2308,42389,Brookdale Vancouver Stonebridge,7900 NE VANCOUVER MALL DR,Vancouver,WA,98662,Clark,(360) 882-8800,80,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,784,30164,Cascade Retirement Inn,11613 SE 7TH ST,Vancouver,WA,98683,Clark,(360) 254-3555,170,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2579,46735,Clearwater Springs Assisted Living,201 NW 78TH ST,Vancouver,WA,98665,Clark,(360) 546-3344,95,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2472,45281,Cogir Vancouver Orchards,10011 NE 118TH AVE,Vancouver,WA,98682,Clark,(360) 896-6081,90,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1521,30730,Columbia Ridge Assisted Living,2300 W 9TH STREET,Washougal,WA,98671,Clark,(360) 335-1238,74,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2546,46072,Creekside Place,208 SW 20TH AVE,Battle Ground,WA,98604,Clark,,40,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1169,30462,"Evergreen Inn, The",500 MAIN ST,Vancouver,WA,98660,Clark,(360) 696-4000,85,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2349,43766,Evergreen Place,2610 SE 164TH AVE,Vancouver,WA,98683,Clark,(360) 813-6885,44,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2537,45971,Fort Vancouver Assisted Living,8422 NE 8TH WAY,Vancouver,WA,98664,Clark,(360) 256-2980,50,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1479,30707,Glenwood Place Senior Living,5500 NE 82ND AVENUE,Vancouver,WA,98662,Clark,(360) 892-1100,253,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2233,42146,Highgate Senior Living,9803 NE HAZEL DELL AVE,Vancouver,WA,98665,Clark,(360) 571-7272,71,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2356,43756,Kent Place,2647 NW KENT ST,Camas,WA,98607,Clark,(360) 834-3988,42,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2398,44307,Mallard Landing Senior Assisted Living Community,813 SE CLARK AVE,Battle Ground,WA,98604,Clark,(360) 687-0123,85,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2384,44309,Pacifica Senior Living Vancouver,2410 NE 112TH AVE,Vancouver,WA,98684,Clark,(360) 619-5245,72,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1615,30800,Prestige Assisted Living At Hazel Dell,7514 NE 13TH AVE,Vancouver,WA,98665,Clark,(360) 693-2402,75,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2237,42170,Prestige Senior Living Bridgewood,11700 NE ANGELO DR,Vancouver,WA,98684,Clark,(360) 254-4666,80,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2252,42286,Ridgefield Living Center,104 PIONEER ST,Ridgefield,WA,98642,Clark,(360) 887-5066,38,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2414,44424,Stephen'S Place,501 SE ELLSWORTH RD,Vancouver,WA,98664,Clark,(360) 984-3600,30,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",1946,38918,The Hampton Alzheimers Community,1617 SE TALTON AVE,Vancouver,WA,98683,Clark,(360) 256-8513,85,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2227,42173,The Hampton At Salmon Creek Memory Care Community,2305 NE 129TH STREET,Vancouver,WA,98686,Clark,(360) 949-7647,68,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1991,39412,The Quarry Senior Living At Columbia Tech Center,415 SE 177TH AVE,Vancouver,WA,98683,Clark,(360) 944-6000,220,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1189,30482,Touchmark At Fairway Village,2911 SE VILLAGE LOOP,Vancouver,WA,98683,Clark,(360) 254-2866,140,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,972,30285,Van Mall Retirement,7808 NE 51ST ST,Vancouver,WA,98662,Clark,(360) 896-9140,75,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2529,45983,Van Vista Assisted Living,410 W 13TH ST,Vancouver,WA,98660,Clark,(360) 750-4665,97,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2117,40937,Windsor Gardens Inc,1602 NE 162ND AVE,Vancouver,WA,98684,Clark,(360) 944-7419,12,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1028,30328,Woodland Assisted Living,310 4TH ST,Woodland,WA,98674,Clark,(360) 225-9443,32,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1180,30473,Patit Creek Adult Residential Care,423 W MAIN ST,Dayton,WA,99328,Columbia,(509) 382-2410,30,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",1580,30776,Canterbury Gardens,1457 3RD AVE,Longview,WA,98632,Cowlitz,(360) 423-2200,72,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1581,30777,Canterbury Retirement Inn,1324 3RD AVE,Longview,WA,98632,Cowlitz,(360) 425-7947,140,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1574,30771,Delaware Plaza Retirement Inn,926 DELAWARE ST,Longview,WA,98632,Cowlitz,(360) 423-3333,108,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2348,43759,Highlander Place,114 CORDUROY RD,Kelso,WA,98626,Cowlitz,(360) 636-2319,40,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2380,44194,Kleine Enterprises Dba The Villager Llc,420 1ST AVE SW,Castle Rock,WA,98611,Cowlitz,(360) 274-7944,35,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1590,30782,New Westside Terrace (Nwst),1200 17TH AVENUE,Longview,WA,98632,Cowlitz,(360) 423-9392,62,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2238,42168,Prestige Senior Living Monticello Park,605 BROADWAY ST,Longview,WA,98632,Cowlitz,(360) 575-1778,95,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1461,30693,Somerset Retirement Apartments,2025 TIBBETTS DR,Longview,WA,98632,Cowlitz,(360) 423-7392,56,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2324,42339,Amber Waves Alf Llc,302 EAST ASH STREET,Waterville,WA,98858,Douglas,(509) 745-8187,15,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2026,39725,Bonaventure Of East Wenatchee,50 29TH STREET NW,East Wenatchee,WA,98802,Douglas,(509) 881-2093,149,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2580,46794,Kadie Glen Assisted Living,451 NORTH BAKER AVE,East Wenatchee,WA,98802,Douglas,(509) 884-9555,64,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING FACILITY (ALF),2391,44289,Prestige Senior Living At East Wenatchee,589 HIGHLINE DR,East Wenatchee,WA,98802,Douglas,(509) 884-3938,42,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1941,30969,Klondike Hills,36 KLONDIKE RD,Republic,WA,991660000,Ferry,(509) 775-3333,16,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2515,45617,Rosetta Pasco,5921 ROAD 60,Pasco,WA,99301,Franklin,(208) 391-2520,46,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2549,46367,Tri-Cities Assisted Living,2000 N 22ND AVE,Pasco,WA,99301,Franklin,(509) 547-2466,115,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2463,45020,Avamere At Moses Lake,8425 ASPI BLVD NE,Moses Lake,WA,98837,Grant,(509) 762-9115,85,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2524,45655,Brookdale Hearthstone Moses Lake,905 S PIONEER WAY,Moses Lake,WA,98837,Grant,(509) 765-2121,100,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1199,30492,Garden Oasis,200 NAT WASHINGTON WAY,Ephrata,WA,98823,Grant,(509) 754-4631,32,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2532,45713,"Monroe House, A Senior Living Community",1405 S MONROE ST,Moses Lake,WA,98837,Grant,(509) 765-2200,41,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",2514,45604,Summer Wood Alzheimer'S Special Care Center,830 NW SUNBURST CT,Moses Lake,WA,98837,Grant,(509) 764-1900,56,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1716,30865,The Cambridge,301 H ST SW,Quincy,WA,98848,Grant,(509) 797-9555,36,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2148,41739,Beehive Retirement And Assisted Living Community,401 W MAPLE ST,Mccleary,WA,98557,Grays Harbor,(360) 495-3555,61,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2264,42370,Brookdale Ocean Shores,1020 CATALA AVENUE SE,Ocean Shores,WA,98569,Grays Harbor,(360) 289-9663,54,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,874,30215,Channel Point Village,907 K ST,Hoquiam,WA,98550,Grays Harbor,(360) 532-9000,55,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2383,44253,Elma Home Care,901 WEST YOUNG ST,Elma,WA,98541,Grays Harbor,(360) 482-2684,26,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2363,44012,Riverside Place,1649 BROADWAY AVE,Hoquiam,WA,98550,Grays Harbor,(360) 532-3007,38,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2152,41742,Westhaven Villa,1000 ANDERSON DR,Aberdeen,WA,98520,Grays Harbor,(360) 538-9983,54,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,894,30227,Harbor Tower Village Inc,100 E WHIDBEY AVE,Oak Harbor,WA,98277,Island,(360) 675-2569,22,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2501,45557,Homeplace Special Care Center At Oak Harbor,171 SW 6TH AVE,Oak Harbor,WA,98277,Island,(360) 279-2555,50,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1966,39069,Maple Ridge Assisted Living Community,1767 ALLIANCE AVENUE,Freeland,WA,98249,Island,(360) 331-1303,81,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ASSISTED LIVING SOW",1738,30882,Regency On Whidbey,1045 SW KIMBALL DR,Oak Harbor,WA,98277,Island,(360) 279-0933,41,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1739,30883,Regency On Whidbey,1040 SW KIMBALL DRIVE,Oak Harbor,WA,98277,Island,(360) 279-0933,73,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1839,30960,Summer Hill,165 SW 6TH AVE,Oak Harbor,WA,982770000,Island,(360) 679-1400,70,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2424,44475,Welcome Home (Oak Harbor Senior Memory Care),235 SW 6TH AVE,Oak Harbor,WA,98277,Island,(360) 682-5998,55,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2408,44334,Avamere At Port Townsend,1201 HANCOCK ST,Port Townsend,WA,98368,Jefferson,(360) 379-9376,90,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2143,41741,San Juan Villa,112 CASTELLANO WAY,Port Townsend,WA,98368,Jefferson,(360) 344-3114,32,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2185,42039,Victoria Place,491 DISCOVERY RD,Port Townsend,WA,98368,Jefferson,(360) 638-3845,39,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2505,45681,*Welcome Home Assisted Living Llc,738 N 200TH ST.,Shoreline,WA,98133,King,(206) 546-1679,8,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1622,30803,Aegis Assisted Living Of Kirkland,13000 TOTEM LAKE BLVD NE,Kirkland,WA,98034,King,(425) 823-7272,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1627,30807,Aegis At Callahan House,15100 1ST AVE NE,Shoreline,WA,98155,King,(206) 417-9747,59,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2435,44374,Aegis Gardens At Newcastle,13056 SE 76TH ST,Newcastle,WA,98056,King,(425) 970-6708,140,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2455,44636,Aegis Living At Ravenna,8511 15TH AVE NE,Seattle,WA,98115,King,,104,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2567,46491,Aegis Living Bellevue Overlake,1845 116TH AVE NE,Bellevue,WA,98004,King,(425) 233-6030,160,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2454,44848,Aegis Living Of West Seattle,4700 SW ADMIRAL WAY,Seattle,WA,98116,King,(206) 436-0500,100,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2492,45356,Aegis Lodge Of Kirkland,12629 116TH AVE NE,Kirkland,WA,98034,King,,96,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2491,45355,Aegis Of Bellevue,148 102ND AVE SE,Bellevue,WA,98004,King,,101,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1997,39713,Aegis Of Issaquah,780 NW JUNIPER STREET,Issaquah,WA,98027,King,(425) 392-8100,100,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2241,41998,Aegis Of Madison,2200 E MADISON ST,Seattle,WA,98112,King,(206) 325-1600,125,ASSISTED LIVING FACILITY,7/6/21
