Speciality,contract,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Disclosure of Services,Has Reports?,Reports Location
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",68100,40000681,31863,AF  ,SYCAMORE GLEN,OP    ,1585 SYCAMORE ST,CLARKSTON,WA,99403,Asotin,1587 Sycamore ST,Clarkston,WA,99403,(509) 751-9308,,(509) 758-9772,1E,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee A. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=68100,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=68100
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",68200,40000682,31864,AF  ,SYCAMORE GLEN,OP    ,1589 Sycamore St,Clarkston,WA,99403,Asotin,1587 Sycamore St,Clarkston,WA,99403,(509) 552-1068,,(866) 264-1825,1E,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee A. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=68200,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=68200
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home",754885,40011328,46394,AF  ,Sycamore Glen on 7th Street,OP    ,920 7th St,Clarkston,WA,99403,Asotin,1587 Sycamore St,Clarkston,WA,99403,(509) 332-9152,,(866) 264-1825,1E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee A. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754885,No, 
Dementia,Adult Family Home,754973,40004099,46715,AF  ,Tender Care AFH LLC,OP    ,1297 LIBBY ST,CLARKSTON,WA,99403,Asotin,1297 Libby St,Clarkston,WA,99403,(208) 791-2535,,(509) 295-6008,1E,SPDE,1080XS-12 ,"Parson, Matthew ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754973,No, 
"Mental Health, Dementia",Adult Family Home,754009,40010833,45379,AF  ,Trusted Care Adult Family Home,OP    ,1862 Golfview Drive,Clarkston,WA,99403,Asotin,PO Box 277,Clarkston,WA,99403,(509) 295-6015,,,1E,"SPMI, SPDE",1080XS-12 ,"Roche', Anita L. ",4,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754009,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754009
Developmental Disabilities,"Meaningful Day, Adult Family Home",645700,40006457,37827,AF  ,A COUNTRY HOME,OP    ,212305 E 355 PR SE HANEY RD,KENNEWICK,WA,99337,Benton,212305 E 355 PR SE HANEY RD,KENNEWICK,WA,99337,(509) 582-7020,,(509) 582-0830,1C,SPDD,"1080XS-12 , 1080XS-12 ","Collins, Tena ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=645700,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=645700
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home",751414,40004012,40401,AF  ,A PART OF OUR FAMILY,OP    ,2618 W 10TH AVE,KENNEWICK,WA,99336,Benton,2618 W 10TH AVE,KENNEWICK,WA,99336,(509) 585-4187,,(509) 591-0920,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","STOVER, CINDY A. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751414,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751414
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",751413,40009038,40421,AF  ,A PART OF THE FAMILY,OP    ,213504 E GAME FARM RD,KENNEWICK,WA,99337,Benton,213504 E GAME FARM RD,KENNEWICK,WA,99337,(509) 582-3287,,(509) 586-9644,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Settle, Ramona J. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751413,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751413
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,720500,40007205,38478,AF  ,A PLACE LIKE HOME,OP    ,704 W 26TH AVE,KENNEWICK,WA,99337,Benton,704 W 26TH AVE,KENNEWICK,WA,99337,(509) 582-0203,,(509) 586-0784,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"Lawson, Denise ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=720500,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=720500
Developmental Disabilities,Adult Family Home,750114,40008023,38726,AF  ,A PLACE TO CALL HOME,OP    ,705 W 26TH AVE,KENNEWICK,WA,99337,Benton,705 W 26TH AVE,KENNEWICK,WA,99337,(509) 586-3108,,,1C,SPDD,1080XS-12 ,"Cassano, Ashley C. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750114,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750114
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,754587,40011163,46124,AF  ,A.J.A.N Adult Family Home LLC,OP    ,935 S Huntington St,Kennewick,WA,99336,Benton,98216 E Sidibe Pr SE,Kennewick,WA,99338,(509) 619-0811,,(509) 588-7017,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"Blas-Matus, Grace ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754587,No, 
"Dementia, Developmental Disabilities","Meaningful Day, Expanded Community Services, Adult Family Home",751026,40008670,39838,AF  ,AMETHYST GARDEN,OP    ,3508 W HOOD AVE,KENNEWICK,WA,99336,Benton,3508 W HOOD AVE,KENNEWICK,WA,99336,(509) 619-0337,,,1C,"SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","FLOYD, BRANDY M. ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751026,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751026
"Mental Health, Dementia",Adult Family Home,754856,40009911,46625,AF  ,Badger Mountain Adult Family Home,OP    ,1756 Silver Ct,Richland,WA,99352,Benton,1756 Silver Ct,Richland,WA,99352,(509) 491-3870,,(509) 491-3870,1C,"SPMI, SPDE",1080XS-12 ,"Miller, Cindy ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754856,No, 
"Mental Health, Dementia, Developmental Disabilities",No Contract,227401,40002274,33900,AF  ,Black's AFH,OP    ,727 E 27th Ave,Kennewick,WA,99337,Benton,727 E 27th Ave,Kennewick,WA,99337,(509) 586-6192,,(509) 586-6192,1C,"SPMI, SPDE, SPDD",,"Black, Doreen R. ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=227401,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=227401
Dementia,Adult Family Home,752706,40009965,42300,AF  ,Careing Hands Adult Family Home,OP    ,8610 W Bruneau Ave,Kennewick,WA,99336,Benton,8610 W Bruneau Ave,Kennewick,WA,99336,(509) 619-0212,,(509) 619-0212,1C,SPDE,1080XS-12 ,"Krzyzanek, Annaliese L. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752706,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752706
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,753051,40009171,43800,AF  ,Cherish Cove LLC,OP    ,1459 BADGER MOUNTAIN LOOP,RICHLAND,WA,99352,Benton,1459 BADGER MOUNTAIN LOOP,RICHLAND,WA,99352,(509) 374-7458,(509) 628-1118,,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"AMOR QUIGLEY, VIOLETA ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753051,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753051
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home",95903,40000959,32219,AF  ,CHERISHED LIVING,OP    ,1939 DAVISON AVE,RICHLAND,WA,99352,Benton,1939 DAVISON AVE,RICHLAND,WA,99352,(509) 943-2624,,(509) 946-1542,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Kelly, Glenford C. ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=95903,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=95903
"Mental Health, Dementia",Adult Family Home,754747,40011333,46400,AF  ,Cherry Creek Adult Family Home LLC,OP    ,2616 W 44th Pl,Kennewick,WA,99337,Benton,2616 W 44th Pl,Kennewick,WA,99337,(509) 396-9007,,(509) 769-0422,1C,"SPMI, SPDE",1080XS-12 ,"Touchette, LeAnn ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754747,No, 
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",141503,40001415,32826,AF  ,COLONIAL HOUSE,OP    ,3 W 3rd Ave,Kennewick,WA,99336,Benton,3 W 3rd Ave,Kennewick,WA,99336,(509) 586-7138,,(800) 617-1965,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","POLK, JOY ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=141503,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=141503
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753872,40010695,45114,AF  ,Comfort Living AFH LLC,OP    ,536 Athens Dr,West Richland,WA,99353,Benton,536 Athens Dr,West Richland,WA,99353,(509) 521-1177,,,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Rakhmestryuk, Oksana ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753872,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753872
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,752806,40010019,42453,AF  ,Desert Wind Gardens AFH,OP    ,8606 W Bruneau Ave,Kennewick,WA,99336,Benton,8606 W Bruneau Ave,Kennewick,WA,99336,(509) 396-3714,,(509) 396-5100,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"Gorinchoy, Nataliya G. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752806,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752806
"Mental Health, Dementia",Adult Family Home,754833,40011310,46365,AF  ,Elysian Estates Adult Family Home,OP    ,3174 West Payette Avenue,Kennewick,WA,99336,Benton,3174 West Payette Avenue,Kennewick,WA,99336,(509) 539-0430,,(509) 471-1922,1C,"SPMI, SPDE",1080XS-12 ,"Roberts, Bert ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754833,No, 
Dementia,Adult Family Home,750866,40008599,39715,AF  ,FLEUR DE LIS I,OP    ,3203 S FISHER CT,KENNEWICK,WA,99337,Benton,3203 S FISHER CT,KENNEWICK,WA,99337,(509) 582-6200,(509) 582-7968,,1C,SPDE,1080XS-12 ,"Lang Jones, Debra L. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750866,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750866
Dementia,No Contract,750902,40008598,39714,AF  ,FLEUR DE LIS II,OP    ,3207 S FISHER COURT,KENNEWICK,WA,99337,Benton,3203 S FISHER CT,KENNEWICK,WA,99337,(509) 582-7968,(509) 582-7968,,1C,SPDE,,"Lang Jones, Debra L. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750902,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750902
Dementia,No Contract,751427,40009057,40461,AF  ,FLEUR DE LIS III,OP    ,3117 S FISHER CT #B,KENNEWICK,WA,99337,Benton,3117 S FISHER CT #B,KENNEWICK,WA,99337,(509) 585-0400,,(509) 582-7968,1C,SPDE,,"Patton-Morris, Paige E. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751427,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751427
Dementia,No Contract,751449,40009137,40578,AF  ,FLEUR DE LIS IV,OP    ,3117 S FISHER CT #B,KENNEWICK,WA,99337,Benton,3117 S FISHER CT #B,KENNEWICK,WA,99337,(509) 582-7968,,(509) 582-7968,1C,SPDE,,"Lang Jones, Debra L. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751449,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751449
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753268,40010249,44041,AF  ,From the Heart AFH Inc,OP    ,1428 W 1st Ave,Kennewick,WA,99336,Benton,1428 W 1st Ave,Kennewick,WA,99336,(509) 820-5253,,(509) 545-5117,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Dallas, Toni Renee ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753268,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753268
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753316,40005466,44325,AF  ,Gentle Hands Home Care LLC,OP    ,1508 S Olympia Pl,Kennewick,WA,99337,Benton,1508 S Olympia Pl,Kennewick,WA,99337,(509) 619-0330,,(509) 572-2902,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Babiy, Alla S. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753316,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753316
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753389,40009390,44429,AF  ,Grandridge Meadows AFH LLC,OP    ,207 N QUEBEC ST,KENNEWICK,WA,99336,Benton,207 N QUEBEC ST,KENNEWICK,WA,99336,(509) 221-1166,(509) 210-5591,,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Korf, Marina ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753389,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753389
"Mental Health, Dementia",Adult Family Home,754127,40003322,45600,AF  ,Legacy Cottage,OP    ,2615 W Entiat Ave,Kennewick,WA,99336,Benton,510 N Louisiana St,Kennewick,WA,99336,(509) 734-8928,,,1C,"SPMI, SPDE",1080XS-12 ,"Gibb, Dwight ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754127,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754127
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753206,40010326,44174,AF  ,Leila's Adult Family Home,OP    ,825 S Ione St,Kennewick,WA,99336,Benton,825 S Ione St,Kennewick,WA,99336,(509) 396-9400,,(509) 491-3285,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Adi, Omar ",3,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753206,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753206
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",752898,40008641,43714,AF  ,Leslie Canyon,OP    ,1440 Oxford Ave,Richland,WA,99352,Benton,1440 Oxford Ave,Richland,WA,99352,(509) 396-7901,,(509) 396-7962,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Hollenback, Luzvilla B. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752898,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752898
Dementia,Adult Family Home,750308,40008166,38962,AF  ,LILLYS ADULT FAMILY HOME,OP    ,1906 HOXIE AVE,RICHLAND,WA,99354,Benton,1906 HOXIE AVE,RICHLAND,WA,99354,(509) 943-9038,,(509) 946-9065,1C,SPDE,1080XS-12 ,"TUBIC, LJILJANA ",4,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750308,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750308
"Mental Health, Dementia",Adult Family Home,750997,40008671,39839,AF  ,MAGDALENA ADULT FAMILY HOME,OP    ,1207 N QUEBEC ST,KENNEWICK,WA,99336,Benton,1207 N QUEBEC ST,KENNEWICK,WA,99336,(509) 396-7295,,(509) 396-7373,1C,"SPMI, SPDE",1080XS-12 ,"NICOARA, MAGDALENA ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750997,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750997
"Mental Health, Dementia","Expanded Community Services, Adult Family Home",754119,40010876,45460,AF  ,McMurray Adult Family Home LLC,OP    ,1924 McMurray Ave,Richland,WA,99354,Benton,1924 McMurray Ave,Richland,WA,99354,(509) 420-9274,,(509) 420-4330,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","Sebsibie, Rahel ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754119,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754119
"Mental Health, Dementia",Adult Family Home,752930,40010095,43710,AF  ,Parkside Adult Care Home LLC,OP    ,1702 S Highlands Blvd,West Richland,WA,99353,Benton,1702 S Highlands Blvd,West Richland,WA,99353,(509) 420-4424,,(509) 319-2121,1C,"SPMI, SPDE",1080XS-12 ,"Voloshchuk, Anna Y. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752930,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752930
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753544,40009689,44613,AF  ,Peace of Mind Adult Family Home,OP    ,631 Riverstone Dr,Richland,WA,99352,Benton,631 Riverstone Dr,Richland,WA,99352,(509) 420-4146,,(509) 396-5522,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Deery, Tammy R. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753544,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753544
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home",751825,40004430,40923,AF  ,PIONEER HOME,OP    ,1805 Birch Ave,Richland,WA,99354,Benton,1805 Birch Ave,Richland,WA,99354,(509) 420-4243,(509) 723-4399,,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","McCune, H Deniece ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751825,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751825
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,754713,40011257,46282,AF  ,Ridgeline Comfort Home LLC ,OP    ,5955 W 37th Pl,Kennewick,WA,99338,Benton,5955 W 37th Pl,Kennewick,WA,99338,(682) 248-4128,,,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"Murumbei, Laureen ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754713,No, 
"Mental Health, Dementia","Expanded Community Services, Adult Family Home",523900,40005239,36893,AF  ,ROSIES ADULT FAMILY HOME,OP    ,611 N Yost St,Kennewick,WA,99336,Benton,611 N Yost St,Kennewick,WA,99336,(509) 734-0851,,(509) 734-1071,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","Covington, Rosemary K. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=523900,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=523900
