Speciality,contract,Check_Type,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Has Reports?,Reports Location
None,Enhanced Adult Residential Care,,2511,60001204,45603,BH  ,Callaway Gardens Alzheimers Special Care Center,OP    ,5505 W Skagit Ct,Kennewick,WA,99336,Benton,5505 W Skagit Ct,Kennewick,WA,99336,(509) 783-5433,,(509) 736-6367,1C,,1006XP-12 ,"Riojas, Laura ",56,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2511
None,"Enhanced Adult Residential Care, Adult Residential Care",,2459,60009625,45089,BH  ,Creekstone Care Homes LLC,OP    ,3321 W 10th Ave,Kennewick,WA,99336,Benton,3321 W 10th Ave,Kennewick,WA,99336,,,(509) 491-1188,1C,,"1006XP-12 , 1007XP-12 ","Barceloirn, Wendy M. ",28,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2459
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2449,60009589,44923,BH  ,Fieldstone Grandridge Independent and Assisted Living,OP    ,7255 W Grandridge Blvd,Kennewick,WA,99336,Benton,7255 W Grandridge Blvd,Kennewick,WA,99336,(509) 491-3946,,(509) 491-3947,1C,,"1006XP-12 , 1002XP-12 ","Lindholm, Aaron ",102,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2449
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2448,60009582,44922,BH  ,Fieldstone Memory Care of Kennewick,OP    ,575 N Young St,Kennewick,WA,99336,Benton,575 N Young St,Kennewick,WA,99336,(509) 491-3945,,(509) 491-3948,1C,,"1006XP-12 , 1002XP-12 ","Lindholm, Aaron ",69,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2448
None,"Expanded Community Services, Enhanced Adult Residential Care",,1513,60008866,30723,BH  ,GUARDIAN ANGEL HOMES (THE COTTAGE),OP    ,245 Van Giesen St,Richland,WA,99354,Benton,245 VAN GIESEN ST,RICHLAND,WA,99352,(509) 943-2100,,(509) 943-2130,1C,,1036XP-12 ,"Hall, Elizabeth D. ",96,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1513
None,No Contract,,1268,60003528,30548,BH  ,HAWTHORNE COURT,OP    ,524 N Ely St,Kennewick,WA,99336,Benton,524 N ELY,KENNEWICK,WA,99336,(509) 783-8313,,(509) 783-5142,1C,,,"Hanny, Laura ",62,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1268
None,Assisted Living SOW,,2025,60009520,40208,BH  ,Parkview Estates,OP    ,7820 W 6th Ave,Kennewick,WA,99336,Benton,7820 W 6th Ave,Kennewick,WA,99336,(509) 734-9773,,(509) 734-9774,1C,,1002XP-12 ,"Krise, John ",110,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2025
None,Assisted Living SOW,,2150,60008971,41835,BH  ,Prestige Assisted Living at Richland,OP    ,1745 Pike Ave,Richland,WA,993542295,Benton,1745 Pike Ave,Richland,WA,99354-2295,(509) 946-8095,,(360) 314-3138,1C,,1002XP-12 ,"KAISER, HOLLIE ",26,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2150
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,1526,60008804,30733,BH  ,"ROSETTA ASSISTED LIVING,  FISHER",OP    ,520 N FISHER STREET,KENNEWICK,WA,99336,Benton,520 N FISHER STREET,KENNEWICK,WA,99336,(509) 734-3311,,(208) 739-9175,1C,,"1027XS-12 , 1036XP-12 , 1007XP-12 ","Garcia, Ernestina ",16,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1526
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,1614,60008902,30799,BH  ,"ROSETTA ASSISTED LIVING, HOXIE",OP    ,1939 Hoxie Ave,Richland,WA,99354,Benton,1939 Hoxie Ave,Richland,WA,99354,(509) 943-5411,,(208) 739-9175,1C,,"1027XS-12 , 1036XP-12 , 1007XP-12 ","Mitchell, Genelle ",16,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1614
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,1527,60008805,30734,BH  ,"ROSETTA ASSISTED LIVING, OLYMPIA",OP    ,1208 W 11TH PL,KENNEWICK,WA,99337,Benton,1208 W 11TH PL,KENNEWICK,WA,99337,(509) 582-3832,,(208) 739-9175,1C,,"1027XS-12 , 1036XP-12 , 1007XP-12 ","Garcia, Ernestina ",16,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1527
None,No Contract,,2581,60000868,46796,BH  ,Royal Columbian Senior Living,OP    ,5615 W Umatilla Ave,Kennewick,WA,99336,Benton,5615 W Umatilla Ave,Kennewick,WA,99336,(509) 591-9974,,,1C,,,"Ogilvie, Robert D. ",96,2/28/22 0:00,,,No, 
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2206,60009564,41933,BH  ,Ruan's Garden,OP    ,3502 W 4th Ave,Kennewick,WA,99336,Benton,2839 W Kennewick Ave #312,Kennewick,WA,99336,(509) 783-9305,,(509) 783-9235,1C,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","Hollenback, Luzvilla B. ",15,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2206
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW",,1440,60008769,30675,BH  ,SUN TERRACE PROSSER,OP    ,2131 WINE COUNTRY ROAD,PROSSER,WA,99350,Benton,2131 WINE COUNTRY ROAD,PROSSER,WA,99350,(509) 786-3300,,(509) 786-3350,1C,,"1027XS-12 , 1036XP-12 , 1006XP-12 , 1002XP-12 ","Arnold, Sonya ",95,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1440
None,"Enhanced Adult Residential Care, Adult Residential Care",,2536,60001071,46079,BH  ,Three Rivers Place Senior Living,OP    ,1108 W 5th Ave,Kennewick,WA,99336,Benton,1108 W 5th Ave,Kennewick,WA,99336,,,,1C,,"1006XP-12 , 1007XP-12 ","Maldonado, Brenda ",42,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2536
None,No Contract,,2540,60009659,46053,BH  ,Windsong at Southridge,OP    ,4000 W 24th Avenue,Kennewick,WA,99338,Benton,4000 W 24th Avenue,Kennewick,WA,99338,(509) 202-4327,,(509) 202-4371,1C,,,"Percival, Drew ",56,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2540
None,No Contract,,2415,60008956,44333,BH  ,Avamere at Wenatchee,OP    ,1550 CHERRY STREET,WENATCHEE,WA,98801,Chelan,1550 CHERRY STREET,WENATCHEE,WA,98801,(509) 662-8646,,(509) 662-8194,1C,,,"Mayfield, Afra ",84,7/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2415
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2395,60008852,44304,BH  ,Blossom Creek Senior Alzheimer Community,OP    ,1740 Madison St,Wenatchee,WA,988014700,Chelan,1740 Madison St,Wenatchee,WA,98801-4700,(509) 662-3500,(509) 662-1151,,1C,,"1027XS-12 , 1006XP-12 ","Sapp, Patricia D. ",50,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2395
None,No Contract,,2397,60001783,44306,BH  ,Blossom Valley Senior Assisted Living Community,OP    ,1701 Orchard Ave,Wenatchee,WA,98801,Chelan,1701 Orchard Ave,Wenatchee,WA,98801,(509) 667-0990,(509) 667-0980,,1C,,,"Sapp, Patricia D. ",80,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2397
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2067,60000655,40850,BH  ,CHRISTOPHER HOUSE,OP    ,100 S Cleveland Ave,Wenatchee,WA,98801,Chelan,100 S Cleveland Ave,Wenatchee,WA,98801,(509) 888-0773,,(509) 888-5761,1C,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","PRETTY, JENNIFER ",77,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2067
None,Assisted Living SOW,,1422,60008812,30661,BH  ,EPLEDALEN RETIREMENT & ASSISTED LIVING,OP    ,809 PIONEER AVENUE,CASHMERE,WA,98815,Chelan,809 PIONEER AVENUE,CASHMERE,WA,988151314,(509) 782-7600,,(509) 782-1821,1C,,1002XP-12 ,"Dronen, Andrew ",39,7/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1422
None,Enhanced Adult Residential Care,,2486,60009627,45129,BH  ,Fieldstone Memory Care of Wenatchee,OP    ,817 Red Apple Road,Wenatchee,WA,98801,Chelan,817 Red Apple Road,Wenatchee,WA,98801,(509) 884-3178,,,1C,,1006XP-12 ,"Hawkins, Debra ",60,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2486
None,"Assisted Living SOW, Adult Residential Care",,1223,60008702,30510,BH  ,HERITAGE HEIGHTS AT LAKE CHELAN,OP    ,505 E HIGHLAND AVENUE,CHELAN,WA,98816,Chelan,505 E HIGHLAND AVENUE,CHELAN,WA,98816,(509) 682-1998,,,1C,,"1002XP-12 , 1007XP-12 ","Ballou, Amanda M. ",32,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1223
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2225,60001114,42145,BH  ,HIGHGATE SENIOR LIVING,OP    ,1320 S MILLER ST,WENATCHEE,WA,98801,Chelan,1320 S MILLER ST,WENATCHEE,WA,98801,(509) 665-6695,,(509) 343-3314,1C,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Lehman, Jean F. ",75,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2225
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,1634,60001133,30812,BH  ,MOUNTAIN MEADOWS,OP    ,320 PARK AVE,LEAVENWORTH,WA,98826,Chelan,320 PARK AVE,LEAVENWORTH,WA,98826,(509) 548-4076,,(509) 888-4487,1C,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Oglesby, Nayland ",60,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1634
None,No Contract,,2393,60000661,44288,BH  ,Prestige Senior Living at Colonial Vista,OP    ,601 OKANOGAN AVE,WENATCHEE,WA,98801,Chelan,601 OKANOGAN AVE,WENATCHEE,WA,98801,(509) 663-3337,(509) 665-9377,,1C,,,"Schneider, Apryl ",55,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2393
None,Assisted Living SOW,,1462,60008834,30694,BH  ,RIVERWEST RETIREMENT COMMUNITY,OP    ,900 N WESTERN AVE,WENATCHEE,WA,98801,Chelan,900 N WESTERN AVE,WENATCHEE,WA,98801,(509) 662-2797,,(509) 667-2227,1C,,1002XP-12 ,"Gott, Megan ",56,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1462
None,No Contract,,713,60000875,30139,BH  ,Arlene Engel Home,OP    ,138 W 2ND ST,PORT ANGELES,WA,98362,Clallam,118 E 8th St,Port Angeles,WA,98362,(360) 452-3831,,(360) 565-3902,3E,,,"Dennis, Angel ",19,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=713
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,2560,60008925,46606,BH  ,Discovery Memory Care,OP    ,408 W Washington St,Sequim,WA,98382,Clallam,408 W Washington St,Sequim,WA,98382,(360) 683-7047,,,3E,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","Cornell, Angela ",58,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2560
None,No Contract,,1328,60008753,30595,BH  ,DUNGENESS COURTE ALZHEIMERS COMMUNITY,OP    ,651 N GARRY OAK DR,SEQUIM,WA,98382,Clallam,651 N GARRY OAK DR,SEQUIM,WA,98382,(360) 582-9309,,(360) 582-9315,3E,,,"Potter, Linda M. ",40,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1328
None,No Contract,,1823,60001134,30946,BH  ,GOLDEN YEARS RESIDENTIAL CARE HOME,OP    ,202 BIRDSONG LANE,PORT ANGELES,WA,98362,Clallam,202 BIRDSONG LANE,PORT ANGELES,WA,98362,(360) 452-1566,,(206) 935-0916,3E,,,"Fitzsimmons, Tiana ",16,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1823
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care",,2378,60009591,44047,BH  ,Highland Court Memory Care,OP    ,1704 Melody Ln,Port Angeles,WA,98362,Clallam,1704 Melody Ln,Port Angeles,WA,98362,(360) 452-9086,(360) 452-9877,,3E,,"1027XS-12 , 1036XP-12 ","Milligan, Helen ",43,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2378
None,Assisted Living SOW,,2545,60001206,46070,BH  ,Laurel Place,OP    ,1133 E Park Ave,Port Angeles,WA,98362,Clallam,1133 E Park Ave,Port Angeles,WA,98362,(360) 452-7201,,(360) 452-4051,3E,,1002XP-12 ,"Gillis, Allyson ",45,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2545
None,No Contract,,2332,60000836,43702,BH  ,Park View Villas,OP    ,1430 Park View Lane,Port Angeles,WA,98363,Clallam,1430 Park View Lane,Port Angeles,WA,98363,(360) 452-7222,,(360) 452-4958,3E,,,"Doty, Gladys ",65,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2332
None,No Contract,,646,60000879,30110,BH  ,SHERWOOD ASSISTED LIVING,OP    ,550 W HENDRICKSON RD,SEQUIM,WA,98382,Clallam,550 W HENDRICKSON RD,SEQUIM,WA,98382,(360) 683-3348,(360) 681-8082,,3E,,,"Magill, Andi ",107,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=646
None,No Contract,,2187,60008701,42042,BH  ,Sinclair Place,OP    ,680 W Prairie St,Sequim,WA,98382,Clallam,680 W Prairie St,Sequim,WA,98382,(360) 681-3385,,(360) 683-4463,3E,,,"O'Brien, Jill L. ",68,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2187
None,Assisted Living SOW,,1195,60001325,30488,BH  ,ST ANDREWS PLACE ASSISTED LIVING,OP    ,520 EAST PARK AVE,PORT ANGELES,WA,98362,Clallam,520 EAST PARK AVE,PORT ANGELES,WA,98362,(360) 417-3418,,(360) 457-3468,3E,,1002XP-12 ,"Dodd, Laura ",41,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1195
None,Assisted Living SOW,,1588,60008891,30780,BH  ,ARBOR RIDGE ASSISTED LIVING,OP    ,9501 NE Hazel Dell Ave,Vancouver,WA,98665,Clark,9501 NE Hazel Dell Ave,Vancouver,WA,98665,(360) 576-8883,,(360) 573-3781,3E,,1002XP-12 ,"LeBrun, Sara L. ",67,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1588
None,No Contract,,2321,60009579,42436,BH  ,Bonaventure of Salmon Creek,OP    ,13700 NE Salmon Creek Ave,Vancouver,WA,98686,Clark,3425 Boone Rd SE,Salem,OR,97317,(360) 816-4221,,(360) 816-4225,3E,,,"Stearns, Chelsea ",89,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2321
None,No Contract,,2535,60009634,45344,BH  ,Bonaventure of Vancouver,OP    ,9317 NE 86th Street,Vancouver,WA,98662,Clark,9317 NE 86th Street,Vancouver,WA,98662,,(360) 718-3521,,3E,,,"McComb, Kristina ",88,2/28/22 0:00,,,No, 
None,Assisted Living SOW,,2261,60008778,42360,BH  ,Brookdale Fishers Landing,OP    ,17171 SE 22ND DR,VANCOUVER,WA,98683,Clark,17171 SE 22ND DR,VANCOUVER,WA,98683,(360) 885-1400,(360) 253-8504,,3E,,1002XP-12 ,"Prater, Jessica ",91,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2261
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2308,60008832,42389,BH  ,Brookdale Vancouver Stonebridge,OP    ,7900 NE Vancouver Mall Dr,Vancouver,WA,98662,Clark,7900 NE Vancouver Mall Dr,Vancouver,WA,98662,(360) 882-8800,(360) 253-4871,,3E,,"1027XS-12 , 1006XP-12 ","Wilson, Randall ",80,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2308
None,Assisted Living SOW,,784,60000642,30164,BH  ,CASCADE RETIREMENT INN,OP    ,11613 SE 7th St,Vancouver,WA,98683,Clark,11613 SE 7th STREET,VANCOUVER,WA,98683,(360) 254-3555,,(360) 253-2727,3E,,1002XP-12 ,"Wart, Jason ",170,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=784
None,No Contract,,2579,60008863,46735,BH  ,Clearwater Springs Assisted Living,OP    ,201 NW 78th St,Vancouver,WA,98665,Clark,201 NW 78th St,Vancouver,WA,98665,(360) 546-3344,,(360) 696-4030,3E,,,"Beisley, Mary ",95,12/31/21 0:00,,,No, 
None,No Contract,,2472,60001853,45281,BH  ,Cogir Vancouver Orchards,OP    ,10011 NE 118th Ave,Vancouver,WA,98682,Clark,10011 NE 118th Ave,Vancouver,WA,98682,(360) 896-6081,,(360) 604-3155,3E,,,"Woolery, Debbie ",90,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2472
None,Assisted Living SOW,,1521,60008869,30730,BH  ,COLUMBIA RIDGE ASSISTED LIVING,OP    ,2300 W 9TH STREET,WASHOUGAL,WA,98671,Clark,2300 WEST 9th STREET,WASHOUGAL,WA,98671,(360) 335-1238,,(360) 833-0615,3E,,1002XP-12 ,"Taghon, Emily ",74,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1521
None,Enhanced Adult Residential Care,,2546,60001120,46072,BH  ,Creekside Place,OP    ,208 SW 20th Ave,Battle Ground,WA,98604,Clark,208 SW 20th Ave,Battle Ground,WA,98604,,,,3E,,1006XP-12 ,"Gogas, Amanda ",40,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2546
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,1169,60000694,30462,BH  ,"EVERGREEN INN, THE",OP    ,500 MAIN ST,VANCOUVER,WA,98660,Clark,500 MAIN ST,VANCOUVER,WA,98660,(360) 696-4000,,(360) 906-1537,3E,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Higdon, Kelly ",85,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1169
None,No Contract,,2349,60001099,43766,BH  ,Evergreen Place,OP    ,2610 SE 164th Ave,Vancouver,WA,98683,Clark,2610 SE 164th Ave,Vancouver,WA,98683,(360) 813-6885,,(360) 891-8356,3E,,,"Keyes, Patricia ",44,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2349
None,"Assisted Living SOW, Adult Residential Care",,2537,60000833,45971,BH  ,Fort Vancouver Assisted Living,OP    ,8422 NE 8th Way,Vancouver,WA,98664,Clark,4601 NE 77th Ave Suite 300,Vancouver,WA,98662,(360) 256-2980,,(360) 256-1909,3E,,"1002XP-12 , 1007XP-12 ","Kaahanui, Paulani ",50,1/31/22 0:00,,,No, 
None,Assisted Living SOW,,1479,60008840,30707,BH  ,GLENWOOD PLACE SENIOR LIVING,OP    ,5500 NE 82ND AVENUE,VANCOUVER,WA,98662,Clark,5500 NE 82ND AVENUE,VANCOUVER,WA,98662,(360) 892-1100,(360) 448-4527,,3E,,1002XP-12 ,"YOUNG, BEN H. ",253,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1479
None,No Contract,,2233,60008744,42146,BH  ,Highgate Senior Living,OP    ,9803 NE Hazel Dell Ave,Vancouver,WA,98665,Clark,9803 NE Hazel Dell Ave,Vancouver,WA,98665,(360) 571-7272,,(360) 571-2368,3E,,,"Mathis, Autumn ",71,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2233
None,No Contract,,2356,60001087,43756,BH  ,Kent Place,OP    ,2647 NW Kent St,Camas,WA,98607,Clark,2647 NW Kent St,Camas,WA,98607,(360) 834-3988,,(360) 834-2442,3E,,,"Hicks, Devin ",42,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2356
