State Facility Type 1 Literal,Facility Name,Licensee,Address,City,State,Zip,Phone Number,County,Capacity,Ownership Type,License Number
PERSONAL CARE HOMES,ARTIS SENIOR LIVING OF YARDLEY,ARTIS SENIOR LIVING OF LOWER MAKEFIELD LLC,"765 STONY HILL ROAD,",YARDLEY,PA,19067,2673925945,BUCKS,72,PROFIT,146500
PERSONAL CARE HOMES,ARTMAN LUTHERAN HOME,ARTMAN LUTHERAN HOME,"250 BETHLEHEM PIKE,",AMBLER,PA,19002,2156439926,MONTGOMERY,136,NON-PROFIT,127780
PERSONAL CARE HOMES,ASBURY HEALTH CENTER,ASBURY HEALTH CENTER INC,"700 BOWER HILL ROAD,",PITTSBURGH,PA,15243,4123411030,ALLEGHENY,120,NON-PROFIT,429670
PERSONAL CARE HOMES,ASBURY PLACE,ASBURY PLACE INC,"760 BOWER HILL ROAD,",PITTSBURGH,PA,15243,4125715660,ALLEGHENY,42,NON-PROFIT,431550
PERSONAL CARE HOMES,ASBURY VILLAS,ASBURY VILLAS,"730 BOWER HILL ROAD,",PITTSBURGH,PA,15243,4125715380,ALLEGHENY,100,NON-PROFIT,429980
PERSONAL CARE HOMES,AT HOME AT PARKLAND - BUILDING 1,AT HOME PALLIATIVE AND HOSPICE FOUNDATION,"4315 WASHINGTON STREET,",SCHNECKSVILLE,PA,18078,6108208301,LEHIGH,24,NON-PROFIT,226100
PERSONAL CARE HOMES,AT HOME PALLIATIVE AND HOSPICE FOUNDATION-BUILDING 2,AT HOME PALLIATIVE AND HOSPICE FOUNDATION,"4315 WASHINGTON STREET,",SCHNECKSVILLE,PA,18078,6108208301,LEHIGH,23,NON-PROFIT,225780
PERSONAL CARE HOMES,ATRIA AT CRANBERRY WOODS,FDG CB OPCO LLC,"3020 FAIRPORT LANE,",CRANBERRY TOWNSHIP,PA,16066,7242418750,BUTLER,115,PROFIT,452680
PERSONAL CARE HOMES,ATRIA BETHLEHEM,WG BETHLEHEM SH LLC,"1745 WEST MACADA ROAD,",BETHLEHEM,PA,18017,6103170700,NORTHAMPTON,150,PROFIT,222810
PERSONAL CARE HOMES,ATRIA CENTER CITY,WG CENTER CITY SH LLC,"150 NORTH 20TH STREET,",PHILADELPHIA,PA,19103,2155645455,PHILADELPHIA,165,PROFIT,136570
PERSONAL CARE HOMES,ATRIA LAFAYETTE HILL,SQR OPCO LLC,"9303 RIDGE PIKE,",PHILADELPHIA,PA,19128,2677687779,PHILADELPHIA,170,PROFIT,146650
PERSONAL CARE HOMES,ATRIA MCCANDLESS,CA SENIOR MCCANDLESS OPERATOR LLC,"8870 DUNCAN AVENUE,",PITTSBURGH,PA,15237,4125367001,ALLEGHENY,211,PROFIT,452171
PERSONAL CARE HOMES,ATRIA SOUTH HILLS,WG SOUTH HILLS SH LLC,"5300 CLAIRTON BOULEVARD,",PITTSBURGH,PA,15236,4128841200,ALLEGHENY,139,PROFIT,442840
PERSONAL CARE HOMES,AUTUMN COMMONS,RALPH T POWER,"1050 WEST GRANT AVENUE,",DUQUESNE,PA,15110,4124699669,ALLEGHENY,21,PROFIT,431630
PERSONAL CARE HOMES,AUTUMN HOUSE EAST,SENIOR CARE ON EAST MARKET LLC,"2618 EAST MARKET STREET,",YORK,PA,17402,7177555911,YORK,150,PROFIT,334260
PERSONAL CARE HOMES,AUTUMN HOUSE OF YORK,SENIOR CARE ON MARKET ST LLC,"914 WEST MARKET STREET,",YORK,PA,17401,7178457214,YORK,132,PROFIT,332350
PERSONAL CARE HOMES,AUTUMN LANE PERSONAL CARE - HOME OF ROBINSON TWP.,DF CORPORATION,"5793 STEUBENVILLE PIKE,",MCKEES ROCKS,PA,15136,4127880442,ALLEGHENY,7,PROFIT,432880
PERSONAL CARE HOMES,AUTUMN LANE PERSONAL CARE HOME OF MOON TWP.,D.F. CORP.,"1757 BRODHEAD ROAD,",MOON TOWNSHIP,PA,15108,7244578338,ALLEGHENY,8,PROFIT,432870
PERSONAL CARE HOMES,BACK TO BASICS PERSONAL CARE,SHERRY STOCKDALE,"215 SLAUGHTERHOUSE ROAD,",DAYTON,PA,16222,8142578699,ARMSTRONG,16,PROFIT,427180
PERSONAL CARE HOMES,BAPTIST HOMES,BAPTIST HOMES SOCIETY,"489 CASTLE SHANNON BOULEVARD,",PITTSBURGH,PA,15234,4125636550,ALLEGHENY,58,NON-PROFIT,429590
PERSONAL CARE HOMES,BARCLAY FRIENDS,BARCLAY FRIENDS,"700 NORTH FRANKLIN STREET,",WEST CHESTER,PA,19380,6106965211,CHESTER,75,NON-PROFIT,146820
PERSONAL CARE HOMES,BARNABAS COURT AT BREVILLIER VILLAGE,BALL PAVILION INC,"5416 EAST LAKE ROAD,",ERIE,PA,16511,8148998600,ERIE,120,NON-PROFIT,453060
PERSONAL CARE HOMES,BARNES PLACE,BARNES AID OPCO LLC,"2021 JAMES STREET,",LATROBE,PA,15650,7245378005,WESTMORELAND,68,PROFIT,444880
PERSONAL CARE HOMES,BAYBERRY PLACE,BAYBERRY AID OPCO LLC,"101 LITTLE DRIVE,",LOWER BURRELL,PA,15068,7243397626,WESTMORELAND,48,PROFIT,444910
PERSONAL CARE HOMES,BEAUMONT AT BRYN MAWR,BEAUMONT RETIREMENT COMMUNITY INC,"601 NORTH ITHAN AVENUE,",BRYN MAWR,PA,19010,6105267000,MONTGOMERY,18,NON-PROFIT,127930
PERSONAL CARE HOMES,BEAVER FALLS PCH,BEAVER FALLS PCH LLC,"300 PINE STREET,",BEAVER FALLS,PA,15010,7248471093,BEAVER,81,PROFIT,451300
PERSONAL CARE HOMES,BEAVER MEADOWS,HAP SENIOR CARE,"5130 TUSCARAWAS ROAD,",BEAVER,PA,15009,7244951600,BEAVER,83,NON-PROFIT,418010
PERSONAL CARE HOMES,BEECHWOOD CENTER 1,"WOODS SERVICES, INC.","585 BEECHWOOD CIRCLE,",LANGHORNE,PA,19047,2157504001,BUCKS,8,NON-PROFIT,126770
PERSONAL CARE HOMES,BEECHWOOD CENTER 10,WOODS SERVICES,"588 BEECHWOOD CIRCLE,",LANGHORNE,PA,19047,2157504299,BUCKS,8,NON-PROFIT,141480
PERSONAL CARE HOMES,BEECHWOOD CENTER 2,"WOODS SERVICES, INC.","589 BEECHWOOD CIRCLE,",LANGHORNE,PA,19047,2157504001,BUCKS,8,NON-PROFIT,129640
PERSONAL CARE HOMES,BEECHWOOD CENTER 3,"WOODS SERVICES, INC.","587 BEECHWOOD CIRCLE,",LANGHORNE,PA,19047,2157504001,BUCKS,8,NON-PROFIT,129650
PERSONAL CARE HOMES,BEECHWOOD CENTER 4,"WOODS SERVICES, INC.","586 BEECHWOOD CIRCLE,",LANGHORNE,PA,19047,2157504001,BUCKS,8,NON-PROFIT,129660
PERSONAL CARE HOMES,BEECHWOOD CENTER 5,"WOODS SERVICES, INC.","135 WEST RICHARDSON AVENUE,",LANGHORNE,PA,19047,2157504001,BUCKS,7,NON-PROFIT,129670
PERSONAL CARE HOMES,BEECHWOOD CENTER 6,"WOODS SERVICES, INC.","166 BRENDWOOD DRIVE,",LANGHORNE,PA,19047,2157504001,BUCKS,5,NON-PROFIT,129680
PERSONAL CARE HOMES,BEECHWOOD CENTER 7,"WOODS SERVICES, INC.","228 SOUTH BELLEVUE AVENUE,",LANGHORNE,PA,19047,2157504001,BUCKS,8,NON-PROFIT,129690
PERSONAL CARE HOMES,BEECHWOOD CENTER 8,WOODS SERVICES INC,"94 OAKWOOD DRIVE,",LANGHORNE,PA,19047,2157504000,BUCKS,8,NON-PROFIT,140600
PERSONAL CARE HOMES,BEECHWOOD CENTER 9,WOODS SERVICES INC,"92 OAKWOOD DRIVE,",LANGHORNE,PA,19047,2157504299,BUCKS,8,NON-PROFIT,140830
PERSONAL CARE HOMES,BEECHWOOD COURT AT LAFAYETTE MANOR,LAFAYETTE MANOR INC LMI,"145 LAFAYETTE MANOR ROAD,",UNIONTOWN,PA,15401,7244346024,FAYETTE,64,PROFIT,409610
PERSONAL CARE HOMES,BELLE REVE SENIOR LIVING CENTER,CARE HSL BELLE REVE OPCO LLC,"404 EAST HARFORD STREET,",MILFORD,PA,18337,5704099191,PIKE,65,PROFIT,225130
PERSONAL CARE HOMES,BERKS LEISURE LIVING,BERKS LEISURE LIVING INC,"1399 FAIRVIEW DRIVE,",LEESPORT,PA,19533,6109168833,BERKS,49,PROFIT,205690
PERSONAL CARE HOMES,"BERKSHIRE COMMONS, GENESIS HEALTHCARE",5485 PERKIOMEN AVENUE OPERATIONS LLC,"5485 PERKIOMEN AVENUE,",READING,PA,19606,6107793993,BERKS,75,PROFIT,221990
PERSONAL CARE HOMES,BERRY'S PERSONAL CARE CENTER - BUILDING I,"BERRY'S PERSONAL CARE CENTER, INC.","68 LEXI STREET,",MIFFLINTOWN,PA,17059,7174362170,JUNIATA,28,PROFIT,342180
PERSONAL CARE HOMES,BERRY'S PERSONAL CARE CENTER - BUILDING II,"BERRY'S PERSONAL CARE CENTER, INC.","68 LEXI STREET,",MIFFLINTOWN,PA,17059,7174362170,JUNIATA,31,PROFIT,342190
PERSONAL CARE HOMES,BERRY'S PERSONAL CARE CENTER - BUILDING III,"BERRY'S PERSONAL CARE CENTER, INC.","68 LEXI STREET,",MIFFLINTOWN,PA,17059,7174362170,JUNIATA,7,PROFIT,342200
PERSONAL CARE HOMES,BEST PERSONAL CARE,BETTY ANN BEST,"5646-42 BALTIMORE AVENUE,",PHILADELPHIA,PA,19143,2157475590,PHILADELPHIA,12,PROFIT,141021
PERSONAL CARE HOMES,BETHANY PLACE,PREMIER QUALITY ENTERPRISE INC,"1305 WAYNE AVENUE,",INDIANA,PA,15701,7243490400,INDIANA,45,PROFIT,443980
PERSONAL CARE HOMES,BETHANY VILLAGE,BETHANY VILLAGE INC,"150 NOBLE LANE,",BETHANY,PA,18431,5702513463,WAYNE,70,PROFIT,203570
PERSONAL CARE HOMES,BETHESDA COURT,MT AIRY MANOR LLC,"6200 ARDLEIGH STREET,",PHILADELPHIA,PA,19138,2158441889,PHILADELPHIA,144,PROFIT,129861
PERSONAL CARE HOMES,BETHLEHEM MANOR,BETHLEHEM MANOR SENIOR LIVING LLC,"815 PENNSYLVANIA AVENUE,",BETHLEHEM,PA,18018,6108418888,LEHIGH,75,PROFIT,226840
PERSONAL CARE HOMES,BETHLEHEM MANOR MEMORY CARE,BETHLEHEM MANOR MEMORY CARE LLC,"310-316 EAST MARKET STREET,",BETHLEHEM,PA,18018,6109728888,NORTHAMPTON,60,PROFIT,229720
PERSONAL CARE HOMES,BEY'S PERSONAL CARE HOME,CALLAWE BEY,"8807 BRICELYN STREET,",PITTSBURGH,PA,15221,4123710992,ALLEGHENY,8,PROFIT,430913
PERSONAL CARE HOMES,BICKFORD OF PRESQUE ISLE BAY,BICKFORD OF ERIE LLC,"1012 WEST BAYFRONT PARKWAY,",ERIE,PA,16507,9137823200,ERIE,138,PROFIT,449200
PERSONAL CARE HOMES,BIRCHES AT ARBOUR SQUARE,CARE HSL HARLEYSVILLE OPCO LLC,"691 MAIN STREET,",HARLEYSVILLE,PA,19438,2155413700,MONTGOMERY,85,PROFIT,142660
PERSONAL CARE HOMES,BIRDSBORO LODGE,CHANGING TRENDS R E CORP,"6740 DANIEL BOONE ROAD,",BIRDSBORO,PA,19508,6105750851,BERKS,23,PROFIT,227030
PERSONAL CARE HOMES,BISHOP MORROW HOME,BISHOP MORROW PERSONAL CARE HOME INC,"118 PARK ROAD,",LEECHBURG,PA,15656,7248452828,ARMSTRONG,8,NON-PROFIT,426530
PERSONAL CARE HOMES,BLAIR PERSONAL CARE HOMES-HOME 1,BLAIR PERSONAL CARE HOMES INC,"1031 MERCER ROAD,",BEAVER FALLS,PA,15010,7248432209,BEAVER,17,PROFIT,447820
PERSONAL CARE HOMES,BLAIR PERSONAL CARE HOMES-HOME 2,BLAIR PERSONAL CARE HOMES INC,"1031 MERCER ROAD,",BEAVER FALLS,PA,15010,7248432209,BEAVER,15,PROFIT,447830
PERSONAL CARE HOMES,BLAIR PERSONAL CARE HOMES-HOME 3,BLAIR PERSONAL CARE HOMES INC,"1031 MERCER ROAD,",BEAVER FALLS,PA,15010,7248432209,BEAVER,15,PROFIT,447840
PERSONAL CARE HOMES,BLAIR PERSONAL CARE HOMES-HOME 4,"BLAIR PERSONAL CARE HOMES, INC.","1031 MERCER ROAD,",BEAVER FALLS,PA,15010,7248432209,BEAVER,15,PROFIT,447850
PERSONAL CARE HOMES,BLUE BELL PLACE,WATERMARK OPERATOR LLC,"777 DEKALB PIKE,",BLUE BELL,PA,19422,6102776443,MONTGOMERY,99,PROFIT,132800
