State Facility Type 1 Literal,Facility Name,Licensee,Address,City,State,Zip,Phone Number,County,Capacity,Ownership Type,License Number
ASSISTED LIVING,OAKBRIDGE TERRACE ASSISTED LIVINGAT BRITTANY POINTE ESTATES,ACTS RETIREMENT-LIFE COMMUNITIES INC,"1001 VALLEY FORGE ROAD,",LANDSDALE,PA,19446,2158554109,MONTGOMERY,41,NON-PROFIT,138930
ASSISTED LIVING,OAKBRIDGE TERRACE AT FORT WASHINGTON ESTATES,ACTS RETIREMENT-LIFE COMMUNITIES INC,735 SUSQUEHANNA ROAD,FORT WASHINGTON,PA,19034,2155428787,MONTGOMERY,18,NON-PROFIT,138940
ASSISTED LIVING,OAKBRIDGE TERRACE AT GRANITE FARMS ESTATES,ACTS RETIREMENT-LIFE COMMUNITIES INC,1343 W. BALTIMORE PIKE,MEDIA,PA,19063,6103584946,DELAWARE,44,NON-PROFIT,138900
ASSISTED LIVING,OAKBRIDGE TERRACE AT GWYNEDD ESTATES,ACTS RETIREMENT-LIFE COMMUNITIES INC,301 NORRISTOWN ROAD,AMBLER,PA,19002,2156288840,MONTGOMERY,20,NON-PROFIT,138970
ASSISTED LIVING,OAKBRIDGE TERRACE AT LIMA ESTATES,ACTS RETIREMENT - LIFE COMMUNITIES INC,"411 N. MIDDLETOWN ROAD,",MEDIA,PA,19063,6108920844,DELAWARE,36,NON-PROFIT,138910
ASSISTED LIVING,QUALITY LIFE SERVICES MERCER,COUNTRYSIDE CONVALESCENT HOME LIMITED PARTNERSHIP,"8221 LAMOR ROAD,",MERCER,PA,16137,7246625860,MERCER,64,PROFIT,450290
ASSISTED LIVING,QUALITY LIFE SERVICES OF GROVE CITY,TRINITY LIVING CENTER LP,"400 HILLCREST AVENUE,",GROVE CITY,PA,16127,7244589501,MERCER,20,PROFIT,451830
ASSISTED LIVING,RICHLAND WOODS ASSISTED LIVING,RICHLAND WOODS ASSISTED LIVING LTD,"3324 ELTON ROAD,",JOHNSTOWN,PA,15904,8142667113,CAMBRIA,70,PROFIT,331060
ASSISTED LIVING,SAUCON VALLEY MANOR,SAUCON VALLEY MANOR INC,"1050 MAIN STREET,",HELLERTOWN,PA,18055,6107488888,NORTHAMPTON,22,PROFIT,226450
ASSISTED LIVING,SENECA MANOR,UPMC SENIOR COMMUNITIES,"5340 SALTSBURG ROAD,",VERONA,PA,15147,4127986000,ALLEGHENY,100,NON-PROFIT,444990
ASSISTED LIVING,SOUTHWOODS ASSISTED LIVING,SOUTHWOODS ASSISTED LIVING LTD,"322 SOUTH MARTIN STREET,",TITUSVILLE,PA,16354,8148278727,CRAWFORD,52,PROFIT,445000
ASSISTED LIVING,STEWARD PLACE,PRESBYTERIAN HOMES INC,"7 EAST LOCUST STREET,",OXFORD,PA,19633,6109982439,CHESTER,64,NON-PROFIT,144830
ASSISTED LIVING,STRABANE WOODS OF WASHINGTON,UPMC SENIOR COMMUNITIES,"319 WELLNESS WAY,",WASHINGTON,PA,15301,7242259400,WASHINGTON,100,NON-PROFIT,445420
ASSISTED LIVING,THE HILL AT WHITEMARSH - OAKLEY HALL ASSISTED LIVING,WHITEMARSH CONTINUING CARE RETIREMENT COMMUNITY,4000 FOX HOUND DRIVE,LAYFAYETTE HILL,PA,19444,2154028748,MONTGOMERY,38,NON-PROFIT,139020
ASSISTED LIVING,THE VILLAGE AT LIFEQUEST,LIFEQUEST NURSING CENTER,"2100 CHERRY BLOSSOM LANE,",QUAKERTOWN,PA,18951,2674242096,BUCKS,141,NON-PROFIT,144960
ASSISTED LIVING,THE WINDS AT MATTERN ORCHARD ASSISTED LIVING,MATTERN WOODS ASSISTED LIVING LTD,"590 NEWRY LANE,",DUNCANSVILLE,PA,16635,8146937675,BLAIR,70,PROFIT,330520
ASSISTED LIVING,WEATHERWOOD MANOR,UPMC SENIOR COMMUNITIES INC,"896 WEATHERWOOD LANE,",GREENSBURG,PA,15601,7248532084,WESTMORELAND,100,NON-PROFIT,444700
ASSISTED LIVING,WESTLAKE WOODS,WESTLAKE WOODS LTD,"3302 WEST LAKE ROAD,",ERIE,PA,16505,8148350330,ERIE,79,PROFIT,445010
ASSISTED LIVING,WHITEHALL MANOR,WHITEHALL MANOR INC,"1177 SIXTH STREET,",WHITEHALL,PA,18052,6104033500,LEHIGH,20,PROFIT,226440
