State Facility Type 1 Literal,Facility Name,Licensee,Address,City,State,Zip Code,Phone Number,County,Capacity,Ownership Type,License Number,Date Accessed
ASSISTED LIVING RESIDENCE,The Hill At Whitemarsh - Oakley Hall Assisted Living,WHITEMARSH CONTINUING CARE RETIREMENT COMMUNITY,4000 FOX HOUND DRIVE,Layfayette Hill,PA,19444,2154028748.0,Montgomery,38,NON-PROFIT,139020,6/30/21
ASSISTED LIVING RESIDENCE,The Village At Lifequest,LIFEQUEST NURSING CENTER,"2100 CHERRY BLOSSOM LANE,",Quakertown,PA,18951,2674242096.0,Bucks,141,NON-PROFIT,144960,6/30/21
ASSISTED LIVING RESIDENCE,The Winds At Mattern Orchard Assisted Living,MATTERN WOODS ASSISTED LIVING LTD,"590 NEWRY LANE,",Duncansville,PA,16635,8146937675.0,Blair,70,PROFIT,330520,6/30/21
ASSISTED LIVING RESIDENCE,Weatherwood Manor,UPMC SENIOR COMMUNITIES INC,"896 WEATHERWOOD LANE,",Greensburg,PA,15601,7248532084.0,Westmoreland,100,NON-PROFIT,444700,6/30/21
ASSISTED LIVING RESIDENCE,Westlake Woods,WESTLAKE WOODS LTD,"3302 WEST LAKE ROAD,",Erie,PA,16505,8148350330.0,Erie,79,PROFIT,445010,6/30/21
ASSISTED LIVING RESIDENCE,Whitehall Manor,WHITEHALL MANOR INC,"1177 SIXTH STREET,",Whitehall,PA,18052,6104033500.0,Lehigh,20,PROFIT,226440,6/30/21
PERSONAL CARE HOME,Abington Manor At Morgan Hill,"CEDAR PARK ASSISTED LIVING, LLC","215 CEDAR PARK BOULEVARD,",Easton,PA,18042,6108290100.0,Northampton,75,PROFIT,219620,6/30/21
PERSONAL CARE HOME,Abington Manor At Morgan Hill-Memory Care Village,MORGAN HILL SENIOR LIVING LLC,"5 CEDAR PARK BOULEVARD,",Easton,PA,18042,6104389400.0,Northampton,50,PROFIT,226140,6/30/21
PERSONAL CARE HOME,Abode Care Of Monroeville,ABODE CARE OF MONROEVILLE LLC,"2560 STROSCHEIN ROAD,",Monroeville,PA,15146,3479571340.0,Allegheny,66,PROFIT,451191,6/30/21
PERSONAL CARE HOME,Above & Beyond,ABOVE AND BEYOND INCORPORATED,"514 NORTH 22ND STREET,",Allentown,PA,18104,6104322122.0,Lehigh,36,PROFIT,217510,6/30/21
PERSONAL CARE HOME,Above & Beyond At The Knights,ABOVE AND BEYOND AT THE KNIGHTS LLC,"1545 GREENLEAF STREET,",Allentown,PA,18102,6104347433.0,Lehigh,150,PROFIT,226470,6/30/21
PERSONAL CARE HOME,Above & Beyond Mountain View,ABOVE AND BEYOND INCOPORATED,"2232 SW TWENTYNINTH STREET,",Allentown,PA,18103,6107974651.0,Lehigh,150,PROFIT,221140,6/30/21
PERSONAL CARE HOME,Acadia Acquisition 1,ACADIA ACQUISITION INC,"1604/1614 BENTLEY RIDGE BLVD,",Lancaster,PA,17602,7175177893.0,Lancaster,6,PROFIT,331380,6/30/21
PERSONAL CARE HOME,Acadia Acquisition 2,ACADIA ACQUISITION INC,"306/312 BENTLEY RIDGE BLVD,",Lancaster,PA,17602,7175179836.0,Lancaster,6,PROFIT,331430,6/30/21
PERSONAL CARE HOME,Acadia Acquisition 3,ACADIA ACQUISITION INC,"1104/1114 BENTLEY RIDGE BLVD.,",Lancaster,PA,17602,7174359329.0,Lancaster,6,PROFIT,331440,6/30/21
PERSONAL CARE HOME,Acadia Acquisition 4,ACADIA ACQUISITION INC,"950 BENTLEY RIDGE BOULEVARD,",Lancaster,PA,17602,7172083229.0,Lancaster,8,PROFIT,331450,6/30/21
PERSONAL CARE HOME,Acadia Acquisition 5,ACADIA ACQUISITION INC,"649/653 PATRIOT DRIVE,",Lancaster,PA,17601,7173979070.0,Lancaster,5,PROFIT,331470,6/30/21
PERSONAL CARE HOME,Accolade Personal Care Home,BETTRE ESTATES LLC,"101 SOUTH BROAD STREET,",New Freedom,PA,17349,7172270945.0,York,17,PROFIT,335250,6/30/21
PERSONAL CARE HOME,Accolades Senior Care,ACCOLADES SENIOR CARE LLC,"246 MELROSE AVENUE,",East Lansdowne,PA,19050,6106232233.0,Delaware,45,PROFIT,135710,6/30/21
PERSONAL CARE HOME,Action Recovery,MOUNT TREXLER MANOR CORPORATION,"5201 ST. JOSEPH'S ROAD,",Limesport,PA,18060,6109659021.0,Lehigh,8,PROFIT,226870,6/30/21
PERSONAL CARE HOME,Action Recovery,MOUNT TREXLER MANOR CORPORATION,"5201 ST. JOSEPHS ROAD,",Limeport,PA,18060,6109659021.0,Lehigh,8,PROFIT,227290,6/30/21
PERSONAL CARE HOME,Adult Living At Rosebrook,ROSEBROOK OPCO LLC,"723 SOUTH PIKE ROAD,",Sarver,PA,16055,7242954300.0,Butler,100,PROFIT,449610,6/30/21
PERSONAL CARE HOME,Adult Personal Care Home,SHARON AHEARN,"44 BROAD STREET,",Pittston,PA,18640,5702992383.0,Luzerne,8,PROFIT,243860,6/30/21
PERSONAL CARE HOME,Advanced Personal Care Home,ADVANCED PERSONAL CARE HOME INC,"245 CENTER STREET, PO BOX 5,",Clarksville,PA,15322,7243770662.0,Greene,39,PROFIT,440480,6/30/21
PERSONAL CARE HOME,Alc Family Care,ALC FAMILY CARE INC,"897 HOBBIE ROAD,",Wapwallopen,PA,18660,5703793673.0,Luzerne,18,PROFIT,228380,6/30/21
PERSONAL CARE HOME,Alexandria Manor,ALEXANDRIA MANOR OF ALLENTOWN INC,"7 SOUTH NEW STREET,",Nazareth,PA,18064,6107594060.0,Northampton,93,PROFIT,210640,6/30/21
PERSONAL CARE HOME,Alexandria Manor Ii,ALEXANDRIA MANOR OF ALLENTOWN INC,"313 S. WALNUT ST.,",Bath,PA,18014,6108373500.0,Northampton,78,PROFIT,205260,6/30/21
PERSONAL CARE HOME,Alexandria Manor Of Allentown - Bethlehem Campus,"ALEXANDRIA MANOR OF ALLENTOWN, INC.","3534 LINDEN STREET,",Bethlehem,PA,18017,6108673060.0,Northampton,58,PROFIT,214560,6/30/21
PERSONAL CARE HOME,Allegheny Place,GRAINGER AID OPCO LLC,"10960 FRANKSTOWN ROAD,",Penn Hills,PA,15235,4122417080.0,Allegheny,47,PROFIT,444890,6/30/21
PERSONAL CARE HOME,Allegria At The Oaks,BENSALEM PCH LLC,"6400 HULMEVILLE ROAD,",Bensalem,PA,19020,2157529140.0,Bucks,95,PROFIT,143670,6/30/21
PERSONAL CARE HOME,Alliance Adult Living,ALLIANCE ADULT LIVING LLC,"1036 PENNSYLVANIA AVENUE,",Matamoras,PA,18336,5704093198.0,Pike,6,PROFIT,226110,6/30/21
PERSONAL CARE HOME,Alliance Senior Home,ALLIANCE SENIOR HOME LLC,"104 PENNSYLVANIA AVENUE,",Matamoras,PA,18336,5704915302.0,Pike,8,PROFIT,227330,6/30/21
PERSONAL CARE HOME,Allied Services Center City Residence,ALLIED SERVICES PERSONAL CARE INC,"80 EAST NORTHAMPTON STREET,",Wilkes-Barre,PA,18701,5703481329.0,Luzerne,80,NON-PROFIT,228090,6/30/21
PERSONAL CARE HOME,Allied Services Meade Street Residence,ALLIED SERVICES PERSONAL CARE INC,"260 SOUTH MEADE STREET,",Wilkes-Barre,PA,18702,5703481329.0,Luzerne,76,NON-PROFIT,228120,6/30/21
PERSONAL CARE HOME,Allied Terrace,ALLIED SERVICES PERSONAL CARE INC,"100 TERRACE LANE,",Scranton,PA,18508,5703414659.0,Lackawanna,84,NON-PROFIT,200250,6/30/21
PERSONAL CARE HOME,Always On Care,ALWAYS ON CARE LLC,"600 NORTH LAUREL STREET,",Hazelton,PA,18201,9083490574.0,Luzerne,26,PROFIT,230060,6/30/21
PERSONAL CARE HOME,Am/Pm Personal Care Home,"AM PM PERSONAL CARE HOME, INC.","P.O. BOX 123,555 ADRIAN ROAD,",Delancey,PA,15733,8149392676.0,Jefferson,32,PROFIT,407360,6/30/21
PERSONAL CARE HOME,Amber House At Harmon House Care Center,HARMON HOUSE CARE CENTER LLC,"601 SOUTH CHURCH STREET,",Mt. Pleasant,PA,15666,7245471890.0,Westmoreland,70,PROFIT,429140,6/30/21
PERSONAL CARE HOME,American House T/A Hotel Lebanon,HOTEL LEBANON CORPORATION,"23-25 SOUTH NINTH STREET,",Lebanon,PA,17042,7172726678.0,Lebanon,74,PROFIT,344040,6/30/21
PERSONAL CARE HOME,Amity Place,DOUGLASSVILLE AID II OPCO LLC,"139 OLD SWEDE ROAD,",Douglassville,PA,19518,6103857600.0,Berks,100,PROFIT,226560,6/30/21
PERSONAL CARE HOME,Amity Serenity Pines Personal Care Home,AMITY SERENITY PINES PERSONAL CARE HOME LLC,"223 JONES DRIVE,",Bridgeville,PA,15017,8558797733.0,Allegheny,26,PROFIT,448030,6/30/21
PERSONAL CARE HOME,Amity Slippery Rock Personal Care Home,AMITY SENIOR LIVING LLC,"276 RALSTON ROAD,",Slippery Rock,PA,16057,7247945680.0,Butler,20,PROFIT,444380,6/30/21
PERSONAL CARE HOME,Andsher Personal Care Home,ANDSHER PERSONAL CARE HOME INC,"20 NORTH KENNEDY DRIVE,",Mcadoo,PA,18237,5709291777.0,Schuylkill,27,PROFIT,242510,6/30/21
PERSONAL CARE HOME,Angel'S Family Manor Personal Care Home,ANGELS FAMILY MANOR PERSONAL CARE HOME INC,"218 NORTH MAIN AVENUE,",Scranton,PA,18504,5703415012.0,Lackawanna,53,PROFIT,210620,6/30/21
PERSONAL CARE HOME,Angels 211 Llc,ANGELS 211 LLC,"211 GARNIER STREET,",Sharpsburg,PA,15215,4127848344.0,Allegheny,40,PROFIT,445810,6/30/21
PERSONAL CARE HOME,Ann'S Choice,ANNS CHOICE INC,"16000 ANN'S CHOICE WAY,",Warminster,PA,18974,2154433801.0,Bucks,44,NON-PROFIT,129010,6/30/21
PERSONAL CARE HOME,Ann'S Grove Personal Care Home,"ANN'S GROVE PERSONAL CARE HOME, INC.","601 SUGAR HOLLOW ROAD,",Tunkhannock,PA,18657,5708361381.0,Wyoming,22,PROFIT,208250,6/30/21
PERSONAL CARE HOME,Anna'S House,CITIZENS ACTING TOGETHER CAN HELP INC,"1208-1212 SOUTH 15TH STREET,",Philadelphia,PA,19146,2155516540.0,Philadelphia,16,NON-PROFIT,140300,6/30/21
PERSONAL CARE HOME,Annalisa'S A Touch Of Home,LELO MANAGEMENT LLC,"414 PERRY ROAD,",Perryopolis,PA,15473,7247364100.0,Fayette,49,PROFIT,443441,6/30/21
PERSONAL CARE HOME,Anthology Of King Of Prussia,CA SENIOR VALLEY FORGE OPERATOR LLC,"350 GUTHRIE ROAD,",King Of Prussia,PA,19406,4849567300.0,Montgomery,128,PROFIT,147880,6/30/21
PERSONAL CARE HOME,Anthology Of Mccandless,CA SENIOR MCCANDLESS II OPERATOR LLC,"8651 CAREY LANE,",Pittsburgh,PA,15237,4123927000.0,Allegheny,94,PROFIT,449980,6/30/21
PERSONAL CARE HOME,Apple Blossom Senior Living,BRODHEAD SENIOR LIVING LLC,"125 APPLE BLOSSOM WAY,",Moon Township,PA,15108,4123758400.0,Allegheny,150,PROFIT,450720,6/30/21
PERSONAL CARE HOME,Apple Blossom Senior Living,BRODHEAD SENIOR LIVING LLC,"115 APPLE BLOSSOM WAY,",Moon Township,PA,15108,4123758400.0,Allegheny,40,PROFIT,450730,6/30/21
PERSONAL CARE HOME,Aprontree Personal Care Home,BETTY K. SHATZER,"18015 PATH VALLEY ROAD,",Spring Run,PA,17262,7173497329.0,Franklin,21,PROFIT,360120,6/30/21
PERSONAL CARE HOME,Arbor Terrace Willistown,SHP V WILLISTOWN LLC,"1713 WEST CHESTER PIKE,",West Chester,PA,19382,6107251713.0,Chester,104,PROFIT,142450,6/30/21
PERSONAL CARE HOME,Arbor Terrace Exton,CSH EXTON LESSEE LLC,"100 OAKLANDS BOULEVARD,",Exton,PA,19341,4142659360.0,Chester,99,PROFIT,147930,6/30/21
PERSONAL CARE HOME,Arbour Square At West Chester,WARD SENIOR CARE LLC,"1201 WARD AVENUE,",West Chester,PA,19380,4844019800.0,Chester,94,PROFIT,144100,6/30/21
PERSONAL CARE HOME,Arbutus Park Manor,ARBUTUS PARK MANOR INC,"207 OTTAWA STREET,",Johnstown,PA,15904,8142668621.0,Cambria,35,NON-PROFIT,300060,6/30/21
PERSONAL CARE HOME,Arc Housing Of Lawrence County,LAWRENCE COUNTY ASSOCIATION FOR RESPONSIBLE CARE,"1111 1/2 SOUTH CASCADE STREET,",New Castle,PA,16101,7246588615.0,Lawrence,29,NON-PROFIT,467060,6/30/21
PERSONAL CARE HOME,Arcadia At Limerick Pointe,ARCADIA AT LIMERICK POINTE LLC,"51 WEST ARCADIA DRIVE,",Limerick,PA,19468,6109811904.0,Montgomery,110,PROFIT,147950,6/30/21
PERSONAL CARE HOME,Arden Courts Of Allentown,ARDEN COURTS OF ALLENTOWN PA LLC,"5151 HAMILTON BOULEVARD,",Allentown,PA,18106,6103669010.0,Lehigh,56,PROFIT,217870,6/30/21
PERSONAL CARE HOME,Arden Courts Of Jefferson Hills,ARDEN COURTS OF JEFFERSON HILLS PA LLC,"380 WRAY LARGE ROAD,",Jefferson Hills,PA,15025,4123840300.0,Allegheny,60,PROFIT,435510,6/30/21
PERSONAL CARE HOME,Arden Courts Of King Of Prussia,ARDEN COURTS OF KING OF PRUSSIA PA LLC,"620 WEST VALLEY FORGE ROAD,",King Of Prussia,PA,19406,6103371214.0,Montgomery,64,PROFIT,129950,6/30/21
PERSONAL CARE HOME,Arden Courts Of Monroeville,ARDEN COURTS OF MONROEVILLE PA LLC,"120 WYNGATE DRIVE,",Monroeville,PA,15146,4123801300.0,Allegheny,56,PROFIT,435520,6/30/21
PERSONAL CARE HOME,Arden Courts Of North Hills,ARDEN COURTS NORTH HILLS OF PITTSBURGH PA LLC,"1125 PERRY HIGHWAY,",Pittsburgh,PA,15237,4123697887.0,Allegheny,56,PROFIT,435530,6/30/21
PERSONAL CARE HOME,Arden Courts Of Old Orchard,OLD ORCHARD HEALTH CARE CENTER - EASTON PA LLC,"4098 FREEMANSBURG AVENUE,",Easton,PA,18045,4843735135.0,Northampton,64,PROFIT,226040,6/30/21
PERSONAL CARE HOME,Arden Courts Of Susquehanna,ARDEN COURTS SUSQUEHANNA OF HARRISBURG PA LLC,"2625 AILANTHUS LANE,",Harrisburg,PA,17110,7175407018.0,Dauphin,64,PROFIT,324310,6/30/21
PERSONAL CARE HOME,Arden Courts Of Warminster,ARDEN COURTS WARMINSTER OF HATBORO PA LLC,"779 WEST COUNTY LINE ROAD,",Hatboro,PA,19040,2159575182.0,Bucks,60,PROFIT,129960,6/30/21
PERSONAL CARE HOME,Arden Courts Of Yardley,ARDEN COURTS OF YARDLEY PA LLC,"493 STONY HILL ROAD,",Yardley,PA,19067,2153216166.0,Bucks,66,PROFIT,129970,6/30/21
PERSONAL CARE HOME,Ark Manor,ARK MANOR LLC,"105 SANDRA DRIVE,",Delmont,PA,15626,7244686200.0,Westmoreland,70,PROFIT,446860,6/30/21
PERSONAL CARE HOME,Arotin'S Hummingbird Estate,AROTINS HUMMINGBIRD ESTATE INC,"400 PARK AVENUE,",Patton,PA,16668,8145238195.0,Cambria,15,PROFIT,333070,6/30/21
PERSONAL CARE HOME,Artis Senior Living Of Huntingdon Valley,ARTIS SENIOR LIVING OF LOWER MORELAND LLC,"2085 LIEBERMAN DRIVE,",Huntingdon Valley,PA,19006,2675712699.0,Montgomery,72,PROFIT,142790,6/30/21
PERSONAL CARE HOME,Artis Senior Living Of South Hills,ARTIS SENIOR LIVING OF BETHEL PARK LLC,"1001 HIGBEE DRIVE,",Bethel Park,PA,15102,4125958917.0,Allegheny,72,PROFIT,449160,6/30/21
PERSONAL CARE HOME,Artis Senior Living Of West Shore,ARTIS SENIOR LIVING OF LEMOYNE LLC,"150 NORTH 12TH STREET,",Lemoyne,PA,17043,7174098921.0,Cumberland,64,PROFIT,333700,6/30/21
PERSONAL CARE HOME,Artis Senior Living Of Yardley,ARTIS SENIOR LIVING OF LOWER MAKEFIELD LLC,"765 STONY HILL ROAD,",Yardley,PA,19067,2673925945.0,Bucks,72,PROFIT,146500,6/30/21
PERSONAL CARE HOME,Artman Lutheran Home,ARTMAN LUTHERAN HOME,"250 BETHLEHEM PIKE,",Ambler,PA,19002,2156439926.0,Montgomery,136,NON-PROFIT,127780,6/30/21
PERSONAL CARE HOME,Asbury Health Center,ASBURY HEALTH CENTER INC,"700 BOWER HILL ROAD,",Pittsburgh,PA,15243,4123411030.0,Allegheny,120,NON-PROFIT,429670,6/30/21
PERSONAL CARE HOME,Asbury Place,ASBURY PLACE INC,"760 BOWER HILL ROAD,",Pittsburgh,PA,15243,4125715660.0,Allegheny,42,NON-PROFIT,431550,6/30/21
PERSONAL CARE HOME,Asbury Villas,ASBURY VILLAS,"730 BOWER HILL ROAD,",Pittsburgh,PA,15243,4125715380.0,Allegheny,100,NON-PROFIT,429980,6/30/21
PERSONAL CARE HOME,At Home At Parkland - Building 1,AT HOME PALLIATIVE AND HOSPICE FOUNDATION,"4315 WASHINGTON STREET,",Schnecksville,PA,18078,6108208301.0,Lehigh,24,NON-PROFIT,226100,6/30/21
PERSONAL CARE HOME,At Home Palliative And Hospice Foundation-Building 2,AT HOME PALLIATIVE AND HOSPICE FOUNDATION,"4315 WASHINGTON STREET,",Schnecksville,PA,18078,6108208301.0,Lehigh,23,NON-PROFIT,225780,6/30/21
PERSONAL CARE HOME,Atria At Cranberry Woods,FDG CB OPCO LLC,"3020 FAIRPORT LANE,",Cranberry Township,PA,16066,7242418750.0,Butler,115,PROFIT,452680,6/30/21
PERSONAL CARE HOME,Atria Bethlehem,WG BETHLEHEM SH LLC,"1745 WEST MACADA ROAD,",Bethlehem,PA,18017,6103170700.0,Northampton,150,PROFIT,222810,6/30/21
PERSONAL CARE HOME,Atria Center City,WG CENTER CITY SH LLC,"150 NORTH 20TH STREET,",Philadelphia,PA,19103,2155645455.0,Philadelphia,165,PROFIT,136570,6/30/21
PERSONAL CARE HOME,Atria Lafayette Hill,SQR OPCO LLC,"9303 RIDGE PIKE,",Philadelphia,PA,19128,2677687779.0,Philadelphia,170,PROFIT,146650,6/30/21
PERSONAL CARE HOME,Atria Mccandless,CA SENIOR MCCANDLESS OPERATOR LLC,"8870 DUNCAN AVENUE,",Pittsburgh,PA,15237,4125367001.0,Allegheny,211,PROFIT,452171,6/30/21
PERSONAL CARE HOME,Atria South Hills,WG SOUTH HILLS SH LLC,"5300 CLAIRTON BOULEVARD,",Pittsburgh,PA,15236,4128841200.0,Allegheny,139,PROFIT,442840,6/30/21
PERSONAL CARE HOME,Autumn Commons,RALPH T POWER,"1050 WEST GRANT AVENUE,",Duquesne,PA,15110,4124699669.0,Allegheny,21,PROFIT,431630,6/30/21
PERSONAL CARE HOME,Autumn House East,SENIOR CARE ON EAST MARKET LLC,"2618 EAST MARKET STREET,",York,PA,17402,7177555911.0,York,150,PROFIT,334260,6/30/21
PERSONAL CARE HOME,Autumn House Of York,SENIOR CARE ON MARKET ST LLC,"914 WEST MARKET STREET,",York,PA,17401,7178457214.0,York,132,PROFIT,332350,6/30/21
PERSONAL CARE HOME,Autumn Lane Personal Care - Home Of Robinson Twp.,DF CORPORATION,"5793 STEUBENVILLE PIKE,",Mckees Rocks,PA,15136,4127880442.0,Allegheny,7,PROFIT,432880,6/30/21
PERSONAL CARE HOME,Autumn Lane Personal Care Home Of Moon Twp.,D.F. CORP.,"1757 BRODHEAD ROAD,",Moon Township,PA,15108,7244578338.0,Allegheny,8,PROFIT,432870,6/30/21
PERSONAL CARE HOME,Back To Basics Personal Care,SHERRY STOCKDALE,"215 SLAUGHTERHOUSE ROAD,",Dayton,PA,16222,8142578699.0,Armstrong,16,PROFIT,427180,6/30/21
PERSONAL CARE HOME,Baptist Homes,BAPTIST HOMES SOCIETY,"489 CASTLE SHANNON BOULEVARD,",Pittsburgh,PA,15234,4125636550.0,Allegheny,58,NON-PROFIT,429590,6/30/21
PERSONAL CARE HOME,Barclay Friends,BARCLAY FRIENDS,"700 NORTH FRANKLIN STREET,",West Chester,PA,19380,6106965211.0,Chester,75,NON-PROFIT,146820,6/30/21
PERSONAL CARE HOME,Barnabas Court At Brevillier Village,BALL PAVILION INC,"5416 EAST LAKE ROAD,",Erie,PA,16511,8148998600.0,Erie,120,NON-PROFIT,453060,6/30/21
PERSONAL CARE HOME,Barnes Place,BARNES AID OPCO LLC,"2021 JAMES STREET,",Latrobe,PA,15650,7245378005.0,Westmoreland,68,PROFIT,444880,6/30/21
PERSONAL CARE HOME,Bayberry Place,BAYBERRY AID OPCO LLC,"101 LITTLE DRIVE,",Lower Burrell,PA,15068,7243397626.0,Westmoreland,48,PROFIT,444910,6/30/21
PERSONAL CARE HOME,Beaumont At Bryn Mawr,BEAUMONT RETIREMENT COMMUNITY INC,"601 NORTH ITHAN AVENUE,",Bryn Mawr,PA,19010,6105267000.0,Montgomery,18,NON-PROFIT,127930,6/30/21
PERSONAL CARE HOME,Beaver Falls Pch,BEAVER FALLS PCH LLC,"300 PINE STREET,",Beaver Falls,PA,15010,7248471093.0,Beaver,81,PROFIT,451300,6/30/21
PERSONAL CARE HOME,Beaver Meadows,HAP SENIOR CARE,"5130 TUSCARAWAS ROAD,",Beaver,PA,15009,7244951600.0,Beaver,83,NON-PROFIT,418010,6/30/21
PERSONAL CARE HOME,Beechwood Center 1,"WOODS SERVICES, INC.","585 BEECHWOOD CIRCLE,",Langhorne,PA,19047,2157504001.0,Bucks,8,NON-PROFIT,126770,6/30/21
PERSONAL CARE HOME,Beechwood Center 10,WOODS SERVICES,"588 BEECHWOOD CIRCLE,",Langhorne,PA,19047,2157504299.0,Bucks,8,NON-PROFIT,141480,6/30/21
PERSONAL CARE HOME,Beechwood Center 2,"WOODS SERVICES, INC.","589 BEECHWOOD CIRCLE,",Langhorne,PA,19047,2157504001.0,Bucks,8,NON-PROFIT,129640,6/30/21
PERSONAL CARE HOME,Beechwood Center 3,"WOODS SERVICES, INC.","587 BEECHWOOD CIRCLE,",Langhorne,PA,19047,2157504001.0,Bucks,8,NON-PROFIT,129650,6/30/21
PERSONAL CARE HOME,Beechwood Center 4,"WOODS SERVICES, INC.","586 BEECHWOOD CIRCLE,",Langhorne,PA,19047,2157504001.0,Bucks,8,NON-PROFIT,129660,6/30/21
