Service Type,Program Office,Facility Name,Legal Entity Name,Address,City,State,Zip,Phone,County,Region,Capacity,Type of Operation,License Status,License Number,Type of License,Inspection Summary Link,Quality Service Review Link,Waiver Link
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALEXANDRIA MANOR OF ALLENTOWN - BETHLEHEM CAMPUS,"ALEXANDRIA MANOR OF ALLENTOWN, INC.","3534 LINDEN STREET,",BETHLEHEM,PA,18017,6108673060,NORTHAMPTON,NORTHEAST,58,PROFIT,LICENSED,214560,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALLEGHENY PLACE,GRAINGER AID OPCO LLC,"10960 FRANKSTOWN ROAD,",PENN HILLS,PA,15235,4122417080,ALLEGHENY,WESTERN,47,PROFIT,LICENSED,444890,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALLEGRIA AT THE OAKS,BENSALEM PCH LLC,"6400 HULMEVILLE ROAD,",BENSALEM,PA,19020,2157529140,BUCKS,SOUTHEAST,95,PROFIT,LICENSED,143670,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALLIANCE ADULT LIVING,ALLIANCE ADULT LIVING LLC,"1036 PENNSYLVANIA AVENUE,",MATAMORAS,PA,18336,5704093198,PIKE,NORTHEAST,6,PROFIT,LICENSED,226110,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALLIANCE SENIOR HOME,ALLIANCE SENIOR HOME LLC,"104 PENNSYLVANIA AVENUE,",MATAMORAS,PA,18336,5704915302,PIKE,NORTHEAST,8,PROFIT,LICENSED,227330,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALLIED SERVICES CENTER CITY RESIDENCE,ALLIED SERVICES PERSONAL CARE INC,"80 EAST NORTHAMPTON STREET,",WILKES-BARRE,PA,18701,5703481329,LUZERNE,NORTHEAST,80,NON-PROFIT,LICENSED,228090,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALLIED SERVICES MEADE STREET RESIDENCE,ALLIED SERVICES PERSONAL CARE INC,"260 SOUTH MEADE STREET,",WILKES-BARRE,PA,18702,5703481329,LUZERNE,NORTHEAST,76,NON-PROFIT,LICENSED,228120,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALLIED TERRACE,ALLIED SERVICES PERSONAL CARE INC,"100 TERRACE LANE,",SCRANTON,PA,18508,5703414659,LACKAWANNA,NORTHEAST,84,NON-PROFIT,LICENSED,200250,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALWAYS ON CARE,ALWAYS ON CARE LLC,"600 NORTH LAUREL STREET,",HAZELTON,PA,18201,9083490574,LUZERNE,NORTHEAST,26,PROFIT,LICENSED,230060,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AM/PM PERSONAL CARE HOME,"AM PM PERSONAL CARE HOME, INC.","P.O. BOX 123,555 ADRIAN ROAD,",DELANCEY,PA,15733,8149392676,JEFFERSON,WESTERN,32,PROFIT,LICENSED,407360,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AMBER HOUSE AT HARMON HOUSE CARE CENTER,HARMON HOUSE CARE CENTER LLC,"601 SOUTH CHURCH STREET,",MT. PLEASANT,PA,15666,7245471890,WESTMORELAND,WESTERN,70,PROFIT,LICENSED,429140,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AMERICAN HOUSE T/A HOTEL LEBANON,HOTEL LEBANON CORPORATION,"23-25 SOUTH NINTH STREET,",LEBANON,PA,17042,7172726678,LEBANON,CENTRAL,74,PROFIT,LICENSED,344040,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AMITY PLACE,DOUGLASSVILLE AID II OPCO LLC,"139 OLD SWEDE ROAD,",DOUGLASSVILLE,PA,19518,6103857600,BERKS,NORTHEAST,100,PROFIT,LICENSED,226560,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AMITY SERENITY PINES PERSONAL CARE HOME,AMITY SERENITY PINES PERSONAL CARE HOME LLC,"223 JONES DRIVE,",BRIDGEVILLE,PA,15017,8558797733,ALLEGHENY,WESTERN,26,PROFIT,LICENSED,448030,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AMITY SLIPPERY ROCK PERSONAL CARE HOME,AMITY SENIOR LIVING LLC,"276 RALSTON ROAD,",SLIPPERY ROCK,PA,16057,7247945680,BUTLER,WESTERN,20,PROFIT,LICENSED,444380,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ANDSHER PERSONAL CARE HOME,ANDSHER PERSONAL CARE HOME INC,"20 NORTH KENNEDY DRIVE,",MCADOO,PA,18237,5709291777,SCHUYLKILL,NORTHEAST,27,PROFIT,LICENSED,242510,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ANGEL'S FAMILY MANOR PERSONAL CARE HOME,ANGELS FAMILY MANOR PERSONAL CARE HOME INC,"218 NORTH MAIN AVENUE,",SCRANTON,PA,18504,5703415012,LACKAWANNA,NORTHEAST,53,PROFIT,LICENSED,210620,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ANGELS 211 LLC,ANGELS 211 LLC,"211 GARNIER STREET,",SHARPSBURG,PA,15215,4127848344,ALLEGHENY,WESTERN,40,PROFIT,LICENSED,445810,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ANN'S CHOICE,ANNS CHOICE INC,"16000 ANN'S CHOICE WAY,",WARMINSTER,PA,18974,2154433801,BUCKS,SOUTHEAST,44,NON-PROFIT,LICENSED,129010,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ANN'S GROVE PERSONAL CARE HOME,"ANN'S GROVE PERSONAL CARE HOME, INC.","601 SUGAR HOLLOW ROAD,",TUNKHANNOCK,PA,18657,5708361381,WYOMING,NORTHEAST,22,PROFIT,LICENSED,208250,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ANNA'S HOUSE,CITIZENS ACTING TOGETHER CAN HELP INC,"1208-1212 SOUTH 15TH STREET,",PHILADELPHIA,PA,19146,2155516540,PHILADELPHIA,SOUTHEAST,16,NON-PROFIT,LICENSED,140300,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ANNALISA'S A TOUCH OF HOME,LELO MANAGEMENT LLC,"414 PERRY ROAD,",PERRYOPOLIS,PA,15473,7247364100,FAYETTE,WESTERN,49,PROFIT,LICENSED,443441,PROVISIONAL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ANTHOLOGY OF KING OF PRUSSIA,CA SENIOR VALLEY FORGE OPERATOR LLC,"350 GUTHRIE ROAD,",KING OF PRUSSIA,PA,19406,4849567300,MONTGOMERY,SOUTHEAST,128,PROFIT,LICENSED,147880,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ANTHOLOGY OF MCCANDLESS,CA SENIOR MCCANDLESS II OPERATOR LLC,"8651 CAREY LANE,",PITTSBURGH,PA,15237,4123927000,ALLEGHENY,WESTERN,94,PROFIT,LICENSED,449980,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,APPLE BLOSSOM SENIOR LIVING,BRODHEAD SENIOR LIVING LLC,"125 APPLE BLOSSOM WAY,",MOON TOWNSHIP,PA,15108,4123758400,ALLEGHENY,WESTERN,150,PROFIT,LICENSED,450720,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,APPLE BLOSSOM SENIOR LIVING,BRODHEAD SENIOR LIVING LLC,"115 APPLE BLOSSOM WAY,",MOON TOWNSHIP,PA,15108,4123758400,ALLEGHENY,WESTERN,40,PROFIT,LICENSED,450730,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,APRONTREE PERSONAL CARE HOME,BETTY K. SHATZER,"18015 PATH VALLEY ROAD,",SPRING RUN,PA,17262,7173497329,FRANKLIN,CENTRAL,21,PROFIT,LICENSED,360120,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARBOR TERRACE WILLISTOWN,SHP V WILLISTOWN LLC,"1713 WEST CHESTER PIKE,",WEST CHESTER,PA,19382,6107251713,CHESTER,SOUTHEAST,104,PROFIT,LICENSED,142450,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARBOR TERRACE EXTON,CSH EXTON LESSEE LLC,"100 OAKLANDS BOULEVARD,",EXTON,PA,19341,4142659360,CHESTER,SOUTHEAST,99,PROFIT,LICENSED,147930,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARBOUR SQUARE AT WEST CHESTER,WARD SENIOR CARE LLC,"1201 WARD AVENUE,",WEST CHESTER,PA,19380,4844019800,CHESTER,SOUTHEAST,94,PROFIT,LICENSED,144100,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARBUTUS PARK MANOR,ARBUTUS PARK MANOR INC,"207 OTTAWA STREET,",JOHNSTOWN,PA,15904,8142668621,CAMBRIA,CENTRAL,35,NON-PROFIT,LICENSED,300060,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARC HOUSING OF LAWRENCE COUNTY,LAWRENCE COUNTY ASSOCIATION FOR RESPONSIBLE CARE,"1111 1/2 SOUTH CASCADE STREET,",NEW CASTLE,PA,16101,7246588615,LAWRENCE,WESTERN,29,NON-PROFIT,LICENSED,467060,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARCADIA AT LIMERICK POINTE,ARCADIA AT LIMERICK POINTE LLC,"51 WEST ARCADIA DRIVE,",LIMERICK,PA,19468,6109811904,MONTGOMERY,SOUTHEAST,110,PROFIT,LICENSED,147950,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARDEN COURTS OF ALLENTOWN,ARDEN COURTS OF ALLENTOWN PA LLC,"5151 HAMILTON BOULEVARD,",ALLENTOWN,PA,18106,6103669010,LEHIGH,NORTHEAST,56,PROFIT,LICENSED,217870,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARDEN COURTS OF JEFFERSON HILLS,ARDEN COURTS OF JEFFERSON HILLS PA LLC,"380 WRAY LARGE ROAD,",JEFFERSON HILLS,PA,15025,4123840300,ALLEGHENY,WESTERN,60,PROFIT,LICENSED,435510,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARDEN COURTS OF KING OF PRUSSIA,ARDEN COURTS OF KING OF PRUSSIA PA LLC,"620 WEST VALLEY FORGE ROAD,",KING OF PRUSSIA,PA,19406,6103371214,MONTGOMERY,SOUTHEAST,64,PROFIT,LICENSED,129950,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARDEN COURTS OF MONROEVILLE,ARDEN COURTS OF MONROEVILLE PA LLC,"120 WYNGATE DRIVE,",MONROEVILLE,PA,15146,4123801300,ALLEGHENY,WESTERN,56,PROFIT,LICENSED,435520,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARDEN COURTS OF NORTH HILLS,ARDEN COURTS NORTH HILLS OF PITTSBURGH PA LLC,"1125 PERRY HIGHWAY,",PITTSBURGH,PA,15237,4123697887,ALLEGHENY,WESTERN,56,PROFIT,LICENSED,435530,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARDEN COURTS OF OLD ORCHARD,OLD ORCHARD HEALTH CARE CENTER - EASTON PA LLC,"4098 FREEMANSBURG AVENUE,",EASTON,PA,18045,4843735135,NORTHAMPTON,NORTHEAST,64,PROFIT,LICENSED,226040,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARDEN COURTS OF SUSQUEHANNA,ARDEN COURTS SUSQUEHANNA OF HARRISBURG PA LLC,"2625 AILANTHUS LANE,",HARRISBURG,PA,17110,7175407018,DAUPHIN,CENTRAL,64,PROFIT,LICENSED,324310,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARDEN COURTS OF WARMINSTER,ARDEN COURTS WARMINSTER OF HATBORO PA LLC,"779 WEST COUNTY LINE ROAD,",HATBORO,PA,19040,2159575182,BUCKS,SOUTHEAST,60,PROFIT,LICENSED,129960,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARDEN COURTS OF YARDLEY,ARDEN COURTS OF YARDLEY PA LLC,"493 STONY HILL ROAD,",YARDLEY,PA,19067,2153216166,BUCKS,SOUTHEAST,66,PROFIT,LICENSED,129970,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARK MANOR,ARK MANOR LLC,"105 SANDRA DRIVE,",DELMONT,PA,15626,7244686200,WESTMORELAND,WESTERN,70,PROFIT,LICENSED,446860,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AROTIN'S HUMMINGBIRD ESTATE,AROTINS HUMMINGBIRD ESTATE INC,"400 PARK AVENUE,",PATTON,PA,16668,8145238195,CAMBRIA,CENTRAL,15,PROFIT,LICENSED,333070,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARTIS SENIOR LIVING OF HUNTINGDON VALLEY,ARTIS SENIOR LIVING OF LOWER MORELAND LLC,"2085 LIEBERMAN DRIVE,",HUNTINGDON VALLEY,PA,19006,2675712699,MONTGOMERY,SOUTHEAST,72,PROFIT,LICENSED,142790,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARTIS SENIOR LIVING OF SOUTH HILLS,ARTIS SENIOR LIVING OF BETHEL PARK LLC,"1001 HIGBEE DRIVE,",BETHEL PARK,PA,15102,4125958917,ALLEGHENY,WESTERN,72,PROFIT,LICENSED,449160,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARTIS SENIOR LIVING OF WEST SHORE,ARTIS SENIOR LIVING OF LEMOYNE LLC,"150 NORTH 12TH STREET,",LEMOYNE,PA,17043,7174098921,CUMBERLAND,CENTRAL,64,PROFIT,LICENSED,333700,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARTIS SENIOR LIVING OF YARDLEY,ARTIS SENIOR LIVING OF LOWER MAKEFIELD LLC,"765 STONY HILL ROAD,",YARDLEY,PA,19067,2673925945,BUCKS,SOUTHEAST,72,PROFIT,LICENSED,146500,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ARTMAN LUTHERAN HOME,ARTMAN LUTHERAN HOME,"250 BETHLEHEM PIKE,",AMBLER,PA,19002,2156439926,MONTGOMERY,SOUTHEAST,136,NON-PROFIT,LICENSED,127780,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ASBURY HEALTH CENTER,ASBURY HEALTH CENTER INC,"700 BOWER HILL ROAD,",PITTSBURGH,PA,15243,4123411030,ALLEGHENY,WESTERN,120,NON-PROFIT,LICENSED,429670,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ASBURY PLACE,ASBURY PLACE INC,"760 BOWER HILL ROAD,",PITTSBURGH,PA,15243,4125715660,ALLEGHENY,WESTERN,42,NON-PROFIT,LICENSED,431550,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ASBURY VILLAS,ASBURY VILLAS,"730 BOWER HILL ROAD,",PITTSBURGH,PA,15243,4125715380,ALLEGHENY,WESTERN,100,NON-PROFIT,LICENSED,429980,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AT HOME AT PARKLAND - BUILDING 1,AT HOME PALLIATIVE AND HOSPICE FOUNDATION,"4315 WASHINGTON STREET,",SCHNECKSVILLE,PA,18078,6108208301,LEHIGH,NORTHEAST,24,NON-PROFIT,LICENSED,226100,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AT HOME PALLIATIVE AND HOSPICE FOUNDATION-BUILDING 2,AT HOME PALLIATIVE AND HOSPICE FOUNDATION,"4315 WASHINGTON STREET,",SCHNECKSVILLE,PA,18078,6108208301,LEHIGH,NORTHEAST,23,NON-PROFIT,LICENSED,225780,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ATRIA AT CRANBERRY WOODS,FDG CB OPCO LLC,"3020 FAIRPORT LANE,",CRANBERRY TOWNSHIP,PA,16066,7242418750,BUTLER,WESTERN,115,PROFIT,LICENSED,452680,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ATRIA BETHLEHEM,WG BETHLEHEM SH LLC,"1745 WEST MACADA ROAD,",BETHLEHEM,PA,18017,6103170700,NORTHAMPTON,NORTHEAST,150,PROFIT,LICENSED,222810,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ATRIA CENTER CITY,WG CENTER CITY SH LLC,"150 NORTH 20TH STREET,",PHILADELPHIA,PA,19103,2155645455,PHILADELPHIA,SOUTHEAST,165,PROFIT,LICENSED,136570,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ATRIA LAFAYETTE HILL,SQR OPCO LLC,"9303 RIDGE PIKE,",PHILADELPHIA,PA,19128,2677687779,PHILADELPHIA,SOUTHEAST,170,PROFIT,LICENSED,146650,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ATRIA MCCANDLESS,CA SENIOR MCCANDLESS OPERATOR LLC,"8870 DUNCAN AVENUE,",PITTSBURGH,PA,15237,4125367001,ALLEGHENY,WESTERN,211,PROFIT,LICENSED,452171,PROVISIONAL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ATRIA SOUTH HILLS,WG SOUTH HILLS SH LLC,"5300 CLAIRTON BOULEVARD,",PITTSBURGH,PA,15236,4128841200,ALLEGHENY,WESTERN,139,PROFIT,LICENSED,442840,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AUTUMN COMMONS,RALPH T POWER,"1050 WEST GRANT AVENUE,",DUQUESNE,PA,15110,4124699669,ALLEGHENY,WESTERN,21,PROFIT,LICENSED,431630,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AUTUMN HOUSE EAST,SENIOR CARE ON EAST MARKET LLC,"2618 EAST MARKET STREET,",YORK,PA,17402,7177555911,YORK,CENTRAL,150,PROFIT,LICENSED,334260,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AUTUMN HOUSE OF YORK,SENIOR CARE ON MARKET ST LLC,"914 WEST MARKET STREET,",YORK,PA,17401,7178457214,YORK,CENTRAL,132,PROFIT,LICENSED,332350,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AUTUMN LANE PERSONAL CARE - HOME OF ROBINSON TWP.,DF CORPORATION,"5793 STEUBENVILLE PIKE,",MCKEES ROCKS,PA,15136,4127880442,ALLEGHENY,WESTERN,7,PROFIT,LICENSED,432880,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,AUTUMN LANE PERSONAL CARE HOME OF MOON TWP.,D.F. CORP.,"1757 BRODHEAD ROAD,",MOON TOWNSHIP,PA,15108,7244578338,ALLEGHENY,WESTERN,8,PROFIT,LICENSED,432870,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,BACK TO BASICS PERSONAL CARE,SHERRY STOCKDALE,"215 SLAUGHTERHOUSE ROAD,",DAYTON,PA,16222,8142578699,ARMSTRONG,WESTERN,16,PROFIT,LICENSED,427180,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,BAPTIST HOMES,BAPTIST HOMES SOCIETY,"489 CASTLE SHANNON BOULEVARD,",PITTSBURGH,PA,15234,4125636550,ALLEGHENY,WESTERN,58,NON-PROFIT,LICENSED,429590,FULL,Inspection Summary,,Waiver
