Service Type,Program Office,Facility Name,Legal Entity Name,Address,City,State,Zip,Phone,County,Region,Capacity,Type of Operation,License Status,License Number,Type of License,Inspection Summary Link,Quality Service Review Link,Waiver Link
ASSISTED LIVING,Assisted Living,OAKBRIDGE TERRACE ASSISTED LIVINGAT BRITTANY POINTE ESTATES,ACTS RETIREMENT-LIFE COMMUNITIES INC,"1001 VALLEY FORGE ROAD,",LANDSDALE,PA,19446,2158554109,MONTGOMERY,SOUTHEAST,41,NON-PROFIT,LICENSED,138930,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,OAKBRIDGE TERRACE AT FORT WASHINGTON ESTATES,ACTS RETIREMENT-LIFE COMMUNITIES INC,735 SUSQUEHANNA ROAD,FORT WASHINGTON,PA,19034,2155428787,MONTGOMERY,SOUTHEAST,18,NON-PROFIT,LICENSED,138940,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,OAKBRIDGE TERRACE AT GRANITE FARMS ESTATES,ACTS RETIREMENT-LIFE COMMUNITIES INC,1343 W. BALTIMORE PIKE,MEDIA,PA,19063,6103584946,DELAWARE,SOUTHEAST,44,NON-PROFIT,LICENSED,138900,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,OAKBRIDGE TERRACE AT GWYNEDD ESTATES,ACTS RETIREMENT-LIFE COMMUNITIES INC,301 NORRISTOWN ROAD,AMBLER,PA,19002,2156288840,MONTGOMERY,SOUTHEAST,20,NON-PROFIT,LICENSED,138970,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,OAKBRIDGE TERRACE AT LIMA ESTATES,ACTS RETIREMENT - LIFE COMMUNITIES INC,"411 N. MIDDLETOWN ROAD,",MEDIA,PA,19063,6108920844,DELAWARE,SOUTHEAST,36,NON-PROFIT,LICENSED,138910,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,QUALITY LIFE SERVICES MERCER,COUNTRYSIDE CONVALESCENT HOME LIMITED PARTNERSHIP,"8221 LAMOR ROAD,",MERCER,PA,16137,7246625860,MERCER,WESTERN,64,PROFIT,LICENSED,450290,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,QUALITY LIFE SERVICES OF GROVE CITY,TRINITY LIVING CENTER LP,"400 HILLCREST AVENUE,",GROVE CITY,PA,16127,7244589501,MERCER,WESTERN,20,PROFIT,LICENSED,451830,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,RICHLAND WOODS ASSISTED LIVING,RICHLAND WOODS ASSISTED LIVING LTD,"3324 ELTON ROAD,",JOHNSTOWN,PA,15904,8142667113,CAMBRIA,CENTRAL,70,PROFIT,LICENSED,331060,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,SAUCON VALLEY MANOR,SAUCON VALLEY MANOR INC,"1050 MAIN STREET,",HELLERTOWN,PA,18055,6107488888,NORTHAMPTON,NORTHEAST,22,PROFIT,LICENSED,226450,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,SENECA MANOR,UPMC SENIOR COMMUNITIES,"5340 SALTSBURG ROAD,",VERONA,PA,15147,4127986000,ALLEGHENY,WESTERN,100,NON-PROFIT,LICENSED,444990,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,SOUTHWOODS ASSISTED LIVING,SOUTHWOODS ASSISTED LIVING LTD,"322 SOUTH MARTIN STREET,",TITUSVILLE,PA,16354,8148278727,CRAWFORD,WESTERN,52,PROFIT,LICENSED,445000,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,STEWARD PLACE,PRESBYTERIAN HOMES INC,"7 EAST LOCUST STREET,",OXFORD,PA,19633,6109982439,CHESTER,SOUTHEAST,64,NON-PROFIT,LICENSED,144830,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,STRABANE WOODS OF WASHINGTON,UPMC SENIOR COMMUNITIES,"319 WELLNESS WAY,",WASHINGTON,PA,15301,7242259400,WASHINGTON,WESTERN,100,NON-PROFIT,LICENSED,445420,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,THE HILL AT WHITEMARSH - OAKLEY HALL ASSISTED LIVING,WHITEMARSH CONTINUING CARE RETIREMENT COMMUNITY,4000 FOX HOUND DRIVE,LAYFAYETTE HILL,PA,19444,2154028748,MONTGOMERY,SOUTHEAST,38,NON-PROFIT,LICENSED,139020,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,THE VILLAGE AT LIFEQUEST,LIFEQUEST NURSING CENTER,"2100 CHERRY BLOSSOM LANE,",QUAKERTOWN,PA,18951,2674242096,BUCKS,SOUTHEAST,141,NON-PROFIT,LICENSED,144960,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,THE WINDS AT MATTERN ORCHARD ASSISTED LIVING,MATTERN WOODS ASSISTED LIVING LTD,"590 NEWRY LANE,",DUNCANSVILLE,PA,16635,8146937675,BLAIR,CENTRAL,70,PROFIT,LICENSED,330520,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,WEATHERWOOD MANOR,UPMC SENIOR COMMUNITIES INC,"896 WEATHERWOOD LANE,",GREENSBURG,PA,15601,7248532084,WESTMORELAND,WESTERN,100,NON-PROFIT,LICENSED,444700,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,WESTLAKE WOODS,WESTLAKE WOODS LTD,"3302 WEST LAKE ROAD,",ERIE,PA,16505,8148350330,ERIE,WESTERN,79,PROFIT,LICENSED,445010,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,WHITEHALL MANOR,WHITEHALL MANOR INC,"1177 SIXTH STREET,",WHITEHALL,PA,18052,6104033500,LEHIGH,NORTHEAST,20,PROFIT,LICENSED,226440,FULL,Inspection Summary,,Waiver
