Facility Name,State Facility Type 1 Literal,Facility ID,Address,Zip Code,County,Phone Number,Capacity,Medicaid,Email Address,Licensee
ASHLEY MANOR - PACIFIC HEIGHTS,RCF,50M267,1995 8TH ST,97031,Hood River,5413874514,15,TRUE,oroberts@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - RIMROCK,RCF,50M265,1600 SW RIMROCK WAY,97756,Deschutes,5415048855,15,TRUE,rimrock@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - ROSEBURG,RCF,5MA233,427 SE RAMP ST,97470,Douglas,5414640961,30,TRUE,douglas@ashleycares.com,ASHLEY MANOR LLC
ASHLEY MANOR - SAGE,RCF,5MA003,1325 SW SAGE,97838,Umatilla,5415649052,40,TRUE,hermiston@ashleycares.com,
ASHLEY MANOR - SHASTA,RCF,50M220,475 S SHASTA PL,97720,Harney,5415733029,15,TRUE,rdavidson@ashleycares.com,
ASHLEY MANOR - WELL SPRINGS,RCF,5MA206,2110 SW 2ND AVENUE,97914,Malheur,5418819136,10,FALSE,wellsprings@ashleycares.com,
ASPEN RIDGE MEMORY CARE,RCF,5MA221,1025 NE PURCELL BLVD,97701,Deschutes,5413124300,43,TRUE,administrator@aspenridgememorycare.com,"FM ASPEN MC, LLC"
ASPEN RIDGE RETIREMENT COMMUNITY,ALF,70M217,1010 NE PURCELL BLVD,97701,Deschutes,5413858500,95,TRUE,administrator@aspenridgeretirement.com,
ASPENS  THE,ALF,70M005,210 ROE DAVIS AVE,97738,Harney,5415732222,48,TRUE,director@theaspensalf.org,"HARNEY PIONEER HOMES, INC."
ASSUMPTION VILLAGE,ALF,70A278,9121 N BURR AVENUE,97203,Multnomah,5032835644,84,TRUE,sgray@villageenterprises.org,ASSUMPTION VILLAGE LLC
ASTOR PLACE,ALF,70M007,999 KLASKANIE AVE,97103,Clatsop,5033256970,34,FALSE,rojala@enlivant.com,ASTOR AID OPCO LLC
ATRIUM AT FLAGSTONE  THE,RCF,50R327,3325 COLUMBIA VIEW DR,97058,Wasco,5412985656,33,TRUE,sbucher@flagstoneseniorliving.com,"FLAGSTONE OPERATIONS, LLC"
ATRIUM AT MCLOUGHLIN PLACE  THE,RCF,5MA162,1153 MOLALLA AVE,97045,Clackamas,5036553337,50,TRUE,memorysupport@mcloughlinplace.net,"MCLOUGHLIN PLACE OPERATIONS, LLC"
AUTUMN GARDEN HOME RCF  LLC,RCF,50M006,6215 SE HAZEL ST,97206,Clackamas,5033587986,10,TRUE,silviub@comcast.net,"AUTUMN GARDEN HOME RCF, LLC"
AUTUMN HOUSE OF GRANTS PASS,RCF,50R343,2268 WILLIAMS HWY,97527,Josephine,5414746399,15,TRUE,autumn@pacificlivingcenters.com,
AVAMERE AT ALBANY,ALF,70M247,2800 14TH AVE SE,97321,Linn,5419289494,60,TRUE,dhansen@avamere.com,NORTHWEST HC CAMBRIDGE TERRACE (OR) OPERATOR NT-HC
AVAMERE AT BETHANY,RCF,50R320,16360 NW AVAMERE CT,97229,Washington,5036902402,26,TRUE,anewsom@avamere.com,"AVAMERE BETHANY OPERATIONS, LLC"
AVAMERE AT BETHANY ASSISTED LIVING FACILITY,ALF,70A291,16360 NW AVAMERE CT,97229,Washington,5036902402,90,TRUE,mruybalid@avamere.com,
AVAMERE AT CASCADIA VILLAGE,ALF,70M228,39495 CASCADIA VILLAGE DRIVE,97055,Clackamas,5036680300,55,TRUE,amayfield@avamere.com,"NORTHWEST HC CASCADIA VILLAGE (OR)OPERATOR NT-HC,"
AVAMERE AT CHESTNUT LANE,ALF,70A290,1219 NE 6TH STREET,97030,Multnomah,5035730242,78,TRUE,renee.vairora@brookdale.com,"CHESTNUT LANE OPERATIONS, LLC"
AVAMERE AT HERMISTON,ALF,70M040,980 W HIGHLAND AVE,97838,Umatilla,5415673141,63,TRUE,lori.scheel@brookdale.com,"HERMISTON HIGHLAND OPERATIONS, LLC"
AVAMERE AT HILLSBORO,RCF,5MA261,2000 SE 30TH AVE,97123,Washington,5036939944,24,TRUE,bhodson@avamere.com,"AVAMERE-HILLSBORO OPERATIONS, LLC"
AVAMERE AT HILLSBORO ASSISTED LIVING FACILITY,ALF,70M245,2000 SE 30TH AVENUE,97123,Washington,5036939944,75,TRUE,tgdolliver@avamere.com,"AVAMERE HILLSBORO OPERATIONS, LLC."
AVAMERE AT NEWBERG,RCF,5MA259,730 FOOTHILLS DRIVE,97132,Yamhill,5035540767,22,TRUE,lvincent1@avamere.com,"GENESIS NEWBERG OPERATIONS COMPANY, LLC"
AVAMERE AT OAK PARK,ALF,70M225,1400 NE ROCKY RIDGE DRIVE,97470,Douglas,5414645656,76,TRUE,tradford@avamere.com,"NORTHWEST HC OAK PARK (OR) OPERATOR NT-HCI, LLC"
AVAMERE AT PARK PLACE,ALF,70A070,8445 SW HEMLOCK STREET,97223,Washington,5032458985,130,TRUE,mbruhns@avamere.com,"TIGARD OPERATIONS, LLC"
AVAMERE AT SANDY,RCF,5MA249,17727 SE LANGENSAND RD,97055,Clackamas,5036684199,24,TRUE,aclapp@avamere.com,
AVAMERE AT SANDY ASSISTED LIVING FACILITY,ALF,70M231,17727 SE LANGENSAND RD,97055,Clackamas,5036684199,65,TRUE,avinokurov@avamere.com,"AVAMERE-SANDY OPERATIONS, LLC"
AVAMERE AT SEASIDE RESIDENTIAL CARE FACILITY,RCF,50R296,2500 S ROOSEVELT DR,97138,Clatsop,5037380900,40,TRUE,orchards@aol.com,"NECANICUM OPERATIONS, LLC"
AVAMERE AT SHERWOOD,RCF,5MA245,16500 SW CENTURY DRIVE,97140,Washington,5036257333,24,TRUE,rrenzema@avamere.com,"AVAMERE-SHERWOOD OPERATIONS, LLC"
AVAMERE AT SHERWOOD ASSISTED LIVING FACILITY,ALF,70M227,16500 SW CENTURY DRIVE,97140,Washington,5036257333,65,TRUE,kcoleman1@avamere.com,"AVAMERE-SHERWOOD OPERATIONS, LLC"
AVAMERE AT ST HELENS,RCF,50R275,2400 GABLE RD,97051,Columbia,5033668070,28,TRUE,pllacamp@avamere.com,
AVAMERE AT WATERFORD ASSISTED LIVING FACILITY,ALF,70M218,760 SPRING STREET,97504,Jackson,5417737718,85,TRUE,jkahananui@avamere.com,"WATERFORD OPERATIONS, LLC"
AVAMERE COURT AT KEIZER RCF,RCF,50R068,5210 RIVER ROAD N,97303,Marion,5033933624,63,TRUE,rsamuelson@avamere.com,"KEIZER CAMPUS OPERATIONS, LLC"
AVAMERE LIVING AT NEWBERG,ALF,70M208,730 FOOTHILLS DRIVE,97132,Yamhill,5035540767,70,TRUE,anewsom@avamere.com,"GENESIS NEWBERG OPERATIONS COMPANY, LLC"
AVAMERE LIVING AT ST HELENS,ALF,70M258,2400 GABLE RD,97051,Columbia,5033668070,70,TRUE,mwilliams3@avamere.com,"AVAMERE - ST HELENS OPERATIONS, LLC"
AVEENA MEMORY CARE,RCF,50R470,21910 SE BORGES RD,97089,Clackamas,5034272784,15,TRUE,aveenamemorycare@gmail.com,DAMASCUS MEMORY CARE LLC
AWBREY PLACE,ALF,70M008,2825 NEFF RD,97701,Deschutes,5413178464,49,TRUE,james.mcnama@caringplaces.com,"CARING PLACES NORTHWEST, LLC"
AZALEA GARDENS SENIOR LIVING,ALF,70M055,755 ELK DRIVE,97415,Curry,5414697182,40,TRUE,ed@azaleagardenssl.com,"BROOKINGS SENIOR LIVING, LLC"
BARBUR VISTA RESIDENTIAL CARE,RCF,50R439,9451 SW BARBUR BOULEVARD,97219,Multnomah,5034779394,32,TRUE,mkcschreiber@yahoo.com,
BARTLETT HOUSE OF MEDFORD MEMORY CARE COMMUNITY,RCF,50R407,3465 LONE PINE RD,97504,Jackson,5412459814,15,FALSE,bartlett@pacificlivingcenters.com,"PACIFIC LIVING CENTERS, INC"
BATTLE CREEK MEMORY CARE,RCF,50R480,1805 WALN DR SE,97306,Marion,5033649378,68,TRUE,twhitehead@battlecreekcare.com,"BATTLECREEK MEMORY CARE, LLC"
BAYBERRY COMMONS ASSISTED LIVING,ALF,70A307,2211 LAURA STREET,97477,Lane,5417447000,62,TRUE,ed@bayberrycommons.com,"BAYBERRY COMMONS, INC."
BAYBERRY COMMONS MEMORY CARE,RCF,50R347,2211 LAURA STREET,97477,Lane,5417447000,14,TRUE,ed@bayberrycommons.com,"BAYBERRY COMMONS, INC."
BAYSIDE TERRACE ASSISTED LIVING,ALF,70M067,192 NORMAN AVE,97420,Coos,5418882255,57,TRUE,administrator@baysideterraceseniorliving.com,WELLTOWER TENANT GROUP LLC
BAYSIDE TERRACE ASSISTED LIVING,ALF,70M067,192 NORMAN AVE,97420,Coos,5418882255,57,TRUE,administrator@baysideterraceseniorliving.com,WELLTOWER TENANT GROUP LLC
BAYSIDE TERRACE MEMORY CARE,RCF,50M440,192 NORMAN AVENUE,97420,Coos,5418882255,22,TRUE,memorycare@baysideterraceseniorliving.com,WELLTOWER TENANT GROUP LLC
BAYSIDE TERRACE MEMORY CARE,RCF,50M440,192 NORMAN AVENUE,97420,Coos,5418882255,22,TRUE,memorycare@baysideterraceseniorliving.com,WELLTOWER TENANT GROUP LLC
BETTER LIVING RCF,RCF,50R471,15855 SE POWELL BLVD,97236,Multnomah,9714028691,19,TRUE,priscilla@betterlivingrcf.com,"BETTER CHOICE, LLC"
BLUE DIAMOND ESTATES,RCF,50M124,87326 MC TIMMONS LANE,97411,Coos,9713444998,30,TRUE,bluediamondestates@gmail.com,
BLUE HAVEN MEMORY CARE - DALLAS,RCF,50M227,280 SE UGLOW ST,97338,Polk,5036230300,16,TRUE,clewis.bluehaven@gmail.com,
BLUE HAVEN MEMORY CARE - INDEPENDENCE,RCF,50R225,202 SOUTH 9TH STREET,97351,Polk,5038380330,16,TRUE,kristinak.bluehaven@gmail.com,"BLUE HAVEN RESIDENTIAL CARE FACILITIES, INC."
BONAVENTURE OF ALBANY ASSISTED LIVING,ALF,70A235,420 GERI ST NW,97321,Benton,5414975600,60,FALSE,executivedirectoralb@livebsl.com,BONAVENTURE OF ALBANY LLC
BONAVENTURE OF ALBANY MEMORY CARE,RCF,50R430,420 GERI ST NW,97321,Benton,5414975600,23,FALSE,executivedirectorgre@livebsl.com,BONAVENTURE OF ALBANY LLC
BONAVENTURE OF GRESHAM ASSISTED LIVING,ALF,70A327,22514 SE STARK,97030,Multnomah,5033280010,72,FALSE,executivedirectorgre@livebsl.com,"BONAVENTURE OF GRESHAM, LLC"
BONAVENTURE OF GRESHAM MEMORY CARE,RCF,50R442,22514 SE STARK STREET,97030,Multnomah,5033280010,27,FALSE,memorycaregre@livebsl.com,"BONAVENTURE OF GRESHAM, LLC"
BONAVENTURE OF KEIZER ASSISTED LIVING,ALF,70A328,5525 MCLEOD LANE NE,97303,Marion,5036898084,61,FALSE,executivedirectorkzr@livebsl.com,"BONAVENTURE OF KEIZER, LLC"
BONAVENTURE OF KEIZER MEMORY CARE,RCF,50R447,5525 MCLEOD LANE NE,97303,Marion,5036898084,35,FALSE,memorycarekzr@livebsl.com,"BONAVENTURE OF KEIZER, LLC"
BONAVENTURE OF MEDFORD ASSISTED LIVING,ALF,70A332,2530 EAST MCANDREWS ROAD,97504,Jackson,5419308750,69,FALSE,executivedirectormed@livebsl.com,"BONAVENTURE OF MEDFORD, LLC"
BONAVENTURE OF MEDFORD MEMORY CARE,RCF,50R453,2530 EAST MCANDREWS ROAD,97504,Jackson,5419308750,25,FALSE,memorycaremed@livebsl.com,"BONAVENTURE OF MEDFORD, LLC"
BONAVENTURE OF SALEM ASSISTED LIVING,ALF,70A320,3411 BOONE RD SE,97317,Marion,5034800004,65,FALSE,executivedirectorslm@livebsl.com,BONAVENTURE OF SALEM LLC
BONAVENTURE OF SALEM MEMORY CARE,RCF,50R385,3411 BOONE RD SE,97317,Marion,5034800004,24,FALSE,memorycareslm@livebsl.com,BONAVENTURE OF SALEM LLC
BONAVENTURE OF TIGARD ASSISTED LIVING,ALF,70A301,15000 SW HALL BLVD,97224,Washington,5032144200,69,FALSE,executivedirectortig@livebsl.com,"BONAVENTURE OF TIGARD, LLC"
BONAVENTURE OF TIGARD MEMORY CARE,RCF,50R432,15000 SW HALL BLVD,97224,Washington,5032144200,23,FALSE,memorycarertig@livebsl.com,"BONAVENTURE OF TIGARD, LLC"
BOONE RIDGE MEMORY CARE,RCF,50R473,2950 BOONE RD SE,97306,Marion,9713323434,48,TRUE,mced@booneridgeslc.com,"BOONE ROAD SENIOR LIVING, LLC"
BOONE RIDGE SENIOR LIVING COMMUNITY,ALF,70A339,2950 BOONE RD SE,97306,Marion,9713323434,103,TRUE,ed@booneridgeslc.com,"BOONE ROAD SENIOR LIVING, LLC"
BRIDGE ASSISTED LIVING  THE,ALF,70A266,201 SW BRIDGE STREET,97526,Josephine,5419562110,77,TRUE,admin@welovethebridge.com,"GRANTS PASS ASSISTED LIVING, LLC."
BRIDGECREEK MEMORY CARE,RCF,50A253,1401 S 12TH STREET,97355,Linn,5412591779,58,TRUE,jburton@sapphirehealthservices.com,
BRIDGEWOOD RIVERS ASSISTED LIVING,ALF,70M009,1901 NW HUGHWOOD DR,97470,Douglas,5414401914,50,TRUE,teresac@cascadeliving.com,
BRIGHTCREEK AT SEA VIEW,RCF,50R368,98059 GERLACH LANE,97415,Curry,5414694500,35,TRUE,mcpm@seaviewseniorliving.com,"SEA VIEW ASSISTED LIVING COMMUNITY, LLC"
BROOKDALE BEAVERTON,RCF,50A232,16655 NW WALKER ROAD,97006,Washington,5034391653,60,TRUE,charity.jammeh@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE BEND,RCF,50A263,1099 NE WYATT WAY,97701,Deschutes,5413854717,59,TRUE,cgarner11@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE FOREST GROVE,RCF,5MA146,3110 19TH AVE,97116,Washington,5033573288,110,TRUE,mlawrence2@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE GEARY STREET,ALF,70M016,2445 GEARY ST SE,97321,Linn,5419268200,80,TRUE,rcatt@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE GEARY STREET MEMORY CARE,RCF,50R403,2445 GEARY ST  SE,97321,Linn,5419268200,44,TRUE,rcatt@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE MCMINNVILLE CITY CENTER,ALF,70M017,721 NE 27TH ST,97128,Yamhill,5034350100,50,TRUE,dlugar@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE MCMINNVILLE CITY CENTER MEMORY CARE,RCF,5MA130,721 NE 27TH ST,97128,Yamhill,5034350100,15,TRUE,kpierson4@brookdale.com,
BROOKDALE MCMINNVILLE TOWN CENTER,RCF,50R078,775 NE 27TH,97128,Yamhill,5034723130,35,FALSE,tperez12@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE MEDFORD,RCF,50M056,3033 BARNETT ROAD,97504,Jackson,5417767600,95,TRUE,dbuick@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE MT HOOD,RCF,50M055,25200 SE STARK ST,97030,Multnomah,5036654300,88,TRUE,nminch@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE NEWBERG,ALF,70A308,3802 HAYES ST,97132,Yamhill,5035381705,110,TRUE,dlarson@brookdale.com,EMERITUS CORPORATION
BROOKDALE ONTARIO,RCF,50M142,1372 SW 8TH AVE,97914,Malheur,5418894600,82,TRUE,pwhite17@brookdale.com,EMERITOL MEADOWBROOK LLC
BROOKDALE OSWEGO SPRINGS - PORTLAND,ALF,70A303,11552 SW LESSER RD,97219,Multnomah,5035424747,82,TRUE,sdelorenzo1@brookdale.com,EMERITUS CORPORATION
BROOKDALE REDMOND ASSISTED LIVING,ALF,70A305,1942 SW CANYON DRIVE,97756,Deschutes,5413164400,77,TRUE,mgrubbs2@brookdale.com,EMERITUS CORPORATION
BROOKDALE REDMOND CLARE BRIDGE,RCF,50R344,1942 SW CANYON DRIVE,97756,Deschutes,5413164400,32,TRUE,dawn.kassing@brookdale.com,EMERITUS CORPORATION
BROOKDALE RIVER ROAD,ALF,70A078,592 BEVER DR NE,97303,Marion,5034634060,56,TRUE,gessman@brookdale.com,EMERITUS CORPORATION
BROOKDALE RIVER VALLEY TUALATIN,RCF,50M054,19200 SW 65TH AVE,97062,Clackamas,5036923192,120,TRUE,ncristoforo@brookdale.com,EMERITUS CORPORATION
BROOKDALE ROSEBURG,RCF,5MA254,3400 NW EDENBOWER BLVD,97470,Douglas,5414645600,60,TRUE,sarah.calvert@brookdale.com,EMERITUS CORPORATION
BROOKDALE ROSE VALLEY SCAPPOOSE,ALF,70M236,33800 SE FREDERICK STREET,97056,Columbia,5035434646,79,TRUE,steven.matthews@brookdale.com,EMERITUS CORPORATION
BROOKDALE SALEM,RCF,5MA205,1355 BOONE RD SE,97302,Marion,5033657500,60,TRUE,belinda.hamilton@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE TROUTDALE,RCF,50A236,1201 SW CHERRY PARK ROAD,97060,Multnomah,5034658104,61,TRUE,rkibbee@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC"
BROOKDALE WILSONVILLE,RCF,50M228,8170 VLAHOS DR,97070,Clackamas,5036820653,32,TRUE,kathy.white2@brookdale.com,EMERITUS CORPORATION
BROOKSIDE MEMORY CARE,RCF,50R478,11045 SW HALL BLVD,97223,Washington,5032785668,42,FALSE,info@brooksidememorycare.com,BROOKSIDE MEMORY CARE LLC
BROOKSIDE PLACE,ALF,70M010,3550 SW CANAL BLVD,97756,Deschutes,5415041600,45,TRUE,director@brooksideplace.net,"REDMOND ALF, LLC"
BROOKSTONE ALZHEIMER'S SPECIAL CARE CENTER,RCF,5MA151,5881 WOODSIDE DR SE,97306,Marion,5033160687,57,TRUE,brookstone-adm@jeaseniorliving.com,SH1 BROOKSTONE OPCO LLC
CALLAHAN COURT MEMORY CARE COM,RCF,5MA240,1770 NW VALLEY VIEW DRIVE,97470,Douglas,5416733900,48,TRUE,administrator@callahancourt.com,LSREF GOLDEN OPS 14 (SILVER) LLC
CALLAHAN VILLAGE ASSISTED LIVING,ALF,70M229,1801 NW GARDEN VALLEY BLVD,97470,Douglas,5416734500,86,TRUE,administrator@callahanvillage.com,"LSREF GOLDEN OPS UE (OR), LLC"
CANFIELD PLACE RETIREMENT COMMUNITY,ALF,70A011,14570 SW HART RD,97005,Washington,5036265100,105,FALSE,jcarty@leisurecare.com,CANFIELD PLACE RETIREMENT COMMUNITY L.L.C.
CANYON RIM MANOR,ALF,70A296,1701 GEORGE JACKSON RD,97037,Wasco,5413952515,35,TRUE,residentservices.cr@canyonrimslc.com,"MAUPIN SENIOR LIVING, LLC"
CAPITAL MANOR RETIREMENT COMMUNITY,RCF,50R216,1955 DALLAS HWY NW,97304,Polk,5033624101,117,FALSE,pkidd@capitalmanor.com,"CAPITAL MANOR, INC."
CARRIAGE PLACE,ALF,70M013,150 S WILLIAMSON DR,97754,Crook,5414160500,34,TRUE,james.mcnama@caringplaces.com,"CARING PLACES NORTHWEST, LLC"
CASCADE PARK RETIREMENT CENTER,RCF,50M012,950 N CASCADE DR,97071,Marion,5039810033,32,FALSE,tflores@centurypa.com,"WOODBURN INVESTMENT ASSOCIATES, LTD"
CASCADES OF BEND RETIREMENT COMMUNITY,RCF,50R128,1801 NE LOTUS DR,97701,Deschutes,5413890046,70,TRUE,jamiem@cascadeliving.com,"CASCADE LIVING GROUP- OREGON, LLC"
CASCADES OF GRANTS PASS - THE POINTE,RCF,5MA269,1400 REDWOOD CIRCLE,97527,Jackson,5414742838,64,TRUE,joyc@cascadeliving.com,"S-H OPCO SPRING POINTE, LLC"
CASCADES OF GRANTS PASS - THE VILLAGE,ALF,70M254,1420 REDWOOD CIRCLE,97527,Josephine,5414740200,90,TRUE,eunices@cascadeliving.com,"S-H OPCO SPRING VILLAGE, LLC"
CASCADE VALLEY ASSISTED LIVING,ALF,70M027,1010 NE 3RD AVENUE,97862,Umatilla,5419385693,59,TRUE,andrew.steinmeyer@empres.com,EVERGREEN OREGON HEALTHCARE ORCHARDS REHA
CASCADE VALLEY MEMORY CARE,RCF,50R448,1010 NE THIRD AVENUE,97862,Umatilla,5419385693,23,TRUE,noor.mouhammad@empres.com,"EVERGREEN OREGON HEALTHCARE ORCHARDS RETIREMENT, L"
CEDAR CREST ALZHEIMER SPECIAL CARE CENTER,RCF,5MA207,18325 SW PACIFIC HWY,97062,Washington,5039250544,56,TRUE,cedarcrest.adm@jeaseniorliving.com,SH1 CEDAR CREST OPCO LLC
CEDAR VILLAGE ASSISTED LIVING COMMUNITY,ALF,70M222,4452 LANCASTER DR NE,97305,Marion,5033909600,62,TRUE,administrator@cedarvillageseniorliving.com,WELLTOWER TENANT GROUP LLC
CEDAR VILLAGE ASSISTED LIVING COMMUNITY,ALF,70M222,4452 LANCASTER DR NE,97305,Marion,5033909600,62,TRUE,administrator@cedarvillageseniorliving.com,WELLTOWER TENANT GROUP LLC
CEDAR VILLAGE MEMORY CARE COMMUNITY,RCF,50R353,4452 LANCASTER DR NE,97301,Marion,5033909600,24,TRUE,memorycare@cedarvillageseniorliving.com,WELLTOWER TENANT GROUP LLC
CEDAR VILLAGE MEMORY CARE COMMUNITY,RCF,50R353,4452 LANCASTER DR NE,97301,Marion,5033909600,24,TRUE,memorycare@cedarvillageseniorliving.com,WELLTOWER TENANT GROUP LLC
CELIA'S HOUSE IN HOLMES PARK,RCF,50R458,217 S MODOC AVE,97504,Jackson,5415008911,12,TRUE,michele.murray@sofriendsofhospice.org,SOUTHERN OREGON FRIENDS OF HOSPICE
CHANTELE'S LOVING TOUCH MEMORY CARE,RCF,50R351,1128 W CENTRAL AVENUE,97479,Douglas,5414594549,45,TRUE,rfugate@timbertownliving.com,"LOVING TOUCH OPERATIONS, LLC"
CHATEAU GARDENS MEMORY CARE COMMUNITY,RCF,50M172,2669 S CLOVERLEAF LOOP,97477,Lane,5417469703,28,TRUE,administrator@chateaugardensalz.com,"CLOVERLEAF ASSISTED LIVING, LLC"
