Facility Name,State Facility Type 1 Literal,Facility ID,Address,Zip Code,County,Phone Number,Capacity,Email Address,Licensee,Date Accessed,State
Arbor At Avamere Court  The,RESIDENTIAL CARE FACILITY,50R414,450 CLAGGETT COURT N,97303,Marion,5038567440,49,ccoffman@avamere.com,,7/6/21,OR
Arbor At Bend  The,RESIDENTIAL CARE FACILITY,50R455,1290 SW SILVER LAKE BLVD,97702,Deschutes,4582027020,36,ahunter@avamere.com,"BEND ARBOR, LLC",7/6/21,OR
Arbor House Of Grants Pass,RESIDENTIAL CARE FACILITY,50R328,820 GOLD COURT,97527,Josephine,5414747887,15,arbor@pacificlivingcenters.com,"PACIFIC LIVING CENTERS, INC.",7/6/21,OR
Arbor Oaks Terrace Memory Care Residence,RESIDENTIAL CARE FACILITY,50R367,317 WERTH BLVD,97132,Yamhill,5035382288,48,administrator@arboroaksterrace.com,"NEWBERG MEMORY ASSOCIATES, LLC",7/6/21,OR
Arcadia Senior Living,ASSISTED LIVING FACILITY,70A330,13031 SE FOSTER ROAD,97236,Multnomah,5032068930,68,ed@arcadiaretirement.com,"ARCADIA SENIOR LIVING, LLC",7/6/21,OR
Ashley Manor - Alameda,RESIDENTIAL CARE FACILITY,5MA166,1310 SW 12TH,97914,Malheur,5418896280,14,alameda@ashleycares.com,"ASHLEY MANOR, L.L.C.",7/6/21,OR
Ashley Manor - Anique,RESIDENTIAL CARE FACILITY,50R295,525 ANIQUE LANE,97526,Josephine,5414744376,15,anique@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Arrowhead,RESIDENTIAL CARE FACILITY,50R274,3853 ARROWHEAD DRIVE,97504,Jackson,5412820467,11,arrowhead@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Athens,RESIDENTIAL CARE FACILITY,50R288,1514 ATHENS AVE,97801,Umatilla,5412786776,15,athens@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Brookhurst,RESIDENTIAL CARE FACILITY,5MA246,2146 BROOKHURST,97504,Jackson,5416189050,14,brookhurst@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Conners,RESIDENTIAL CARE FACILITY,50R281,2853 NE CONNERS AVE,97701,Deschutes,5413834400,15,conners@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Heidi Lane,RESIDENTIAL CARE FACILITY,5MA255,2144 NW HEIDI LANE,97526,Josephine,5419551816,15,heidi@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Homedale,RESIDENTIAL CARE FACILITY,50R306,44 NORTH HOMEDALE RD,97603,Klamath,5418503770,15,rdavidson@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Lund Lane,RESIDENTIAL CARE FACILITY,50M204,1040 LUND LANE,97814,Baker,5415249880,9,lund@ashleycares.com,,7/6/21,OR
Ashley Manor - Meadow Lakes,RESIDENTIAL CARE FACILITY,5MA238,228 SW MEADOW LAKES DR,97754,Crook,5414475816,15,meadowlakes@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Oak,RESIDENTIAL CARE FACILITY,5MA241,572 NE OAK STREET,97741,Jefferson,5414757635,15,oak@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Pacific Heights,RESIDENTIAL CARE FACILITY,50M267,1995 8TH ST,97031,Hood River,5413874514,15,oroberts@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Rimrock,RESIDENTIAL CARE FACILITY,50M265,1600 SW RIMROCK WAY,97756,Deschutes,5415048855,15,rimrock@ashleycares.com,"ASHLEY MANOR, LLC",7/6/21,OR
Ashley Manor - Roseburg,RESIDENTIAL CARE FACILITY,5MA233,427 SE RAMP ST,97470,Douglas,5414640961,30,douglas@ashleycares.com,ASHLEY MANOR LLC,7/6/21,OR
Ashley Manor - Sage,RESIDENTIAL CARE FACILITY,5MA003,1325 SW SAGE,97838,Umatilla,5415649052,40,hermiston@ashleycares.com,,7/6/21,OR
Ashley Manor - Shasta,RESIDENTIAL CARE FACILITY,50M220,475 S SHASTA PL,97720,Harney,5415733029,15,rdavidson@ashleycares.com,,7/6/21,OR
Ashley Manor - Well Springs,RESIDENTIAL CARE FACILITY,5MA206,2110 SW 2ND AVENUE,97914,Malheur,5418819136,10,wellsprings@ashleycares.com,,7/6/21,OR
Aspen Ridge Memory Care,RESIDENTIAL CARE FACILITY,5MA221,1025 NE PURCELL BLVD,97701,Deschutes,5413124300,43,administrator@aspenridgememorycare.com,"FM ASPEN MC, LLC",7/6/21,OR
Aspen Ridge Retirement Community,ASSISTED LIVING FACILITY,70M217,1010 NE PURCELL BLVD,97701,Deschutes,5413858500,95,administrator@aspenridgeretirement.com,,7/6/21,OR
Aspens  The,ASSISTED LIVING FACILITY,70M005,210 ROE DAVIS AVE,97738,Harney,5415732222,48,director@theaspensalf.org,"HARNEY PIONEER HOMES, INC.",7/6/21,OR
Assumption Village,ASSISTED LIVING FACILITY,70A278,9121 N BURR AVENUE,97203,Multnomah,5032835644,84,sgray@villageenterprises.org,ASSUMPTION VILLAGE LLC,7/6/21,OR
Astor Place,ASSISTED LIVING FACILITY,70M007,999 KLASKANIE AVE,97103,Clatsop,5033256970,34,rojala@enlivant.com,ASTOR AID OPCO LLC,7/6/21,OR
Atrium At Flagstone  The,RESIDENTIAL CARE FACILITY,50R327,3325 COLUMBIA VIEW DR,97058,Wasco,5412985656,33,sbucher@flagstoneseniorliving.com,"FLAGSTONE OPERATIONS, LLC",7/6/21,OR
Atrium At Mcloughlin Place  The,RESIDENTIAL CARE FACILITY,5MA162,1153 MOLALLA AVE,97045,Clackamas,5036553337,50,memorysupport@mcloughlinplace.net,"MCLOUGHLIN PLACE OPERATIONS, LLC",7/6/21,OR
Autumn Garden Home Rcf  Llc,RESIDENTIAL CARE FACILITY,50M006,6215 SE HAZEL ST,97206,Clackamas,5033587986,10,silviub@comcast.net,"AUTUMN GARDEN HOME RCF, LLC",7/6/21,OR
Autumn House Of Grants Pass,RESIDENTIAL CARE FACILITY,50R343,2268 WILLIAMS HWY,97527,Josephine,5414746399,15,autumn@pacificlivingcenters.com,,7/6/21,OR
Avamere At Albany,ASSISTED LIVING FACILITY,70M247,2800 14TH AVE SE,97321,Linn,5419289494,60,dhansen@avamere.com,NORTHWEST HC CAMBRIDGE TERRACE (OR) OPERATOR NT-HC,7/6/21,OR
Avamere At Bethany,RESIDENTIAL CARE FACILITY,50R320,16360 NW AVAMERE CT,97229,Washington,5036902402,26,anewsom@avamere.com,"AVAMERE BETHANY OPERATIONS, LLC",7/6/21,OR
Avamere At Bethany Assisted Living Facility,ASSISTED LIVING FACILITY,70A291,16360 NW AVAMERE CT,97229,Washington,5036902402,90,mruybalid@avamere.com,,7/6/21,OR
Avamere At Cascadia Village,ASSISTED LIVING FACILITY,70M228,39495 CASCADIA VILLAGE DRIVE,97055,Clackamas,5036680300,55,amayfield@avamere.com,"NORTHWEST HC CASCADIA VILLAGE (OR)OPERATOR NT-HC,",7/6/21,OR
Avamere At Chestnut Lane,ASSISTED LIVING FACILITY,70A290,1219 NE 6TH STREET,97030,Multnomah,5035730242,78,renee.vairora@brookdale.com,"CHESTNUT LANE OPERATIONS, LLC",7/6/21,OR
Avamere At Hermiston,ASSISTED LIVING FACILITY,70M040,980 W HIGHLAND AVE,97838,Umatilla,5415673141,63,lori.scheel@brookdale.com,"HERMISTON HIGHLAND OPERATIONS, LLC",7/6/21,OR
Avamere At Hillsboro,RESIDENTIAL CARE FACILITY,5MA261,2000 SE 30TH AVE,97123,Washington,5036939944,24,bhodson@avamere.com,"AVAMERE-HILLSBORO OPERATIONS, LLC",7/6/21,OR
Avamere At Hillsboro Assisted Living Facility,ASSISTED LIVING FACILITY,70M245,2000 SE 30TH AVENUE,97123,Washington,5036939944,75,tgdolliver@avamere.com,"AVAMERE HILLSBORO OPERATIONS, LLC.",7/6/21,OR
Avamere At Newberg,RESIDENTIAL CARE FACILITY,5MA259,730 FOOTHILLS DRIVE,97132,Yamhill,5035540767,22,lvincent1@avamere.com,"GENESIS NEWBERG OPERATIONS COMPANY, LLC",7/6/21,OR
Avamere At Oak Park,ASSISTED LIVING FACILITY,70M225,1400 NE ROCKY RIDGE DRIVE,97470,Douglas,5414645656,76,tradford@avamere.com,"NORTHWEST HC OAK PARK (OR) OPERATOR NT-HCI, LLC",7/6/21,OR
Avamere At Park Place,ASSISTED LIVING FACILITY,70A070,8445 SW HEMLOCK STREET,97223,Washington,5032458985,130,mbruhns@avamere.com,"TIGARD OPERATIONS, LLC",7/6/21,OR
Avamere At Sandy,RESIDENTIAL CARE FACILITY,5MA249,17727 SE LANGENSAND RD,97055,Clackamas,5036684199,24,aclapp@avamere.com,,7/6/21,OR
Avamere At Sandy Assisted Living Facility,ASSISTED LIVING FACILITY,70M231,17727 SE LANGENSAND RD,97055,Clackamas,5036684199,65,avinokurov@avamere.com,"AVAMERE-SANDY OPERATIONS, LLC",7/6/21,OR
Avamere At Seaside Residential Care Facility,RESIDENTIAL CARE FACILITY,50R296,2500 S ROOSEVELT DR,97138,Clatsop,5037380900,40,orchards@aol.com,"NECANICUM OPERATIONS, LLC",7/6/21,OR
Avamere At Sherwood,RESIDENTIAL CARE FACILITY,5MA245,16500 SW CENTURY DRIVE,97140,Washington,5036257333,24,rrenzema@avamere.com,"AVAMERE-SHERWOOD OPERATIONS, LLC",7/6/21,OR
Avamere At Sherwood Assisted Living Facility,ASSISTED LIVING FACILITY,70M227,16500 SW CENTURY DRIVE,97140,Washington,5036257333,65,kcoleman1@avamere.com,"AVAMERE-SHERWOOD OPERATIONS, LLC",7/6/21,OR
Avamere At St Helens,RESIDENTIAL CARE FACILITY,50R275,2400 GABLE RD,97051,Columbia,5033668070,28,pllacamp@avamere.com,,7/6/21,OR
Avamere At Waterford Assisted Living Facility,ASSISTED LIVING FACILITY,70M218,760 SPRING STREET,97504,Jackson,5417737718,85,jkahananui@avamere.com,"WATERFORD OPERATIONS, LLC",7/6/21,OR
Avamere Court At Keizer Rcf,RESIDENTIAL CARE FACILITY,50R068,5210 RIVER ROAD N,97303,Marion,5033933624,63,rsamuelson@avamere.com,"KEIZER CAMPUS OPERATIONS, LLC",7/6/21,OR
Avamere Living At Newberg,ASSISTED LIVING FACILITY,70M208,730 FOOTHILLS DRIVE,97132,Yamhill,5035540767,70,anewsom@avamere.com,"GENESIS NEWBERG OPERATIONS COMPANY, LLC",7/6/21,OR
Avamere Living At St Helens,ASSISTED LIVING FACILITY,70M258,2400 GABLE RD,97051,Columbia,5033668070,70,mwilliams3@avamere.com,"AVAMERE - ST HELENS OPERATIONS, LLC",7/6/21,OR
Aveena Memory Care,RESIDENTIAL CARE FACILITY,50R470,21910 SE BORGES RD,97089,Clackamas,5034272784,15,aveenamemorycare@gmail.com,DAMASCUS MEMORY CARE LLC,7/6/21,OR
Awbrey Place,ASSISTED LIVING FACILITY,70M008,2825 NEFF RD,97701,Deschutes,5413178464,49,james.mcnama@caringplaces.com,"CARING PLACES NORTHWEST, LLC",7/6/21,OR
Azalea Gardens Senior Living,ASSISTED LIVING FACILITY,70M055,755 ELK DRIVE,97415,Curry,5414697182,40,ed@azaleagardenssl.com,"BROOKINGS SENIOR LIVING, LLC",7/6/21,OR
Barbur Vista Residential Care,RESIDENTIAL CARE FACILITY,50R439,9451 SW BARBUR BOULEVARD,97219,Multnomah,5034779394,32,mkcschreiber@yahoo.com,,7/6/21,OR
Bartlett House Of Medford Memory Care Community,RESIDENTIAL CARE FACILITY,50R407,3465 LONE PINE RD,97504,Jackson,5412459814,15,bartlett@pacificlivingcenters.com,"PACIFIC LIVING CENTERS, INC",7/6/21,OR
Battle Creek Memory Care,RESIDENTIAL CARE FACILITY,50R480,1805 WALN DR SE,97306,Marion,5033649378,68,twhitehead@battlecreekcare.com,"BATTLECREEK MEMORY CARE, LLC",7/6/21,OR
Bayberry Commons Assisted Living,ASSISTED LIVING FACILITY,70A307,2211 LAURA STREET,97477,Lane,5417447000,62,ed@bayberrycommons.com,"BAYBERRY COMMONS, INC.",7/6/21,OR
Bayberry Commons Memory Care,RESIDENTIAL CARE FACILITY,50R347,2211 LAURA STREET,97477,Lane,5417447000,14,ed@bayberrycommons.com,"BAYBERRY COMMONS, INC.",7/6/21,OR
Bayside Terrace Assisted Living,ASSISTED LIVING FACILITY,70M067,192 NORMAN AVE,97420,Coos,5418882255,57,administrator@baysideterraceseniorliving.com,WELLTOWER TENANT GROUP LLC,7/6/21,OR
Bayside Terrace Memory Care,RESIDENTIAL CARE FACILITY,50M440,192 NORMAN AVENUE,97420,Coos,5418882255,22,memorycare@baysideterraceseniorliving.com,WELLTOWER TENANT GROUP LLC,7/6/21,OR
Better Living Rcf,RESIDENTIAL CARE FACILITY,50R471,15855 SE POWELL BLVD,97236,Multnomah,9714028691,19,priscilla@betterlivingrcf.com,"BETTER CHOICE, LLC",7/6/21,OR
Blue Diamond Estates,RESIDENTIAL CARE FACILITY,50M124,87326 MC TIMMONS LANE,97411,Coos,9713444998,30,bluediamondestates@gmail.com,,7/6/21,OR
Blue Haven Memory Care - Dallas,RESIDENTIAL CARE FACILITY,50M227,280 SE UGLOW ST,97338,Polk,5036230300,16,clewis.bluehaven@gmail.com,,7/6/21,OR
Blue Haven Memory Care - Independence,RESIDENTIAL CARE FACILITY,50R225,202 SOUTH 9TH STREET,97351,Polk,5038380330,16,kristinak.bluehaven@gmail.com,"BLUE HAVEN RESIDENTIAL CARE FACILITIES, INC.",7/6/21,OR
Bonaventure Of Albany Assisted Living,ASSISTED LIVING FACILITY,70A235,420 GERI ST NW,97321,Benton,5414975600,60,executivedirectoralb@livebsl.com,BONAVENTURE OF ALBANY LLC,7/6/21,OR
Bonaventure Of Albany Memory Care,RESIDENTIAL CARE FACILITY,50R430,420 GERI ST NW,97321,Benton,5414975600,23,executivedirectorgre@livebsl.com,BONAVENTURE OF ALBANY LLC,7/6/21,OR
Bonaventure Of Gresham Assisted Living,ASSISTED LIVING FACILITY,70A327,22514 SE STARK,97030,Multnomah,5033280010,72,executivedirectorgre@livebsl.com,"BONAVENTURE OF GRESHAM, LLC",7/6/21,OR
Bonaventure Of Gresham Memory Care,RESIDENTIAL CARE FACILITY,50R442,22514 SE STARK STREET,97030,Multnomah,5033280010,27,memorycaregre@livebsl.com,"BONAVENTURE OF GRESHAM, LLC",7/6/21,OR
Bonaventure Of Keizer Assisted Living,ASSISTED LIVING FACILITY,70A328,5525 MCLEOD LANE NE,97303,Marion,5036898084,61,executivedirectorkzr@livebsl.com,"BONAVENTURE OF KEIZER, LLC",7/6/21,OR
Bonaventure Of Keizer Memory Care,RESIDENTIAL CARE FACILITY,50R447,5525 MCLEOD LANE NE,97303,Marion,5036898084,35,memorycarekzr@livebsl.com,"BONAVENTURE OF KEIZER, LLC",7/6/21,OR
Bonaventure Of Medford Assisted Living,ASSISTED LIVING FACILITY,70A332,2530 EAST MCANDREWS ROAD,97504,Jackson,5419308750,69,executivedirectormed@livebsl.com,"BONAVENTURE OF MEDFORD, LLC",7/6/21,OR
Bonaventure Of Medford Memory Care,RESIDENTIAL CARE FACILITY,50R453,2530 EAST MCANDREWS ROAD,97504,Jackson,5419308750,25,memorycaremed@livebsl.com,"BONAVENTURE OF MEDFORD, LLC",7/6/21,OR
Bonaventure Of Salem Assisted Living,ASSISTED LIVING FACILITY,70A320,3411 BOONE RD SE,97317,Marion,5034800004,65,executivedirectorslm@livebsl.com,BONAVENTURE OF SALEM LLC,7/6/21,OR
Bonaventure Of Salem Memory Care,RESIDENTIAL CARE FACILITY,50R385,3411 BOONE RD SE,97317,Marion,5034800004,24,memorycareslm@livebsl.com,BONAVENTURE OF SALEM LLC,7/6/21,OR
Bonaventure Of Tigard Assisted Living,ASSISTED LIVING FACILITY,70A301,15000 SW HALL BLVD,97224,Washington,5032144200,69,executivedirectortig@livebsl.com,"BONAVENTURE OF TIGARD, LLC",7/6/21,OR
Bonaventure Of Tigard Memory Care,RESIDENTIAL CARE FACILITY,50R432,15000 SW HALL BLVD,97224,Washington,5032144200,23,memorycarertig@livebsl.com,"BONAVENTURE OF TIGARD, LLC",7/6/21,OR
Boone Ridge Memory Care,RESIDENTIAL CARE FACILITY,50R473,2950 BOONE RD SE,97306,Marion,9713323434,48,mced@booneridgeslc.com,"BOONE ROAD SENIOR LIVING, LLC",7/6/21,OR
Boone Ridge Senior Living Community,ASSISTED LIVING FACILITY,70A339,2950 BOONE RD SE,97306,Marion,9713323434,103,ed@booneridgeslc.com,"BOONE ROAD SENIOR LIVING, LLC",7/6/21,OR
Bridge Assisted Living  The,ASSISTED LIVING FACILITY,70A266,201 SW BRIDGE STREET,97526,Josephine,5419562110,77,admin@welovethebridge.com,"GRANTS PASS ASSISTED LIVING, LLC.",7/6/21,OR
Bridgecreek Memory Care,RESIDENTIAL CARE FACILITY,50A253,1401 S 12TH STREET,97355,Linn,5412591779,58,jburton@sapphirehealthservices.com,,7/6/21,OR
Bridgewood Rivers Assisted Living,ASSISTED LIVING FACILITY,70M009,1901 NW HUGHWOOD DR,97470,Douglas,5414401914,50,teresac@cascadeliving.com,,7/6/21,OR
Brightcreek At Sea View,RESIDENTIAL CARE FACILITY,50R368,98059 GERLACH LANE,97415,Curry,5414694500,35,mcpm@seaviewseniorliving.com,"SEA VIEW ASSISTED LIVING COMMUNITY, LLC",7/6/21,OR
Brookdale Beaverton,RESIDENTIAL CARE FACILITY,50A232,16655 NW WALKER ROAD,97006,Washington,5034391653,60,charity.jammeh@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Bend,RESIDENTIAL CARE FACILITY,50A263,1099 NE WYATT WAY,97701,Deschutes,5413854717,59,cgarner11@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Forest Grove,RESIDENTIAL CARE FACILITY,5MA146,3110 19TH AVE,97116,Washington,5033573288,110,mlawrence2@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Geary Street,ASSISTED LIVING FACILITY,70M016,2445 GEARY ST SE,97321,Linn,5419268200,80,rcatt@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Geary Street Memory Care,RESIDENTIAL CARE FACILITY,50R403,2445 GEARY ST  SE,97321,Linn,5419268200,44,rcatt@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Mcminnville City Center,ASSISTED LIVING FACILITY,70M017,721 NE 27TH ST,97128,Yamhill,5034350100,50,dlugar@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Mcminnville City Center Memory Care,RESIDENTIAL CARE FACILITY,5MA130,721 NE 27TH ST,97128,Yamhill,5034350100,15,kpierson4@brookdale.com,,7/6/21,OR
Brookdale Mcminnville Town Center,RESIDENTIAL CARE FACILITY,50R078,775 NE 27TH,97128,Yamhill,5034723130,35,tperez12@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Medford,RESIDENTIAL CARE FACILITY,50M056,3033 BARNETT ROAD,97504,Jackson,5417767600,95,dbuick@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Mt Hood,RESIDENTIAL CARE FACILITY,50M055,25200 SE STARK ST,97030,Multnomah,5036654300,88,nminch@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Newberg,ASSISTED LIVING FACILITY,70A308,3802 HAYES ST,97132,Yamhill,5035381705,110,dlarson@brookdale.com,EMERITUS CORPORATION,7/6/21,OR
Brookdale Ontario,RESIDENTIAL CARE FACILITY,50M142,1372 SW 8TH AVE,97914,Malheur,5418894600,82,pwhite17@brookdale.com,EMERITOL MEADOWBROOK LLC,7/6/21,OR
Brookdale Oswego Springs - Portland,ASSISTED LIVING FACILITY,70A303,11552 SW LESSER RD,97219,Multnomah,5035424747,82,sdelorenzo1@brookdale.com,EMERITUS CORPORATION,7/6/21,OR
Brookdale Redmond Assisted Living,ASSISTED LIVING FACILITY,70A305,1942 SW CANYON DRIVE,97756,Deschutes,5413164400,77,mgrubbs2@brookdale.com,EMERITUS CORPORATION,7/6/21,OR
Brookdale Redmond Clare Bridge,RESIDENTIAL CARE FACILITY,50R344,1942 SW CANYON DRIVE,97756,Deschutes,5413164400,32,dawn.kassing@brookdale.com,EMERITUS CORPORATION,7/6/21,OR
Brookdale River Road,ASSISTED LIVING FACILITY,70A078,592 BEVER DR NE,97303,Marion,5034634060,56,gessman@brookdale.com,EMERITUS CORPORATION,7/6/21,OR
Brookdale River Valley Tualatin,RESIDENTIAL CARE FACILITY,50M054,19200 SW 65TH AVE,97062,Clackamas,5036923192,120,ncristoforo@brookdale.com,EMERITUS CORPORATION,7/6/21,OR
Brookdale Roseburg,RESIDENTIAL CARE FACILITY,5MA254,3400 NW EDENBOWER BLVD,97470,Douglas,5414645600,60,sarah.calvert@brookdale.com,EMERITUS CORPORATION,7/6/21,OR
Brookdale Rose Valley Scappoose,ASSISTED LIVING FACILITY,70M236,33800 SE FREDERICK STREET,97056,Columbia,5035434646,79,steven.matthews@brookdale.com,EMERITUS CORPORATION,7/6/21,OR
Brookdale Salem,RESIDENTIAL CARE FACILITY,5MA205,1355 BOONE RD SE,97302,Marion,5033657500,60,belinda.hamilton@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Troutdale,RESIDENTIAL CARE FACILITY,50A236,1201 SW CHERRY PARK ROAD,97060,Multnomah,5034658104,61,rkibbee@brookdale.com,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",7/6/21,OR
Brookdale Wilsonville,RESIDENTIAL CARE FACILITY,50M228,8170 VLAHOS DR,97070,Clackamas,5036820653,32,kathy.white2@brookdale.com,EMERITUS CORPORATION,7/6/21,OR
Brookside Memory Care,RESIDENTIAL CARE FACILITY,50R478,11045 SW HALL BLVD,97223,Washington,5032785668,42,info@brooksidememorycare.com,BROOKSIDE MEMORY CARE LLC,7/6/21,OR
Brookside Place,ASSISTED LIVING FACILITY,70M010,3550 SW CANAL BLVD,97756,Deschutes,5415041600,45,director@brooksideplace.net,"REDMOND ALF, LLC",7/6/21,OR
Brookstone Alzheimer'S Special Care Center,RESIDENTIAL CARE FACILITY,5MA151,5881 WOODSIDE DR SE,97306,Marion,5033160687,57,brookstone-adm@jeaseniorliving.com,SH1 BROOKSTONE OPCO LLC,7/6/21,OR
Callahan Court Memory Care Com,RESIDENTIAL CARE FACILITY,5MA240,1770 NW VALLEY VIEW DRIVE,97470,Douglas,5416733900,48,administrator@callahancourt.com,LSREF GOLDEN OPS 14 (SILVER) LLC,7/6/21,OR
Callahan Village Assisted Living,ASSISTED LIVING FACILITY,70M229,1801 NW GARDEN VALLEY BLVD,97470,Douglas,5416734500,86,administrator@callahanvillage.com,"LSREF GOLDEN OPS UE (OR), LLC",7/6/21,OR
Canfield Place Retirement Community,ASSISTED LIVING FACILITY,70A011,14570 SW HART RD,97005,Washington,5036265100,105,jcarty@leisurecare.com,CANFIELD PLACE RETIREMENT COMMUNITY L.L.C.,7/6/21,OR
Canyon Rim Manor,ASSISTED LIVING FACILITY,70A296,1701 GEORGE JACKSON RD,97037,Wasco,5413952515,35,residentservices.cr@canyonrimslc.com,"MAUPIN SENIOR LIVING, LLC",7/6/21,OR
Capital Manor Retirement Community,RESIDENTIAL CARE FACILITY,50R216,1955 DALLAS HWY NW,97304,Polk,5033624101,117,pkidd@capitalmanor.com,"CAPITAL MANOR, INC.",7/6/21,OR
Carriage Place,ASSISTED LIVING FACILITY,70M013,150 S WILLIAMSON DR,97754,Crook,5414160500,34,james.mcnama@caringplaces.com,"CARING PLACES NORTHWEST, LLC",7/6/21,OR
Cascade Park Retirement Center,RESIDENTIAL CARE FACILITY,50M012,950 N CASCADE DR,97071,Marion,5039810033,32,tflores@centurypa.com,"WOODBURN INVESTMENT ASSOCIATES, LTD",7/6/21,OR
Cascades Of Bend Retirement Community,RESIDENTIAL CARE FACILITY,50R128,1801 NE LOTUS DR,97701,Deschutes,5413890046,70,jamiem@cascadeliving.com,"CASCADE LIVING GROUP- OREGON, LLC",7/6/21,OR
Cascades Of Grants Pass - The Pointe,RESIDENTIAL CARE FACILITY,5MA269,1400 REDWOOD CIRCLE,97527,Jackson,5414742838,64,joyc@cascadeliving.com,"S-H OPCO SPRING POINTE, LLC",7/6/21,OR
Cascades Of Grants Pass - The Village,ASSISTED LIVING FACILITY,70M254,1420 REDWOOD CIRCLE,97527,Josephine,5414740200,90,eunices@cascadeliving.com,"S-H OPCO SPRING VILLAGE, LLC",7/6/21,OR
