Facility ID,Facility Name,City,State,County,Email Address,Phone Number,Capacity,State Facility Type 1 Literal
AL6302,"AVONLEA COTTAGE OF SHAWNEE, LLC",SHAWNEE,OK,POTTAWATOMIE,vicky@unitedresource.biz,4052733323,16,Assisted Living Facilities
NH5520AL,BAPTIST VILLAGE OF OKLAHOMA CITY,OKLAHOMA CITY,OK,OKLAHOMA,jduehning@okc.baptistvillage.org,4057212466,50,Assisted Living Facilities
AL7221,BAPTIST VILLAGE OF OWASSO,OWASSO,OK,TULSA,mepperson@owa.baptistvillage.org,9182722281,85,Assisted Living Facilities
AL7405,BARTLESVILLE ASSISTED LIVING,BARTLESVILLE,OK,WASHINGTON,reggie@mlcconsult.com,9188763700,75,Assisted Living Facilities
AL7269,BEEHIVE HOMES OF BROKEN ARROW,BROKEN ARROW,OK,TULSA,jharris@beehivebrokenarrow.com/mjames@beehivebrokenarrow.com,9185059995,22,Assisted Living Facilities
AL7242,BEEHIVE HOMES OF GLENPOOL,GLENPOOL,OK,TULSA,lmeacham@beehivehomes.com,9186931012,24,Assisted Living Facilities
AL6102,BELFAIR OF MCALESTER,MCALESTER,OK,PITTSBURG,rsamples@belfairofmcalester.com,9184237020,80,Assisted Living Facilities
AL6304,BELFAIR OF SHAWNEE,SHAWNEE,OK,POTTAWATOMIE,gmanion@belfairseniorliving.com,4052751199,66,Assisted Living Facilities
AL7240,BELLAROSE SENIOR LIVING,TULSA,OK,TULSA,tnail@bellaroselife.com,9183550151,110,Assisted Living Facilities
AL5505,BLUE RIDGE PLACE,MIDWEST CITY,OK,OKLAHOMA,LegalHelp@enlivant.com,4057412000,39,Assisted Living Facilities
NH5526AL,BRADFORD VILLAGE HEALTHCARE CENTER,EDMOND,OK,OKLAHOMA,Josh.woodbridgesok.com,4053410810,55,Assisted Living Facilities
AL7262,BROKEN ARROW ASSISTED LIVING,BROKEN ARROW,OK,TULSA,kmoore@oxfordseniorliving.com,9184519626,45,Assisted Living Facilities
AL6201,BROOKDALE ADA,ADA,OK,PONTOTOC,kcross@brookdale.com,5804219800,43,Assisted Living Facilities
AL7401,BROOKDALE BARTLESVILLE NORTH,BARTLESVILLE,OK,WASHINGTON,smerrill@brookdale.com,9183339400,44,Assisted Living Facilities
AL7402,BROOKDALE BARTLESVILLE SOUTH,BARTLESVILLE,OK,WASHINGTON,smerrillbrookdale.com,9183319409,39,Assisted Living Facilities
AL7204,BROOKDALE BROKEN ARROW,BROKEN ARROW,OK,TULSA,smerrill@brookdale.com,9184511987,80,Assisted Living Facilities
AL7256,BROOKDALE CEDAR RIDGE,BROKEN ARROW,OK,TULSA,tgely@brookdale.com,9182520590,74,Assisted Living Facilities
AL2601,BROOKDALE CHICKASHA,CHICKASHA,OK,GRADY,smerrill@brookdale.com,4052248300,39,Assisted Living Facilities
AL6601,BROOKDALE CLAREMORE,CLAREMORE,OK,ROGERS,smerrill@brookdale.com,9183433300,71,Assisted Living Facilities
AL0701,BROOKDALE DURANT,DURANT,OK,BRYAN,smerrill@brookdale.com,5809310600,43,Assisted Living Facilities
AL5506,BROOKDALE EDMOND DANFORTH,EDMOND,OK,OKLAHOMA,ldimonico@brookdale.com,4053309100,43,Assisted Living Facilities
AL5508,BROOKDALE EDMOND SANTA FE,EDMOND,OK,OKLAHOMA,smerrill@brookdale.com,4053306600,35,Assisted Living Facilities
AL2401,BROOKDALE ENID,ENID,OK,GARFIELD,smerrill@brookdale.com,5802370700,39,Assisted Living Facilities
AL5101,BROOKDALE MUSKOGEE,MUSKOGEE,OK,MUSKOGEE,smerrill@brookdale.com,9186838388,43,Assisted Living Facilities
AL1401,BROOKDALE NORMAN,NORMAN,OK,CLEVELAND,smerrill@brookdale.com,4055739200,39,Assisted Living Facilities
AL5510,BROOKDALE OKLAHOMA CITY SOUTHWEST,OKLAHOMA CITY,OK,CLEVELAND,ecook4@brookdale.com,4056910409,40,Assisted Living Facilities
AL7207,BROOKDALE OWASSO,OWASSO,OK,TULSA,smerrilly@brookdale.com,9182720202,43,Assisted Living Facilities
AL6301,BROOKDALE SHAWNEE,SHAWNEE,OK,POTTAWATOMIE,smerrill@brookdale.com,4052757747,39,Assisted Living Facilities
AL6001,BROOKDALE STILLWATER,STILLWATER,OK,PAYNE,smerrill@brookdale.com,4056241616,39,Assisted Living Facilities
AL1101,BROOKDALE TAHLEQUAH HERITAGE,TAHLEQUAH,OK,CHEROKEE,smerrill@brookdale.com,9184567117,55,Assisted Living Facilities
AL7206,BROOKDALE TULSA 71ST AND SHERIDAN,TULSA,OK,TULSA,smerrill@brookdale.com,9184944011,52,Assisted Living Facilities
AL7216,BROOKDALE TULSA MIDTOWN,TULSA,OK,TULSA,smerrill@brookdale.com,9187432700,120,Assisted Living Facilities
AL7205,BROOKDALE TULSA SOUTH,TULSA,OK,TULSA,smerrill@brookdale.com,9184611100,43,Assisted Living Facilities
AL5519,BROOKDALE VILLAGE,OKLAHOMA CITY,OK,OKLAHOMA,smerrilly@brookdale.com,4057518430,65,Assisted Living Facilities
AL2001,BROOKDALE WEATHERFORD,WEATHERFORD,OK,CUSTER,smerrill@brookdale.com,5807726600,42,Assisted Living Facilities
AL1604,BROOKRIDGE RETIREMENT COMMUNITY,LAWTON,OK,COMANCHE,jaybrooks52@msn.com,5805369700,100,Assisted Living Facilities
AL1003,CANOE BROOK ARDMORE,ARDMORE,OK,CARTER,kmoore@oxfordseniorliving.com,5802263337,50,Assisted Living Facilities
AL0908,CARRIAGE HOUSE HOMES,YUKON,OK,CANADIAN,angie.crawford63@gmail.com,4053010989,5,Assisted Living Facilities
AL6903,CHISHOLM TRAIL ASSISTED LIVING,DUNCAN,OK,STEPHENS,dustinrexcox@yahoo.com,5804708700,77,Assisted Living Facilities
AL7219,COMPREHENSIVE COMMUNITY REHAB SERVICES AL,TULSA,OK,TULSA,mhdobbsrn@sbcglobal.net,9184886165,6,Assisted Living Facilities
AL5103,COUNTRY GARDENS ASSISTED LIVING COMMUNITY,MUSKOGEE,OK,MUSKOGEE,countrygardens@tutera.com,9186868100,75,Assisted Living Facilities
AL3701,COUNTRYWOOD ASSISTED LIVING AND MEMORY CARE,KINGFISHER,OK,KINGFISHER,kfarrar@seniorlifestyle.com,4053755232,47,Assisted Living Facilities
CC1902AL,COVENANT LIVING AT INVERNESS,TULSA,OK,CREEK,RBearer@asbury.org,9184819988,47,Assisted Living Facilities
AL7264,COVENANT LIVING OF BIXBY,BIXBY,OK,TULSA,garrett.lee@covenantplacetulsa.org,9189704433,68,Assisted Living Facilities
AL3603,CREEKSIDE VILLAGE,PONCA CITY,OK,KAY,kmoore@oxfordseniorliving.com,5807659900,39,Assisted Living Facilities
AL5518,"CRYSTAL PLACE, LLC",OKLAHOMA CITY,OK,CLEVELAND,cpllc99@yahoo.com,4056161980,50,Assisted Living Facilities
AL5102,DOGWOOD CREEK RETIREMENT CENTER,MUSKOGEE,OK,MUSKOGEE,zhenson@dogwoodcreekok.com,9186835100,80,Assisted Living Facilities
AL5504,DORSET PLACE - ASSISTED LIVING,OKLAHOMA CITY,OK,OKLAHOMA,legalhelp@enlivant.com,4057557800,43,Assisted Living Facilities
AL5515,DORSET PLACE-MEMORY CARE,OKLAHOMA CITY,OK,OKLAHOMA,LegalHelp@enlivant.com,4057524220,38,Assisted Living Facilities
AL6905,DUNCAN ASSISTED LIVING,DUNCAN,OK,STEPHENS,hweaver@oxfordseniorliving.com,5802523337,50,Assisted Living Facilities
AL4202,EDEN CARE - OAK TREE,EDMOND,OK,LOGAN,smcclure@edencarehomes.com,4052855983,5,Assisted Living Facilities
AL5539,EDEN CARE - THE GREENS,OKLAHOMA CITY,OK,OKLAHOMA,smcclure@edencarehomes.com,4052855983,5,Assisted Living Facilities
AL1605,EDITH KASSANAVOID GORDON ASSISTED LIVING CENTER,LAWTON,OK,COMANCHE,melanie.lewis@comanchenation.com,5806993736,9,Assisted Living Facilities
AL0501,ELKWOOD ASSISTED LIVING AND MEMORY CARE,ELK CITY,OK,BECKHAM,jbyerly@seniorlifestyle.com,5802250506,86,Assisted Living Facilities
AL5509,EMERALD SQUARE ASSISTED LIVING COMMUNITY,OKLAHOMA CITY,OK,OKLAHOMA,emer.adm@meridiansenior.com,4057874466,78,Assisted Living Facilities
CC5504AL,EPWORTH VILLA HEALTH SERVICES,OKLAHOMA CITY,OK,OKLAHOMA,,4057521200,130,Assisted Living Facilities
AL4702,FAIRVIEW FELLOWSHIP HOME ASSISTED LIVING,FAIRVIEW,OK,MAJOR,lucy@fellowshiphome.com,5802273783,16,Assisted Living Facilities
AL6202,FEATHERSTONE ASSISTED LIVING COMMUNITY OF ADA,ADA,OK,PONTOTOC,holli@featherstoneretirement.com,5803325200,50,Assisted Living Facilities
AL0703,FEATHERSTONE ASSISTED LIVING COMMUNITY OF DURANT,DURANT,OK,BRYAN,holli@featherstoneretirement.com,5809243777,50,Assisted Living Facilities
AL1409,FEATHERSTONE ASSISTED LIVING COMMUNITY OF MOORE,MOORE,OK,CLEVELAND,holli@featherstoneretirement.com,4057999919,55,Assisted Living Facilities
AL7211,FOREST HILLS ASSISTED LIVING RETIREMENT AND CARE,BROKEN ARROW,OK,TULSA,bhoward@mgmhealthcare.com,9182501700,162,Assisted Living Facilities
AL5537,FOUNTAINBROOK ASSISTED LIVING AND MEMORY SUPPORT,MIDWEST CITY,OK,OKLAHOMA,hweaver@oxfordseniorliving.com,4057697677,90,Assisted Living Facilities
NH7211AL,FRANCISCAN VILLA,BROKEN ARROW,OK,TULSA,adam.young@franciscanvilla.com,9183551596,71,Assisted Living Facilities
AL5511,GLADE AVENUE ASSISTED LIVING,BETHANY,OK,OKLAHOMA,reggie@mlcconsult.com,4057052400,100,Assisted Living Facilities
AL5512,GLADE AVENUE SOUTH,BETHANY,OK,OKLAHOMA,reggie@mlcconsult.com,4057052400,53,Assisted Living Facilities
NH2606AL,GLENHAVEN RETIREMENT VILLAGE,CHICKASHA,OK,GRADY,chrism@glenhavencorp.com,4052240909,44,Assisted Living Facilities
CC1101AL,GO YE VILLAGE CONTINUUM OF CARE RETIREMENT COMMUNI,TAHLEQUAH,OK,CHEROKEE,pcolvin@goyevillage.org,9184564542,64,Assisted Living Facilities
AL6003,GOLDEN OAKS ASSISTED LIVING,STILLWATER,OK,PAYNE,thastings@companionhealth.net,4053771114,124,Assisted Living Facilities
AL2403,GOLDEN OAKS ASSISTED LIVING,ENID,OK,GARFIELD,jjackson@goldenoaks.com,5802492600,69,Assisted Living Facilities
AL2103,"GRANDWOOD ASSISTED LIVING, LC",GROVE,OK,DELAWARE,reggie@mlcconsult.com,9187872011,110,Assisted Living Facilities
AL7403,GREEN COUNTRY VILLAGE ASSISTED LIVING CENTER,BARTLESVILLE,OK,WASHINGTON,sherylmcomas@greencountryvillage.com,9183352086,65,Assisted Living Facilities
AL7228,GREEN TREE AT SAND SPRINGS,SAND SPRINGS,OK,TULSA,OSDOH@legendseniorliving.com,9182468733,86,Assisted Living Facilities
AL2405,"GREENBRIER VILLAGE RESIDENTIAL LIVING, LLC",ENID,OK,GARFIELD,52Hackett@gmail.com,5802331333,60,Assisted Living Facilities
AL1414,HARBORCHASE OF SOUTH OKLAHOMA CITY,OKLAHOMA CITY,OK,CLEVELAND,oklahomaed@harborchase.com,4052592309,146,Assisted Living Facilities
AL1802,HEARTSWORTH HOUSE ASSISTED LIVING,VINITA,OK,CRAIG,trishingram@dlcok.org,9182567856,30,Assisted Living Facilities
AL7203,HEATHERIDGE ASSISTED LIVING,TULSA,OK,TULSA,lstanisha@12oaks.net,9186229191,29,Assisted Living Facilities
AL0905,HERITAGE ASSISTED LIVING,YUKON,OK,CANADIAN,heritageassisted@gmail.com,4057225552,95,Assisted Living Facilities
AL7001,HERITAGE COMMUNITY,GUYMON,OK,TEXAS,dan.stiles@guymonheritagecommunity.com,5803383186,48,Assisted Living Facilities
AL5599,HERITAGE POINT OF OKLAHOMA CITY,OKLAHOMA CITY,OK,OKLAHOMA,kpammerter@srlivingservices.com,4052528200,60,Assisted Living Facilities
AL5502,HOMESTEAD OF BETHANY,BETHANY,OK,OKLAHOMA,jsourk@midwest-health.com,4057879200,30,Assisted Living Facilities
AL5547,IRIS MEMORY CARE OF EDMOND,EDMOND,OK,OKLAHOMA,davidk@matteore.com,4053302222,40,Assisted Living Facilities
AL5554,JOHN H JOHNSON CARE SUITES,OKLAHOMA CITY,OK,OKLAHOMA,telangdon@gmail.com,4056053220,120,Assisted Living Facilities
AL2102,LANE ASSISTED LIVING OF PRYOR,PRYOR,OK,MAYES,cdaves@lanemgmt.com,9188244566,12,Assisted Living Facilities
AL6010,LEGACY VILLAGE OF STILLWATER,STILLWATER,OK,PAYNE,codye@wslm.biz,4057149790,130,Assisted Living Facilities
AL1103,LEGEND AT 71ST STREET,TULSA,OK,TULSA,osdoh@legendseniorliving.com,3166166231,100,Assisted Living Facilities
AL5594,LEGEND AT COUNCIL ROAD,OKLAHOMA CITY,OK,OKLAHOMA,osdoh@legendseniorliving.com,4057210300,76,Assisted Living Facilities
AL7261,LEGEND AT MINGO ROAD,TULSA,OK,TULSA,traci.girrens@legendseniorliving.com,9188933500,90,Assisted Living Facilities
AL1410,LEGEND AT RIVENDELL,OKLAHOMA CITY,OK,CLEVELAND,OSDH@legendseniorlving.com,4056912300,151,Assisted Living Facilities
AL7260,LIVING ROSE CHRISTIAN ASSISTED LIVING HOME,BROKEN ARROW,OK,TULSA,livingrose@ymail.com,9188517906,5,Assisted Living Facilities
AL5525,LYNDALE AT EDMOND,EDMOND,OK,OKLAHOMA,bstone@lyndalelife.com,4053486006,52,Assisted Living Facilities
AL1411,MEADOWLAKES RETIREMENT VILLAGE,OKLAHOMA CITY,OK,CLEVELAND,lschaefer@StonegateSL.com,4057034225,122,Assisted Living Facilities
CC7204AL,MONTEREAU INC,TULSA,OK,TULSA,tbrown@montereau.net,9184915250,80,Assisted Living Facilities
AL7218,NORTH COUNTY ASSISTED LIVING,COLLINSVILLE,OK,TULSA,Emilie.Creswell@northcountyseniorLiving.com,9183711919,35,Assisted Living Facilities
AL5507,NORTHHAVEN PLACE,OKLAHOMA CITY,OK,OKLAHOMA,legalhelp@enlivant.com,4057738300,43,Assisted Living Facilities
AL7226,OKLAHOMA METHODIST MANOR INC,TULSA,OK,TULSA,jwill@ommtulsa.org,9187432565,74,Assisted Living Facilities
AL7239,OXFORD GLEN AT OWASSO,OWASSO,OK,TULSA,kmoore@Oxfordseniorliving.com,9183764810,48,Assisted Living Facilities
AL3001,PARKVIEW POINTE SENIOR LIVING,LAVERNE,OK,HARPER,loveparkview@gmail.com,5809217275,28,Assisted Living Facilities
AL7241,PRAIRIE HOUSE ASSISTED LIVING & MEMORY CARE,BROKEN ARROW,OK,TULSA,hannahone@prairiehouseseniorliving.com,9189405200,127,Assisted Living Facilities
AL4102,PRAIRIE POINTE AT STROUD,STROUD,OK,LINCOLN,lgordaon.prairiepointe@yahoo.com,9189871130,30,Assisted Living Facilities
AL6303,PRIMROSE RETIREMEMT COMMUNITY OF SHAWNEE,SHAWNEE,OK,POTTAWATOMIE,mmcneary@primroseretirement.com,4052730925,50,Assisted Living Facilities
AL6009,PRIMROSE RETIREMENT COMMUNITY OF STILLWATER,STILLWATER,OK,PAYNE,twolfe@primroseretirement.com,4055333300,50,Assisted Living Facilities
AL7702,PROVIDENCE PLACE,WOODWARD,OK,WOODWARD,providenceplaceww@yahoo.com,5802565900,52,Assisted Living Facilities
AL5513,QUAIL CREEK SENIOR LIVING,OKLAHOMA CITY,OK,OKLAHOMA,jtownsend@quailcreekseniorliving.com,4057486464,116,Assisted Living Facilities
AL5523,QUAIL RIDGE SENIOR LIVING,OKLAHOMA CITY,OK,OKLAHOMA,cseabaugh@quailridgeassistedliving.com,4057555775,184,Assisted Living Facilities
NH1904AL,RAINBOW HEALTH CARE COMMUNITY AND RAINBOW ASSISTED,BRISTOW,OK,CREEK,adyoung@mgmhealthcare.com,9183672246,20,Assisted Living Facilities
AL1403,RAMBLING OAKS ASSISTED LIVING,NORMAN,OK,CLEVELAND,hmiller@rseniorliving.com,4053604755,86,Assisted Living Facilities
AL1407,RAMBLING OAKS COURTYARD ASSISTED LIVING & MEMORY C,OKLAHOMA CITY,OK,CLEVELAND,hmiller@rseniorliving.com,4056916555,80,Assisted Living Facilities
AL6006,RED BUD ASSISTED LIVING,PERKINS,OK,PAYNE,thastings@companionhealth.net,4055478311,30,Assisted Living Facilities
AL5522,SAINT ANN ASSISTED LIVING,OKLAHOMA CITY,OK,OKLAHOMA,al@saintannretirementcenter.com,4057210747,58,Assisted Living Facilities
CC7205AL,SAINT SIMEONS EPISCOPAL HOME,TULSA,OK,TULSA,agreen@saintssimeons.org,9184253583,88,Assisted Living Facilities
AL7229,SAND PLUM ASSISTED LIVING COMMUNITY,BIXBY,OK,TULSA,zhenson@sandplumok.com,9183697100,100,Assisted Living Facilities
AL7215,SENIOR STAR AT THE ARBORS,TULSA,OK,TULSA,tperkins@seniorstar.com,9182987799,25,Assisted Living Facilities
AL5601,SENIOR STAR AT THE BROOK,OKMULGEE,OK,OKMULGEE,cgarrett@seniorstar.com,9187561253,30,Assisted Living Facilities
AL1402,SOMMERSET NEIGHBORHOOD,OKLAHOMA CITY,OK,CLEVELAND,jessica.guillory@gmail.com,4056919221,126,Assisted Living Facilities
AL5549,SOUTHERN PLAZA ASSISTED LIVING AND MEMORY CARE,BETHANY,OK,OKLAHOMA,shaye@arborhouseliving.com,4054401111,110,Assisted Living Facilities
AL5503,SOUTHRIDGE PLACE,OKLAHOMA CITY,OK,CLEVELAND,LegalHelp@enlivant.com,4056913366,39,Assisted Living Facilities
AL0906,SPANISH COVE HOUSING AUTHORITY,YUKON,OK,CANADIAN,dblose@spanishcove.com,4053541901,82,Assisted Living Facilities
AL0907,ST KATHARINE DREXEL RETIREMENT CENTER,EL RENO,OK,CANADIAN,,4052622920,74,Assisted Living Facilities
AL5548,STONECREEK ASSISTED LIVING AND MEMORY CARE,EDMOND,OK,OKLAHOMA,ed@stonecreek-al.com,4053305020,118,Assisted Living Facilities
AL5536,STOREY OAKS,OKLAHOMA CITY,OK,OKLAHOMA,lstanisha@12oaks.net,4052869500,66,Assisted Living Facilities
AL5556,SUPERIOR CARE HOMES OF OKLAHOMA,OKLAHOMA CITY,OK,OKLAHOMA,superiorcarehomeofoklahoma@gmail.com,4053677213,5,Assisted Living Facilities
AL3301,TAMARACK RETIREMENT CENTER,ALTUS,OK,JACKSON,kaystewart@jcmh.com,5803796988,108,Assisted Living Facilities
AL5541,TEAL CREEK ASSISTED LIVING & MEMORY CARE,EDMOND,OK,OKLAHOMA,gcguymon@icloud.com,4053128050,126,Assisted Living Facilities
AL5535,TEALRIDGE ASSISTED LIVING,EDMOND,OK,OKLAHOMA,cbales@tealridge.com,4056045433,80,Assisted Living Facilities
AL1602,TEN OAKS PLACE,LAWTON,OK,COMANCHE,legalhelp@enlivant.com,5803531190,166,Assisted Living Facilities
AL2404,THE ARBORS ASSISTED LIVING CENTER,ENID,OK,GARFIELD,brooksj1977@sbcglobal.net,5805418402,16,Assisted Living Facilities
AL1601,THE BRENTWOOD SENIOR LIVING,LAWTON,OK,COMANCHE,mbaggett@thebrentwoodseniorliving.com,5805364848,90,Assisted Living Facilities
AL1603,THE CHATEAU,LAWTON,OK,COMANCHE,samghosn@gmail.com,5805366800,42,Assisted Living Facilities
NH2407AL,THE COMMONS,ENID,OK,GARFIELD,lburrell@thecommons-UMRC.com,5802376164,35,Assisted Living Facilities
AL3303,THE COURTYARD AT MAGNOLIA CREEK MEMORY CARE ASSIS,ALTUS,OK,JACKSON,cathy.payne@magnoliaOK.com,5804826735,70,Assisted Living Facilities
AL6602,THE COURTYARDS AT CLAREMORE ASSISTED LIVING MEMORY,CLAREMORE,OK,ROGERS,debra.hudson@gracelivingcenters.com,9183433850,80,Assisted Living Facilities
AL7210,THE COURTYARDS AT THE AMBASSADOR MEMORY CARE ASSIS,TULSA,OK,TULSA,keri.stevens@ambassadorok.com,9187437887,75,Assisted Living Facilities
NH5544AL,THE FOUNTAINS AT CANTERBURY HEALTH CENTER,OKLAHOMA CITY,OK,OKLAHOMA,rhoback@watermarkcommunities.com,4057513600,98,Assisted Living Facilities
AL1404,THE GARDENS AT RIVERMONT,NORMAN,OK,CLEVELAND,traci.girrens@legendseniorliving.com,4053606056,70,Assisted Living Facilities
AL5529,THE HEALTH CENTER AT CONCORDIA,OKLAHOMA CITY,OK,OKLAHOMA,deischen@concordiaseniorliving.com,4057207200,60,Assisted Living Facilities
AL5526,"THE HEAVEN HOUSE, LLC",OKLAHOMA CITY,OK,OKLAHOMA,dcoconnor448@gmail.com,4058488393,5,Assisted Living Facilities
AL5538,"THE HEAVEN HOUSE, LLC",OKLAHOMA CITY,OK,OKLAHOMA,dcoconnor448@gmail.com,4058501007,5,Assisted Living Facilities
AL5597,"THE HEAVEN HOUSE, LLC",OKLAHOMA CITY,OK,OKLAHOMA,dcoconnor448@gmail.com,4058501007,5,Assisted Living Facilities
AL5544,"THE HEAVEN HOUSE, LLC",OKLAHOMA CITY,OK,OKLAHOMA,dcoconnor448@gmail.com/dianeoconnor448@gmail.com,4058501007,5,Assisted Living Facilities
AL5552,"THE HEAVEN HOUSE, LLC",OKLAHOMA CITY,OK,OKLAHOMA,dianeoconnor448@gmail.com,4058501007,5,Assisted Living Facilities
AL7225,THE HOMESTEAD OF OWASSO,OWASSO,OK,TULSA,jdavidson@homesteadofowasso.com,9183762226,104,Assisted Living Facilities
AL5517,THE LEGEND AT JEFFERSON'S GARDEN,EDMOND,OK,OKLAHOMA,osdoh@legendseniorliving.com,4057151717,44,Assisted Living Facilities
AL7267,THE LINDEN AT STONEHAVEN SQUARE,TULSA,OK,TULSA,droberts@leisurecare.com,9182030210,142,Assisted Living Facilities
AL5591,THE MANSION AT WATERFORD,OKLAHOMA CITY,OK,OKLAHOMA,executivedirector@mansionatwaterfordslc.com,4058481817,125,Assisted Living Facilities
AL6203,THE NEIGHBORHOODS AT BAPTIST VILLAGE OF ADA,ADA,OK,PONTOTOC,tscheer@ada.baptistvillage.com,5803326004,30,Assisted Living Facilities
AL7259,THE NEIGHBORHOODS AT BAPTIST VILLAGE OF BROKEN ARR,BROKEN ARROW,OK,TULSA,mbaggett@ba.baptistvillage.org,9183550099,58,Assisted Living Facilities
AL0502,THE NEIGHBORHOODS AT BAPTIST VILLAGE OF ELK CITY,ELK CITY,OK,BECKHAM,chenderson@ec.baptistvillage.org,5802255555,68,Assisted Living Facilities
AL5602,THE NEIGHBORHOODS AT BAPTIST VILLAGE OF OKMULGEE,OKMULGEE,OK,OKMULGEE,spowell@okm.baptistvillage.org,9187565377,19,Assisted Living Facilities
AL7208,THE PARKE ASSISTED LIVING,TULSA,OK,TULSA,mmoris@theparke.net,9182491262,70,Assisted Living Facilities
AL3601,THE RENAISSANCE OF PONCA CITY,PONCA CITY,OK,KAY,ginger@milestoneretirement.com,5807655900,35,Assisted Living Facilities
AL6002,THE RENAISSANCE OF STILLWATER-ASSISTED LIVING,STILLWATER,OK,PAYNE,ginger@milestoneretirement.com,4057434900,40,Assisted Living Facilities
AL6004,THE RENAISSANCE OF STILLWATER-MEMORY CARE,STILLWATER,OK,PAYNE,ginger@milestoneretirement.com,4057434900,36,Assisted Living Facilities
AL1001,"THE SUITES AT ELMBROOK, INC",ARDMORE,OK,CARTER,admin.suites@elmbrookhomes.com,5802233100,60,Assisted Living Facilities
AL5545,THE VERADEN,EDMOND,OK,OKLAHOMA,bmccaleb@sagora.com,4053591230,110,Assisted Living Facilities
CC7207AL,THE VILLAGES AT SOUTHERN HILLS,TULSA,OK,TULSA,cneal@stonegateSL.com,9184476447,98,Assisted Living Facilities
AL2502,THE WILLOWS,PAULS VALLEY,OK,GARVIN,lpn_583@yahoo.com,4052384414,48,Assisted Living Facilities
AL5520,TIMBERWOOD ASSISTED LIVING & MEMORY CARE,OKLAHOMA CITY,OK,OKLAHOMA,kbolino@seniorlifestyle.com,4056190079,60,Assisted Living Facilities
AL5532,TOUCHMARK AT COFFEE CREEK,EDMOND,OK,OKLAHOMA,martin.chavarria@touchmark.com,4053401975,134,Assisted Living Facilities
AL5595,TOWN VILLAGE ASSISTED LIVING,NICHOLS HILLS,OK,OKLAHOMA,lboucher@integratedsl.com,4052979600,33,Assisted Living Facilities
AL7302,TULSA ASSISTED LIVING AND MEMORY CARE,CATOOSA,OK,ROGERS,tim.stimson@canoebrookal.com,9187394700,82,Assisted Living Facilities
AL7266,"TULSA SENIOR LIVING , LLC",TULSA,OK,TULSA,kpammenter@SrlivingServices.com,9189401800,57,Assisted Living Facilities
AL7214,UNIVERSITY VILLAGE RETIREMENT COMMUNITY,TULSA,OK,TULSA,ralsup@uvrc.org,9182992661,150,Assisted Living Facilities
AL6101,VAN BUREN HOUSE ASSISTED LIVING,MCALESTER,OK,PITTSBURG,carends@mrhcok.com,9184265600,60,Assisted Living Facilities
NH3608AL,"VIA CHRISTI VILLAGE PONCA CITY, INC",PONCA CITY,OK,KAY,william.otjen@ascension.org,5807620927,95,Assisted Living Facilities
AL0901,VICTORIAN ESTATES,YUKON,OK,CANADIAN,lschaefer@StonegateSL.com,4053501055,70,Assisted Living Facilities
AL5534,VILLAGE AT OAKWOOD,OKLAHOMA CITY,OK,OKLAHOMA,jwilson@villageatoakwood.com,4056056353,110,Assisted Living Facilities
AL1002,VILLAGE LODGE OF ARDMORE VILLAGE,ARDMORE,OK,CARTER,jimmie@ardmore.com,5802238400,58,Assisted Living Facilities
