State,FIPS,County,Population (2010),Latitude,Longitude
AR,5079,Lincoln,"14,134",+33.957665°,–91.727624°
AR,5081,Little River,"13,171",+33.699497°,–94.229774°
AR,5083,Logan,"22,353",+35.218550°,–93.720563°
AR,5085,Lonoke,"68,356",+34.755114°,–91.894132°
AR,5087,Madison,"15,717",+36.012545°,–93.724053°
AR,5089,Marion,"16,653",+36.266656°,–92.678588°
AR,5091,Miller,"43,462",+33.305505°,–93.901509°
AR,5093,Mississippi,"46,480",+35.766943°,–90.052209°
AR,5095,Monroe,"8,149",+34.679513°,–91.203314°
AR,5097,Montgomery,"9,487",+34.545652°,–93.664147°
AR,5099,Nevada,"8,997",+33.666699°,–93.305072°
AR,5101,Newton,"8,330",+35.910063°,–93.215084°
AR,5103,Ouachita,"26,120",+33.591158°,–92.878418°
AR,5105,Perry,"10,445",+34.946363°,–92.926877°
AR,5107,Phillips,"21,757",+34.425842°,–90.848386°
AR,5109,Pike,"11,291",+34.158191°,–93.658659°
AR,5111,Poinsett,"24,583",+35.568981°,–90.680595°
AR,5113,Polk,"20,662",+34.490915°,–94.230884°
AR,5115,Pope,"61,754",+35.455297°,–93.031535°
AR,5117,Prairie,"8,715",+34.828225°,–91.557200°
AR,5119,Pulaski,"382,748",+34.773988°,–92.316515°
AR,5121,Randolph,"17,969",+36.341299°,–91.028441°
AR,5123,St. Francis,"28,258",+35.014438°,–90.742199°
AR,5125,Saline,"107,118",+34.648525°,–92.674463°
AR,5127,Scott,"11,233",+34.858869°,–94.063641°
AR,5129,Searcy,"8,195",+35.909660°,–92.699351°
AR,5131,Sebastian,"125,744",+35.196981°,–94.274989°
AR,5133,Sevier,"17,058",+33.994608°,–94.243290°
AR,5135,Sharp,"17,264",+36.173399°,–91.471069°
AR,5137,Stone,"12,394",+35.856989°,–92.140494°
AR,5139,Union,"41,639",+33.168219°,–92.598145°
AR,5141,Van Buren,"17,295",+35.582959°,–92.515977°
AR,5143,Washington,"203,065",+35.971209°,–94.218417°
AR,5145,White,"77,076",+35.254722°,–91.753158°
AR,5147,Woodruff,"7,260",+35.189071°,–91.244418°
AR,5149,Yell,"22,185",+34.997713°,–93.408303°
CA,6001,Alameda,"1,510,271",+37.648081°,–121.913304°
CA,6003,Alpine,"1,175",+38.617610°,–119.798999°
CA,6005,Amador,"38,091",+38.443550°,–120.653856°
CA,6007,Butte,"220,000",+39.665959°,–121.601919°
CA,6009,Calaveras,"45,578",+38.187844°,–120.555115°
CA,6011,Colusa,"21,419",+39.177739°,–122.237563°
CA,6013,Contra Costa,"1,049,025",+37.919479°,–121.951543°
CA,6015,Del Norte,"28,610",+41.749903°,–123.980998°
CA,6017,El Dorado,"181,058",+38.785532°,–120.534398°
CA,6019,Fresno,"930,450",+36.761006°,–119.655019°
CA,6021,Glenn,"28,122",+39.602546°,–122.401700°
CA,6023,Humboldt,"134,623",+40.706673°,–123.925818°
CA,6025,Imperial,"174,528",+33.040816°,–115.355395°
CA,6027,Inyo,"18,546",+36.561977°,–117.403927°
CA,6029,Kern,"839,631",+35.346629°,–118.729506°
CA,6031,Kings,"152,982",+36.072478°,–119.815530°
CA,6033,Lake,"64,665",+39.094802°,–122.746757°
CA,6035,Lassen,"34,895",+40.721089°,–120.629931°
CA,6037,Los Angeles,"9,818,605",+34.196398°,–118.261862°
CA,6039,Madera,"150,865",+37.210039°,–119.749852°
CA,6041,Marin,"252,409",+38.051817°,–122.745974°
CA,6043,Mariposa,"18,251",+37.570034°,–119.912860°
CA,6045,Mendocino,"87,841",+39.432388°,–123.442881°
CA,6047,Merced,"255,793",+37.194806°,–120.722802°
CA,6049,Modoc,"9,686",+41.592919°,–120.718370°
CA,6051,Mono,"14,202",+37.915836°,–118.875167°
CA,6053,Monterey,"415,057",+36.240107°,–121.315573°
CA,6055,Napa,"136,484",+38.507351°,–122.325995°
CA,6057,Nevada,"98,764",+39.295191°,–120.773446°
CA,6059,Orange,"3,010,232",+33.675687°,–117.777207°
CA,6061,Placer,"348,432",+39.062032°,–120.722718°
CA,6063,Plumas,"20,007",+39.995170°,–120.829516°
CA,6065,Riverside,"2,189,641",+33.729828°,–116.002239°
CA,6067,Sacramento,"1,418,788",+38.450011°,–121.340441°
CA,6069,San Benito,"55,269",+36.610702°,–121.085296°
CA,6071,San Bernardino,"2,035,210",+34.857220°,–116.181197°
CA,6073,San Diego,"3,095,313",+33.023604°,–116.776117°
CA,6075,San Francisco,"805,235",+37.727239°,–123.032229°
CA,6077,San Joaquin,"685,306",+37.935034°,–121.272237°
CA,6079,San Luis Obispo,"269,637",+35.385227°,–120.447540°
CA,6081,San Mateo,"718,451",+37.414664°,–122.371542°
CA,6083,Santa Barbara,"423,895",+34.537378°,–120.038485°
CA,6085,Santa Clara,"1,781,642",+37.220777°,–121.690622°
CA,6087,Santa Cruz,"262,382",+37.012488°,–122.007205°
CA,6089,Shasta,"177,223",+40.760522°,–122.043550°
CA,6091,Sierra,"3,240",+39.576925°,–120.521993°
CA,6093,Siskiyou,"44,900",+41.587986°,–122.533287°
CA,6095,Solano,"413,344",+38.267226°,–121.939594°
CA,6097,Sonoma,"483,878",+38.532574°,–122.945194°
CA,6099,Stanislaus,"514,453",+37.562384°,–121.002656°
CA,6101,Sutter,"94,737",+39.035257°,–121.702758°
CA,6103,Tehama,"63,463",+40.126156°,–122.232276°
CA,6105,Trinity,"13,786",+40.647724°,–123.114404°
CA,6107,Tulare,"442,179",+36.230453°,–118.780542°
CA,6109,Tuolumne,"55,365",+38.021451°,–119.964708°
CA,6111,Ventura,"823,318",+34.358742°,–119.133143°
CA,6113,Yolo,"200,849",+38.679268°,–121.903178°
CA,6115,Yuba,"72,155",+39.270026°,–121.344280°
CO,8001,Adams,"441,603",+39.874325°,–104.331872°
CO,8003,Alamosa,"15,445",+37.568442°,–105.788041°
CO,8005,Arapahoe,"572,003",+39.644632°,–104.331733°
CO,8007,Archuleta,"12,084",+37.202395°,–107.050863°
CO,8009,Baca,"3,788",+37.303144°,–102.535457°
CO,8011,Bent,"6,499",+37.931891°,–103.077584°
CO,8013,Boulder,"294,567",+40.094826°,–105.398382°
CO,8014,Broomfield,"55,889",+39.953383°,–105.052125°
CO,8015,Chaffee,"17,809",+38.738246°,–106.316972°
CO,8017,Cheyenne,"1,836",+38.835387°,–102.604585°
CO,8019,Clear Creek,"9,088",+39.689403°,–105.670791°
CO,8021,Conejos,"8,256",+37.213407°,–106.176447°
CO,8023,Costilla,"3,524",+37.277547°,–105.428940°
CO,8025,Crowley,"5,823",+38.321956°,–103.787562°
CO,8027,Custer,"4,255",+38.101994°,–105.373515°
CO,8029,Delta,"30,952",+38.861756°,–107.864757°
CO,8031,Denver,"600,158",+39.761849°,–104.880625°
CO,8033,Dolores,"2,064",+37.747602°,–108.530383°
CO,8035,Douglas,"285,465",+39.326435°,–104.926199°
CO,8037,Eagle,"52,197",+39.630638°,–106.692944°
CO,8039,Elbert,"23,086",+39.310817°,–104.117928°
CO,8041,El Paso,"622,263",+38.827383°,–104.527472°
CO,8043,Fremont,"46,824",+38.455658°,–105.421438°
CO,8045,Garfield,"56,389",+39.599352°,–107.909780°
CO,8047,Gilpin,"5,441",+39.861082°,–105.528947°
CO,8049,Grand,"14,843",+40.123289°,–106.095876°
CO,8051,Gunnison,"15,324",+38.669679°,–107.078108°
CO,8053,Hinsdale,843,+37.811625°,–107.383405°
CO,8055,Huerfano,"6,711",+37.687815°,–104.959928°
CO,8057,Jackson,"1,394",+40.663432°,–106.329248°
CO,8059,Jefferson,"534,543",+39.586460°,–105.245601°
CO,8061,Kiowa,"1,398",+38.388466°,–102.756210°
CO,8063,Kit Carson,"8,270",+39.305340°,–102.603023°
CO,8065,Lake,"7,310",+39.204316°,–106.349696°
CO,8067,La Plata,"51,334",+37.287367°,–107.839718°
CO,8069,Larimer,"299,630",+40.663091°,–105.482131°
CO,8071,Las Animas,"15,507",+37.318831°,–104.044110°
CO,8073,Lincoln,"5,467",+38.993740°,–103.507555°
CO,8075,Logan,"22,709",+40.728091°,–103.090464°
CO,8077,Mesa,"146,723",+39.019492°,–108.461837°
CO,8079,Mineral,712,+37.651478°,–106.932300°
CO,8081,Moffat,"13,795",+40.573984°,–108.204521°
CO,8083,Montezuma,"25,535",+37.338025°,–108.595786°
CO,8085,Montrose,"41,276",+38.413427°,–108.263042°
CO,8087,Morgan,"28,159",+40.262354°,–103.807092°
CO,8089,Otero,"18,831",+37.884170°,–103.721260°
CO,8091,Ouray,"4,436",+38.150600°,–107.767133°
CO,8093,Park,"16,206",+39.118914°,–105.717648°
CO,8095,Phillips,"4,442",+40.594712°,–102.345105°
CO,8097,Pitkin,"17,148",+39.217533°,–106.915943°
CO,8099,Prowers,"12,551",+37.958181°,–102.392161°
CO,8101,Pueblo,"159,063",+38.170658°,–104.489893°
CO,8103,Rio Blanco,"6,666",+39.972606°,–108.200685°
CO,8105,Rio Grande,"11,982",+37.485763°,–106.453214°
CO,8107,Routt,"23,509",+40.483160°,–106.985289°
CO,8109,Saguache,"6,108",+38.033952°,–106.246675°
CO,8111,San Juan,699,+37.781075°,–107.670257°
CO,8113,San Miguel,"7,359",+38.009374°,–108.427326°
CO,8115,Sedgwick,"2,379",+40.871568°,–102.355358°
CO,8117,Summit,"27,994",+39.621023°,–106.137555°
CO,8119,Teller,"23,350",+38.871994°,–105.182552°
CO,8121,Washington,"4,814",+39.965413°,–103.209605°
CO,8123,Weld,"252,825",+40.555794°,–104.383649°
CO,8125,Yuma,"10,043",+40.000631°,–102.422649°
CT,9001,Fairfield [6],"916,829",+41.228103°,–73.366757°
CT,9003,Hartford [6],"894,014",+41.806053°,–72.732916°
CT,9005,Litchfield [6],"189,927",+41.791897°,–73.235428°
CT,9007,Middlesex [6],"165,676",+41.434525°,–72.524227°
CT,9009,New Haven [6],"862,477",+41.349717°,–72.900204°
CT,9011,New London [6],"274,055",+41.478630°,–72.103452°
CT,9013,Tolland [6],"152,691",+41.858076°,–72.340977°
CT,9015,Windham [6],"118,428",+41.824999°,–71.990702°
DE,10001,Kent,"162,310",+39.097088°,–75.502982°
DE,10003,New Castle,"538,479",+39.575915°,–75.644132°
DE,10005,Sussex,"197,145",+38.677511°,–75.335495°
DC,11001,District of Columbia [7],"601,723",+38.904149°,–77.017094°
FL,12001,Alachua,"247,336",+29.675740°,–82.357221°
FL,12003,Baker,"27,115",+30.324442°,–82.302284°
FL,12005,Bay,"168,852",+30.237563°,–85.631348°
FL,12007,Bradford,"28,520",+29.946934°,–82.166796°
FL,12009,Brevard,"543,376",+28.298276°,–80.700384°
FL,12011,Broward,"1,748,066",+26.193520°,–80.476658°
FL,12013,Calhoun,"14,625",+30.388801°,–85.197916°
FL,12015,Charlotte,"159,978",+26.868826°,–81.940858°
FL,12017,Citrus,"141,236",+28.843628°,–82.524796°
FL,12019,Clay,"190,865",+29.987116°,–81.858147°
FL,12021,Collier,"321,520",+26.118713°,–81.400884°
FL,12023,Columbia,"67,531",+30.221305°,–82.623127°
FL,12027,DeSoto,"34,862",+27.190581°,–81.806253°
FL,12029,Dixie,"16,422",+29.580899°,–83.195666°
FL,12031,Duval,"864,263",+30.335245°,–81.648113°
FL,12033,Escambia,"297,619",+30.611664°,–87.339040°
FL,12035,Flagler,"95,696",+29.474894°,–81.286362°
FL,12037,Franklin,"11,549",+29.810176°,–84.799174°
FL,12039,Gadsden,"46,389",+30.579170°,–84.612783°
FL,12041,Gilchrist,"16,939",+29.723456°,–82.795801°
FL,12043,Glades,"12,884",+26.954810°,–81.190820°
FL,12045,Gulf,"15,863",+29.907257°,–85.256537°
FL,12047,Hamilton,"14,799",+30.491102°,–82.951049°
FL,12049,Hardee,"27,731",+27.492846°,–81.821580°
FL,12051,Hendry,"39,140",+26.539340°,–81.151584°
FL,12053,Hernando,"172,778",+28.567911°,–82.464835°
FL,12055,Highlands,"98,786",+27.342627°,–81.340921°
FL,12057,Hillsborough,"1,229,226",+27.906590°,–82.349568°
FL,12059,Holmes,"19,927",+30.866222°,–85.812959°
FL,12061,Indian River,"138,028",+27.700638°,–80.574803°
FL,12063,Jackson,"49,746",+30.787812°,–85.210374°
FL,12065,Jefferson,"14,761",+30.424558°,–83.890859°
FL,12067,Lafayette,"8,870",+29.990066°,–83.178510°
FL,12069,Lake,"297,052",+28.764113°,–81.712282°
FL,12071,Lee,"618,754",+26.552134°,–81.892250°
FL,12073,Leon,"275,487",+30.459310°,–84.277800°
FL,12075,Levy,"40,801",+29.284409°,–82.783483°
FL,12077,Liberty,"8,365",+30.259849°,–84.868581°
FL,12079,Madison,"19,224",+30.447228°,–83.470437°
FL,12081,Manatee,"322,833",+27.481386°,–82.365784°
FL,12083,Marion,"331,298",+29.202805°,–82.043100°
FL,12085,Martin,"146,318",+27.079954°,–80.398211°
FL,12086,Miami-Dade,"2,496,435",+25.610494°,–80.499045°
FL,12087,Monroe,"73,090",+25.601043°,–81.206777°
FL,12089,Nassau,"73,314",+30.605926°,–81.764929°
FL,12091,Okaloosa,"180,822",+30.665858°,–86.594194°
FL,12093,Okeechobee,"39,996",+27.385592°,–80.887388°
FL,12095,Orange,"1,145,956",+28.514435°,–81.323295°
FL,12097,Osceola,"268,685",+28.059027°,–81.139312°
FL,12099,Palm Beach,"1,320,134",+26.645763°,–80.448673°
FL,12101,Pasco,"464,697",+28.302024°,–82.455707°
FL,12103,Pinellas,"916,542",+27.903122°,–82.739518°
FL,12105,Polk,"602,095",+27.953115°,–81.692783°
FL,12107,Putnam,"74,364",+29.606006°,–81.740894°
FL,12109,St. Johns,"190,039",+29.890593°,–81.383914°
FL,12111,St. Lucie,"277,789",+27.380775°,–80.443364°
FL,12113,Santa Rosa,"151,372",+30.703633°,–87.014255°
FL,12115,Sarasota,"379,448",+27.184386°,–82.365835°
FL,12117,Seminole,"422,718",+28.690079°,–81.131980°
FL,12119,Sumter,"93,420",+28.714294°,–82.074715°
FL,12121,Suwannee,"41,551",+30.189244°,–82.992754°
FL,12123,Taylor,"22,570",+30.016943°,–83.616417°
FL,12125,Union,"15,535",+30.054280°,–82.366918°
FL,12127,Volusia,"494,593",+29.057617°,–81.161813°
FL,12129,Wakulla,"30,776",+30.140378°,–84.375136°
FL,12131,Walton,"55,043",+30.631211°,–86.176614°
FL,12133,Washington,"24,896",+30.602217°,–85.662797°
GA,13001,Appling,"18,236",+31.739712°,–82.290103°
GA,13003,Atkinson,"8,375",+31.300562°,–82.883614°
GA,13005,Bacon,"11,096",+31.563327°,–82.387859°
GA,13007,Baker,"3,451",+31.319622°,–84.454857°
GA,13009,Baldwin,"45,720",+33.059532°,–83.255362°
GA,13011,Banks,"18,395",+34.351922°,–83.498441°
GA,13013,Barrow,"69,367",+33.992009°,–83.712303°
GA,13015,Bartow,"100,157",+34.240918°,–84.838188°
GA,13017,Ben Hill,"17,634",+31.740776°,–83.147190°
GA,13019,Berrien,"19,286",+31.274308°,–83.231906°
GA,13021,Bibb,"155,547",+32.808844°,–83.694193°
GA,13023,Bleckley,"13,063",+32.435403°,–83.331717°
GA,13025,Brantley,"18,411",+31.197334°,–81.982978°
GA,13027,Brooks,"16,243",+30.833696°,–83.588971°
GA,13029,Bryan,"30,233",+32.017969°,–81.438543°
GA,13031,Bulloch,"70,217",+32.393408°,–81.743810°
GA,13033,Burke,"23,316",+33.063737°,–82.003890°
GA,13035,Butts,"23,655",+33.290355°,–83.958221°
GA,13037,Calhoun,"6,694",+31.521279°,–84.626290°
GA,13039,Camden,"50,513",+30.916358°,–81.636516°
GA,13043,Candler,"10,998",+32.403986°,–82.071446°
GA,13045,Carroll,"110,527",+33.582237°,–85.080527°
GA,13047,Catoosa,"63,942",+34.899393°,–85.137353°
GA,13049,Charlton,"12,171",+30.779904°,–82.139644°
GA,13051,Chatham,"265,128",+31.974756°,–81.091768°
GA,13053,Chattahoochee,"11,267",+32.347445°,–84.788021°
GA,13055,Chattooga,"26,015",+34.474179°,–85.345289°
GA,13057,Cherokee,"214,346",+34.244317°,–84.475057°
GA,13059,Clarke,"116,714",+33.952234°,–83.367130°
GA,13061,Clay,"3,183",+31.619831°,–84.992583°
GA,13063,Clayton,"259,424",+33.552242°,–84.412977°
GA,13065,Clinch,"6,798",+30.917653°,–82.702614°
GA,13067,Cobb,"688,078",+33.939940°,–84.574166°
GA,13069,Coffee,"42,356",+31.549245°,–82.844938°
GA,13071,Colquitt,"45,498",+31.189758°,–83.769741°
GA,13073,Columbia,"124,053",+33.550556°,–82.251342°
GA,13075,Cook,"17,212",+31.152935°,–83.429552°
GA,13077,Coweta,"127,317",+33.352897°,–84.762138°
GA,13079,Crawford,"12,630",+32.709446°,–83.979182°
GA,13081,Crisp,"23,439",+31.914753°,–83.753338°
GA,13083,Dade,"16,633",+34.852424°,–85.506201°
GA,13085,Dawson,"22,330",+34.442842°,–84.173284°
GA,13087,Decatur,"27,842",+30.877961°,–84.577744°
GA,13089,DeKalb,"691,893",+33.770661°,–84.226343°
GA,13091,Dodge,"21,796",+32.160656°,–83.156818°
GA,13093,Dooly,"14,918",+32.151995°,–83.807167°
GA,13095,Dougherty,"94,565",+31.535068°,–84.214444°
GA,13097,Douglas,"132,403",+33.699317°,–84.765944°
GA,13099,Early,"11,008",+31.324191°,–84.906723°
GA,13101,Echols,"4,034",+30.708500°,–82.836132°
GA,13103,Effingham,"52,250",+32.361711°,–81.343337°
GA,13105,Elbert,"20,166",+34.115017°,–82.842057°
GA,13107,Emanuel,"22,598",+32.591100°,–82.299763°
GA,13109,Evans,"11,000",+32.151902°,–81.887618°
GA,13111,Fannin,"23,682",+34.863837°,–84.319287°
GA,13113,Fayette,"106,567",+33.412717°,–84.493941°
GA,13115,Floyd,"96,317",+34.263677°,–85.213730°
GA,13117,Forsyth,"175,511",+34.225143°,–84.127336°
GA,13119,Franklin,"22,084",+34.375155°,–83.227291°
GA,13121,Fulton,"920,581",+33.790034°,–84.468182°
GA,13123,Gilmer,"28,292",+34.690541°,–84.453984°
GA,13125,Glascock,"3,082",+33.227491°,–82.606913°
GA,13127,Glynn,"79,626",+31.212747°,–81.496517°
GA,13129,Gordon,"55,186",+34.509667°,–84.873862°
GA,13131,Grady,"25,011",+30.875863°,–84.244772°
GA,13133,Greene,"15,994",+33.576836°,–83.167103°
GA,13135,Gwinnett,"805,321",+33.959101°,–84.022938°
GA,13137,Habersham,"43,041",+34.635108°,–83.526406°
GA,13139,Hall,"179,684",+34.317588°,–83.818497°
GA,13141,Hancock,"9,429",+33.269220°,–83.000465°
GA,13143,Haralson,"28,780",+33.795165°,–85.220062°
