State Facility Type 2 Literal,License Number,Facility Name,City,State,Zip Code,Phone Number,Capacity,Licensee,Date Accessed,State Facility Type 1 Literal,Address
SMALL GROUP,AS820339020,Real Place,Garden City,MI,48135,3139371664.0,6,REAL PLACE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,30141 ROSSLYN
SMALL GROUP,AS630391550,Brandon East,Brandon,MI,48462,8109641430.0,6,"FLATROCK MANOR, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,301 SLEEPY HOLLOW
MEDIUM GROUP,AM440388517,Elba North,Lapeer,MI,48446,8109694442.0,12,"FLATROCK MANOR, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,300 N. ELBA RD.
SMALL GROUP,AS250407223,Pierson,Flint,MI,48506,8109641430.0,6,"FLATROCK MANOR, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6376 E. PIERSON ROAD
SMALL GROUP,AS090314318,K & K Quality Care Ii,Midland,MI,48642,9898359412.0,6,K AND K QUALITY CARE INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,351 BAY MID LINE
FAMILY HOME,AF770076846,Barkers Country Living,Germfask,MI,49836,9065866219.0,6,BARKER MARCELLA,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"728 NEWBORN ROAD, RT 1 BOX 253"
SMALL GROUP,AS730076880,Magline Whitley Afc Home,Saginaw,MI,48607,9893271464.0,6,MAGLINE WHITLEY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,914 LAPEER AVENUE
SMALL GROUP,AS800242668,Beacon Home At Highland,Lawrence,MI,49064,2694278400.0,6,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,56838 48TH AVENUE
LARGE GROUP,AL110383074,Beacon Home At Beacon Springs West,Berrien Center,MI,49013,2698155170.0,20,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6418 DEANS HILL ROAD
SMALL GROUP,AS630393369,Beacon Home At Clarkston,Clarkston,MI,48348,2692144341.0,6,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10358 HORSESHOE CIRCLE
SMALL GROUP,AS440392507,Beacon Home At Lapeer,Lapeer,MI,48446,8106676167.0,6,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2368 GREENWOOD RD.
SMALL GROUP,AS500390453,Beacon Home At New Haven,Lenox Township,MI,48048,2694278400.0,6,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,36790 28 MILE ROAD
SMALL GROUP,AS140393268,Beacon Home At Red Mill,Dowagiac,MI,49047,2694278400.0,6,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,51721 RED MILL ROAD
SMALL GROUP,AS610392405,Beacon Home At Blue Lake,Twin Lake,MI,49457,2694278400.0,6,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6780 BLUE LAKE RD.
SMALL GROUP,AS230404895,Beacon Home At Arlene,Lansing,MI,48917,2694278400.0,6,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4219 ARLENE DRIVE
SMALL GROUP,AS380398559,Beacon Home At Martemucci,Brooklyn,MI,49230,5179388722.0,6,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11219 WAMPLERS LAKE ROAD
SMALL GROUP,AS800404242,Beacon Home At Hartford,Hartford,MI,49057,2694278400.0,6,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,68134 CR 372
MEDIUM GROUP,AM080405469,Beacon Home At Delton,Delton,MI,49046,2694278400.0,12,"BEACON SPECIALIZED LIVING SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,12764 M-43 HIGHWAY
MEDIUM GROUP,AM130280958,Stepping Stone Afc,Battle Creek,MI,49017,2699640490.0,10,"COOPER, DEBRA L",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,69 FREMONT STREET
SMALL GROUP,AS630243514,Truax Lake,Ortonville,MI,48462,5867815040.0,6,"FRIENDS AND FAMILY, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,255 S. HADLEY ROAD
SMALL GROUP,AS630313915,Granger Group Home,Oxford,MI,48371,2486280055.0,6,"FRIENDS AND FAMILY, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4575 GRANGER
LARGE GROUP,AL500380140,Woodward'S Assisted Living,Romeo,MI,48065,5862550451.0,20,"FRIENDS AND FAMILY, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,309 S. BAILEY
SMALL GROUP,AS500397959,Pine Valley Group Home,Armada,MI,48005,5867845374.0,4,"FRIENDS AND FAMILY, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,22205 32 MILE RD.
LARGE GROUP,AL630094857,Irvine Neuro Rehabilitation Center,Southfield,MI,48034,2484152500.0,18,IRVINE HEAD INJURY HOME INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,25700 LAHSER
SMALL GROUP,AS700382067,My Brother'S House I,Holland,MI,49423,6164946050.0,6,HOLLAND DEACONS CONFERENCE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,460 W. 29TH STREET
SMALL GROUP,AS820238698,Heavlin Home,Romulus,MI,48174,7349413932.0,6,"SPECIAL TREE RESIDENTIAL CENTERS, LTD",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,39010 CHASE ROAD
SMALL GROUP,AS740012984,Simpson House,Fort Gratiot,MI,48059,8102945303.0,6,IMPACT INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3240 SIMPSON RD
SMALL GROUP,AS740289969,Belle River Home,East China,MI,48054,8107653562.0,6,IMPACT INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2786 BELLE RIVER RD.
SMALL GROUP,AS740012988,Lincoln House,Port Huron,MI,48060,8109842707.0,6,INNOVATIVE HOUSING DEV CORP,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1104 LINCOLN
SMALL GROUP,AS820016275,Karen'S Helping Hands,Ecorse,MI,48229,3133882466.0,6,KAREN'S HELPING HANDS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4425 HIGH STREET
SMALL GROUP,AS050071211,North Limits,Mancelona,MI,49659,2315878688.0,6,CRISIS CENTER INC - DBA LISTENING EAR,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1179 NORTH LIMITS
SMALL GROUP,AS370011270,Isabella Home,Mount Pleasant,MI,48858,9897730326.0,6,CRISIS CENTER INC - DBA LISTENING EAR,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2599 S ISABELLA ROAD
SMALL GROUP,AS370069126,Pelchers I,Mt Pleasant,MI,48858,9894335446.0,4,PELCHER AFC HOME INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4480 N SHEPHERD RD
MEDIUM GROUP,AM830092406,Pointe East,Cadillac,MI,49601,2318760847.0,10,CHERYL ANNE CLARK,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6451 SHERWOOD LANE
SMALL GROUP,AS610089223,Mary'S House,Muskegon,MI,494414631,2317809144.0,6,COVENANT ENABLING RES OF MI INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,862 FOREST PARK ROAD
SMALL GROUP,AS610089224,Joseph'S House,Muskegon,MI,494414631,2317809084.0,6,COVENANT ENABLING RES OF MI INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,866 FOREST PARK ROAD
SMALL GROUP,AS410339288,Hope House,Grand Rapids,MI,49504,6163509389.0,6,COVENANT ENABLING RES OF MI INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,336 THORNRIDGE DR. NW
SMALL GROUP,AS410390489,Indigo,Kentwood,MI,49548,6162792154.0,6,HOPE NETWORK WEST MICHIGAN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1441 52ND ST. SE
SMALL GROUP,AS820395644,Stonewall,Livonia,MI,48152,2483387458.0,6,"HOPE NETWORK, S.E.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17230 FAIRFIELD
SMALL GROUP,AS820395610,Cambridge,Dearborn Heights,MI,48127,2483387459.0,6,"HOPE NETWORK, S.E.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1648 INKSTER
SMALL GROUP,AS500084076,Ledgestone,Clinton Township,MI,48035,5867900898.0,6,"HOPE NETWORK, S.E.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,36282 EGAN
SMALL GROUP,AS820395553,Kingswood Home,Dearborn Heights,MI,48127,3136339662.0,6,"HOPE NETWORK, S.E.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,659 BEECH DALY
