State Facility Type 2 Literal,License Number,Facility Name,Address 2,Address 1,City,State,Zip Code,Phone Number,Capacity,Licensee
AL,AL410280502,Villa East Group Home,"3000 Porter Street, SW",,Grandville,MI,494181173,6164060853,16,Thresholds
AL,AL410083023,Sojourners Transitional Living,1490 E Beltline Avenue SE,,Grand Rapids,MI,495064336,6169400040,20,Hope Network Rehabilitation Serv
AS,AS410254891,HNRS Ada House,"940 Clifford Avenue, SE",,Grand Rapids,MI,495462360,6169400040,6,Hope Network Rehabilitation Serv
AS,AS390295914,HNRS - Southwood House,925 Parker Ave.,,Kalamazoo,MI,49008,2694927842,6,Hope Network Rehabilitation Serv
AS,AS410352086,HNRS Maryland House,891 Maryland,,Grand Rapids,MI,49505,6166449467,6,Hope Network Rehabilitation Serv
AS,AS410389238,HNRS Forest Glen III,4220 Burton St. SE,,Grand Rapids,MI,49546,6169400040,6,Hope Network Rehabilitation Serv
AS,AS120383698,Hope Network - Lakewood,265 N. Michigan Avenue,,Coldwater,MI,49036,5172785933,6,Hope Network Rehabilitation Serv
AS,AS480082012,Hamilton,14180 South Cooper,,Newberry,MI,49868,9062933280,6,"Adult Learning Systems - UP, Inc"
AS,AS520300046,ALS Wright,1803 Wright St.,,Marquette,MI,49855,9062731212,6,"Adult Learning Systems - UP, Inc"
AF,AF630079558,Hill Top House,420 Hill Top,,White Lake,MI,48386,2482524344,3,Charmaine Wichmann
AF,AF430091452,Hendrick AFC,10121 S. Saddler Road,,Reed City,MI,49677,2318321330,6,Brenda L Hendrick
AS,AS730364361,Sandra Court,45 Sandra Court,,Saginaw,MI,48602,9897939125,6,"Beacon Harbor Homes, Inc."
AS,AS730249985,Shattuck Rd Home,2585 Shattuck,,Saginaw,MI,48603,9894979847,6,"Beacon Harbor Homes, Inc."
AS,AS730077429,Hunter AFC,2312 Owen,,Saginaw,MI,48601,9897555079,5,Mary Hunter
AL,AL110077442,Caretel Inns Of Royalton  - Dover,3905 Lorraine Path,,Saint Joseph,MI,49085,2483309598,20,Cliffside Company
AM,AM130077460,Harvard House,26 Harvard Street,,Battle Creek,MI,49017,2699643134,12,Choice Care III Inc
AF,AF380077498,Garden Estates,3140 Shirley Drive,,Jackson,MI,49201,5178411750,6,Laury Lynn Grider
AL,AL580382350,Alice Lorraine Care Center - 2,2590 N. Monroe Street,,Monroe,MI,48162,7342434000,18,A.L.C.C. Inc.
AS,AS820071227,Willow Cove Home,23610 Willow Cove,,Allen Park,MI,48101,3133590778,6,Creative Images Inc
AS,AS820065005,Bellcreek,15557 Inkster Road,,Livonia,MI,48154,7342664048,6,Creative Images Inc
AS,AS820071446,Pams Norwood,19272 Norwood,,Detroit,MI,48234,3136050641,6,Pams Norwood Care
AS,AS820064382,Mary Street Home,35630 Mary,,Romulus,MI,48174,7347291270,6,"Joak American Homes, Inc."
AS,AS810401660,Country Lane,5623 Thomas Rd,,Ann Arbor,MI,48108,7349750385,6,"Joak American Homes, Inc."
AF,AF690310401,Tobias AFC,586 Hayes Tower Road,,Gaylord,MI,49735,9897324379,6,Patricia Tobias
AS,AS330092644,Cedar Cottage,621 E. Jolly Road,,Lansing,MI,48910,5173935203,6,"Turning Leaf Res Rehab Svcs., Inc."
AL,AL390392504,Birch Cottage II,13326 N. Boulevard St.,,Vicksburg,MI,49097,2695858762,20,"Turning Leaf Res Rehab Svcs., Inc."
AS,AS700317947,Blue Spruce Cottage,5418 120th Ave.,,Holland,MI,49424,6164666885,6,"Turning Leaf Res Rehab Svcs., Inc."
AM,AM530087768,Grancare,2110 East US-10,,Custer,MI,49405,2317570042,12,Grancare Of Custer
AS,AS630086106,L & W Adult Foster Care Home,23845 Lee Baker,,Southfield,MI,48075,2483552294,6,Julie Wiley
AS,AS090254908,Wilson House,500 Wilson Street,,Bay City,MI,48708,9898948592,6,Liberty Living Inc.
AS,AS150383742,Bedford North,00095 Addis Road,,Boyne City,MI,49712,2314594051,4,Bedford Specialized Care Inc.
AF,AF140067706,Millers Assisted Living,25073 Marcellus Hwy,,Dowagiac,MI,49047,2697826826,6,Paul E. Miller and Sheila  Miller
AS,AS630285885,Echols Support Services #1,25971 W. Ten Mile Road,,Southfield,MI,48034,2482455252,6,"Echols, Richard & Miller-Echols, Tahatia"
AS,AS820339020,Real Place,30141 Rosslyn,,Garden City,MI,48135,3139371664,6,Real Place Inc.
AS,AS630391550,Brandon East,301 Sleepy Hollow,,Brandon,MI,48462,8109641430,6,"Flatrock Manor, Inc."
AM,AM440388517,Elba North,300 N. Elba Rd.,,Lapeer,MI,48446,8109694442,12,"Flatrock Manor, Inc."
AS,AS250407223,Pierson,6376 E. Pierson Road,,Flint,MI,48506,8109641430,6,"Flatrock Manor, Inc."
AS,AS090314318,K & K Quality Care II,351 Bay Mid Line,,Midland,MI,48642,9898359412,6,K And K Quality Care Inc
AF,AF770076846,Barkers Country Living,Rt 1 Box 253,728 Newborn Road,Germfask,MI,49836,9065866219,6,Barker Marcella
AS,AS730076880,Magline Whitley Afc Home,914 Lapeer Avenue,,Saginaw,MI,48607,9893271464,6,Magline Whitley
AS,AS800242668,Beacon Home at Highland,56838 48th Avenue,,Lawrence,MI,49064,2694278400,6,"Beacon Specialized Living Services, Inc."
AL,AL110383074,Beacon Home at Beacon Springs West,6418 Deans Hill Road,,Berrien Center,MI,49013,2698155170,20,"Beacon Specialized Living Services, Inc."
AS,AS630393369,Beacon Home at Clarkston,10358 Horseshoe Circle,,Clarkston,MI,48348,2692144341,6,"Beacon Specialized Living Services, Inc."
AS,AS440392507,Beacon Home At Lapeer,2368 Greenwood Rd.,,Lapeer,MI,48446,8106676167,6,"Beacon Specialized Living Services, Inc."
AS,AS500390453,Beacon Home At New Haven,36790 28 Mile Road,,Lenox Township,MI,48048,2694278400,6,"Beacon Specialized Living Services, Inc."
AS,AS140393268,Beacon Home At Red Mill,51721 Red Mill Road,,Dowagiac,MI,49047,2694278400,6,"Beacon Specialized Living Services, Inc."
AS,AS610392405,Beacon Home At Blue Lake,6780 Blue Lake Rd.,,Twin Lake,MI,49457,2694278400,6,"Beacon Specialized Living Services, Inc."
AS,AS230404895,Beacon Home at Arlene,4219 Arlene Drive,,Lansing,MI,48917,2694278400,6,"Beacon Specialized Living Services, Inc."
AS,AS380398559,Beacon Home at Martemucci,11219 Wamplers Lake Road,,Brooklyn,MI,49230,5179388722,6,"Beacon Specialized Living Services, Inc."
AS,AS800404242,Beacon Home at Hartford,68134 CR 372,,Hartford,MI,49057,2694278400,6,"Beacon Specialized Living Services, Inc."
AM,AM080405469,Beacon Home at Delton,12764 M-43 Highway,,Delton,MI,49046,2694278400,12,"Beacon Specialized Living Services, Inc."
AM,AM130280958,Stepping Stone AFC,69 Fremont Street,,Battle Creek,MI,49017,2699640490,10,"Cooper, Debra L"
AS,AS630243514,Truax Lake,255 S. Hadley Road,,Ortonville,MI,48462,5867815040,6,"Friends and Family, Inc."
AS,AS630313915,Granger Group Home,4575 Granger,,Oxford,MI,48371,2486280055,6,"Friends and Family, Inc."
AL,AL500380140,Woodward's Assisted Living,309 S. Bailey,,Romeo,MI,48065,5862550451,20,"Friends and Family, Inc."
AS,AS500397959,Pine Valley Group Home,22205 32 mile rd.,,Armada,MI,48005,5867845374,4,"Friends and Family, Inc."
AL,AL630094857,Irvine Neuro Rehabilitation Center,25700 Lahser,,Southfield,MI,48034,2484152500,18,Irvine Head Injury Home Inc
AS,AS700382067,My Brother's House I,460 W. 29th Street,,Holland,MI,49423,6164946050,6,Holland Deacons Conference
AS,AS820238698,Heavlin Home,39010 Chase Road,,Romulus,MI,48174,7349413932,6,"Special Tree Residential Centers, LTD"
AS,AS740012984,Simpson House,3240 Simpson Rd,,Fort Gratiot,MI,48059,8102945303,6,Impact Inc.
AS,AS740289969,Belle River Home,2786 Belle River Rd.,,East China,MI,48054,8107653562,6,Impact Inc.
AS,AS740012988,Lincoln House,1104 Lincoln,,Port Huron,MI,48060,8109842707,6,Innovative Housing Dev Corp
AS,AS820016275,Karen's Helping Hands,4425 High Street,,Ecorse,MI,48229,3133882466,6,Karen's Helping Hands
AS,AS050071211,North Limits,1179 North Limits,,Mancelona,MI,49659,2315878688,6,Crisis Center Inc - DBA Listening Ear
AS,AS370011270,Isabella Home,2599 S Isabella Road,,Mount Pleasant,MI,48858,9897730326,6,Crisis Center Inc - DBA Listening Ear
AS,AS370069126,Pelchers I,4480 N Shepherd Rd,,Mt Pleasant,MI,48858,9894335446,4,Pelcher AFC Home Inc
AM,AM830092406,Pointe East,6451 Sherwood Lane,,Cadillac,MI,49601,2318760847,10,Cheryl Anne Clark
AS,AS610089223,Mary's House,862 Forest Park Road,,Muskegon,MI,494414631,2317809144,6,Covenant Enabling Res of MI Inc.
AS,AS610089224,Joseph's House,866 Forest Park Road,,Muskegon,MI,494414631,2317809084,6,Covenant Enabling Res of MI Inc.
AS,AS410339288,Hope House,336 Thornridge Dr. NW,,Grand Rapids,MI,49504,6163509389,6,Covenant Enabling Res of MI Inc.
AS,AS410390489,Indigo,1441 52nd St. SE,,Kentwood,MI,49548,6162792154,6,Hope Network West Michigan
AS,AS820395644,Stonewall,17230 Fairfield,,Livonia,MI,48152,2483387458,6,"Hope Network, S.E."
AS,AS820395610,Cambridge,1648 Inkster,,Dearborn Heights,MI,48127,2483387459,6,"Hope Network, S.E."
AS,AS500084076,Ledgestone,36282 Egan,,Clinton Township,MI,48035,5867900898,6,"Hope Network, S.E."
AS,AS820395553,Kingswood Home,659 Beech Daly,,Dearborn Heights,MI,48127,3136339662,6,"Hope Network, S.E."
AS,AS820081359,L and V'S Adult Foster Home,22116 W. Six Mile,,Detroit,MI,48219,3135331355,4,Scruggs Yvette
AM,AM110091925,Eau Claire Residence,2860 M-140,,Eau Claire,MI,49111,2699441927,12,Spectrum Community Services
AS,AS810013390,Bateson Residence,2832 Bateson Court,,Ann Arbor,MI,48105,7343324148,6,Spectrum Community Services
AS,AS410068899,10 Mile Home,179 West Division,,Rockford,MI,49341,6168664981,6,Spectrum Community Services
AS,AS410300112,Algoma Home,2690 Wiersma,,Cedar Springs,MI,49319,6166963035,6,Spectrum Community Services
AS,AS410316524,Kingdom Home AFC,2975 52nd Street SE,,Kentwood,MI,49512,6165542226,6,Spectrum Community Services
AS,AS410356636,Terrace Park Home,5901 Terrace Park Dr. NE,,Rockford,MI,49341,6168845788,6,Spectrum Community Services
AS,AS410360517,Parkview Home,2165 Bayham Dr. SE,,Kentwood,MI,49508,6165513129,6,Spectrum Community Services
AS,AS410357191,Clyde Park Home,8510 Clyde Park Ave. SW,,Byron Center,MI,49315,6162771955,6,Spectrum Community Services
AS,AS630397225,Sunningdale Home,6488 Sunningdale Drive,,Bloomfield Hills,MI,48301,2488555137,6,Spectrum Community Services
AS,AS690402535,Dakota,784 Dakota Ave,,Gaylord,MI,49735,9894482716,5,Spectrum Community Services
AL,AL610091430,The Agape Home,4445 S. Brooks Road,,Muskegon,MI,494449722,2317730328,20,The Agape Home Inc
AS,AS820087908,Springhill AFC,3826 Springhill,,Inkster,MI,48141,7346417830,5,2 Foot Prints Inc
AS,AS760013130,Parkview House,7175 Cade Road,,Brown City,MI,48416,8103463525,6,Harrington House Inc
AS,AS630012587,Pelton House,5260 Pelton Road,,Clarkston,MI,48346,2486237200,6,North-Oakland Residential Services Inc
AS,AS630339744,Edgar Home,8740 Andersonville Road,,Clarkston,MI,48347,2486254273,6,North-Oakland Residential Services Inc
AS,AS630402011,Dunwoodie,1781 Dunwoodie,,Ortonville,MI,48462,2487933066,6,North-Oakland Residential Services Inc
AS,AS820315246,The Patrick Center,17133 Mendota,,Detroit,MI,48221,3132838494,5,Patrick Karl
AS,AS820077107,Mill Creek Home,27312 Mill Creek,,Brownstown,MI,48183,7346755120,4,"Samaritan Homes, Inc."
AS,AS820068075,Vreeland Home,17090 Ray,,Riverview,MI,48194,7342820230,5,"Samaritan Homes, Inc."
AS,AS820068138,Northrop Loving Care,17777 Northrop,,Detroit,MI,48219,3135378316,6,Northrop Loving Care Inc
AM,AM150086769,Payton's AFC Home,05520 Kuzmick Road,,Elmira,MI,49730,2315492790,12,Payton's AFC Home Inc
AL,AL630086778,Lakeside Manor Inc,8790 Arlington,,White Lake,MI,48386,2486669010,20,Lakeside Manor Inc
AF,AF810085724,Barton Manor,821 Barton Drive,,Ann Arbor,MI,48105,7346627798,6,Carolyn Brownell
AL,AL820294548,Crystal Creek Assisted Living 3,8011 Lilley,,Canton,MI,48187,7344533203,20,Crystal Creek Assisted Lvng Inc
AL,AL110006891,Forest Beach Home Inc,8021 Forest Beach Road,,Watervliet,MI,49098,2694638378,20,Forest Beach Home Inc
AS,AS630305365,Charlotte's Care III,17373 Roxbury Ave.,,Southfield,MI,48075,2485578106,6,Charlottes Care Inc
AS,AS820014661,Nuttall AFC Home II,18815 Van Dyke,,Detroit,MI,48234,3133665970,6,Nuttall AFC Co
AL,AL500067919,Moore AFC Home,PO BOX 480462,58730 Haven Ridge,New Haven,MI,48048,5867498574,20,D Moore AFC Home Company
AS,AS480339035,North Haven AFC,13505 State Hwy M-28,,Newberry,MI,49868,9032935052,6,"North Haven AFC, Inc."
AF,AF700082027,Cameo House,356 West Cleveland,,Coopersville,MI,49404,6168371106,6,Marlene Arthur
AM,AM730080478,Hayden Street AFC,415 Hayden Street,,Saginaw,MI,48607,9897545724,12,Hayden Street AFC Inc.
AF,AF750005795,Parmeter AFC Home,52410 Lewis Lake Rd,,Marcellus,MI,49067,2696469251,6,Parmeter Janice
AL,AL820007493,Lewis Manor Central,639 Hazelwood,,Detroit,MI,48202,3132685204,14,Lewis Manor Homes Ltd.
AL,AL820007519,Hancock Residential Center,801 W Willis,,Detroit,MI,48201,3138318641,16,Hancock Residential Center Inc
AL,AL820007537,Eubanks Community Living,93 Adelaide,,Detroit,MI,48202,3138339141,17,Dual Insight Npc
AH,AH700236945,Sheldon Meadows Assisted Living Center,4482 Port Sheldon,,Hudsonville,MI,49426,6166628191,129,Sheldon Meadows Living Ctr. LLC
AL,AL820007574,Plymouth Opportunity House,593 Deer,,Plymouth,MI,48170,7344552669,16,Community Opportunity Center NPHC
AS,AS820014308,Bibbins Residence,35810 Bibbins,,Romulus,MI,48174,7349416506,6,"Advance Care, Incorporated"
AS,AS820015031,Rose Care,12041 Rosemary,,Detroit,MI,48213,3135266124,6,"Advance Care, Incorporated"
AS,AS630092107,Clark Pine,5264 Sunnyside Drive,,Clarkston,MI,48346,2486730671,6,Synod Residential Services
AM,AM630009282,Lee Home Milford,215 E. Commerce,,Milford,MI,48381,2486852052,8,Lee Homes Inc
AS,AS540074861,Pineport Home,915 North DeKraft,,Big Rapids,MI,49307,2317963993,6,Valley Residential Serv Inc.
AS,AS230068520,Greenfield Home,12450 Greenfield,,Lansing,MI,48917,5176278238,6,Valley Residential Serv Inc.
AS,AS060275479,Elm Home,141 Almont Street,,Standish,MI,48658,9898469700,6,Valley Residential Serv Inc.
AS,AS250010703,Berneda Home,5142 Berneda Drive,,Flint,MI,48506,8107365841,6,"Michigan Community Services, Inc."
AS,AS110010325,Summit Home,444 Summit St,,Watervliet,MI,49098,2694633096,6,"LADD, Inc."
AS,AS130010454,Beachfield AIS/MR,118 Beachfield Drive,,Battle Creek,MI,49015,2486417200,6,Progressive Residential Services Inc
AS,AS130010448,Boyer Home,35 Boyer Dr,,Battle Creek,MI,49017,2699627640,6,Progressive Residential Services Inc
AF,AF810071359,Kisselburg Home,874 Auburndale,,Ypsilanti,MI,48198,7344854388,3,Debra Kisselburg
AM,AM310008376,Oak House,19631 Sampson,,Hancock,MI,49930,9064824231,12,Oak House Inc
AM,AM310008381,Portage House,1400 Ravine Side Dr,,Houghton,MI,49931,9064871746,8,Copper Country Community Mental Health Srvs Bd
AS,AS440265050,Lake Nepessing,1430 Lake Nepessing,,Lapeer,MI,48446,7344538804,6,Alternative Services Inc.
AS,AS630305248,Kingsley Trail,637 Kingsley Trail,,Bloomfield Hills,MI,48304,2485939297,6,Alternative Services Inc.
AS,AS780376323,Middleton Home,835 Middleton Road,,Owosso,MI,48867,2484714880,6,Alternative Services Inc.
AL,AL740007431,Lakeshore Woods II,4851 Lakeshore Blg B,,Fort Gratiot,MI,48059,8103853185,20,Lakeshore Caring Corp.
AS,AS250010981,Parkside FAIS,8358 Neff Rd,,Mt Morris,MI,48458,8106877751,6,"Central State Community Services, Inc."
AS,AS250010982,Warner House,2473 Warner Rd,,Flushing,MI,48433,8107332780,6,"Central State Community Services, Inc."
AM,AM190077476,Coleman House,3255 E Coleman Road,,East Lansing,MI,48823,5173241999,12,"Central State Community Services, Inc."
AS,AS730298050,Geddes Home,7741 Geddes Road,,Saginaw,MI,48609,9897813419,6,"Central State Community Services, Inc."
AM,AM320379300,Genesis CLF,4440 Washington,,Ubly,MI,48475,9896588721,7,"Central State Community Services, Inc."
AS,AS760405297,Custer Street,283 Custer Street,,Sandusky,MI,48471,8105375033,6,"Central State Community Services, Inc."
AS,AS630012622,Kern Group Home,3535 Kern Road,,Oakland Township,MI,48363,2483771940,6,Macomb Residential Opportunities Inc.
AS,AS500265416,James Street Group Home,38421 James Street,,Clinton Township,MI,48036,5864659644,6,Macomb Residential Opportunities Inc.
AS,AS630300495,Lange CLF,330 Lange,,Troy,MI,48098,2485240148,6,Macomb Residential Opportunities Inc.
AS,AS500396956,Indian Hills,22333 Hall Road,,Macomb Township,MI,48042,5864211949,6,Macomb Residential Opportunities Inc.
AS,AS230075992,Golden Days II,1493 N Cochran,,Charlotte,MI,48813,5175439626,6,Shumaker Alan F and Carolyn S.
AM,AM730259475,Schiavone AFC VII,1019 N Michigan,,Saginaw,MI,48602,9897539188,12,Schiavone Enterprises Ltd
AS,AS400066153,Arborlight,403 Arbor Street,,Kalkaska,MI,49646,2312581133,6,"Summertree Residential Centers, Inc."
AM,AM160008033,Carpenters AFC Home,2801 Orchard Beach R,,Cheboygan,MI,49721,2316259645,12,Carpenters AFC Inc
AM,AM190008072,Roger G Smith Home,15817 N Turner,,Lansing,MI,48906,5173468266,8,CMHB Of CEI Counties
AM,AM230249434,Arch Road Home,1081 Arch Road,,Eaton Rapids,MI,48827,5176632401,12,CMHB Of CEI Counties
AS,AS630075843,Oakland Home,231 S Adams,,Rochester Hills,MI,48309,2483758039,4,Advanced Teaching Concepts Inc
AS,AS630078390,Berg Home,24430 Berg,,Southfield,MI,48034,2483049461,6,Mecca House
AS,AS630384567,Hollow Lake Home,10658 Big Lake Road,,Davisburg,MI,48350,3138727826,6,Packard Group Inc
AS,AS630392913,Llewelyn,41386 Llewelyn,,Northville,MI,48167,7345961772,6,"Quest, Inc"
AS,AS820014227,Notre Dame Group Home,25530 Notre Dame,,Dearborn Heights,MI,48127,3137912482,6,"Quest, Inc"
AS,AS630081727,June Home,3103 Crooks,,Rochester Hills,MI,48309,2482991713,3,Homes of Opportunity Inc
AS,AS820014663,Jackson AFC Home,14434 Jackson,,Taylor,MI,48180,7342816452,4,Homes of Opportunity Inc
AS,AS630390326,Walbridge Home,2650 Walbridge Rd.,,Rochester Hills,MI,48307,5867792482,6,Homes of Opportunity Inc
AS,AS500392831,Chapman,40290 Ryan,,Sterling Heights,MI,48310,5867319800,6,"Integrated Living, Inc."
AS,AS820014113,Larkspur Home,10426 Larkspur,,Grosse Ile,MI,48138,7346921491,6,Everest Inc.
AL,AL410007174,Byron Center Manor II,2115 - 84th Street  SW,,Byron Center,MI,49315,6168783300,20,Byron Center Manor Inc
AL,AL390007095,Park Place Living Centre #D,4222 S Westnedge,,Kalamazoo,MI,49008,2693887303,20,Pleasant Homes I L.L.C.
AS,AS630067505,Lochaven CLF,556 Lochaven,,Waterford,MI,48327,2488209274,5,Progressive Lifestyles Inc
AS,AS630078578,Predmore CLF,790 Kline Rd.,,Oakland,MI,48363,2488149016,6,Progressive Lifestyles Inc
AS,AS630012331,Leonard Home,127 Franklin Boulevard,,Pontiac,MI,48341,2483357198,6,Phoenix Residential Services Inc
AS,AS630012681,McGinnis,4473 McGinnis,,Holly,MI,484420204,2486341499,5,New Life Services Inc
AS,AS630067414,Glenridge Court,24031 Glen Ridge Court,,Novi,MI,48375,2484717947,6,Medical Alternatives Inc
AS,AS630012747,South Boulevard Group Home,706 South Blvd,,Troy,MI,48098,2488282919,6,"Elite Alternatives, Inc."
AS,AS820014570,Monterey House,22942 Monterey,,Woodhaven,MI,48183,7346924324,6,AHS Community Services Inc
AM,AM440290998,Brookhaven A.F.C.,4521 Stanley Rd,,Columbiaville,MI,484218421,8107937060,11,Redwood Inc
AM,AM630009304,Sunshine Acres AFC Home,8930 M 15,,Clarkston,MI,48348,2486252533,9,Gaines Janet Elaine
AM,AM670009368,Beemer Evart Townhouse,406 W. Fifth Street,,Evart,MI,49631,2317343810,12,AFC Homes Corp
AS,AS670012829,Hopkins 7 Mile AFC,10282 7 Mile Road,,Evart,MI,49631,2317343035,6,Robert and Laura Hopkins
AS,AS610012191,Slocum Street Home,817 Slocum Street,,Whitehall,MI,49461,2318945794,6,MOKA Non-Profit Services Corp
AF,AF700005230,Shel & Mar AFC Home,15881 32nd Avenue,,Coopersville,MI,49404,6164502283,6,Rawlings Rochelle Marie
AF,AF350002673,Krasinskis AFC,550 Fifth Avenue,,Tawas City,MI,48763,9893624549,6,Christina L Krasinski
AL,AL810086003,Eisenhower Center  - East Hall,3200 Eisenhower Parkway,,Ann Arbor,MI,48108,7346770070,16,Moriah Incorporated
AM,AM810015275,Eisenhower Center  - Congregate,3200 E Eisenhower,,Ann Arbor,MI,48108,7346770070,12,Moriah Incorporated
AL,AL440063943,Bolton Brook Manor,4554 Thomas Rd,,Metamora,MI,48455,8106782087,20,Bolton Brook Manor Inc
AS,AS040313092,Walnut Home,638 Walnut Street,,Alpena,MI,49707,9893561700,6,Northeast Michigan CMH Authority
AL,AL780080709,Olive Branch II,Bldg 2,521 E. First St.,Perry,MI,48872,5176255650,20,Olive Branch Senior Assisted Living LLC
