Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Ownership Type,State Facility Type 2 Literal,State Facility Type 1 Literal
1253,BETHESDA LUTHERAN COMM COT 6,2493 109TH AVENUE NW,COON RAPIDS,MN,55433,ANOKA,952-443-2756,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1507,BILL KELLY HOUSE,3104 EAST 58TH STREET,MINNEAPOLIS,MN,55417,HENNEPIN,612-726-1502,CORPORATION,,Supervised Living Facility
27145,BRENTWOOD HOME,1012 ESTHER LANE,MARSHALL,MN,56285,LYON,507-532-4380,NONPROFIT CORPORATION,,Supervised Living Facility
25468,BRIDGE RECOVERY LLC,1485 10TH AVENUE NE,SAUK RAPIDS,MN,56379,BENTON,320-406-1850,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1641,BROWN COUNTY EVAL CENTER INC,510 NORTH FRONT STREET,NEW ULM,MN,56073,BROWN,507-359-9111,NONPROFIT CORPORATION,,Supervised Living Facility
1278,C C S INC RIDGEWOOD,1381 KNOLLWOOD DRIVE,WORTHINGTON,MN,56187,NOBLES,507-376-6095,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1141,CAMILIA ROSE GROUP HOME,11820 XEON BOULEVARD,COON RAPIDS,MN,55448,ANOKA,763-754-2505,LIMITED LIABILITY COMPANY,Intermediate Care Facility,Supervised Living Facility
34188,CARE FERGUS FALLS,1010 MARYLAND LANE,FERGUS FALLS,MN,56537,OTTER TAIL,218-736-1821,STATE,,Supervised Living Facility
1503,CARECO APARTMENTS INC,6115 CARMEN AVENUE EAST,INVER GROVE HEIGHTS,MN,55076,DAKOTA,651-451-1756,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1508,CARLSON DRAKE HOUSE,5414 WEST OLD SHAKOPEE CIRCLE,BLOOMINGTON,MN,55437,HENNEPIN,952-888-5611,CORPORATION,,Supervised Living Facility
1660,CEDAR RIDGE,11400 JULIANNE AVENUE NORTH,STILLWATER,MN,55082,WASHINGTON,651-426-3300,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1666,CLAY COUNTY RECEIVING CENTER,715 11TH STREET NORTH #203,MOORHEAD,MN,56560,CLAY,218-299-5220,COUNTY,,Supervised Living Facility
1406,COCHRAN RECOVERY SERVICES INC,1294 EAST 18TH STREET BLDG 1,HASTINGS,MN,55033,DAKOTA,651-437-4209,NONPROFIT CORPORATION,,Supervised Living Facility
24618,COMM ADDICTION RECOVERY ENTERP,2000 KLEIN STREET,ST. PETER,MN,56082,NICOLLET,507-933-5191,STATE,,Supervised Living Facility
1045,COMM OPTIONS AND RESOURCES I,330 1/2 FOX LAKE AVENUE,SHERBURN,MN,56171,MARTIN,507-764-4612,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
33014,COMMON GRND RECOVERY HSG INC,730 WEST BROADWAY,WINONA,MN,55987,WINONA,507-615-0101,CORPORATION,,Supervised Living Facility
21547,COMMUNITY ADDICTION RECOVERY,810 3RD STREET #102,CARLTON,MN,55718,CARLTON,218-384-7003,STATE,,Supervised Living Facility
26528,COMMUNITY ADDICTION WILLMAR,1801 TECHNOLOGY DRIVE NE,WILLMAR,MN,56201,KANDIYOHI,320-979-5104,STATE,,Supervised Living Facility
1638,CTRL MN RECEIVING AND REFERRAL,1321 NORTH 13TH STREET N,ST. CLOUD,MN,56303,STEARNS,320-252-6654,NONPROFIT CORPORATION,,Supervised Living Facility
1590,DAWSON ICF MR,2974 192ND STREET,DAWSON,MN,56232,LAC QUI PARLE,320-769-4444,CORPORATION,Intermediate Care Facility,Supervised Living Facility
20624,DONOVAN FRANK DETOX CENTER,626 13TH STREET SOUTH,VIRGINIA,MN,55792,SAINT LOUIS,218-741-9120,NONPROFIT CORPORATION,,Supervised Living Facility
1610,DRCC AURORA,417 SOUTH MAIN STREET,AURORA,MN,55705,SAINT LOUIS,218-229-3369,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1182,DUNGARVIN BALBRIGGEN,1270 EAST LARPENTEUR AVENUE,ST. PAUL,MN,55109,RAMSEY,651-699-6050,LIMITED LIABILITY COMPANY,,Supervised Living Facility
24104,DUNGARVIN CAMARA,3989 VIRGINIA CIRCLE,SHOREVIEW,MN,55126,RAMSEY,651-699-6050,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1211,DUNGARVIN CHAI,1210 OAKVIEW LANE NORTH,PLYMOUTH,MN,55441,HENNEPIN,651-699-6050,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1368,DUNGARVIN TIKVAH,1778 ROME AVENUE,ST PAUL,MN,55116,RAMSEY,651-699-6050,LIMITED LIABILITY COMPANY,,Supervised Living Facility
245,DUNGARVIN YOUGAL,10203 94TH AVENUE,MAPLE GROVE,MN,55369,HENNEPIN,651-699-6050,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1544,E B I INCORPORATED,625 NORTH 56 AVENUE WEST,DULUTH,MN,55807,SAINT LOUIS,218-624-3122,CORPORATION,,Supervised Living Facility
1584,EDEN RESIDENTIAL PROGRAM,1025 PORTLAND AVENUE SOUTH,MINNEAPOLIS,MN,55404,HENNEPIN,612-338-0723,NONPROFIT CORPORATION,,Supervised Living Facility
1178,FOCUS XII HALFWAY HOUSE,3220 8TH STREET NORTH,ST. CLOUD,MN,56303,STEARNS,320-252-2425,NONPROFIT CORPORATION,,Supervised Living Facility
32670,FORENSIC MENTAL HEALTH PROGRAM,1703 COUNTY STATE AID HWY 15,ST. PETER,MN,56082,NICOLLET,507-985-3128,STATE,,Supervised Living Facility
1418,FORENSIC MENTAL HEALTH PROGRAM,100 FREEMAN DRIVE,ST. PETER,MN,56082,NICOLLET,507-985-3128,STATE,,Supervised Living Facility
1390,FOUNTAIN CENTERS,404 WEST FOUNTAIN STREET,ALBERT LEA,MN,56007,FREEBORN,507-377-6411,NONPROFIT CORPORATION,,Supervised Living Facility
1681,FOUR WINDS TREATMENT PROGRAM,11600 STATE AVENUE,BRAINERD,MN,56401,CROW WING,218-454-8900,TRIBAL,,Supervised Living Facility
1604,FURNESS HOUSE,1866 FURNESS STREET,MAPLEWOOD,MN,55109,RAMSEY,651-227-7655,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
36046,GATEWAY RECOVERY CENTER LLC,6775 CAHILL AVENUE,INVER GROVE HEIGHTS,MN,55076,DAKOTA,651-999-3537,LIMITED LIABILITY COMPANY,,Supervised Living Facility
20875,HAMMER CARLSON,1909 WAYZATA BLVD E,WAYZATA,MN,55391,HENNEPIN,952-473-1261,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1581,HAMMER KENTUCKY,18115 30TH AVENUE NORTH,PLYMOUTH,MN,55447,HENNEPIN,952-473-1261,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1594,HAMMER LAKESIDE,5209 MICHAELE LANE,MINNETONKA,MN,55345,HENNEPIN,952-473-1261,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1686,HAMMER LAWNDALE,6688 LAWNDALE LANE NORTH,MAPLE GROVE,MN,55311,HENNEPIN,952-473-1261,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1607,HAMMER LEE,2825 LEE AVENUE NORTH,GOLDEN VALLEY,MN,55422,HENNEPIN,952-473-1261,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1669,HAMMER MCGLINCH,18300 26TH AVENUE NORTH,PLYMOUTH,MN,55447,HENNEPIN,952-473-1261,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
4306,HAMMER RIDGEVIEW,401 RIDGEVIEW DRIVE,WAYZATA,MN,55391,HENNEPIN,952-473-1261,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
21172,HAMMER SHERIDAN,2412 SHERIDAN HILLS CURVE,WAYZATA,MN,55391,HENNEPIN,952-473-1261,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1008,HARRY MEYERING CTR INC,109 HOMESTEAD ROAD,MANKATO,MN,56001,BLUE EARTH,507-387-8281,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1367,HAZELDEN CTR FOR YOUTH & FAM,11505 36TH AVENUE NORTH,PLYMOUTH,MN,55441,HENNEPIN,763-509-3829,NONPROFIT CORPORATION,,Supervised Living Facility
67,HAZELDEN FOUNDATION,15251 PLEASANT VALLEY,CENTER CITY,MN,55012,CHISAGO,651-213-4217,NONPROFIT CORPORATION,,Supervised Living Facility
32885,HCMC CRISIS RESIDENCE,3633 CHICAGO AVENUE SOUTH,MINNEAPOLIS,MN,55407,HENNEPIN,612-873-6537,COUNTY,,Supervised Living Facility
1091,HENRY HAGEN RESIDENCE,19845 LILLEHEI AVENUE,HASTINGS,MN,55033,DAKOTA,612-770-0304,INDIVIDUAL,Intermediate Care Facility,Supervised Living Facility
1313,HIGH ISLAND CREEK RESIDENCE,708 CHESTNUT DRIVE,ARLINGTON,MN,55307,SIBLEY,507-964-5984,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
36056,HOFFMANN CENTER,1715 SHEPPARD DRIVE,ST PETER,MN,56082,NICOLLET,507-934-2594,NONPROFIT CORPORATION,,Supervised Living Facility
1134,HOME AND COMMUNITY OPTIONS INC,174 EDWARD STREET,WINONA,MN,55987,WINONA,507-452-1021,NONPROFIT CORPORATION,,Supervised Living Facility
1273,HOMEWARD BOUND BROOKLYN PARK,7839 BROOKLYN BOULEVARD,BROOKLYN PARK,MN,55445,HENNEPIN,763-746-4850,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1585,HOMEWARD BOUND MAPLE GROVE,6769 EAST FISH LAKE ROAD,MAPLE GROVE,MN,55369,HENNEPIN,763-746-4850,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1583,HOMEWARD BOUND PLYMOUTH,13522 SUNSET TRAIL,PLYMOUTH,MN,55441,HENNEPIN,763-746-4850,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1603,HOWARD HOUSE,1685 HOWARD STREET NORTH,MAPLEWOOD,MN,55109,RAMSEY,651-227-7655,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
37079,JANET'S RESIDENCE,950 9TH AVENUE,ST. PAUL PARK,MN,55071,WASHINGTON,651-734-9633,LIMITED LIABILITY COMPANY,,Supervised Living Facility
33823,JOHN E HERMAN HOME & TRMT FAC,351 14TH AVENUE SW,ROCHESTER,MN,55902,OLMSTED,507-422-0480,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1535,JORGENSEN HOUSE,3444 GIRARD AVENUE SOUTH,MINNEAPOLIS,MN,55408,HENNEPIN,612-353-5580,NONPROFIT CORPORATION,,Supervised Living Facility
1384,JUDY RATTERATH WDRL MGT CTR,3409 E MEDICINE LAKE BOULEVARD,PLYMOUTH,MN,55441,HENNEPIN,763-559-1402,NONPROFIT CORPORATION,,Supervised Living Facility
1408,KAPLAN WOODS CARE HOME,285 CEDARDALE DRIVE SE,OWATONNA,MN,55060,STEELE,507-451-5327,LIMITED LIABILITY COMPANY,Intermediate Care Facility,Supervised Living Facility
831,LAKE OWASSO RESIDENCE,210 OWASSO BOULEVARD NORTH,SHOREVIEW,MN,55126,RAMSEY,651-266-0711,COUNTY,Intermediate Care Facility,Supervised Living Facility
29821,LAKE SHORE RES TREATMENT,140 QUAIL STREET,MAHTOMEDI,MN,55115,WASHINGTON,651-429-2311,LIMITED LIABILITY COMPANY,,Supervised Living Facility
29465,LATITUDES TREATMENT CENTER LLC,1609 JACKSON STREET,ST. PAUL,MN,55117,RAMSEY,651-454-2016,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1163,LAURA BAKER SERVICES ASSC,211 OAK STREET,NORTHFIELD,MN,55057,RICE,507-645-8866,OTHER NONPROFIT OWNERSHIP,Intermediate Care Facility,Supervised Living Facility
1527,LIVING CHALLENGE,701 EAST 57TH STREET,MINNEAPOLIS,MN,55417,HENNEPIN,952-922-8466,CORPORATION,,Supervised Living Facility
1379,LIVING WELL 3801,3801 WEST BROADWAY AVENUE,ROBBINSDALE,MN,55422,HENNEPIN,763-522-7556,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1475,LIVING WELL 3807,3807 WEST BROADWAY AVENUE,ROBBINSDALE,MN,55422,HENNEPIN,763-521-1076,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1401,LIVING WELL 75TH,14850 75TH AVENUE NORTH,MAPLE GROVE,MN,55369,HENNEPIN,763-420-5848,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1600,LIVING WELL BROOKVIEW,2675 BROOKVIEW DRIVE EAST,MAPLEWOOD,MN,55119,RAMSEY,651-731-1602,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
21108,LIVING WELL CARMEN,915 CARMEN LANE,MENDOTA HEIGHTS,MN,55118,DAKOTA,651-405-0569,NONPROFIT CORPORATION,,Supervised Living Facility
1371,LIVING WELL CENTRAL,1555 CENTRAL AVENUE SW,CAMBRIDGE,MN,55008,ISANTI,763-689-3794,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
20874,LIVING WELL CONGRESS,2207 CONGRESS STREET,SOUTH ST. PAUL,MN,55075,DAKOTA,651-450-2304,NONPROFIT CORPORATION,,Supervised Living Facility
1599,LIVING WELL COPE,1362 EAST COPE AVENUE,MAPLEWOOD,MN,55109,RAMSEY,651-483-9596,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1646,LIVING WELL DIANE,1668 DIANE ROAD,MENDOTA HEIGHTS,MN,55118,DAKOTA,651-686-7872,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1179,LIVING WELL DOUGLAS,303 DOUGLAS DRIVE,BUFFALO,MN,55313,WRIGHT,763-682-4588,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1633,LIVING WELL EAST EMERSON,41 EMERSON AVENUE EAST,WEST ST. PAUL,MN,55118,DAKOTA,651-450-1880,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1258,LIVING WELL EDGEWOOD,6525 EDGEWOOD AVENUE NORTH,BROOKLYN PARK,MN,55428,HENNEPIN,763-533-5104,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1290,LIVING WELL FRANCE,2759 FRANCE AVENUE NORTH,ROBBINSDALE,MN,55422,HENNEPIN,763-521-0387,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1466,LIVING WELL KENNELLY,12000 KENNELLY ROAD,BURNSVILLE,MN,55337,DAKOTA,952-894-3044,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1595,LIVING WELL LARPENTEUR,1951 LARPENTEUR AVENUE EAST,MAPLEWOOD,MN,55109,RAMSEY,651-770-7120,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1243,LIVING WELL LYNDALE,5449 LYNDALE AVENUE NORTH,BROOKLYN CENTER,MN,55430,HENNEPIN,763-560-2220,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
20941,LIVING WELL MARY ADELE,1055 MARY ADELE AVENUE,MENDOTA HEIGHTS,MN,55120,DAKOTA,651-365-8707,NONPROFIT CORPORATION,,Supervised Living Facility
20783,LIVING WELL MARYLAND,2355 MARYLAND AVENUE EAST,MAPLEWOOD,MN,55119,RAMSEY,651-773-4074,NONPROFIT CORPORATION,,Supervised Living Facility
20857,LIVING WELL POPPLER,3020 POPPLER LANE,EAGAN,MN,55122,DAKOTA,651-688-8035,NONPROFIT CORPORATION,,Supervised Living Facility
20938,LIVING WELL UPPER 55TH,1885 UPPER 55TH STREET EAST,INVER GROVE HEIGHTS,MN,55077,DAKOTA,651-552-8748,NONPROFIT CORPORATION,,Supervised Living Facility
1359,LIVING WELL VICTORIA,2031 VICTORIA ROAD SOUTH,MENDOTA HEIGHTS,MN,55118,DAKOTA,651-452-4295,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
21238,MARGARETS HOUSE,2535 CONDON COURT,MENDOTA HEIGHTS,MN,55120,DAKOTA,651-686-0518,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1598,MBW COMPANY,1407 10TH STREET NORTH,NEW ULM,MN,56073,BROWN,507-233-3030,BUSINESS TRUST,Intermediate Care Facility,Supervised Living Facility
1210,MBW ON RAYMOND,1131 RAYMOND DRIVE,NEW ULM,MN,56073,BROWN,507-354-3522,BUSINESS TRUST,Intermediate Care Facility,Supervised Living Facility
1637,MEADOW CREEK,17305 MEADOW CREEK LANE,PINE CITY,MN,55063,PINE,763-444-4838,LIMITED LIABILITY COMPANY,,Supervised Living Facility
20793,MERRITT HOUSE,731 3RD STREET SOUTH,VIRGINIA,MN,55792,SAINT LOUIS,218-741-9630,NONPROFIT CORPORATION,,Supervised Living Facility
37546,MIDWEST RECOVERY,529 WOODLEY STREET,NORTHFIELD,MN,55057,RICE,507-225-0201,CORPORATION,,Supervised Living Facility
1674,MN SEX OFFENDER PROGRAM,1111 HIGHWAY 73,MOOSE LAKE,MN,55767,CARLTON,651-431-5874,STATE,,Supervised Living Facility
89,MN SPECIALTY HEALTH SYSTEM,11615 STATE AVENUE,BRAINERD,MN,56401,CROW WING,218-855-8757,STATE,,Supervised Living Facility
25363,MN SPECIALTY HEALTH SYSTEM,1208 OLENA AVENUE SE,WILLMAR,MN,56201,KANDIYOHI,320-235-0341,STATE,,Supervised Living Facility
23896,MN SPECIALTY HEALTH SYSTEM,240 SHADY LANE DRIVE BOX 430,WADENA,MN,56482,WADENA,218-319-6001,STATE,,Supervised Living Facility
37561,MOMENTUM CENTER LLC,1425 EAST ST GERMAIN ST,ST CLOUD,MN,56304,BENTON,320-281-3727,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1440,MONARCH HEIGHTS,501 BURDICK AVENUE,ORTONVILLE,MN,56278,BIG STONE,320-839-6139,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1022,MOUNT OLIVET ROLLING ACRES,7200 ROLLING ACRES ROAD #220,VICTORIA,MN,55386,CARVER,952-474-5974,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
31654,MOUNT OLIVET ROLLING ACRES,9375 JAN VIEW LANE,WACONIA,MN,55387,CARVER,952-442-3226,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
21000,MOUNT OLIVET ROLLING ACRES,129 MACKENTHUN LANE,NORWOOD YOUNGAMERICA,MN,55368,CARVER,952-467-6484,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
27850,MSOP GREEN ACRES,100 FREEMAN DRIVE,ST. PETER,MN,56082,NICOLLET,651-431-5874,STATE,,Supervised Living Facility
27851,MSOP PEXTON SHANTZ,100 FREEMAN DRIVE,ST. PETER,MN,56082,NICOLLET,651-431-5874,STATE,,Supervised Living Facility
30872,MSOP SUNRISE,100 FREEMAN DRIVE,ST. PETER,MN,56082,NICOLLET,651-431-5874,STATE,,Supervised Living Facility
1565,MTAI ALBERT PLACE,9911 13TH AVENUE SOUTH,BLOOMINGTON,MN,55425,HENNEPIN,763-442-7830,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1098,MTAI BLOOMINGTON,10633 KELL AVENUE SOUTH,BLOOMINGTON,MN,55437,HENNEPIN,952-881-2848,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1021,MTAI BROOKLYN CENTER,507 69TH AVENUE NORTH,BROOKLYN CENTER,MN,55430,HENNEPIN,763-754-2505,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1564,MTAI GLADSON,7350 RIDGEWAY ROAD,GOLDEN VALLEY,MN,55427,HENNEPIN,763-542-8340,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1563,MTAI MINNEHAHA CREEK,8949 48TH AVENUE NORTH,NEW HOPE,MN,55428,HENNEPIN,763-537-9220,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1471,MTAI PLYMOUTH EAST,11550 52ND AVENUE NORTH,PLYMOUTH,MN,55413,HENNEPIN,763-208-4889,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1562,MTAI RICE CREEK,5402 FAIRVIEW AVENUE NORTH,CRYSTAL,MN,55428,HENNEPIN,763-754-2505,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1561,MTAI SAND CREEK,5555 WESTBROOK ROAD,GOLDEN VALLEY,MN,55422,HENNEPIN,763-545-7086,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1614,MTAI TRILLIUM,306 WESTGATE DRIVE,WINSTED,MN,55395,MCLEOD,320-485-3759,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1241,NEW LIFE TREATMENT CENTER,130 DAKOTA STREET,WOODSTOCK,MN,56186,PIPESTONE,507-777-4321,NONPROFIT CORPORATION,,Supervised Living Facility
24059,NEW ULM MEDICAL CENTER,1324 5TH STREET NORTH,NEW ULM,MN,56073,BROWN,507-217-5000,NONPROFIT CORPORATION,,Supervised Living Facility
1608,NORTHLAND RECOVERY CENTER,1215 7TH AVENUE SE,GRAND RAPIDS,MN,55744,ITASCA,218-313-1315,NONPROFIT CORPORATION,,Supervised Living Facility
33695,NORTHWOOD CHILDRENS SVS INC,4000 WEST 9TH STREET,DULUTH,MN,55807,SAINT LOUIS,218-628-0237,NONPROFIT CORPORATION,,Supervised Living Facility
1516,OASIS,6739 GOLDEN VALLEY ROAD,GOLDEN VALLEY,MN,55427,HENNEPIN,763-544-1447,CORPORATION,,Supervised Living Facility
1293,ON BELAY HOUSE,115 FORESTVIEW LANE NORTH,PLYMOUTH,MN,55441,HENNEPIN,763-546-8008,CORPORATION,,Supervised Living Facility
1366,ORONO WOODLANDS,2100 6TH AVENUE NORTH BOX 507,LONG LAKE,MN,55356,HENNEPIN,952-473-0852,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
25956,PAUL'S PLACE,22355 ALBATROSS CIRCLE,FARMINGTON,MN,55024,DAKOTA,651-734-9633,LIMITED LIABILITY COMPANY,,Supervised Living Facility
1556,PEOPLE II,1380 WEST MINNEHAHA PARKWAY,MINNEAPOLIS,MN,55419,HENNEPIN,651-774-0011,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
23589,PHOENIX AT CARVER,2465 CARVER AVENUE,MAPLEWOOD,MN,55119,RAMSEY,651-227-7655,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
23428,PHOENIX AT CASWELL,2168 12TH STREET,WHITE BEAR LAKE,MN,55110,RAMSEY,651-227-7655,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1649,PHOENIX AT CENTERVILLE,785 COUNTY ROAD EAST,VADNAIS HEIGHTS,MN,55127,RAMSEY,651-227-7655,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
23482,PHOENIX AT DOUGLAS,1538 POINT DOUGLAS ROAD SOUTH,ST. PAUL,MN,55119,RAMSEY,651-227-7655,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
