Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Ownership Type,State Facility Type 2 Literal,State Facility Type 1 Literal,Date Accessed
37271,A Caring Home Llc,712 EAST 152ND STREET,Burnsville,MN,55306,Dakota,612-750-5968,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
33676,A Daughter'S Love Suites,510 4TH STREET NE,Staples,MN,56479,Todd,218-296-2090,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
33677,A Daughter'S Love Suites,512 4TH STREET NE,Staples,MN,56479,Todd,218-296-2090,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
33678,A Daughter'S Love Suites,514 4TH STREET NE,Staples,MN,56479,Todd,218-296-2090,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36902,"A Daughters Love, Inc.",25184 THUNDER ROAD,Staples,MN,56479,Todd,218-296-2090,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
33206,A Helping Hand Senior Care Ser,2527 14TH AVENUE SOUTH,Minneapolis,MN,55404,Hennepin,612-255-3110,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
33208,A Helping Hand Senior Care Ser,2446 15TH AVENUE SOUTH,Minneapolis,MN,55404,Hennepin,612-255-3110,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
33209,A Helping Hand Senior Care Ser,778 BLAIR AVENUE,St. Paul,MN,55104,Ramsey,612-255-3110,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30713,A Touch Of Home North,915 21ST STREET NW,Bemidji,MN,56601,Beltrami,218-444-5878,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
32825,A-1 Reliable Home Care Inc,5716 42ND AVENUE NORTH,Robbinsdale,MN,55422,Hennepin,952-393-7857,CORPORATION,,HOUSING WITH SERVICES,7/12/21
33963,A-1 Reliable Home Care Inc,5824 42ND AVENUE NORTH,Robbinsdale,MN,55422,Hennepin,952-393-7857,CORPORATION,,HOUSING WITH SERVICES,7/12/21
33415,A-1 Reliable Home Care Inc,1608 CARROLL AVENUE,St Paul,MN,55104,Ramsey,952-393-7857,CORPORATION,,HOUSING WITH SERVICES,7/12/21
33981,A-A-H Mercy Home Health,3554 JUNE AVENUE NORTH,Robbinsdale,MN,55422,Hennepin,952-201-9645,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
36039,Aaran Care Inc,660 JESSAMINE AVENUE EAST,St. Paul,MN,55106,Ramsey,612-250-3371,CORPORATION,,HOUSING WITH SERVICES,7/12/21
32750,Abiitan Mill City,428 SOUTH 2ND STREET,Minneapolis,MN,55401,Hennepin,612-378-0020,NONPROFIT CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
24053,Abilit Holdings Prairie Meadow,800 5TH AVE NW,Kasson,MN,55944,Dodge,507-634-9500,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
35624,Abraham'S Bosom Care Llc,437 TOWER STREET,St Paul,MN,55119,Ramsey,651-428-9170,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36793,Absolute Homes Inc,3045 CENTRAL AVENUE NORTH EAST,Minneapolis,MN,55418,Hennepin,612-229-9512,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35571,Access Minnesota Llc,335 37TH AVENUE NORTH,St. Cloud,MN,56303,Stearns,612-501-0484,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
37611,Access Minnesota Llc,1528 7TH STREET,St. Cloud,MN,56301,Stearns,612-501-0484,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36916,Access Recovery Center Inc.,17365 FONTANA PATH,Farmington,MN,55024,Dakota,763-400-1366,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35744,Accurate Homes Llc,13605 GRAND AVENUE,Burnsville,MN,55337,Dakota,612-703-9332,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35375,Ace Homes Inc,3425 77TH AVENUE NORTH,Brooklyn Park,MN,55443,Hennepin,612-323-0315,CORPORATION,,HOUSING WITH SERVICES,7/12/21
37570,Ace Homes Inc,5820 5TH STREET NORTHEAST,Fridley,MN,55432,Anoka,612-702-3012,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
28372,Adagio Manor Assisted Living,5230 CIRCLE DOWN,Golden Valley,MN,55416,Hennepin,763-229-1993,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
35359,Adams Health Care Services,10036 WASHBURN AVENUE SOUTH,Bloomington,MN,55431,Hennepin,612-501-1331,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
33762,Adapta,2020 5TH STREET SW,Rochester,MN,55902,Olmsted,507-282-0868,NONPROFIT CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36552,Adapta,2509 55TH STREET NW,Rochester,MN,55901,Olmsted,507-282-0868,NONPROFIT CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36944,Adeg Group Home Llc,3229 2ND AVENUE SOUTH,Minneapolis,MN,55408,Hennepin,612-756-5533,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
35883,Adequate Home Care Llc,5680 HADLEY AVENUE NORTH,Oakdale,MN,55128,Washington,651-367-9906,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
20147,Adith Miller Manor,885 MANKATO AVENUE,Winona,MN,55987,Winona,507-454-0179,NONPROFIT CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
37564,Adna Homes Llc,7025 KNOX AVENUE NORTH,Brooklyn Center,MN,55430,Hennepin,704-252-4716,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35731,Adna Homes Llc,7733 ABBOTT AVENUE NORTH,Brooklyn Park,MN,55443,Hennepin,763-208-6626,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30740,Adrian Country Living Cottages,200 WEST 7TH STREET,Adrian,MN,56110,Nobles,507-483-2511,CITY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36624,Advance Group Home Inc,9118 BLAISDELL AVENUE SOUTH,Minneapolis,MN,55420,Hennepin,615-710-3715,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
37673,Advanced One Care Center,515 16TH AVENUE NORTH,St. Cloud,MN,56302,Sherburne,612-703-0269,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35674,Advanced One Care Center,4618 CLINTON AVENUE SOUTH,Minneapolis,MN,55419,Hennepin,612-703-0264,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36100,Advanced One Care Center Inc,4552 MANOR BROOK NW,Rochester,MN,55901,Olmsted,507-208-4863,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
25520,Aeon,1822 PARK AVENUE,Minneapolis,MN,55404,Hennepin,612-871-5800,NONPROFIT CORPORATION,,HOUSING WITH SERVICES,7/12/21
35648,Affinity Residential Care Llc,9213 ELLIOT AVENUE SOUTH,Bloomington,MN,55420,Hennepin,612-386-0942,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36233,Affinity Residential Care Llc,11021 OAK KNOLL TERRACE NORTH,Minnetonka,MN,55305,Hennepin,612-386-0942,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36407,Affinity Residential Care Llc,9230 13TH STREET,Bloomington,MN,55420,Hennepin,952-217-4750,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
37017,Affinity Residential Care Llc,6604 4TH AVENUE SOUTH,Richfield,MN,55423,Hennepin,612-386-0942,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
37562,Agapecare Services Llc,3818 61ST AVENUE,Brooklyn Center,MN,55429,Hennepin,763-432-3949,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35672,Agapecare Services Llc,2701 OHENRY ROAD,Brooklyn Center,MN,55430,Hennepin,952-994-5356,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30324,"Agate Bay Assisted Living, Llc",414 1ST AVENUE,Two Harbors,MN,55616,Lake,218-834-6174,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30550,Ageless Care Incorporated,702 7TH STREET SW,Roseau,MN,56751,Roseau,218-463-3695,CORPORATION,,HOUSING WITH SERVICES,7/12/21
34704,Agility Advantage Hhc Llc,10339 QUAIL CIRCLE NORTH,Brooklyn Park,MN,55443,Hennepin,612-212-9212,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35887,Ahran Care,724 20TH AVENUE SOUTH,Minneapolis,MN,55454,Hennepin,612-636-9728,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30585,Aicota Health Care Center,850 2ND STREET NW,Aitkin,MN,56431,Aitkin,218-927-2164,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36955,Alcordia Care Llc,1356 SEARLE ST.,St. Paul,MN,55130,Ramsey,612-772-4141,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30718,Alex Assisted Living Llc,90 EAST LAKE COWDRY ROAD NW,Alexandria,MN,56308,Douglas,320-762-8345,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36441,Alexas House,9235 ZANE AVENUE NORTH UNIT 1,Brooklyn Park,MN,55443,Hennepin,952-848-0935,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
35309,Aliya Care Inc,2702 37TH AVENUE NE,St. Anthony,MN,55421,Hennepin,651-334-7979,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35486,Aliya Care Inc,2700 37TH AVENUE NE,St. Anthony,MN,55421,Hennepin,763-710-9619,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
34412,Aliya Care Inc,12460 SYCAMORE STREET NW,Coon Rapids,MN,55448,Anoka,763-710-9619,CORPORATION,,HOUSING WITH SERVICES,7/12/21
37016,All Family Home Care W/ Servic,6090 46TH ST. NORTH,Oakdale,MN,55128,Hennepin,763-218-4102,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
37657,All Home Care Llc,1425 TROLLHAGEN DRIVE NE,Fridley,MN,55421,Anoka,763-291-4056,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
33640,All Hopes At Linnet,9937 LINNET STREET NW,Coon Rapids,MN,55433,Anoka,763-482-1487,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35715,All Hopes At Orchard,7932 ORCHARD AVENUE NORTH,Brookly Park,MN,55443,Hennepin,763-482-1487,CORPORATION,,HOUSING WITH SERVICES,7/12/21
34287,All Hopes At Pearson,2509 PEARSON PARKWAY,Brooklyn Park,MN,55444,Hennepin,763-482-1487,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
29576,All Saints Senior Living Llc,1880 INDEPENDENCE DRIVE,Shakopee,MN,55379,Scott,952-233-7351,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36667,All Wullancare Inc,7433 LEE AVENUE NORTH,Brooklyn Park,MN,55443,Hennepin,612-636-5478,CORPORATION,,HOUSING WITH SERVICES,7/12/21
36956,Alliance Assisted Living Inc,2029 PIN OAK DRIVE,Eagan,MN,55122,Dakota,763-742-7284,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36470,Alliance Group Home Llc,2205 MARSHALL STREET NE,Minneapolis,MN,55418,Hennepin,612-281-0077,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36228,Alliance Home Care,13804 THOMAS AVENUE SOUTH,Burnsville,MN,55337,Dakota,952-594-1062,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35585,Alliance Homes Corporation,4946 JACKSON STREET NE,Columbia Heights,MN,55421,Anoka,763-227-8280,CORPORATION,,HOUSING WITH SERVICES,7/12/21
36106,Ally Group Homes Llc,2944 PRINCETON AVENUE SOUTH,St Louis Park,MN,55416,Hennepin,612-598-4311,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30711,Almond House,802 28TH STREET SE,Brainerd,MN,56401,Crow Wing,218-822-3067,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
20575,Almond House Unit 2,804 28TH STREET SE,Brainerd,MN,56401,Crow Wing,218-822-3067,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
20581,Almond House Unit 3,814 28TH STREET SE,Brainerd,MN,56401,Crow Wing,218-822-3067,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
20582,Almond House Unit 4,816 28TH STREET SE,Brainerd,MN,56401,Crow Wing,218-822-3067,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
21680,Almost Home,710 28TH STREET SE,Brainerd,MN,56401,Crow Wing,218-822-3067,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35131,Alpha Assisted Living Inc,2653 14TH AVENUE SOUTH,Minneapolis,MN,55407,Hennepin,612-354-3024,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36304,Alpha Assisted Living Inc,6400 NOBLE AVENUE NORTH,Brooklyn Center,MN,55429,Hennepin,612-354-3024,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35373,Ama Group Home Inc,2607 LONGFELLOW AVENUE SOUTH,Minneapolis,MN,55407,Hennepin,612-886-1837,CORPORATION,,HOUSING WITH SERVICES,7/12/21
32645,Amal Home Health Care Inc,2440 PEARSON PARKWAY,Brooklyn Park,MN,55444,Hennepin,612-221-1986,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36749,Amal Home Health Care Inc.,1300 77TH WAY,Brooklyn Park,MN,55444,Hennepin,612-221-1986,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36341,Amana Home Care,7010 BLOOMINGTON AVENUE SOUTH,Richfield Mn,MN,55423,Hennepin,612-816-1890,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
24780,Amazing Love Assisted Living,5724 BASS LAKE ROAD,Crystal,MN,55429,Hennepin,763-561-3434,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
29391,Amazing Love Elderly Care Ctr,7807 EMERALD ROAD,Randall,MN,56475,Morrison,320-749-2485,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
36751,"Amc Care, Inc",6601 75TH 1/2 AVENUE NORTH,Brooklyn Park,MN,55428,Hennepin,763-208-2973,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
26939,Amelie House,1400 WEST 100TH STREET,Bloomington,MN,55431,Hennepin,952-881-6424,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
32187,American Best Home Care Inc,5825 WEST BROADWAY AVENUE,Crystal,MN,55428,Hennepin,763-432-7356,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36570,American Best Home Care Inc,7124 WEST RIVER ROAD,Brooklyn Center,MN,55430,Hennepin,763-432-7356,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
33587,American Best Home Care Inc,5218 PAUL DRIVE,Brooklyn Center,MN,55429,Hennepin,763-432-7356,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
35870,American Best Home Care Inc,3816 FRANCE PLACE,Brooklyn Center,MN,55429,Hennepin,763-462-7356,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
34413,American Best Home Care Inc,3501 63RD AVENUE NORTH,Brooklyn Center,MN,55430,Hennepin,763-432-7356,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36393,American Best Home Care Inc,6565 DOUGLAS DRIVE NORTH,Brooklyn Park,MN,55429,Hennepin,763-432-7356,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
37361,"American Best Home Care, Inc",10230 28TH AVENUE NORTH,Plymouth,MN,55441,Hennepin,763-432-7323,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36710,"American Best Home Care, Inc.",5012 65TH AVENUE NORTH,Brooklyn Center,MN,55429,Hennepin,763-432-7356,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36712,"American Best Home Care, Inc.",6731 BRYANT AVENUE NORTH,Brooklyn Center,MN,55430,Hennepin,763-432-7356,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36614,"American Best Home Care, Inc.",7817 UNITY AVENUE NORTH,Brooklyn Park,MN,55443,Hennepin,763-432-7356,CORPORATION,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
30559,American Eagle Owatonna,334 CEDARDALE DRIVE SE,Owatonna,MN,55060,Steele,507-451-6914,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35676,American Family Home Care,3325 84TH AVENUE NORTH,Brookly Park,MN,55443,Hennepin,763-971-8888,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
33995,American Indian Cdc,1506 EAST 23RD STREET,Minneapolis,MN,55404,Hennepin,612-813-1610,NONPROFIT CORPORATION,,HOUSING WITH SERVICES,7/12/21
36714,American Volunteers Homes,5202 QUAIL AVENUE NORTH,Crystal,MN,55429,Hennepin,763-210-8532,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36804,Americare Lodges,20371 WENDIGO PARK RD BLDG#4,Grand Rapids,MN,55744,Itasca,218-326-0536,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36807,Americare Lodges,20371 WENDICO PARK ROAD BLDG1,Grand Rapids,MN,55744,Itasca,218-326-0536,CORPORATION,,HOUSING WITH SERVICES,7/12/21
36294,Americare Lodges,20371 WENDIGO PARK ROAD BLDG 3,Grand Rapids,MN,55744,Itasca,218-910-5205,PARTNERSHIP,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30705,Americare Lodges Inc,6870 SCHULTZ DRIVE NE,Remer,MN,56672,Cass,218-566-4722,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30823,Americn Eagle Owatonna,364 CEDARDALE DRIVE SE,Owatonna,MN,55060,Steele,507-446-8600,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
34337,Amerigrace Home Care Llc,9633 HALE AVENUE SOUTH,Cottage Grove,MN,55016,Washington,651-734-3183,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36548,Amerigrace Home Care Llc,1852 AMES AVENUE,St. Paul,MN,55119,Ramsey,651-734-3183,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
37051,Amerigrace Home Care Llc,890 CLARENCE STREET,St. Paul,MN,55106,Ramsey,651-734-3183,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36732,Amran Home Health Care Llc,3228 COLUMBUS AVENUE SOUTH,Minneapolis,MN,55407,Hennepin,612-296-7125,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
30229,Amy Johnson Residence,89 VIRGINIA STREET,St Paul,MN,55102,Ramsey,651-224-3363,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
