Facility Number,Level of Care Code,Level of Care,Facility Name,Address,City,Zip Code,County,First Name Administrator,Last Name Administrator,Certification,Certification,Capacity,Alzheimer's SCU,DMH Licensed,Facility Phone Number,Facility Fax Number,Region,Facility Mailing Address,Facility Mailing City,Facility Mailing Zip,Operator Name,Operator Type
00546,C,RCF*,BIG BEND RETREAT,620 NORTH EMMERSON,SLATER,65349-1157,SALINE,EMILY,HAHN,,,10,No,FALSE,(660) 529-2237,6605293456,5,620 NORTH EMMERSON,SLATER,65349-1157,"BIG BEND RETREAT, INC",PROFIT CORPORATION
00546,B,ICF,BIG BEND RETREAT,620 NORTH EMMERSON,SLATER,65349-1157,SALINE,EMILY,HAHN,,,60,No,FALSE,(660) 529-2237,6605293456,5,620 NORTH EMMERSON,SLATER,65349-1157,"BIG BEND RETREAT, INC",PROFIT CORPORATION
00560,A,SNF,ROCK POINT NURSING CENTER,8477 NORTH STREET,BIRCH TREE,65438-8887,SHANNON,SONDRA,JONES,Medicare/Medicaid,265368,86,YES,FALSE,(573) 292-3212,5732923471,2,8477 NORTH STREET,BIRCH TREE,65438-8887,ROCK POINT NURSING CENTER LLC,LIMITED LIABILITY COMPANY
00592,B,ICF,"MARY CULVER HOME, THE",221 WEST WASHINGTON AVE,KIRKWOOD,63122-3916,SAINT LOUIS COUNTY,AMY,LEPPER,,,28,No,FALSE,(314) 966-6034,(314) 966-5462,7,221 W  WASHINGTON AVE,KIRKWOOD,63122-3916,MARY CULVER HOME (THE),NOT FOR PROFIT CORPORATION
00629,A,SNF,BLOOMFIELD LIVING CENTER,606 WEST MISSOURI ST,BLOOMFIELD,63825-9706,STODDARD,KRISTI,HENSLEY,Medicare/Medicaid,265451,60,No,FALSE,(573) 568-2137,(573) 568-9906,2,606 WEST MISSOURI ST,BLOOMFIELD,63825-9706,"N & R OF BLOOMFIELD, LLC",LIMITED LIABILITY COMPANY
00633,D,RCF,GEORGIA BROWN BLOSSER HOME FOR THE AGED,1210 EAST EASTWOOD ST,MARSHALL,65340-1510,SALINE,ANITA,WRIGHT,,,11,No,FALSE,(660) 886-5020,(660) 886-5020,5,1210 EAST EASTWOOD ST,MARSHALL,65340-1510,GEORGIA BROWN BLOSSER HOME FOR THE AGED,NOT FOR PROFIT CORPORATION
00677,A,SNF,SHANGRI-LA REHAB & LIVING CENTER,930 NORTH EAST DUNCAN RD,BLUE SPRINGS,64014-2173,JACKSON,PATRICIA,QUAIL,Medicare/Medicaid,265595,120,No,FALSE,(816) 229-6677,8162298064,3,930 NORTH EAST DUNCAN RD,BLUE SPRINGS,64014-2173,"SHANGRI LA HCO, LLC",LIMITED LIABILITY COMPANY
00683,A,SNF,"MANOR, THE",2071 BARRON RD,POPLAR BLUFF,63901-1903,BUTLER,DELLA,GARRIS,Medicare/Medicaid,265442,90,No,FALSE,(573) 686-1147,5736865161,2,2071 BARRON RD,POPLAR BLUFF,63901-1903,"POPLAR BLUFF NO 1, INC",PROFIT CORPORATION
00709,D,RCF,"BOARDING INN, THE",9444 MIDLAND BLVD,OVERLAND,63114-3328,SAINT LOUIS COUNTY,SHARON,MARBERRY,,,40,No,TRUE,(314) 426-0091,3144260099,7,9444 MIDLAND BLVD,OVERLAND,63114-3328,"TED-LEA, INC",PROFIT CORPORATION
00710,A,SNF,CITIZENS MEMORIAL HEALTH CARE FACILITY,1218 W LOCUST ST,BOLIVAR,65613-1312,POLK,JEFF,MILLER,Medicare/Medicaid,265545,111,No,FALSE,(417) 326-7648,4173286336,1,PO BOX 590,BOLIVAR,65613-0590,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
00726,D,RCF,COLONIAL HOUSE OF FESTUS I,500 SUNSHINE DR,FESTUS,63028-1645,JEFFERSON,ALYSHA,SAUER,,,30,No,TRUE,(636) 937-7140,(636) 933-2513,2,500 SUNSHINE DR,FESTUS,63028-1645,"COLONIAL HOUSE OF FESTUS I, LLC",LIMITED LIABILITY COMPANY
00754,A,SNF,"BLUFFS, THE",3105 BLUFF CREEK DR,COLUMBIA,65201-3529,BOONE,ROYSTAN,PAIS,Medicare/Medicaid,265498,132,Yes,FALSE,(573) 442-6060,5738748060,6,3105 BLUFF CREEK DR,COLUMBIA,65201-3529,BOONE COUNTY SENIOR CITIZEN SERVICES CORPORATION,NOT FOR PROFIT CORPORATION
00768,A,SNF,AUTUMN TERRACE HEALTH & REHABILITATION,6124 RAYTOWN RD,RAYTOWN,64133-4007,JACKSON,JAMES,HAYMORE,Medicare/Medicaid,265339,154,Yes,FALSE,(816) 358-8222,8163589231,3,6124 RAYTOWN RD,RAYTOWN,64133-4007,"SRZ OP AUTUMN, LLC",LIMITED LIABILITY COMPANY
00822,A,SNF,LIFE CARE CENTER OF BROOKFIELD,315 HUNT ST,BROOKFIELD,64628-2412,LINN,SARAH,ENYARD,Medicare/Medicaid,265405,120,Yes,FALSE,(660) 258-3367,6602583903,5,315 HUNT ST,BROOKFIELD,64628-2412,"BROOKFIELD MEDICAL INVESTORS, LLC",LIMITED LIABILITY COMPANY
00836,A,SNF,FOUR SEASONS LIVING CENTER,2800 HIGHWAY TT,SEDALIA,65301-1410,PETTIS,KAYLON,WILLIAMS,Medicare/Medicaid,265149,239,Yes,FALSE,(660) 826-8803,6608266864,6,2800 HIGHWAY TT,SEDALIA,65301-1410,"FOUR SEASONS LIVING CENTER, LLC",LIMITED LIABILITY COMPANY
00855,A,SNF,STONEBRIDGE MARYLAND HEIGHTS,2963 DODDRIDGE AVE,MARYLAND HEIGHTS,63043-1736,SAINT LOUIS COUNTY,CORY,STERLING,Medicare/Medicaid,265486,223,No,FALSE,(314) 291-4557,3142918548,7,2963 DODDRIDGE AVE,MARYLAND HEIGHTS,63043-1736,"BROOK VIEW NURSING HOME, INC",PROFIT CORPORATION
00910,C,RCF*,BAISCH NURSING CENTER,3260 BAISCH DR,DE SOTO,63020-5046,JEFFERSON,JENNIFER,OTTE,,,18,No,FALSE,(636) 586-2291,6365862292,2,3260 BAISCH DR,DE SOTO,63020-5046,"DESOTO INVESTMENT GROUP, LLC",LIMITED LIABILITY COMPANY
00910,A,SNF,BAISCH NURSING CENTER,3260 BAISCH DR,DE SOTO,63020-5046,JEFFERSON,JENNIFER,OTTE,Medicare/Medicaid,265714,61,No,FALSE,(636) 586-2291,6365862292,2,3260 BAISCH DR,DE SOTO,63020-5046,"DESOTO INVESTMENT GROUP, LLC",LIMITED LIABILITY COMPANY
00920,D,RCF,STARCARE,1606 SOUTH 38TH ST,SAINT JOSEPH,64507-2216,BUCHANAN,JACQUELINE,JENSEN,,,18,No,TRUE,(816) 390-8941,(816) 279-7728,4,PO BOX 8923,SAINT JOSEPH,64508-8923,"STARCARE, LLC",LIMITED LIABILITY COMPANY
00954,A,SNF,BENTONVIEW PARK HEALTH & REHABILITATION,410 WEST BENTON ST,MONETT,65708-1608,BARRY,REBECCA,MASSEY,Medicare/Medicaid,265410,120,Yes,FALSE,(417) 235-6031,4172358676,1,410 WEST BENTON ST,MONETT,65708-1608,"SRZ OP BENTONVIEW, LLC",LIMITED LIABILITY COMPANY
00968,A,SNF,MEADOW VIEW OF HARRISONVILLE HEALTH & REHABILITATION,2203 EAST MECHANIC ST,HARRISONVILLE,64701-2060,CASS,MICHELLE,LEIPHAM-WEIERSHAUSER,Medicare/Medicaid,265362,120,Yes,FALSE,(816) 380-2622,8163802107,3,2203 EAST MECHANIC ST,HARRISONVILLE,64701-2060,SRZ OP MEADOW VIEW LLC,LIMITED LIABILITY COMPANY
00978,A,SNF,CAMELOT NURSING AND REHABILITATION CENTER,705 GRAND CANYON DR,FARMINGTON,63640-2161,SAINT FRANCOIS,KRISTA,CISSELL,Medicare/Medicaid,265348,97,NO,FALSE,(573) 756-8911,5737560862,2,705 GRAND CANYON DR,FARMINGTON,63640-2161,"OPCO FARMINGTON, MO, LLC",LIMITED LIABILITY COMPANY
00983,A,SNF,REDWOOD OF CAMERON,801 EUCLID AVE,CAMERON,64429-2003,CLINTON,JODI,FRAZIER,Medicare/Medicaid,265633,120,No,FALSE,(816) 632-7254,8166323757,4,PO BOX 438,CAMERON,64429-0438,"NURSING & REHAB AT CAMERON, LLC",LIMITED LIABILITY COMPANY
01013,M,ALF,CANDLELIGHT LODGE RETIREMENT CENTER,1406 BUSINESS LOOP 70 WEST,COLUMBIA,65202-1324,BOONE,EVA,MORGAN,,,37,Yes,FALSE,(573) 449-5287,5734430188,6,1406 BUSINESS LOOP 70 WEST,COLUMBIA,65202-1324,"WILCOX PROPERTIES OF COLUMBIA, LLC",LIMITED LIABILITY COMPANY
01013,N,ALF**,CANDLELIGHT LODGE RETIREMENT CENTER,1406 BUSINESS LOOP 70 WEST,COLUMBIA,65202-1324,BOONE,EVA,MORGAN,,,75,No,FALSE,(573) 449-5287,5734430188,6,1406 BUSINESS LOOP 70 WEST,COLUMBIA,65202-1324,"WILCOX PROPERTIES OF COLUMBIA, LLC",LIMITED LIABILITY COMPANY
01023,A,SNF,HEARTLAND CARE AND REHABILITATION CENTER,2525 BOUTIN DR,CAPE GIRARDEAU,63701-8551,CAPE GIRARDEAU,MELISSA,WELKER,Medicare/Medicaid,265503,102,Yes,FALSE,(573) 334-5225,5733349316,2,2525 BOUTIN DR,CAPE GIRARDEAU,63701-8551,"CAPE GIRARDEAU #1, INC",PROFIT CORPORATION
01032,A,SNF,LIFE CARE CENTER OF CAPE GIRARDEAU,365 SOUTH BROADVIEW ST,CAPE GIRARDEAU,63703-5725,CAPE GIRARDEAU,DERICK D,CUMMINS,Medicare/Medicaid,265185,120,No,FALSE,(573) 335-2086,5733352398,2,365 SOUTH BROADVIEW ST,CAPE GIRARDEAU,63703-5725,"CAPE GIRARDEAU OPERATIONS, LLC",LIMITED LIABILITY COMPANY
01058,C,RCF*,CARONDELET RETIREMENT MANOR,6811 MICHIGAN,SAINT LOUIS,63111-2834,SAINT LOUIS CITY,CHRISTOPHER,VANCIL,,,33,No,TRUE,(314) 353-9552,3143515391,7,PO BOX 37073,SAINT LOUIS,63141-1573,"MISSOURI RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY
01061,C,RCF*,CARRIAGE SQUARE LIVING & REHAB CENTER,4009 GENE FIELD RD,SAINT JOSEPH,64506-1864,BUCHANAN,AMY,BYROM,,,32,No,FALSE,(816) 364-1526,8163542632,4,4009 GENE FIELD RD,SAINT JOSEPH,64506-1864,"CARRIAGE SQUARE LIVING & REHAB CENTER, LLC",LIMITED LIABILITY COMPANY
01061,A,SNF,CARRIAGE SQUARE LIVING & REHAB CENTER,4009 GENE FIELD RD,SAINT JOSEPH,64506-1864,BUCHANAN,AMY,BYROM,Medicare/Medicaid,265336,130,No,FALSE,(816) 364-1526,8163542632,4,4009 GENE FIELD RD,SAINT JOSEPH,64506-1864,"CARRIAGE SQUARE LIVING & REHAB CENTER, LLC",LIMITED LIABILITY COMPANY
01081,A,SNF,SOUTHGATE LIVING CENTER,500 TRUMAN BLVD,CARUTHERSVILLE,63830-1261,PEMISCOT,HEATHER,PURVIS,Medicare/Medicaid,265771,94,No,FALSE,(573) 333-5150,5733334580,2,500 TRUMAN BLVD,CARUTHERSVILLE,63830-1261,"CARUTHERSVILLE NO 1, INC",PROFIT CORPORATION
01097,A,SNF,CASSVILLE HEALTH CENTER FOR REHAB AND HEALTHCARE,1300 COUNTY FARM RD,CASSVILLE,65625-1726,BARRY,KENNA,MORRIS,Medicare/Medicaid,265460,60,No,FALSE,(417) 847-3386,4178475449,1,1300 COUNTY FARM RD,CASSVILLE,65625-1726,"CASSVILLE OPCO, LLC",LIMITED LIABILITY COMPANY
01118,A,SNF,NORMANDY NURSING CENTER,7301 SAINT CHARLES ROCK RD,SAINT LOUIS,63133-1737,SAINT LOUIS COUNTY,MICHELLE,PLUMB,Medicare/Medicaid,265578,116,No,FALSE,(314) 862-0555,3147277040,7,7301 SAINT CHARLES ROCK RD,SAINT LOUIS,63133-1737,"NORMANDY HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
01142,M,ALF,CEDAR KNOLL,13635 STATE ROUTE V,SAINT JAMES,65559-8331,PHELPS,SUSAN,STAPLES,,,32,No,TRUE,(573) 265-3658,5732653658,6,13635 STATE ROUTE V,SAINT JAMES,65559-8331,CEDAR KNOLL PARTNERSHIP,GENERAL PARTNERSHIP
01160,A,SNF,CEDARCREST MANOR,324 WEST 5TH ST,WASHINGTON,63090-2306,FRANKLIN,PAULA,HANSON,Medicare/Medicaid,265202,177,Yes,FALSE,(636) 239-7848,6363908334,6,324 WEST 5TH ST,WASHINGTON,63090-2306,"WASHINGTON N & R, LLC",LIMITED LIABILITY COMPANY
01170,A,SNF,BIG BEND WOODS HEALTHCARE CENTER,110 HIGHLAND AVE,VALLEY PARK,63088-1422,SAINT LOUIS COUNTY,MICHAEL,KLEISSLER,Medicare/Medicaid,265130,135,No,FALSE,(636) 225-5144,6362258427,7,110 HIGHLAND AVE,VALLEY PARK,63088-1422,"BBW MANAGEMENT GROUP, LLC",LIMITED LIABILITY COMPANY
01182,M,ALF,CEDARGATE HEALTHCARE,2350 KANELL BLVD,POPLAR BLUFF,63901-4036,BUTLER,SHERRIE,SMALL,,,16,No,FALSE,(573) 785-0188,5737857321,2,2350 KANELL BLVD,POPLAR BLUFF,63901-4036,"CEDARGATE HEALTHCARE GROUP, LLC",LIMITED LIABILITY COMPANY
01182,A,SNF,CEDARGATE HEALTHCARE,2350 KANELL BLVD,POPLAR BLUFF,63901-4036,BUTLER,SHERRIE,SMALL,Medicare/Medicaid,265205,108,No,FALSE,(573) 785-0188,5737857321,2,2350 KANELL BLVD,POPLAR BLUFF,63901-4036,"CEDARGATE HEALTHCARE GROUP, LLC",LIMITED LIABILITY COMPANY
01200,M,ALF,CENTURY PINES ASSISTED LIVING,709 EAST MCCRACKEN RD,OZARK,65721-9499,CHRISTIAN,JAMES L,EDWARDS,,,58,No,TRUE,(417) 581-7278,4175814461,1,709 EAST MCCRACKEN RD,OZARK,65721-9499,"RETIREMENT AT CENTURY PINES, INC",PROFIT CORPORATION
01200,N,ALF**,CENTURY PINES ASSISTED LIVING,709 EAST MCCRACKEN RD,OZARK,65721-9499,CHRISTIAN,JAMES L,EDWARDS,,,18,No,FALSE,(417) 581-7278,4175814461,1,709 EAST MCCRACKEN RD,OZARK,65721-9499,"RETIREMENT AT CENTURY PINES, INC",PROFIT CORPORATION
01238,A,SNF,OAKWOOD ESTATES NURSING & REHAB,5303 BERMUDA DR,NORMANDY,63121-1407,SAINT LOUIS COUNTY,ANDREA,IVY,Medicare/Medicaid,265719,115,Yes,FALSE,(314) 385-0910,3143857179,7,5303 BERMUDA DR,NORMANDY,63121-1407,"SIRO OP OAKWOOD, LLC",LIMITED LIABILITY COMPANY
01251,A,SNF,CHARLESTON MANOR,1220 EAST MARSHALL,CHARLESTON,63834-1349,MISSISSIPPI,JAMIE,STERLING,Medicare/Medicaid,265165,120,Yes,FALSE,(573) 683-3721,5736833029,2,1220 EAST MARSHALL,CHARLESTON,63834-1349,N & R OF CHARLESTON LLC,LIMITED LIABILITY COMPANY
01266,A,SNF,LEWIS & CLARK GARDENS,1221 BOONES LICK RD,SAINT CHARLES,63301-2328,SAINT CHARLES,DEAN,DAIGGER,Medicare/Medicaid,265160,142,No,FALSE,(636) 946-6140,6369462510,5,1221 BOONES LICK RD,SAINT CHARLES,63301-2328,"N & R OF ST CHARLES, LLC",LIMITED LIABILITY COMPANY
01290,A,SNF,HEART OF THE OZARKS HEALTHCARE CENTER,2004 CRESTVIEW ST,AVA,65608-8903,DOUGLAS,BRANDEE,CUTBIRTH,Medicare/Medicaid,265254,120,No,FALSE,(417) 683-4129,4176836025,1,PO BOX 727,AVA,65608-0727,"AVA NO. 1, INC",PROFIT CORPORATION
01302,A,SNF,COLONIAL SPRINGS HEALTHCARE CENTER,750 W COOPER ST,BUFFALO,65622-8662,DALLAS,JESSICA,ROGERS,Medicare/Medicaid,265245,134,Yes,FALSE,(417) 345-2228,4173458674,1,PO BOX 978,BUFFALO,65622-0978,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
01318,A,SNF,CLINTON HEALTHCARE AND REHABILITATION CENTER,1009 EAST OHIO,CLINTON,64735-2455,HENRY,ARYN,WALKER,Medicare/Medicaid,265255,120,No,FALSE,(660) 885-5571,6608856249,1,1009 EAST OHIO,CLINTON,64735-2455,"CLINTON NO. 1, INC",PROFIT CORPORATION
01339,A,SNF,ADAMS STREET-A STONEBRIDGE COMMUNITY,1024 ADAMS ST,JEFFERSON CITY,65101-3408,COLE,RUTH,VOLKART,Medicare/Medicaid,265810,120,No,FALSE,(573) 635-1320,5736343944,6,1024 ADAMS ST,JEFFERSON CITY,65101-3408,"ELDERCARE OF MID-MISSOURI X, INC",PROFIT CORPORATION
01346,A,SNF,TRUMAN HEALTHCARE & REHABILITATION CENTER,206 WEST FIRST ST,LAMAR,64759-1291,BARTON,LISA,SELVEY,Medicare/Medicaid,265253,123,Yes,FALSE,(417) 682-5718,4176810143,1,206 WEST FIRST ST,LAMAR,64759-1291,"LAMAR NO. 1, INC",PROFIT CORPORATION
01364,A,SNF,SHADY OAKS HEALTHCARE CENTER,335 BUSINESS ROUTE 63,THAYER,65791-1415,OREGON,LEIGH,KINCHELOE,Medicare/Medicaid,265246,120,No,FALSE,(417) 264-7256,4172643219,2,335 BUSINESS ROUTE 63,THAYER,65791-1415,"THAYER NO. 1, INC",PROFIT CORPORATION
01373,A,SNF,JOPLIN GARDENS,2810 SOUTH JACKSON AVE,JOPLIN,64804-2524,JASPER,MARDA,SAYLES,Medicare/Medicaid,265853,92,No,FALSE,(417) 572-0041,4175720050,1,2810 SOUTH JACKSON AVE,JOPLIN,64804-2524,"N & R OF JOPLIN, LLC",LIMITED LIABILITY COMPANY
