Facility ID,State Facility Type 2 Literal,Facility Name,Address,City,Zip Code,County,Capacity,Phone Number,Licensee,Ownership Type,Date Accessed,State Facility Type 1 Literal,State
709,D,"Boarding Inn, The",9444 MIDLAND BLVD,Overland,63114-3328,Saint Louis County,40,(314) 426-0091,"TED-LEA, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
726,D,Colonial House Of Festus I,500 SUNSHINE DR,Festus,63028-1645,Jefferson,30,(636) 937-7140,"COLONIAL HOUSE OF FESTUS I, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
910,C,Baisch Nursing Center,3260 BAISCH DR,De Soto,63020-5046,Jefferson,18,(636) 586-2291,"DESOTO INVESTMENT GROUP, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
920,D,Starcare,1606 SOUTH 38TH ST,Saint Joseph,64507-2216,Buchanan,18,(816) 390-8941,"STARCARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
1013,M,Candlelight Lodge Retirement Center,1406 BUSINESS LOOP 70 WEST,Columbia,65202-1324,Boone,37,(573) 449-5287,"WILCOX PROPERTIES OF COLUMBIA, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
1058,C,Carondelet Retirement Manor,6811 MICHIGAN,Saint Louis,63111-2834,Saint Louis City,33,(314) 353-9552,"MISSOURI RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
1061,C,Carriage Square Living & Rehab Center,4009 GENE FIELD RD,Saint Joseph,64506-1864,Buchanan,32,(816) 364-1526,"CARRIAGE SQUARE LIVING & REHAB CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
1142,M,Cedar Knoll,13635 STATE ROUTE V,Saint James,65559-8331,Phelps,32,(573) 265-3658,CEDAR KNOLL PARTNERSHIP,GENERAL PARTNERSHIP,6/29/21,ASSISTED LIVING FACILITY,MO
1182,M,Cedargate Healthcare,2350 KANELL BLVD,Poplar Bluff,63901-4036,Butler,16,(573) 785-0188,"CEDARGATE HEALTHCARE GROUP, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
1200,M,Century Pines Assisted Living,709 EAST MCCRACKEN RD,Ozark,65721-9499,Christian,58,(417) 581-7278,"RETIREMENT AT CENTURY PINES, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
1386,N,Chateau Girardeau,3120 INDEPENDENCE ST,Cape Girardeau,63703-5043,Cape Girardeau,55,(573) 335-1281,"CAPE RETIREMENT COMMUNITY, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
1426,C,Riverview Residential Place,1200 WEST HALL ST,Ozark,65721-9103,Christian,40,(417) 581-2510,"WILLOW HEALTH CARE, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
1480,C,Clark County Nursing Home,1260 N JOHNSON ST,Kahoka,63445-1100,Clark,22,(660) 727-3303,CLARK COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,RESIDENTIAL CARE FACILITY*,MO
1591,C,"Collier Care Home, Inc",3001 NW VESPER ST,Blue Springs,64015-3104,Jackson,15,(816) 229-6231,"COLLIER CARE HOME, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
1602,C,Lakeview Health Care & Rehabilitation Center,1450 ASHLEY RD,Boonville,65233-2141,Cooper,17,(660) 882-7007,"BOONVILLE #1, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
1610,N,"Colonial Home, The",102 SUMMIT ST,Doniphan,63935-1328,Ripley,31,(573) 996-4283,"RIPLEY COUNTY COLONIAL HOME, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
1693,C,Colonial Residential Care Facility Ii,1162 CEDAR ST,Bismarck,63624-8920,Saint Francois,48,(573) 734-2846,"COLONIAL RETIREMENT CENTER, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
1729,D,Columbia Street Residential Care Center Llc,208 WEST COLUMBIA ST,Farmington,63640-1705,Saint Francois,16,(573) 756-7481,"COLUMBIA STREET RESIDENTIAL CARE CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
1777,D,Converse Home,17025 OLD JAMESTOWN RD,Florissant,63034-1414,Saint Louis County,12,(314) 355-8041,"R & R RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
1852,C,Country Valley Home,15750 COUNTY RD 2430,Saint James,65559-8211,Phelps,23,(573) 265-8250,"HUTCHISON, MARY V",SOLE PROPRIETOR,6/29/21,RESIDENTIAL CARE FACILITY*,MO
1898,D,Crane Residential Care Home,102 LILLIAN,Crane,65633-9103,Stone,33,(417) 723-5900,"TD III, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
1901,D,Valley Residential Care,101 SOUTH KNOB ST,Ironton,63650-1501,Iron,12,(573) 546-3080,"SCENIC VIEW, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
1936,C,Crestview Home,1313 SOUTH 25TH ST,Bethany,64424-2634,Harrison,24,(660) 425-3128,"N & R OF CRESTVIEW, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
2160,D,Anna Dodson Home,4616 HIGHWAY D,Farmington,63640-7241,Saint Francois,17,(573) 756-5530,"ANNA DODSON HOME, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
2238,D,Premier Residential Care,109 EAST CROWDER RD,Trenton,64683-1802,Grundy,12,(660) 359-4292,"PREMIER RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
2256,C,Harris Residential Care Center Llc,401 SOUTH HENRY,Farmington,63640-1823,Saint Francois,37,(573) 756-5376,"HARRIS RESIDENTIAL CARE CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
2273,C,"Riverview, The",5500 SOUTH BROADWAY,Saint Louis,63111-2025,Saint Louis City,11,(314) 353-5900,"RIVERVIEW NURSING FACILITY, LLC THE",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
2389,C,"Wood Oaks, Inc",1804 SOUTH STERLING AVE,Independence,64052-3845,Jackson,30,(816) 254-5400,"WOOD OAKS, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
2491,D,"Heartland Residential Care Facility, Inc",1311 FRANCIS ST,Saint Joseph,64501-2318,Buchanan,20,(816) 233-5779,"HEARTLAND RESIDENTIAL CARE FACILITY, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
2526,M,"Ferndale, Inc",15677 COUNTY RD 2430,Saint James,65559-8210,Phelps,32,(573) 265-3344,"FERNDALE, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
2624,M,Four Seasons Assisted Living,230 RAILROAD ST,Moscow Mills,63362-1600,Lincoln,30,(636) 366-4231,FOUR SEASONS CARE CORP,PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
2624,D,Four Seasons Rcf I,220 RAILROAD ST,Moscow Mills,63362-1600,Lincoln,23,(636) 366-4231,FOUR SEASONS CARE CORP,PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
2649,N,Foxwood Springs Living Center,1500 WEST FOXWOOD DR,Raymore,64083-9347,Cass,62,(816) 331-3111,"CCRC OPCO-FOXWOOD SPRINGS, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
2662,C,Frederick Street Manor,429 NORTH FREDERICK ST,Cape Girardeau,63701-4834,Cape Girardeau,32,(573) 334-2662,"GLENDALE ASSISTED LIVING, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
2690,M,Stonebridge Hermann,1800 WEIN ST,Hermann,65041-1601,Gasconade,18,(573) 486-3155,"ELDERCARE OF MID-MISSOURI XIII, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
2703,N,Friendship Village Assisted Living & Memory Care,12777 POINTE DR,Saint Louis,63127-1757,Saint Louis County,78,(314) 270-7111,FRIENDSHIP VILLAGE OF SOUTH COUNTY,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
2715,N,Friendship Village Assisted Living & Memory Care,15250 VILLAGE VIEW DRIVE,Chesterfield,63017-,Saint Louis County,60,(636) 733-0199,FRIENDSHIP VILLAGE OF WEST COUNTY,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
2785,C,"Central Residence, The",5143 WATERMAN BLVD,Saint Louis,63108-1103,Saint Louis City,41,(314) 367-5620,"GARCIAS CENTRAL RESIDENCE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
2860,M,Steelville Senior Living,311 NORTH SPRING ST,Steelville,65565-5089,Crawford,21,(573) 775-5815,"STEELVILLE SENIOR LIVING, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
2937,D,Goggin Boarding Home Llc,620 COUNTY ROAD 40,Caledonia,63631-9133,Iron,12,(573) 697-5894,"GOGGIN BOARDING HOME, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
2984,C,Golden Estate Residential Care,1134 WEST NORTON RD,Springfield,65803-1070,Greene,31,(417) 833-4440,"MITCHELL'S CARE CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
3002,D,Portia'S Residential Care,307 NORTH BROADWAY,Poplar Bluff,63901-5103,Butler,20,(573) 686-3446,"PORTIA'S RCF, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
3051,C,Good Shepherd Residential Care Facility,200 WEST 12TH,Lockwood,65682-8337,Dade,20,(417) 232-4571,GOOD SHEPHERD NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,RESIDENTIAL CARE FACILITY*,MO
3229,M,"Big Prairie Assisted Living, Llc",411 NORTH KINGSHIGHWAY,Sikeston,63801-,Scott,66,(573) 471-5503,"BIG PRAIRIE ASSISTED LIVING, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
3315,D,Hill Crest Manor,801 SOUTH COLBY,Hamilton,64644-8287,Caldwell,24,(816) 583-2119,"HAMILTON #1, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
3331,C,"Hampton House Of Malden, Inc",201 NORTH DECATUR,Malden,63863-2017,Dunklin,22,(573) 276-6054,"HAMPTON HOUSE OF MALDEN, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
3411,C,Harvester Residential Care,35 LILLIAN DR,Saint Charles,63304-7032,Saint Charles,38,(636) 939-3833,"GERIATRIC CARE SOLUTIONS, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
3479,N,Heisinger Lutheran Home,1002 WEST MAIN ST,Jefferson City,65109-6901,Cole,111,(573) 636-6288,"COLE COUNTY LUTHERAN HOME ASSOCIATION, THE",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
3540,D,Sunshine Acres,541 ROCK ROAD,Bourbon,65441-6324,Crawford,20,(573) 732-5366,PATAKY ENTERPRISES LLC,LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
3572,M,"Hillcrest Residential Care, Inc",9415 NORTH BROWN STATION RD,Columbia,65202-8671,Boone,33,(573) 696-3201,"HILLCREST RESIDENTIAL CARE, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
3615,D,Hilltop Haven Residential Care Facility,18941 CR 305A,Eminence,65466-9702,Shannon,20,(573) 226-5426,"SKELTON, LACEY",SOLE PROPRIETOR,6/29/21,RESIDENTIAL CARE FACILITY,MO
3628,C,Maple Crest Manor,430 NORTH FREDERICK ST,Cape Girardeau,63701-4835,Cape Girardeau,48,(573) 334-2662,"GLENDALE ASSISTED LIVING, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
3678,C,Holly Hills Retirement Home,6421 MINNESOTA,Saint Louis,63111-2808,Saint Louis City,15,(314) 351-0767,"MISSOURI RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
3728,C,"Blessing Center, The",302  NORTH MAIN,Edina,63537-1353,Knox,51,(660) 397-2293,"HRW, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
3763,D,"Twin City Residential Care, Inc",#1 HOLDING LN,Crystal City,63019-1122,Jefferson,48,(636) 937-3851,"TWIN CITY RESIDENTIAL CARE, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
3833,C,Stonebridge Chillicothe,2601 FAIR ST,Chillicothe,64601-3525,Livingston,40,(660) 646-4123,"ELDERCARE OF MID-MISSOURI IX, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
3948,C,Maywood Manor,1041 WEST TRUMAN RD,Independence,64050-3447,Jackson,24,(816) 254-6789,"SMITH CARE RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
3957,N,Mason Pointe Care Center,13190 SOUTH OUTER 40 RD,Chesterfield,63017-5917,Saint Louis County,62,(314) 434-3300,LUTHERAN SENIOR SERVICES,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
3982,D,Jolet Home,3920 FOREST,Kansas City,64110-1220,Jackson,17,(816) 531-5308,"JOLET II, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
4078,D,Smiley Manor Llc,5415 THEKLA AVE,Saint Louis,63120-2513,Saint Louis City,20,(314) 932-1360,"SMILEY MANOR, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
4085,M,Landmark Villa Alf,1101 OZARK AVE,Cabool,65689-7362,Texas,44,(417) 962-3700,"KABUL NURSING HOMES, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
4146,C,"King'S Daughters Home, The",620 WEST BOULEVARD ST,Mexico,65265-2199,Audrain,12,(573) 581-1577,"MO BRANCH OF THE INTERNATIONAL ORDER OF THE KING'S DAUGHTERS & SONS, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
4152,N,Kingswood,10000 WORNALL RD,Kansas City,64114-4359,Jackson,67,(816) 942-0994,"KANSAS CITY UNITED METHODIST RETIREMENT HOME, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
4349,C,Lawrence County Residential Care Center,915 CARL ALLEN ST,Mt Vernon,65712-1612,Lawrence,30,(417) 466-2183,LAWRENCE COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,RESIDENTIAL CARE FACILITY*,MO
4529,C,Bolivar Manor House,404 EAST BROADWAY,Bolivar,65613-2019,Polk,20,(417) 326-7873,"MICHELE VINSON INVESTMENTS, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
4628,D,Granite House Rcf Llc,321 SOUTH MAIN ST,Ironton,63650-1406,Iron,60,(573) 546-7283,"GRANITE HOUSE RCF, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
4632,C,"Barnabas Home, The",1301 MONROE ST,Chillicothe,64601-1345,Livingston,64,(660) 646-5180,"BARNABAS OPERATIONS, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
4650,M,Kasey Paige Assisted Living,3715 JAMIESON AVE,Saint Louis,63109-1109,Saint Louis City,111,(314) 781-0222,"KASEY PAIGE ASSISTED LIVING, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
4739,C,Loch Haven,701 SUNSET HILLS DR,Macon,63552-2165,Macon,26,(660) 385-3113,MACON COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,RESIDENTIAL CARE FACILITY*,MO
4750,N,Lenoir Manor,3850 CARTWRIGHT LANE,Columbia,65201-,Boone,92,(573) 876-5800,LUTHERAN SENIOR SERVICES,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
4803,M,Lakeside Suites,205 TIMBERLINE DR,Lincoln,65338-2007,Benton,14,(660) 547-3322,LINCOLN COMMUNITY NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,ASSISTED LIVING FACILITY,MO
4907,D,"Maranatha Village, Inc",233 EAST NORTON RD,Springfield,65803-3633,Greene,29,(417) 833-0016,"MARANATHA VILLAGE, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
5035,D,Stoney Ridge Village,25023 BOTHWELL PARK RD,Sedalia,65301-0084,Pettis,81,(660) 827-3993,"SEDALIA HEALTH GROUP, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
5058,C,Marian Cliff Residential Care Center Llc,381 ELM ST,Saint Mary,63673-9330,Sainte Genevieve,66,(573) 543-2218,"MARIAN CLIFF RESIDENTIAL CARE CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
5117,C,Marymount Manor,313 AUGUSTINE RD,Eureka,63025-1935,Saint Louis County,100,(636) 938-6770,"MARYMOUNT MANOR, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
5130,M,Barnabas Acres,210 FRANKS LN,Cape Girardeau,63701-8439,Cape Girardeau,56,(573) 334-7679,BARNABAS #3 LLC,LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
5149,D,Maryville Chateau,1101 E 5TH STREET,Maryville,64468-1955,Nodaway,20,(660) 582-7447,"N & R OF  MARYVILLE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
5170,D,Mcdonald Boarding Home,438 NORTH 17TH ST,Saint Joseph,64501-2015,Buchanan,9,(816) 233-7060,"MCDONALD, DENNIS D",SOLE PROPRIETOR,6/29/21,RESIDENTIAL CARE FACILITY,MO
5212,D,"Allways Kare Residential Facility, Inc",5076 WATERMAN,Saint Louis,63108-1102,Saint Louis City,20,(314) 367-9516,"ALLWAYS KARE RESIDENTIAL FACILITY, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
5326,N,Meyer Care Center,1201 WEST 19TH ST,Higginsville,64037-1458,Lafayette,39,(660) 584-4224,GEORGE J & HILDA MEYER FOUNDATION,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
5397,M,Troy Manor,200 THOMPSON DR,Troy,63379-2308,Lincoln,20,(636) 528-8446,"N & R OF TROY, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
5445,D,Jefferson Manor Cape Girardeau Llc,902 JEFFERSON AVE,Cape Girardeau,63703-6755,Cape Girardeau,10,(573) 651-1373,"ARMOUR, SHARON",SOLE PROPRIETOR,6/29/21,RESIDENTIAL CARE FACILITY,MO
5450,C,Mockingbird Manor Residential Care,227 W FRANKLIN,Liberty,64068-1641,Clay,16,(816) 781-8058,"MIDWESTERN MEDICAL CONSULTANTS, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
5511,N,"Parkside Manor, Llc",300 S SAINT CHARLES ST,Bowling Green,63334-2221,Pike,40,(573) 324-9918,"PARKSIDE MANOR, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
5557,M,Morningside Center Assisted Living Apartments,1702 MORNINGSIDE DR,Chillicothe,64601-1545,Livingston,31,(660) 646-0170,LIVINGSTON COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,ASSISTED LIVING FACILITY,MO
5586,N,Assisted Living At Charless Village,5943 TELEGRAPH RD,Saint Louis,63129-4715,Saint Louis County,18,(314) 846-2002,"BETHESDA LONG TERM CARE, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
5723,C,St Andrew'S At New Florence,515 PICNIC ST,New Florence,63363-2223,Montgomery,33,(573) 415-9333,"NEW FLORENCE NURSING HOME, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
5738,M,New Haven Care Center,9503 HIGHWAY 100,New Haven,63068-1300,Franklin,16,(573) 237-2103,"NEW HAVEN CARE CENTER, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
5832,N,"Pine View Manor, Inc",307 NORTH PINEVIEW ST,Stanberry,64489-1509,Gentry,12,(660) 783-2118,"PINE VIEW MANOR, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
5948,D,West Pine Group Home,4232 WEST PINE BLVD,Saint Louis,63108-2840,Saint Louis City,9,(314) 531-9450,"PLACES FOR PEOPLE, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
5970,C,Lakeside Manor,810 KENNEDY DRIVE,Warsaw,65355-3044,Benton,35,(660) 438-8850,HEART CORE LLC,LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
6076,D,Thomas Residential Care Facility Iii,1415 OLIVE ST,Saint Joseph,64503-2443,Buchanan,20,(816) 676-0390,"TAS CARE, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
6153,C,Our Lady Of Mercy Country Home,2160 MERCY DR,Liberty,64068-7955,Clay,44,(816) 781-5711,OUR LADY OF MERCY COUNTRY HOME,NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
6181,M,Farmington Presbyterian Manor,500 CAYCE ST,Farmington,63640-2910,Saint Francois,60,(573) 756-6768,"PRESBYTERIAN MANORS, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
6229,D,"Jacobs Care Center, Llc",932 WEST STATE,Springfield,65806-2846,Greene,12,(417) 865-6140,"JACOBS CARE CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
6232,D,Lakeside Mountain Manor,238 HARMONY HEIGHTS,Forsyth,65653-5533,Taney,40,(417) 546-5595,"LAKESIDE MOUNTAIN MANOR, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
6273,D,"Ozarks Methodist Manor, The",205 SOUTH COLLEGE,Marionville,65705-9340,Lawrence,76,(417) 258-2573,OZARKS METHODIST MANOR (THE),NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
6291,C,Parkwood Manor,325 NORTH SPRIGG ST,Cape Girardeau,63701-5531,Cape Girardeau,20,(573) 334-7011,SHALIMAR CORPORATION,PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
6316,N,"Windsor Estates Of St Charles Snal, Llc",2150 WEST RANDOLPH ST,Saint Charles,63301-0894,Saint Charles,90,(636) 946-4966,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
6353,D,"Patricia'S Residential Care Facility, Inc",510 EAST 2ND STREET,Annapolis,63620-9104,Iron,12,(573) 598-4202,"PATRICIA'S RESIDENTIAL CARE FACILITY, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
6393,C,Independence Court,121 INDEPENDENCE DR,Perryville,63775-1496,Perry,75,(573) 547-1499,"INDEPENDENCE HEALTH SYSTEM, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
6527,D,Sunny Meadows Living Center,419 NORTH PROSPECT AVE,Sedalia,65301-2729,Pettis,12,(660) 826-5353,"FISHER, DAVID H & BARBARA C",GENERAL PARTNERSHIP,6/29/21,RESIDENTIAL CARE FACILITY,MO
6579,C,Watts Street Manor,301 WATTS ST,Park Hills,63601-1839,Saint Francois,16,(573) 431-4874,"LBENHOLDINGS, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
