Facility ID,Level of Care Code,Level of Care,Facility Name,Address,City,Zip Code,County,Capacity,Phone Number,Licensee,Ownership Type
234,A,SNF,AURORA NURSING CENTER,1700 SOUTH HUDSON AVE,AURORA,65605-2717,LAWRENCE,125,(417) 678-2165,"COMMUNITY CARE CENTER OF AURORA, INC",PROFIT CORPORATION
244,A,SNF,AVALON GARDEN,4359 TAFT AVE,SAINT LOUIS,63116-1533,SAINT LOUIS CITY,77,(314) 752-2022,"JPAM MANAGEMENT & CONSULTING, INC",PROFIT CORPORATION
256,D,RCF,BAILEY STREET RESIDENTIAL CARE I,102 BAILEY ST,FARMINGTON,63640-1819,SAINT FRANCOIS,12,(573) 756-6374,"FRANKS, DEBORAH K",SOLE PROPRIETOR
274,M,ALF,"BAPTIST HOME, THE",101 RIGGS-SCOTT LN,IRONTON,63650-4338,IRON,56,(573) 546-7429,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION
274,B,ICF,"BAPTIST HOME, THE",101 RIGGS-SCOTT LN,IRONTON,63650-4338,IRON,53,(573) 546-7429,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION
274,A,SNF,"BAPTIST HOME, THE",101 RIGGS-SCOTT LN,IRONTON,63650-4338,IRON,3,(573) 546-7429,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION
329,C,RCF*,BEACON HILL RESIDENTIAL CARE,2905 CAMPBELL,KANSAS CITY,64109-1417,JACKSON,37,(816) 531-6168,"JOLET II, INC",NOT FOR PROFIT CORPORATION
342,A,SNF,BEAUTIFUL SAVIOR HOME,1003 SOUTH CEDAR ST,BELTON,64012-3703,CASS,126,(816) 331-0781,BEAUTIFUL SAVIOR HOME,NOT FOR PROFIT CORPORATION
342,M,ALF,BEAUTIFUL SAVIOR HOME,1003 SOUTH CEDAR ST,BELTON,64012-3703,CASS,55,(816) 331-0781,BEAUTIFUL SAVIOR HOME,NOT FOR PROFIT CORPORATION
382,A,SNF,BELLEVIEW VALLEY NURSING HOME,23144 HIGHWAY 32,BELLEVIEW,63623-6346,IRON,122,(573) 697-5311,"BELLEVIEW INVESTMENT GROUP, LLC",LIMITED LIABILITY COMPANY
411,A,SNF,HERITAGE CARE CENTER,4401 NORTH HANLEY RD,SAINT LOUIS,63134-2710,SAINT LOUIS COUNTY,120,(314) 521-7471,"HERITAGE CARE CENTER OF BERKELEY, LLC",LIMITED LIABILITY COMPANY
436,A,SNF,BERNARD CARE CENTER,4335 WEST PINE BLVD,SAINT LOUIS,63108-2205,SAINT LOUIS CITY,141,(314) 371-0200,"BERNARD CARE CENTER, LLC",LIMITED LIABILITY COMPANY
440,A,SNF,BERTRAND NURSING AND REHAB CENTER,603 WEST HIGHWAY 62,BERTRAND,63823-9738,MISSISSIPPI,60,(573) 683-4290,BERTRAND NURSING AND REHAB CENTER LLC,LIMITED LIABILITY COMPANY
469,A,SNF,BETH HAVEN NURSING HOME,2500 PLEASANT ST,HANNIBAL,63401-2600,MARION,105,(573) 221-6000,"MENNONITE HOME ASSOCIATION, INC",NOT FOR PROFIT CORPORATION
494,A,SNF,TARKIO REHABILITATION & HEALTH CARE,300 CEDAR ST,TARKIO,64491-1174,ATCHISON,95,(660) 736-4116,"TARKIO HCO, LLC",LIMITED LIABILITY COMPANY
508,A,SNF,BETHESDA DILWORTH,9645 BIG BEND BLVD,SAINT LOUIS,63122-6521,SAINT LOUIS COUNTY,400,(314) 968-5460,"BETHESDA LONG TERM CARE, INC",NOT FOR PROFIT CORPORATION
526,A,SNF,ST JOSEPH SENIOR LIVING,1317 NORTH 36TH ST,SAINT JOSEPH,64506-2359,BUCHANAN,110,(816) 676-1630,"ST JOSEPH SENIOR LIVING, LLC",LIMITED LIABILITY COMPANY
546,C,RCF*,BIG BEND RETREAT,620 NORTH EMMERSON,SLATER,65349-1157,SALINE,10,(660) 529-2237,"BIG BEND RETREAT, INC",PROFIT CORPORATION
546,B,ICF,BIG BEND RETREAT,620 NORTH EMMERSON,SLATER,65349-1157,SALINE,60,(660) 529-2237,"BIG BEND RETREAT, INC",PROFIT CORPORATION
560,A,SNF,ROCK POINT NURSING CENTER,8477 NORTH STREET,BIRCH TREE,65438-8887,SHANNON,86,(573) 292-3212,ROCK POINT NURSING CENTER LLC,LIMITED LIABILITY COMPANY
592,B,ICF,"MARY CULVER HOME, THE",221 WEST WASHINGTON AVE,KIRKWOOD,63122-3916,SAINT LOUIS COUNTY,28,(314) 966-6034,MARY CULVER HOME (THE),NOT FOR PROFIT CORPORATION
629,A,SNF,BLOOMFIELD LIVING CENTER,606 WEST MISSOURI ST,BLOOMFIELD,63825-9706,STODDARD,60,(573) 568-2137,"N & R OF BLOOMFIELD, LLC",LIMITED LIABILITY COMPANY
633,D,RCF,GEORGIA BROWN BLOSSER HOME FOR THE AGED,1210 EAST EASTWOOD ST,MARSHALL,65340-1510,SALINE,11,(660) 886-5020,GEORGIA BROWN BLOSSER HOME FOR THE AGED,NOT FOR PROFIT CORPORATION
677,A,SNF,SHANGRI-LA REHAB & LIVING CENTER,930 NORTH EAST DUNCAN RD,BLUE SPRINGS,64014-2173,JACKSON,120,(816) 229-6677,"SHANGRI LA HCO, LLC",LIMITED LIABILITY COMPANY
683,A,SNF,"MANOR, THE",2071 BARRON RD,POPLAR BLUFF,63901-1903,BUTLER,90,(573) 686-1147,"POPLAR BLUFF NO 1, INC",PROFIT CORPORATION
709,D,RCF,"BOARDING INN, THE",9444 MIDLAND BLVD,OVERLAND,63114-3328,SAINT LOUIS COUNTY,40,(314) 426-0091,"TED-LEA, INC",PROFIT CORPORATION
710,A,SNF,CITIZENS MEMORIAL HEALTH CARE FACILITY,1218 W LOCUST ST,BOLIVAR,65613-1312,POLK,111,(417) 326-7648,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
726,D,RCF,COLONIAL HOUSE OF FESTUS I,500 SUNSHINE DR,FESTUS,63028-1645,JEFFERSON,30,(636) 937-7140,"COLONIAL HOUSE OF FESTUS I, LLC",LIMITED LIABILITY COMPANY
754,A,SNF,"BLUFFS, THE",3105 BLUFF CREEK DR,COLUMBIA,65201-3529,BOONE,132,(573) 442-6060,BOONE COUNTY SENIOR CITIZEN SERVICES CORPORATION,NOT FOR PROFIT CORPORATION
768,A,SNF,AUTUMN TERRACE HEALTH & REHABILITATION,6124 RAYTOWN RD,RAYTOWN,64133-4007,JACKSON,154,(816) 358-8222,"SRZ OP AUTUMN, LLC",LIMITED LIABILITY COMPANY
822,A,SNF,LIFE CARE CENTER OF BROOKFIELD,315 HUNT ST,BROOKFIELD,64628-2412,LINN,120,(660) 258-3367,"BROOKFIELD MEDICAL INVESTORS, LLC",LIMITED LIABILITY COMPANY
836,A,SNF,FOUR SEASONS LIVING CENTER,2800 HIGHWAY TT,SEDALIA,65301-1410,PETTIS,239,(660) 826-8803,"FOUR SEASONS LIVING CENTER, LLC",LIMITED LIABILITY COMPANY
855,A,SNF,STONEBRIDGE MARYLAND HEIGHTS,2963 DODDRIDGE AVE,MARYLAND HEIGHTS,63043-1736,SAINT LOUIS COUNTY,223,(314) 291-4557,"BROOK VIEW NURSING HOME, INC",PROFIT CORPORATION
910,C,RCF*,BAISCH NURSING CENTER,3260 BAISCH DR,DE SOTO,63020-5046,JEFFERSON,18,(636) 586-2291,"DESOTO INVESTMENT GROUP, LLC",LIMITED LIABILITY COMPANY
910,A,SNF,BAISCH NURSING CENTER,3260 BAISCH DR,DE SOTO,63020-5046,JEFFERSON,61,(636) 586-2291,"DESOTO INVESTMENT GROUP, LLC",LIMITED LIABILITY COMPANY
920,D,RCF,STARCARE,1606 SOUTH 38TH ST,SAINT JOSEPH,64507-2216,BUCHANAN,18,(816) 390-8941,"STARCARE, LLC",LIMITED LIABILITY COMPANY
954,A,SNF,BENTONVIEW PARK HEALTH & REHABILITATION,410 WEST BENTON ST,MONETT,65708-1608,BARRY,120,(417) 235-6031,"SRZ OP BENTONVIEW, LLC",LIMITED LIABILITY COMPANY
968,A,SNF,MEADOW VIEW OF HARRISONVILLE HEALTH & REHABILITATION,2203 EAST MECHANIC ST,HARRISONVILLE,64701-2060,CASS,120,(816) 380-2622,SRZ OP MEADOW VIEW LLC,LIMITED LIABILITY COMPANY
978,A,SNF,CAMELOT NURSING AND REHABILITATION CENTER,705 GRAND CANYON DR,FARMINGTON,63640-2161,SAINT FRANCOIS,97,(573) 756-8911,"OPCO FARMINGTON, MO, LLC",LIMITED LIABILITY COMPANY
983,A,SNF,REDWOOD OF CAMERON,801 EUCLID AVE,CAMERON,64429-2003,CLINTON,120,(816) 632-7254,"NURSING & REHAB AT CAMERON, LLC",LIMITED LIABILITY COMPANY
1013,M,ALF,CANDLELIGHT LODGE RETIREMENT CENTER,1406 BUSINESS LOOP 70 WEST,COLUMBIA,65202-1324,BOONE,37,(573) 449-5287,"WILCOX PROPERTIES OF COLUMBIA, LLC",LIMITED LIABILITY COMPANY
1013,N,ALF**,CANDLELIGHT LODGE RETIREMENT CENTER,1406 BUSINESS LOOP 70 WEST,COLUMBIA,65202-1324,BOONE,75,(573) 449-5287,"WILCOX PROPERTIES OF COLUMBIA, LLC",LIMITED LIABILITY COMPANY
1023,A,SNF,HEARTLAND CARE AND REHABILITATION CENTER,2525 BOUTIN DR,CAPE GIRARDEAU,63701-8551,CAPE GIRARDEAU,102,(573) 334-5225,"CAPE GIRARDEAU #1, INC",PROFIT CORPORATION
1032,A,SNF,LIFE CARE CENTER OF CAPE GIRARDEAU,365 SOUTH BROADVIEW ST,CAPE GIRARDEAU,63703-5725,CAPE GIRARDEAU,120,(573) 335-2086,"CAPE GIRARDEAU OPERATIONS, LLC",LIMITED LIABILITY COMPANY
1058,C,RCF*,CARONDELET RETIREMENT MANOR,6811 MICHIGAN,SAINT LOUIS,63111-2834,SAINT LOUIS CITY,33,(314) 353-9552,"MISSOURI RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY
1061,C,RCF*,CARRIAGE SQUARE LIVING & REHAB CENTER,4009 GENE FIELD RD,SAINT JOSEPH,64506-1864,BUCHANAN,32,(816) 364-1526,"CARRIAGE SQUARE LIVING & REHAB CENTER, LLC",LIMITED LIABILITY COMPANY
1061,A,SNF,CARRIAGE SQUARE LIVING & REHAB CENTER,4009 GENE FIELD RD,SAINT JOSEPH,64506-1864,BUCHANAN,130,(816) 364-1526,"CARRIAGE SQUARE LIVING & REHAB CENTER, LLC",LIMITED LIABILITY COMPANY
1081,A,SNF,SOUTHGATE LIVING CENTER,500 TRUMAN BLVD,CARUTHERSVILLE,63830-1261,PEMISCOT,94,(573) 333-5150,"CARUTHERSVILLE NO 1, INC",PROFIT CORPORATION
1097,A,SNF,CASSVILLE HEALTH CENTER FOR REHAB AND HEALTHCARE,1300 COUNTY FARM RD,CASSVILLE,65625-1726,BARRY,60,(417) 847-3386,"CASSVILLE OPCO, LLC",LIMITED LIABILITY COMPANY
1118,A,SNF,NORMANDY NURSING CENTER,7301 SAINT CHARLES ROCK RD,SAINT LOUIS,63133-1737,SAINT LOUIS COUNTY,116,(314) 862-0555,"NORMANDY HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
1142,M,ALF,CEDAR KNOLL,13635 STATE ROUTE V,SAINT JAMES,65559-8331,PHELPS,32,(573) 265-3658,CEDAR KNOLL PARTNERSHIP,GENERAL PARTNERSHIP
1160,A,SNF,CEDARCREST MANOR,324 WEST 5TH ST,WASHINGTON,63090-2306,FRANKLIN,177,(636) 239-7848,"WASHINGTON N & R, LLC",LIMITED LIABILITY COMPANY
1170,A,SNF,BIG BEND WOODS HEALTHCARE CENTER,110 HIGHLAND AVE,VALLEY PARK,63088-1422,SAINT LOUIS COUNTY,135,(636) 225-5144,"BBW MANAGEMENT GROUP, LLC",LIMITED LIABILITY COMPANY
1182,M,ALF,CEDARGATE HEALTHCARE,2350 KANELL BLVD,POPLAR BLUFF,63901-4036,BUTLER,16,(573) 785-0188,"CEDARGATE HEALTHCARE GROUP, LLC",LIMITED LIABILITY COMPANY
1182,A,SNF,CEDARGATE HEALTHCARE,2350 KANELL BLVD,POPLAR BLUFF,63901-4036,BUTLER,108,(573) 785-0188,"CEDARGATE HEALTHCARE GROUP, LLC",LIMITED LIABILITY COMPANY
1200,M,ALF,CENTURY PINES ASSISTED LIVING,709 EAST MCCRACKEN RD,OZARK,65721-9499,CHRISTIAN,58,(417) 581-7278,"RETIREMENT AT CENTURY PINES, INC",PROFIT CORPORATION
1200,N,ALF**,CENTURY PINES ASSISTED LIVING,709 EAST MCCRACKEN RD,OZARK,65721-9499,CHRISTIAN,18,(417) 581-7278,"RETIREMENT AT CENTURY PINES, INC",PROFIT CORPORATION
1238,A,SNF,OAKWOOD ESTATES NURSING & REHAB,5303 BERMUDA DR,NORMANDY,63121-1407,SAINT LOUIS COUNTY,115,(314) 385-0910,"SIRO OP OAKWOOD, LLC",LIMITED LIABILITY COMPANY
1251,A,SNF,CHARLESTON MANOR,1220 EAST MARSHALL,CHARLESTON,63834-1349,MISSISSIPPI,120,(573) 683-3721,N & R OF CHARLESTON LLC,LIMITED LIABILITY COMPANY
1266,A,SNF,LEWIS & CLARK GARDENS,1221 BOONES LICK RD,SAINT CHARLES,63301-2328,SAINT CHARLES,142,(636) 946-6140,"N & R OF ST CHARLES, LLC",LIMITED LIABILITY COMPANY
1290,A,SNF,HEART OF THE OZARKS HEALTHCARE CENTER,2004 CRESTVIEW ST,AVA,65608-8903,DOUGLAS,120,(417) 683-4129,"AVA NO. 1, INC",PROFIT CORPORATION
1302,A,SNF,COLONIAL SPRINGS HEALTHCARE CENTER,750 W COOPER ST,BUFFALO,65622-8662,DALLAS,134,(417) 345-2228,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
1318,A,SNF,CLINTON HEALTHCARE AND REHABILITATION CENTER,1009 EAST OHIO,CLINTON,64735-2455,HENRY,120,(660) 885-5571,"CLINTON NO. 1, INC",PROFIT CORPORATION
1339,A,SNF,ADAMS STREET-A STONEBRIDGE COMMUNITY,1024 ADAMS ST,JEFFERSON CITY,65101-3408,COLE,120,(573) 635-1320,"ELDERCARE OF MID-MISSOURI X, INC",PROFIT CORPORATION
1346,A,SNF,TRUMAN HEALTHCARE & REHABILITATION CENTER,206 WEST FIRST ST,LAMAR,64759-1291,BARTON,123,(417) 682-5718,"LAMAR NO. 1, INC",PROFIT CORPORATION
1364,A,SNF,SHADY OAKS HEALTHCARE CENTER,335 BUSINESS ROUTE 63,THAYER,65791-1415,OREGON,120,(417) 264-7256,"THAYER NO. 1, INC",PROFIT CORPORATION
1373,A,SNF,JOPLIN GARDENS,2810 SOUTH JACKSON AVE,JOPLIN,64804-2524,JASPER,92,(417) 572-0041,"N & R OF JOPLIN, LLC",LIMITED LIABILITY COMPANY
1386,N,ALF**,CHATEAU GIRARDEAU,3120 INDEPENDENCE ST,CAPE GIRARDEAU,63703-5043,CAPE GIRARDEAU,55,(573) 335-1281,"CAPE RETIREMENT COMMUNITY, INC",NOT FOR PROFIT CORPORATION
1386,A,SNF,CHATEAU GIRARDEAU,3120 INDEPENDENCE ST,CAPE GIRARDEAU,63703-5043,CAPE GIRARDEAU,75,(573) 335-1281,"CAPE RETIREMENT COMMUNITY, INC",NOT FOR PROFIT CORPORATION
1426,A,SNF,OZARK RIVERVIEW MANOR,1200 WEST HALL ST,OZARK,65721-9103,CHRISTIAN,90,(417) 581-6025,"WILLOW HEALTH CARE, INC",NOT FOR PROFIT CORPORATION
1426,C,RCF*,RIVERVIEW RESIDENTIAL PLACE,1200 WEST HALL ST,OZARK,65721-9103,CHRISTIAN,40,(417) 581-2510,"WILLOW HEALTH CARE, INC",NOT FOR PROFIT CORPORATION
1463,A,SNF,ABBEY WOODS CENTER FOR REHABILITATION AND HEALING,5026 FARAON ST,SAINT JOSEPH,64506-3375,BUCHANAN,100,(816) 279-1591,"ABBEY WOODS OPERATIONS, LLC",LIMITED LIABILITY COMPANY
1475,A,SNF,CLARENCE CARE CENTER,111 EAST ST,CLARENCE,63437-1902,SHELBY,60,(660) 699-2118,CLARENCE NURSING HOME DISTRICT,NURSING HOME DISTRICT
1480,A,SNF,CLARK COUNTY NURSING HOME,1260 N JOHNSON ST,KAHOKA,63445-1100,CLARK,103,(660) 727-3303,CLARK COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
1480,C,RCF*,CLARK COUNTY NURSING HOME,1260 N JOHNSON ST,KAHOKA,63445-1100,CLARK,22,(660) 727-3303,CLARK COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
1496,A,SNF,CLARK'S MOUNTAIN NURSING CENTER,2100 BARNES,PIEDMONT,63957-1008,WAYNE,91,(573) 223-4297,"AMERICARE AT CLARK'S MOUNTAIN NURSING CENTER, LLC",LIMITED LIABILITY COMPANY
1508,A,SNF,TOWN AND COUNTRY HEALTH &  REHAB,13995 CLAYTON RD,TOWN AND COUNTRY,63017-8400,SAINT LOUIS COUNTY,282,(636) 227-5070,"TANDC OP, LLC",LIMITED LIABILITY COMPANY
1515,A,SNF,DELMAR GARDENS ON THE GREEN,15197 CLAYTON RD,CHESTERFIELD,63017-7048,SAINT LOUIS COUNTY,180,(636) 394-7515,"DELMAR GARDENS ON THE GREEN OPERATING, LLC",LIMITED LIABILITY COMPANY
1521,A,SNF,FRONTIER HEALTH & REHABILITATION,2840 WEST CLAY ST,SAINT CHARLES,63301-2536,SAINT CHARLES,180,(636) 946-6100,"SRZ OP FRONTIER, LLC",LIMITED LIABILITY COMPANY
1532,A,SNF,"RIVERSIDE NURSING & REHABILITATION CENTER, LLC",4700 NW CLIFFVIEW DR,RIVERSIDE,64150-1237,PLATTE,180,(816) 741-5105,"RIVERSIDE NURSING AND REHABILITATION CENTER, LLC",LIMITED LIABILITY COMPANY
1591,C,RCF*,"COLLIER CARE HOME, INC",3001 NW VESPER ST,BLUE SPRINGS,64015-3104,JACKSON,15,(816) 229-6231,"COLLIER CARE HOME, INC",PROFIT CORPORATION
1602,A,SNF,LAKEVIEW HEALTH CARE & REHABILITATION CENTER,1450 ASHLEY RD,BOONVILLE,65233-2141,COOPER,60,(660) 882-7007,"BOONVILLE #1, INC",PROFIT CORPORATION
1602,B,ICF,LAKEVIEW HEALTH CARE & REHABILITATION CENTER,1450 ASHLEY RD,BOONVILLE,65233-2141,COOPER,19,(660) 882-7007,"BOONVILLE #1, INC",PROFIT CORPORATION
1602,C,RCF*,LAKEVIEW HEALTH CARE & REHABILITATION CENTER,1450 ASHLEY RD,BOONVILLE,65233-2141,COOPER,17,(660) 882-7007,"BOONVILLE #1, INC",PROFIT CORPORATION
1610,N,ALF**,"COLONIAL HOME, THE",102 SUMMIT ST,DONIPHAN,63935-1328,RIPLEY,31,(573) 996-4283,"RIPLEY COUNTY COLONIAL HOME, INC",PROFIT CORPORATION
1637,A,SNF,APPLETON CITY MANOR,600 NORTH OHIO ST,APPLETON CITY,64724-1609,SAINT CLAIR,60,(660) 476-2128,"APPLETON CITY MANOR, LLC",LIMITED LIABILITY COMPANY
1659,A,SNF,GLASGOW GARDENS,100 AUDSLEY DR,GLASGOW,65254-9537,HOWARD,59,(660) 338-2297,"N & R OF GLASGOW, LLC",LIMITED LIABILITY COMPANY
1693,C,RCF*,COLONIAL RESIDENTIAL CARE FACILITY II,1162 CEDAR ST,BISMARCK,63624-8920,SAINT FRANCOIS,48,(573) 734-2846,"COLONIAL RETIREMENT CENTER, INC",PROFIT CORPORATION
1706,A,SNF,"VILLA AT BLUE RIDGE, THE",701 BLUE RIDGE ROAD,COLUMBIA,65201-3734,BOONE,97,(573) 474-6111,"N & R OF NORTH COLUMBIA, LLC",LIMITED LIABILITY COMPANY
1715,A,SNF,COLUMBIA MANOR CARE CENTER,2012 NIFONG BLVD,COLUMBIA,65201-3874,BOONE,52,(573) 449-1246,"COLUMBIA MANOR, INC",PROFIT CORPORATION
1729,D,RCF,COLUMBIA STREET RESIDENTIAL CARE CENTER LLC,208 WEST COLUMBIA ST,FARMINGTON,63640-1705,SAINT FRANCOIS,16,(573) 756-7481,"COLUMBIA STREET RESIDENTIAL CARE CENTER, LLC",LIMITED LIABILITY COMPANY
1732,A,SNF,"COMMUNITY CARE CENTER OF LEMAY, INC",9353 SOUTH BROADWAY,SAINT LOUIS,63125-1600,SAINT LOUIS COUNTY,60,(314) 631-0540,"COMMUNITY CARE CENTER OF LEMAY, INC",PROFIT CORPORATION
1740,A,SNF,COMMUNITY SPRINGS HEALTHCARE FACILITY,400 EAST HOSPITAL RD,EL DORADO SPRINGS,64744-2024,CEDAR,120,(417) 876-2531,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
1777,D,RCF,CONVERSE HOME,17025 OLD JAMESTOWN RD,FLORISSANT,63034-1414,SAINT LOUIS COUNTY,12,(314) 355-8041,"R & R RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY
1800,A,SNF,CORI MANOR HEALTHCARE & REHABILITATION CENTER,560 CORISANDE HILLS RD,FENTON,63026-5613,JEFFERSON,144,(636) 343-2282,"CORI MANOR HEALTHCARE & REHABILITATION CENTER, LLC",LIMITED LIABILITY COMPANY
1830,A,SNF,DELMAR GARDENS OF CREVE COEUR,850 COUNTRY MANOR LN,CREVE COEUR,63141-6651,SAINT LOUIS COUNTY,148,(314) 434-5900,"DELMAR GARDENS OF CREVE COEUR OPERATING, LLC",LIMITED LIABILITY COMPANY
1852,C,RCF*,COUNTRY VALLEY HOME,15750 COUNTY RD 2430,SAINT JAMES,65559-8211,PHELPS,23,(573) 265-8250,"HUTCHISON, MARY V",SOLE PROPRIETOR
1865,A,SNF,"JEFFERSON CITY NURSING AND REHABILITATION CENTER, LLC",1221 SOUTHGATE LN,JEFFERSON CITY,65109-2465,COLE,120,(573) 635-3131,"JEFFERSON CITY NURSING AND REHABILITATION CENTER, LLC",LIMITED LIABILITY COMPANY
1898,D,RCF,CRANE RESIDENTIAL CARE HOME,102 LILLIAN,CRANE,65633-9103,STONE,33,(417) 723-5900,"TD III, INC",PROFIT CORPORATION
1901,D,RCF,VALLEY RESIDENTIAL CARE,101 SOUTH KNOB ST,IRONTON,63650-1501,IRON,12,(573) 546-3080,"SCENIC VIEW, LLC",LIMITED LIABILITY COMPANY
1936,A,SNF,CRESTVIEW HOME,1313 SOUTH 25TH ST,BETHANY,64424-2634,HARRISON,92,(660) 425-3128,"N & R OF CRESTVIEW, LLC",LIMITED LIABILITY COMPANY
1936,C,RCF*,CRESTVIEW HOME,1313 SOUTH 25TH ST,BETHANY,64424-2634,HARRISON,24,(660) 425-3128,"N & R OF CRESTVIEW, LLC",LIMITED LIABILITY COMPANY
1961,A,SNF,ASHTON COURT CARE AND REHABILITATION CENTRE,1200 WEST COLLEGE ST,LIBERTY,64068-1036,CLAY,140,(816) 781-3020,"SRZ OP ASHTON, LLC",LIMITED LIABILITY COMPANY
2006,A,SNF,DADE COUNTY NURSING HOME DISTRICT,400 BROAD ST,GREENFIELD,65661-1405,DADE,114,(417) 637-5315,DADE COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
2032,A,SNF,DAVIESS COUNTY NURSING AND REHABILITATION,1337 WEST GRAND,GALLATIN,64640-8320,DAVIESS,97,(660) 663-2197,OSBY CORPORATION,PROFIT CORPORATION
2089,A,SNF,DELHAVEN MANOR,5460 DELMAR BLVD,SAINT LOUIS,63112-3104,SAINT LOUIS CITY,156,(314) 361-2902,"DELHAVEN MANOR NO. 2, INC",PROFIT CORPORATION
2100,A,SNF,ACKERT PARK SKILLED NURSING & REHABILITATION CENTER,894 LELAND AVE,UNIVERSITY CITY,63130-3239,SAINT LOUIS COUNTY,130,(314) 726-4767,"JPAM CONSULTING, INC",PROFIT CORPORATION
2111,A,SNF,DELMAR GARDENS OF CHESTERFIELD,14855 NORTH OUTER 40 RD,CHESTERFIELD,63017-2026,SAINT LOUIS COUNTY,237,(636) 532-0150,"DELMAR GARDENS OF CHESTERFIELD OPERATING, LLC",LIMITED LIABILITY COMPANY
2120,A,SNF,DELMAR GARDENS WEST,13550 SOUTH OUTER 40 RD,TOWN AND COUNTRY,63017-5812,SAINT LOUIS COUNTY,321,(314) 878-1330,"DELMAR GARDENS WEST OPERATING, LLC",LIMITED LIABILITY COMPANY
2143,A,SNF,"NHC HEALTHCARE, DESLOGE",801 BRIM ST,DESLOGE,63601-3441,SAINT FRANCOIS,120,(573) 431-0223,"NHC HEALTHCARE / DESLOGE, LLC",LIMITED LIABILITY COMPANY
2156,A,SNF,DEXTER LIVING CENTER,415 S CATALPA STREET,DEXTER,63841-2017,STODDARD,73,(573) 624-7491,"DEXTER N & R, LLC",LIMITED LIABILITY COMPANY
2160,D,RCF,ANNA DODSON HOME,4616 HIGHWAY D,FARMINGTON,63640-7241,SAINT FRANCOIS,17,(573) 756-5530,"ANNA DODSON HOME, LLC",LIMITED LIABILITY COMPANY
2160,C,RCF*,ANNA DODSON HOME,4616 HIGHWAY D,FARMINGTON,63640-7241,SAINT FRANCOIS,20,(573) 756-5530,"ANNA DODSON HOME, LLC",LIMITED LIABILITY COMPANY
