State Facility Type 1 Literal,Facility ID,Facility Name,Licensee,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity,Date Accessed
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501668,"British Home In California Ltd, The","BRITISH HOME IN CALIFORNIA, LTD THE",marlene@britishhome-ca.us,(626) 355-7240,647 MANZANITA AVE,Sierra Madre,CA,91024,Los Angeles,41,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197610016,Brookdale Northridge,SH NORTHRIDGE CA OPCO LLC; HBC MANAGER LLC,vkeshishyan@brookdale.com,(818) 886-1616,17650 WEST DEVONSHIRE STREET,Northridge,CA,91325,Los Angeles,135,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,157203395,Brookdale Riverwalk,BLC GLENWOOD-GARDENS AL-LH; BROOKDALE LIVING COMMS,rwebster5@brookdale.com,(661) 587-0221,350 CALLOWAY DR,Bakersfield,CA,93312,Kern,376,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100400070,California Armenian Home,CALIFORNIA HOME FOR THE AGED INC,georgej@armenianhome.net,(559) 251-8414,6720 E KINGS CANYON RD,Fresno,CA,93727,Fresno,356,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565850142,Camarillo Senior Living,ACSR LLC,jbradshaw@aspenhealth.com,(805) 348-2214,6000 SANTA ROSA ROAD,Camarillo,CA,93012,Ventura,140,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565801963,Camarillo Senior Living,S-H OPCO CAMARILLO LLC; ACSR LLC,vincentg@aspenhealth.com,(805) 388-8086,6000 SANTA ROSA RD,Camarillo,CA,93012,Ventura,140,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270708224,Canterbury Woods,COVIA COMMUNITIES,eabare@covina.org,(831) 373-3111,651 SINEX AVENUE,Pacific Grove,CA,93950,Monterey,190,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191603774,"Canterbury, The",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,dhone@thecanterbury.org,(310) 541-2410,5801 WEST CRESTRIDGE ROAD,Rancho Palos Verdes,CA,90274,Los Angeles,187,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005949,Capistrano Senior Living,ASRV LLC,jbradshaw@aspenhealth.com,(844) 375-0029,31741 RANCHO VIEJO ROAD,San Juan Capistrano,CA,92675,Orange,125,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004555,Capriana,CAPRIANA OPERATIONS; OAKMONT SR LVG; OAKMONT MGT G,tonya.reynolds@oakmontmg.com,(714) 589-2866,460 LA FLORESTA DR,Brea,CA,92821,Orange,200,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601222,Cardinal Point At Mariner Square,"CARDINAL PT MARINER, OAKMONT SR LVG; OAKMONT MGT G",gerry.vadnais@oakmontmg.com,(510) 337-1033,2431 MARINER SQUARE DR,Alameda,CA,94501,Alameda,153,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600799,Carlsbad By The Sea,FRONT PORCH COMMUNITIES AND SERVICES,jojohnson@frontporch.net,(760) 729-2377,2855 CARLSBAD BLVD.,Carlsbad,CA,92008,San Diego,224,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700110,Carmel Valley Manor,NORTHERN CALIFORNIA CONGREGATIONAL RETIREMENT HOME,jzimmer@cvmanor.com,(831) 624-1281,8545 CARMEL VALLEY ROAD,Carmel,CA,93923,Monterey,258,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405800142,Casa De Flores,"COMPASS HEALTH, INC., DBA",corina@compass-health.com,(805) 772-7372,1405 TERESA DRIVE,Morro Bay,CA,93442,San Luis Obispo,120,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600488,Casa De Las Campanas,"CASA DE LAS CAMPANAS/LIFE CARE SERVICE, LLC",dominy@casadlc.com,(858) 451-9152,18655 WEST BERNARDO DRIVE,San Diego,CA,92127,San Diego,582,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700160,Casa Dorinda,MONTECITO RETIREMENT ASSOCIATION,bmccague@casadorinda.org,(805) 969-8011,300 HOT SPRINGS RD.,Santa Barbara,CA,93108,Santa Barbara,325,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700136,Channing House,CHANNING HOUSE,rbekkedahl@channinghouse.org,(650) 327-0950,850 WEBSTER STREET,Palo Alto,CA,94301,Santa Clara,264,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,370800394,Covenant Living At Mount Miguel,COVENANT LIVING WEST,cpmiller@covenantretirement.org,(619) 479-4790,325 KEMPTON STREET,Spring Valley,CA,91977,San Diego,434,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421702848,Covenant Living At The Samarkand,COVENANT LIVING WEST,lsmall@covliving.org,(805) 687-0701,2550 TREASURE DRIVE,Santa Barbara,CA,93105,Santa Barbara,379,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,500301453,Covenant Living Of Turlock,COVENANT LIVING WEST,rshust@covliving.org,(209) 632-9976,2125 N OLIVE AVENUE,Turlock,CA,95382,Stanislaus,377,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306002255,"Covington, The",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,ldavis@thecovington.org,(949) 389-8500,3 PURSUIT,Aliso Viejo,CA,92656,Orange,343,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803820,Enso Village,"KENDAL AT SONOMA, A ZEN INSPIRED COMMUNITY",jsutterfield@hansonbridgett.com,(610) 335-1247,16977 HEALDSBURG AVE,Healdsburg,CA,95448,Sonoma,54,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,340313383,Eskaton Village,ESKATON; ESKATON PROPERTIES INC,tighe.hammam@eskaton.org,(916) 974-2000,3939 WALNUT AVE,Carmichael,CA,95608,Sacramento,500,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700245,Forest Hill,CALIFORNIA-NEVADA METHODIST HOMES,sarahehret@cnmh.org,(831) 657-5200,551 GIBSON AVENUE,Pacific Grove,CA,93950,Monterey,150,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200344,"Forum At Rancho San Antonio, The","RSARHC, RSARS INC. & LIFE CARE SERVICES LLC",nancykao@theforumrsa.com,(650) 944-0100,23500 CRISTO REY DRIVE,Cupertino,CA,95014,Santa Clara,791,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803440,Fountaingrove Lodge,"FOUNTAINGROVE LODGE, OSL LLC; OAKMONT MGT GROUP",linda.fisher@oakmontmg.com,(707) 576-1101,4210 THOMAS LAKE HARRIS DR,Santa Rosa,CA,95403,Sonoma,173,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426769,"Fountains At The Carlotta, The",WATERMARK CARLOTTA LLC; WATERMARK RTMT. COMM LLC,rellenich@watermarkcommunities.com,(760) 346-5420,41505 CARLOTTA DR.,Palm Desert,CA,92211,Riverside,250,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607880,Fountainview At Eisenberg Village,"FOUNTAINVIEW AT EISENBERG VLG,LLC.& EVLAJHA,INC.",amber.hernandez@jha.org,(818) 774-3000,6440 WILBUR AVENUE,Reseda,CA,91335,Los Angeles,216,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198602384,Fountainview At Gonda Westside,LOS ANGELES JEWISH HOME FOR THE AGING (LAJHA),charlette.ofrecio@jha.org,(424) 216-7788,12490 WEST FIELDING CIRCLE,Playa Vista,CA,90094,Los Angeles,286,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300606831,Freedom Village,"MURPHY,N.,SHEAM,G.,KUBICKA,C.,KUBICKA,L.,FPW,LLC",jsuckiel@freedomvillage.org,(949) 472-4733,23442 EL TORO ROAD,Lake Forest,CA,92630,Orange,533,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496801929,Friends House,COVIA COMMUNITIES,jcarenbauer@covia.org,(707) 538-0152,684 BENICIA DRIVE,Santa Rosa,CA,95409,Sonoma,145,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603600,"Glen At Scripps Ranch, The",GLEN AT SCRIPPS RANCH CCRC LLC,klinem@theglensr.com,(858) 444-8500,9800 GLEN CENTER DRIVE,San Diego,CA,92131,San Diego,684,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400246,Grand Lake Gardens,HUMANGOOD & HUMANGOOD NORCAL,philip.brandmeier@humangood.org,(510) 893-8897,401 SANTA CLARA AVENUE,Oakland,CA,94610,Alameda,135,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380500295,Heritage On The Marina,SAN FRANCISCO LADIES' PROTECTION & RELIEF SOCIETY,kdonnelly@heritagesf.org,(415) 202-0300,3400 LAGUNA ST.,San Francisco,CA,94123,San Francisco,109,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191800001,Hollenbeck Palms,HOLLENBECK PALMS,dmedina@holpalms.com,(323) 263-6195,573 S. BOYLE AVE,Los Angeles,CA,90033,Los Angeles,171,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405802282,Il Villaggio At San Luis Obispo,II VILLAGGIO AT SAN LUIS OBISPO LLC LIFE CARE SERV,mdelotto@villaggioslo.com,(805) 996-0580,LOS OSOS VALLEY ROAD,San Luis Obispo,CA,93401,San Luis Obispo,400,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360902944,"Inland Christian Home, Inc","INLAND CHRISTIAN HOME, INC",maryw@ichome.org,(909) 983-0084,1950 SOUTH MOUNTAIN AVENUE,Ontario,CA,91762,San Bernardino,297,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600637,La Costa Glen Carlsbad,LA COSTA GLEN CARLSBAD CCRC LLC/LIFE CARE SVCS LLC,buckleyc@lacostaglen.com,(760) 704-1000,1950 SILVERLEAF CIRCLE,Carlsbad,CA,92009,San Diego,1233,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400369,Lake Park,CALIFORNIA - NEVADA METHODIST HOMES,mindyhan@cnmh.org,(510) 835-5511,1850 ALICE,Oakland,CA,94612,Alameda,275,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200941,Lincoln Glen Assisted Living Center,"LINCOLN GLEN MANOR FOR SENIOR CITIZENS, INC.",lkroeker@lgmanor.org,(408) 267-4872,2671 PLUMMER AVENUE,San Jose,CA,95125,Santa Clara,93,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11440129,Masonic Home For Adults,MASONIC HOMES OF CALIFORNIA,smartinez@mhcuc.org,(510) 471-3434,34400 MISSION BLVD.,Union City,CA,94587,Alameda,242,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191592287,Masonic Homes For Adults,MASONIC HOMES OF CALIFORNIA,jfigueroa@mhccov.org,(626) 251-2200,1650 EAST OLD BADILLO ST,Covina,CA,91724,Los Angeles,112,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603081,Meadowbrook Village Christian Retirement Community,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,office@meadowbrookvillage.org,(760) 746-2500,100 HOLLAND GLEN,Escondido,CA,92026,San Diego,200,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,286801070,"Meadows Of Napa Valley, The",ODD FELLOWS HOME OF CALIFORNIA; PRS MGMT INC,wpanchesson@retirement.org,(707) 257-7885,1800 ATRIUM PARKWAY,Napa,CA,94559,Napa,350,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15600255,Mercy Retirement & Care Center,MERCY RET & CARE CTR AND ELDER CARE ALLIANCE,ttsanos@eldercarealliance.org,(510) 534-8540,3431 FOOTHILL BOULEVARD,Oakland,CA,94601,Alameda,160,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435294340,Moldaw Family Residences At 899 Charleston,899 CHARLESTON/JEWISH SENIOR LIVING GROUP,dtrisel@moldaw.org,(650) 433-3600,899 EAST CHARLESTON ROAD,Palo Alto,CA,94303,Santa Clara,270,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191222411,Monte Vista Grove Homes,MONTE VISTA GROVE HOMES,dherbert@mvgh.org,(626) 796-6135,2889 SAN PASQUAL STREET,Pasadena,CA,91107,Los Angeles,26,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608908,Montecedro,"MONTECEDRO, INC.",socampo@ecsforseniors.org,(626) 788-4900,2212 EL MOLINO,Altadena,CA,91001,Los Angeles,300,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300613273,Morningside Of Fullerton,"MORNINGSIDE SP ASSOCIATES INC, GP OF CORECARE III",nordsiekr@msretirement.com,(714) 256-8000,800 MORNINGSIDE DR.,Fullerton,CA,92835,Orange,712,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500496,Mount San Antonio Gardens,"CONGREGATIONAL HOMES, INCORPORATED",latilano@the-gardens.org,(909) 624-5061,900 EAST HARRISON AVENUE,Pomona,CA,91767,Los Angeles,520,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,390314809,O'Connor Woods Assisted Living,O'CONNOR WOODS HOUSING; ESKATON PROPERTIES INC,dawn.shimel@oconnorwoods.org,(209) 956-3400,3334 WAGNER HEIGHTS RD,Stockton,CA,95209,San Joaquin,499,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100404809,Palm Village Retirement Community,"MENNONITE BRETHREN HOMES, INC.",ernestoguzman@palmvillage.com,(559) 638-6933,703 WEST HERBERT AVENUE,Reedley,CA,93654,Fresno,262,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,486800368,Paradise Valley Estates,NORTHERN CALIFORNIA RETIRED OFFICERS COMMUNITY,peggyh@pvestates.com,(707) 432-1100,2600 ESTATES DRIVE,Fairfield,CA,94533,Solano,603,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374601395,Paradise Valley Manor,"STERLING CARE, INC.",aaron.burrup@pvhcc.com,(619) 470-6700,2575 E. EIGHTH STREET,National City,CA,91950,San Diego,50,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,410508359,Peninsula Regent (The),BASS INC; PACIFIC RETIREMENT SERVICES INC,marianne@peninsularegent.com,(650) 579-5500,1 BALDWIN AVENUE,San Mateo,CA,94401,San Mateo,435,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400514,Piedmont Gardens #1,HUMANGOOD & HUMANGOOD NORCAL,kevin.smith@abhow.com,(510) 654-7172,110-41ST STREET,Oakland,CA,94611,Alameda,321,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607628,Pilgrim Place In Claremont,"PILGRIM PLACE IN CLAREMONT, INC.",aschiff@pilgrimplace.org,(909) 399-5500,625 MAYFLOWER ROAD,Claremont,CA,91711,Los Angeles,454,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360904812,Plymouth Village Of Redlands,HUMANGOOD & HUMANGOOD NORCAL,louise.rankin@humangood.org,(909) 793-1233,900 SALEM DRIVE,Redlands,CA,92373,San Bernardino,303,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005546,Reata Glen Orange County Ccrc Llc,REATA GLEN ORANGE COUNTY CCRC; LIFE CARE SERVICES,nasratys@reataglen.com,(949) 545-2250,2 LAS ESTRELLAS LOOP,Rancho Mission Viejo,CA,92694,Orange,840,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600566,Redwood Terrace,HUMANGOOD; HUMANGOOD SOCAL,leif.cameron@humangood.org,(760) 747-4306,710 WEST 13TH AVENUE,Escondido,CA,92025,San Diego,210,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300603257,Regents Point,HUMANGOOD & HUMANGOOD SOCAL,melinda.forney@humangood.org,(949) 854-9500,19191 HARVARD AVENUE,Irvine,CA,92612,Orange,399,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,75600335,"Reutlinger Community, The","REUTLINGER COMMUNITY, THE; ESKATON PROPERTIES INC",rkaur@rcjl.org,(925) 648-2800,4000 CAMINO TASSAJARA,Danville,CA,94526,Contra Costa,120,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,150400536,Rosewood Retirement Community,HUMANGOOD & HUMANGOOD NORCAL,rochelle.balaban@humangood.org,(661) 834-0620,1301 NEW STINE ROAD,Bakersfield,CA,93309,Kern,220,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300600816,Rowntree Gardens,"CALIFORNIA FRIENDS HOMES, INC.",claudial@rowntreegardens.org,(714) 530-9100,12151 DALE STREET,Stanton,CA,90680,Orange,280,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191502216,Royal Oaks,HUMANGOOD & HUMANGOOD SOCAL,andrew.smith@humangood.org,(626) 359-9371,1763 ROYAL OAKS DRIVE,Duarte,CA,91010,Los Angeles,250,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380540292,San Francisco Towers,COVIA COMMUNITIES,mmitchell@covia.org,(415) 776-0500,1661 PINE STREET,San Francisco,CA,94109,San Francisco,350,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004721,San Juan Capistrano Senior Living,S-H OPCO SAN JUAN CAPISTRANO; ASRV LLC,terri.deboever@brookdale.com,(949) 248-8855,31741 RANCHO VIEJO RD,San Juan Capistrano,CA,92675,Orange,125,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435201057,Saratoga Retirement Community,ODD FELLOWS HOME OF CA; GRAND LODGE; PRS MGMT INC,cschumacher@retirement.org,(408) 741-7100,14500 FRUITVALE AVENUE,Saratoga,CA,95070,Santa Clara,418,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336424396,Segovia Of Palm Desert,"SEGOVIA OPERATIONS, OAKMONT SR LVG; OAKMONT MGT GR",ernie.shaffer@oakmontmg.com,(760) 674-3200,39905 VIA SCENA,Palm Desert,CA,92260,Riverside,182,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306000889,Senior Living Community For The Eastern Star In Ca,EASTERN STAR HOMES OF CALIFORNIA INC.,jgibson@easternstarhomes.org,(714) 577-9281,16850 E. BASTANCHURY ROAD,Yorba Linda,CA,92886,Orange,76,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,410500567,"Sequoias-Portola Valley, The","SEQUOIA LIVING, INC.",ccartney@sequoialiving.org,(650) 851-1501,501 PORTOLA ROAD,Portola Valley,CA,94028,San Mateo,328,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380500593,Sequoias San Francisco (The),"SEQUOIA LIVING, INC.",ggoddard@sequioaliving.org,(415) 922-9700,1400 GEARY BLVD,San Francisco,CA,94109,San Francisco,400,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198602870,Serento Casa,"BRE KNIGHT SH CA OWNER LLC; GENERATIONS-CA, LLC",ssesay@serentocasa.com,(909) 394-0304,1740 SAN DIMAS AVENUE,San Dimas,CA,91773,Los Angeles,131,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005410,Serento Rosa,"BRE KNIGHT SH CA OWNER LLC; GENERATIONS-CA, LLC",loquinn@serentorosa.com,(714) 777-9666,17803 IMPERIAL HIGHWAY,Yorba Linda,CA,92886,Orange,135,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100406684,Sierra View Homes Residential Care,"SIERRA VIEW HOMES, INC.",vgenna@sierraview.org,(559) 638-9226,1155 E. SPRINGFIELD,Reedley,CA,93654,Fresno,78,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191802082,Solheim Senior Community,SOLHEIM LUTHERAN HOME,cmaung@solheimsenior.org,(323) 257-7518,2236 MERTON AVENUE,Los Angeles,CA,90041,Los Angeles,126,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,490107656,Spring Lake Village,COVIA COMMUNITIES,mcataldo@covia.org,(707) 538-8400,5555 MONTGOMERY DRIVE,Santa Rosa,CA,95409,Sonoma,679,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,415600689,"Stratford, The",SUNRISE STRATFORD GP & LP; SUNRISE SENIOR LVG MGT,stratford.ed@sunriseseniorliving.com,(650) 342-4106,601 LAUREL AVE,San Mateo,CA,94401,San Mateo,96,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400627,St. Paul'S Towers,COVIA COMMUNITIES,mlinde@covia.org,(510) 835-4700,100 BAY PLACE,Oakland,CA,94610,Alameda,320,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435201317,Sunny View Retirement Community,FRONT PORCH COMMUNITIES AND SERVICES,nrodrigues@frontporch.net,(408) 454-5600,22445 CUPERTINO ROAD,Cupertino,CA,95014,Santa Clara,190,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,210102761,Tamalpais,"SEQUOIA LIVING, INC.",wbard@sequoialiving.org,(415) 461-2300,501 VIA CASITAS,Greenbrae,CA,94904,Marin,341,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430708050,"Terraces At Los Altos, The",HUMANGOOD & HUMANGOOD NORCAL,debby.gonzales@humangood.org,(650) 948-8291,373 PINE LANE,Los Altos,CA,94022,Santa Clara,250,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100400544,"Terraces At San Joaquin Gardens, The",HUMANGOOD & HUMANGOOD NORCAL & HUMANGOOD FRESNO,jlopez@abhow.com,(559) 439-4770,5555 NORTH FRESNO STREET,Fresno,CA,93710,Fresno,652,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430708817,"Terraces Of Los Gatos, The",HUMANGOOD & HUMANGOOD NORCAL,bflores@abhow.com,(408) 356-1006,800 BLOSSOM HILL ROAD,Los Gatos,CA,95032,Santa Clara,458,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603617,Torrey Pines Senior Living,"S-H OPCO CARMEL VALLEY;CPA-CARMEL VALLEY MGMT, LLC",ecastile@stellarliving.com,(858) 259-2222,13101 HARTFIELD AVE,San Diego,CA,92130,San Diego,125,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300600977,Town & Country,CHRISTIAN AND MISSIONARY ALLIANCE,sjukic@tcmanor.com,(714) 547-7581,555 E. MEMORY LANE,Santa Ana,CA,92706,Orange,240,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,577001215,University Retirement Community At Davis,UNIVER RETIRE COM AT DAVIS/PACIFIC RETIRE SERVICES,mfburton@retirement.org,(530) 747-7000,1515 SHASTA DRIVE,Davis,CA,95616,Yolo,500,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565800978,University Village Thousand Oaks,"UNIV. VLG. T. OAKS CCRC LLC, & LIFE CARE SVCS LLC.",estrind@uvto.com,(805) 241-3000,3415 CAMPUS DRIVE,Thousand Oaks,CA,91360,Ventura,514,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700411,Valle Verde,HUMANGOOD & HUMANGOOD NORCAL,susie.ponce@humangood.org,(805) 883-4000,900 CALLE DE LOS AMIGOS,Santa Barbara,CA,93105,Santa Barbara,547,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803049,Varenna At Fountaingrove,"VARENNA LLC, OAKMONT SR LVG; OAKMONT MGT GROUP",ferdinand.buot@oakmontmg.com,(707) 526-1226,1401 FOUNTAINGROVE PKWY,Santa Rosa,CA,95403,Sonoma,322,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600675,Vi At La Jolla Village,"CCW LA JOLLA LLC, CC-LA JOLLA INC, CLASSIC RES MGM",sboudreau@viliving.com,(858) 646-7700,8515 COSTA VERDE BLVD,San Diego,CA,92122,San Diego,783,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200930,Vi At Palo Alto,"CC-PALO ALTO,INC. & CLASSIC RES.MGMT. LTD. PARTNER",jkoselak@viliving.com,(650) 853-5000,620 SAND HILL ROAD,Palo Alto,CA,94304,Santa Clara,876,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,79201006,Viamonte At Walnut Creek,SEQUOIA LIVING INC; VIAMONTE SENIOR LIVING 1 INC,mmitchell@sequoialiving.org,(925) 954-2621,2801 SHADELANDS DRIVE,Walnut Creek,CA,94598,Contra Costa,300,7/13/21
