State Facility Type 1 Literal,Facility ID,Facility Name,Licensee,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity,Facility Status
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306002255,"COVINGTON, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,LDAVIS@THECOVINGTON.ORG,(949) 389-8500,3 PURSUIT,ALISO VIEJO,CA,92656,ORANGE,343,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803820,ENSO VILLAGE,"KENDAL AT SONOMA, A ZEN INSPIRED COMMUNITY",JSUTTERFIELD@HANSONBRIDGETT.COM,(610) 335-1247,16977 HEALDSBURG AVE,HEALDSBURG,CA,95448,SONOMA,54,PENDING
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,340313383,ESKATON VILLAGE,ESKATON; ESKATON PROPERTIES INC,TIGHE.HAMMAM@ESKATON.ORG,(916) 974-2000,3939 WALNUT AVE,CARMICHAEL,CA,95608,SACRAMENTO,500,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,275202748,FOREST HILL,FOREST HILL OPCO LLC; LIFE CARE SERVICES LLC,HONRINENATASHA@LCSNET.COM,(831) 657-5200,551 GIBSON AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,150,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700245,FOREST HILL,CALIFORNIA-NEVADA METHODIST HOMES,SARAHEHRET@CNMH.ORG,(831) 657-5200,551 GIBSON AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,150,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200344,"FORUM AT RANCHO SAN ANTONIO, THE","RSARHC, RSARS INC. & LIFE CARE SERVICES LLC",NANCYKAO@THEFORUMRSA.COM,(650) 944-0100,23500 CRISTO REY DRIVE,CUPERTINO,CA,95014,SANTA CLARA,791,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803440,FOUNTAINGROVE LODGE,"FOUNTAINGROVE LODGE, OSL LLC; OAKMONT MGT GROUP",LINDA.FISHER@OAKMONTMG.COM,(707) 576-1101,4210 THOMAS LAKE HARRIS DR,SANTA ROSA,CA,95403,SONOMA,173,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426769,"FOUNTAINS AT THE CARLOTTA, THE",WATERMARK CARLOTTA LLC; WATERMARK RTMT. COMM LLC,RELLENICH@WATERMARKCOMMUNITIES.COM,(760) 346-5420,41505 CARLOTTA DR.,PALM DESERT,CA,92211,RIVERSIDE,250,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607880,FOUNTAINVIEW AT EISENBERG VILLAGE,"FOUNTAINVIEW AT EISENBERG VLG,LLC.& EVLAJHA,INC.",AMBER.HERNANDEZ@JHA.ORG,(818) 774-3000,6440 WILBUR AVENUE,RESEDA,CA,91335,LOS ANGELES,216,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198602384,FOUNTAINVIEW AT GONDA WESTSIDE,LOS ANGELES JEWISH HOME FOR THE AGING (LAJHA),CHARLETTE.OFRECIO@JHA.ORG,(424) 216-7788,12490 WEST FIELDING CIRCLE,PLAYA VISTA,CA,90094,LOS ANGELES,286,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300606831,FREEDOM VILLAGE,"MURPHY,N.,SHEAM,G.,KUBICKA,C.,KUBICKA,L.,FPW,LLC",JSUCKIEL@FREEDOMVILLAGE.ORG,(949) 472-4733,23442 EL TORO ROAD,LAKE FOREST,CA,92630,ORANGE,533,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496801929,FRIENDS HOUSE,COVIA COMMUNITIES,JCARENBAUER@COVIA.ORG,(707) 538-0152,684 BENICIA DRIVE,SANTA ROSA,CA,95409,SONOMA,145,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603600,"GLEN AT SCRIPPS RANCH, THE",GLEN AT SCRIPPS RANCH CCRC LLC,KLINEM@THEGLENSR.COM,(858) 444-8500,9800 GLEN CENTER DRIVE,SAN DIEGO,CA,92131,SAN DIEGO,684,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400246,GRAND LAKE GARDENS,HUMANGOOD & HUMANGOOD NORCAL,PHILIP.BRANDMEIER@HUMANGOOD.ORG,(510) 893-8897,401 SANTA CLARA AVENUE,OAKLAND,CA,94610,ALAMEDA,135,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380500295,HERITAGE ON THE MARINA,SAN FRANCISCO LADIES' PROTECTION & RELIEF SOCIETY,kdonnelly@heritagesf.org,(415) 202-0300,3400 LAGUNA ST.,SAN FRANCISCO,CA,94123,SAN FRANCISCO,109,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191800001,HOLLENBECK PALMS,HOLLENBECK PALMS,DMEDINA@HOLPALMS.COM,(323) 263-6195,573 S. BOYLE AVE,LOS ANGELES,CA,90033,LOS ANGELES,171,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405802282,IL VILLAGGIO AT SAN LUIS OBISPO,II VILLAGGIO AT SAN LUIS OBISPO LLC LIFE CARE SERV,MDELOTTO@VILLAGGIOSLO.COM,(805) 996-0580,LOS OSOS VALLEY ROAD,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,400,PENDING
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360902944,"INLAND CHRISTIAN HOME, INC","INLAND CHRISTIAN HOME, INC",MARYW@ICHOME.ORG,(909) 983-0084,1950 SOUTH MOUNTAIN AVENUE,ONTARIO,CA,91762,SAN BERNARDINO,297,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600637,LA COSTA GLEN CARLSBAD,LA COSTA GLEN CARLSBAD CCRC LLC/LIFE CARE SVCS LLC,BUCKLEYC@LACOSTAGLEN.COM,(760) 704-1000,1950 SILVERLEAF CIRCLE,CARLSBAD,CA,92009,SAN DIEGO,1233,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,19200943,LAKE PARK,LAKE PARK OPCO LLC; LIFE CARE SERVICES LLC,HONRINENATASA@LCSNET.COM,(510) 835-5511,1850 ALICE STREET,OAKLAND,CA,94612,ALAMEDA,275,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400369,LAKE PARK,CALIFORNIA - NEVADA METHODIST HOMES,MINDYHAN@CNMH.ORG,(510) 835-5511,1850 ALICE,OAKLAND,CA,94612,ALAMEDA,275,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200941,LINCOLN GLEN ASSISTED LIVING CENTER,"LINCOLN GLEN MANOR FOR SENIOR CITIZENS, INC.",LKROEKER@LGMANOR.ORG,(408) 267-4872,2671 PLUMMER AVENUE,SAN JOSE,CA,95125,SANTA CLARA,93,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700382,LOS GATOS MEADOWS,COVIA COMMUNITIES,CICHIEN@COVIA.ORG,(408) 354-0211,110 WOOD ROAD,LOS GATOS,CA,95030,SANTA CLARA,229,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11440129,MASONIC HOME FOR ADULTS,MASONIC HOMES OF CALIFORNIA,SMARTINEZ@MHCUC.ORG,(510) 471-3434,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,242,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191592287,MASONIC HOMES FOR ADULTS,MASONIC HOMES OF CALIFORNIA,jfigueroa@mhccov.org,(626) 251-2200,1650 EAST OLD BADILLO ST,COVINA,CA,91724,LOS ANGELES,112,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603081,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,OFFICE@MEADOWBROOKVILLAGE.ORG,(760) 746-2500,100 HOLLAND GLEN,ESCONDIDO,CA,92026,SAN DIEGO,200,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,286801070,"MEADOWS OF NAPA VALLEY, THE",ODD FELLOWS HOME OF CALIFORNIA; PRS MGMT INC,WPANCHESSON@RETIREMENT.ORG,(707) 257-7885,1800 ATRIUM PARKWAY,NAPA,CA,94559,NAPA,350,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15600255,MERCY RETIREMENT & CARE CENTER,MERCY RET & CARE CTR AND ELDER CARE ALLIANCE,TTSANOS@ELDERCAREALLIANCE.ORG,(510) 534-8540,3431 FOOTHILL BOULEVARD,OAKLAND,CA,94601,ALAMEDA,160,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435294340,MOLDAW FAMILY RESIDENCES AT 899 CHARLESTON,899 CHARLESTON/JEWISH SENIOR LIVING GROUP,DTRISEL@MOLDAW.ORG,(650) 433-3600,899 EAST CHARLESTON ROAD,PALO ALTO,CA,94303,SANTA CLARA,270,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191222411,MONTE VISTA GROVE HOMES,MONTE VISTA GROVE HOMES,DHERBERT@MVGH.ORG,(626) 796-6135,2889 SAN PASQUAL STREET,PASADENA,CA,91107,LOS ANGELES,26,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608908,MONTECEDRO,"MONTECEDRO, INC.",SOCAMPO@ECSFORSENIORS.ORG,(626) 788-4900,2212 EL MOLINO,ALTADENA,CA,91001,LOS ANGELES,300,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300613273,MORNINGSIDE OF FULLERTON,"MORNINGSIDE SP ASSOCIATES INC, GP OF CORECARE III",nordsiekr@msretirement.com,(714) 256-8000,800 MORNINGSIDE DR.,FULLERTON,CA,92835,ORANGE,712,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500496,MOUNT SAN ANTONIO GARDENS,"CONGREGATIONAL HOMES, INCORPORATED",LATILANO@THE-GARDENS.ORG,(909) 624-5061,900 EAST HARRISON AVENUE,POMONA,CA,91767,LOS ANGELES,520,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,390314809,O'CONNOR WOODS ASSISTED LIVING,O'CONNOR WOODS HOUSING; ESKATON PROPERTIES INC,DAWN.SHIMEL@OCONNORWOODS.ORG,(209) 956-3400,3334 WAGNER HEIGHTS RD,STOCKTON,CA,95209,SAN JOAQUIN,499,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100404809,PALM VILLAGE RETIREMENT COMMUNITY,"MENNONITE BRETHREN HOMES, INC.",ERNESTOGUZMAN@PALMVILLAGE.COM,(559) 638-6933,703 WEST HERBERT AVENUE,REEDLEY,CA,93654,FRESNO,262,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,486800368,PARADISE VALLEY ESTATES,NORTHERN CALIFORNIA RETIRED OFFICERS COMMUNITY,PEGGYH@PVESTATES.COM,(707) 432-1100,2600 ESTATES DRIVE,FAIRFIELD,CA,94533,SOLANO,603,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374601395,PARADISE VALLEY MANOR,"STERLING CARE, INC.",AARON.BURRUP@PVHCC.COM,(619) 470-6700,2575 E. EIGHTH STREET,NATIONAL CITY,CA,91950,SAN DIEGO,50,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,410508359,PENINSULA REGENT (THE),BASS INC; PACIFIC RETIREMENT SERVICES INC,marianne@peninsularegent.com,(650) 579-5500,1 BALDWIN AVENUE,SAN MATEO,CA,94401,SAN MATEO,435,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400514,PIEDMONT GARDENS #1,HUMANGOOD & HUMANGOOD NORCAL,Kevin.Smith@abhow.com,(510) 654-7172,110-41ST STREET,OAKLAND,CA,94611,ALAMEDA,321,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607628,PILGRIM PLACE IN CLAREMONT,"PILGRIM PLACE IN CLAREMONT, INC.",ASCHIFF@PILGRIMPLACE.ORG,(909) 399-5500,625 MAYFLOWER ROAD,CLAREMONT,CA,91711,LOS ANGELES,454,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360904812,PLYMOUTH VILLAGE OF REDLANDS,HUMANGOOD & HUMANGOOD NORCAL,LOUISE.RANKIN@HUMANGOOD.ORG,(909) 793-1233,900 SALEM DRIVE,REDLANDS,CA,92373,SAN BERNARDINO,303,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005180,REATA GLEN ORANGE COUNTY CCRC LLC,REATA GLEN ORANGE COUNTY CCRC LLC,,(760) 704-6260,28805 ORTEGA HIGHWAY,SAN JUAN CAPISTRANO,CA,92675,ORANGE,480,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005546,REATA GLEN ORANGE COUNTY CCRC LLC,REATA GLEN ORANGE COUNTY CCRC; LIFE CARE SERVICES,NASRATYS@REATAGLEN.COM,(949) 545-2250,2 LAS ESTRELLAS LOOP,RANCHO MISSION VIEJO,CA,92694,ORANGE,840,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600566,REDWOOD TERRACE,HUMANGOOD; HUMANGOOD SOCAL,LEIF.CAMERON@HUMANGOOD.ORG,(760) 747-4306,710 WEST 13TH AVENUE,ESCONDIDO,CA,92025,SAN DIEGO,210,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300603257,REGENTS POINT,HUMANGOOD & HUMANGOOD SOCAL,MELINDA.FORNEY@HUMANGOOD.ORG,(949) 854-9500,19191 HARVARD AVENUE,IRVINE,CA,92612,ORANGE,399,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,75600335,"REUTLINGER COMMUNITY, THE","REUTLINGER COMMUNITY, THE; ESKATON PROPERTIES INC",RKAUR@RCJL.ORG,(925) 648-2800,4000 CAMINO TASSAJARA,DANVILLE,CA,94526,CONTRA COSTA,120,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,150400536,ROSEWOOD RETIREMENT COMMUNITY,HUMANGOOD & HUMANGOOD NORCAL,ROCHELLE.BALABAN@HUMANGOOD.ORG,(661) 834-0620,1301 NEW STINE ROAD,BAKERSFIELD,CA,93309,KERN,220,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300600816,ROWNTREE GARDENS,"CALIFORNIA FRIENDS HOMES, INC.",CLAUDIAL@ROWNTREEGARDENS.ORG,(714) 530-9100,12151 DALE STREET,STANTON,CA,90680,ORANGE,280,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191502216,ROYAL OAKS,HUMANGOOD & HUMANGOOD SOCAL,ANDREW.SMITH@HUMANGOOD.ORG,(626) 359-9371,1763 ROYAL OAKS DRIVE,DUARTE,CA,91010,LOS ANGELES,250,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380540292,SAN FRANCISCO TOWERS,COVIA COMMUNITIES,MMITCHELL@COVIA.ORG,(415) 776-0500,1661 PINE STREET,SAN FRANCISCO,CA,94109,SAN FRANCISCO,350,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004721,SAN JUAN CAPISTRANO SENIOR LIVING,S-H OPCO SAN JUAN CAPISTRANO; ASRV LLC,TERRI.DEBOEVER@BROOKDALE.COM,(949) 248-8855,31741 RANCHO VIEJO RD,SAN JUAN CAPISTRANO,CA,92675,ORANGE,125,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435201057,SARATOGA RETIREMENT COMMUNITY,ODD FELLOWS HOME OF CA; GRAND LODGE; PRS MGMT INC,CSCHUMACHER@RETIREMENT.ORG,(408) 741-7100,14500 FRUITVALE AVENUE,SARATOGA,CA,95070,SANTA CLARA,418,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336424396,SEGOVIA OF PALM DESERT,"SEGOVIA OPERATIONS, OAKMONT SR LVG; OAKMONT MGT GR",ERNIE.SHAFFER@OAKMONTMG.COM,(760) 674-3200,39905 VIA SCENA,PALM DESERT,CA,92260,RIVERSIDE,182,LICENSED
