FACILITY NAME,ADDRESS,CITY,STATE,ZIP,LICENSE NO.,STATUS,EFFECTIVE DATE,EXPIRATION DATE
SEACREST RETIREMENT CENTER,588 OCEAN AVE,WEST HAVEN,CT,06516-7109,1794RC,ACTIVE,7/1/07,6/30/22
"WESTCOTT-WILCOX ELDERLY RESIDENTIAL HOUSING, INC.",50 CAPRON ST,DANIELSON,CT,06239-2908,1266RC,ACTIVE,7/1/07,6/30/22
BACON & HINKLEY HOME INC,581 PEQUOT AVE,NEW LONDON,CT,06320-4363,1821RC,ACTIVE,7/1/10,6/30/22
CORNER HOUSE RESIDENTIAL CARE LLC,1 GRISWOLD ST,MERIDEN,CT,06450-2220,1875,ACTIVE,10/1/08,9/30/20
SEABURY,200 SEABURY DR,BLOOMFIELD,CT,06002-2650,1830RC,ACTIVE,10/1/07,9/30/22
PARSONAGE COTTAGE SENIOR RESIDENCE,88 PARSONAGE RD,GREENWICH,CT,06830-3941,1844RC,ACTIVE,1/1/08,12/31/22
NEWFIELD REST HOME INC.,876 NEWFIELD ST,MIDDLETOWN,CT,06457-1857,1845RC,ACTIVE,4/1/08,3/31/23
LEEWAY RESIDENTIAL CARE HOME,40 ALBERT ST,NEW HAVEN,CT,06511-1542,1891,ACTIVE,8/9/13,6/30/22
"HIGH CHASE, LLC",140 RIVER RD,WILLINGTON,CT,06279-1650,1892,ACTIVE,3/28/14,12/31/22
"SACRED HEART MANOR, INC.",261 BENHAM ST,HAMDEN,CT,06514-2801,1893,ACTIVE,11/4/15,9/30/21
VICTORIAN GARDENS RCH LLC,122 E MAIN ST,PLAINVILLE,CT,06062-1902,1894,ACTIVE,8/2/16,6/30/22
"RIVERVIEW RESIDENTIAL CARE HOME, LLC",92 LEXINGTON AVE,NEW HAVEN,CT,06513-4449,1895,ACTIVE,9/12/17,6/30/20
GREYSTONE RETIREMENT HOME,44 HIGH ST,PORTLAND,CT,06480-1655,1897,ACTIVE,1/10/18,12/31/20
SEDGWICK CEDARS CORPORATION,27 PARK RD,WEST HARTFORD,CT,06119-1883,1898,ACTIVE,1/16/18,12/31/20
"CHANGE MAPLE LEAF MANOR, INCORPORATED",614 NEW BRITAIN AVE,HARTFORD,CT,6106,1899,ACTIVE,1/9/19,9/30/21
CARD HOME FOR THE AGED,154 PLEASANT ST,WILLIMANTIC,CT,06226-3308,1267RC,ACTIVE,7/1/08,6/30/20
CHAR-LAINE MANOR,15 ELLINGTON AVE,VERNON ROCKVILLE,CT,06066-3234,1766RC,ACTIVE,1/1/12,12/31/20
"ELIM PARK BAPTIST HOME, INC",140 COOK HILL RD,CHESHIRE,CT,06410-3736,1500RC,ACTIVE,4/1/09,3/31/21
"FERNWOOD MANOR, INC.",27-29 GIRARD AVE,HARTFORD,CT,6105,1649RC,ACTIVE,4/1/09,3/31/21
"FERNWOOD REST HOME, INC",400 TORRINGTON RD,LITCHFIELD,CT,06759-2702,1699RC,ACTIVE,4/1/09,3/31/21
FERNWOOD WEST,521 PROSPECT AVE,HARTFORD,CT,06105-2921,1722RC,ACTIVE,1/1/09,12/31/20
"GILMORE MANOR, INC",1381 MAIN ST,GLASTONBURY,CT,06033-3105,1777RC,ACTIVE,7/1/08,6/30/20
"GREEN LODGE OF MANCHESTER, INC",612 MIDDLE TPKE E,MANCHESTER,CT,06040-3729,1702RC,ACTIVE,4/1/09,3/31/21
JEROME HOME,975 CORBIN AVE,NEW BRITAIN,CT,06052-1259,1427RC,ACTIVE,10/1/08,9/30/20
"JOHNSON HOME, INC",100 TOWN ST,NORWICH,CT,06360-2324,1392RC,ACTIVE,4/1/09,3/31/21
"RIVERVIEW LODGE, INC",10 PROSPECT ST,DEEP RIVER,CT,06417-1915,1609RC,ACTIVE,4/1/08,3/31/20
SACHEM HOME,33 SACHEM ST,NORWICH,CT,06360-4201,1711RC,ACTIVE,1/1/09,12/31/20
ST. JOSEPH'S INDEPENDENT LIVING,6448 MAIN ST,TRUMBULL,CT,06611-2075,1876,ACTIVE,7/1/09,6/30/21
STEWART REST HOME,93 HIGH ST,EAST HAVEN,CT,06512-2321,1832RC,ACTIVE,10/1/08,9/30/20
"TRACY MANOR, INC",22 FENNWAY,WEST HARTFORD,CT,06119-1812,1786RC,ACTIVE,4/1/08,3/31/20
HOLLY VIEW MANOR INC,38 PROSPECT PL,BRISTOL,CT,06010-5044,1819RC,ACTIVE,4/1/08,3/31/20
"CURTIS HOME FOR THE AGED, THE",380 CROWN ST,MERIDEN,CT,06450-6484,1273RC,ACTIVE,10/1/08,9/30/20
"HAUGHTON COVE MANOR, INC.",841 NORWICH NEW LONDON TPKE,UNCASVILLE,CT,06382-2124,1798RC,ACTIVE,7/1/08,6/30/20
"ELIZA HUNTINGTON MEMORIAL HOME OF NORWICH, INC.",99 WASHINGTON ST,NORWICH,CT,06360-5023,1279RC,ACTIVE,10/1/08,9/30/20
WORTHINGTON MANOR,316 BERLIN ST,EAST BERLIN,CT,06023-1123,1664RC,ACTIVE,10/1/08,9/30/20
MASONICARE HEALTH CENTER,22 MASONIC AVE,WALLINGFORD,CT,06492-3048,1274RC,ACTIVE,1/1/09,12/31/20
MCLEAN HEALTH CENTER,75 GREAT POND RD,SIMSBURY,CT,06070-1980,1712RC,ACTIVE,10/1/08,9/30/20
NOBLE HORIZONS,17 COBBLE RD,SALISBURY,CT,06068-1501,1763RC,ACTIVE,4/1/09,3/31/21
SHELTERING ARMS,165 MCKINLEY AVE,NORWICH,CT,06360-3509,1268RC,ACTIVE,4/1/08,3/31/20
SCOFIELD MANOR,614 SCOFIELDTOWN RD,STAMFORD,CT,06903-2805,1822RC,ACTIVE,1/1/09,12/31/20
"TERESA REST HOME, INC",57 MAIN ST,EAST HAVEN,CT,06512-2523,1767RC,ACTIVE,4/1/08,3/31/20
ELM HILL MANOR INC,37 ELM ST,VERNON ROCKVILLE,CT,06066-3207,1824RC,ACTIVE,1/1/09,12/31/20
ELTON RESIDENTIAL CARE HOME,30 W MAIN ST,WATERBURY,CT,06702-2012,1838RC,ACTIVE,1/1/09,12/31/20
"CARRIAGE MANOR, LLC",157 HILLSIDE AVE,WATERBURY,CT,06710-2252,1847RC,ACTIVE,10/1/08,9/30/20
"ST. LUCIAN'S RESIDENCE, INC.",532 BURRITT STREET,NEW BRITAIN,CT,6053,1849RC,ACTIVE,10/1/08,9/30/20
"TRAURIG HOUSE, THE",80 GAYLORD FARM RD,WALLINGFORD,CT,06492-2872,1857,ACTIVE,4/1/08,3/31/20
CAROLINE'S RESIDENTIAL CARE,37 CLARK AVE,EAST HAVEN,CT,06512-3423,1855RC,ACTIVE,4/1/08,3/31/20
"NORAH'S PLACE, LLC",57 ELM ST,VERNON ROCKVILLE,CT,06066-3207,1856RC,ACTIVE,7/1/08,6/30/20
"ROSELAND MANAGEMENT GROUP, LLC",39 CANTERBURY RD,BROOKLYN,CT,06234-1901,1890,ACTIVE,1/31/12,12/31/20
BROOKSIDE RESIDENTIAL CARE HOME LLC,134 FRANKLIN STREET EXT,DANBURY,CT,06811-4453,1896,ACTIVE,9/13/17,6/30/20
