Facility Name,Address,License Number,Licensee,City,Zip Code,Phone Number,Capacity,Date Accessed,State
Beehive Homes Of San Pedro- D,6100  WILSHIRE AVE NE,2224,"SAN PEDRO HOPE, LLC",Albuquerque,87113,(505) 480-1445  ,15,6/29/21,NM
Beehive Homes Of Volcano Cliffs,6230 MONTANO RD NW,4051,THREE BEES LLC,Albuquerque,87120,(505) 361-1947  ,15,6/29/21,NM
Beehive Homes Of White Rock,110 LONGVIEW DRIVE,4037,WHITE ROCK HIVE LLC.,White,,(505) 480-1445  ,15,6/29/21,NM
Bellamah House Ltd. Co.,11601 BELLAMAH NE AVE,5624,"BELLAMAH HOUSE LTD., COMPANY",Albuquerque,87112,(505) 294-5344  ,8,6/29/21,NM
Blue Horizon Boutique Assisted Living & Memory Care Building A,2707 SPITZ STREET BLDG A,4017,"BLUE HORIZON PROPERTIES, INC",Las,,(575) 647-4060  ,15,6/29/21,NM
Blue Horizon Boutique Assisted Living And Memory Care - Building B,2707 SPITZ STREET BUILDING B,4049,"BLUE HORIZON PROPERTIES, INC",Las,,(575) 526-7875  ,0,6/29/21,NM
Bonney Home,513 WILLIAM STREET,4071,BONNEY HOME,Gallup,87301,(505) 863-2902  ,9,6/29/21,NM
Bonney Home Inc,2021 BARBARA AVENUE,5842,BONNEY HOME INC,Gallup,87301,(505) 863-2902  ,16,6/29/21,NM
Bonney Home Inc,802 EAST HILL STREET,5533,BONNEY FAMILY HOME,Gallup,87301,(505) 863-2902  ,6,6/29/21,NM
Bridge Of Farmington (The),1091 WEST MURRAY DRIVE,5762,"FARMINGTON OPERATIONS, LLC",Farmington,87401,(505) 324-6200  ,70,6/29/21,NM
Brio Assisted Living,13101 CONSTITUTION AVE NE,4016,"13101 CONSTITUTION, LLC",Albuquerque,87112,(505) 508-3701  ,40,6/29/21,NM
Brookdale Santa Fe,640 ALTA VISTA,2066,"BLC - PONCE DE LEON, LLC",Santa,,(505) 984-8422  ,76,6/29/21,NM
Brookdale Tramway Ridge,4910 TRAMWAY RIDGE DRIVE NE,2161,"BROOKDALE PLACE OF ALBUQUERQUE, LLC",Albuquerque,87111,(505) 271-9600  ,40,6/29/21,NM
Brookdale Tramway Ridge #2,4910 TRAMWAY RIDGE DRIVE NE,2162,"BROOKDALE PLACE OF ALBUQUERQUE, LLC",Albuquerque,87111,(505) 271-9600  ,80,6/29/21,NM
Brookdale Valencia,300 VALENCIA DRIVE SE,2055,"BLC ALBUQUERQUE-GC, LLC",Albuquerque,87108,(505) 260-8100  ,100,6/29/21,NM
Buena Vista Senior Care,8505 RANCHO SANTA FE PLACE NE,2260,"TLC SENIOR CARE, LLC D/B/A BUENA VISTA SENIOR CARE",Albuquerque,87113,(505) 280-4360  ,8,6/29/21,NM
Camino Retirement Apartments,12101 LOMAS NE,5882,QUILTED CARE LTD.,Albuquerque,87112,(505) 298-9976  ,80,6/29/21,NM
Carefree Living,10916 JUAN TABO PLACE NE,5647,CAREFREE LIVING,Albuquerque,87111,(505) 299-8000  ,46,6/29/21,NM
Casa Angelina Llc,9977 BUCKEYE NW,2165,CASA ANGELINA LLC,Albuquerque,87114,(505) 792-1212  ,8,6/29/21,NM
Casa Angelina South East Llc,900 ESPANOLA NE,2254,"CASA ANGELINA SOUTH EAST, LLC",Albuquerque,87110,(505) 962-2125  ,8,6/29/21,NM
Casa Bella Residential Care Facility,2919 SPITZ ST,2125,"ALBUQUERQUE PREFERRED ASSISTED LIVING, INC.",Las,,(505) 269-4556  ,15,6/29/21,NM
"Casa Contenta Assisted Living, Llc",4805 SOMBERETE ROAD SE,5881,CASA CONTENTA ASSISTED LIVING,Rio,,(505) 896-8132  ,8,6/29/21,NM
Casa De Carino,2908 INDIAN FARM LN NW,4108,STATE OF NEW MEXICO - DEPARTMENT OF HEALTH,Albuquerque,87107,(505) 828-3918  ,8,6/29/21,NM
Casa De La Reina,3508 REINA DRIVE NE,5856,"CASA DE PALOMAS, INC.",Albuquerque,87111,(505) 255-9081  ,10,6/29/21,NM
Casa De Palomas,614 PALOMAS DRIVE NE,5694,"CASA DE PALOMAS, INC.",Albuquerque,87108,(505) 255-9081  ,10,6/29/21,NM
Casa De Paz,4103 LAS CIMBRAS CT SE,2214,"CASA DE SHALOM, LLC",Rio,,(505) 994-0087  ,10,6/29/21,NM
Casa De Rosa Leasing Llc,10127 GUADALUPE TRAIL NW,2265,CASA DE ROSA LEASING LLC,Albuquerque,87114,(505) 897-2322  ,40,6/29/21,NM
Casa De Rosa Leasing Llc,10127 GUADALUPE TR NW E3,4010,"CASA DE ROSA LEASING, LLC",Albuquerque,87114,(505) 897-2322  ,3,6/29/21,NM
"Casa De Rosa Leasing, Llc",10127 GUADALUPE TR NW (E4),4024,"CASA DE ROSA, LLC",Albuquerque,87114,(505) 897-2322  ,3,6/29/21,NM
Casa De Shalom Dba Casa De Paz Village East,604 GRAL TREVINO DR SE ,2164,CASA DE SHALOM LLC,Rio,,(505) 994-9430  ,10,6/29/21,NM
Casa Del Oso,7635 ARROYO DEL OSO AVE NORTH EAST,2223,CASA DEL OSO,Albuquerque,87111,(505) 720-7250  ,7,6/29/21,NM
Casa Del Valle I,2111 RAVEN LANE SW,5280,CASA DEL VALLE I,Albuquerque,87105,(505) 877-0275  ,10,6/29/21,NM
"Casa Mis Abuelos, Llc",4916 LARCHMONT DRIVE NE,2182,CARLOS FIGUEROA,Albuquerque,87111,(505) 203-8695  ,6,6/29/21,NM
"Casa Palo Duro (Active Solutions, Inc)",7808 PALO DURO NE,2208,"ACTIVE SOLUTIONS, INC",Albuquerque,87110,(505) 319-4561  ,9,6/29/21,NM
Casa San Pablo,1509 SAN PABLO NE,2172,"CASA SAN PABLO, LLC",Albuquerque,87110,(505) 254-9646  ,10,6/29/21,NM
Casa Sandia,222 SANDIA VIEW RD NW,4095,"CASA SUBINA, LLC",Albuquerque,87107,(505) 264-0759  ,12,6/29/21,NM
Casa Sunview,6519 SUN VIEW DR NW,2269,"CASA SUBINA, LLC",Albuquerque,87120,(505) 264-0759  ,10,6/29/21,NM
Casita Senior Living Llc,5141 GEORGIA PL NE,7026,CASITA SENIOR LIVING LLC,Rio,,(505) 730-5550  ,10,6/29/21,NM
Cielos Abiertos Assisted Living,3111 TOREADOR NE,2200,CARLOS FIGUEROA,Albuquerque,87111,(505) 203-8695  ,7,6/29/21,NM
Constance House,705 MONTE ALTO DRIVE NE,5696,"PRIME CARE LIVING, INC.",Albuquerque,87123,(505) 856-5838  ,10,6/29/21,NM
"Country Living Residential Care, Llc",1495 FRONTAGE ROAD NE,4070,DEBORAH DEMOSS,Socorro,87801,(575) 520-9909  ,7,6/29/21,NM
"Crane'S Roost Care Home, Inc.",104 SOUTH PARK AVENUE,5746,"CRANE'S ROOST CARE HOME, INC.",Aztec,87410,(505) 333-2604  ,15,6/29/21,NM
Cuesta Manor,6333 CUESTA PLACE NW,5512,"BEST CARE, INC.",Albuquerque,87120,(505) 379-8455  ,10,6/29/21,NM
Desert Gardens Assisted Living & Memory Care,200 SOUTH LINAM,2245,CLIFF BOYLE,Hobbs,88240,(575) 393-2828  ,83,6/29/21,NM
Desert Peaks Assisted Living And Memory Care,5525 COTTONBLOOM COURT,2266,"CSL-LAS CRUCES, LLC",Las,,(575) 523-0300  ,45,6/29/21,NM
El Castillo Memory Center,239 EAST DEVARGAS STREET,2243,"EL CASTILLO RETIREMENT RESIDNECES, INC",Santa,,(505) 988-2877  ,11,6/29/21,NM
El Castillo Retirement Residences,250 E ALAMEDA,5847,EL CASTILLO RETIREMENT RESIDENCES,Santa,,(505) 988-2877  ,26,6/29/21,NM
"Elite Senior Care, Llc - Kathryn House",2020 WHITE CLOUD NE,2072,"ELITE SENIOR CARE, LLC",Albuquerque,87112,(505) 379-2369  ,8,6/29/21,NM
"Elite Senior Care, Llc - Whitney House",4000 BERMUDA DRIVE NE,2052,"ELITE SENIOR CARE, LLC",Albuquerque,87111,(505) 379-2369  ,8,6/29/21,NM
Elmcroft Of Quintessence,7101 EUBANK BLVD NE,4057,EC OPCO QUINTESSENCE LLC,Albuquerque,87112,(505) 797-8600  ,75,6/29/21,NM
Enchanted Living Of New Mexico-Grande,11420 SAN FRANCISCO AVE NE,4001,ENCHANTED LIVING OF NEW MEXICO,Albuquerque,87122,(505) 867-6164  ,5,6/29/21,NM
Enchantment Assisted Living Llc,251 FRANCIS AVE,7042,TONY NORMAN,Raton,87740,(510) 504-3419  ,5,6/29/21,NM
"Endoscopy Center, A Dept Of Los Alamos Medical Ctr","1911 CENTRAL AVE, SUITE 100",3086S1   ,"PHC - LOS ALAMOS, INC.",Los,,(505) 661-9976  ,5,6/29/21,NM
"Equal, Llc",207 LAGUNITAS LN SW,4116,"EQUAL, LLC",Albuquerque,87105,(505) 304-0403  ,5,6/29/21,NM
Everest Assisted Living Home,7524 BEAR CANYON ROAD NE,4098,"HEALTH SCIENCE AND TECHNOLOGY, LLC",Albuquerque,87109,(505) 573-8536  ,5,6/29/21,NM
Evershine Care Assisted Living,1213 JUNIPER AVENUE,4121,EVERSHINE CARE ASSISTED LIVING,Las,,(575) 652-4156  ,6,6/29/21,NM
Fairwinds Rio Rancho,920 RIVERVIEW DRIVE SE,5720,"RIOAV, LLC.",Rio,,(505) 896-3000  ,76,6/29/21,NM
Friendship Gardens Of Albuquerque Llc,1909 MORRIS ST NE,7004,FRIENDSHIP GARDENS OF ALBUQUERQUE LLC,Albuquerque,87112,(505) 298-8062  ,7,6/29/21,NM
Galaxia Park Arca,10768 GALAXIA PARK NW,4088,ARCA,Albuquerque,87114,(505) 332-6700  ,3,6/29/21,NM
Genney'S Senior Care Llc,1504 37TH STREET SE,2264,GENNEYS SENIOR CARE LLC,Rio,,(505) 994-0350  ,7,6/29/21,NM
Gingerich Home For Elderly Inc (The),27 ROAD 5577,5420,"THE GINGERICH HOME FOR THE ELDERLY, INC",Farmington,87401,(505) 632-1234  ,14,6/29/21,NM
Good Life Assisted Living,1920 WEST COLLEGE LANE,2099,"STERLING MANAGEMENT COMPANY OF NM, LLC",Hobbs,88242,(575) 492-0038  ,16,6/29/21,NM
Good Life Assisted Living And Memory Care,108 VISION DR,4006,"STERLING MANAGEMENT OF NM, LLC",Ruidoso,88345,(575) 315-0758  ,16,6/29/21,NM
Good Life Memory Care,800 JUAN ANDRES LANE,2237,STERLING MANAGEMENT COMPANY OF NEW MEXICO LLC,Los,,(575) 630-0180  ,16,6/29/21,NM
Good Life Senior Living And Memory Care,906 PISTACHIO TRAIL,2247,"STERLING MANAGEMENT OF NEW MEXICO, LLC",Artesia,88210,(575) 736-1551  ,16,6/29/21,NM
Good Life Senior Living And Memory Care,601 W CHERRY LANE,2285,"STERLING MANAGEMENT COMPANY OF NM, LLC",Carlsbad,88220,(575) 689-8644  ,16,6/29/21,NM
Good Life Senior Living And Memory Care,1706 N 2ND STREET,2290,"STERLING MANAGEMENT OF NEW MEXICO, LLC",Lovington,88260,(575) 704-1193  ,16,6/29/21,NM
Good Life Senior Living And Memory Care,1650 NORTH LOS LENTES RD NE,2116,"STERLING MANAGEMENT COMPANY OF NM, LLC",Los,,(505) 866-6100  ,16,6/29/21,NM
Good Life Senior Living And Memory Care,801 W CHERRY LANE,2117,"STERLING MANAGEMENT COMPANY OF NM, LLC",Carlsbad,88220,(575) 234-2000  ,16,6/29/21,NM
Good Samaritan Society - Las Cruces Village,3035 TERRACE DRIVE,5727,EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY (THE),Las,,(575) 556-2192  ,42,6/29/21,NM
Goodlife Senior Living And Memory Care,2013 W18TH ST,4125,GOODLIFE SENIOR LIVING MANAGEMENT COMPANY LLC,Portales,88130,(575) 630-0180  ,42,6/29/21,NM
Grace Adult Care Home,7100 CARRIAGE ROAD NE,5855,GRACE ADULT CARE HOMES,Albuquerque,87109,(505) 888-4434  ,8,6/29/21,NM
Haciendas At Grace Village Unit A,2802 CORTE DIOS,2217,"HACIENDAS AT GRACE VILLAGE, LLC",Las,,(575) 524-1020  ,0,6/29/21,NM
Haciendas At Grace Village Unit B,2802 CORTE DIOS,2218,"HACIENDAS AT GRACE VILLAGE, LLC",Las,,(575) 524-1020  ,0,6/29/21,NM
Haciendas At Grace Village Unit C,2802 CORTE DIOS,2219,"HACIENDAS AT GRACE VILLAGE, LLC",Las,,(575) 524-1020  ,0,6/29/21,NM
Haciendas At Grace Village Unit D,2802 CORTE DIOS,2220,"HACIENDAS AT GRACE VILLAGE, LLC",Las,,(575) 524-1020  ,18,6/29/21,NM
Hannett House,4720 HANNETT NE,5372,"C ENTERPRISES, LLC",Albuquerque,87110,(719) 685-4757  ,10,6/29/21,NM
Harmony House,4102 MALAGA COURT SE,5730,HARMONY RESIDENTIAL CARE CORP,Rio,,(505) 349-3989  ,8,6/29/21,NM
Haven Care - Aspen House,9701 CAMINO DEL SOL NE,4104,"HAVEN SENIOR HOLDINGS, LLC",Albuquerque,87109,(505) 275-2275  ,5,6/29/21,NM
Haven Care - Birch House,5320 VAN CHRISTOPHER NE,4103,"HAVEN SENIOR HOLDINGS, LLC",Albuquerque,87111,(505) 275-2275  ,5,6/29/21,NM
Haven Care - Cottonwood House,5305 QUEENS CT NE,4102,"HAVEN SENIOR HOLDINGS, LLC",Albuquerque,87109,(505) 275-2275  ,5,6/29/21,NM
Haven Care - Dogwood House,4014 ST ANDREWS SE,4099,"HAVEN SENIOR HOLDINGS, LLC",Rio,,(505) 275-2275  ,5,6/29/21,NM
Haven Care - Evergreen House,10400 CALLE CONTENTO NW,4101,"HAVEN SENIOR HOLDINGS, LLC",Albuquerque,87114,(505) 275-2275  ,5,6/29/21,NM
Haven Care - Fir House,10405 LOS SUENOS NW,4100,"HAVEN SENIOR HOLDINGS, LLC",Albuquerque,87114,(505) 275-2275  ,5,6/29/21,NM
"Heartfelt Manor, Inc.",2210 EAST PINE LODGE ROAD,2104,HEARTFELT MANOR INCORPORATE,Roswell,88201,(575) 625-9145  ,8,6/29/21,NM
"Heaven Sent, Llc",6128 ALDEA AVENUE NW,2159,"HEAVEN SENT, LLC",Albuquerque,87114,(505) 898-2688  ,8,6/29/21,NM
"Hilldale House (Active Solutions, Inc)",14528 HILLDALE ROAD NE,2207,"ACTIVE SOLUTIONS, INC",Albuquerque,87123,(505) 319-4561  ,8,6/29/21,NM
Kingston Residence Of Santa Fe,2400 LEGACY COURT,5796,KINGSTON HEALTHCARE COMPANY,Santa,,(505) 471-2400  ,105,6/29/21,NM
La Posada Assisted Living Facility,299 E MONTANA AVE,2246,"MY PHYSICIAN, INC",Las,,(575) 523-4700  ,30,6/29/21,NM
La Vida Llena,"13450 WENONAH AVE SE, BUILDING #1",4114,HAVERLAND CARTER LIFESTYLE GROUP,Albuquerque,87111,(505) 296-6700  ,15,6/29/21,NM
La Vida Llena,"13450 WENONAH AVE SE, BUILDING #4",4111,HAVERLAND CARTER LIFESTYLE GROUP,Albuquerque,87111,(505) 296-6700  ,15,6/29/21,NM
La Vida Llena,10501 LAGRIMA DE ORO NE,5674,LA VIDA LLENA,Albuquerque,87111,(505) 296-6700  ,84,6/29/21,NM
Lake View Manor Ii,1119  JARAMILLO COURT,2132,LAKE VIEW MANOR II,Los,,(505) 865-4469  ,3,6/29/21,NM
"Lakeview Christian Home Of The Southwest, Inc.",1905 WEST PIERCE STREET,5553,"LAKEVIEW CHRISTIAN HOME OF THE SOUTHWEST, INC.",Carlsbad,88220,(575) 887-3947  ,35,6/29/21,NM
Lakeview Manor,28 LAKEVIEW ST,2070,LAKEVIEW MANOR,Los,,(505) 866-9553  ,3,6/29/21,NM
Life Spire Assisted Living,9151 HIGH ASSETS WAY NW,2137,JAMES & CAROL LYNN HERRERA ENTERPRISES,Albuquerque,87120,(505) 831-6250  ,16,6/29/21,NM
Life Spire Assisted Living Of North Albuquerque Acres,7500 OAKLAND AVE NE,4012,"A MEANINGFUL DAY, INC",Albuquerque,87113,(505) 831-6250  ,31,6/29/21,NM
Life Spire Assisted Living Of Rio Rancho,1001 24TH ST,2216,"A MEANINGFUL DAY, INC",Rio,,(505) 831-6250  ,30,6/29/21,NM
Light Of Life,708 LANDMAN NE,4000,MARTHA GARCIA,Albuquerque,87123,(505) 440-0827  ,3,6/29/21,NM
Little Roses Home Care Of The South West,4917 REGINA CIRCLE NW,2139,"LITTLE ROSE'S HOME, INC.",Albuquerque,87105,(505) 836-4623  ,10,6/29/21,NM
Los Amigos Assisted Living Home,1148 BLUE HOLE ROAD,2295,"VECINOS SANOS, INC",Santa,,(575) 472-2002  ,50,6/29/21,NM
Lotus Home Galaxia,9109 GALAXIA WAY NE,2199,SUNRISE LOTUS GROUP LLC,Albuquerque,87111,(505) 238-3100  ,7,6/29/21,NM
Mariah House,5004 MARIAH RD NW,5515,"ATRISCO LIGHTS, LLC",Albuquerque,87120,(505) 379-8455  ,10,6/29/21,NM
Marler Manor,3712 GENERAL PATCH ST NE,7020,"CAL ENTERPRISES, LLC",Albuquerque,87111,(505) 837-2273  ,7,6/29/21,NM
Mescalero Assisted Living,454 LIPAN AVENUE,2025,MESCALERO APACHE TRIBE,Mescalero,88340,(575) 464-4802  ,8,6/29/21,NM
"Millie'S Assisted Living Community,  Llc",600 NORTH HUDSON STREET,2049,"MILLIE'S CENTER, LLC",Silver,,(575) 534-9172  ,16,6/29/21,NM
Montebello On Academy (The),10500 ACADEMY ROAD NE,4109,SNH NM TENANT LLC,Albuquerque,87111,(505) 294-9944  ,48,6/29/21,NM
Montecito Santa Fe Memory Care Community (The),450 RODEO ROAD,4123,"SANTA FE MC, LLC",Santa,,(505) 428-7776  ,40,6/29/21,NM
Morning Star Assisted Living & Memory Care Rio Rancho,2301 GOLF COURSE ROAD SE ,4094,CD-MS (RIO RANCHO) LLC,Rio,,(505) 717-0747  ,94,6/29/21,NM
Morningstar Assisted Living And Memory Care Of Santa Fe,2041 S PACHECO ST,4107,PACHECO SENIOR CARE LLC,Santa,,(505) 587-8232  ,103,6/29/21,NM
