REPORT LINK,FACILITY_ID,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_STATE,FACILITY_CITY,FACILITY_COUNTY,FACILITY_ZIP,FACILITY_PHONE,FACILITY_WOUND,FACILITY_INFECT,FACILITY_ALZ,FACILITY_VENT,FACILITY_TYPE,FACILITY_SUBTYPE,FACTYPE,FACILITY_TYPE_PROMPT,FACILITY_BURNUNIT,FACILITY_EMERGENCYDEPT,FACILITY_TRAUMA,GEOTYPE,Map Accuracy,x,y
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000100.htm"">View</a>",000100NFS,WESTMINSTER HEALTH CARE CENTER,2210 GREENTREE N,IN,CLARKSVILLE,CLARK,47129,8122825911,N,Y,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9547510.603,4626276.925
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000103.htm"">View</a>",000103NFS,ALTENHEIM HEALTH & LIVING COMMUNITY,3525 E HANNA AVE,IN,INDIANAPOLIS,MARION,46237,3177884261,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9585217.409,4823558.394
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000105.htm"">View</a>",000105NFS,MARQUETTE,8140 TOWNSHIP LINE RD,IN,INDIANAPOLIS,MARION,46260,3178759700,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9596099.668,4851914.254
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000115.htm"">View</a>",000115NFS,HANOVER NURSING CENTER,410 W LAGRANGE RD,IN,HANOVER,JEFFERSON,47243,8128662625,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9515809.706,4680850.276
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000125.htm"">View</a>",000125NFS,DYER NURSING AND REHABILITATION CENTER,601 SHEFFIELD AVE,IN,DYER,LAKE,46311,2193222273,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9742270.286,5089059.375
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000126.htm"">View</a>",000126NFS,WESTMINSTER VILLAGE HEALTH & REHAB,1120 E DAVIS DR,IN,TERRE HAUTE,VIGO,47802,8122327533,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9729745.062,4783205.717
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000141.htm"">View</a>",000141NFS,AVON HEALTH & REHABILITATION CENTER,4171 FOREST POINTE CIRCLE,IN,AVON,HENDRICKS,46123,3177455184,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9614670.431,4835063.157
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000180.htm"">View</a>",000180NFS,GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,2515 NEWTON ST,IN,JASPER,DUBOIS,47547,8124821722,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9678122.541,4637784.533
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000187.htm"">View</a>",000187NFS,ST ELIZABETH HEALTHCARE CENTER,701 ARMORY RD,IN,DELPHI,CARROLL,46923,7655646380,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9648157.338,4950032.123
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000189.htm"">View</a>",000189NFS,AMERICAN VILLAGE,2026 EAST 54TH ST,IN,INDIANAPOLIS,MARION,46220,3172536950,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9587748.203,4844474.401
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000191.htm"">View</a>",000191NFS,FORUM AT THE CROSSING,8505 WOODFIELD CROSSING BLVD,IN,INDIANAPOLIS,MARION,46240,3174662020,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9587177.3,4853085.524
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000228.htm"">View</a>",000228NFS,OSSIAN HEALTH CARE AND REHABILITATION CENTER,215 DAVIS RD,IN,OSSIAN,WELLS,46777,2606227821,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9480449.07,4995914.036
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000240.htm"">View</a>",000240NFS,SAINT ANNE HOME,1900 RANDALLIA DR,IN,FORT WAYNE,ALLEN,46805,2604845555,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9474465.87,5026179.47
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000248.htm"">View</a>",000248NFS,RAWLINS HOUSE HEALTH & LIVING COMMUNITY,300 J H WALKER DR,IN,PENDLETON,MADISON,46064,7657787501,N,Y,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9543749.674,4866626.747
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000252.htm"">View</a>",000252NFS,AMBER MANOR CARE CENTER,801 E ILLINOIS ST,IN,PETERSBURG,PIKE,47567,8123543001,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9715377.612,4648198.867
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000255.htm"">View</a>",000255NFS,BYRON HEALTH CENTER,12101 LIMA RD,IN,FORT WAYNE,ALLEN,46818,2606373166,Y,Y,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9480891.788,5040935.553
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000280.htm"">View</a>",000280NFS,SWISS VILLAGE,1350 W MAIN ST,IN,BERNE,ADAMS,46711,2605893173,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9458632.565,4961811.307
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000282.htm"">View</a>",000282NFS,GOLDEN YEARS HOMESTEAD,3136 GOEGLEIN RD,IN,FORT WAYNE,ALLEN,46815,2607499655,N,Y,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9466223.441,5028188.83
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000283.htm"">View</a>",000283NFS,LUTHERAN LIFE VILLAGES,6701 S ANTHONY BLVD,IN,FORT WAYNE,ALLEN,46816,2604471591,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9474457.632,5015760.13
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000299.htm"">View</a>",000299NFS,MILNER COMMUNITY HEALTH CARE,370 E MAIN ST,IN,ROSSVILLE,CLINTON,46065,7653792112,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9638255.914,4926809.547
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000312.htm"">View</a>",312,ROSEWOOD MANOR,5200 S BURLINGTON DR,IN,MUNCIE,DELAWARE,47302,7652880087,N,N,N,N,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,02R,ALL NURSING HOMES,N,N,0,9,On or Near Building,-9499276.313,4887257.067
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000347.htm"">View</a>",000347NFS,LUTHERAN COMMUNITY HOME,111 W CHURCH AVE,IN,SEYMOUR,JACKSON,47274,8125225927,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9560743.708,4713477.894
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000372.htm"">View</a>",000372NFS,ELWOOD HEALTH AND LIVING,2300 PARKVIEW LN,IN,ELWOOD,MADISON,46036,7652032672,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9554725.553,4907700.654
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000389.htm"">View</a>",000389NFS,ST AUGUSTINE HOME FOR THE AGED,2345 W 86TH ST,IN,INDIANAPOLIS,MARION,46260,3174155767,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9595899.85,4852987.997
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000391.htm"">View</a>",000391NFS,ST PAUL HERMITAGE,501 N 17TH AVE,IN,BEECH GROVE,MARION,46107,3177862261,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9584494.5,4827026.582
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000404.htm"">View</a>",000404NFS,PRESENCE SACRED HEART HOME,515 N MAIN ST,IN,AVILLA,NOBLE,46710,2608972841,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9488794.804,5067678.32
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000419.htm"">View</a>",000419NFS,PARKER HEALTH CARE & REHABILITATION CENTER,359 RANDOLPH ST,IN,PARKER CITY,RANDOLPH,47368,7654688280,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9484593.495,4893171.277
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000420.htm"">View</a>",000420NFS,RIPLEY CROSSING,1200 WHITLATCH WAY,IN,MILAN,RIPLEY,47031,8126542231,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9477073.084,4741005.409
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000427.htm"">View</a>",000427NFS,HAMILTON GROVE,31869 CHICAGO TRAIL,IN,NEW CARLISLE,ST JOSEPH,46552,5746542200,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9627363.302,5120576.015
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000439.htm"">View</a>",000439NFS,GOOD SAMARITAN HOME HEALTH CENTER AND RESIDENTIAL,601 N BOEKE RD,IN,EVANSVILLE,VANDERBURGH,47711,8124764912,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9742615.043,4577110.573
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000448.htm"">View</a>",000448NFS,TIMBERCREST CHURCH OF THE BRETHREN HOME,2201 EAST ST,IN,NORTH MANCHESTER,WABASH,46962,2609822118,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9546737.155,5015845.71
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000455.htm"">View</a>",000455NFS,ARBOR TRACE HEALTH & LIVING COMMUNITY,3701 HODGIN RD,IN,RICHMOND,WAYNE,47374,7659393701,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9445542.729,4838684.47
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000470.htm"">View</a>",000470NFS,MULBERRY HEALTH & REHABILITATION CENTER,502 W JACKSON ST,IN,MULBERRY,CLINTON,46058,7652962911,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9648229.139,4916644.646
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000471.htm"">View</a>",000471NFS,APERION CARE DEMOTTE,10352 N 600 E  COUNTY LINE RD,IN,DEMOTTE,JASPER,46310,2193455211,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9715530.343,5034414.107
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000485.htm"">View</a>",000485NFS,PEABODY RETIREMENT COMMUNITY,400 W SEVENTH ST,IN,NORTH MANCHESTER,WABASH,46962,2609828616,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9548611.108,5013289.544
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000491.htm"">View</a>",000491NFS,PADDOCK SPRINGS,2695 SHELDON STREET,IN,WARSAW,KOSCIUSKO,46582,5746589455,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,7,On or Near Building,-9557546.278,5053116.941
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000501.htm"">View</a>",000501NFS,GRACE VILLAGE HEALTH CARE FACILITY,337 GRACE VILLAGE DR,IN,WINONA LAKE,KOSCIUSKO,46590,5743726100,Y,Y,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9551408.678,5045167.569
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000534.htm"">View</a>",000534NFS,SCENIC HILLS AT THE MONASTERY,710 SUNRISE DRIVE,IN,FERDINAND,DUBOIS,47532,8125042048,Y,Y,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,7,On or Near Building,-9668282.009,4610787.709
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000538.htm"">View</a>",000538NFS,ZIONSVILLE MEADOWS,675 S FORD RD,IN,ZIONSVILLE,BOONE,46077,3178735205,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9604362.914,4857818.3
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000539.htm"">View</a>",000539NFS,PARKVIEW HAVEN,101 CONSTITUTION DR,IN,FRANCESVILLE,PULASKI,47946,2195679149,Y,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9671431.126,5010906.45
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000541.htm"">View</a>",000541NFS,TOWNE HOUSE RETIREMENT COMMUNITY,2209 ST JOE CENTER RD,IN,FORT WAYNE,ALLEN,46825,2604833116,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9474642.312,5032144.654
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000542.htm"">View</a>",000542NFS,HERITAGE POINTE,801 N HUNTINGTON AVE,IN,WARREN,HUNTINGTON,46792,2603752201,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9509900.089,4966346.408
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000543.htm"">View</a>",000543NFS,FOUR SEASONS RETIREMENT CENTER,1901 TAYLOR RD,IN,COLUMBUS,BARTHOLOMEW,47203,8123728481,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9559549.695,4752919.757
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000547.htm"">View</a>",000547NFS,CUMBERLAND POINTE HEALTH CAMPUS,1051 CUMBERLAND AVE,IN,WEST LAFAYETTE,TIPPECANOE,47906,7654632571,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9675720.823,4932996.4
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000548.htm"">View</a>",000548NFS,HOOSIER VILLAGE,9875 CHERRYLEAF DR,IN,INDIANAPOLIS,MARION,46268,3178733349,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9601395.137,4855746.245
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000549.htm"">View</a>",000549NFS,CENTURY VILLA HEALTH CARE,705 N MERIDIAN ST,IN,GREENTOWN,HOWARD,46936,7656283377,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9569824.15,4936520.552
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000551.htm"">View</a>",000551NFS,HARBOUR MANOR HEALTH & LIVING COMMUNITY,1667 SHERIDAN RD,IN,NOBLESVILLE,HAMILTON,46060,3177739205,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9578878.32,4874542.396
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000556.htm"">View</a>",000556NFS,ADAMS WOODCREST,1300 MERCER AVE,IN,DECATUR,ADAMS,46733,2607243311,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9451705.932,4984696.578
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000557.htm"">View</a>",000557NFS,WESLEYAN HEALTH CARE CENTER,729 WEST 35TH ST,IN,MARION,GRANT,46953,7656743371,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9536688.833,4942914.832
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000576.htm"">View</a>",000576NFS,CHRISTIAN CARE RETIREMENT COMMUNITY,720 E DUSTMAN RD,IN,BLUFFTON,WELLS,46714,2605653000,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9479065.703,4976378.679
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr001120.htm"">View</a>",001120NFS,ASBURY TOWERS HEALTH CARE CENTER,102 W POPLAR ST,IN,GREENCASTLE,PUTNAM,46135,7656535148,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9669876.772,4814086.499
