Facility Name,Licensee,Facility ID,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,State Facility Type 2 Literal,License Number,Capacity,Date Accessed
"Elmhurst, The House Of Friendship, Inc","ELMHURST, THE HOUSE OF FRIENDSHIP, INC.",506022,1228 NATIONAL ROAD,Wheeling,WV,26003,Ohio,(304)242-0240,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506022.0,48,7/6/21
Fazio'S Elder Care,FAZIO'S ELDER CARE L L C,507549,156 STONEY LONESOME ROAD,Fairmont,WV,26554,Marion,(304)534-3139,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507549.0,17,7/6/21
Fitzwater Assisted Living The Chandler House,FITZWATER ASSISTED LIVING THE CHANDLER HOUSE,507464,219 LOCUST AVENUE,Fairmont,WV,26554,Marion,(304)363-1399,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507464.0,16,7/6/21
Fitzwater Assisted Living The Sterling Place,FITZWATER ASSISTED LIVING THE STERLING PLACE,507573,213 LOCUST AVENUE,Fairmont,WV,26554,Marion,No Phone,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507573.0,13,7/6/21
Gauley River Assisted Living,"GAULEY RIVER ASSISTED LIVING, LLC",507571,"4967 GAULEY RIVER ROAD, PO BOX 726 GAULEY BRIDGE WV 25085",Gauley Bridge,WV,25085,Fayette,No Phone,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507571.0,16,7/6/21
Glen Rogers Manor,MULLENS MANOR INC DBA GLEN ROGERS MANOR,507530,11544 POPLAR GAP RD,Glen Rogers,WV,25848,Wyoming,(304)294-7003,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507530.0,57,7/6/21
Golden Oaks,GOLDEN OAKS RESIDENTIAL BOARD AND CARE INC,507366,108 LEE ROAD,Follansbee,WV,26037,Brooke,(304)527-2466,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507366.0,19,7/6/21
Grant County Assisted Living,"GRANT REHABILITATION AND CARE CENTER, INC.",506089,127 EARLY AVENUE,Petersburg,WV,26847,Grant,(304)257-4233,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,506089.0,4,7/6/21
Grayson Assisted Living,"GRAYSON ASSISTED LIVING, INC.",507554,3455 STATE RT 75,Huntington,WV,25704,Cabell,(304)972-0815,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507554.0,16,7/6/21
Grenich Care Home Inc,GRENICH CARE HOME INC,507002,67 GRENICH AVENUE,Bunker Hill,WV,25413,Berkeley,(304)229-3624,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507002.0,12,7/6/21
Harmony At Martinsburg (Alr/Alz),"MARTINSBURG OPERATIONS, LLC TRADENAME HARMONY AT MARTINSBURG (ALR/ALZ)",507590,13857 APPLE HARVEST DRIVE,Martinsburg,WV,254036195,Berkeley,(304)596-0783,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507590.0,140,7/6/21
Harmony At Morgantown (Alr/Alz),MORGANTOWN OPERATIONS LLC TRADENAME HARMONY AT MORGANTOWN,WV507591,50 HARMONY DRIVE,Morgantown,WV,26508,Monongalia,(304)212-4939,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507591.0,118,7/6/21
Harmony At Southridge (Alr/Alz),HARMONY AT SOUTHRIDGE,506029,801 PEYTON WAY,Charleston,WV,25309,Kanawha,No Phone,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,,120,7/6/21
Harmony At White Oaks (Alr/Alz),"BRIDGEPORT OPERATIONS, LLC DBA HARMONY AT WHITE OAKS",506002,2025 WHITE OAKS BOULEVARD,Bridgeport,WV,26330,Harrison,No Phone,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506005.0,110,7/6/21
Havens At Princeton,"THE HAVENS AT PRINCETON, LLC",507505,2205 NEW HOPE ROAD,Princeton,WV,24740,Mercer,(304)431-3544,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507505.0,63,7/6/21
Heritage At St Marys,"THE HERITAGE AT ST MARY'S, INC.",507461,1809 NORTH PLEASANTS HIGHWAY,St. Mary'S,WV,26170,Pleasants,(304)684-3200,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507461.0,38,7/6/21
Home Sweet Huntington Residential Care,"IPG ENTERPRISES, LLC D/B/A HOME SWEET HUNTINGTON RESIDENTIAL CARE",507421,2910 3RD AVENUE,Huntington,WV,25702,Cabell,(304)525-3062,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507421.0,18,7/6/21
John Manchin Sr Assisted Living,JOHN MANCHIN SR ASSISTED LIVING,507576,3205 HUSKY HIGHWAY,Farmington,WV,26571,Marion,(304)825-1900,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,,20,7/6/21
Kanawha Place,CHARLESTON AID II OPCO DBA KANAWHA PLACE,507544,699 SOUTH PARK ROAD,Charleston,WV,25304,Kanawha,(304)925-4663,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507544.0,68,7/6/21
Kyle'S Place,LOVING ARMS L L C (DBA KYLE'S PLACE),507570,113 SHUMATE STREET,Oak Hill,WV,25901,Fayette,No Phone,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,,31,7/6/21
Lavender Fields Assisted Living,"LAVENDER FIELDS ASSISTED LIVING, LLC DBA LAVENDER FIELDS ASSISTED LIVING",507529,150 WATER STREET,Beverly,WV,26253,Randolph,(304)630-1100,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507529.0,16,7/6/21
Love And Care Assisted Living,"LOVE AND CARE, INC.",506030,5368 DUPONT ROAD,Parkersburg,WV,26102,Wood,(304)863-8950,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506030.0,20,7/6/21
Loving Hands Adult Care Llc,LOVING HANDS ADULT CARE LLC,507540,402 AIRPORT ROAD,Bluefield,WV,24701,Mercer,(304)327-8206,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507540.0,16,7/6/21
Madison Park Healthcare,"FAIRHAVEN OPCO, LLC DBA MADISON PARK HEALTHCARE",507552,700 MADISON AVENUE,Huntington,WV,25704,Cabell,(304)522-0032,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507552.0,26,7/6/21
"Magnolia Assisted Living, Inc","MAGNOLIA ASSISTED LIVING, INC",509197,1700 THISTLEWOOD DR,Hurricane,WV,25526,Putnam,No Phone,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,509197.0,6,7/6/21
"Manchin Assisted Living, Llc","MANCHIN ASSISTED LIVING, LLC",507593,140 PROFESSIONAL PLACE,Bridgeport,WV,26330,Harrison,(304)848-9270,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507593.0,20,7/6/21
Maples Assisted Living,"MAPLES HEALTH CARE, INC.",506061,1600 BLAND STREET,Bluefield,WV,24701,Mercer,(304)327-2485,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,,28,7/6/21
Mary Woelfel Assisted Living,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507564,921 23RD STREET,Huntington,WV,25701,Cabell,(304)697-1270,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507564.0,6,7/6/21
Meadow Brook Assistance With Living,"MEADOW BROOK ASSISTANCE WITH LIVING, INC.",507539,5700 CAMP CREEK ROAD,Julian,WV,25529,Boone,(304)369-0038,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507539.0,16,7/6/21
"Milestone Senior Living, Llc","MILESTONE SENIOR LIVING, LLC",WV507588,2301 KENNEDY AVE,Parkersburg,WV,26101,Wood,(304)865-4545,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507588.0,42,7/6/21
Mountain Memories,MOUNTAIN MEMORIES ASSISTED LIVING AND RETIREMENT CENTER LLC (ALR/ALZ),507578,301 WILSON LANE,Elkins,WV,26241,Randolph,(304)636-8600,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507578.0,88,7/6/21
"Mullens Manor Assisted Living, Inc","MULLENS MANOR, INC.",507587,1238 GUYANDOTTE AVE,Mullens,WV,25882,Wyoming,(304)294-7591,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507587.0,12,7/6/21
Oak Hill Place,OAK HILL AID II OPCO DBA OAK HILL PLACE,507542,438 23RD STREET,Oak Hill,WV,25901,Fayette,No Phone,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507542.0,58,7/6/21
Paramount Senior Living At Cabell Midland (Alr/Alz,"PARAMOUNT HEALTH HOLDINGS GROUP, INC-PARAMOUNT SENIOR LIVING AT CABELL MIDLAND",507534,100 WEATHERHOLT DR,Ona,WV,25545,Cabell,No Phone,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507534.0,110,7/6/21
Patty'S Home Away From Home,PATTY'S HOME AWAY FROM HOME,507405,5333 WHITMAN CREEK ROAD,Whitman,WV,25652,Logan,(304)239-2860,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507405.0,21,7/6/21
Pepperberry Suites,FOXCREST INC. DBA PEPPERBERRY SUITES,506127,144 FOX LANE,Chester,WV,26034,Hancock,(304)387-0101,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506127.0,35,7/6/21
Pineville Manor,"MULLENS MANOR, INC DBA PINEVILLE MANOR",507560,198 PARK STREET,Pineville,WV,24874,Wyoming,(304)732-8502,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,,35,7/6/21
Pleasant Acres,PLEASANT ACRES CHRISTIAN HAVEN ASSOCIATION,506038,41 PLEASANT ACRES DRIVE,Fairmont,WV,26554,Marion,(304)366-0816,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,506038.0,14,7/6/21
Princeton Center Llc,PRINCETON CENTER LLC DBA GLENWOOD PARK RETIREMENT VILLAGE,506013,1924 GLENWOOD PARK RD,Princeton,WV,24739,Mercer,(304)425-8128,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506013.0,60,7/6/21
Ravenswood Care Center,RAVENSWOOD CARE CENTER,506039,1113 WASHINGTON STREET,Ravenswood,WV,26164,Jackson,(304)273-9482,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506039.0,72,7/6/21
"Ridge Care, Llc","RIDGE CARE, LLC",507438,135 ANTELOPE LANE,Princeton,WV,24739,Mercer,(304)487-1278,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507438.0,16,7/6/21
Rockin Chair Residential Care Inc,ROCKIN CHAIR RESIDENTIAL CARE INC,507522,2103 PINEGROVE ROAD,Lerona,WV,25971,Mercer,(304)384-4299,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507522.0,16,7/6/21
Rolling Meadows Place,SCOTT DEPOT AID II OPCO LLC TRADENAME ROLLING MEADOWS PLACE,507543,5 ROLLING MEADOWS,Scott Depot,WV,25560,Putnam,(304)757-3104,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507543.0,58,7/6/21
Rose Manor,"MULLENS MANOR, INC DBA ROSE MANOR",507594,27 MAIN STREET,Pineville,WV,24874,Wyoming,No Phone,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507594.0,16,7/6/21
Seasons Place,LEWISBURG AID II OPCO LLC DBA SEASONS PLACE,507541,177 HOLT LANE,Lewisburg,WV,24901,Greenbrier,No Phone,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507541.0,55,7/6/21
Serenity Care Home,"SERENITY CARE HOME, LLC",507450,269 LITTLE SAND RUN ROAD,Buckhannon,WV,26201,Upshur,(304)472-6105,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507450.0,30,7/6/21
Serenity Hope,"SERENITY HOPE, LLC",507536,RT 1 BOX 153-D,Lost Creek,WV,26385,Harrison,(304)745-3554,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507536.0,8,7/6/21
Serra Manor-Hope Cottage Alr,SERRA MANOR D/B/A SERRA MANOR-HOPE COTTAGE,506090,100 SERRA DRIVE,Weirton,WV,26062,Hancock,(304)723-5363,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506090.0,61,7/6/21
"Sweetbriar Assisted Living, Llc","SWEETBRIAR ASSISTED LIVING, LLC",506097,505 CALDWELL LANE,Dunbar,WV,25064,Kanawha,(304)744-7400,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506097.0,85,7/6/21
"Talbott Personal Care Home, Inc.","TALBOTT PERSONAL CARE HOME, INC.",506133,486 SERPELL AVENUE,Belington,WV,26250,Barbour,(304)823-3300,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506133.0,20,7/6/21
Teays Valley Assisted Living,TEAYS VALLEY ASSISTED LIVING,507563,5570 ROUTE 60,Hurricane,WV,25526,Putnam,(304)397-6538,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507563.0,16,7/6/21
The Inn At Wyngate,"BARBOURSVILLE HEALTH PARTNERS, LTD DBA THE INN AT WYNGATE",506140,750 PEYTON STREET,Barboursville,WV,25504,Cabell,(304)733-6800,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506140.0,60,7/6/21
The Suites At Heritage Point,MON ELDER SERVICES DBA THE SUITES AT HERITAGE POINT,504001,ONE HERITAGE POINT,Morgantown,WV,26505,Monongalia,(304)285-1212,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,504001.0,44,7/6/21
The Village At Riverview,"THE VILLAGE AT RIVERVIEW, INC.",507586,1356 RIVERVIEW DRIVE,Barboursville,WV,25504,Cabell,(304)736-2013,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507586.0,64,7/6/21
Valentine Personal Care Home,"TALBOTT PERSONAL CARE HOME, INC. DBA VALENTINE PERSONAL CARE HOME",506056,521 DAVIS AVENUE,Elkins,WV,26241,Randolph,(304)636-3900,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506056.0,20,7/6/21
Villages At Greystone Inn,"BECKLEY HEALTH PARTNERS, LTD DBA VILLAGES AT GREYSTONE INN",507503,200 GREYSTONE DRIVE,Beaver,WV,25813,Raleigh,(304)256-7579,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,,70,7/6/21
Virginia Manor,VIRGINIA MANOR,507069,1112 VIRGINIA STREET,Ravenswood,WV,26164,Jackson,(304)273-9482,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507069.0,10,7/6/21
Walnut Place,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC., DBA WALNUT PLACE",507562,2603 KNOX AVENUE,St Albans,WV,25177,Kanawha,(304)721-8915,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507562.0,4,7/6/21
"Welty Home, L C","THE WELTY HOME, L C",506049,21 WASHINGTON AVENUE,Wheeling,WV,26003,Ohio,(304)242-5233,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,,52,7/6/21
Whitman Adult Living,WHITMAN ADULT LIVING,507504,2375 WHITMAN CREEK ROAD,Whitman,WV,25652,Logan,(304)239-2004,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,,16,7/6/21
Windy Hill Village,WINDY HILL MANOR LIMITED PARTNERSHIP TRADENAME WINDY HILL VILLAGE,506117,17024 VETERANS MEMORIAL HIGHWAY,Kingwood,WV,26537,Preston,(304)329-2741,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506117.0,50,7/6/21
Wishing Well Assisted Living Community At Fairmont,1543 COUNTRY CLUB ROAD ALF OPERATIONS LLC DBA WISHING WELL ASSISTED LIVING COMMU,507548,1543 COUNTRY CLUB ROAD,Fairmont,WV,26554,Marion,(304)363-2273,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507548.0,52,7/6/21
Woodland Hills Assisted Living,"JAYWYN, LLC DBA WOODLAND HILLS ASSISTED LIVING",507589,608 NORTH 10TH STREET,Weirton,WV,26062,Hancock,(304)748-3943,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507589.0,25,7/6/21
Woodlands Assisted Living #1,"WOODLANDS ASSISTED LIVING  FACILITY, INC.  BUILDING #1",507510,23 CARE STREET,Worthington,WV,26591,Marion,(304)287-2120,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507510.0,23,7/6/21
Woodlands Assisted Living #2,"WOODLANDS ASSISTED LIVING FACILITY, INC. BLDNG 2",507511,"23 CARE STREET, PO BOX 250 (SEND ALL MAIL TO THIS ADDRESS)",Worthington,WV,26591,Marion,(304)287-2120,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507511.0,23,7/6/21
Woodlands Retirement Community,FOSTER FOUNDATION DBA WOODLANDS RERTIREMENT COMMUNITY,506124,ONE BRADLEY FOSTER DR,Huntington,WV,25701,Cabell,(304)697-1620,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506124.0,91,7/6/21
Woodside Manor,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507502,8134 SCITES STREET,West Hamlin,WV,25571,Lincoln,(304)824-7015,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507502.0,6,7/6/21
Wyngate Of Weirton,"WEIRTON HEALTH PARTNERS, L L C",506145,100 WYNGATE DRIVE,Weirton,WV,26062,Hancock,(304)723-7004,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506145.0,80,7/6/21
Wyngate Senior Living Comm Of Parkersburg,"PARKERSBURG HEALTH PARTNERS, LLC DBA WYNGATE SENIOR LIVING COMMUNITY OF PARKERSB",506148,ONE WYNGATE DRIVE,Parkersburg,WV,26105,Wood,(304)428-2004,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506148.0,65,7/6/21
Young'S Care Home I,YOUNG'S CARE HOME I,507279,"1205 2ND STREET, MAIL POC TO CONNIE YOUNG, 311 9TH ST, GLEN DALE",Moundsville,WV,26041,Marshall,(304)845-7694,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507279.0,16,7/6/21
Young'S Care Home I I,YOUNG'S CARE HOME I I,507207,"102 HICKORY AVENUE, 311 9TH STREET GLENDALE, WV  26038 (MAILING)",Moundsville,WV,26041,Marshall,(304)845-5129,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507207.0,18,7/6/21
