Facility Name,Legal Name,Administrator,State Key,Operation Status,Opened,Closed,Physical Address,Physical Address 2,City,State,Zip,County,Phone Number,FAX,Facility Type,Sub Type,Abbreviation,License Type,License Number,License Effective,License Expires,Licensed Beds,Certified Beds,SSI Beds,Total Beds,Medicare,Medicaid,SSI,Longitude,Latitude
CENTRAL AVE ASSISTED LIVING,CENTRAL AVE ASSISTED LIVING,,507512,Active,4/11/06,,1046 CENTRAL AVE,,Charleston,WV,25302,Kanawha,(304)414-0135,(304)414-0136,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507512,6/24/21,6/23/22,0,8,8,8,No,No,Yes,,
CHATEAU GROVE SENIOR LIVING,CHATEAU GROVE INC.,,506007,Active,8/2/05,,#6 CHATEAU GROVE LANE,,Barboursville,WV,25504,Cabell,(304)736-3443,(304)736-4528,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506007,8/8/20,8/8/21,0,80,0,80,No,No,No,,
"CLARK'S CHRISTIAN CARE, INC","CLARK'S CHRISTIAN CARE, Inc.",,507337,Active,9/16/99,,145 WALNUT STREET,,EAST BANK,WV,25067,Kanawha,(304)595-4171,(304)595-4171,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507337,2/19/21,2/19/22,0,12,0,12,No,No,No,,
CONCORD I,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",,507500,Active,10/4/04,,2218 WASHINGTON ST E,,Charleston,WV,25301,Kanawha,(304)342-5042,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,,,,,0,8,8,8,No,No,Yes,,
CONCORD I I,"Prestera Center for Mental Health Services, Inc., dba Concord I I",,507501,Active,11/30/04,,5511 NOYES AVENUE,,Charleston,WV,25304,Kanawha,(304)925-7728,(304)925-8489,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,,,,,0,8,8,8,No,No,Yes,,
"COUNTRY VIEW ASSISTED LIVING, INC","COUNTRY VIEW ASSISTED LIVING, INC",,507508,Active,7/12/19,,2925 SENECA TRAIL SOUTH,,Peterstown,WV,24963,Monroe,(304)753-4300,(304)753-6330,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507508,7/12/20,7/12/21,0,42,0,42,No,No,No,,
COUNTRY VILLA CARE INC,COUNTRY VILLA CARE INC,,507347,Active,12/19/01,,78 HIGH STREET,,BUFFALO,WV,25033,Putnam,(304)937-4110,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507347,3/9/21,3/9/22,0,13,4,13,No,No,Yes,,
"COUNTRYSIDE ASSISTED LIVING, LLC","COUNTRYSIDE ASSISTED LIVING, LLC",,507547,Active,11/19/08,,1228 BERKELEY STATION ROAD,,MARTINSBURG,WV,25404,Berkeley,(304)596-6227,(304)596-6226,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507547,11/19/20,11/19/21,0,16,3,16,No,No,Yes,,
CYPRESS MANOR ASSISTED LIVING,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",,507565,Active,9/27/11,,1436 7TH AVENUE,,HUNTINGTON,WV,25701,Cabell,(304)399-1275,(304)399-1077,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507565,9/28/20,9/28/21,0,8,8,8,No,No,Yes,,
DIGNITY ASSISTED LIVING,DIGNITY ASSISTED LIVING,,WV506024,Active,3/4/21,,557 MAIN STREET,,Chapmanville,WV,25508,Logan,No Phone,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Initial,506024,3/4/21,3/4/22,0,16,0,16,No,No,No,,
ELMCROFT OF  MAPLEWOOD,BISHOP MAPLEWOOD LESSEE LLC TRADENAME ELMCROFT OF MAPLEWOOD,,507567,Active,10/1/18,,1000 S MAPLEWOOD DRIVE,,Bridgeport,WV,26330,Harrison,(304)848-0200,(304)848-0205,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507567,10/1/20,10/1/21,0,56,0,56,No,No,No,,
ELMCROFT OF MARTINSBURG,"EC Opco Martinsburg, LLC",,507396,Active,4/29/04,,200 GLOUCESTER DRIVE,,Martinsburg,WV,25401,Berkeley,(304)267-5800,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507396,4/10/21,4/10/22,0,97,0,97,No,No,No,,
ELMCROFT OF TEAYS VALLEY (ALR/ALZ),"EC OPCO TEAYS VALLEY, LLC TRADENAME ELMCROFT OF TEAYS VALLEY",,506138,Active,10/4/19,,4000 OUTLOOK DRIVE,,Hurricane,WV,25526,Putnam,(304)757-4778,(304)757-4779,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506138,10/4/20,10/4/21,0,77,0,77,No,No,No,,
"ELMHURST, THE HOUSE OF FRIENDSHIP, INC","ELMHURST, THE HOUSE OF FRIENDSHIP, INC.",,506022,Active,9/2/98,,1228 NATIONAL ROAD,,Wheeling,WV,26003,Ohio,(304)242-0240,(304)242-0585,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506022,7/17/20,7/17/21,0,48,0,48,No,No,No,,
FAZIO'S ELDER CARE,FAZIO'S ELDER CARE L L C,,507549,Active,4/29/09,,156 STONEY LONESOME ROAD,,Fairmont,WV,26554,Marion,(304)534-3139,(304)534-3139,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507549,4/9/21,4/9/22,0,17,0,17,No,No,No,,
FITZWATER ASSISTED LIVING THE CHANDLER HOUSE,FITZWATER ASSISTED LIVING THE CHANDLER HOUSE,,507464,Active,10/1/02,,219 LOCUST AVENUE,,Fairmont,WV,26554,Marion,(304)363-1399,(304)363-8554,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507464,4/6/21,4/6/22,0,16,0,16,No,No,No,,
FITZWATER ASSISTED LIVING THE STERLING PLACE,FITZWATER ASSISTED LIVING THE STERLING PLACE,,507573,Active,8/17/12,,213 LOCUST AVENUE,,FAIRMONT,WV,26554,Marion,No Phone,(304)363-5353,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507573,4/6/21,4/6/22,0,13,0,13,No,No,No,,
GAULEY RIVER ASSISTED LIVING,"GAULEY RIVER ASSISTED LIVING, LLC",,507571,Active,12/3/12,,4967 GAULEY RIVER ROAD,PO BOX 726 GAULEY BRIDGE WV 25085,Gauley Bridge,WV,25085,Fayette,No Phone,(304)632-1634,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507571,3/23/21,12/22/21,0,16,0,16,No,No,No,,
GLEN ROGERS MANOR,Mullens Manor Inc DBA Glen Rogers Manor,REBECCA LOVEJOY-BUZZO,507530,Active,3/24/08,,11544 POPLAR GAP RD,,GLEN ROGERS,WV,25848,Wyoming,(304)294-7003,(304)732-8504,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507530,3/24/21,3/24/22,0,57,57,57,No,No,Yes,,
GOLDEN OAKS,GOLDEN OAKS RESIDENTIAL BOARD AND CARE INC,,507366,Active,1/14/98,,108 LEE ROAD,,FOLLANSBEE,WV,26037,Brooke,(304)527-2466,(304)527-2467,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507366,3/29/21,3/29/22,0,19,0,19,No,No,No,,
GRANT COUNTY ASSISTED LIVING,"GRANT REHABILITATION AND CARE CENTER, INC.",,506089,Active,5/12/99,,127 EARLY AVENUE,,Petersburg,WV,26847,Grant,(304)257-4233,(304)257-4610,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,506089,8/29/20,8/31/21,0,4,4,4,No,No,Yes,,
GRAYSON ASSISTED LIVING,"GRAYSON ASSISTED LIVING, INC.",,507554,Active,2/8/10,,3455 STATE RT 75,,Huntington,WV,25704,Cabell,(304)972-0815,(304)972-0814,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507554,12/8/20,12/8/21,0,16,0,16,No,No,No,,
GRENICH CARE HOME INC,GRENICH CARE HOME INC,,507002,Active,4/23/97,,67 GRENICH AVENUE,,Bunker Hill,WV,25413,Berkeley,(304)229-3624,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507002,8/10/20,8/10/21,0,12,0,12,No,No,No,,
HARMONY AT MARTINSBURG (ALR/ALZ),"Martinsburg Operations, Llc Tradename Harmony at Martinsburg (ALR/ALZ)",,507590,Active,5/16/18,,13857 APPLE HARVEST DRIVE,,MARTINSBURG,WV,254036195,Berkeley,(304)596-0783,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507590,5/16/21,5/16/22,0,140,0,140,No,No,No,,
HARMONY AT MORGANTOWN (ALR/ALZ),MORGANTOWN OPERATIONS LLC TRADENAME HARMONY AT MORGANTOWN,,WV507591,Active,10/25/18,,50 Harmony Drive,,MORGANTOWN,WV,26508,Monongalia,(304)212-4939,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507591,10/23/20,10/23/21,0,118,0,118,No,No,No,,
HARMONY AT SOUTHRIDGE (ALR/ALZ),HARMONY AT SOUTHRIDGE,,506029,Active,12/8/20,,801 PEYTON WAY,,CHARLESTON,WV,25309,Kanawha,No Phone,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,,,,,0,120,0,120,No,No,No,,
HARMONY AT WHITE OAKS (ALR/ALZ),"BRIDGEPORT OPERATIONS, LLC DBA HARMONY AT WHITE OAKS",,506002,Active,12/16/19,,2025 WHITE OAKS BOULEVARD,,BRIDGEPORT,WV,26330,Harrison,No Phone,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Initial,506005,2/13/21,2/13/22,0,110,0,110,No,No,No,,
HAVENS AT PRINCETON,"THE HAVENS AT PRINCETON, LLC",,507505,Active,12/12/03,,2205 NEW HOPE ROAD,,PRINCETON,WV,24740,Mercer,(304)431-3544,(304)487-0403,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507505,12/11/20,12/11/21,0,63,0,63,No,No,No,,
HERITAGE AT ST MARYS,"THE HERITAGE AT ST MARY'S, INC.",,507461,Active,2/21/03,,1809 NORTH PLEASANTS HIGHWAY,,St. Mary's,WV,26170,Pleasants,(304)684-3200,(304)684-1184,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507461,3/1/21,3/1/22,0,38,0,38,No,No,No,,
HOME SWEET HUNTINGTON RESIDENTIAL CARE,"IPG ENTERPRISES, LLC D/B/A HOME SWEET HUNTINGTON RESIDENTIAL CARE",,507421,Active,5/23/19,,2910 3RD AVENUE,,Huntington,WV,25702,Cabell,(304)525-3062,(304)525-3062,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507421,10/10/20,10/10/21,0,18,13,18,No,No,Yes,,
JOHN MANCHIN SR ASSISTED LIVING,JOHN MANCHIN SR ASSISTED LIVING,,507576,Active,4/11/13,,3205 HUSKY HIGHWAY,,Farmington,WV,26571,Marion,(304)825-1900,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,,,,,0,20,0,20,No,No,No,,
KANAWHA PLACE,Charleston Aid II Opco Dba Kanawha Place,,507544,Active,10/6/08,,699 SOUTH PARK ROAD,,Charleston,WV,25304,Kanawha,(304)925-4663,(304)925-7887,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507544,10/24/20,10/24/21,0,68,0,68,No,No,No,,
KYLE'S PLACE,LOVING ARMS L L C (dba Kyle's Place),,507570,Active,10/15/12,,113 SHUMATE STREET,,Oak Hill,WV,25901,Fayette,No Phone,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,,,,,0,31,23,31,No,No,Yes,,
LAVENDER FIELDS ASSISTED LIVING,"LAVENDER FIELDS ASSISTED LIVING, LLC DBA LAVENDER FIELDS ASSISTED LIVING",,507529,Active,6/20/07,,150 WATER STREET,,Beverly,WV,26253,Randolph,(304)630-1100,(304)630-2072,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507529,9/10/20,9/10/21,0,16,0,16,No,No,No,,
LOVE AND CARE ASSISTED LIVING,"LOVE AND CARE, INC.",,506030,Active,7/14/98,,5368 DUPONT ROAD,,Parkersburg,WV,26102,Wood,(304)863-8950,(304)863-9609,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506030,9/28/20,9/28/21,0,20,0,20,No,No,No,,
LOVING HANDS ADULT CARE LLC,LOVING HANDS ADULT CARE LLC,,507540,Active,2/28/08,,402 AIRPORT ROAD,,Bluefield,WV,24701,Mercer,(304)327-8206,(304)327-8208,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507540,3/24/21,3/24/22,0,16,0,16,No,No,No,,
MADISON PARK HEALTHCARE,"FAIRHAVEN OPCO, LLC DBA MADISON PARK HEALTHCARE",,507552,Active,8/10/09,,700 MADISON AVENUE,,Huntington,WV,25704,Cabell,(304)522-0032,(304)522-1481,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507552,2/1/21,2/1/22,0,26,0,26,No,No,No,,
"MAGNOLIA ASSISTED LIVING, INC","Magnolia Assisted Living, Inc",,509197,Active,4/20/21,,1700 THISTLEWOOD DR,,Hurricane,WV,25526,Putnam,No Phone,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Initial,509197,4/21/21,4/21/22,0,6,0,6,No,No,No,,
"MANCHIN ASSISTED LIVING, LLC","Manchin Assisted Living, LLC",,507593,Active,3/26/18,,140 PROFESSIONAL PLACE,,Bridgeport,WV,26330,Harrison,(304)848-9270,(304)848-9272,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507593,3/6/21,3/6/22,0,20,0,20,No,No,No,,
MAPLES ASSISTED LIVING,"MAPLES HEALTH CARE, INC.",,506061,Active,8/4/99,,1600 BLAND STREET,,Bluefield,WV,24701,Mercer,(304)327-2485,(304)323-4103,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,,,,,0,28,28,28,No,No,Yes,,
MARY WOELFEL ASSISTED LIVING,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",,507564,Active,10/18/11,,921 23RD STREET,,Huntington,WV,25701,Cabell,(304)697-1270,(304)399-1077,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507564,10/18/20,10/18/21,0,6,6,6,No,No,Yes,,
MEADOW BROOK ASSISTANCE WITH LIVING,"MEADOW BROOK ASSISTANCE WITH LIVING, INC.",,507539,Active,10/26/07,,5700 CAMP CREEK ROAD,,JULIAN,WV,25529,Boone,(304)369-0038,(304)369-0039,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507539,10/24/20,10/24/21,0,16,0,16,No,No,No,,
"MILESTONE SENIOR LIVING, LLC","MILESTONE SENIOR LIVING, LLC",,WV507588,Active,10/12/16,,2301 KENNEDY AVE,,PARKERSBURG,WV,26101,Wood,(304)865-4545,(304)424-6361,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507588,10/29/20,10/29/21,0,42,0,42,No,No,No,,
MOUNTAIN MEMORIES,Mountain Memories Assisted Living and Retirement Center LLC (ALR/ALZ),,507578,Active,3/19/13,,301 WILSON LANE,,Elkins,WV,26241,Randolph,(304)636-8600,(304)636-8673,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507578,5/11/21,5/11/22,0,88,0,88,No,No,No,,
"MULLENS MANOR ASSISTED LIVING, INC","MULLENS MANOR, INC.",,507587,Active,6/18/15,,1238 GUYANDOTTE AVE,,Mullens,WV,25882,Wyoming,(304)294-7591,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507587,3/25/21,3/25/22,0,12,12,12,No,No,Yes,,
OAK HILL PLACE,OAK HILL AID II OPCO DBA OAK HILL PLACE,,507542,Active,10/6/08,,438 23RD STREET,,Oak Hill,WV,25901,Fayette,No Phone,(304)465-5465,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507542,10/24/20,10/24/21,0,58,0,58,No,No,No,,
PARAMOUNT SENIOR LIVING AT CABELL MIDLAND (ALR/ALZ,"Paramount Health Holdings Group, Inc-Paramount Senior Living at Cabell Midland",,507534,Active,9/5/07,,100 WEATHERHOLT DR,,Ona,WV,25545,Cabell,No Phone,(304)743-9500,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507534,4/16/21,4/16/22,0,110,0,110,No,No,No,,
PATTY'S HOME AWAY FROM HOME,PATTY'S HOME AWAY FROM HOME,,507405,Active,4/28/00,,5333 WHITMAN CREEK ROAD,,WHITMAN,WV,25652,Logan,(304)239-2860,(304)239-2049,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507405,5/7/21,5/7/22,0,21,21,21,No,No,Yes,,
PEPPERBERRY SUITES,FOXCREST INC. DBA PEPPERBERRY SUITES,MATTHEW MURRAY,506127,Active,5/6/98,,144 FOX LANE,,Chester,WV,26034,Hancock,(304)387-0101,(304)387-0313,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506127,8/9/20,8/9/21,0,35,0,35,No,No,No,,
PINEVILLE MANOR,"Mullens Manor, Inc dba Pineville Manor",REBECCA LOVEJOY-BUZZO,507560,Active,6/16/10,,198 PARK STREET,,PINEVILLE,WV,24874,Wyoming,(304)732-8502,(304)732-8504,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,,,,,0,35,35,35,No,No,Yes,,
PLEASANT ACRES,PLEASANT ACRES CHRISTIAN HAVEN ASSOCIATION,,506038,Active,5/14/97,,41 PLEASANT ACRES DRIVE,,Fairmont,WV,26554,Marion,(304)366-0816,(304)366-0816,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,506038,1/4/21,1/4/22,0,14,0,14,No,No,No,,
PRINCETON CENTER LLC,Princeton Center LLC dba Glenwood Park Retirement Village,,506013,Active,4/30/98,,1924 GLENWOOD PARK RD,,Princeton,WV,24739,Mercer,(304)425-8128,(304)487-1338,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506013,4/30/21,4/30/22,0,60,9,60,No,No,Yes,,
RAVENSWOOD CARE CENTER,RAVENSWOOD CARE CENTER,,506039,Active,12/21/01,,1113 WASHINGTON STREET,,Ravenswood,WV,26164,Jackson,(304)273-9482,(304)273-9236,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506039,7/20/20,7/20/21,0,72,5,72,No,No,Yes,,
"RIDGE CARE, LLC","RIDGE CARE, LLC",,507438,Active,8/9/01,,135 ANTELOPE LANE,,PRINCETON,WV,24739,Mercer,(304)487-1278,(304)487-5650,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507438,8/20/20,8/20/21,0,16,4,16,No,No,Yes,,
ROCKIN CHAIR RESIDENTIAL CARE INC,ROCKIN CHAIR RESIDENTIAL CARE INC,,507522,Active,12/27/06,,2103 PINEGROVE ROAD,,Lerona,WV,25971,Mercer,(304)384-4299,(304)384-4200,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507522,1/2/21,1/2/22,0,16,0,16,No,No,No,,
ROLLING MEADOWS PLACE,SCOTT DEPOT AID II OPCO LLC TRADENAME ROLLING MEADOWS PLACE,,507543,Active,10/6/08,,5 ROLLING MEADOWS,,Scott Depot,WV,25560,Putnam,(304)757-3104,(304)757-0306,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507543,10/24/20,10/24/21,0,58,0,58,No,No,No,,
ROSE MANOR,"Mullens Manor, Inc DBA Rose Manor",,507594,Active,2/5/18,,27 MAIN STREET,,Pineville,WV,24874,Wyoming,No Phone,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507594,2/5/21,2/5/22,0,16,0,16,No,No,No,,
SEASONS PLACE,LEWISBURG AID II OPCO LLC DBA SEASONS PLACE,,507541,Active,10/6/08,,177 Holt Lane,,Lewisburg,WV,24901,Greenbrier,No Phone,(304)645-4469,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507541,10/24/20,10/24/21,0,55,0,55,No,No,No,,
SERENITY CARE HOME,"SERENITY CARE HOME, LLC",,507450,Active,10/18/01,,269 LITTLE SAND RUN ROAD,,Buckhannon,WV,26201,Upshur,(304)472-6105,(304)472-6172,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507450,8/10/20,8/10/21,0,30,0,30,No,No,No,,
SERENITY HOPE,"SERENITY HOPE, LLC",,507536,Active,8/31/07,,RT 1 BOX 153-D,,Lost Creek,WV,26385,Harrison,(304)745-3554,(304)745-3184,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507536,8/31/20,8/31/21,0,8,0,8,No,No,No,,
SERRA MANOR-HOPE COTTAGE ALR,Serra Manor d/b/a Serra Manor-Hope Cottage,,506090,Active,11/13/97,,100 SERRA DRIVE,,Weirton,WV,26062,Hancock,(304)723-5363,(304)723-0328,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506090,11/14/20,11/14/21,0,61,0,61,No,No,No,,
"SWEETBRIAR ASSISTED LIVING, LLC","SWEETBRIAR ASSISTED LIVING, LLC",,506097,Active,3/26/98,,505 CALDWELL LANE,,Dunbar,WV,25064,Kanawha,(304)744-7400,(304)744-7488,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506097,3/31/21,3/31/22,0,85,0,85,No,No,No,,
"TALBOTT PERSONAL CARE HOME, INC.","TALBOTT PERSONAL CARE HOME, INC.",,506133,Active,2/2/99,,486 SERPELL AVENUE,,BELINGTON,WV,26250,Barbour,(304)823-3300,(304)823-3305,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506133,6/25/21,6/24/22,0,20,0,20,No,No,No,,
TEAYS VALLEY ASSISTED LIVING,TEAYS VALLEY ASSISTED LIVING,,507563,Active,4/26/11,,5570 ROUTE 60,,HURRICANE,WV,25526,Putnam,(304)397-6538,(304)397-6540,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507563,3/2/21,5/21/22,0,16,0,16,No,No,No,,
THE INN AT WYNGATE,"BARBOURSVILLE HEALTH PARTNERS, LTD DBA THE INN AT WYNGATE",,506140,Active,12/9/99,,750 PEYTON STREET,,Barboursville,WV,25504,Cabell,(304)733-6800,(304)733-2356,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506140,1/31/21,1/31/22,0,60,0,60,No,No,No,,
THE SUITES AT HERITAGE POINT,MON ELDER SERVICES DBA THE SUITES AT HERITAGE POINT,WILMA STERNTHAL,504001,Active,10/13/99,,ONE HERITAGE POINT,,Morgantown,WV,26505,Monongalia,(304)285-1212,(304)598-5496,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,504001,11/2/20,12/5/21,0,44,0,44,No,No,No,,
THE VILLAGE AT RIVERVIEW,"THE VILLAGE AT RIVERVIEW, INC.",,507586,Active,11/14/14,,1356 RIVERVIEW DRIVE,,Barboursville,WV,25504,Cabell,(304)736-2013,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507586,11/21/10,11/21/21,0,64,0,64,No,No,No,,
VALENTINE PERSONAL CARE HOME,"TALBOTT PERSONAL CARE HOME, INC. DBA VALENTINE PERSONAL CARE HOME",,506056,Active,10/23/97,,521 DAVIS AVENUE,,ELKINS,WV,26241,Randolph,(304)636-3900,(304)636-7666,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506056,12/13/20,12/13/21,0,20,0,20,No,No,No,,
VILLAGES AT GREYSTONE INN,"BECKLEY HEALTH PARTNERS, LTD DBA VILLAGES AT GREYSTONE INN",,507503,Active,11/18/98,,200 GREYSTONE DRIVE,,Beaver,WV,25813,Raleigh,(304)256-7579,(304)256-0995,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,,,,,0,70,0,70,No,No,No,,
