Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Capacity,Phone Number,Email Address,Date Accessed
Ashbrook Village Senior Living,ASSISTED LIVING COMMUNITY,75 HERRELL ROAD,Villa Rica,GA,30180,Carroll,54,7704564477,garytallent@ashbrookvillage.com,6/24/21
Ashley Glen Senior Living And Memory Care,PERSONAL CARE HOME,441 PRIME POINT,Peachtree City,GA,30269,Fayette,77,7706310205,dianen@voralto.com,6/24/21
Ashley Manor,PERSONAL CARE HOME,532 DICKSON ROAD,Marietta,GA,30066,Cobb,15,7704991400,,6/24/21
Ashton Manor At Sugarloaf Llc,ASSISTED LIVING COMMUNITY,1155 LAWRENCEVILLE HIGHWAY,Lawrenceville,GA,30046,Gwinnett,70,7709634837,hello@ashtonmanoratsugarloaf.com,6/24/21
"Ashton Senior Living, Gainesville",ASSISTED LIVING COMMUNITY,1012 ENOTA AVENUE,Gainesville,GA,30501,Hall,65,7702870714,ashtonhall@bellsouth.net,6/24/21
Ashwood Personal Care Home,PERSONAL CARE HOME,6303 ASHWOOD DRIVE,Columbus,GA,31904,Muscogee,6,7062216589,:      rayj34p@gmail.com,6/24/21
At Ease Personal Care Home,PERSONAL CARE HOME,2548 CENTRAL AVENUE,Augusta,GA,30904,Richmond,15,7069229215,admin@ateasepch.com,6/24/21
At Home Senior Living,ASSISTED LIVING COMMUNITY,147 S 6TH STREET,Cochran,GA,31014,Bleckley,66,4782714663,sdupree@athomesl.com,6/24/21
At Home Senior Living Of Jesup,ASSISTED LIVING COMMUNITY,150 HINSON MOSLEY ROAD,Jesup,GA,31545,Wayne,48,9125596497,tammy@athomeofjesup.com,6/24/21
Atherton Place,PERSONAL CARE HOME,111 TOWER ROAD,Marietta,GA,30060,Cobb,200,7704217300,candice.saunders@wellstar.org,6/24/21
Atria Buckhead,PERSONAL CARE HOME,2848 LENOX ROAD NE,Atlanta,GA,30324,Fulton,76,4042402848,michael.halpner@atriaseniorliving.com,6/24/21
Atria Mableton,PERSONAL CARE HOME,3829 FLOYD ROAD,Austell,GA,30106,Cobb,75,7704350750,melissa.jones@atriaseniorliving.com,6/24/21
Atria North Point,ASSISTED LIVING COMMUNITY,100 SOMERBY DRIVE,Alpharetta,GA,30009,Fulton,106,7706509577,andres.ulloa@atriaseniorliving.com,6/24/21
Atria Park Of Tucker,PERSONAL CARE HOME,5844 LAWRENCEVILLE HIGHWAY,Tucker,GA,30084,Gwinnett,75,7709259170,eduardo.ulloa@atriaseniorliving.com,6/24/21
Attentive Needs,PERSONAL CARE HOME,7264 AMANDA COURT,Riverdale,GA,30274,Clayton,5,7702102715,attentiveneeds@yahoo.com,6/24/21
Augusta Gardens Retirement Res,PERSONAL CARE HOME,3725 WHEELER ROAD,Augusta,GA,30909,Richmond,72,7068686500,brook.wilson@augustagardenscommunity.com,6/24/21
Augusta Villas,PERSONAL CARE HOME,2237 LEE STREET,Augusta,GA,30904,Richmond,24,7067369663,caharville@savasc.com,6/24/21
Augusta Villas Ii,PERSONAL CARE HOME,2237 LEE STREET,Augusta,GA,30904,Richmond,24,7037369663,,6/24/21
"Autumn Estate, Llc",PERSONAL CARE HOME,1240 DAWNVILLE ROAD,Dalton,GA,30721,Whitfield,13,7065088966,autumnestatesl@gmail.com,6/24/21
Autumn House Pch,PERSONAL CARE HOME,3059 NOTTAWAY COURT,Chamblee,GA,30341,Dekalb,6,6780000000,bkay1015@yahoo.com,6/24/21
Autumn Square,PERSONAL CARE HOME,2455 OAK GROVE CHURCH ROAD,Carrollton,GA,30117,Carroll,40,7708341737,donnaskipper@gmail.com,6/24/21
Autumn Terrace #2,PERSONAL CARE HOME,1026 KEITH DRIVE,Perry,GA,31069,Houston,15,4789872535,tammie@smgliving.com,6/24/21
Autumn Terrace #3,PERSONAL CARE HOME,1026 KEITH DRIVE,Perry,GA,31069,Houston,15,4789873120,tammie@smgliving.com,6/24/21
Autumn Terrace#1,PERSONAL CARE HOME,1026 KEITH DRIVE,Perry,GA,31069,Houston,15,4789873120,tammie@smgliving.com,6/24/21
Autumn Village 2A,PERSONAL CARE HOME,746 MCDONOUGH ROAD,Jackson,GA,30233,Butts,15,7707752050,,6/24/21
Autumn Village 2B,PERSONAL CARE HOME,746 MCDONOUGH ROAD,Jackson,GA,30233,Butts,15,7707752050,,6/24/21
Autumn Village 2C,PERSONAL CARE HOME,746 MCDONOUGH ROAD,Jackson,GA,30233,Butts,15,7707752050,,6/24/21
Autumn Village Assisted Living Facility,PERSONAL CARE HOME,753 COVINGTON STREET,Jackson,GA,30233,Butts,45,7705040083,kellib62@gmail.com,6/24/21
Avant Care,PERSONAL CARE HOME,1402 SHADOWBROOK DR,Marietta,GA,30062,Cobb,4,7705090533,info@avantcares.com,6/24/21
Avery Place,ASSISTED LIVING COMMUNITY,124 AVERY STREET,Winterville,GA,30683,Clarke,61,7065101257,pbrock@enlivant.com   or    legalhelp@enlivant.com,6/24/21
Avondale Homes At Decatur,PERSONAL CARE HOME,3508 KENSINGTON ROAD,Decatur,GA,30032,Dekalb,12,4042948191,avonhealth1244@aol.com,6/24/21
Avondale Homes At Northlake,PERSONAL CARE HOME,3965 GLOUCESTER DRIVE,Tucker,GA,30084,Dekalb,6,7704148144,,6/24/21
Avondale Homes At Tucker,PERSONAL CARE HOME,2553 SANDPIPER DRIVE,Tucker,GA,30084,Dekalb,6,7709390122,,6/24/21
Azalea Estates Of Fayetteville,ASSISTED LIVING COMMUNITY,105 AUTUMN GLEN CIRCLE,Fayetteville,GA,30215,Fayette,96,7704610039,azaleaed@bellsouth.net,6/24/21
Azalea House,PERSONAL CARE HOME,1896 LUDOVIE LANE,Decatur,GA,30033,Dekalb,19,4046346956,infoassistedliving@gmail.com,6/24/21
Azalea Manor Personal Care Home,PERSONAL CARE HOME,557 EAST WATERMAN STREET,Marietta,GA,30060,Cobb,42,7704280331,gm.hiexyork@gmail.com,6/24/21
Azalea Way,PERSONAL CARE HOME,125 HAMBLETON STREET,Thomasville,GA,31792,Thomas,6,2295510717,williamsaccountn@bellsouth.net,6/24/21
Azaria Personal Care Home,PERSONAL CARE HOME,1753 AZALEA DRIVE,Lawrenceville,GA,30043,Gwinnett,5,7706823753,stela5pertea@yahoo,6/24/21
Baptist Village Dba Village Lk,PERSONAL CARE HOME,715 VILLAGE LAKE DRIVE,Waycross,GA,31503,Ware,28,9122879977,lisataylor@baptistvillage.com,6/24/21
Barna Personal Care Home,PERSONAL CARE HOME,490 JERRY HUMPHRIES ROAD,Pelham,GA,31779,Mitchell,2,2292948115,barnahom@bellsouth.net,6/24/21
Beasley'S Personal Care Home,PERSONAL CARE HOME,310 SOUTH 3RD STREET,Stillmore,GA,30464,Emanuel,3,9125624429,beasleyspch@gmail.com,6/24/21
Beaver Run Personal Care Home,PERSONAL CARE HOME,8000 BEAVER RUN ROAD,Midland,GA,31820,Muscogee,6,7066101978,patbmanuel@yahoo.com,6/24/21
Bebe'S Cottage,PERSONAL CARE HOME,290 MEADOW DRIVE,Alpharetta,GA,30004,Fulton,8,7706199989,carimcharles@comcast.net,6/24/21
Beehive Homes Of Gainesville,PERSONAL CARE HOME,1073 SOUTH ENOTA,Gainesville,GA,30501,Hall,23,4047866036,beehivegainesville@gmail.com,6/24/21
Bell'S Place,PERSONAL CARE HOME,230 NEW OAK RIDGE TRAIL,Fayetteville,GA,30214,Fayette,3,4049401400,careconsultantsrn@gmail.com,6/24/21
"Bell, Frances B Personal Care",PERSONAL CARE HOME,106 JOYNER OGLESBY ROAD,Sardis,GA,30456,Burke,6,7065544758,prinb.fb@gmail.com,6/24/21
Belle Vista Peacock Residence,PERSONAL CARE HOME,62 WORTHINGTON ROAD,Kingston,GA,30145,Bartow,6,7703825771,,6/24/21
Bellview Pch,PERSONAL CARE HOME,1906 FORT MORRIS ROAD,Midway,GA,31320,Liberty,4,9128846898,bellviewpch@centurytel.net,6/24/21
Belmont Village Buckhead,PERSONAL CARE HOME,"5455 GLENRIDGE DRIVE, NE",Atlanta,GA,30342,Fulton,100,4042526271,kboese@belmontvillage.com,6/24/21
Belmont Village Johns Creek,PERSONAL CARE HOME,4315 JOHNS CREEK PARKWAY,Suwanee,GA,30024,Forsyth,110,7708139505,jboatright@belmontvillage.com,6/24/21
Beloved Pch,PERSONAL CARE HOME,3012 LIBBY DRIVE,Augusta,GA,30906,Richmond,3,7064967332,irish.johnson@yahoo.com,6/24/21
Benjamin'S Personal Care Home,PERSONAL CARE HOME,2897 SUMMIT DR,Jonesboro,GA,30236,Clayton,3,4042591533,benhyll2000@gmail.com,6/24/21
Bent Faith Home,PERSONAL CARE HOME,3525 RICHMOND HILL ROAD,Augusta,GA,30906,Richmond,3,7626856145,anastaciabent@ymail.com,6/24/21
Bentley Square,PERSONAL CARE HOME,3884 LAVISTA ROAD,Tucker,GA,30084,Dekalb,24,7709387260,desiree.roberson@goldenliving.com,6/24/21
Benton House Of Augusta,ASSISTED LIVING COMMUNITY,204 FRAZIER COURT,Augusta,GA,30909,Richmond,95,7068690999,augustadirector@bentonhouse.com,6/24/21
Benton House Of Covington,ASSISTED LIVING COMMUNITY,7155 DEARING ROAD,Covington,GA,30014,Newton,72,7707886660,covingtondirector@bentonhouse.com,6/24/21
Benton House Of Decatur,ASSISTED LIVING COMMUNITY,2711 LAWRENCEVILLE HWY,Decatur,GA,30033,Dekalb,90,4043863773,decaturdirector@bentonhouse.com,6/24/21
Benton House Of Douglasville,ASSISTED LIVING COMMUNITY,4999 PRESTLEY MILL ROAD,Douglasville,GA,30135,Douglas,72,7709429449,douglasvilledirector@bentonhouse.com,6/24/21
Benton House Of Grayson,ASSISTED LIVING COMMUNITY,2270 LOGANVILLE HIGHWAY,Grayson,GA,30017,Gwinnett,80,7706827777,graysondirector@bentonhouse.com,6/24/21
Benton House Of Newnan,ASSISTED LIVING COMMUNITY,25 NEWNAN LAKES BOULEVARD,Newnan,GA,30263,Coweta,80,7702538444,licensing@principalseniorliving.com.,6/24/21
Benton House Of Stockbridge,ASSISTED LIVING COMMUNITY,201 EVERGREEN TERRACE,Stockbridge,GA,30281,Henry,64,7703893889,licensing@principalseniorliving.com,6/24/21
Benton House Of Sugar Hill,ASSISTED LIVING COMMUNITY,6009 SUWANEE DAM ROAD,Sugar Hill,GA,30518,Gwinnett,72,7709040099,sugarhilldirector@bentonhouse.com,6/24/21
Benton House Of Woodstock,ASSISTED LIVING COMMUNITY,3385 TRICKUM ROAD,Woodstock,GA,30188,Cherokee,72,6784944500,woodstockdirector@bentonhouse.com,6/24/21
Benton Manor Of Stockbridge,ASSISTED LIVING COMMUNITY,195 EVERGREEN TERRACE,Stockbridge,GA,30281,Henry,80,7703893889,licensing@principalseniorliving.com,6/24/21
Berman Commons Assisted Living And Memory Care,ASSISTED LIVING COMMUNITY,2026 WOMACK ROAD,Atlanta,GA,30338,Dekalb,120,6782227500,jgopen@jewishhomelife.org,6/24/21
"Bernice Bell House Personal Care Home, Llc",PERSONAL CARE HOME,392 PECAN STREET,Dawson,GA,39842,Terrell,6,2299381528,bernicebellpch@gmail.com,6/24/21
Bestcare Senior Home,PERSONAL CARE HOME,"2775 CRUSE ROAD, BUILDING 1401",Lawrenceville,GA,30044,Gwinnett,10,7707178588,yanniepei@yahoo.com,6/24/21
Bestcare Senior Home 2,PERSONAL CARE HOME,2775 CRUSE ROAD #1501,Lawrenceville,GA,30044,Gwinnett,12,7707178588,yanniepei@yahoo.com,6/24/21
Bethel Gardens,PERSONAL CARE HOME,3805 JACKSON WAY EXT,Powder Springs,GA,30127,Cobb,48,7709433620,lara@bethelgardens.com,6/24/21
Better Days,PERSONAL CARE HOME,3190 SMOKE RIDGE CT,Fairburn,GA,30213,Fulton,4,6788465344,martinclaudia71@yahoo.com,6/24/21
