Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Capacity,Phone Number,Email Address
AMAZING COMFORT PERSONAL CARE HOME,PERSONAL CARE HOME,1695 EAST LAKE DRIVE,MARIETTA,GA,30062,COBB,3,7703693420,reritae@gmail.com
AMAZING LOVE RESIDENTIAL CARE HOME,PERSONAL CARE HOME,305 QUEENSBURY WALK,ACWORTH,GA,30102,CHEROKEE,3,4049311382,amazinglovepch@gmail.com
AMELIA GARDENS,PERSONAL CARE HOME,576 NICKAJACK ROAD,MABLETON,GA,30126,COBB,8,7709448121,woghis@aol.com
AMELIA GARDENS II,PERSONAL CARE HOME,2030 BASCOMB CARMEL ROAD,WOODSTOCK,GA,30189,CHEROKEE,3,6784016109,woghis@aol.com
AMELIA GARDENS PCH OF MARIETTA,PERSONAL CARE HOME,4561 CANTON ROAD,MARIETTA,GA,30066,COBB,22,6783880088,woghis@aol.com
AMELIA GARDENS PCH OF MARIETTA II,PERSONAL CARE HOME,4561 CANTON ROAD BLDG 200,MARIETTA,GA,30066,COBB,24,7707124903,woghis@aol.com
AMELIA'S PLACE PCH,PERSONAL CARE HOME,2053 SOUTH STONE MOUNTAIN LITHONIA RD,LITHONIA,GA,30058,DEKALB,6,6785583106,marlyn_wallace@yahoo.com
AMERICANWORK ADAPTIVE GP RES,PERSONAL CARE HOME,124-D WINDING WAY,LEESBURG,GA,31763,LEE,6,2294203991,jcurles@americanwork.org
AMERICANWORK ITR,PERSONAL CARE HOME,124-A WINDING WAY,LEESBURG,GA,31763,LEE,6,2294203978,jcurles@americanwork.org
AMICASA PERSONAL CARE HOME COMMUNITY,PERSONAL CARE HOME,3482 FLAT SHOALS ROAD,DECATUR,GA,30034,DEKALB,24,4045371960,AMICASAHOMECARE@YMAIL.COM
ANA'S PHC #2 PCH,PERSONAL CARE HOME,730 TAB ROBERTS ROAD,LAWRENCEVILLE,GA,30043,GWINNETT,6,7708076989,anaspch@gmail.com
"ANCHOR HOLDS PCH, THE",PERSONAL CARE HOME,478 PATTERSON ROAD,LAWRENCEVILLE,GA,30044,GWINNETT,3,7702369329,aalvg10@aol.com
ANCHOR PERSONAL CARE HOME,PERSONAL CARE HOME,2865 CENTERVILLE HIGHWAY,SNELLVILLE,GA,30078,GWINNETT,4,7703097669,ANCHORPCH@GMAIL.COM
ANDREWS TERRACE,PERSONAL CARE HOME,1009 BONNER DRIVE,PERRY,GA,31069,HOUSTON,15,4789873251,cbaxter@cmm-summerhill.com
ANGEL'S CARE PERSONAL CARE HOME,PERSONAL CARE HOME,2620 RICHMOND HILL ROAD,AUGUSTA,GA,30906,RICHMOND,11,7067552200,angelscare25@yahoo.com
ANGELS DIVINE PCH,PERSONAL CARE HOME,3065 JEFFERSONVILLE ROAD,MACON,GA,31217,BIBB,14,4782577136,angelsdivine@ymail.com
ANGELS GARDEN SENIOR COMMUNITY BLDG #1,PERSONAL CARE HOME,3093 HOG MOUNTAIN ROAD,DACULA,GA,30019,GWINNETT,14,6788892040,administrator@agsc.us
ANGELS GARDEN SENIOR COMMUNITY BLDG #2,PERSONAL CARE HOME,3103 HOG MOUNTAIN RD,DACULA,GA,30019,GWINNETT,14,6788892733,administrator@agsc.us
ANGELS OF MERCY,PERSONAL CARE HOME,2296 SARATOGA DR,DECATUR,GA,30032,DEKALB,3,6786225943,lillian7hudson@yahoo.com
ANGELS PCH,PERSONAL CARE HOME,390 EMERALD GREEN COURT,COLLEGE PARK,GA,30349,CLAYTON,4,4703175852,ivinia.lucas@gmail.com
ANGELS PCH,PERSONAL CARE HOME,6290 WEST FAYETTEVILLE,RIVERDALE,GA,30296,CLAYTON,6,7709960632,winia.lucas@gmail.com
ANGELS ROYAL GARDENS II,PERSONAL CARE HOME,5913 HOMESTEAD COURT,REX,GA,30273,CLAYTON,3,7705734939,angelsroyalgardens@aol.com
ANITA PERSONAL CARE HOME,PERSONAL CARE HOME,4411 EWING ROAD,AUSTELL,GA,30106,COBB,3,4045100648,voltaire_a1@bellsouth.net
ANNANDALE VILLAGE,PERSONAL CARE HOME,3500 ANNANDALE LANE,SUWANEE,GA,30024,GWINNETT,102,7709458381,laura.gourleyr@annandale.org
ANNANDALE VILLAGE CENTER FOR CONTINUED CARE,ASSISTED LIVING COMMUNITY,3500 ANNANDALE LANE,SUWANEE,GA,30024,GWINNETT,36,7709458381,dottie.fenn@annandale.org
ANNIE'S PLACE,PERSONAL CARE HOME,4811 JACKSON-WILLIAMS ROAD,GARFIELD,GA,30425,EMANUEL,4,4789825587,latesa72006@hotmail.com
ANNOINTING BOOKS,PERSONAL CARE HOME,3335 FLAT SHOALS ROAD,COLLEGE PARK,GA,30349,FULTON,5,4044512343,mjenkin8@bellsouth.net
ANTEBELLUM ARLINGTON PLACE,PERSONAL CARE HOME,684 ARLINGTON PLACE,MACON,GA,31201,BIBB,120,4787457971,azussman@ssmgrp.com
ANTEBELLUM GROVE SENIOR LIVING,PERSONAL CARE HOME,1010 KATHRYN RYALS ROAD,WARNER ROBINS,GA,31088,HOUSTON,69,4789530706,mosgood@ssmgrp.com
ANTEBELLUM JAMES BURGESS SENIOR LIVING,ASSISTED LIVING COMMUNITY,1520 JAMES BURGESS ROAD,SUWANEE,GA,30024,FORSYTH,74,6788077350,shanah@ssmgrp.com
ANTHONY'S PERSONAL CARE,PERSONAL CARE HOME,2329 CADDEN ROAD,AUGUSTA,GA,30906,RICHMOND,3,7067909227,gashepard@bellsouth.net
APACHE PERSONAL CARE HOME,PERSONAL CARE HOME,3135 APACHE DRIVE,COLUMBUS,GA,31909,MUSCOGEE,6,7065075438,benitak27@gmail.com
APPALACHEE HOME,PERSONAL CARE HOME,4600 MONROE HIGHWAY,STATHAM,GA,30666,OCONEE,4,7707255919,
"ARBOR BRIDGEMILL, THE",ASSISTED LIVING COMMUNITY,700 FREEDOM BLVD,CANTON,GA,30114,CHEROKEE,125,7706910022,david.hink@aspire-development.com
"ARBOR HOUSE, LLC",PERSONAL CARE HOME,212 SOUTH COLLEGE AVENUE,DOUGLAS,GA,31533,COFFEE,4,9123840478,jlewis@tendercare-inc.com
ARBOR MANOR 1900,PERSONAL CARE HOME,1900 MACON ROAD,PERRY,GA,31069,HOUSTON,15,4782242948,fawadkhan1947@hotmail.com
ARBOR MANOR 1902,PERSONAL CARE HOME,1902 MACON ROAD,PERRY,GA,31069,HOUSTON,15,4782244545,fawadkhan1947@hotmail.com
ARBOR TERRACE AT CASCADE,ASSISTED LIVING COMMUNITY,1001 RESEARCH CENTER ATLANTA DRIVE,ATLANTA,GA,30331,FULTON,92,4046910304,sreasonover@arborcomany.com
ARBOR TERRACE AT CRABAPPLE,ASSISTED LIVING COMMUNITY,12200 CRABAPPLE ROAD,ALPHARETTA,GA,30004,FULTON,125,7706491009,Tricia.Holloway@arborcompany.com
ARBOR TERRACE AT HAMILTON MILL,ASSISTED LIVING COMMUNITY,3581 BRASELTON HIGHWAY,DACULA,GA,30019,GWINNETT,125,7709990421,tjohnson@arborcompany.com
ARBOR TERRACE DECATUR,ASSISTED LIVING COMMUNITY,425 WINN WAY,DECATUR,GA,30030,DEKALB,90,4042925910,fwoodward@arborcompany.com
ARBOR TERRACE OF ATHENS,ASSISTED LIVING COMMUNITY,170 MARILYN FARMER WAY,ATHENS,GA,30606,CLARKE,75,7063530400,pszucs@arborcompany.com
ARBOR TERRACE OF BURNT HICKORY,ASSISTED LIVING COMMUNITY,920 BURNT HICKORY ROAD,MARIETTA,GA,30064,COBB,112,7706910050,steve.blazejewski@pgim.com
ARBOR TERRACE OF EAST COBB,ASSISTED LIVING COMMUNITY,886 JOHNSON FERRY ROAD,MARIETTA,GA,30068,COBB,99,7709774420,cweldon@arborcompany.com
ARBOR TERRACE OF JOHNS CREEK,ASSISTED LIVING COMMUNITY,3180 KAREN WHITE DR,SUWANEE,GA,30024,FORSYTH,125,7709999577,lmueller@arborcompany.com
ARBOR TERRACE PEACHTREE CITY,PERSONAL CARE HOME,201 CROSSTOWN DRIVE,PEACHTREE CITY,GA,30269,FAYETTE,75,7706325823,ssanders@arborcompany.com
ARBORWOOD PERSONAL CARE HOME,PERSONAL CARE HOME,342 ROCKBRIDGE ROAD SW,LILBURN,GA,30047,GWINNETT,6,7705640754,arborwoodpch@yahoo.com
ARIELL'S PERSONAL CARE HOME,PERSONAL CARE HOME,3275 CREEKWAY LANE,DECATUR,GA,30034,DEKALB,3,4042128117,
AROUND THE CLOCK CARE PCH,PERSONAL CARE HOME,5337 JEROME ROAD,COLLEGE PARK,GA,30349,FULTON,4,4046004287,aroundtheclockcare2012@gmail.com
"ARTISTRY CARE, LLC",PERSONAL CARE HOME,1120 WILEY BRIDGE ROAD,WOODSTOCK,GA,30188,CHEROKEE,5,4704120727,artistrycarellc@gmail.com
ASHBROOK VILLAGE SENIOR LIVING,ASSISTED LIVING COMMUNITY,75 HERRELL ROAD,VILLA RICA,GA,30180,CARROLL,54,7704564477,garytallent@ashbrookvillage.com
ASHLEY GLEN SENIOR LIVING AND MEMORY CARE,PERSONAL CARE HOME,441 PRIME POINT,PEACHTREE CITY,GA,30269,FAYETTE,77,7706310205,DianeN@voralto.com
ASHLEY MANOR,PERSONAL CARE HOME,532 DICKSON ROAD,MARIETTA,GA,30066,COBB,15,7704991400,
ASHTON MANOR AT SUGARLOAF LLC,ASSISTED LIVING COMMUNITY,1155 LAWRENCEVILLE HIGHWAY,LAWRENCEVILLE,GA,30046,GWINNETT,70,7709634837,hello@ashtonmanoratsugarloaf.com
"ASHTON SENIOR LIVING, GAINESVILLE",ASSISTED LIVING COMMUNITY,1012 ENOTA AVENUE,GAINESVILLE,GA,30501,HALL,65,7702870714,ashtonhall@bellsouth.net
ASHWOOD PERSONAL CARE HOME,PERSONAL CARE HOME,6303 ASHWOOD DRIVE,COLUMBUS,GA,31904,MUSCOGEE,6,7062216589,:      rayj34p@gmail.com
AT EASE PERSONAL CARE HOME,PERSONAL CARE HOME,2548 CENTRAL AVENUE,AUGUSTA,GA,30904,RICHMOND,15,7069229215,admin@ateasepch.com
AT HOME SENIOR LIVING,ASSISTED LIVING COMMUNITY,147 S 6TH STREET,COCHRAN,GA,31014,BLECKLEY,66,4782714663,sdupree@athomesl.com
AT HOME SENIOR LIVING OF JESUP,ASSISTED LIVING COMMUNITY,150 HINSON MOSLEY ROAD,JESUP,GA,31545,WAYNE,48,9125596497,tammy@athomeofjesup.com
ATHERTON PLACE,PERSONAL CARE HOME,111 TOWER ROAD,MARIETTA,GA,30060,COBB,200,7704217300,candice.saunders@wellstar.org
ATRIA BUCKHEAD,PERSONAL CARE HOME,2848 LENOX ROAD NE,ATLANTA,GA,30324,FULTON,76,4042402848,michael.halpner@atriaseniorliving.com
ATRIA MABLETON,PERSONAL CARE HOME,3829 FLOYD ROAD,AUSTELL,GA,30106,COBB,75,7704350750,melissa.jones@atriaseniorliving.com
ATRIA NORTH POINT,ASSISTED LIVING COMMUNITY,100 SOMERBY DRIVE,ALPHARETTA,GA,30009,FULTON,106,7706509577,andres.ulloa@atriaseniorliving.com
ATRIA PARK OF TUCKER,PERSONAL CARE HOME,5844 LAWRENCEVILLE HIGHWAY,TUCKER,GA,30084,GWINNETT,75,7709259170,eduardo.ulloa@atriaseniorliving.com
ATTENTIVE NEEDS,PERSONAL CARE HOME,7264 AMANDA COURT,RIVERDALE,GA,30274,CLAYTON,5,7702102715,attentiveneeds@yahoo.com
AUGUSTA GARDENS RETIREMENT RES,PERSONAL CARE HOME,3725 WHEELER ROAD,AUGUSTA,GA,30909,RICHMOND,72,7068686500,brook.wilson@augustagardenscommunity.com
AUGUSTA VILLAS,PERSONAL CARE HOME,2237 LEE STREET,AUGUSTA,GA,30904,RICHMOND,24,7067369663,caharville@savasc.com
AUGUSTA VILLAS II,PERSONAL CARE HOME,2237 LEE STREET,AUGUSTA,GA,30904,RICHMOND,24,7037369663,
"AUTUMN ESTATE, LLC",PERSONAL CARE HOME,1240 DAWNVILLE ROAD,DALTON,GA,30721,WHITFIELD,13,7065088966,autumnestatesl@gmail.com
AUTUMN HOUSE PCH,PERSONAL CARE HOME,3059 NOTTAWAY COURT,CHAMBLEE,GA,30341,DEKALB,6,6780000000,bkay1015@yahoo.com
AUTUMN SQUARE,PERSONAL CARE HOME,2455 OAK GROVE CHURCH ROAD,CARROLLTON,GA,30117,CARROLL,40,7708341737,donnaskipper@gmail.com
AUTUMN TERRACE #2,PERSONAL CARE HOME,1026 KEITH DRIVE,PERRY,GA,31069,HOUSTON,15,4789872535,tammie@smgliving.com
AUTUMN TERRACE #3,PERSONAL CARE HOME,1026 KEITH DRIVE,PERRY,GA,31069,HOUSTON,15,4789873120,tammie@smgliving.com
AUTUMN TERRACE#1,PERSONAL CARE HOME,1026 KEITH DRIVE,PERRY,GA,31069,HOUSTON,15,4789873120,tammie@smgliving.com
AUTUMN VILLAGE 2A,PERSONAL CARE HOME,746 MCDONOUGH ROAD,JACKSON,GA,30233,BUTTS,15,7707752050,
AUTUMN VILLAGE 2B,PERSONAL CARE HOME,746 MCDONOUGH ROAD,JACKSON,GA,30233,BUTTS,15,7707752050,
AUTUMN VILLAGE 2C,PERSONAL CARE HOME,746 MCDONOUGH ROAD,JACKSON,GA,30233,BUTTS,15,7707752050,
AUTUMN VILLAGE ASSISTED LIVING FACILITY,PERSONAL CARE HOME,753 COVINGTON STREET,JACKSON,GA,30233,BUTTS,45,7705040083,kellib62@gmail.com
AVANT CARE,PERSONAL CARE HOME,1402 SHADOWBROOK DR,MARIETTA,GA,30062,COBB,4,7705090533,info@avantcares.com
AVERY PLACE,ASSISTED LIVING COMMUNITY,124 AVERY STREET,WINTERVILLE,GA,30683,CLARKE,61,7065101257,pbrock@enlivant.com   or    legalhelp@enlivant.com
AVONDALE HOMES AT DECATUR,PERSONAL CARE HOME,3508 KENSINGTON ROAD,DECATUR,GA,30032,DEKALB,12,4042948191,avonhealth1244@aol.com
AVONDALE HOMES AT NORTHLAKE,PERSONAL CARE HOME,3965 GLOUCESTER DRIVE,TUCKER,GA,30084,DEKALB,6,7704148144,
AVONDALE HOMES AT TUCKER,PERSONAL CARE HOME,2553 SANDPIPER DRIVE,TUCKER,GA,30084,DEKALB,6,7709390122,
AZALEA ESTATES OF FAYETTEVILLE,ASSISTED LIVING COMMUNITY,105 AUTUMN GLEN CIRCLE,FAYETTEVILLE,GA,30215,FAYETTE,96,7704610039,AZALEAED@BELLSOUTH.NET
AZALEA HOUSE,PERSONAL CARE HOME,1896 LUDOVIE LANE,DECATUR,GA,30033,DEKALB,19,4046346956,infoassistedliving@gmail.com
AZALEA MANOR PERSONAL CARE HOME,PERSONAL CARE HOME,557 EAST WATERMAN STREET,MARIETTA,GA,30060,COBB,42,7704280331,gm.hiexyork@gmail.com
AZALEA WAY,PERSONAL CARE HOME,125 HAMBLETON STREET,THOMASVILLE,GA,31792,THOMAS,6,2295510717,williamsaccountn@bellsouth.net
AZARIA PERSONAL CARE HOME,PERSONAL CARE HOME,1753 AZALEA DRIVE,LAWRENCEVILLE,GA,30043,GWINNETT,5,7706823753,stela5pertea@yahoo
BAPTIST VILLAGE DBA VILLAGE LK,PERSONAL CARE HOME,715 VILLAGE LAKE DRIVE,WAYCROSS,GA,31503,WARE,28,9122879977,lisataylor@baptistvillage.com
BARNA PERSONAL CARE HOME,PERSONAL CARE HOME,490 JERRY HUMPHRIES ROAD,PELHAM,GA,31779,MITCHELL,2,2292948115,barnahom@bellsouth.net
BEASLEY'S PERSONAL CARE HOME,PERSONAL CARE HOME,310 SOUTH 3RD STREET,STILLMORE,GA,30464,EMANUEL,3,9125624429,beasleyspch@gmail.com
BEAVER RUN PERSONAL CARE HOME,PERSONAL CARE HOME,8000 BEAVER RUN ROAD,MIDLAND,GA,31820,MUSCOGEE,6,7066101978,patbmanuel@yahoo.com
BEBE'S COTTAGE,PERSONAL CARE HOME,290 MEADOW DRIVE,ALPHARETTA,GA,30004,FULTON,8,7706199989,carimcharles@comcast.net
BEEHIVE HOMES OF GAINESVILLE,PERSONAL CARE HOME,1073 SOUTH ENOTA,GAINESVILLE,GA,30501,HALL,23,4047866036,beehivegainesville@gmail.com
BELL'S PLACE,PERSONAL CARE HOME,230 NEW OAK RIDGE TRAIL,FAYETTEVILLE,GA,30214,FAYETTE,3,4049401400,careconsultantsrn@gmail.com
"BELL, FRANCES B PERSONAL CARE",PERSONAL CARE HOME,106 JOYNER OGLESBY ROAD,SARDIS,GA,30456,BURKE,6,7065544758,prinb.fb@gmail.com
BELLE VISTA PEACOCK RESIDENCE,PERSONAL CARE HOME,62 WORTHINGTON ROAD,KINGSTON,GA,30145,BARTOW,6,7703825771,
BELLVIEW PCH,PERSONAL CARE HOME,1906 FORT MORRIS ROAD,MIDWAY,GA,31320,LIBERTY,4,9128846898,bellviewpch@centurytel.net
BELMONT VILLAGE BUCKHEAD,PERSONAL CARE HOME,"5455 GLENRIDGE DRIVE, NE",ATLANTA,GA,30342,FULTON,100,4042526271,kboese@belmontvillage.com
BELMONT VILLAGE JOHNS CREEK,PERSONAL CARE HOME,4315 JOHNS CREEK PARKWAY,SUWANEE,GA,30024,FORSYTH,110,7708139505,jboatright@belmontvillage.com
BELOVED PCH,PERSONAL CARE HOME,3012 LIBBY DRIVE,AUGUSTA,GA,30906,RICHMOND,3,7064967332,irish.johnson@yahoo.com
BENJAMIN'S PERSONAL CARE HOME,PERSONAL CARE HOME,2897 SUMMIT DR,JONESBORO,GA,30236,CLAYTON,3,4042591533,benhyll2000@gmail.com
BENT FAITH HOME,PERSONAL CARE HOME,3525 RICHMOND HILL ROAD,AUGUSTA,GA,30906,RICHMOND,3,7626856145,anastaciabent@ymail.com
BENTLEY SQUARE,PERSONAL CARE HOME,3884 LAVISTA ROAD,TUCKER,GA,30084,DEKALB,24,7709387260,desiree.roberson@goldenliving.com
BENTON HOUSE OF AUGUSTA,ASSISTED LIVING COMMUNITY,204 FRAZIER COURT,AUGUSTA,GA,30909,RICHMOND,95,7068690999,augustadirector@bentonhouse.com
BENTON HOUSE OF COVINGTON,ASSISTED LIVING COMMUNITY,7155 DEARING ROAD,COVINGTON,GA,30014,NEWTON,72,7707886660,covingtondirector@bentonhouse.com
BENTON HOUSE OF DECATUR,ASSISTED LIVING COMMUNITY,2711 LAWRENCEVILLE HWY,DECATUR,GA,30033,DEKALB,90,4043863773,decaturdirector@bentonhouse.com
BENTON HOUSE OF DOUGLASVILLE,ASSISTED LIVING COMMUNITY,4999 PRESTLEY MILL ROAD,DOUGLASVILLE,GA,30135,DOUGLAS,72,7709429449,douglasvilledirector@bentonhouse.com
BENTON HOUSE OF GRAYSON,ASSISTED LIVING COMMUNITY,2270 LOGANVILLE HIGHWAY,GRAYSON,GA,30017,GWINNETT,80,7706827777,graysondirector@bentonhouse.com
BENTON HOUSE OF NEWNAN,ASSISTED LIVING COMMUNITY,25 NEWNAN LAKES BOULEVARD,NEWNAN,GA,30263,COWETA,80,7702538444,LICENSING@PRINCIPALSENIORLIVING.COM.
BENTON HOUSE OF STOCKBRIDGE,ASSISTED LIVING COMMUNITY,201 EVERGREEN TERRACE,STOCKBRIDGE,GA,30281,HENRY,64,7703893889,licensing@principalseniorliving.com
BENTON HOUSE OF SUGAR HILL,ASSISTED LIVING COMMUNITY,6009 SUWANEE DAM ROAD,SUGAR HILL,GA,30518,GWINNETT,72,7709040099,sugarhilldirector@bentonhouse.com
BENTON HOUSE OF WOODSTOCK,ASSISTED LIVING COMMUNITY,3385 TRICKUM ROAD,WOODSTOCK,GA,30188,CHEROKEE,72,6784944500,woodstockdirector@bentonhouse.com
BENTON MANOR OF STOCKBRIDGE,ASSISTED LIVING COMMUNITY,195 EVERGREEN TERRACE,STOCKBRIDGE,GA,30281,HENRY,80,7703893889,licensing@principalseniorliving.com
