HFR Facility Finder,,,,,,,,,,,,
 ,Name,Facility Type,Address,City,State,Zip,County,Bed Capacity,Telephone,Effective Date of License,Administrator,Email
,ADDINGTON PLACE OF JOHNS CREEK,ASSISTED LIVING COMMUNITY,5050 KIMBALL BRIDGE ROAD,JOHNS CREEK,GA,30005,FULTON,72,7707545446,05/01/2018,,yolanda.hunter@phoenixsrliving.com
,ADELL'S PLACE,PERSONAL CARE HOME,527 RAILROAD STREET,FORT VALLEY,GA,31030,PEACH,6,4782241963,05/22/2019,Ms DORIS KELLEY,doriselliskelley1950@yahoo.com
,ADOM HOMECARE SERVICES LLC,PERSONAL CARE HOME,4370 HIGHWAY 92,DOUGLASVILLE,GA,30135,DOUGLAS,5,6786747216,12/10/2019,Ms GIFTY NIBO,nagifty@gmail.com
,ADONIS PERSONAL CARE HOME #2,PERSONAL CARE HOME,1409 GREENVIEW WAY,LAWRENCEVILLE,GA,30044,GWINNETT,12,7707172751,06/24/2011,Ms HYE HWANG,adonispch@gmail.com
,AGAPE LIVING,PERSONAL CARE HOME,1840 PHINIZY ROAD,AUGUSTA,GA,30906,RICHMOND,16,7069932188,04/27/2007,Ms ELMIRA ROULHAC,
,AGAPE LOVE PERSONAL CARE HOME 2,PERSONAL CARE HOME,2713 NEPTUNE PLACE,DECATUR,GA,30034,DEKALB,6,6787057986,01/31/2019,Ms MELANIE BRIGGS,agapelovepch@gmail.com
,AGAPE LOVE PERSONAL CARE HOME LLC,PERSONAL CARE HOME,2258 CRESTKNOLL CIRCLE,DECATUR,GA,30032,DEKALB,6,6789279948,06/23/2021,Ms MELANIE BRIGGS,agapelovepch@gmail.com
,AGAPE PERSONAL CARE HOME OF MACON,PERSONAL CARE HOME,4732 SGODA ROAD,MACON,GA,31217,TWIGGS,10,4787426934,03/02/2020,Mrs CAROLINE RENFROE,agape pch3@yahoo.com
,AGARD PERSONAL CARE HOME,PERSONAL CARE HOME,5828 HWY 82 SPUR,COMMERCE,GA,30529,JACKSON,6,7063670091,09/21/2015,Ms GWENDOLYN AGARD,gwensmate@yahoo.com
,ALBERT'S HOUSE,PERSONAL CARE HOME,2471 KINGSCLIFF DRIVE,ATLANTA,GA,30345,DEKALB,3,6785454222,12/05/2017,,albertshouseinc@gmail.com
,ALBERT'S HOUSE TALISMAN,PERSONAL CARE HOME,2830 TALISMAN COURT NE,ATLANTA,GA,30345,DEKALB,3,6784281061,11/16/2018,,JEREMY@ALBERTSHOUSEINC.COM
,ALFREDA PERSONAL CARE HOME,PERSONAL CARE HOME,6463 HERITAGE RUN,MORROW,GA,30260,CLAYTON,5,4046459062,05/30/2019,Ms ALFREDA CHEA,natbchea@yahoo.com
,ALL ABOUT TENDER CARE SNELLVILLE,PERSONAL CARE HOME,3922 CENTERVILLE HIGHWAY 124,SNELLVILLE,GA,30039,GWINNETT,6,7709825482,11/23/2020,Ms ANGELA JACOBS,
,ALL IN ONE PERSONAL CARE HOME,PERSONAL CARE HOME,1260 HAMBRICK COURT,STONE MOUNTAIN,GA,30083,DEKALB,3,6787933644,11/16/2010,Ms BEATRICE ULMER,bulmer1260@yahoo.com
,ALL PARTNERS IN CARE SERVICES PCH,PERSONAL CARE HOME,2266 STONE DRIVE,LILBURN,GA,30047,GWINNETT,6,6783441104,05/25/2004,,allpartnersincare@yahoo.com
,ALL SEASON PCH II,PERSONAL CARE HOME,2400 ELKS CLUB ROAD,COVINGTON,GA,30014,NEWTON,6,6783429189,09/14/2011,Ms BETTINA JOHNSON,AD403TB@YAHOO.COM
,ALL SEASON PCH III,PERSONAL CARE HOME,1647 DAISY COVE CIRCLE,LAWRENCEVILLE,GA,30045,GWINNETT,5,7708641055,10/27/2011,Ms TANYA BROWN,ad403tb@yahoo.com
,ALL STAR PERSONAL SERVICE,PERSONAL CARE HOME,7125 PUCKETT STREET,COVINGTON,GA,30014,NEWTON,4,6786873567,06/02/2021,Mr RAVOY WRIGHT,allstarpersonalservice@gmail.com
,ALL STARR PERSONAL CARE HOME,PERSONAL CARE HOME,5393 ROCKMOOR DRIVE,STONE MOUNTAIN,GA,30088,DEKALB,4,6783957570,02/26/2020,Ms MARJORIE LEDGISTER,MLEDGISTER@COMCAST.NET
,ALLGOOD MANOR ASSISTANT HOME 4,PERSONAL CARE HOME,4151 NORTH GODDARD ROAD,LITHONIA,GA,30038,DEKALB,3,6787720671,08/01/2010,Ms BETTY AIKMAN,
,ALLGOOD PERSONAL CARE HOME,PERSONAL CARE HOME,1158 ALLGOOD ROAD,STONE MOUNTAIN,GA,30083,DEKALB,6,4042924696,03/11/2004,Ms MAZIE MALCOLM,
,ALLIANCE PCH,PERSONAL CARE HOME,4328 CLEVEMONT ROAD,ELLENWOOD,GA,30294,DEKALB,3,4043003572,04/03/2012,Ms YOLANDA ALEXIS,yolandaalexis@yahoo.com
,ALMEDA'S SPRINGHILL MANOR,PERSONAL CARE HOME,600 SPRINGHILL DRIVE,COVINGTON,GA,30014,NEWTON,6,7707289992,07/22/2004,Ms ALMEDA JONES,aspringhill@yahoo.com
,ALTA VISTA PERSONAL CARE HOME,PERSONAL CARE HOME,2027 ALTA VISTA DRIVE,COLUMBUS,GA,31907,MUSCOGEE,22,7062218578,12/16/2013,,patbmanuel@yahoo.com
,ALTON PERSONAL CARE HOME,PERSONAL CARE HOME,4150 ALTON STREET,COLUMBUS,GA,31903,MUSCOGEE,3,7063157723,11/13/2019,,patbmanuel@yahoo.com
,ALZHEIMER'S SERVICES CENTER,PERSONAL CARE HOME,7251 MT ZION CIRCLE,MORROW,GA,30260,CLAYTON,5,7706034090,01/24/2017,Ms CONSTANCE DAISE,info@asc-ga.org
,AMAZING COMFORT PERSONAL CARE HOME,PERSONAL CARE HOME,1695 EAST LAKE DRIVE,MARIETTA,GA,30062,COBB,3,7703693420,01/02/2019,Ms RITA EDOSOMWAN,reritae@gmail.com
,AMAZING LOVE RESIDENTIAL CARE HOME,PERSONAL CARE HOME,305 QUEENSBURY WALK,ACWORTH,GA,30102,CHEROKEE,3,4049311382,07/12/2016,Mr JOHN NDUNGU,amazinglovepch@gmail.com
,AMELIA GARDENS,PERSONAL CARE HOME,576 NICKAJACK ROAD,MABLETON,GA,30126,COBB,8,7709448121,12/05/2007,Ms ISOKEN ONAIWU,woghis@aol.com
,AMELIA GARDENS II,PERSONAL CARE HOME,2030 BASCOMB CARMEL ROAD,WOODSTOCK,GA,30189,CHEROKEE,3,6784016109,11/16/2010,Ms ISOKEN ONAIWU,woghis@aol.com
,AMELIA GARDENS PCH OF MARIETTA,PERSONAL CARE HOME,4561 CANTON ROAD,MARIETTA,GA,30066,COBB,22,6783880088,04/19/2016,Mr NICHOL.AS WOGHIREN,woghis@aol.com
,AMELIA GARDENS PCH OF MARIETTA II,PERSONAL CARE HOME,4561 CANTON ROAD BLDG 200,MARIETTA,GA,30066,COBB,24,7707124903,09/18/2018,Mr NICHOL.AS WOGHIREN,woghis@aol.com
,AMELIA'S PLACE PCH,PERSONAL CARE HOME,2053 SOUTH STONE MOUNTAIN LITHONIA RD,LITHONIA,GA,30058,DEKALB,6,6785583106,08/30/2018,Ms MARLYN WALLACE,marlyn_wallace@yahoo.com
,AMERICANWORK ADAPTIVE GP RES,PERSONAL CARE HOME,124-D WINDING WAY,LEESBURG,GA,31763,LEE,6,2294203991,12/11/2003,Ms JENNIFER CURLES,jcurles@americanwork.org
,AMERICANWORK ITR,PERSONAL CARE HOME,124-A WINDING WAY,LEESBURG,GA,31763,LEE,6,2294203978,12/11/2003,Ms SHARON WILLIAMS,jcurles@americanwork.org
,AMICASA PERSONAL CARE HOME COMMUNITY,PERSONAL CARE HOME,3482 FLAT SHOALS ROAD,DECATUR,GA,30034,DEKALB,24,4045371960,10/31/2017,Mrs EVELYN AZIKE,AMICASAHOMECARE@YMAIL.COM
,ANA'S PHC #2 PCH,PERSONAL CARE HOME,730 TAB ROBERTS ROAD,LAWRENCEVILLE,GA,30043,GWINNETT,6,7708076989,10/01/2009,Ms ANA SIPOS,anaspch@gmail.com
,"ANCHOR HOLDS PCH, THE",PERSONAL CARE HOME,478 PATTERSON ROAD,LAWRENCEVILLE,GA,30044,GWINNETT,3,7702369329,02/06/2018,Ms GAIL ASHE,aalvg10@aol.com
,ANCHOR PERSONAL CARE HOME,PERSONAL CARE HOME,2865 CENTERVILLE HIGHWAY,SNELLVILLE,GA,30078,GWINNETT,4,7703097669,04/01/2020,,ANCHORPCH@GMAIL.COM
,ANDREWS TERRACE,PERSONAL CARE HOME,1009 BONNER DRIVE,PERRY,GA,31069,HOUSTON,15,4789873251,07/27/2004,Ms CAROL BAXTER,cbaxter@cmm-summerhill.com
,ANGEL'S CARE PERSONAL CARE HOME,PERSONAL CARE HOME,2620 RICHMOND HILL ROAD,AUGUSTA,GA,30906,RICHMOND,11,7067552200,10/18/2019,Ms ANGEL DUNN,angelscare25@yahoo.com
,ANGELS DIVINE PCH,PERSONAL CARE HOME,3065 JEFFERSONVILLE ROAD,MACON,GA,31217,BIBB,14,4782577136,06/21/2016,Ms TAMMIE BARKSDALE,angelsdivine@ymail.com
,ANGELS GARDEN SENIOR COMMUNITY BLDG #1,PERSONAL CARE HOME,3093 HOG MOUNTAIN ROAD,DACULA,GA,30019,GWINNETT,14,6788892040,01/31/2017,Mr CLAUDIU RATIU,administrator@agsc.us
,ANGELS GARDEN SENIOR COMMUNITY BLDG #2,PERSONAL CARE HOME,3103 HOG MOUNTAIN RD,DACULA,GA,30019,GWINNETT,14,6788892733,01/31/2017,Mr CLAUDIU RATIU,administrator@agsc.us
,ANGELS OF MERCY,PERSONAL CARE HOME,2296 SARATOGA DR,DECATUR,GA,30032,DEKALB,3,6786225943,02/21/2019,Mr HERBERT BROOKS,lillian7hudson@yahoo.com
,ANGELS PCH,PERSONAL CARE HOME,390 EMERALD GREEN COURT,COLLEGE PARK,GA,30349,CLAYTON,4,4703175852,07/31/2019,Ms IVINIA LUCAS,ivinia.lucas@gmail.com
,ANGELS PCH,PERSONAL CARE HOME,6290 WEST FAYETTEVILLE,RIVERDALE,GA,30296,CLAYTON,6,7709960632,07/03/2012,,winia.lucas@gmail.com
,ANGELS ROYAL GARDENS II,PERSONAL CARE HOME,5913 HOMESTEAD COURT,REX,GA,30273,CLAYTON,3,7705734939,05/29/2013,Ms MOROLAKE MCDONNELL,angelsroyalgardens@aol.com
,ANITA PERSONAL CARE HOME,PERSONAL CARE HOME,4411 EWING ROAD,AUSTELL,GA,30106,COBB,3,4045100648,03/03/2017,Mrs ANNA VOLTAIRE,voltaire_a1@bellsouth.net
,ANNANDALE VILLAGE,PERSONAL CARE HOME,3500 ANNANDALE LANE,SUWANEE,GA,30024,GWINNETT,102,7709458381,10/13/2004,Mr ADAM POMERANZ,laura.gourleyr@annandale.org
,ANNANDALE VILLAGE CENTER FOR CONTINUED CARE,ASSISTED LIVING COMMUNITY,3500 ANNANDALE LANE,SUWANEE,GA,30024,GWINNETT,36,7709458381,03/30/2016,Ms PAMELA SHIPMAN,dottie.fenn@annandale.org
,ANNIE'S PLACE,PERSONAL CARE HOME,4811 JACKSON-WILLIAMS ROAD,GARFIELD,GA,30425,EMANUEL,4,4789825587,09/04/2018,Ms LATESA WILLIAMS,latesa72006@hotmail.com
,ANNOINTING BOOKS,PERSONAL CARE HOME,3335 FLAT SHOALS ROAD,COLLEGE PARK,GA,30349,FULTON,5,4044512343,08/22/2018,Ms AJAH MYERS,mjenkin8@bellsouth.net
,ANTEBELLUM ARLINGTON PLACE,PERSONAL CARE HOME,684 ARLINGTON PLACE,MACON,GA,31201,BIBB,120,4787457971,06/25/2018,Ms CLAUDIA WELLS,azussman@ssmgrp.com
,ANTEBELLUM GROVE SENIOR LIVING,PERSONAL CARE HOME,1010 KATHRYN RYALS ROAD,WARNER ROBINS,GA,31088,HOUSTON,69,4789530706,02/28/2013,Mrs CHRISTA BOURNE,mosgood@ssmgrp.com
,ANTEBELLUM JAMES BURGESS SENIOR LIVING,ASSISTED LIVING COMMUNITY,1520 JAMES BURGESS ROAD,SUWANEE,GA,30024,FORSYTH,74,6788077350,12/01/2016,Ms SHANA HARTER,shanah@ssmgrp.com
,ANTHONY'S PERSONAL CARE,PERSONAL CARE HOME,2329 CADDEN ROAD,AUGUSTA,GA,30906,RICHMOND,3,7067909227,04/22/2008,Ms GLADYS SHEPARD,gashepard@bellsouth.net
,APACHE PERSONAL CARE HOME,PERSONAL CARE HOME,3135 APACHE DRIVE,COLUMBUS,GA,31909,MUSCOGEE,6,7065075438,01/08/2020,Ms BENITA KANGAR,benitak27@gmail.com
,APPALACHEE HOME,PERSONAL CARE HOME,4600 MONROE HIGHWAY,STATHAM,GA,30666,OCONEE,4,7707255919,04/21/2017,Ms JUDITH BUTTS,
,"ARBOR BRIDGEMILL, THE",ASSISTED LIVING COMMUNITY,700 FREEDOM BLVD,CANTON,GA,30114,CHEROKEE,125,7706910022,02/27/2018,Mr JERRY RICK,david.hink@aspire-development.com
,"ARBOR HOUSE, LLC",PERSONAL CARE HOME,212 SOUTH COLLEGE AVENUE,DOUGLAS,GA,31533,COFFEE,4,9123840478,02/12/2020,Mr JONATHAN LEWIS,jlewis@tendercare-inc.com
,ARBOR MANOR 1900,PERSONAL CARE HOME,1900 MACON ROAD,PERRY,GA,31069,HOUSTON,15,4782242948,10/16/2019,Ms TAMI-ANN GENTRY,fawadkhan1947@hotmail.com
,ARBOR MANOR 1902,PERSONAL CARE HOME,1902 MACON ROAD,PERRY,GA,31069,HOUSTON,15,4782244545,10/16/2019,Ms. PATTY WIGGINS,fawadkhan1947@hotmail.com
,ARBOR TERRACE AT CASCADE,ASSISTED LIVING COMMUNITY,1001 RESEARCH CENTER ATLANTA DRIVE,ATLANTA,GA,30331,FULTON,92,4046910304,12/21/2018,Ms AUDRIENNE STEVENS,sreasonover@arborcomany.com
,ARBOR TERRACE AT CRABAPPLE,ASSISTED LIVING COMMUNITY,12200 CRABAPPLE ROAD,ALPHARETTA,GA,30004,FULTON,125,7706491009,03/23/2018,Ms SHARON EGITTON,Tricia.Holloway@arborcompany.com
,ARBOR TERRACE AT HAMILTON MILL,ASSISTED LIVING COMMUNITY,3581 BRASELTON HIGHWAY,DACULA,GA,30019,GWINNETT,125,7709990421,10/22/2018,Ms. ANDREA WEBB,tjohnson@arborcompany.com
,ARBOR TERRACE DECATUR,ASSISTED LIVING COMMUNITY,425 WINN WAY,DECATUR,GA,30030,DEKALB,90,4042925910,10/03/2014,Ms FRANCES WOODWARD,fwoodward@arborcompany.com
,ARBOR TERRACE OF ATHENS,ASSISTED LIVING COMMUNITY,170 MARILYN FARMER WAY,ATHENS,GA,30606,CLARKE,75,7063530400,08/16/2013,Ms ROSE CLEVELAND,pszucs@arborcompany.com
,ARBOR TERRACE OF BURNT HICKORY,ASSISTED LIVING COMMUNITY,920 BURNT HICKORY ROAD,MARIETTA,GA,30064,COBB,112,7706910050,04/13/2018,,steve.blazejewski@pgim.com
,ARBOR TERRACE OF EAST COBB,ASSISTED LIVING COMMUNITY,886 JOHNSON FERRY ROAD,MARIETTA,GA,30068,COBB,99,7709774420,12/20/2018,Ms CAROLINE WELDON,cweldon@arborcompany.com
,ARBOR TERRACE OF JOHNS CREEK,ASSISTED LIVING COMMUNITY,3180 KAREN WHITE DR,SUWANEE,GA,30024,FORSYTH,125,7709999577,09/10/2018,Ms LAUREN MUELLER,lmueller@arborcompany.com
,ARBOR TERRACE PEACHTREE CITY,PERSONAL CARE HOME,201 CROSSTOWN DRIVE,PEACHTREE CITY,GA,30269,FAYETTE,75,7706325823,10/23/2017,Mr STEVEN SANDERS,ssanders@arborcompany.com
,ARBORWOOD PERSONAL CARE HOME,PERSONAL CARE HOME,342 ROCKBRIDGE ROAD SW,LILBURN,GA,30047,GWINNETT,6,7705640754,09/29/2011,Ms GEORGIANNA HERA,arborwoodpch@yahoo.com
,ARIELL'S PERSONAL CARE HOME,PERSONAL CARE HOME,3275 CREEKWAY LANE,DECATUR,GA,30034,DEKALB,3,4042128117,09/14/2004,Ms BESSIE JENNINGS,
,AROUND THE CLOCK CARE PCH,PERSONAL CARE HOME,5337 JEROME ROAD,COLLEGE PARK,GA,30349,FULTON,4,4046004287,03/28/2013,Mr ABRAM CHARTAIN,aroundtheclockcare2012@gmail.com
,"ARTISTRY CARE, LLC",PERSONAL CARE HOME,1120 WILEY BRIDGE ROAD,WOODSTOCK,GA,30188,CHEROKEE,5,4704120727,08/05/2019,Ms NASRIN MIRZAEI,artistrycarellc@gmail.com
,ASHBROOK VILLAGE SENIOR LIVING,ASSISTED LIVING COMMUNITY,75 HERRELL ROAD,VILLA RICA,GA,30180,CARROLL,54,7704564477,06/15/2021,Mr GARY TALLENT,garytallent@ashbrookvillage.com
,ASHLEY GLEN SENIOR LIVING AND MEMORY CARE,PERSONAL CARE HOME,441 PRIME POINT,PEACHTREE CITY,GA,30269,FAYETTE,77,7706310205,01/31/2017,Ms DIANE NEWTON,DianeN@voralto.com
,ASHLEY MANOR,PERSONAL CARE HOME,532 DICKSON ROAD,MARIETTA,GA,30066,COBB,15,7704991400,11/28/2005,Ms MURIEL MCPHAUL,
,ASHTON MANOR AT SUGARLOAF LLC,ASSISTED LIVING COMMUNITY,1155 LAWRENCEVILLE HIGHWAY,LAWRENCEVILLE,GA,30046,GWINNETT,70,7709634837,08/15/2019,Mr MATT SUMMERVILLE,hello@ashtonmanoratsugarloaf.com
,"ASHTON SENIOR LIVING, GAINESVILLE",ASSISTED LIVING COMMUNITY,1012 ENOTA AVENUE,GAINESVILLE,GA,30501,HALL,65,7702870714,01/19/2016,,ashtonhall@bellsouth.net
,ASHWOOD PERSONAL CARE HOME,PERSONAL CARE HOME,6303 ASHWOOD DRIVE,COLUMBUS,GA,31904,MUSCOGEE,6,7062216589,01/27/2020,,:      rayj34p@gmail.com
,AT EASE PERSONAL CARE HOME,PERSONAL CARE HOME,2548 CENTRAL AVENUE,AUGUSTA,GA,30904,RICHMOND,15,7069229215,09/07/2017,Mr MICHAEL MIDDLETON,admin@ateasepch.com
,AT HOME SENIOR LIVING,ASSISTED LIVING COMMUNITY,147 S 6TH STREET,COCHRAN,GA,31014,BLECKLEY,66,4782714663,02/04/2020,Ms SHANNA DUPREE,sdupree@athomesl.com
,AT HOME SENIOR LIVING OF JESUP,ASSISTED LIVING COMMUNITY,150 HINSON MOSLEY ROAD,JESUP,GA,31545,WAYNE,48,9125596497,02/10/2021,Ms BRAMDY SERRATO,tammy@athomeofjesup.com
,ATHERTON PLACE,PERSONAL CARE HOME,111 TOWER ROAD,MARIETTA,GA,30060,COBB,200,7704217300,04/08/2004,"Mr JOSEPH VANHORN, JR",candice.saunders@wellstar.org
,ATRIA BUCKHEAD,PERSONAL CARE HOME,2848 LENOX ROAD NE,ATLANTA,GA,30324,FULTON,76,4042402848,05/12/2011,Mr. MICHEAL HALPNER,michael.halpner@atriaseniorliving.com
,ATRIA MABLETON,PERSONAL CARE HOME,3829 FLOYD ROAD,AUSTELL,GA,30106,COBB,75,7704350750,06/27/2013,,melissa.jones@atriaseniorliving.com
,ATRIA NORTH POINT,ASSISTED LIVING COMMUNITY,100 SOMERBY DRIVE,ALPHARETTA,GA,30009,FULTON,106,7706509577,04/25/2014,,andres.ulloa@atriaseniorliving.com
,ATRIA PARK OF TUCKER,PERSONAL CARE HOME,5844 LAWRENCEVILLE HIGHWAY,TUCKER,GA,30084,GWINNETT,75,7709259170,06/27/2013,,eduardo.ulloa@atriaseniorliving.com
,ATTENTIVE NEEDS,PERSONAL CARE HOME,7264 AMANDA COURT,RIVERDALE,GA,30274,CLAYTON,5,7702102715,09/30/2009,Ms MONIQUE WALKER,attentiveneeds@yahoo.com
,AUGUSTA GARDENS RETIREMENT RES,PERSONAL CARE HOME,3725 WHEELER ROAD,AUGUSTA,GA,30909,RICHMOND,72,7068686500,08/25/2004,Ms CATHY HARVILLE,brook.wilson@augustagardenscommunity.com
,AUGUSTA VILLAS,PERSONAL CARE HOME,2237 LEE STREET,AUGUSTA,GA,30904,RICHMOND,24,7067369663,11/01/2016,Ms CATHY HARVILLE,caharville@savasc.com
,AUGUSTA VILLAS II,PERSONAL CARE HOME,2237 LEE STREET,AUGUSTA,GA,30904,RICHMOND,24,7037369663,11/01/2016,Ms CHRISTINA ENGEL,
,"AUTUMN ESTATE, LLC",PERSONAL CARE HOME,1240 DAWNVILLE ROAD,DALTON,GA,30721,WHITFIELD,13,7065088966,09/13/2019,,autumnestatesl@gmail.com
,AUTUMN HOUSE PCH,PERSONAL CARE HOME,3059 NOTTAWAY COURT,CHAMBLEE,GA,30341,DEKALB,6,6780000000,07/26/2018,Ms BRENDA HAMPTON,bkay1015@yahoo.com
,AUTUMN SQUARE,PERSONAL CARE HOME,2455 OAK GROVE CHURCH ROAD,CARROLLTON,GA,30117,CARROLL,40,7708341737,06/04/2003,Mr TRACE THOMPSON,donnaskipper@gmail.com
,AUTUMN TERRACE #2,PERSONAL CARE HOME,1026 KEITH DRIVE,PERRY,GA,31069,HOUSTON,15,4789872535,04/29/2004,Ms TAMMIE CORDREY,tammie@smgliving.com
,AUTUMN TERRACE #3,PERSONAL CARE HOME,1026 KEITH DRIVE,PERRY,GA,31069,HOUSTON,15,4789873120,04/29/2004,Ms TAMMIE CORDREY,tammie@smgliving.com
,AUTUMN TERRACE#1,PERSONAL CARE HOME,1026 KEITH DRIVE,PERRY,GA,31069,HOUSTON,15,4789873120,05/12/2004,Ms TAMMIE CODREY,tammie@smgliving.com
,AUTUMN VILLAGE 2A,PERSONAL CARE HOME,746 MCDONOUGH ROAD,JACKSON,GA,30233,BUTTS,15,7707752050,01/03/2008,Ms ANNE-MARIE RUBIN,
,AUTUMN VILLAGE 2B,PERSONAL CARE HOME,746 MCDONOUGH ROAD,JACKSON,GA,30233,BUTTS,15,7707752050,01/03/2008,Ms ANNE-MARIE RUBIN,
,AUTUMN VILLAGE 2C,PERSONAL CARE HOME,746 MCDONOUGH ROAD,JACKSON,GA,30233,BUTTS,15,7707752050,01/03/2008,Ms ANNE-MARIE RUBIN,
,AUTUMN VILLAGE ASSISTED LIVING FACILITY,PERSONAL CARE HOME,753 COVINGTON STREET,JACKSON,GA,30233,BUTTS,45,7705040083,09/18/2007,Ms BERNETTE BILES,kellib62@gmail.com
,AVANT CARE,PERSONAL CARE HOME,1402 SHADOWBROOK DR,MARIETTA,GA,30062,COBB,4,7705090533,06/10/2020,Ms THERESA OLOKODANA,info@avantcares.com
,AVERY PLACE,ASSISTED LIVING COMMUNITY,124 AVERY STREET,WINTERVILLE,GA,30683,CLARKE,61,7065101257,07/21/2016,Mr STACEY DONALD,pbrock@enlivant.com   or    legalhelp@enlivant.com
,AVONDALE HOMES AT DECATUR,PERSONAL CARE HOME,3508 KENSINGTON ROAD,DECATUR,GA,30032,DEKALB,12,4042948191,12/18/2014,Ms RACHEL WALDEMAR,avonhealth1244@aol.com
,AVONDALE HOMES AT NORTHLAKE,PERSONAL CARE HOME,3965 GLOUCESTER DRIVE,TUCKER,GA,30084,DEKALB,6,7704148144,09/06/2005,Ms RACHEL WALDEMAR,
,AVONDALE HOMES AT TUCKER,PERSONAL CARE HOME,2553 SANDPIPER DRIVE,TUCKER,GA,30084,DEKALB,6,7709390122,11/25/2003,Ms RACHEL WALDEMAR,
,AZALEA ESTATES OF FAYETTEVILLE,ASSISTED LIVING COMMUNITY,105 AUTUMN GLEN CIRCLE,FAYETTEVILLE,GA,30215,FAYETTE,96,7704610039,01/23/2020,Ms HOLLY WOODS,AZALEAED@BELLSOUTH.NET
