Facility Name,Address,City,Phone Number,Capacity,Date Accessed,State Facility Type 1 Literal,State
Ashley Manor - Cloverdale,3749 NORTH CLOVERDALE ROAD,Boise,208-377-4929,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Crescent,421 CRESCENT DRIVE,Caldwell,208-454-4160,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Harmony,2703 HARMONY AVENUE,Boise,208-331-9228,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Hawthorne,4826 HAWTHORNE ROAD,Chubbuck,208-637-1200,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Hill Road,3424 WEST HILL ROAD,Boise,208-344-5807,13,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Hyde Park,1908 NORTH 13TH STREET,Boise,208-424-8107,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Iowa,2604 IOWA AVENUE,Caldwell,208-459-2948,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Lincoln,101 EAST 15TH,Jerome,208-324-1354,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Middleton,620 WEST 9TH STREET NORTH,Middleton,208-585-2310,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Midland,67 SOUTH MIDLAND BOULEVARD,Nampa,208-461-1452,18,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Mountain Home,940 WEST 8TH SOUTH ,Mountain Home,208-587-3432,35,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Parkview Drive,482 PARK VIEW LOOP,Twin Falls,208-933-4404,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Storybook Way,126 NORTH STORYBOOK WAY ,Eagle,208-939-4602,30,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor Care Centers Inc - Elgin Way,3961 ELGIN WAY,Boise,208-327-9960,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor Care Centers Inc - Highmont,11099 HIGHMONT DRIVE,Boise,208-377-4107,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor Care Centers Inc - Orchard,2150 SOUTH ORCHARD,Boise,208-388-8909,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Aspen Springs Assisted Living,3254 SPIRIT LAKE CUTOFF ROAD,"Spirit Lake, Id",208 263 2314,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Aspen Valley Senior Living Community,4455 E. WARM SPRINGS AVENUE,Boise,208-906-1900,80,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Assisted Living On Shamrock,2716 SHAMROCK AVE,"Nampa, Id",208-465-5923,12,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Autumn Breeze ,1083 BURLEY AVENUE,Buhl,208-543-9384,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Autumn Cove Assisted Living, Llc",652 SOUTH MAIN STREET,Star,208-286-7095,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Autumn Haven Assisted Living, Inc",924 CHRISTIAN WAY,Rupert,208-436-3200,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
B&B Residential Care,261 BIG BUCK ROAD,Kooskia,208-926-0049,21,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Basil Celany Living Center,2712 IRENE STREET,Boise,208-342-5381,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Bear Lake Manor,855 BOISE STREET,Montpelier,208-847-2400,37,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Beewell Assisted Living Winterberry, Llc",3989 E WINTERBERRY DR,Nampa,(208) 461-7822,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Birchwood Retirement Estate,641 RIMVIEW DRIVE,Twin Falls,208-734-4445,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Briarwood Assisted Living,3685 WEST HIGHWAY 33,"Rexburg, Id",208-356-7668,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Briarwood Assisted Living Of Idaho Falls,"1140 SCIENCE CENTER DR IDAHO FALLS, ID",Idaho Falls,208-522-0908,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Bridge Assisted Living At Sandpoint,1123 NORTH DIVISION STREET,Sandpoint,208-263-1524,65,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Bridgeview Estates - Rcf,1828 BRIDGEVIEW BOULEVARD,Twin Falls,208-736-3933,59,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brightstar Care Homes Prickly Pear,4073 WEST PRICKLY PEAR DRIVE,Eagle,208-506-6305,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brightstar Care Homes Summerset,3940 SOUTH SUMMERSET WAY,Boise,208-338-7878,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brightstar Care Homes Taft,2903 WEST TAFT STREET,Boise,208-338-7878,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Bristol Heights Assisted Living,2220 WEST PRAIRIE AVENUE,Coeur D'Alene,208-661-4236,48,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Broadway Fields Assisted Living,"165,175,185,195 AND 205 CONSTELLATION DRIVE",Idaho Falls,208-391-4806,70,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Broadway Hills,215 CONSTELLATION DRIVE,Idaho Falls,208-227-8607,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brookdale Boise Parkcenter,739 EAST PARKCENTER BOULEVARD,Boise,208-338-5600,100,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brookdale Chubbuck,4080 HAWTHORNE ROAD,Chubbuck,208-237-6005,109,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brookdale Coeur D'Alene,205 EAST ANTON AVENUE,Coeur D'Alene,208-667-6490,96,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brookdale Lewiston,2975 JUNIPER DRIVE,Lewiston,208-746-8676,133,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brookdale Pocatello,1501 BALDY AVENUE,Pocatello,208-237-6866,68,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brookdale Twin Falls,1367 LOCUST STREET NORTH,Twin Falls,208-735-0700,80,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brooklyn House,9976  WEST PATTIE DRIVE,Boise,208-813-6449,7,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Brookside Landing,431 JOHNSON AVENUE,Orofino,208-476-2000,51,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Camas Home Llc,11325 W CAMAS ST,Boise,208-321-7968,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Canyons Retirement Community,1215 CHENEY DRIVE WEST ,Twin Falls,208-358-9624,64,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Caring Hearts Assisted Living,3480 EAST CENTER STREET,Pocatello,208-417-1007,30,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Caring Hearts Assisted Living Ii,3428 EAST CENTER STREET,Pocatello,208-656-3163,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cedar Draw Assisted Living & Memory Care,4094 NORTH 2100 EAST,Filer,208-326-3342,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cenoma House,1930 HEYBURN AVENUE E,Twin Falls,208-736-7471,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Chardonnay Assisted Living,1045 CARRIAGE LANE,Twin Falls,208-736-4808,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Clement Home Assisted Living,3909 WEST CLEMENT ROAD,Boise,208-376-4290,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Colibri Assisted Living Llc,18035 CELESTIA DRIVE,Nampa,208-249-0539,6,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Community Restorium,6619 KANIKSU STREET,Bonners Ferry,208-267-2453,52,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Copper Springs Senior Living,3570 EAST AMITY ROAD,Meridian,208-888-7030,119,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Copper Summit Assisted Living,2424 BIRDIE THOMPSON DRIVE,Pocatello,208-233-1914,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Cottage At Boise Samaritan Village, The",3390 COLLISTER DRIVE,Boise,208-338-9243,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cottages Senior Living I Llc Dba The Cottages Of Emmett,411 EAST 12TH STREET,Emmett,208-365-9490,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cottages Senior Living I Llc Dba The Cottages Of Meridian,3173 WEST BELLTOWER DRIVE,Meridian,208-288-2220,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cottages Senior Living I Llc Dba The Cottages Of Middleton,760 WEST MAIN STREET,Middleton,208-585-5959,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cottages Senior Living I Llc Dba The Cottages Of Mountain Home,735 SOUTH 5TH WEST,Mountain Home,208-580-1121,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cottages Senior Living I Llc Dba The Cottages Of Payette,1481 7TH AVENUE NORTH,Payette,208-642-6199,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cottages Senior Living I Llc Dba The Cottages Of Weiser,1225 EAST 6TH STREET,Weiser,208-414-4200,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cottages Senior Living Iii Llc Dba The Cottages Of Boise,6300 NORTH ROE STREET,Boise,208-853-1255,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Cottonwood Shelter Home,210 FOSTER STREET,Cottonwood,208-962-8672,17,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Country Comfort Residential Care,824 NORTH 23RD STREET,Coeur D Alene,208 664-2272,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Country Cottage Assisted Living,3652 NORTH 2500 EAST,Twin Falls,208-736-1856,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Country Living Retirement Of Mountain Home, Inc",1200 EAST 6TH SOUTH,Mountain Home,208-587-9073,70,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Country Time Assisted Living,277 SOUTH MAIN,Star,208-286-0668,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Creekside Care Center,222 6TH AVENUE WEST,Jerome,208-324-4941,39,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Creekside Inn Assisted Living Alzheimer'S Community,240 EAST KATHLEEN AVENUE,Coeur D'Alene,208-665-2444,70,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Crestwood Serenity Assisted Living,1476 WEST CREST WOOD DRIVE,Meridian,208-321-2533,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Curtis House, Llc",1000 SOUTH CURTIS ROAD,Boise,208-384-0553,12,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Desano Place Suites,545 NEVADA STREET,Gooding,208-934-4623,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Desano Place Village Memory Care,1015 EAST AVENUE K,Jerome,208-595-1589,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Diamond Peak Of Burley,1703 ALMO AVENUE ,Burley,208-678-2955,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Diamond Peak Of Chubbuck,4875 BURLEY DRIVE ,Chubbuck,208-234-1200,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Diamond Peak Of Gooding,745 CALIFORNIA STREET ,Gooding,208-934-5506,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Diamond Peak Of Lava,580 WEST ELM ,Lava Hot Springs,208-776-5899,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Diamond Peak Of Pocatello,5685 SOUTH BANNOCK HIGHWAY ,Pocatello,208-239-0480,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Diamond Peak Of Shelley,183 EAST OAK STREET ,Shelley,208-357-3589,12,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Discovery Rehabilitation And Living,600 SHANFELT STREET,Salmon,208-756-8391,24,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Castle Hills, Llc",5955 CASTLE DRIVE,Boise,208-331-1300,74,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Fruitland Senior Living, Llc",1255 ALLEN AVE,Fruitland,208-452-5163,82,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Plantation Place, Llc",3921 KESSINGER LANE,Boise,208-853-7300,46,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Spring Creek American Falls, Llc",605 HILLCREST AVENUE,American Falls,208-226-1856,36,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Spring Creek Boise, Llc",10681 WEST MCMILLAN ROAD,Boise,208-954-5660,43,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Spring Creek Eagle Island, Llc",77 NORTH FISHER PARK WAY,Eagle,208-939-6499,81,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Spring Creek Eagle, Llc",653 NORTH EAGLE ROAD,Eagle,208-938-1590,36,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Spring Creek Meridian, Llc",175 EAST CALDERWOOD DRIVE,Meridian,208-884-6199,60,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Spring Creek Overland, Llc",10139 WEST OVERLAND ROAD,Boise,208-639-7000,58,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Spring Creek Soda Springs, Llc",425 SOUTH SPRING CREEK DRIVE,Soda Springs,208-547-0257,30,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Edgewood Spring Creek Ustick, Llc",3165 NORTH MERIDIAN ROAD,Meridian,208-287-2064,60,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Elegant Residential Living,1240 SNOWBIRD AVE #5 BUILDING,Pocatello,208-478-9400,80,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Emerson House At River Pointe,8250 WEST MARIGOLD STREET,Garden City,208-377-3177,45,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Etosha Assisted Living,243 NORTH 300 EAST,Rupert,208-436-3332,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Evergreen Place Assisted Living,1043 BURLEY AVENUE,Buhl,208-543-2800,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Fairwinds - Sandcreek,3310 VALENCIA DRIVE,Idaho Falls,208-542-6200,75,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Family Life,422 11TH AVENUE SOUTH,Nampa,208-442-8200,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Foxtail Assisted Living, Inc",3559 WEST BAVARIA STREET,Eagle ,208-887-8514,84,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Gables Assisted Living And Memory Care Of Caldwell,917 E USTICK ROAD,Caldwell,(208) 455-2324,45,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Gables Of Ammon Management, Inc",1405 CURLEW DRIVE,Ammon,208-542-3400,74,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Gables Of Blackfoot Assisted Living,2815 HUNTERS LOOP,Blackfoot,208-785-2506,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Gables Of Blackfoot Assisted Living Ii,2820 HUNTERS LOOP,Blackfoot,208-782-2508,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Gables Of Idaho Falls Assisted Living & Memory Care,3400 SOUTH 5TH WEST,Idaho Falls,208-524-3629,50,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Gables Of Pocatello Assisted Living,2805 SOUTH GRANT AVENUE,Pocatello,208-232-1091,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Gables Of Pocatello Assisted Living Ii,1451 SOUTH BANNOCK HIGHWAY,Pocatello,208-232-0903,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Gables Of Shelley Assisted Living,530 RIVER POINTE LANE,Shelley,208-357-3110,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Garnet Place,5815 COFFEY STREET,Garden City,208-377-9980,58,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Gem Village,490 EMERALD AVENUE,Blackfoot,208-785-9920,56,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Generations Assisted Living,13400 NORTH MEYER ROAD,Rathdrum,208-687-0495,48,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Golden Girls Residential Care, Llc",214 LARKSPUR LANE,Lewiston,208-798-1933,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Golden Years Assisted Living - Kimra,1455 WEST KIMRA STREET,Meridian,208-888-2800,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Golden Years Assisted Living - Maryland,612 EAST MARYLAND,Nampa,208-466-1641,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Golden Years Assisted Living - Oakcrest,1745 EAST OAKCREST DRIVE,Meridian,208-888-2377,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Good Samaritan Moscow Village, Mickey Assisted Living Center",640 NORTH EISENHOWER STREET,Moscow,208-882-6560,36,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Grace Assisted Living,1610 SUNNYRIDGE ROAD,Nampa,208-442-9595,78,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Grace Assisted Living At Caldwell,518 NORTH 21ST AVENUE,Caldwell,208-455-8181,124,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Grace Assisted Living At Englefield Green,250 SOUTH ALLUMBAUGH WAY,Boise,208-322-8080,92,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Grace Assisted Living At State Street,9995 WEST STATE STREET,Boise,208-342-1312,95,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Grace Assisted Living Of Fairview Lakes,1960 N. LAKES PLACE,Meridian,208-884-8080,124,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Grace At Chubbuck,440 NEW DAY ROAD,Chubbuck,208-890-5357,100,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Grace At Twin Falls, Llc",1803 PARKVIEW DRIVE,Twin Falls,208-738-0808,130,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Grace Memory Care At State Street,9779 WEST STATE STREET,Boise,208-853-3337,40,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Hancock House,1322 HANCOCK DRIVE,Boise,208-519-3131,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Harbor Assisted Living,2308 EAST HARBOUR GROVE DRIVE,Nampa,208-461-8018,12,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Harmony Hills Assisted Living - Meridian,1180 WEST OVERLAND ROAD,Meridian,208-605-3700,90,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Harmony House Assisted Living I,454 WEST LACEY AVENUE,Hayden,208-704-2502,13,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Harmony House Assisted Living Ii,9961 N MAPLE,Hayden,208-762-9856,64,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Harmony Place Living Center,3808 NORTH 2538 EAST,"Twin Falls, Id",208-736-5705,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Hearthstone Village, Llc",402 WEST 3RD AVENUE,Kootenai,208-255-4849,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Heritage Assisted Living Of Twin Falls,622 FILER AVENUE WEST,Twin Falls,208-733-9064,78,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Heritage Senior Living,155 + 175 EAST 3RD NORTH,Preston,208-852-2273,62,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Heron Place,715 WEST COMSTOCK,Nampa,208-463-1732,45,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Hettinger Living Center,217 RUBY STREET,Boise,208-345-8017,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Highland Estates-Burley Operations, Llc",2050 HILAND AVENUE,Burley,208-678-4411,75,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Hillcrest Manor, Llc",3901 WEST HILLCREST DRIVE,Boise,208-424-0618,12,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Homestead Assisted Living Center, Inc. Of Rexburg, The",407 WEST 1ST NORTH,Rexburg,208-356-9800,85,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Homestead Assisted Living Centers Inc - St. Anthony,610 NORTH BRIDGE STREET,Saint Anthony,208-624-1088,36,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Honeysuckle Place Assisted Living Community,660 WEST HONEYSUCKLE AVENUE,Hayden,208-762-4097,45,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Hope Springs,2321 KENMERE DR,Meridian,208-805-6514,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Huckleberry Retirement Homes Llc - Ii,1408 PONDEROSA DRIVE,Sandpoint,208-263-9094,14,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Independence Home,430 WILLARD AVENUE,Pocatello,208-234-0008,14,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Indianhead Estates,590 WEST INDIANHEAD ROAD,Weiser,208-549-3455,28,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ivy Place Residence - Ivy Place Inc,1307 NORTH 25TH STREET,Boise,208-426-8033,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Joyce'S Orchard Residential Care Home,615 CEDAR AVENUE,Lewiston,208-746-5695,12,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Kimball'S Residential Care,54 EAST RIVER ROAD,Blackfoot,208-785-5994,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Lakeside,605 JOSEPH AVENUE,Winchester,208-924-6248,64,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Lakeside - East,605 NEZ PERCE AVENUE,Winchester,208-924-5000,36,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Lakeside Assisted Living - Sandpoint,624 SOUTH DIVISION AVENUE,Sandpoint,208-265-2354,60,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Legends Park Assisted Living Community,1820 NORTH LEGENDS PARKWAY,Coeur D'Alene,208-666-9900,55,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Lenity Senior Living,4119 LENITY LIVING AVENUE,Caldwell,208-454-1200,86,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Lily And Syringa Assisted Living,840 & 830 EAST 1ST AVENUE,Idaho Falls,208-497-5959,24,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Lincoln Court Retirement Community,850 LINCOLN DRIVE,Idaho Falls,208-529-3456,148,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
