Facility ID,License Number,State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Phone Number,Licensee,Capacity,Ownership Type
11967516,11516,Assisted Living Facility,A & M ASSISTED LIVING FACILITY II,2180 STRATFORD POINTE DR,WEST MELBOURNE,FL,32904-8008,Brevard,(321) 327-7209,A & M ASSISTED LVING FACILITY  INC.,6,For-Profit
11967791,11794,Assisted Living Facility,A BANYAN RESIDENCE,100 BASE AVENUE EAST,VENICE,FL,34285,Sarasota,(941) 412-4748,A BANYAN RESIDENCE ASSISTED LIVING  LLC,71,For-Profit
11969813,13557,Assisted Living Facility,A BANYAN RESIDENCE AT WILDWOOD LLC,12427 COUNTY ROAD 101,OXFORD,FL,34484,Sumter,(941) 249-0456,A BANYAN RESIDENCE AT WILDWOOD LLC,100,For-Profit
11968721,12591,Assisted Living Facility,A BELLA VITA PLACE ASSISTED LIVING  LLC,2143 DORSON WAY,DELRAY BEACH,FL,33445,Palm Beach,(561) 371-4146,A BELLA VITA PLACE ASSISTED LIVING  LLC,10,For-Profit
11968042,12011,Assisted Living Facility,A COMFORT LIVING INC,1660 NW 135TH ST,NORTH MIAMI,FL,33167-1608,Miami-Dade,(786) 534-8708,A COMFORT LIVING INC.,14,For-Profit
11969280,13080,Assisted Living Facility,A COMPASSIONATE CARE ASSISTED LIVING RESIDENCE LLC,2646 YARMOUTH,WELLINGTON,FL,33414,Palm Beach,(561) 422-8120,A COMPASSIONATE CARE ASSISTED LIVING RESIDENCE LLC,6,For-Profit
11966113,10368,Assisted Living Facility,A COUNTRY PLACE ASSISTED LIVING FACILITY,10515 MEMORIAL HIGHWAY,TAMPA,FL,33615,Hillsborough,(813) 891-0549,VILLAS OF TAMPA  LLC (THE),24,For-Profit
11968858,12699,Assisted Living Facility,A GENTLE HAND ALF AT LANTANA,808 S BROADWAY,LANTANA,FL,33462,Palm Beach,(561) 508-7994,A GENTLE HAND RESIDENTIAL CARE LLC,10,For-Profit
11964920,9562,Assisted Living Facility,A HOME AWAY FROM HOME ALF INC,1851 SW 142ND AVE,MIAMI,FL,33175-7034,Miami-Dade,(305) 229-1315,A HOME AWAY FROM HOME ALF  INC.,6,For-Profit
11969537,13400,Assisted Living Facility,A HOME WITH HEART LLC,806 CALVIN AVE,LEHIGH ACRES,FL,33972,Lee,(239) 313-7490,A HOME WITH HEART LLC,6,For-Profit
11969804,13567,Assisted Living Facility,A KEE TO PARADISE,5579 NW COMMODORE TERR,PORT SAINT LUCIE,FL,34983,St. Lucie,(772) 631-4518,A KEE TO PARADISE LLC,6,For-Profit
11968427,12340,Assisted Living Facility,A LA MY LOVE ALF,6821 DOVER CT,TAMPA,FL,33634-4708,Hillsborough,(813) 574-7493,A LA MY LOVE ALF INC,6,For-Profit
11969769,13577,Assisted Living Facility,A LIFE OF LOVE ALF  INC,10930 SW 143 CT,MIAMI,FL,33186,Miami-Dade,(305) 515-0225,A LIFE OF LOVE ALF  INC,6,For-Profit
11910938,7174,Assisted Living Facility,A LOVELY HOME CARE BY OG INC,7935 SW 146TH CT,MIAMI,FL,33183-2942,Miami-Dade,(786) 715-9738,A LOVELY HOME CARE BY OG INC,6,For-Profit
11969816,13564,Assisted Living Facility,A LOVING FAMILY ALF LLC,106 16TH AVE,VERO BEACH,FL,32962,Indian River,(772) 696-3070,A LOVING FAMILY ALF LLC,6,For-Profit
11953636,8675,Assisted Living Facility,A LOVING HOME ENTERPRISES  INC.,3640 SW 91ST AVE # 42,MIAMI,FL,33165-4361,Miami-Dade,(305) 554-4432,A LOVING HOME ENT INC.,6,For-Profit
11969169,12990,Assisted Living Facility,A PARADISE HOME ALF II LLC,438 MACY ST,WEST PALM BEACH,FL,33405,Palm Beach,(954) 591-1025,A PARADISE HOME ALF II  LLC,6,For-Profit
11969373,13164,Assisted Living Facility,A PARADISE HOME ALF III  LLC,733 S 11TH ST,LANTANA,FL,33462,Palm Beach,(786) 486-9869,A PARADISE HOME ALF III  LLC,6,For-Profit
11964967,9585,Assisted Living Facility,A PIEDRA ALF INC,7960 SW 36 STREET,MIAMI,FL,33155,Miami-Dade,(305) 267-8730,A PIEDRA ALF INC,6,For-Profit
11967480,11499,Assisted Living Facility,A PLACE LIKE HOME ALF  INC,1971 PORT MALABAR BLVD NE,PALM BAY,FL,32905-5436,Brevard,(321) 693-3325,A PLACE LIKE HOME ALF INC,6,For-Profit
11968387,12293,Assisted Living Facility,A PLACE TO GROW LLC,109 VALLEY DR,BRANDON,FL,33510,Hillsborough,(813) 469-6764,A PLACE TO GROW LLC,5,For-Profit
11968838,12681,Assisted Living Facility,A QUAINT MEADOW,39 OHIO RD,LAKE WORTH,FL,33467,Palm Beach,(954) 258-3370,SUPERIOR ELDER CARE  LLC,6,For-Profit
11967590,11586,Assisted Living Facility,A SECOND HOME OF RIVIERA BEACH  INC,120 W 22ND ST,RIVIERA BEACH,FL,33404-5512,Palm Beach,(561) 845-6223,A SECOND HOME OF RIVIERA BEACH INC,4,For-Profit
11968947,12831,Assisted Living Facility,A SENIOR LIVING DREAM LLC,13442 SW 284TH ST,HOMESTEAD,FL,33033,Miami-Dade,(609) 428-9360,A SENIOR LIVING DREAM LLC,6,For-Profit
11964442,9159,Assisted Living Facility,A SWEET ALF  INC.,18400 NW 81 COURT,HIALEAH,FL,33015,Miami-Dade,(305) 999-7347,A SWEET ALF  INC,6,For-Profit
11968504,12400,Assisted Living Facility,A TOUCH OF CLASS #1 ADULT CARE LLC,658 NW AVENS ST,PORT ST LUCIE,FL,34983-1104,St. Lucie,(772) 323-0353,A TOUCH OF CLASS #1 ADULT CARE LLC,5,For-Profit
11967855,11837,Assisted Living Facility,A TOUCH OF CLASS ADULT CARE LLC,537 SW WHITMORE DRIVE,PORT SAINT LUCIE,FL,34984,St. Lucie,(772) 905-8729,A TOUCH OF CLASS ADULT CARE LLC,10,For-Profit
11967288,11367,Assisted Living Facility,A TROPICAL PARADISE ALF,5228 23RD AVE N,ST PETERSBURG,FL,33710-5148,Pinellas,(727) 289-2325,IGOR MELNICHUK,6,For-Profit
11969492,13279,Assisted Living Facility,A&D TENDER LOVING CARE  LLC,150 NE 18TH ST,POMPANO BEACH,FL,33060,Broward,(954) 785-9311,A & D Tender Loving Care LLC,6,For-Profit
11967643,11643,Assisted Living Facility,A&J ASSISTED LIVING FACILITY,2466 RALPH AVENUE SE,PALM BAY,FL,32909,Brevard,(754) 245-2745,A & J ALF OF FLORIDA  INC. II,6,For-Profit
11966253,10466,Assisted Living Facility,A+ SENIOR HOME INC,41 SW 68TH AVE,MIAMI,FL,33144-2805,Miami-Dade,(305) 264-4565,A + SENIOR HOME INC,6,For-Profit
11967137,11228,Assisted Living Facility,A-1 ASSISTED LIVING FACILITY  LLC,9410 SW 52 TERRACE,MIAMI,FL,33165,Miami-Dade,(786) 376-7722,A-1 ASSISTED LIVING FACILITY LLC,6,For-Profit
11968896,12738,Assisted Living Facility,A1 CARE SYSTEMS INC,6613 SHADY OAKS DR,JACKSONVILLE,FL,32277,Duval,(904) 527-3391,A1 CARE SYSTEMS INC,6,For-Profit
11969771,13595,Assisted Living Facility,A1 SENIOR LIVING,242 NE 42ND ST,DEERFIELD BEACH,FL,33064,Broward,(561) 809-5627,ASSISTED LIVING & ADULT CARE LLC,6,For-Profit
11965862,10201,Assisted Living Facility,A1A CARE CENTER  INC,641 WEST 33 STREET,HIALEAH,FL,33012,Miami-Dade,(305) 450-1775,A1A CARE CENTER  INC,6,For-Profit
11966837,10956,Assisted Living Facility,AASBURY MANOR ALF,5302 SATEL DR,ORLANDO,FL,32810,Orange,(407) 522-4832,AASBURY ENTERPRISES  INC,14,For-Profit
11967869,11839,Assisted Living Facility,ABACO HOUSE ALF,121 ABACO DR,PALM SPRINGS,FL,33461,Palm Beach,(561) 891-3095,ABACO HOUSE ALF  LLC,6,For-Profit
11969632,13412,Assisted Living Facility,ABBEY DELRAY ASSISTED LIVING AND MEMORY CARE,2010 SW 11TH COURT,DELRAY BEACH,FL,33445,Palm Beach,(561) 454-2000,LIFESPACE COMMUNITIES INC,82,For-Profit
11965626,10006,Assisted Living Facility,ABBEY MANOR RETIREMENT RESIDENCE  INC.,1930 LINCOLN ST,HOLLYWOOD,FL,33020-3510,Broward,(954) 923-1354,ABBEY MANOR RETIREMENT RESIDENCE  INC.,19,For-Profit
11968889,12731,Assisted Living Facility,ABIDE N LOVE,2698 HESTER AVE SE,PALM BAY,FL,32909,Brevard,(321) 327-2718,ZION'S II ASSISTED LIVING FACILITY  INC,5,For-Profit
11966240,10498,Assisted Living Facility,ABIGAIL (THE),320 SOUTH DELAWARE,TAMPA,FL,33606,Hillsborough,(813) 258-2919,Abigail Assisted Living Inc.,19,For-Profit
11965167,9646,Assisted Living Facility,ABOVE THE REST ASSISTED LIVING FACILITY,2360 MADRID AVENUE SE,PALM BAY,FL,32909,Brevard,(321) 956-8141,ABOVE THE REST ASSISTED LIVING FACILITY  LLC,10,For-Profit
11953618,8626,Assisted Living Facility,ABSOLUTE CARE ALF,3621 NW 90TH TER,SUNRISE,FL,33351-6470,Broward,(954) 747-7265,SENIORS R US LLC,14,For-Profit
11965367,9821,Assisted Living Facility,ABUELAS RETIREMENT HOME INC,4257 SW 154TH CT,MIAMI,FL,33185-4259,Miami-Dade,(305) 227-6682,ABUELAS RETIREMENT HOME INC,6,For-Profit
11965741,10139,Assisted Living Facility,ABUELITAS HOME  INC,15257 SW 61ST ST,MIAMI,FL,33193-2559,Miami-Dade,(786) 229-3431,ABUELITAS HOME INC.,6,For-Profit
11969716,13472,Assisted Living Facility,ABUELO EUSEBIO ALF CORPORATION,28361 SW 158 AVE,HOMESTEAD,FL,33033,Miami-Dade,(786) 339-9378,Abuelo Eusebio ALF Corporation,6,For-Profit
11969673,13429,Assisted Living Facility,ABUELO FELIZ HOME 2 LLC,4535 W JEAN ST,TAMPA,FL,33614,Hillsborough,(813) 495-3660,ABUELO FELIZ HOME 2 LLC,5,For-Profit
11969120,12964,Assisted Living Facility,ABUELO FELIZ HOME LLC,8625 MAY CIR,TAMPA,FL,33614,Hillsborough,(813) 495-3660,ABUELO FELIZ HOME LLC,6,For-Profit
11966960,11078,Assisted Living Facility,ABUELO'S ANA ALF,2741 W LEROY ST,TAMPA,FL,33607-1249,Hillsborough,(813) 748-1304,ABUELO'S ANA ALF INC,6,For-Profit
11969229,13058,Assisted Living Facility,ABUELOS ALF INC,1031 NW 39 CT,MIAMI,FL,33126,Miami-Dade,(305) 456-7330,ABUELOS ALF  INC,6,For-Profit
11968863,12749,Assisted Living Facility,ACACIA GROVE ASSISTED LIVING FACILITY LLC,2485 RIDGECREST AVE,ORANGE PARK,FL,32065,Clay,(904) 327-5584,ACACIA GROVE ASSISTED LIVING FACILITY LLC,8,For-Profit
11932652,7824,Assisted Living Facility,ACADEMY ASSISTED LIVING FACILITY  INC,1225 SOLTMAN AVENUE,FORT PIERCE,FL,34950,St. Lucie,(772) 460-1211,ACADEMY ASSISTED LIVING FACILITY INC,20,For-Profit
11969728,13478,Assisted Living Facility,ACC SUNSHINE  INC,10899 SW 229 ST,MIAMI,FL,33170,Miami-Dade,(786) 303-5713,ACC Sunshine  Inc.,6,For-Profit
11967339,11400,Assisted Living Facility,ACCORDIA WOODS,1889 CURLEW RD,PALM HARBOR,FL,34683-6816,Pinellas,(727) 771-1917,ACCORDIA WOODS LLC,25,For-Profit
11969155,12981,Assisted Living Facility,ACHOY ASSISTED LIVING INC,3601 W 11 AVE,HIALEAH,FL,33012,Miami-Dade,(305) 826-6365,ACHOY ASSISTED LIVING  INC.,27,For-Profit
11969354,13154,Assisted Living Facility,ACTIVE CARE ASSISTED LIVING FACILITY,2436 LAKE JACKSON CIR,APOPKA,FL,32703,Orange,(321) 948-5569,ACTIVE CARE ASSISTED LIVING FACILITY,5,For-Profit
11965625,9969,Assisted Living Facility,ACTIVE SENIOR LIVING RESIDENCE,9057 NW 57TH ST,TAMARAC,FL,33351-4305,Broward,(954) 721-1115,ACTIVE SERENITY LLC,72,For-Profit
11966231,12533,Assisted Living Facility,ACTS ASSISTED LIVING FACILITY,6806 N NEBRASKA AVE,TAMPA,FL,33604-5661,Hillsborough,(727) 942-4184,AGENCY FOR COMMUNITY TREATMENT SERVICES INC,15,Not-For-Profit
11966547,10770,Assisted Living Facility,ADA ALF INC,683 NW 122ND PL,MIAMI,FL,33182-2020,Miami-Dade,(305) 226-4283,ADA INC ALF,6,For-Profit
11968718,12596,Assisted Living Facility,ADA RESIDENCES  INC,759 SW 99TH CT CIR,MIAMI,FL,33174,Miami-Dade,(786) 615-8283,ADA RESIDENCES INC,6,For-Profit
11969210,13082,Assisted Living Facility,ADA RETIREMENT HOME INC,230 SW 119TH AVE,MIAMI,FL,33184,Miami-Dade,(786) 239-4946,ADA RETIREMENT HOME  INC,6,For-Profit
11910896,5853,Assisted Living Facility,ADAM F/F INC,34 W 14TH ST,HIALEAH,FL,33010,Miami-Dade,(305) 888-6356,ADAM F/F INC,21,For-Profit
11963775,7196,Assisted Living Facility,ADAM HOME # 2 INC.,1045 W 2ND AVE,HIALEAH,FL,33010-3801,Miami-Dade,(305) 888-7257,ADAM HOME #2 INC,12,For-Profit
11964524,9053,Assisted Living Facility,ADAMS RETIREMENT HOME  INC.,401 PENNSYLVANIA AVENUE,FORT LAUDERDALE,FL,33312,Broward,(954) 316-2535,ADAMS RETIREMENT HOME  INC.,6,For-Profit
11953595,6140,Assisted Living Facility,ADDINGTON PLACE AT COLLEGE HARBOR,4600 54TH AVE S,SAINT PETERSBURG,FL,33711,Pinellas,(727) 866-3124,ARHC ALSPGFL01 TRS LLC,90,For-Profit
11968333,12270,Assisted Living Facility,ADDINGTON PLACE JUPITER,1031 COMMUNITY DR,JUPITER,FL,33458,Palm Beach,(561) 253-8161,ARHC ALJUPFL01 TRS  LLC,80,For-Profit
11966055,10331,Assisted Living Facility,ADDINGTON PLACE OF EAST LAKE,1755 E LAKE RD S,TARPON SPGS,FL,34688-9129,Pinellas,(727) 943-8878,ARHC ALTSPFL01 TRS LLC,130,For-Profit
11967569,11575,Assisted Living Facility,ADDINGTON PLACE OF TITUSVILLE,497 N WASHINGTON AVE,TITUSVILLE,FL,32796,Brevard,(321) 383-2112,ARHC TVTITFL01 TRS  LLC,90,For-Profit
11968004,11983,Assisted Living Facility,ADDINGTON PLACE STUART,3400 SE ASTER LN,STUART,FL,34994,Martin,(772) 223-0883,ARHC ALSTUFL01 TRS  LLC,104,For-Profit
11967529,11982,Assisted Living Facility,ADELA'S GARDENS ALF INC,12732 SW 93RD STREET,MIAMI,FL,33186,Miami-Dade,(305) 385-0953,ADELA'S GARDENS ALF INC,6,For-Profit
11964414,9019,Assisted Living Facility,ADORING RANCHES,14450 STIRLING RD,SW RANCHES,FL,33330-2908,Broward,(954) 680-2293,JANINA STELLA TOKARZ,6,For-Profit
11965959,10247,Assisted Living Facility,ADULT CARE OF MIAMI  INC,9833 SW 27 TERRACE,MIAMI,FL,33165,Miami-Dade,(305) 559-8159,ADULT CARE OF MIAMI  INC,6,For-Profit
11968598,12475,Assisted Living Facility,ADULT HOME CARE LLC,4760 8TH AVE SO,SAINT PETERSBURG,FL,33711,Pinellas,(727) 321-7446,ADULT HOME CARE LLC,16,For-Profit
11968122,12063,Assisted Living Facility,ADULT LEISURE LIVING INC,15650 W BUNCHE PARK DR,MIAMI GARDENS,FL,33054-6965,Miami-Dade,(305) 705-2347,ADULT LEISURE LIVING  INC.,6,Not-For-Profit
11966229,10472,Assisted Living Facility,ADVANTAGE SENIOR LIVING FACILITY LLC,1701 SW 47TH AVENUE,FORT LAUDERDALE,FL,33317,Broward,(954) 581-1084,ADVANTAGE SENIOR LIVING FACILITY  LLC,6,For-Profit
11967989,11947,Assisted Living Facility,ADVENT SQUARE,4798 NORTH DIXIE HIGHWAY,BOCA RATON,FL,33431,Palm Beach,(954) 867-4902,TRUSTEES OF ADVENT LUTHERAN CHURCH  INC. (THE),16,Not-For-Profit
11969018,12865,Assisted Living Facility,AGING HOME PARADISE LLC,110 ZACALO WAY,KISSIMMEE,FL,34743,Osceola,(407) 201-2513,AGING HOME PARADISE LLC,6,For-Profit
11969305,13121,Assisted Living Facility,AGING WORLD ALF  LLC,12201 SW 93RD ST,MIAMI,FL,33186,Miami-Dade,(786) 717-7081,AGING WORLD ALF  LLC,6,For-Profit
11969765,13512,Assisted Living Facility,AGING WORLD OF WESTCHESTER ALF LLC,4141 SW 99 CT,MIAMI,FL,33165,Miami-Dade,(786) 558-4747,Aging World of Westchester ALF  LLC,6,For-Profit
11910002,7228,Assisted Living Facility,AGUILA ADULT CARE CENTER,503 N MATANZAS,TAMPA,FL,33609,Hillsborough,(813) 872-8000,AGUILA ENTERPRISES INC,10,For-Profit
11953588,8768,Assisted Living Facility,AGUILA ADULT CARE CENTER II,4011 N HABANA AVE,TAMPA,FL,33607-6730,Hillsborough,(813) 872-8000,AGUILA ENTERPRISES INC,16,For-Profit
11969701,13465,Assisted Living Facility,AGUILA ASSISTED LIVING FACILITY,4009 N HABANA AVE,TAMPA,FL,33607,Hillsborough,(813) 872-8000,AGUILA ENTERPRISES INC,16,For-Profit
11942983,8419,Assisted Living Facility,AIDEN SPRINGS,5520 HOWELL BRANCH ROAD,WINTER PARK,FL,32792,Seminole,(407) 679-1116,ALTA HEALTHCARE GROUP  INC,25,For-Profit
11969533,13325,Assisted Living Facility,AJR LOVING CARE ALF INC,1554 DODD RD,WINTER PARK,FL,32792,Orange,(407) 483-2546,,6,For-Profit
11911313,37,Assisted Living Facility,ALABAMA OAKS OF WINTER PARK,1759 ALABAMA DRIVE,WINTER PARK,FL,32789,Orange,4076225076,WINTER PARK ELDERLY SERVICES LLC,19,For-Profit
11965303,9774,Assisted Living Facility,ALBINA MANOR,820 15TH ST N,SAINT PETERSBURG,FL,33705-1235,Pinellas,(727) 418-0015,ALBINA MANOR LLC,22,For-Profit
11966869,11005,Assisted Living Facility,ALBORADA ALF INC,6006 N COOLIDGE AVE,TAMPA,FL,33614-5502,Hillsborough,(813) 454-6327,ALBORADA ALF INC.,6,For-Profit
11967878,11877,Assisted Living Facility,ALBORADA ALF INC,2114 W BURKE ST,TAMPA,FL,33604-5740,Hillsborough,(813) 454-6327,ALBORADA ALF INC.,6,For-Profit
11953397,8549,Assisted Living Facility,ALBORADA FAMILY HOME ALF LLC,5524 SW 5 STREET,MIAMI,FL,33134,Miami-Dade,(305) 261-4976,ALBORADA FAMILY HOME ALF,6,For-Profit
11964715,9268,Assisted Living Facility,ALDARA HOME INC,12810 SW 18TH ST,MIAMI,FL,33175-1233,Miami-Dade,(786) 262-1994,ALDARA HOME  INC.,6,For-Profit
11963945,7656,Assisted Living Facility,ALDEA GREEN,700 S KINGS AVE,BRANDON,FL,33511-5925,Hillsborough,(813) 662-0255,AMERICAN EAGLE BRANDON LLC,120,Not-For-Profit
11953263,8481,Assisted Living Facility,ALDER TERRACE ADULT CARE CENTER,26563 SANDHILL BLVD,PUNTA GORDA,FL,33983,Charlotte,(941) 629-4417,ASSISTED 2 LIVE INC,32,For-Profit
11964447,8979,Assisted Living Facility,ALDERMAN OAKS RETIREMENT CENTER INC,727 HUDSON AVENUE,SARASOTA,FL,34236,Sarasota,(941) 955-9099,ALDERMAN OAKS RETIREMENT CENTER INC.,50,For-Profit
11965060,9465,Assisted Living Facility,ALEA ASSISTED LIVING FACILITIES  LLC,5304 NW 16TH ST,LAUDERHILL,FL,33313-5490,Broward,(954) 731-4863,ALEA ASSISTED LIVING FACILITIES LLC,8,For-Profit
11969655,13425,Assisted Living Facility,ALEGRIA ALF LLC,1150 SW 103RD CT,MIAMI,FL,33174,Miami-Dade,(786) 376-7722,Alegria ALF LLC,6,For-Profit
11968983,12853,Assisted Living Facility,ALELEA ALF INC,13444 SW 22 TERR,MIAMI,FL,33175,Miami-Dade,(786) 409-5736,ALELEA ALF  INC.,6,For-Profit
11965736,10084,Assisted Living Facility,ALEMAN'S FAMILY HOME CORP,8735 SW 132ND CT,MIAMI,FL,33183-4170,Miami-Dade,(305) 388-6519,ALEMAN'S FAMILY HOME CORP,6,For-Profit
11942752,8264,Assisted Living Facility,ALEXA INC (THE),8615 HULSEY ROAD,TAMPA,FL,33634,Hillsborough,(813) 887-5683,THE ALEXA ASSISTED LIVING FACILITY,11,For-Profit
11967019,11118,Assisted Living Facility,ALF FAMILY CARE CORP,14381 SW 159TH TER,MIAMI,FL,33177-6869,Miami-Dade,(786) 293-7955,ALF FAMILY CARE CORP,6,For-Profit
11967763,11768,Assisted Living Facility,ALF FAMILY CARE II CORP,13480 SW 89TH TER,MIAMI,FL,33186-1571,Miami-Dade,(305) 383-7119,ALF FAMILY CARE II  CORP.,6,For-Profit
11965431,9785,Assisted Living Facility,ALF FAMILY PALACE CORP.,7521 W 30TH LN,HIALEAH,FL,33018-5245,Miami-Dade,(786) 953-4512,ALF FAMILY PALACE CORP,6,For-Profit
11967226,11312,Assisted Living Facility,ALF FAMILY SOLUTION CORP,7235 SOUTH  WATER WAY  DRIVE,MIAMI,FL,33155,Miami-Dade,(305) 763-8098,ALF FAMILY SOLUTION CORP,6,For-Profit
11966784,10926,Assisted Living Facility,ALF HOME ASSISTED LIVING PLUS MORE,4941 PINE CONE LANE,WEST PALM BEACH,FL,33417,Palm Beach,(561) 712-0913,ALF HOME ASSISTED LIVING PLUS MORE  LLC,6,For-Profit
11966896,11027,Assisted Living Facility,ALF KAYLA'S PLACE INC,3122 S W 151 COURT,MIAMI,FL,33185,Miami-Dade,(305) 220-6449,ALF KAYLA'S PLACE INC,6,For-Profit
11969440,13238,Assisted Living Facility,ALF LUCIA LLC,5317 SW 92ND AVE,MIAMI,FL,33165,Miami-Dade,(786) 597-3618,ALF LUCIA  LLC,6,For-Profit
11911830,5902,Assisted Living Facility,ALF MANAGEMENT AND PROFESSIONAL SERVICES  INC,21 SW 75 AVENUE,MIAMI,FL,33144,Miami-Dade,(305) 264-2051,ALF MANAGEMENT AND PROFESSIONAL SERVICES  INC,14,For-Profit
11968603,12505,Assisted Living Facility,ALF MORNING DEW,3501 E KNOLLWOOD ST,TAMPA,FL,33610-1627,Hillsborough,(813) 252-9182,ALF MORNING DEW  INCORPORATED,6,For-Profit
11963871,8761,Assisted Living Facility,ALF PHILLIPPE RIDGE,1055 PHILLIPPE PKWY,SAFETY HARBOR,FL,34695-2620,Pinellas,(727) 726-3632,ALF PHILLIPPE RIDGE INC.,19,For-Profit
11969266,13079,Assisted Living Facility,ALF SUNSET PALACE LLC,7400 SW 82ND AVE,MIAMI,FL,33173,Miami-Dade,(305) 613-3625,ALF SUNSET PALACE  LLC,6,For-Profit
11969088,12978,Assisted Living Facility,ALF SWEET HOME  LLC,9700 SW 15TH ST,MIAMI,FL,33174,Miami-Dade,(786) 254-7128,ALF SWEET HOME  LLC,6,For-Profit
11966809,10934,Assisted Living Facility,ALF VILLA FRANCISCO HOME CARE CORP,16832 S.W. 110 COURT,MIAMI,FL,33157,Miami-Dade,(305) 234-7787,ALF VILLA FRANCISCO HOME CARE CORP.,6,For-Profit
11967824,11816,Assisted Living Facility,ALFONSO'S ALF  INC,17010 SW 100 AVENUE,MIAMI,FL,33157,Miami-Dade,(305) 251-4089,ALFONSO'S ALF  INC.,6,For-Profit
11911674,7844,Assisted Living Facility,ALICE'S HOME CORP,12795 NW 10TH LN,MIAMI,FL,33182-1839,Miami-Dade,(305) 223-6443,ALICE'S HOME CORP,6,For-Profit
11964960,9440,Assisted Living Facility,ALIMAR ASSISTED LIVING,2933 WEST COLUMBUS DRIVE,TAMPA,FL,33607,Hillsborough,(813) 350-9040,ALIMAR PROPERTY MANAGEMENT,56,For-Profit
11969618,13384,Assisted Living Facility,ALIS SWEET HOME INC,6400 SW 24TH ST,MIAMI,FL,33155,Miami-Dade,(305) 803-2763,ALIS SWEET HOME INC,6,For-Profit
11968583,12471,Assisted Living Facility,ALL CARE ALF INC,646 NW 129TH PL,MIAMI,FL,33182-1173,Miami-Dade,(786) 334-6425,ALL CARE ALF INC,6,For-Profit
11969041,12902,Assisted Living Facility,ALL DUNN ASSISTANT LIVING FACILITY #2,9920 NW 3RD STREET,PEMBROKE PINES,FL,33025,Broward,(954) 806-7951,ALL DUNN ASSISTANT LIVING  INC.,6,For-Profit
11968676,12606,Assisted Living Facility,ALL DUNN ASSISTANT LIVING  INC.,5726-28 LINCOLN STREET,HOLLYWOOD,FL,33021,Broward,(954) 374-9427,ALL DUNN ASSISTANT LIVING  INC.,6,For-Profit
11969278,13141,Assisted Living Facility,ALL SEASONS IN NAPLES LLC,15450 TAMIAMI TRL N,NAPLES,FL,34110,Collier,(239) 316-4400,All Seasons in Naples LLC,102,For-Profit
11967903,11853,Assisted Living Facility,ALL SENIORS ASSISTED LIVING,2706 PIONEER RD,ORLANDO,FL,32808,Orange,(407) 440-4046,ALL SENIORS ASSISTED LIVING  INC,21,For-Profit
11965628,9972,Assisted Living Facility,ALL STARS ASSISTED LIVING  INC,1131 W LAKE BRANTLEY ROAD,ALTAMONTE SPRINGS,FL,32714,Seminole,(407) 389-9930,ALL STARS ASSISTED LIVING INC,13,For-Profit
11967365,11431,Assisted Living Facility,ALL USA HOMES  INC,4214 SW 3 STREET,MIAMI,FL,33134,Miami-Dade,(305) 448-9836,ALL USA HOMES INC,6,For-Profit
