AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
11968721,12591,3/4/21,3/3/23,Assisted Living Facility,A BELLA VITA PLACE ASSISTED LIVING  LLC,2143 DORSON WAY,,DELRAY BEACH,FL,33445,Palm Beach,(561) 371-4146,2143 DORSON WAY,,DELRAY BEACH,FL,33445,Palm Beach,LICENSED,A BELLA VITA PLACE ASSISTED LIVING  LLC,9/3/14,NICOLE BEAUZIEUX-GERMAIN,10,For-Profit,
11968042,12011,6/8/19,9/5/21,Assisted Living Facility,A COMFORT LIVING INC,1660 NW 135TH ST,,NORTH MIAMI,FL,33167-1608,Miami-Dade,(786) 534-8708,1660 NW 135TH ST,,NORTH MIAMI,FL,33167-1608,Miami-Dade,LICENSED,A COMFORT LIVING INC.,2/17/11,PATRICK LHERISSON,14,For-Profit,www.acomfortlivingfacility.com
11969280,13080,10/9/19,1/6/22,Assisted Living Facility,A COMPASSIONATE CARE ASSISTED LIVING RESIDENCE LLC,2646 YARMOUTH,,WELLINGTON,FL,33414,Palm Beach,(561) 422-8120,2646 YARMOUTH,,WELLINGTON,FL,33414,Palm Beach,LICENSED,A COMPASSIONATE CARE ASSISTED LIVING RESIDENCE LLC,8/17/17,VALRIE BINNS,6,For-Profit,
11966113,10368,9/29/19,12/27/21,Assisted Living Facility,A COUNTRY PLACE ASSISTED LIVING FACILITY,10515 MEMORIAL HIGHWAY,,TAMPA,FL,33615,Hillsborough,(813) 891-0549,10515 MEMORIAL HIGHWAY,,TAMPA,FL,33615,Hillsborough,LICENSED,VILLAS OF TAMPA  LLC (THE),8/15/03,ROBERT ALAN LOOMIS,24,For-Profit,www.TampaALF.com
11968858,12699,8/5/19,8/4/21,Assisted Living Facility,A GENTLE HAND ALF AT LANTANA,808 S BROADWAY,,LANTANA,FL,33462,Palm Beach,(561) 508-7994,13052 COMPTON RD,,LOXAHATCHEE,FL,33470-4714,Palm Beach,LICENSED,A GENTLE HAND RESIDENTIAL CARE LLC,8/5/19,TODD CHANCELLOR,10,For-Profit,
11964920,9562,11/30/20,11/29/21,Assisted Living Facility,A HOME AWAY FROM HOME ALF INC,1851 SW 142ND AVE,,MIAMI,FL,33175-7034,Miami-Dade,(305) 229-1315,1851 SW 142ND AVE,,MIAMI,FL,33175-7034,Miami-Dade,PROVISIONAL,A HOME AWAY FROM HOME ALF  INC.,4/22/05,AILEEN DELGADO,6,For-Profit,
11969537,13400,1/15/20,4/14/22,Assisted Living Facility,A HOME WITH HEART LLC,806 CALVIN AVE,,LEHIGH ACRES,FL,33972,Lee,(239) 313-7490,806 CALVIN AVE,,LEHIGH ACRES,FL,33972,Lee,LICENSED,A HOME WITH HEART LLC,4/26/19,TOYNESIA ANNETTE BEST,6,For-Profit,
11969804,13567,2/26/21,2/25/23,Assisted Living Facility,A KEE TO PARADISE,5579 NW COMMODORE TERR,,PORT SAINT LUCIE,FL,34983,St. Lucie,(772) 631-4518,5579 NW COMMODORE TERR,,PORT SAINT LUCIE,FL,34983,St. Lucie,LICENSED,A KEE TO PARADISE LLC,11/9/20,LATIA HARRIS,6,For-Profit,
11968427,12340,3/21/19,6/18/21,Assisted Living Facility,A LA MY LOVE ALF,6821 DOVER CT,,TAMPA,FL,33634-4708,Hillsborough,(813) 574-7493,6821 DOVER CT,,TAMPA,FL,33634-4708,Hillsborough,IN REVIEW,A LA MY LOVE ALF INC,10/31/12,IMERCY GARCIA HERNANDEZ,6,For-Profit,
11969769,13577,3/23/21,3/22/23,Assisted Living Facility,A LIFE OF LOVE ALF  INC,10930 SW 143 CT,,MIAMI,FL,33186,Miami-Dade,(305) 515-0225,10930 SW 143 CT,,MIAMI,FL,33186,Miami-Dade,LICENSED,A LIFE OF LOVE ALF  INC,8/25/20,JULIET QUINTANA,6,For-Profit,
11910938,7174,12/10/18,3/9/21,Assisted Living Facility,A LOVELY HOME CARE BY OG INC,7935 SW 146TH CT,,MIAMI,FL,33183-2942,Miami-Dade,(786) 715-9738,7935 SW 146 CT,,MIAMI,FL,33184,Miami-Dade,IN REVIEW,A LOVELY HOME CARE BY OG INC,12/12/18,TAILEMIS LEON,6,For-Profit,
11969816,13564,2/24/21,2/23/23,Assisted Living Facility,A LOVING FAMILY ALF LLC,106 16TH AVE,,VERO BEACH,FL,32962,Indian River,(772) 696-3070,106 16TH AVE,,VERO BEACH,FL,32962,Indian River,LICENSED,A LOVING FAMILY ALF LLC,12/22/20,DAYANA MUNOZ,6,For-Profit,
11953636,8675,2/17/20,5/17/22,Assisted Living Facility,A LOVING HOME ENTERPRISES  INC.,3640 SW 91ST AVE # 42,,MIAMI,FL,33165-4361,Miami-Dade,(305) 554-4432,3642 SW 91ST AVE,,MIAMI,FL,33165-4361,Miami-Dade,LICENSED,A LOVING HOME ENT INC.,3/18/97,AILEEN DELGADO,6,For-Profit,
11969169,12990,4/5/19,7/3/21,Assisted Living Facility,A PARADISE HOME ALF II LLC,438 MACY ST,,WEST PALM BEACH,FL,33405,Palm Beach,(954) 591-1025,438 MACY ST,,WEST PALM BEACH,FL,33405,Palm Beach,LICENSED,A PARADISE HOME ALF II  LLC,2/1/17,USHINA PEREZ,6,For-Profit,
11969373,13164,5/3/20,5/2/22,Assisted Living Facility,A PARADISE HOME ALF III  LLC,733 S 11TH ST,,LANTANA,FL,33462,Palm Beach,(786) 486-9869,733 S 11TH ST,,LANTANA,FL,33462,Palm Beach,LICENSED,A PARADISE HOME ALF III  LLC,12/1/17,JULMINE LOUIS,6,For-Profit,
11964967,9585,10/25/19,1/22/22,Assisted Living Facility,A PIEDRA ALF INC,7960 SW 36 STREET,,MIAMI,FL,33155,Miami-Dade,(305) 267-8730,7960 SW 36 STREET,,MIAMI,FL,33155,Miami-Dade,LICENSED,A PIEDRA ALF INC,8/30/17,MILEIDYS GARCIA,6,For-Profit,
11967480,11499,12/17/18,3/16/21,Assisted Living Facility,A PLACE LIKE HOME ALF  INC,1971 PORT MALABAR BLVD NE,,PALM BAY,FL,32905-5436,Brevard,(321) 693-3325,6655 S US HIGHWAY 1,,GRANT,FL,32949-2221,Brevard,IN REVIEW,A PLACE LIKE HOME ALF INC,10/20/08,DIANE M WALKER,6,For-Profit,aplacelikehomealf.com
11968387,12293,2/26/21,2/25/23,Assisted Living Facility,A PLACE TO GROW LLC,109 VALLEY DR,,BRANDON,FL,33510,Hillsborough,(813) 469-6764,109 VALLEY DR,,BRANDON,FL,33510,Hillsborough,LICENSED,A PLACE TO GROW LLC,8/23/12,HEATHER ELAINE GREEN-TOLEDO,5,For-Profit,
11968838,12681,6/5/19,9/2/21,Assisted Living Facility,A QUAINT MEADOW,39 OHIO RD,,LAKE WORTH,FL,33467,Palm Beach,(954) 258-3370,39 OHIO RD,,LAKE WORTH,FL,33467,Palm Beach,LICENSED,SUPERIOR ELDER CARE  LLC,4/17/15,ASHLEY OLIPHANT,6,For-Profit,
11967590,11586,5/26/19,8/23/21,Assisted Living Facility,A SECOND HOME OF RIVIERA BEACH  INC,120 W 22ND ST,,RIVIERA BEACH,FL,33404-5512,Palm Beach,(561) 845-6223,120 W 22ND ST,,RIVIERA BEACH,FL,33404-5512,Palm Beach,LICENSED,A SECOND HOME OF RIVIERA BEACH INC,4/17/09,JANET L WISE,4,For-Profit,
11968947,12831,3/4/21,5/10/20,Assisted Living Facility,A SENIOR LIVING DREAM LLC,13442 SW 284TH ST,,HOMESTEAD,FL,33033,Miami-Dade,(609) 428-9360,13442 SW 284TH ST,,HOMESTEAD,FL,33033,Miami-Dade,IN LITIGATION,A SENIOR LIVING DREAM LLC,11/12/15,ROBINSON GRACIANO,6,For-Profit,aseniorlivingdream.com
11964442,9159,6/1/18,8/29/20,Assisted Living Facility,A SWEET ALF  INC.,18400 NW 81 COURT,,HIALEAH,FL,33015,Miami-Dade,(305) 999-7347,18400 NW 81 COURT,,HIALEAH,FL,33015,Miami-Dade,IN REVIEW,A SWEET ALF  INC,9/10/14,GREISY DURAN,6,For-Profit,
11968504,12400,8/30/19,11/27/21,Assisted Living Facility,A TOUCH OF CLASS #1 ADULT CARE LLC,658 NW AVENS ST,,PORT ST LUCIE,FL,34983-1104,St. Lucie,(772) 323-0353,658 NW AVENS ST,,PORT ST LUCIE,FL,34983-1104,St. Lucie,LICENSED,A TOUCH OF CLASS #1 ADULT CARE LLC,5/14/13,CHRISTINE DAVIS,5,For-Profit,
11967855,11837,9/22/20,9/21/22,Assisted Living Facility,A TOUCH OF CLASS ADULT CARE LLC,537 SW WHITMORE DRIVE,,PORT SAINT LUCIE,FL,34984,St. Lucie,(772) 905-8729,537 SW WHITMORE DRIVE,,PORT SAINT LUCIE,FL,34984,St. Lucie,LICENSED,A TOUCH OF CLASS ADULT CARE LLC,11/27/13,CHRISTINE DAVIS,10,For-Profit,
11967288,11367,7/26/20,7/25/22,Assisted Living Facility,A TROPICAL PARADISE ALF,5228 23RD AVE N,,ST PETERSBURG,FL,33710-5148,Pinellas,(727) 289-2325,5228 23RD AVE N,,SAINT PETERSBURG,FL,33710-5148,Pinellas,LICENSED,IGOR MELNICHUK,7/26/20,OLGA MELNICHUK,6,For-Profit,
11969492,13279,3/4/19,6/1/21,Assisted Living Facility,A&D TENDER LOVING CARE  LLC,150 NE 18TH ST,,POMPANO BEACH,FL,33060,Broward,(954) 785-9311,150 NE 18TH ST,,POMPANO BEACH,FL,33060,Broward,IN REVIEW,A & D Tender Loving Care LLC,1/14/19,ALY ANGRAND,6,For-Profit,
11967643,11643,5/30/20,5/31/22,Assisted Living Facility,A&J ASSISTED LIVING FACILITY,2466 RALPH AVENUE SE,,PALM BAY,FL,32909,Brevard,(754) 245-2745,2466 RALPH AVENUE SE,,PALM BAY,FL,32909,Brevard,LICENSED,A & J ALF OF FLORIDA  INC. II,5/26/10,ANGELLA RUDEEN SPENCE,6,For-Profit,
11966253,10466,5/11/20,5/10/22,Assisted Living Facility,A+ SENIOR HOME INC,41 SW 68TH AVE,,MIAMI,FL,33144-2805,Miami-Dade,(305) 264-4565,41 SW 68TH AVE,,MIAMI,FL,33144-2805,Miami-Dade,LICENSED,A + SENIOR HOME INC,4/18/12,MINERVA MARIN,6,For-Profit,
11967137,11228,4/30/20,4/29/22,Assisted Living Facility,A-1 ASSISTED LIVING FACILITY  LLC,9410 SW 52 TERRACE,,MIAMI,FL,33165,Miami-Dade,(786) 376-7722,9410 SW 52 TERRACE,,MIAMI,FL,33165,Miami-Dade,LICENSED,A-1 ASSISTED LIVING FACILITY LLC,5/30/12,MARILYN FERNANDEZ,6,For-Profit,
11968896,12738,10/15/19,1/12/22,Assisted Living Facility,A1 CARE SYSTEMS INC,6613 SHADY OAKS DR,,JACKSONVILLE,FL,32277,Duval,(904) 527-3391,6613 SHADY OAKS DR,,JACKSONVILLE,FL,32277,Duval,LICENSED,A1 CARE SYSTEMS INC,8/12/15,NONYE JOE NDUKA,6,For-Profit,
11969771,13595,5/12/21,5/11/23,Assisted Living Facility,A1 SENIOR LIVING,242 NE 42ND ST,,DEERFIELD BEACH,FL,33064,Broward,(561) 809-5627,242 NE 42ND ST,,DEERFIELD BEACH,FL,33064,Broward,LICENSED,ASSISTED LIVING & ADULT CARE LLC,8/4/18,JENNIFER LUBIN,6,For-Profit,
11965862,10201,9/12/18,12/10/20,Assisted Living Facility,A1A CARE CENTER  INC,641 WEST 33 STREET,,HIALEAH,FL,33012,Miami-Dade,(305) 450-1775,5745 NW 112TH TER,,HIALEAH,FL,33012-2573,Miami-Dade,IN REVIEW,A1A CARE CENTER  INC,9/12/02,JUANA LOPEZ,6,For-Profit,
11966837,10956,1/25/19,4/24/21,Assisted Living Facility,AASBURY MANOR ALF,5302 SATEL DR,,ORLANDO,FL,32810,Orange,(407) 522-4832,5302 SATEL DR,,ORLANDO,FL,32810,Orange,IN REVIEW,AASBURY ENTERPRISES  INC,1/25/07,DIANNE R ANDERSON,14,For-Profit,aasburymanoralf.com
11967869,11839,9/27/20,9/26/22,Assisted Living Facility,ABACO HOUSE ALF,121 ABACO DR,,PALM SPRINGS,FL,33461,Palm Beach,(561) 891-3095,121 ABACO DR,,PALM SPRINGS,FL,33461,Palm Beach,LICENSED,ABACO HOUSE ALF  LLC,4/30/10,MARIA T SANTANA,6,For-Profit,
11969632,13412,2/13/20,5/13/22,Assisted Living Facility,ABBEY DELRAY ASSISTED LIVING AND MEMORY CARE,2010 SW 11TH COURT,,DELRAY BEACH,FL,33445,Palm Beach,(561) 454-2000,2000 LOWSIN BLVD UNIT 1,,DELRAY BEACH,FL,33445,Palm Beach,LICENSED,LIFESPACE COMMUNITIES INC,11/7/19,BLAKE J BELL,82,For-Profit,
11965626,10006,4/9/19,7/7/21,Assisted Living Facility,ABBEY MANOR RETIREMENT RESIDENCE  INC.,1930 LINCOLN ST,,HOLLYWOOD,FL,33020-3510,Broward,(954) 923-1354,1930 LINCOLN ST,,HOLLYWOOD,FL,33020-3510,Broward,LICENSED,ABBEY MANOR RETIREMENT RESIDENCE  INC.,11/9/00,MAGDALENA UEBERLAUER KULNICK,19,For-Profit,www.abbeymanoralf.com
11968889,12731,10/2/19,12/30/21,Assisted Living Facility,ABIDE N LOVE,2698 HESTER AVE SE,,PALM BAY,FL,32909,Brevard,(321) 327-2718,2698 HESTER AVE SE,,PALM BAY,FL,32909,Brevard,LICENSED,ZION'S II ASSISTED LIVING FACILITY  INC,8/4/15,SHERON WHYNE,5,For-Profit,ZIONSASSISTEDLIVING.COM
11966240,10498,5/8/19,8/5/21,Assisted Living Facility,ABIGAIL (THE),320 SOUTH DELAWARE,,TAMPA,FL,33606,Hillsborough,(813) 258-2919,2626 NORTH DUNDEE STREET,,TAMPA,FL,33629,Hillsborough,LICENSED,Abigail Assisted Living Inc.,5/8/17,KAREN BARCIA RODRIGUEZ,19,For-Profit,www.sweetwatermanor.com
11965167,9646,7/6/19,10/3/21,Assisted Living Facility,ABOVE THE REST ASSISTED LIVING FACILITY,2360 MADRID AVENUE SE,,PALM BAY,FL,32909,Brevard,(321) 956-8141,2360 MADRID AVENUE SE,,PALM BAY,FL,32909,Brevard,LICENSED,ABOVE THE REST ASSISTED LIVING FACILITY  LLC,7/5/05,ELIZABETH V WEISE,10,For-Profit,
11953618,8626,9/22/19,12/20/21,Assisted Living Facility,ABSOLUTE CARE ALF,3621 NW 90TH TER,,SUNRISE,FL,33351-6470,Broward,(954) 747-7265,1931 CORDOVA ROAD  #3001,,FORT LAUDERDALE,FL,33316,Broward,LICENSED,SENIORS R US LLC,9/22/15,ALFREDO ESCOBAR,14,For-Profit,www.absolutecarealf.com
11965367,9821,10/25/20,10/24/22,Assisted Living Facility,ABUELAS RETIREMENT HOME INC,4257 SW 154TH CT,,MIAMI,FL,33185-4259,Miami-Dade,(305) 227-6682,4257 SW 154TH CT,,MIAMI,FL,33185-4259,Miami-Dade,LICENSED,ABUELAS RETIREMENT HOME INC,7/27/18,MAGYULIS GONZALEZ GUEVARA,6,For-Profit,
11965741,10139,2/21/20,5/21/22,Assisted Living Facility,ABUELITAS HOME  INC,15257 SW 61ST ST,,MIAMI,FL,33193-2559,Miami-Dade,(786) 229-3431,15257 SW 61ST STREET,,MIAMI,FL,33193,Miami-Dade,LICENSED,ABUELITAS HOME INC.,7/13/01,YILLIAM MORENO,6,For-Profit,
11969716,13472,5/18/21,5/25/22,Assisted Living Facility,ABUELO EUSEBIO ALF CORPORATION,28361 SW 158 AVE,,HOMESTEAD,FL,33033,Miami-Dade,(786) 339-9378,28361 SW 158 AVE,,HOMESTEAD,FL,33033,Miami-Dade,LICENSED,Abuelo Eusebio ALF Corporation,3/31/20,HELEN LLOPIZ,6,For-Profit,
11969673,13429,3/10/20,6/7/22,Assisted Living Facility,ABUELO FELIZ HOME 2 LLC,4535 W JEAN ST,,TAMPA,FL,33614,Hillsborough,(813) 495-3660,4535 W JEAN ST,,TAMPA,FL,33614,Hillsborough,LICENSED,ABUELO FELIZ HOME 2 LLC,3/10/20,OLGA MOLANO,5,For-Profit,
11969120,12964,5/9/21,5/8/23,Assisted Living Facility,ABUELO FELIZ HOME LLC,8625 MAY CIR,,TAMPA,FL,33614,Hillsborough,(813) 495-3660,8625 MAY CIR,,TAMPA,FL,33614,Hillsborough,LICENSED,ABUELO FELIZ HOME LLC,10/26/16,OLGA MOLANO,6,For-Profit,
11966960,11078,8/1/19,10/29/21,Assisted Living Facility,ABUELO'S ANA ALF,2741 W LEROY ST,,TAMPA,FL,33607-1249,Hillsborough,(813) 748-1304,2741 W LEROY ST,,TAMPA,FL,33607-1249,Hillsborough,LICENSED,ABUELO'S ANA ALF INC,5/7/07,ANA ELENA BATISTA,6,For-Profit,
11969229,13058,9/5/19,12/3/21,Assisted Living Facility,ABUELOS ALF INC,1031 NW 39 CT,,MIAMI,FL,33126,Miami-Dade,(305) 456-7330,1031 NW 39 CT,,MIAMI,FL,33126,Miami-Dade,LICENSED,ABUELOS ALF  INC,7/18/17,ADA PORTILLO,6,For-Profit,
11968863,12749,10/28/19,1/25/22,Assisted Living Facility,ACACIA GROVE ASSISTED LIVING FACILITY LLC,2485 RIDGECREST AVE,,ORANGE PARK,FL,32065,Clay,(904) 327-5584,2485 RIDGECREST AVE,,ORANGE PARK,FL,32065,Clay,LICENSED,ACACIA GROVE ASSISTED LIVING FACILITY LLC,6/11/15,DOROTHY ARIAS,8,For-Profit,www.acaciagrovealf.com
11932652,7824,10/27/20,10/26/22,Assisted Living Facility,ACADEMY ASSISTED LIVING FACILITY  INC,1225 SOLTMAN AVENUE,,FORT PIERCE,FL,34950,St. Lucie,(772) 460-1211,1225 SOLTMAN AVENUE,,FORT PIERCE,FL,34950,St. Lucie,LICENSED,ACADEMY ASSISTED LIVING FACILITY INC,7/29/04,MARIE SULLY,20,For-Profit,
11969728,13478,6/8/20,6/7/22,Assisted Living Facility,ACC SUNSHINE  INC,10899 SW 229 ST,,MIAMI,FL,33170,Miami-Dade,(786) 303-5713,10899 SW 229 ST,,MIAMI,FL,33170,Miami-Dade,LICENSED,ACC Sunshine  Inc.,4/30/20,AMARILYS CRUZ-COLLAZO,6,For-Profit,
11967339,11400,11/20/20,11/19/22,Assisted Living Facility,ACCORDIA WOODS,1889 CURLEW RD,,PALM HARBOR,FL,34683-6816,Pinellas,(727) 771-1917,1889 CURLEW RD,,PALM HARBOR,FL,34683-6816,Pinellas,LICENSED,ACCORDIA WOODS LLC,7/2/08,BRADFORD STIGLEMAN,25,For-Profit,accordiawoods.com
11969155,12981,5/12/21,6/10/21,Assisted Living Facility,ACHOY ASSISTED LIVING INC,3601 W 11 AVE,,HIALEAH,FL,33012,Miami-Dade,(305) 826-6365,3601 W 11 AVE,,HIALEAH,FL,33012,Miami-Dade,IN LITIGATION,ACHOY ASSISTED LIVING  INC.,1/10/17,EYALINES ACHOY,27,For-Profit,
11969354,13154,4/25/20,4/24/22,Assisted Living Facility,ACTIVE CARE ASSISTED LIVING FACILITY,2436 LAKE JACKSON CIR,,APOPKA,FL,32703,Orange,(321) 948-5569,2436 LAKE JACKSON CIR,,APOPKA,FL,32703,Orange,LICENSED,ACTIVE CARE ASSISTED LIVING FACILITY,2/12/18,KRYSTAL PARKER PATTERSON,5,For-Profit,
11965625,9969,5/8/19,8/5/21,Assisted Living Facility,ACTIVE SENIOR LIVING RESIDENCE,9057 NW 57TH ST,,TAMARAC,FL,33351-4305,Broward,(954) 721-1115,9057 NW 57TH ST,,TAMARAC,FL,33351-4305,Broward,LICENSED,ACTIVE SERENITY LLC,2/24/17,JAVIER CRESPO,72,For-Profit,http://www.cherryoakseniorliving.com/house/cherry-oak/
11966231,12533,10/13/20,10/12/22,Assisted Living Facility,ACTS ASSISTED LIVING FACILITY,6806 N NEBRASKA AVE,,TAMPA,FL,33604-5661,Hillsborough,(727) 942-4184,4612 N 56TH ST,,TAMPA,FL,33610-7123,Hillsborough,LICENSED,AGENCY FOR COMMUNITY TREATMENT SERVICES INC,3/24/04,LONNIE JAMES,15,Not-For-Profit,ACTS.com
11966547,10770,12/19/19,3/18/22,Assisted Living Facility,ADA ALF INC,683 NW 122ND PL,,MIAMI,FL,33182-2020,Miami-Dade,(305) 226-4283,683 NW 122ND PL,,MIAMI,FL,33182-2020,Miami-Dade,LICENSED,ADA INC ALF,8/22/05,YODANYS AREVALO,6,For-Profit,
11968718,12596,12/15/18,3/14/21,Assisted Living Facility,ADA RESIDENCES  INC,759 SW 99TH CT CIR,,MIAMI,FL,33174,Miami-Dade,(786) 615-8283,759 SW 99TH CT CIR,,MIAMI,FL,33174,Miami-Dade,IN REVIEW,ADA RESIDENCES INC,8/27/14,EMILIA RONDON,6,For-Profit,
11969210,13082,9/1/19,11/29/21,Assisted Living Facility,ADA RETIREMENT HOME INC,230 SW 119TH AVE,,MIAMI,FL,33184,Miami-Dade,(786) 239-4946,230 SW 119TH AVE,,MIAMI,FL,33184,Miami-Dade,LICENSED,ADA RETIREMENT HOME  INC,6/9/17,EMILIA RONDON,6,For-Profit,
11910896,5853,11/18/19,2/15/22,Assisted Living Facility,ADAM F/F INC,34 W 14TH ST,,HIALEAH,FL,33010,Miami-Dade,(305) 888-6356,34 W 14TH  ST,,HIALEAH,FL,33010,Miami-Dade,LICENSED,ADAM F/F INC,11/10/15,DAMARIS GONZALEZ,21,For-Profit,
11963775,7196,8/5/19,11/2/21,Assisted Living Facility,ADAM HOME # 2 INC.,1045 W 2ND AVE,,HIALEAH,FL,33010-3801,Miami-Dade,(305) 888-7257,1045 W 2ND AVE,,HIALEAH,FL,33010-3801,Miami-Dade,LICENSED,ADAM HOME #2 INC,8/5/09,FRANCISCO ORTEGA,12,For-Profit,
11964524,9053,9/29/19,12/27/21,Assisted Living Facility,ADAMS RETIREMENT HOME  INC.,401 PENNSYLVANIA AVENUE,,FORT LAUDERDALE,FL,33312,Broward,(954) 316-2535,401 PENNSYLVANIA AVENUE,,FORT LAUDERDALE,FL,33312,Broward,LICENSED,ADAMS RETIREMENT HOME  INC.,9/29/97,MAE ADAMS,6,For-Profit,
11953595,6140,5/28/19,8/25/21,Assisted Living Facility,ADDINGTON PLACE AT COLLEGE HARBOR,4600 54TH AVE S,,SAINT PETERSBURG,FL,33711,Pinellas,(727) 866-3124,4600 54TH AVE S,,SAINT PETERSBURG,FL,33711,Pinellas,LICENSED,ARHC ALSPGFL01 TRS LLC,12/4/14,S JUSTIN MOCK,90,For-Profit,http://collegeharbor.com/
