Facility ID,License Number,State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Phone Number,Licensee,Capacity,Ownership Type,Date Accessed
11969169.0,12990.0,ASSISTED LIVING FACILITY,A Paradise Home Alf Ii Llc,438 MACY ST,West Palm Beach,FL,33405,Palm Beach,(954) 591-1025,A PARADISE HOME ALF II  LLC,6.0,FOR-PROFIT,6/24/21
11969373.0,13164.0,ASSISTED LIVING FACILITY,A Paradise Home Alf Iii  Llc,733 S 11TH ST,Lantana,FL,33462,Palm Beach,(786) 486-9869,A PARADISE HOME ALF III  LLC,6.0,FOR-PROFIT,6/24/21
11964967.0,9585.0,ASSISTED LIVING FACILITY,A Piedra Alf Inc,7960 SW 36 STREET,Miami,FL,33155,Miami-Dade,(305) 267-8730,A PIEDRA ALF INC,6.0,FOR-PROFIT,6/24/21
11967480.0,11499.0,ASSISTED LIVING FACILITY,A Place Like Home Alf  Inc,1971 PORT MALABAR BLVD NE,Palm Bay,FL,32905-5436,Brevard,(321) 693-3325,A PLACE LIKE HOME ALF INC,6.0,FOR-PROFIT,6/24/21
11968387.0,12293.0,ASSISTED LIVING FACILITY,A Place To Grow Llc,109 VALLEY DR,Brandon,FL,33510,Hillsborough,(813) 469-6764,A PLACE TO GROW LLC,5.0,FOR-PROFIT,6/24/21
11968838.0,12681.0,ASSISTED LIVING FACILITY,A Quaint Meadow,39 OHIO RD,Lake Worth,FL,33467,Palm Beach,(954) 258-3370,SUPERIOR ELDER CARE  LLC,6.0,FOR-PROFIT,6/24/21
11967590.0,11586.0,ASSISTED LIVING FACILITY,A Second Home Of Riviera Beach  Inc,120 W 22ND ST,Riviera Beach,FL,33404-5512,Palm Beach,(561) 845-6223,A SECOND HOME OF RIVIERA BEACH INC,4.0,FOR-PROFIT,6/24/21
11968947.0,12831.0,ASSISTED LIVING FACILITY,A Senior Living Dream Llc,13442 SW 284TH ST,Homestead,FL,33033,Miami-Dade,(609) 428-9360,A SENIOR LIVING DREAM LLC,6.0,FOR-PROFIT,6/24/21
11964442.0,9159.0,ASSISTED LIVING FACILITY,A Sweet Alf  Inc.,18400 NW 81 COURT,Hialeah,FL,33015,Miami-Dade,(305) 999-7347,A SWEET ALF  INC,6.0,FOR-PROFIT,6/24/21
11968504.0,12400.0,ASSISTED LIVING FACILITY,A Touch Of Class #1 Adult Care Llc,658 NW AVENS ST,Port St Lucie,FL,34983-1104,St. Lucie,(772) 323-0353,A TOUCH OF CLASS #1 ADULT CARE LLC,5.0,FOR-PROFIT,6/24/21
11967855.0,11837.0,ASSISTED LIVING FACILITY,A Touch Of Class Adult Care Llc,537 SW WHITMORE DRIVE,Port Saint Lucie,FL,34984,St. Lucie,(772) 905-8729,A TOUCH OF CLASS ADULT CARE LLC,10.0,FOR-PROFIT,6/24/21
11967288.0,11367.0,ASSISTED LIVING FACILITY,A Tropical Paradise Alf,5228 23RD AVE N,St Petersburg,FL,33710-5148,Pinellas,(727) 289-2325,IGOR MELNICHUK,6.0,FOR-PROFIT,6/24/21
11969492.0,13279.0,ASSISTED LIVING FACILITY,A&D Tender Loving Care  Llc,150 NE 18TH ST,Pompano Beach,FL,33060,Broward,(954) 785-9311,A & D TENDER LOVING CARE LLC,6.0,FOR-PROFIT,6/24/21
11967643.0,11643.0,ASSISTED LIVING FACILITY,A&J Assisted Living Facility,2466 RALPH AVENUE SE,Palm Bay,FL,32909,Brevard,(754) 245-2745,A & J ALF OF FLORIDA  INC. II,6.0,FOR-PROFIT,6/24/21
11966253.0,10466.0,ASSISTED LIVING FACILITY,A+ Senior Home Inc,41 SW 68TH AVE,Miami,FL,33144-2805,Miami-Dade,(305) 264-4565,A + SENIOR HOME INC,6.0,FOR-PROFIT,6/24/21
11967137.0,11228.0,ASSISTED LIVING FACILITY,A-1 Assisted Living Facility  Llc,9410 SW 52 TERRACE,Miami,FL,33165,Miami-Dade,(786) 376-7722,A-1 ASSISTED LIVING FACILITY LLC,6.0,FOR-PROFIT,6/24/21
11968896.0,12738.0,ASSISTED LIVING FACILITY,A1 Care Systems Inc,6613 SHADY OAKS DR,Jacksonville,FL,32277,Duval,(904) 527-3391,A1 CARE SYSTEMS INC,6.0,FOR-PROFIT,6/24/21
11969771.0,13595.0,ASSISTED LIVING FACILITY,A1 Senior Living,242 NE 42ND ST,Deerfield Beach,FL,33064,Broward,(561) 809-5627,ASSISTED LIVING & ADULT CARE LLC,6.0,FOR-PROFIT,6/24/21
11965862.0,10201.0,ASSISTED LIVING FACILITY,A1A Care Center  Inc,641 WEST 33 STREET,Hialeah,FL,33012,Miami-Dade,(305) 450-1775,A1A CARE CENTER  INC,6.0,FOR-PROFIT,6/24/21
11966837.0,10956.0,ASSISTED LIVING FACILITY,Aasbury Manor Alf,5302 SATEL DR,Orlando,FL,32810,Orange,(407) 522-4832,AASBURY ENTERPRISES  INC,14.0,FOR-PROFIT,6/24/21
11967869.0,11839.0,ASSISTED LIVING FACILITY,Abaco House Alf,121 ABACO DR,Palm Springs,FL,33461,Palm Beach,(561) 891-3095,ABACO HOUSE ALF  LLC,6.0,FOR-PROFIT,6/24/21
11969632.0,13412.0,ASSISTED LIVING FACILITY,Abbey Delray Assisted Living And Memory Care,2010 SW 11TH COURT,Delray Beach,FL,33445,Palm Beach,(561) 454-2000,LIFESPACE COMMUNITIES INC,82.0,FOR-PROFIT,6/24/21
11965626.0,10006.0,ASSISTED LIVING FACILITY,Abbey Manor Retirement Residence  Inc.,1930 LINCOLN ST,Hollywood,FL,33020-3510,Broward,(954) 923-1354,ABBEY MANOR RETIREMENT RESIDENCE  INC.,19.0,FOR-PROFIT,6/24/21
11968889.0,12731.0,ASSISTED LIVING FACILITY,Abide N Love,2698 HESTER AVE SE,Palm Bay,FL,32909,Brevard,(321) 327-2718,ZION'S II ASSISTED LIVING FACILITY  INC,5.0,FOR-PROFIT,6/24/21
11966240.0,10498.0,ASSISTED LIVING FACILITY,Abigail (The),320 SOUTH DELAWARE,Tampa,FL,33606,Hillsborough,(813) 258-2919,ABIGAIL ASSISTED LIVING INC.,19.0,FOR-PROFIT,6/24/21
11965167.0,9646.0,ASSISTED LIVING FACILITY,Above The Rest Assisted Living Facility,2360 MADRID AVENUE SE,Palm Bay,FL,32909,Brevard,(321) 956-8141,ABOVE THE REST ASSISTED LIVING FACILITY  LLC,10.0,FOR-PROFIT,6/24/21
11953618.0,8626.0,ASSISTED LIVING FACILITY,Absolute Care Alf,3621 NW 90TH TER,Sunrise,FL,33351-6470,Broward,(954) 747-7265,SENIORS R US LLC,14.0,FOR-PROFIT,6/24/21
11965367.0,9821.0,ASSISTED LIVING FACILITY,Abuelas Retirement Home Inc,4257 SW 154TH CT,Miami,FL,33185-4259,Miami-Dade,(305) 227-6682,ABUELAS RETIREMENT HOME INC,6.0,FOR-PROFIT,6/24/21
11965741.0,10139.0,ASSISTED LIVING FACILITY,Abuelitas Home  Inc,15257 SW 61ST ST,Miami,FL,33193-2559,Miami-Dade,(786) 229-3431,ABUELITAS HOME INC.,6.0,FOR-PROFIT,6/24/21
11969716.0,13472.0,ASSISTED LIVING FACILITY,Abuelo Eusebio Alf Corporation,28361 SW 158 AVE,Homestead,FL,33033,Miami-Dade,(786) 339-9378,ABUELO EUSEBIO ALF CORPORATION,6.0,FOR-PROFIT,6/24/21
11969673.0,13429.0,ASSISTED LIVING FACILITY,Abuelo Feliz Home 2 Llc,4535 W JEAN ST,Tampa,FL,33614,Hillsborough,(813) 495-3660,ABUELO FELIZ HOME 2 LLC,5.0,FOR-PROFIT,6/24/21
11969120.0,12964.0,ASSISTED LIVING FACILITY,Abuelo Feliz Home Llc,8625 MAY CIR,Tampa,FL,33614,Hillsborough,(813) 495-3660,ABUELO FELIZ HOME LLC,6.0,FOR-PROFIT,6/24/21
11966960.0,11078.0,ASSISTED LIVING FACILITY,Abuelo'S Ana Alf,2741 W LEROY ST,Tampa,FL,33607-1249,Hillsborough,(813) 748-1304,ABUELO'S ANA ALF INC,6.0,FOR-PROFIT,6/24/21
11969229.0,13058.0,ASSISTED LIVING FACILITY,Abuelos Alf Inc,1031 NW 39 CT,Miami,FL,33126,Miami-Dade,(305) 456-7330,ABUELOS ALF  INC,6.0,FOR-PROFIT,6/24/21
11968863.0,12749.0,ASSISTED LIVING FACILITY,Acacia Grove Assisted Living Facility Llc,2485 RIDGECREST AVE,Orange Park,FL,32065,Clay,(904) 327-5584,ACACIA GROVE ASSISTED LIVING FACILITY LLC,8.0,FOR-PROFIT,6/24/21
11932652.0,7824.0,ASSISTED LIVING FACILITY,Academy Assisted Living Facility  Inc,1225 SOLTMAN AVENUE,Fort Pierce,FL,34950,St. Lucie,(772) 460-1211,ACADEMY ASSISTED LIVING FACILITY INC,20.0,FOR-PROFIT,6/24/21
11969728.0,13478.0,ASSISTED LIVING FACILITY,Acc Sunshine  Inc,10899 SW 229 ST,Miami,FL,33170,Miami-Dade,(786) 303-5713,ACC SUNSHINE  INC.,6.0,FOR-PROFIT,6/24/21
11967339.0,11400.0,ASSISTED LIVING FACILITY,Accordia Woods,1889 CURLEW RD,Palm Harbor,FL,34683-6816,Pinellas,(727) 771-1917,ACCORDIA WOODS LLC,25.0,FOR-PROFIT,6/24/21
11969155.0,12981.0,ASSISTED LIVING FACILITY,Achoy Assisted Living Inc,3601 W 11 AVE,Hialeah,FL,33012,Miami-Dade,(305) 826-6365,ACHOY ASSISTED LIVING  INC.,27.0,FOR-PROFIT,6/24/21
11969354.0,13154.0,ASSISTED LIVING FACILITY,Active Care Assisted Living Facility,2436 LAKE JACKSON CIR,Apopka,FL,32703,Orange,(321) 948-5569,ACTIVE CARE ASSISTED LIVING FACILITY,5.0,FOR-PROFIT,6/24/21
11965625.0,9969.0,ASSISTED LIVING FACILITY,Active Senior Living Residence,9057 NW 57TH ST,Tamarac,FL,33351-4305,Broward,(954) 721-1115,ACTIVE SERENITY LLC,72.0,FOR-PROFIT,6/24/21
11966231.0,12533.0,ASSISTED LIVING FACILITY,Acts Assisted Living Facility,6806 N NEBRASKA AVE,Tampa,FL,33604-5661,Hillsborough,(727) 942-4184,AGENCY FOR COMMUNITY TREATMENT SERVICES INC,15.0,NOT-FOR-PROFIT,6/24/21
11966547.0,10770.0,ASSISTED LIVING FACILITY,Ada Alf Inc,683 NW 122ND PL,Miami,FL,33182-2020,Miami-Dade,(305) 226-4283,ADA INC ALF,6.0,FOR-PROFIT,6/24/21
11968718.0,12596.0,ASSISTED LIVING FACILITY,Ada Residences  Inc,759 SW 99TH CT CIR,Miami,FL,33174,Miami-Dade,(786) 615-8283,ADA RESIDENCES INC,6.0,FOR-PROFIT,6/24/21
11969210.0,13082.0,ASSISTED LIVING FACILITY,Ada Retirement Home Inc,230 SW 119TH AVE,Miami,FL,33184,Miami-Dade,(786) 239-4946,ADA RETIREMENT HOME  INC,6.0,FOR-PROFIT,6/24/21
11910896.0,5853.0,ASSISTED LIVING FACILITY,Adam F/F Inc,34 W 14TH ST,Hialeah,FL,33010,Miami-Dade,(305) 888-6356,ADAM F/F INC,21.0,FOR-PROFIT,6/24/21
11963775.0,7196.0,ASSISTED LIVING FACILITY,Adam Home # 2 Inc.,1045 W 2ND AVE,Hialeah,FL,33010-3801,Miami-Dade,(305) 888-7257,ADAM HOME #2 INC,12.0,FOR-PROFIT,6/24/21
11964524.0,9053.0,ASSISTED LIVING FACILITY,Adams Retirement Home  Inc.,401 PENNSYLVANIA AVENUE,Fort Lauderdale,FL,33312,Broward,(954) 316-2535,ADAMS RETIREMENT HOME  INC.,6.0,FOR-PROFIT,6/24/21
11953595.0,6140.0,ASSISTED LIVING FACILITY,Addington Place At College Harbor,4600 54TH AVE S,Saint Petersburg,FL,33711,Pinellas,(727) 866-3124,ARHC ALSPGFL01 TRS LLC,90.0,FOR-PROFIT,6/24/21
11968333.0,12270.0,ASSISTED LIVING FACILITY,Addington Place Jupiter,1031 COMMUNITY DR,Jupiter,FL,33458,Palm Beach,(561) 253-8161,ARHC ALJUPFL01 TRS  LLC,80.0,FOR-PROFIT,6/24/21
11966055.0,10331.0,ASSISTED LIVING FACILITY,Addington Place Of East Lake,1755 E LAKE RD S,Tarpon Spgs,FL,34688-9129,Pinellas,(727) 943-8878,ARHC ALTSPFL01 TRS LLC,130.0,FOR-PROFIT,6/24/21
11967569.0,11575.0,ASSISTED LIVING FACILITY,Addington Place Of Titusville,497 N WASHINGTON AVE,Titusville,FL,32796,Brevard,(321) 383-2112,ARHC TVTITFL01 TRS  LLC,90.0,FOR-PROFIT,6/24/21
11968004.0,11983.0,ASSISTED LIVING FACILITY,Addington Place Stuart,3400 SE ASTER LN,Stuart,FL,34994,Martin,(772) 223-0883,ARHC ALSTUFL01 TRS  LLC,104.0,FOR-PROFIT,6/24/21
11967529.0,11982.0,ASSISTED LIVING FACILITY,Adela'S Gardens Alf Inc,12732 SW 93RD STREET,Miami,FL,33186,Miami-Dade,(305) 385-0953,ADELA'S GARDENS ALF INC,6.0,FOR-PROFIT,6/24/21
11964414.0,9019.0,ASSISTED LIVING FACILITY,Adoring Ranches,14450 STIRLING RD,Sw Ranches,FL,33330-2908,Broward,(954) 680-2293,JANINA STELLA TOKARZ,6.0,FOR-PROFIT,6/24/21
11965959.0,10247.0,ASSISTED LIVING FACILITY,Adult Care Of Miami  Inc,9833 SW 27 TERRACE,Miami,FL,33165,Miami-Dade,(305) 559-8159,ADULT CARE OF MIAMI  INC,6.0,FOR-PROFIT,6/24/21
11968598.0,12475.0,ASSISTED LIVING FACILITY,Adult Home Care Llc,4760 8TH AVE SO,Saint Petersburg,FL,33711,Pinellas,(727) 321-7446,ADULT HOME CARE LLC,16.0,FOR-PROFIT,6/24/21
11968122.0,12063.0,ASSISTED LIVING FACILITY,Adult Leisure Living Inc,15650 W BUNCHE PARK DR,Miami Gardens,FL,33054-6965,Miami-Dade,(305) 705-2347,ADULT LEISURE LIVING  INC.,6.0,NOT-FOR-PROFIT,6/24/21
11966229.0,10472.0,ASSISTED LIVING FACILITY,Advantage Senior Living Facility Llc,1701 SW 47TH AVENUE,Fort Lauderdale,FL,33317,Broward,(954) 581-1084,ADVANTAGE SENIOR LIVING FACILITY  LLC,6.0,FOR-PROFIT,6/24/21
11967989.0,11947.0,ASSISTED LIVING FACILITY,Advent Square,4798 NORTH DIXIE HIGHWAY,Boca Raton,FL,33431,Palm Beach,(954) 867-4902,TRUSTEES OF ADVENT LUTHERAN CHURCH  INC. (THE),16.0,NOT-FOR-PROFIT,6/24/21
11969018.0,12865.0,ASSISTED LIVING FACILITY,Aging Home Paradise Llc,110 ZACALO WAY,Kissimmee,FL,34743,Osceola,(407) 201-2513,AGING HOME PARADISE LLC,6.0,FOR-PROFIT,6/24/21
11969305.0,13121.0,ASSISTED LIVING FACILITY,Aging World Alf  Llc,12201 SW 93RD ST,Miami,FL,33186,Miami-Dade,(786) 717-7081,AGING WORLD ALF  LLC,6.0,FOR-PROFIT,6/24/21
11969765.0,13512.0,ASSISTED LIVING FACILITY,Aging World Of Westchester Alf Llc,4141 SW 99 CT,Miami,FL,33165,Miami-Dade,(786) 558-4747,AGING WORLD OF WESTCHESTER ALF  LLC,6.0,FOR-PROFIT,6/24/21
11910002.0,7228.0,ASSISTED LIVING FACILITY,Aguila Adult Care Center,503 N MATANZAS,Tampa,FL,33609,Hillsborough,(813) 872-8000,AGUILA ENTERPRISES INC,10.0,FOR-PROFIT,6/24/21
11953588.0,8768.0,ASSISTED LIVING FACILITY,Aguila Adult Care Center Ii,4011 N HABANA AVE,Tampa,FL,33607-6730,Hillsborough,(813) 872-8000,AGUILA ENTERPRISES INC,16.0,FOR-PROFIT,6/24/21
11969701.0,13465.0,ASSISTED LIVING FACILITY,Aguila Assisted Living Facility,4009 N HABANA AVE,Tampa,FL,33607,Hillsborough,(813) 872-8000,AGUILA ENTERPRISES INC,16.0,FOR-PROFIT,6/24/21
11942983.0,8419.0,ASSISTED LIVING FACILITY,Aiden Springs,5520 HOWELL BRANCH ROAD,Winter Park,FL,32792,Seminole,(407) 679-1116,ALTA HEALTHCARE GROUP  INC,25.0,FOR-PROFIT,6/24/21
11969533.0,13325.0,ASSISTED LIVING FACILITY,Ajr Loving Care Alf Inc,1554 DODD RD,Winter Park,FL,32792,Orange,(407) 483-2546,,6.0,FOR-PROFIT,6/24/21
11911313.0,37.0,ASSISTED LIVING FACILITY,Alabama Oaks Of Winter Park,1759 ALABAMA DRIVE,Winter Park,FL,32789,Orange,4076225076,WINTER PARK ELDERLY SERVICES LLC,19.0,FOR-PROFIT,6/24/21
11965303.0,9774.0,ASSISTED LIVING FACILITY,Albina Manor,820 15TH ST N,Saint Petersburg,FL,33705-1235,Pinellas,(727) 418-0015,ALBINA MANOR LLC,22.0,FOR-PROFIT,6/24/21
11966869.0,11005.0,ASSISTED LIVING FACILITY,Alborada Alf Inc,6006 N COOLIDGE AVE,Tampa,FL,33614-5502,Hillsborough,(813) 454-6327,ALBORADA ALF INC.,6.0,FOR-PROFIT,6/24/21
11967878.0,11877.0,ASSISTED LIVING FACILITY,Alborada Alf Inc,2114 W BURKE ST,Tampa,FL,33604-5740,Hillsborough,(813) 454-6327,ALBORADA ALF INC.,6.0,FOR-PROFIT,6/24/21
11953397.0,8549.0,ASSISTED LIVING FACILITY,Alborada Family Home Alf Llc,5524 SW 5 STREET,Miami,FL,33134,Miami-Dade,(305) 261-4976,ALBORADA FAMILY HOME ALF,6.0,FOR-PROFIT,6/24/21
11964715.0,9268.0,ASSISTED LIVING FACILITY,Aldara Home Inc,12810 SW 18TH ST,Miami,FL,33175-1233,Miami-Dade,(786) 262-1994,ALDARA HOME  INC.,6.0,FOR-PROFIT,6/24/21
11963945.0,7656.0,ASSISTED LIVING FACILITY,Aldea Green,700 S KINGS AVE,Brandon,FL,33511-5925,Hillsborough,(813) 662-0255,AMERICAN EAGLE BRANDON LLC,120.0,NOT-FOR-PROFIT,6/24/21
11953263.0,8481.0,ASSISTED LIVING FACILITY,Alder Terrace Adult Care Center,26563 SANDHILL BLVD,Punta Gorda,FL,33983,Charlotte,(941) 629-4417,ASSISTED 2 LIVE INC,32.0,FOR-PROFIT,6/24/21
11964447.0,8979.0,ASSISTED LIVING FACILITY,Alderman Oaks Retirement Center Inc,727 HUDSON AVENUE,Sarasota,FL,34236,Sarasota,(941) 955-9099,ALDERMAN OAKS RETIREMENT CENTER INC.,50.0,FOR-PROFIT,6/24/21
11965060.0,9465.0,ASSISTED LIVING FACILITY,Alea Assisted Living Facilities  Llc,5304 NW 16TH ST,Lauderhill,FL,33313-5490,Broward,(954) 731-4863,ALEA ASSISTED LIVING FACILITIES LLC,8.0,FOR-PROFIT,6/24/21
11969655.0,13425.0,ASSISTED LIVING FACILITY,Alegria Alf Llc,1150 SW 103RD CT,Miami,FL,33174,Miami-Dade,(786) 376-7722,ALEGRIA ALF LLC,6.0,FOR-PROFIT,6/24/21
11968983.0,12853.0,ASSISTED LIVING FACILITY,Alelea Alf Inc,13444 SW 22 TERR,Miami,FL,33175,Miami-Dade,(786) 409-5736,ALELEA ALF  INC.,6.0,FOR-PROFIT,6/24/21
11965736.0,10084.0,ASSISTED LIVING FACILITY,Aleman'S Family Home Corp,8735 SW 132ND CT,Miami,FL,33183-4170,Miami-Dade,(305) 388-6519,ALEMAN'S FAMILY HOME CORP,6.0,FOR-PROFIT,6/24/21
11942752.0,8264.0,ASSISTED LIVING FACILITY,Alexa Inc (The),8615 HULSEY ROAD,Tampa,FL,33634,Hillsborough,(813) 887-5683,THE ALEXA ASSISTED LIVING FACILITY,11.0,FOR-PROFIT,6/24/21
11967019.0,11118.0,ASSISTED LIVING FACILITY,Alf Family Care Corp,14381 SW 159TH TER,Miami,FL,33177-6869,Miami-Dade,(786) 293-7955,ALF FAMILY CARE CORP,6.0,FOR-PROFIT,6/24/21
11967763.0,11768.0,ASSISTED LIVING FACILITY,Alf Family Care Ii Corp,13480 SW 89TH TER,Miami,FL,33186-1571,Miami-Dade,(305) 383-7119,ALF FAMILY CARE II  CORP.,6.0,FOR-PROFIT,6/24/21
11965431.0,9785.0,ASSISTED LIVING FACILITY,Alf Family Palace Corp.,7521 W 30TH LN,Hialeah,FL,33018-5245,Miami-Dade,(786) 953-4512,ALF FAMILY PALACE CORP,6.0,FOR-PROFIT,6/24/21
11967226.0,11312.0,ASSISTED LIVING FACILITY,Alf Family Solution Corp,7235 SOUTH  WATER WAY  DRIVE,Miami,FL,33155,Miami-Dade,(305) 763-8098,ALF FAMILY SOLUTION CORP,6.0,FOR-PROFIT,6/24/21
11966784.0,10926.0,ASSISTED LIVING FACILITY,Alf Home Assisted Living Plus More,4941 PINE CONE LANE,West Palm Beach,FL,33417,Palm Beach,(561) 712-0913,ALF HOME ASSISTED LIVING PLUS MORE  LLC,6.0,FOR-PROFIT,6/24/21
11966896.0,11027.0,ASSISTED LIVING FACILITY,Alf Kayla'S Place Inc,3122 S W 151 COURT,Miami,FL,33185,Miami-Dade,(305) 220-6449,ALF KAYLA'S PLACE INC,6.0,FOR-PROFIT,6/24/21
11969440.0,13238.0,ASSISTED LIVING FACILITY,Alf Lucia Llc,5317 SW 92ND AVE,Miami,FL,33165,Miami-Dade,(786) 597-3618,ALF LUCIA  LLC,6.0,FOR-PROFIT,6/24/21
