Facility Name,Licensee,Facility ID,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity
DAKOTA HILL HOUSING,DAKOTA HILL HOUSING,8011a,dakhills@westriv.com,(701) 584-3266,606 DAKOTA ST N,elgin,nd,58533,grant,33
ELLENDALE EVERGREEN PLACE,ELLENDALE EVERGREEN PLACE,8040b,tony.hanson@bhshealth.org,(701) 349-4550,241 MAIN ST,ellendale,nd,58436,dickey,20
EVERGREENS OF FARGO,EVERGREENS OF FARGO,8039b,nicolepesta@ecumen.org,(701) 239-4524,1401 W GATEWAY CIR,fargo,nd,58103,cass,18
EVERGREENS OF FARGO,EVERGREENS OF FARGO,8042b,nicolepesta@ecumen.org,(701) 239-4524,1411 W GATEWAY CIR,fargo,nd,58103,cass,18
EVERGREENS OF FARGO,EVERGREENS OF FARGO,8045b,nicolepesta@ecumen.org,(701) 239-4524,1405 W GATEWAY CIRCLE,fargo,nd,58103,cass,18
TOUCHMARK AT HARWOOD GROVES,TOUCHMARK AT HARWOOD GROVES,8069a,kbd@touchmark.com,(701) 476-1200,1200 HARWOOD DR S,fargo,nd,58104,cass,37
EDGEWOOD FARGO SENIOR LIVING,EDGEWOOD FARGO SENIOR LIVING,8103a,Mitch.Peters@edgewoodvista.com,(701) 365-8200,4420 37TH AVE S,fargo,nd,58104,cass,35
GOOD SAMARITAN SOCIETY - FARGO,GOOD SAMARITAN SOCIETY - FARGO,8104a,pmiddend@good-sam.com,(701) 282-2651,4502 37TH AVE S,fargo,nd,58104,cass,83
BETHANY TOWERS,BETHANY TOWERS,8076a,sstuhaug@bethanynd.org,(701) 239-3000,201 S UNIVERSITY DR ,fargo,nd,58103,cass,77
FARGO MAPLE VIEW,"FARGO MAPLE VIEW, LLC",8098,jordynh@lifeatmapleview.com,(701) 478-8655,4552 36TH AVE S,fargo,nd,58104,cass,48
Gackle Future Development Company,GACKLE CARE CENTER,8014a,kschlecht@daktel.com,(701) 485-3395,304 1ST AVE W,gackle,nd,58442,logan,34
EDGEWOOD PARKWOOD PLACE,"EDGEWOOD PARKWOOD PLACE, LLC",8015a,Chivon.Kapphahn@edgewoodvista.com,(701) 757-2727,749 30TH ST S,grand forks,nd,58201,grand forks,40
ST ANNES GUEST HOME,ST ANNES GUEST HOME,8016a,stannes@midconetwork.com,(701) 746-9401,524 N 17TH ST,grand forks,nd,58203,grand forks,47
TUFTE MANOR,TUFTE MANOR,8105a,agoulet@valleymemorial.org,(701) 787-7600,3300 CHERRY ST,grand forks,nd,58201,grand forks,70
maple view,MAPLE VIEW GRAND FORKS MEMORY CARE COMMUNITY,8107a,jessicab@lifeatmapleview.com,(701) 772-3400,4650 S WASHINGTON ST,grand forks,nd,58201,grand forks,36
SENIOR SUITES AT SAKAKAWEA,SENIOR SUITES AT SAKAKAWEA,8019b,tparker@smcnd.org,(701) 748-2290,813 7TH ST NE,hazen,nd,58545,mercer,34
Roseadele ,ROSEADELE ,8038B,shipleybc@daktel.com,(701) 251-1741,1505 3RD ST SE ,jamestown,nd,58401,stutsman,20
Rock of ages,"rock of ages home, inc",8021B,roainc@datkel.com,(701) 252-9292,1315 4th st ne,jamestown,nd,58401,stutsman,52
"edgewood jamestown, llc","edgewood jamestown, llc",8204,tonya.perkins@edgewoodvista.com,(701) 952-8750,1104 25th st sw,jamestown,nd,58401,stutsman,61
Hilltop Home Of Comfort,HILLTOP HOME OF COMFORT,8206,hthcadmin@hthc.org ,(701) 764-5682,105 LEGACY DR,KILLDEER ,nd,58640,dunn,5
Good Samaritan Society - Lakota,GOOD SAMARITAN SOCIETY - LAKOTA,8205,ahalvor1@good-sam.com ,(701) 247-2902,608 4TH AVE SW,lakota,nd,58344,nelson,5
Good Samaritan Society - Larimore,GOOD SAMARITAN SOCIETY - LARIMOR,8109,rraffety@good.sam.com,(701) 343-6244 ,501 EAST FRONT STREET ,larimore,nd,58251,grand forks,6
North Dakota Veterans Home,NORTH DAKOTA VETERANS HOME ,8044A,mjohn@nd.gov ,(701) 683-6500 ,1600 VETERANS DR,LISBON ,nd,58054,Ransom,98
Parkside Lutheran Home,PARKSIDE LUTHERAN HOME,8080A,timk@drtel.net ,(701) 683-5239 ,501 3RD AVE W,LISBON ,nd,58054,ransom,10
Maddock Memorial Home,MADDOCK MEMORIAL HOME, 8024A ,memorialhome@gondtc.com,(701) 438-2641,301 ROOSEVELT AVE ,maddock,nd,58348,benson,21
Dakota Pointe,Dakota pointe,8059A,ejacobson@hitinc.org ,(701) 667-4552,3503 43RD ST NW ,mandan,nd,58554,morton,10
"Lakewood Landing, Inc ","Lakewood Landing, Inc ",8097,kristin@northernoaks.net ,(701) 751-6191,4401 21ST ST SE ,mandan,nd,58554,morton,38
"Edgewood Mandan, LLC ","Edgewood Mandan, LLC ",8099,scott.bernstein@edgewoodvista.com ,(701) 663-5664,2801 39TH AVE SE ,mandan,nd,58554,morton,59
Sheridan Memorial Home ,Sheridan Memorial Home ,8025A,,(701) 363-2203 ,610 S MAIN ST,MC CLUSKY ,nd,58463,sheridan,16
"Edgewood Minot Senior Living, LLC","EDGEWOOD MINOT SENIOR LIVING, LLC",8049A,carma.mclaughlin@edgewoodvista.com ,(701) 852-1399,706 16TH AVE SE,minot,nd,58701,ward,25
"Edgewood Minot Senior Living, LLC - Alzheimers","EDGEWOOD MINOT SENIOR LIVING, LLC",8057A,carma.mclaughlin@edgewoodvista.com ,(701) 852-1399,715 17TH AVE SE ,minot,nd,58701,ward,22
Edgewood Vista ,EDGEWOOD MINOT SENIOR LIVING ,8067A,carma.mclaughlin@edgewoodvista.com ,(701) 852-1399,520 28TH AVE SE,minot,nd,58701,ward,28
Maple View Memory Care Of Minot ,MAPLE VIEW MEMORY CARE OF MINOT,8093A,kellyh@lifeattheview.com ,(701) 852-1800 ,2805 ELK DR ,minot,nd,58701,ward,43
Borg Pioneer Memorial Home ,BORG PIONEER MEMORIAL HOME ,8027A,borghome@polarcomm.com ,(701) 993-8345,61 BORG DR,mountain,nd,58262,pembina,39
Napoleon Care Center ,Napoleon Care Center ,8203,rregner.ncc@bektel.com ,(701) 754-2381,311 EAST 4TH STREET ,napoleon,nd,58561,logan,8
Lutheran Home Of The Good Shepherd ,Lutheran Home Of The Good Shepherd ,8095A,kjensrud@lhgs.org ,(701) 947-2944,1226 1ST AVE N ,new rockford,nd,58356,eddy,10
Lakeside Community Living Center ,Lakeside Community Living Center ,8088B,juran@restel.com ,(701) 627-4711,603 1st st nw,new town,nd,58763,mountrail,9
"Osnabrock Community Living Center, Inc. ","OSNABROCK COMMUNITY LIVING CENTER, INC",8096A,oclc@utma.com ,(701) 496-3131,326 rainbow rd,osnabrock,nd,58269,cavalier,18
Good Samaritan Society - Park River ,GOOD SAMARITAN SOCIETY - PARK RIVER,8086A,jolson@good-sam.com ,(701) 284-7115,301 S COUNTY ROAD 12B,park river,nd,58270,walsh,12
HAALAND ESTATES BASIC CARE ,HAALAND ESTATES BASIC CARE ,8031A,kclements@hamc.com ,(701) 776-5203,1025 3RD AVE SE,rugby,nd,58368,pierce,60
golden manor,golden manor inc,8087A,goldenmanor@bektel.com ,(701) 475-2251,214 4TH ST NW ,steele,nd,58482,kidder,25
HI Soaring Eagle Ranch ,HI Soaring Eagle Ranch ,8032A,mary.simonson@odcvc.com ,(701) 845-1124,3731 117TH R AVE SE ,valley city,nd,58072,barnes,10
siena court,siena court,8025A,jim.cornelius@bhshealth.org ,(701) 642-6667,711 14TH AVE N ,wahpeton,nd,58075,richland,16
Leach Home ,Leach home,8033A,lkath@702com.net ,(701) 642-4283 ,714 N 4TH ST ,wahpeton,nd,58075,richland,39
McKenzie County Healthcare Systems Basic Care ,McKenzie County Healthcare Systems Basic Care ,8051A,dkelly@mchsnd.org ,(701) 444-2331,709 4TH AVE NE ,watford city,nd,58854,mckenzie,9
Sheyenne Crossings - Prairie Square ,SHEYENNE CROSSINGS - PRAIRIE SQUARE,8100A,bjohnsrud@eventide.org ,(701) 478-6002,225 13TH AVE W,west fargo,nd,58078,cass,24
new perspective - west fargo,new perspective - west fargo,8201,lterhaar@npseniorliving.com ,(701) 540-6405,645 33RD AVENUE EAST,west fargo,nd,58078,cass,47
Bethel Lutheran Nursing & Rehabilitation Center ,Bethel Lutheran Nursing & Rehabilitation Center ,8034A,tpeterson@blnrc.com ,(701) 572-6766,1515 2ND AVE W ,williston,nd,58801,williams,19
redwood village,redwood village,8035B,jessican@prideinc.org ,(701) 734-6409,213 7th st N,wilton,nd,58579,mclean,16
