Facility ID,Facility Name,Street,City,State,Zip Code,Phone Number,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,Mailing Street,Mailing City,Mailing State,Mailing Zip Code,Licensee Phone Number,Class,Gender,Capacity,Low Rate,High Rate,Date Probationary Issued,Date Regular Issued,Region,Public Funding,HCBS Compliant
15710,EMERALD BAY ASSISTED LIVING,650 CENTENNIAL CENTRE BLVD,HOBART,WI,54155,(920) 378-5839,BROWN,LUEPKE,TABATHA,SCAL HOBART LLC,COLLINS,MICHAEL S,COLLINS,MICHAEL,5555 GRANDE MARKET DRIVE STE A,APPLETON,WI,54913,(608) 837-2649,CERTIFIED,B,102,3400,5200,,8-Sep-15,NORTHEASTERN REGION,X,X
16148,NEW PERSPECTIVE-HOWARD,2790 ELM TREE HILL,HOWARD,WI,54313,(920) 489-8600,BROWN,DUVALL,DARIN,HOWARD OPS LLC,NOVACZYK,RYAN,DUVALL,DARIN,2790 ELM TREE HILL,HOWARD,WI,54313,(952) 241-8211,CERTIFIED,B,85,1734,5813,,27-Jun-16,NORTHEASTERN REGION,,X
10250,HOMEPLACE OF MONDOVI LLC (THE),158 EAST MAIN STREET,MONDOVI,WI,54755-,(715) 926-4777,BUFFALO,ROHWEDDER,KELLY,HOMEPLACE OF MONDOVI LLC (THE),,,HAZUGA,JASON,225 E 4TH AVENUE,STANLEY,WI,54755-,(715) 644-2136,CERTIFIED,B,21,3250,6271,,1-Jun-99,NORTHWESTERN REGION,,X
15973,OAK PARK PLACE OF MENASHA,2205 MIDWAY ROAD,MENASHA,WI,54952,(920) 702-0000,CALUMET,WOODWARD,AMANDA,OAK PARK PLACE OF MENASHA LLC,FRANK,SCOTT,FRANK,SCOTT,719 JUPITER DR,MADISON,WI,53718,(608) 663-8600,REGISTERED,B,29,2550,2995,,26-Feb-16,NORTHEASTERN REGION,,
17938,MEADOWBROOK AT BLOOMER,1900 PRIDDY STREET,BLOOMER,WI,54724,(715) 568-2503,CHIPPEWA,HENCK,ANNA,BLOOMER NURSING AND REHAB LLC,PUKSHANSKY,ROSTISLAV,BOWE,BRENDA,1900 PRIDDY STREET,BLOOMER,WI,54724,(847) 942-7575,CERTIFIED,B,18,2500,4500,,1-Dec-19,NORTHWESTERN REGION,X,X
10254,CHIPPEWA MANOR LIVING SERVICES CORPORATION,756 IRVINE STREET,CHIPPEWA FALLS,WI,54729-,(715) 723-4437,CHIPPEWA,THORSNESS,BRANDON,CHIPPEWA MANOR HOME HEALTH CARE CORP,,,THORSNESS,BRANDON,756 IRVINE STREET,CHIPPEWA FALLS,WI,54729-,(715) 726-2123,REGISTERED,B,93,1482,1669,,20-Jun-97,NORTHWESTERN REGION,,
11498,COMFORTS OF HOME CHIPPEWA FALLS RCAC,1224 PUMPHOUSE RD,CHIPPEWA FALLS,WI,54729-,(715) 726-2527,CHIPPEWA,CARLSON,SUSAN,CHIPPEWA FALLS RCAC LLC,,,SCHILLINGER,RHONDA,750 MAIN ST STE 200,MENDOTA HEIGHTS,MN,54729-,(651) 287-0265,CERTIFIED,B,21,2900,6120,,1-Jul-06,NORTHWESTERN REGION,,X
14672,WISSOTA PLACE,2801 COUNTY HWY 1,CHIPPEWA FALLS,WI,54729-,(715) 720-9710,CHIPPEWA,KEARNS,ANDREW,WISSOTA SPRINGS AID OPCO LLC,,,POC/LEGAL DEPT,ATTN:,330 N WABASH AVE STE 3700,CHICAGO,IL,54729-,(415) 706-9715,REGISTERED,B,70,7365,8324,,11-Jul-13,NORTHWESTERN REGION,,
11165,HOMEPLACE OF STANLEY LLC (THE),225 E FOURTH AVE,STANLEY,WI,54768-,(715) 644-2136,CHIPPEWA,WARWICK,MEGHAN,,TALLMAN,JILL,HAZUGA,JASON,225 E FOURTH AVE,STANLEY,WI,54768-,(715) 644-2137,CERTIFIED,B,17,3250,3495,,4-Nov-05,NORTHWESTERN REGION,,X
17403,COLBY RETIREMENT COMMUNITY,510 W WAUSAU STREET,COLBY,WI,54421,(715) 223-1612,CLARK,KILTY,SAMANTHA,BRANDYWOOD INVESTMENTS INC,RENK,STEVEN,SIMONSON,ROBERT,2850 MONARCH CT,ALTOONA,WI,54720,(608) 825-7987,CERTIFIED,B,24,2995,4900,,1-Apr-19,NORTHWESTERN REGION,,X
17129,NEILLSVILLE RETIREMENT COMMUNITY,1211 LLOYD ST,NEILLSVILLE,WI,54456,(715) 743-6700,CLARK,ZEITLER,SHERYL,ASHFORD MARTIN CORPORATION,MOSER,CHRISTOPHER,MOSER,CHRIS,1500 N CASALOMA DR STE 300,APPLETON,WI,54913,(920) 832-8094,CERTIFIED,B,24,3785,4785,,1-May-18,NORTHWESTERN REGION,,
13002,TRADITIONS ASSISTED LIVING,418 E STANLEY STREET,THORP,WI,54771-,(715) 456-4269,CLARK,HAZUGA,JASON,B K ANDERSON LLC,,,HAZUGA,JASON,418 E STANLEY STREET,THORP,WI,54771-,(715) 669-3844,REGISTERED,B,16,2200,2750,,20-Jan-10,NORTHWESTERN REGION,,
13097,MEADOWS OF FALL RIVER (THE),101 HOMETOWN AVE,FALL RIVER,WI,53932-,(920) 484-6171,COLUMBIA,GREEN,MARILYN,"THE MEADOWS OF FALL RIVER, LLC",SUCHOMEL,DAVE,SIMONSON,ROBERT,2850 MONARCH,ALTOONA,WI,54720,(608) 317-6384,CERTIFIED,,38,2600,3150,,1-Jan-10,SOUTHERN REGION,X,X
15503,HERITAGE HOUSE OF PORTAGE,2685 AIRPORT ROAD,PORTAGE,WI,53901,(608) 745-3312,COLUMBIA,NALL,COLLEEN,SHA MSL PORTAGE OPCO LLC,OSTROM,TOM,OSTROM,TOM,101 N WACKER DRIVE  STE 616,CHICAGO,IL,60606,(312) 462-4462,CERTIFIED,B,66,500,6000,,7-Apr-15,SOUTHERN REGION,,X
13662,OUR HOUSE PORTAGE RCAC,215 NORTHRIDGE DR,PORTAGE,WI,53901-,(608) 291-0550,COLUMBIA,KOEPPEL,DAWN,KSMS OUR HOUSE LLC,KINGEN,DAVID,NARDIN,LORI,4350 156TH ST,CHIPPEWA FALLS,WI,53901-,(317) 280-8455,CERTIFIED,B,32,3000,4000,,15-Apr-11,SOUTHERN REGION,X,X
12866,RESIDENCE AT BLUFF HAVEN,720 S FREMONT ST,PRAIRIE DU CHIEN,WI,53821-,(608) 326-3200,CRAWFORD,Cota,Dana,COMMUNITY HEALTH SERVICES CORPORATION,ERDENBERGER,ALESHA,ERDENBERGER,ALESHA,720 S FREMONT ST,PRAIRIE DU CHIEN,WI,53821-,(608) 326-3200,CERTIFIED,B,24,1953,6831,,3-Aug-09,SOUTHERN REGION,,
18104,DRUMLIN RESERVE,139 EAST REYNOLDS STREET,COTTAGE GROVE,WI,53527,(608) 839-8085,DANE,BORCHERT,TRAVIS,CAPRI COMMUNITIES LLC,TARANTINO,JAMES,CHOBAN,GLEN,20875 CROSSROADS CIR STE 400,WAUKESHA,WI,53186,(262) 798-1224,CERTIFIED,,70,2340,3000,,1-May-20,SOUTHERN REGION,,X
17051,MILESTONE SENIOR LIVING MARKET ST,1870 MARKET ST,CROSS PLAINS,WI,53528,(608) 413-0451,DANE,Starcer,Angela,ABILIT HOLDINGS CROSS PLAINS LLC,RUSSELL,KEVIN,JAMES,DANIELLE,323 S. 99th Street,Milwaukee,WI,53227,(585) 500-6793,CERTIFIED,B,20,3650,4145,,18-May-18,SOUTHERN REGION,,
17769,LEGACY OF DEFOREST (THE),6639 PEDERSON CROSSING BLVD,DEFOREST,WI,53532,(608) 807-2888,DANE,ROBINSON,KELLEY,PARK VISTA SENIOR HOUSING MANAGEMENT LLC,LONERGAN,JULIE,LONERGAN,JULIE,132 6TH AVE S,CLINTON,IA,52732,(563) 503-6001,REGISTERED,B,32,2650,5750,,19-Oct-19,SOUTHERN REGION,,
18349,PARKSIDE ASSISTED LIVING,6902 PARKSIDE CIRCLE,DEFOREST,WI,53532,(608) 846-2101,DANE,DEGNER,NICOLE,ENCORE WISCONSIN LLC,OSTROM,THOMAS,OSTROM,THOMAS,101 N WACKER DRIVE STE 616,CHICAGO,IL,60606,(312) 623-0884,CERTIFIED,B,40,2000,7000,,15-Feb-21,SOUTHERN REGION,,
10287,CHAPEL VALLEY II,5781 CHAPEL VALLEY ROAD,FITCHBURG,WI,53711-,(608) 276-3449,DANE,,,CHAPEL VALLEY HOUSING II LLC,,,,,5781 CHAPEL VALLEY ROAD,FITCHBURG,WI,53711-,(608) 277-8887,REGISTERED,,24,655,1025,,1-Jun-00,SOUTHERN REGION,,
14814,WATERFORD AT FITCHBURG (THE),5440 CADDIS BEND,FITCHBURG,WI,53711,(608) 270-9200,DANE,HUTCHISON,KIRSTEN,CSL FITCHBURG MANAGMENT LLC,BEATHARD,DAVID,Hutchison,Kristen,1740 Condor Lane,Green Bay,WI,54313,(972) 308-8387,REGISTERED,B,71,3725,4560,,23-Oct-13,SOUTHERN REGION,,
12841,AVALON ASSISTED LIVING COMMUNITY,2879 FISH HATCHERY RD,MADISON,WI,53713,(608) 274-4350,DANE,Thomas,Nancy,MADISON ASSISTED LIVING LLC,McGLADE,CHUCK,Thomas,Nancy,2879 FISH HATCHERY RD,MADISON,WI,53713,(971) 717-2475,CERTIFIED,B,42,2420,2861,,10-Jun-09,SOUTHERN REGION,,X
10301,CAPITOL LAKES,333 W MAIN ST,MADISON,WI,53703-,(608) 283-2137,DANE,CONROY,TIM,CAPITOL LAKES INC,POSSIN,CHARLES E,CONROY,TIM,333 W MAIN ST,MADISON,WI,53703-,(608) 283-2000,REGISTERED,B,40,1150,2716,,1-Mar-02,SOUTHERN REGION,,
14262,GARDENS (THE),602 N SEGOE RD,MADISON,WI,53705-,(608) 274-7900,DANE,Dewitt,Jocelyn,INDEPENDENT LIVING INC,Miller,Brian,Miller,Brian,606 N Segoe,MADISON,WI,53705-,(608) 274-7900,CERTIFIED,B,75,295,2400,,1-Aug-12,SOUTHERN REGION,X,X
17850,GRASSLANDS AT OAKWOOD VILLAGE PRAIRIE RIDGE,5565 TANCHO DR,MADISON,WI,53718,(608) 230-4000,DANE,PACKHAM,JENNYLYNDE,OAKWOOD VILLAGE PRAIRIE RIDGE HOMES INC,PACKHAM,JENNYLYNDE,PACKHAM,JENNYLYNDE,5565 TANCHO DR,MADISON,WI,53718,(608) 230-4510,REGISTERED,B,71,1808,2073,,7-Nov-19,SOUTHERN REGION,,
17777,MEADOWMERE MADISON,5601 BURKE RD,MADISON,WI,53718,(608) 268-9100,DANE,Sellers,Aysa,SNH WIS TENANT LLC,FRANCIS,JENNIFER,NEWCOMB,LISA,400 CENTER ST  ATTN  LICENSING,NEWTON,MA,2458,(617) 796-8350,CERTIFIED,B,60,2750,3680,,1-Jan-20,SOUTHERN REGION,,X
11402,OAK PARK PLACE THE GROVE I,702 JUPITER DR,MADISON,WI,53718,(608) 251-1010,DANE,CARRUTHERS,TONI,OAK PARK PLACE OF MADISON LLC,FRANK,SCOTT,CARRUTHERS,TONI,719 JUPITER DRIVE,MADISON,WI,53718,(608) 251-1010,REGISTERED,B,32,2850,4500,,1-Jun-06,SOUTHERN REGION,,
13945,OAKWOOD VILLAGE PRAIRIE RIDGE,5555 TANCHO DR,MADISON,WI,53718-,(608) 230-4510,DANE,Packham,Jennylynde,OAKWOOD VILLAGE EAST APARTMENT HOMES INC,,,Packham,Jennylynde,5565 TANCHO DR,MADISON,WI,53718-,(608) 230-4510,REGISTERED,B,206,694,1154,,1-Nov-11,SOUTHERN REGION,,
13944,OAKWOOD VILLAGE UNIVERSITY WOODS,6209 MINERAL POINT RD,MADISON,WI,53705-,(608) 230-4435,DANE,Holden,Julie,OAKWOOD VILLAGE HOMES INC,,,Holden,Julie,6209 MINERAL POINT RD,MADISON,WI,53705-,(608) 230-4250,REGISTERED,B,415,606,2285,,1-Nov-11,SOUTHERN REGION,,
17419,TENNYSON SENIOR LIVING COMMUNITY RCAC,1936 TENNYSON LANE,MADISON,WI,53704,(608) 268-5499,DANE,Gayhart,Cassara,INDEPENDENT LIVING INC,MILLER,BRIAN,HYLAND,LESLIE,5555 W GRANDE MARKET DR STE A,APPLETON,WI,54913,(920) 246-5427,REGISTERED,B,24,3500,4500,,30-Oct-18,SOUTHERN REGION,,
12985,ATTIC ANGEL PLACE,8301 OLD SAUK RD,MIDDLETON,WI,53562-,(608) 662-8842,DANE,Hinze,Judy,ATTIC ANGEL PLACE INC,,,BUCKLEY,DEREK,8301 OLD SAUK RD,MIDDLETON,WI,53562,(608) 662-8842,CERTIFIED,,130,1680,5949,,9-Sep-09,SOUTHERN REGION,X,
14201,HERITAGE ASSISTED LIVING MIDDLETON,6234 MAYWOOD AVE,MIDDLETON,WI,53562-,(608) 831-7004,DANE,STOLTZ,BOBBI,HERITAGE 11  LLC,PINKERTON,MILO,PINKERTON,MILO,7901 W NATIONAL AVE,WEST ALLIS,WI,53562-,(952) 351-4541,CERTIFIED,B,43,3800,8000,,2-Jan-13,SOUTHERN REGION,,X
12892,HUBS HOME,111 OWEN RD,MONONA,WI,53716-,(608) 470-8058,DANE,Stolz,Bobbi,HERITAGE 9 LLC,PINKERTON,MILO,PINKERTON,Milo,7901 W NATIONAL AVE,WEST ALLIS,WI,53716-,(952) 351-4541,CERTIFIED,B,37,3800,7300,,17-Nov-09,SOUTHERN REGION,X,X
14327,INGLEWOOD,407 N 8TH ST,MOUNT HOREB,WI,53572-,(608) 437-8111,DANE,OWENS,KRIS,WISCONSIN ILLINOIS SENIOR HOUSING INC,SMITH,COLLIN,OWENS,KRIS,407 N 8TH ST,MOUNT HOREB,WI,53572-,(608) 437-5511,REGISTERED,B,24,2460,2995,,8-Oct-12,SOUTHERN REGION,,
17665,KETTLE PARK SENIOR LIVING INC,2600 JACKSON ST,STOUGHTON,WI,53589,(608) 579-5601,DANE,POWLESS,MICHELLE,KETTLE PARK SENIOR LIVING INC,PIENTKA,THOMAS,POWLESS,MICHELLE,2600 JACKSON ST,STOUGHTON,WI,53589,(608) 664-3500,CERTIFIED,B,50,3700,4100,,16-Sep-19,SOUTHERN REGION,,
17049,MILESTONE SENIOR LIVING STOUGHTON,2220 LINCOLN AVE,STOUGHTON,WI,53589,(608) 205-6800,DANE,Anderstrom,Dana,ABILIT HOLDINGS STOUGHTON LLC,RUSSELL,KEVIN,SEARLES,SARAH,316 heritage Square Dr.,Deerfield,WI,55409,(858) 500-6793,CERTIFIED,B,20,3650,4145,,18-May-18,SOUTHERN REGION,,
17274,SKAALEN HEIGHTS RCAC,950 RIDGE ST,STOUGHTON,WI,53589,(608) 205-3800,DANE,Nichols,Sarah,SKAALEN RETIREMENT SERVICES RCAC LLC,KRENTZ,KRIS,HEUER,TARA,950 RIDGE ST,STOUGHTON,WI,53589,(608) 873-5651,REGISTERED,B,33,4200,4900,,16-Aug-18,SOUTHERN REGION,,
17242,HYLAND PARK,881 LIBERTY BLVD,SUN PRAIRIE,WI,53590,(608) 834-2073,DANE,SIDEBOTTOM,RENEE,CHIARA COMMUNITIES INC,CHOBAN,GLENWOOD,CHOBAN,GLEN,20875 CROSSROADS CIR STE 400,WAUKESHA,WI,53186,(262) 798-1224,CERTIFIED,,49,900,1960,,1-Nov-18,SOUTHERN REGION,X,
15198,NEW PERSPECTIVE SUN PRAIRIE,222 S BRISTOL STREET,SUN PRAIRIE,WI,53590,(608) 825-1600,DANE,Pintz,Heather,SUN PRAIRIE OPS LLC,NOVACZYK,RYAN,NOVACZYK,RYAN,7625 GOLDEN TRIANGLE DR STE #T,EDEN PRAIRIE,MN,55344,(952) 241-8204,CERTIFIED,B,112,1642,4894,,25-Jul-14,SOUTHERN REGION,,X
17009,SUN PRAIRIE HEALTH CARE CENTER,228 W MAIN STREET,SUN PRAIRIE,WI,53590,(608) 837-5959,DANE,Ohm,Susan,SUN PRAIRIE HEALTHCARE OPERATIONS LLC,FARBER,ROWAN,KRUCHTEN,ROCHELLE,228 W MAIN STREET,SUN PRAIRIE,WI,53590,(310) 337-1329,REGISTERED,B,28,3600,4100,,1-Mar-18,SOUTHERN REGION,,
16405,TALLGRASS SENIOR LIVING,605 CHASE BLVD,SUN PRAIRIE,WI,53590,(608) 837-2124,DANE,OSTROM,TOM,SHA MSL SUN PRAIRIE LLC,OSTROM,TOM,OSTROM,TOM,101 N WACKER DRIVE  STE 616,CHICAGO,IL,60606,(312) 462-4462,CERTIFIED,B,53,2268,4500,,19-Jan-17,SOUTHERN REGION,,
18197,NOEL MANOR RETIREMENT LIVING VERONA,471 PRAIRIE WAY BOULEVARD,VERONA,WI,53593,(608) 620-6010,DANE,RASMUSSEN,KATIE,PARK VISTA SENIOR HOUSING MANAGEMENT LLC,LONERGAN,JULIE,LONERGAN,JULIE,132 6TH AVENUE SOUTH,CLINTON,WI,52732,(612) 414-1571,CERTIFIED,B,109,1250,3580,,28-Jul-20,SOUTHERN REGION,,X
14804,WILLOW POINTE ASSISTED LIVING,1125 N EDGE TRAIL,VERONA,WI,53593-,(608) 848-5701,DANE,Jacobson,Melissa,SNH SE TENANT TRS INC,,,NEWCOMB,LISA,400 CENTRE STREET -LICENSING,NEWTON,MA,53593-,(617) 796-8350,CERTIFIED,B,48,3162,5148,,1-Nov-13,SOUTHERN REGION,,X
17225,AT HOME AGAIN WAUNAKEE LLC,1120 CONNERY COVE,WAUNAKEE,WI,53597,(608) 850-9684,DANE,OCONNOR,MELISSA,HOME AGAIN ASSISTED LIVING INC,OCONNOR,MELISSA,OCONNOR,MARTY,3120 EDMONTON DR STE 300,SUN PRAIRIE,WI,53590,(608) 712-1517,CERTIFIED,B,53,2600,3800,,29-Aug-18,SOUTHERN REGION,,X
17008,WAUNAKEE MANOR RCAC,800 HOLIDAY DRIVE,WAUNAKEE,WI,53597,(608) 849-5016,DANE,KRUCHTEN,DAVE,WAUNAKEE OPERATIONS LLC,FARBER,ROWAN,FARBER,ROWAN,1000 CORPORATE POINTE SUIT 100,CULVER CITY,CA,90230,(310) 337-1929,REGISTERED,B,62,2500,4700,,1-Mar-18,SOUTHERN REGION,,
17807,BEAVER DAM ASSISTED LIVING LLC,104 FAKES CT,BEAVER DAM,WI,53916,(920) 356-9818,DODGE,Bittner,Barbara,BEAVER DAM ASSISTED LIVING LLC,TEGEN,KATHERINE,TEGEN,KATHERINE,5555 Grande Market Dr. Suite A,APPLETON,WI,54913,(920) 574-3833,CERTIFIED,B,80,3600,4800,,1-Nov-19,SOUTHERN REGION,,X
11956,STONE TERRACE RETIREMENT LIV CTR,819 S UNVERSITY AVE,BEAVER DAM,WI,53916-,(920) 887-6693,DODGE,BOHLIG,JENNIFER,BEAVER DAM COMMUNITY HOSPITALS INC,CORSO,DAVID,BOHLIG,JENNIFER,707 S UNIVERSITY AVE,BEAVER DAM,WI,53916-,(920) 887-4135,REGISTERED,B,30,804,1458,,1-Jan-07,SOUTHERN REGION,,
14152,MATTHEWS OF HORICON,713 HORICON ST,HORICON,WI,53032,(920) 485-4602,DODGE,Poler,Melissa,MATTHEWS SENIOR HOUSING LLC,OSTROM,THOMAS,OSTROM,THOMAS,101 N WACKER DRIVE  STE 616,CHICAGO,IL,60606,(312) 623-0884,CERTIFIED,B,30,3030,6500,,15-Jun-12,SOUTHERN REGION,,X
14707,HOPE SENIOR LIVING,475 GROVE STREET,LOMIRA,WI,53048-,(920) 269-7667,DODGE,Feuchter,Jennifer Feucht,HOPE SENIOR LIVING INC,GALLINA,KIM,KURANZ,STEVEN,P O BOX 280,LOMIRA,WI,53048-,(920) 269-4386,CERTIFIED,B,32,3304,4778,,22-Aug-13,SOUTHERN REGION,X,
16546,CONTINENTAL MANOR,500 S HIGH STREET,RANDOLPH,WI,53956,(920) 326-3171,DODGE,EVANS,JOANN,NSH RANDOLPH INC,HOEHN,JEFFREY,HOEHN,JEFFREY,640 N VEL R PHILLIPS AVE STE 200,MILWAUKEE,WI,53203,(920) 326-3171,REGISTERED,B,24,,,,28-Dec-16,SOUTHERN REGION,,
10292,CHRISTIAN HOME ASSISTED LIVING CENTER,331 BLY STREET,WAUPUN,WI,53963,(920) 324-9051,DODGE,WIRKUS,BARBARA,CHRISTIAN HOME AND REHABILITATION CENTER INC,,,,,331 BLY STREET,WAUPUN,WI,53963,(920) 324-9051,REGISTERED,,24,1650,2775,,1-Oct-00,SOUTHERN REGION,,
17550,CHRISTIAN LIVING CENTER,452 FOX LAKE RD,WAUPUN,WI,53963,(920) 324-9051,DODGE,Gazga Parish,Linzi,CHRISTIAN HOME AND REHABILITAION CENTER INC,WIRKUS,BARBARA,WIRKUS,BARBARA,452 FOX LAKE RD,WAUPUN,WI,53963,(920) 324-9051,REGISTERED,B,30,2263,4030,,16-Jan-19,SOUTHERN REGION,,
10669,PRAIRIE RIDGE ASSISTED LIVING,819 WILCOX ST,WAUPUN,WI,53963-,(920) 324-9810,DODGE,Angela,Bledsoe,ADVANTAGE MANAGEMENT WAUPUN LLC,EISENGA,MICHAEL,EISENGA,MICHAEL,N4365 STATE HWY 73,COLUMBUS,WI,53963-,(920) 350-6001,CERTIFIED,B,27,2750,3250,,1-Aug-04,SOUTHERN REGION,X,X
