Facility ID,Facility Name,Street,City,State,Zip Code,Phone Number,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,Mailing Street,Mailing City,Mailing State,Mailing Zip Code,Licensee Phone Number,Class,Gender,Capacity,Low Rate,High Rate,Date Probationary Issued,Date Regular Issued,Waiver Certified Independent CBRF Apartments,Traumatic Brain Injury,Terminally Ill,Public Funding,Pregnant Women/Counselling,Physically Disabled,Irreversible Dementia/Alzeimers,Emotionally Disturbed/Mental Illness,Developmentally Disabled,Correctional Clients,Alcohol Drug/Dependent,Advanced Aged,HCBS Compliant
0013221,WILLOW PINES,1058-6TH STREET,ALMENA,WI,54805-,(715) 357-3824,BARRON,CARPENTER,DEBORAH,,CARPENTER,DEBORAH,CARPENTER,DEBORAH,1058 - 6TH STREET,,WI,54805-,(715) 357-3824,AFH,B,4,"$4,200.00","$4,200.00",,15-Mar-10,,,,X,,,,,X,,,,X
0016155,REBECCAS ADULT FAMILY HOME,1121 14 1/2 ST,BARRON,WI,54812,(715) 418-9417,BARRON,HANSEN,REBECCA,,HANSEN,REBECCA,HANSEN,REBECCA,1121 14 1/2 ST,,WI,54812,(715) 418-9417,AFH,B,4,"$1,900.00","$3,500.00",,8-Jul-16,,,,,,X,,X,X,,,,
0018050,ACORN COTTAGE,2917 7TH STREET,BARRONETT,WI,54813,(715) 822-8385,BARRON,THON,LYNN,OAK VIEW ADULT FAMILY HOME CORP,PIEPER,JUDITH,PIEPER,JUDITH,PO BOX 44,,WI,54813,(715) 822-8385,NONAMBULATORY,B,4,"$7,300.00","$14,400.00",,21-Aug-20,,X,,,,X,X,X,X,,,,X
0018048,OAK BRANCH BUNGALOW,2913 7TH STREET,BARRONETT,WI,54813,,BARRON,THON,LYNN,OAK VIEW ADULT FAMILY HOME CORP,PIEPER,JUDITH,PIEPER,JUDITH,PO BOX 44,,WI,54813,(715) 822-8385,NONAMBULATORY,B,4,"$7,300.00","$14,400.00",,21-Aug-20,,X,,,,X,X,X,X,,,,X
0018051,OAK LEAF LODGE,2919 7TH STREET,BARRONETT,WI,54813,(715) 822-8385,BARRON,THON,LYNN,OAK VIEW ADULT FAMILY HOME CORP,PIEPER,JUDITH,PIEPER,JUDITH,PO BOX 44,,WI,54813,(715) 822-8385,NONAMBULATORY,B,4,"$7,300.00","$14,400.00",,21-Aug-20,,X,,,,X,X,X,X,,,,X
0018049,SAPLING SUITE,2915 7TH STREET,BARRONETT,WI,54813,(715) 822-8385,BARRON,THON,LYNN,OAK VIEW ADULT FAMILY HOME CORP,PIEPER,JUDITH,PIEPER,JUDITH,PO BOX 44,,WI,54813,(715) 822-8385,NONAMBULATORY,B,4,"$7,300.00","$14,400.00",,21-Aug-20,,X,,,,X,X,X,X,,,,X
590167,JUST LIKE HOME,1117 W STOUT STREET,CHETEK,WI,54728-,(715) 924-3632,BARRON,KOTZ,SONIA OR TED,,KOTZ,SONIA & TED,KOTZ,SONIA & TED,1117 W STOUT STREET,,WI,54728-,(715) 924-3632,AFH,B,4,"$3,000.00","$7,000.00",,9-Sep-98,,,,,,,X,,,,,X,X
0014623,LEWALLEN ADULT FAMILY HOME,2630 8 1/4 AVENUE,CHETEK,WI,54728-,(715) 924-3332,BARRON,LEWALLEN,MELISSA,,LEWALLEN,MELISSA,LEWALLEN,MELISSA,2630 8 1/4 AVENUE,,WI,54728-,(715) 924-3332,AFH,B,4,"$2,000.00","$4,800.00",,15-Jul-13,,,,,,X,,,X,,,X,X
0018459,WHOLE LIFE ASSISTED LIVING LLC,26 BIRD STREET,CHETEK,WI,54728,(715) 456-0631,BARRON,DAVIS,SADIE,WHOLE LIFE ASSISTED LIVING LLC,DAVIS,SADIE,DAVIS,SADIE,2852 20th STREET,,WI,54868,(715) 456-0631,NONAMBULATORY,B,4,"$3,100.00","$7,750.00",,6-Apr-21,,X,,,,X,,,X,,,X,
0016571,AUTUMN LEAVES ASSISTED LIVING ESTATES,1515 LLOYD ST,CUMBERLAND,WI,54829,(715) 296-9127,BARRON,WENGER,LAVERN,AUTUMN LEAVES ASSISTED LIVING ESTATES INC,WENGER,LAVERN,WENGER,LAVERN,1945 6 1/2 ST,,WI,54829,(715) 296-9127,NONAMBULATORY,B,4,"$3,500.00","$5,500.00",,24-May-17,,,,X,,X,X,,X,,,X,
0013309,THOMPSONS AFH,565 25 1/4 STREET,NEW AUBURN,WI,54757-,(715) 924-0156,BARRON,THOMPSON,PAMELA,,THOMPSON,PAMELA,THOMPSON,PAMELA,565 25 1/4 STREET,,WI,54757-,(715) 642-3841,AFH,B,4,"$2,800.00","$4,500.00",,6-Apr-11,,,,,,,,,X,,,X,X
590093,CIRCLE OF HOPE INC,180 WAYNE ST EAST,PRAIRIE FARM,WI,54762-,(715) 455-1883,BARRON,WIESNER,DIANA,CIRCLE OF HOPE INC,WIESNER,DIANA,WIESNER,DIANA,N364 EAU CLAIRE AVE,,WI,54762-,(715) 455-1250,AFH,F,4,"$3,000.00","$6,000.00",,1-Jul-92,,,,,,,,,X,,,,X
0016133,CCC HOMES BARKER HOUSE,510 E BARKER,RICE LAKE,WI,54868,,BARRON,JASICKI,JASON,CCC HOMES,JASICKI,JASON,JASICKI,CINDY,1909 22 1/2 ST,,WI,54868,(715) 790-7800,AFH,B,4,"$3,000.00","$10,000.00",,17-May-16,,,,X,,X,,,X,,,,X
0015807,CCC HOMES KERN HOUSE,730 KERN AVENUE,RICE LAKE,WI,54868,(715) 475-1081,BARRON,JASICKI,CINDY,CCC HOMES,JASICKI,CINDY,JASICKI,CINDY,1909 22 1/2 STREET,,WI,54868,(715) 790-7800,AFH,B,4,"$3,000.00","$10,000.00",,15-Aug-15,,,,X,,X,,,X,,,,X
0015556,CCC HOMES LTD NELSON HOME,831 NELSON DRIVE,RICE LAKE,WI,54868,(715) 790-7800,BARRON,JASICKI,JASON,CCC HOMES,JASICKI,JASON,JASICKI,CINDY,1909 22 1/2 STREET,,WI,54868,(715) 790-7800,AFH,B,4,"$4,000.00","$9,800.00",,1-Apr-15,,,,X,,X,,,X,,,,X
0017253,CHRISMARK HOME MOULLETTE,525 MOULLETTE DR,RICE LAKE,WI,54868,(715) 736-1112,BARRON,AMBORN,MICHELLE,CHRISMARK HOME LLC,BANT,STEPHEN,BANT,STEPHEN,1627 KERN AVENUE,,WI,54868,(715) 820-0383,AMBULATORY,B,4,"$2,800.00","$7,200.00",,14-Sep-18,,,,,,,,X,X,,,,
0016803,JB SIGNATURE HOMES LLC,706 CARSON STREET,RICE LAKE,WI,54868,(715) 296-5415,BARRON,BEYREIS,JEFFREY    L,JB SIGNATURE HOMES LLC,BEYREIS,JEFFREY,BEYREIS,JEFFREY,2386 23 1/2 AVE,,WI,54868,(715) 296-5415,AMBULATORY,B,4,"$17,279.00","$33,000.00",,31-Jan-18,,X,,X,,,X,X,X,,,,
0016171,JB SIGNATURE HOMES LLC,619 W MARSHALL ST,RICE LAKE,WI,54868,(715) 296-5415,BARRON,BEYREIS,JEFFREY,JB SIGNATURE HOMES LLC,BEYREIS,JEFFREY,BEYREIS,JEFFREY,618 CHAMBERLAIN ST,,WI,54868,(715) 296-5415,AMBULATORY,B,4,"$15,000.00","$16,718.00",,11-Oct-16,,,,X,,,X,X,X,,,,X
0012586,MITCHELLS FAMILY HOME,103 HILLTOP DR,RICE LAKE,WI,54868-,(715) 205-8091,BARRON,MITCHELL,STEPHEN,,MITCHELL,STEPHEN,MITCHELL,STEPHEN,103 HILLTOP DR,,WI,54868-,(715) 236-3423,AFH,M,4,"$2,116.00","$3,000.00",,1-Nov-08,,,,X,,,,X,X,,,,
0016271,WE CARE ASSISTED LIVING,2852 20TH ST,RICE LAKE,WI,54868,(715) 456-0631,BARRON,DAVIS,SADIE,,DAVIS,SADIE,DAVIS,SADIE,2852 20TH ST,,WI,54868,(715) 456-0631,NONAMBULATORY,B,4,"$2,100.00","$4,500.00",,8-Sep-16,,X,,,,X,,,X,,,X,
0017847,HIL TURNER,3279 BITTERS CT,ALLOUEZ,WI,54301,(920) 983-0014,BROWN,ZIEMENDORF,DAWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,MATZKE,LYNN,WILLIAMS,ASHLEY,1249 RUSSETT COURT,,WI,54313,(920) 499-2688,NONAMBULATORY,B,4,"$8,668.75","$10,341.66",,20-Jan-20,,X,,,,X,,,X,,,,X
0016606,GENUINE HEARTS LLC VALLEY VIEW AFH,1189 VALLEY  VIEW ROAD,ASHWAUBENON,WI,54304,(920) 227-1977,BROWN,SALDANA,ABEL,GENUINE HEARTS LLC,SALDANA,ABEL,SALDANA,ABEL,611 HOWARD STREET,,WI,54303,(920) 227-1977,AMBULATORY,B,4,"$10,400.00","$17,973.00",,26-Apr-17,,X,,X,,,,X,X,,,,
0010986,CLARITY CARE PATRIOT WAY,1711-1713 PATRIOT WAY,DE PERE,WI,54115,(920) 339-0156,BROWN,HAMEISTER,BARBARA,CLARITY CARE INC,SALEMI,BARB,SALEMI,BARB,424 WASHINGTON AVE,,WI,54901,(920) 236-6560,AFH,B,4,"$6,183.40","$6,719.35",,10-May-05,,X,,X,,X,X,X,X,,,X,X
0018196,DEBRA PROGRAM,1953 DICKINSON ROAD,DE PERE,WI,54115,(920) 351-3149,BROWN,SWARTZ,ERICA,UNLIMITED POSSIBILITIES,SWARTZ,ERICA,SWARTZ,ERICA,1221 BELLEVUE STREET SUITE 203,,WI,54302,(920) 455-0076,NONAMBULATORY,B,4,"$4,500.00","$24,000.00",,10-Dec-20,,X,X,X,,X,X,X,X,,X,X,X
0011412,ILS MORNING GLORY HOME,803 MORNING GLORY LANE,DE PERE,WI,54115-,(920) 347-9299,BROWN,SIMON SR,MICHAEL,IMPROVED LIVING SERVICES LLC,SIMON SR,MICHAEL J,SIMON SR,MICHAEL J,999 N MILITARY AVE,,WI,54115-,(920) 430-7392,AFH,M,4,"$5,475.00","$6,326.00",,1-May-06,,X,,,,,,X,X,,,,X
0017811,KIMBROUGH ADULT FAMILY HOME LLC,209 CAVIL WAY,DE PERE,WI,54115,(920) 632-4031,BROWN,KIMBROUGH,ELLEN,KIMBROUGH ADULT FAMILY HOME LLC,KIMBROUGH,ELLEN,KIMBROUGH,ELLEN,209 CAVIL WAY,,WI,54115,(920) 632-4031,AMBULATORY,B,4,"$6,720.00","$6,720.00",,30-Jul-20,,X,,X,,,X,X,X,,X,,X
0018025,CURO CARE MANDALAY,863 MANDALAY TERRACE,DEPERE,WI,54115,(920) 639-1060,BROWN,DUGAN,DIANE,CURO CARE LLC,DUGAN,DIANE,DUGAN,DIANE,802 BOMIER STREET,,WI,54115,(920) 639-1060,AMBULATORY,B,4,"$5,000.00","$6,500.00",,10-Apr-20,,X,,,,,,,X,,,,X
0015868,RIVER TRAIL ADULT FAMILY HOME,2211 RIVER TRAIL CT,DEPERE,WI,54115,(920) 217-3386,BROWN,BRAYTON,MARY,,BRAYTON,MARY,BRAYTON,MARY,2211 RIVER TRAIL CT,,WI,54115,(920) 217-3386,AFH,M,4,"$1,500.00","$3,000.00",,30-Sep-15,,,,X,,,,,X,,,,X
0014295,ANITA ADULT FAMILY HOME,1849 BURNS AVE,GREEN BAY,WI,54303-,(920) 434-2581,BROWN,CHRISTENSEN,ANITA,,CHRISTENSEN,ANITA,CHRISTENSEN,ANITA,1849 BURNS AVE,,WI,54303-,(920) 434-2581,AFH,B,4,"$2,572.07","$3,508.27",,1-Oct-12,,,,X,,,,,X,,,,X
0012462,BRENNER PLACE,2461 BRENNER PL,GREEN BAY,WI,54301-,(920) 857-9772,BROWN,BRUSS,RON,BRUSS SUPPORTIVE COMMUNITY LIVING INC,BRUSS,RON,BRUSS,RON,3501 DELAHAUT ST,,WI,54301-,(920) 606-0588,AFH,M,4,"$3,366.00","$5,295.00",,11-Aug-08,,,,X,,,,X,X,,,,X
0013368,CHARITY LANE ADULT FAMILY HOME,352 CHARITY LN,GREEN BAY,WI,54311-,(920) 465-3661,BROWN,ANDERSON,STEPHANIE,INNOVATIVE SERVICES INC,RAY,DENNIS ALLEN,ROWLAND,JILL,2321 SAN LUIS PLACE,,WI,54311-,(920) 431-0962,AFH,B,4,"$5,787.68","$5,858.55",,29-Jun-10,,X,,X,,X,,,X,,,X,X
0016130,CHESTNUT HOME,611 N CHESTNUT AVE,GREEN BAY,WI,54303,(920) 606-0588,BROWN,BRUSS,RONALD,BRUSS SUPPORTIVE COMMUNITY LIVING INC,BRUSS,RONALD,BRUSS,RONALD,3501 DELAHAUT STREET,,WI,54301,(920) 606-0588,AMBULATORY,B,4,"$3,366.00","$5,295.00",,11-Oct-16,,,,X,,,,,X,,,,
0011330,CORNERSTONE ADULT FAMILY HOME,335 GRAASS STREET,GREEN BAY,WI,54301-,(920) 412-5444,BROWN,BOLL,MARIA  JEFFREY,BOLL ADULT CARE CONCEPTS INC,BOLL,MARIA & JEFFREY,BOLL,MARIA,1112 DAISY LN,,WI,54304,(920) 412-5444,AFH,B,4,"$6,200.00","$7,500.00",,27-Mar-06,,,X,X,,X,X,X,X,,X,X,X
0014005,CURO CARE LLC ROCKDALE ADULT FAMILY HOME,1410 ROCKDALE ST,GREEN BAY,WI,54304-,(920) 544-8334,BROWN,WEYENBERG,DIANE,CURO CARE LLC,WEYENBERG,DIANE,DUGAN,DIANE,1410 ROCKDALE ST,,WI,54304-,(920) 639-1060,AFH,B,4,"$6,276.00","$8,299.00",,9-Feb-12,,X,,,,,,X,X,,,,X
0016615,CURO CARE ROLLING GREEN 1,912 ROLLING GREEN DRIVE,GREEN BAY,WI,54313,(920) 544-5367,BROWN,DUGAN,DIANE,Curo Care LLC,DUGAN,DIANE,DUGAN,DIANE,1410 ROCKDALE STREET,,WI,54304,(920) 544-8334,AMBULATORY,B,4,"$6,250.00","$6,250.00",,13-Apr-17,,X,,,,,,X,X,,,X,X
0009645,EMPOWERMENT OPTIONS AFH,3045 COLLEEN DR,GREEN BAY,WI,54311-,(920) 884-9863,BROWN,MELOTTE,MICHAEL G,EMPOWERMENT OPTIONS,MELOTTE II,MICHAEL G,MELOTTE II,MICHAEL G,3045 COLLEEN DR,,WI,54311-,(920) 366-1187,AFH,B,4,"$4,726.00","$5,985.00",,11-Jun-02,,X,,,,,,X,X,,,,
0016331,ENRICHED LIFESTYLES LLC,1047 ST LAWRENCE DR,GREEN BAY,WI,54311,(920) 965-2989,BROWN,MELOTTE,KRISTA,ENRICHED LIFESTYLES LLC,MELOTTE,KRISTA,MELOTTE,KRISTA,445 MASTERS LANE,,WI,54311,(920) 609-0353,AMBULATORY,B,4,"$5,000.00","$8,000.00",,8-Dec-16,,X,,,,,,X,X,,,,X
0017727,ENRICHED LIFESTYLES LLC HEMLOCK,2448 HEMLOCK ST,GREEN BAY,WI,54311,(920) 609-0353,BROWN,MELOTTE,KRISTA,ENRICHED LIFESTYLES LLC,MELOTTE,KRISTA,MELOTTE,KRISTA,455 MASTERS LN,,WI,54311,(920) 609-0353,AMBULATORY,B,4,"$5,500.00","$8,000.00",,19-Jul-19,,X,,,,,,X,X,,,,X
0015660,FOREST GLEN,1628 FOREST GLEN,GREEN BAY,WI,54313,(920) 884-9574,BROWN,HAMEISTER,BARBARA,CLARITY CARE INC,SALEMI,BARB,SALEMI,BARB,424 WASHINGTON AVE,,WI,54901,(920) 236-6560,AFH,B,4,"$3,595.86","$6,210.17",,13-Jul-15,,X,,X,,X,X,X,X,,,X,X
0013720,GARDEN PLACE,2464/2466 GARDEN HEIGHTS CT,GREEN BAY,WI,54311-,(920) 857-3420,BROWN,MAYVILLE,JENNY,PRODUCTIVE LIVING SYSTEMS INC,SCHROEDER,JIM/DANA,MAYVILLE,JENNY,619 N LYNNDALE DRIVE,,WI,54311-,(715) 831-3910,AFH,B,4,"$8,263.00","$8,263.00",,3-May-11,,X,,,,,,X,X,,,,X
0016949,GENUINE HEARTS LLC FOREST GLEN AFH,1620 FOREST GLEN DR,GREEN BAY,WI,54304,(920) 461-8138,BROWN,SALDANA,ABEL,GENUINE HEARTS LLC,SALDANA,ABEL,SALDANA,ABEL,610 HOWARD ST,,WI,54303,(920) 461-8138,AMBULATORY,B,4,"$6,200.00","$8,200.00",,25-Apr-18,,X,,X,,,,X,X,,,,
0010591,GLEN CREEK ADULT FAMILY HOME,1579 GLEN RD,GREEN BAY,WI,54313-,(920) 412-5444,BROWN,BOLL,MARIA,BOLL ADULT CARE CONCEPTS INC,BOLL,MARIA & JEFFREY,BOLL,MARIA,1112 DAISY LN,,WI,54304,(920) 412-5444,AFH,B,4,"$6,200.00","$7,500.00",,3-Jun-04,,,,X,,,,X,X,,,,X
0010935,GREEN ISLE HOME,2679 GREEN ISLE CT,GREEN BAY,WI,54301-,(920) 430-7290,BROWN,ANDERSON,STEPHANIE,INNOVATIVE SERVICES INC,RAY,DENNIS ALLEN,ROWLAND,JILL,2321 SAN LUIS PLACE,,WI,54301-,(920) 431-0962,AFH,B,4,"$5,392.00","$6,001.00",,28-Apr-05,,X,X,X,,X,X,X,X,,,X,X
0013038,HANNAH II ADULT FAMILY HOME,1276 HANNAH ST,GREEN BAY,WI,54303-,(920) 406-6068,BROWN,ANDERSON,STEPHANIE,INNOVATIVE SERVICES INC,RAY,DENNIS A,ROWLAND,JILL,2321 SAN LUIS PLACE,,WI,54303-,(920) 431-0962,AFH,B,4,"$5,635.60","$6,414.27",,19-Oct-09,,X,X,X,,X,X,X,X,,,X,X
0012935,HANNAH STREET ADULT FAMILY HOME,1281 HANNAH ST,GREEN BAY,WI,54303-,(920) 499-0272,BROWN,ANDERSON,STEPHANIE,INNOVATIVE SERVICES INC,RAY,DENNIS A,ROWLAND,JILL,2321 SAN LUIS PLACE,,WI,54303-,(920) 431-0962,AFH,B,4,"$5,278.68","$5,793.59",,4-Aug-09,,X,X,,,X,X,X,X,,,X,X
0016376,HAPPY HOUSE,722 S MONROE AVE,GREEN BAY,WI,54301,(920) 785-0642,BROWN,SMET,JEFFREY PAUL,,SMET,JEFFREY PAUL,SMET,JEFFREY PAUL,722 S MONROE AVE,,WI,54301,(920) 328-8912,AMBULATORY,B,4,"$2,000.00","$4,000.00",,2-Feb-17,,,,X,,,,X,X,,,X,X
0011977,HIL CLAYTON PLACE,1009 CLAYTON PL,GREEN BAY,WI,54302-,(920) 288-0411,BROWN,SCHWENDEMANN,LISA,HOMES FOR INDEPENDENT LIVING OF WI LLC,BALESTRIERI,JAMES G,WILLIAMS,ASHLEY,1249 RUSSETT COURT,,WI,54313,(262) 569-5515,AFH,B,3,"$11,312.00","$11,312.00",,1-Jun-07,,,,X,,,,,X,,,,X
0018078,HIL COOPERS RUN,2460 FORESTVILLE DRIVE,GREEN BAY,WI,54304,(920) 857-3750,BROWN,ZIEMENDORF,DAWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,BALESTRIERI,JAMES G,WILLIAMS,ASHLEY,1249 RUSSETT COURT,,WI,54313,(262) 569-5515,AMBULATORY,B,4,"$9,885.42","$9,885.42",,13-May-20,,,,,,,,X,X,,,,X
0011024,HIL GLENHAVEN,518 E BRIAR LANE,GREEN BAY,WI,54301-,(920) 337-1984,BROWN,ZIEMENDORF,DAWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,BALESTRIERI,JAMES G,WILLIAMS,ASHLEY,1249 RUSSETT COURT,,WI,54313,(262) 569-5515,AFH,B,4,"$7,814.00","$7,814.00",,12-Jul-05,,,,X,,,,,X,,,,X
0009738,HIL SHADE TREE,1216 ST AGNES DR,GREEN BAY,WI,54304-,(920) 490-4723,BROWN,ZIEMENDORF,DAWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,BALESTRIERI,JAMES G,WILLIAMS,ASHLEY,1249 RUSSETT COURT,,WI,54313,(262) 569-5515,AFH,B,4,"$14,211.00","$14,211.00",,18-Feb-02,,,,X,,,,X,X,,,,X
0013712,ILS FISK HOME,425 N FISK ST,GREEN BAY,WI,54303-,(920) 430-7392,BROWN,SIMON,MICHAEL,IMPROVED LIVING SERVICES LLC,SIMON SR,MICHAEL J,SIMON SR,MICHAEL J,999 N MILITARY AVE,,WI,54303-,(920) 430-7392,AFH,F,4,"$5,500.00","$6,500.00",,19-May-11,,X,,,,,,X,X,,,,X
0012719,JORDAN POINTE AFH,1647 BIEMERT ST,GREEN BAY,WI,54304-,(920) 965-1293,BROWN,LA POINTE,KEVIN,COMPASS DEVELOPMENT LLC,LA POINTE,KEVIN,LA POINTE,KEVIN,2029 TRUE LN,,WI,54304,(920) 405-9010,AFH,B,4,"$5,200.00","$6,000.00",,13-Mar-09,,X,,X,,,,,X,,,,X
0009984,LASALLE HOUSE,2608 FINGER RD,GREEN BAY,WI,54302-,(920) 468-1033,BROWN,MAYVILLE,JENNY,PRODUCTIVE LIVING SYSTEMS INC,SCHROEDER,JAMES C,MAYVILLE,JENNY,619 N LYNNDALE DRIVE,,WI,54302-,(715) 831-3910,AFH,B,4,"$7,361.00","$7,361.00",,3-Mar-03,,X,,,,,,X,X,,,,X
0016804,LIMITLESS POSSIBILITIES ROSE,164 ROSE LANE,GREEN BAY,WI,54302,(920) 489-2440,BROWN,DIHEL,KEVIN,LIMITLESS POSSIBILITIES LLC,GUDWER,BILL,GUDWER,BILL,302 S BLUEMOUND DR,,WI,54914,(920) 230-2550,AMBULATORY,B,4,"$9,885.00","$12,896.00",,11-Sep-17,,X,,,,,,X,X,,,,
0016642,LIMITLESS POSSIBILITIES TROJAN,2466 TROJAN DR,GREEN BAY,WI,54304,,BROWN,DIHEL,KEVIN,LIMITLESS POSSIBILITIES LLC,GUDWER,BILL,GUDWER,BILL,302 S BLUEMOUND DR,,WI,54914,(920) 230-2550,AMBULATORY,B,4,"$7,604.00","$10,129.00",,26-Jul-17,,X,,X,,,,X,X,,,,
0015598,LOCUST ADULT FAMILY HOME,1030 LOCUST ST,GREEN BAY,WI,54303,(920) 544-5367,BROWN,DUGAN,DIANE,CURO CARE LLC,DUGAN,DIANE,DUGAN,DIANE,1410 ROCKDALE ST,,WI,54304,(920) 639-1060,AFH,B,4,"$5,500.00","$6,000.00",,12-May-15,,X,,,,,,X,X,,,,X
0011027,MIRAGE POINTE AFH,1315  MIRAGE DR,GREEN BAY,WI,54313-,(920) 884-3284,BROWN,LAPOINTE,KEVIN,COMPASS DEVELOPMENT LLC,LAPOINTE,KEVIN,LAPOINTE,KEVIN,PO BOX 11447,,WI,54313-1447,(920) 405-9010,AFH,B,4,"$5,250.00","$5,500.00",,24-Jun-05,,X,,X,,,,X,X,,,,X
0018210,NATURAL LIVING ADULT FAMILY HOME LLC,660 DOST COURT,GREEN BAY,WI,54311,(920) 857-3480,BROWN,BERG,JORDAN,NATURAL LIVING ADULT FAMILY HOME LLC,BERG,JORDAN,BERG,JORDAN,745 LONGVIEW AVENUE,,WI,54301,(920) 680-2374,AMBULATORY,B,4,"$4,200.00","$6,000.00",,2-Nov-20,,X,,,,,,X,X,,,,X
