Facility ID,Facility Name,Street,City,State,Zip Code,Phone Number,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,Mailing Street,Mailing City,Mailing State,Mailing Zip Code,Licensee Phone Number,Class,Gender,Capacity,Low Rate,High Rate,Date Probationary Issued,Date Regular Issued,Region,Waiver Certified Independent CBRF Apartments,Traumatic Brain Injury,Terminally Ill,Public Funding,Pregnant Women Counselling,Physically Disabled,Irreversible Dementia Alzeimers,Emotionally Disturbed Mental Illness,Developmentally Disabled,Correctional Clients,Alcohol Drug Dependent,Advanced Aged,HCBS Compliant
9905,NEW BEGINNINGS OF BARRON COUNTY INC,4 CORNELL AVENUE,RICE LAKE,WI,54868,(715) 736-1311,BARRON,ANDERSON,RENEE,NEW BEGINNINGS OF BARRON COUNTY INC,,,ANDERSON,RENEE,4 CORNELL AVE,RICE LAKE,WI,54868,(715) 736-1311,CLASS AA (AMBULATORY),B,8,3300,6000,19-Dec-02,1-Jul-03,NORTHWESTERN REGION,,,,X,,,,X,,,,,X
18291,NORTHWOOD GABLES,1464 21ST AVENUE,RICE LAKE,WI,54868,(715) 234-9415,BARRON,AMBORN,MICHELLE,CARE MANAGEMENT LLC,BANT,STEPHEN,BANT,STEPHEN,1814 AUGUSTA STREET,RICE LAKE,WI,54868,(715) 820-0383,CLASS AA (AMBULATORY),B,8,2790,7750,,22-Jan-21,NORTHWESTERN REGION,,,,,,,,X,X,,,,X
13421,OUR HOUSE RICE LAKE ASSISTED CARE,415 E SOUTH ST,RICE LAKE,WI,54868-,(715) 236-7211,BARRON,METHENY,LAUREN,KSMS OUR HOUSE LLC,,,NARDIN,LORI,4350 156TH STREET,CHIPPEWA FALLS,WI,54868-,(317) 280-8455,CLASS CNA (NONAMBULATORY),B,20,3525,3859,30-Sep-10,1-Oct-11,NORTHWESTERN REGION,,,,X,,,X,,,,,X,X
13426,OUR HOUSE RICE LAKE MEMORY CARE,413 E SOUTH ST,RICE LAKE,WI,54868-,(715) 736-0347,BARRON,METHENY,LAUREN,KSMS OUR HOUSE LLC,,,NARDIN,LORI,4350 156TH STREET,CHIPPEWA FALLS,WI,54868-,(317) 280-8455,CLASS CNA (NONAMBULATORY),B,24,4075,4075,30-Sep-10,1-Oct-11,NORTHWESTERN REGION,,,,X,,,X,,,,,X,X
18417,VISTA PRAIRIE AT BRENTWOOD,633 CAMERON ROAD,RICE LAKE,WI,54868,(715) 736-7400,BARRON,NELSON,TRICIA,Vista Prairie at Brentwood LLC,Bettendorf,James,Bettendorf,James,7100 Northland Circle North,Brooklyn Park,MN,55428,(952) 837-0540,CLASS CNA (NONAMBULATORY),B,20,5120,6000,11-Mar-21,,NORTHWESTERN REGION,,,X,X,,X,X,,,,,X,
12947,WOODSTONE SENIOR LIVING CBRF,950 BEAR PAW AVENUE,RICE LAKE,WI,54868-,(715) 736-6060,BARRON,LOISELLE,AUDREY,WELCOME HOME HEALTH CARE INC,,,WORK,JACOB,PO BOX 172,HUTCHINSON,MN,54868-,(320) 587-0005,CLASS CNA (NONAMBULATORY),B,39,4887,6887,18-Sep-09,28-Sep-10,NORTHWESTERN REGION,,,,,,,X,,,,,X,X
13334,WILLOW MANOR,68290 N DISTRICT ST,IRON RIVER,WI,54847-,(715) 372-5005,BAYFIELD,HOGFELDT,SHARON,WILLOW MANOR INC,,,HOGFELDT,SHARON,68290 N DISTRICT ST,IRON RIVER,WI,54847-,(715) 372-5005,CLASS CS (SEMIAMBULATORY),B,8,3000,4000,1-Sep-10,1-Sep-11,NORTHWESTERN REGION,,,,X,,,,,,,,X,
12705,OAKS AT NORTHERN LIGHTS (THE),702 BRATLEY DR,WASHBURN,WI,54891-,(715) 373-5621,BAYFIELD,BRILLA,AMANDA,NORTHERN LIGHTS SERVICES,,,Brilla,Amanda,706 BRATLEY DR,WASHBURN,WI,54891-,(715) 373-5621,CLASS CNA (NONAMBULATORY),B,17,3500,3900,20-Mar-09,1-Apr-10,NORTHWESTERN REGION,,,,X,,,X,,,,,X,
17364,COURTYARD AT BELLEVUE (THE),1600 HOFFMAN ROAD,BELLEVUE,WI,54311,,BROWN,FREDERICK,LINDSAY,BELLEVUE ASSISTED LIVING LLC,OSTROM,THOMAS,OSTROM,THOMAS,101 N WACKER DR STE 616,CHICAGO,IL,60606,(312) 462-4462,CLASS CNA (NONAMBULATORY),B,48,3000,9000,15-Feb-19,1-Feb-20,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,
17309,ANGELS TOUCH ASSISTED LIVING,394 ANGELS TOUCH CT,DE PERE,WI,54115,(920) 336-9137,BROWN,MANTIK,DOLORES,CB HEALTHCARE MANAGEMENT LLC,KRESOVIC,MILAN,MANTIK,DOLORES,394 ANGELS TOUCH CT,DE PERE,WI,54115,(262) 312-8355,CLASS CNA (NONAMBULATORY),B,22,5000,5700,,14-Aug-18,NORTHEASTERN REGION,,X,X,X,,X,X,X,,,,X,
17308,ANGELS TOUCH ASSISTED LIVING,1350 ANGELS TOUCH CT,DE PERE,WI,54115,(920) 336-9137,BROWN,MANTIK,DOLORES,CB HEALTHCARE MANAGEMENT LLC,KRESOVIC,MILAN,MANTIK,DOLORES,1350 ANGELS TOUCH CT,DE PERE,WI,54115,(262) 312-8355,CLASS CNA (NONAMBULATORY),B,22,5000,5700,,14-Aug-18,NORTHEASTERN REGION,,X,X,X,,X,X,X,,,,X,
17307,ANGELS TOUCH ASSISTED LIVING,400 ANGELS TOUCH CT,DE PERE,WI,54115,(920) 336-9137,BROWN,MANTIK,DOLORES,CB HEALTHCARE MANAGEMENT LLC,KRESOVIC,MILAN,MANTIK,DOLORES,400 ANGELS TOUCH CT,DE PERE,WI,54115,(262) 312-8355,CLASS CNA (NONAMBULATORY),B,22,5000,5700,,14-Aug-18,NORTHEASTERN REGION,,X,X,X,,X,X,X,,,,X,
16750,BURGOYNE COURT I,1725 BURGOYNE COURT,DE PERE,WI,54115,(920) 337-6266,BROWN,ANDERSON,STEPHANIE,INNOVATIVE SERVICES INC,ROWLAND,JILL,ROWLAND,JILL,2321 SAN LUIS PLACE,GREEN BAY,WI,54304,(920) 431-0962,CLASS CNA (NONAMBULATORY),B,8,5048,6084,,25-Sep-17,NORTHEASTERN REGION,,X,X,X,,X,X,X,X,,,X,X
16751,BURGOYNE COURT II,1743 BURGOYNE COURT,DE PERE,WI,54115,(920) 337-6266,BROWN,ANDERSON,STEPHANIE,INNOVATIVE SERVICES INC,ROWLAND,JILL,ROWLAND,JILL,2321 SAN LUIS PLACE,GREEN BAY,WI,54304,(920) 431-0962,CLASS CNA (NONAMBULATORY),B,8,5048,6084,,25-Sep-17,NORTHEASTERN REGION,,X,X,,,X,X,X,X,,,X,X
17259,CARATON COMMONS 1,1550 ARCADIAN LN,DE PERE,WI,54115,(920) 339-0601,BROWN,LUNDQUIST,JENNALEE,SENIOR OPPORTUNITY FUND OPERATIONS I LLC,ALMQUIST,GREG,DEY,JACKIE,1889 COMMERCE DRIVE,DE PERE,WI,54115,(678) 445-2300,CLASS CNA (NONAMBULATORY),B,20,2600,4800,1-May-19,1-May-20,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,X
17258,CARATON COMMONS 2,1500 ARCADIAN LN,DE PERE,WI,54115,(920) 339-0601,BROWN,LUNDQUIST,JENNALEE,SENIOR OPPORTUNITY FUND OPERATIONS I LLC,ALMQUIST,GREG,DEY,JACKIE,1889 COMMERCE DR,DE PERE,WI,54115,(678) 445-2300,CLASS CNA (NONAMBULATORY),B,20,2600,4800,1-May-19,1-May-20,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,X
17257,CARATON COMMONS 3,1525 ARCADIAN LN,DE PERE,WI,54115,(920) 339-0601,BROWN,LUNDQUIST,JENNALEE,SENIOR OPPORTUNITY FUND OPERATIONS I LLC,ALMQUIEST,GREG,DEY,JACKIE,1889 COMMERCE DR,DE PERE,WI,54115,(678) 445-2300,CLASS CNA (NONAMBULATORY),B,20,2600,4800,1-May-19,1-May-20,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,X
410174,OAKS FAM CARE CTR GRANT ST,1527 GRANT ST,DE PERE,WI,54115-,(920) 336-3155,BROWN,GARBISCH,CYNDI,G & I OCHS INC DBA OAKS FAMILY CARE CENTERS,GARBISCH,CYNDI,GARBISCH,CYNDI,550 N MILITARY AVE STE 13,GREEN BAY,WI,54115-,(920) 497-0194,CLASS CA (AMBULATORY),M,6,3105,4489,9-Dec-88,9-Apr-89,NORTHEASTERN REGION,,,,X,,,,,X,,,,X
17321,RESIDENCE BY RENNES,1150 LOIS ST,DE PERE,WI,54115,(920) 983-5200,BROWN,MILLER,MICHAEL,RENNES ASSISTED LIVING CORP,HAWKINS,CHUCK,MILLER,MICHAEL,1150 LOIS ST,DE PERE,WI,54115,(715) 582-2258,CLASS CNA (NONAMBULATORY),B,26,5000,6200,29-Aug-18,1-Sep-19,NORTHEASTERN REGION,,,,,,,X,,,,,X,
17590,SAGE MEADOW DEPERE,1880 SCHEURING ROAD,DE PERE,WI,54115,(920) 338-3407,BROWN,MARTENS-MANNS,JAMIE,A6 DE PERE LLC,OSTROM,THOMAS,OSTROM,THOMAS,101 N WACKER DRIVE  STE 616,CHICAGO,IL,60606,(312) 462-4462,CLASS CNA (NONAMBULATORY),B,44,3000,9000,30-May-19,1-Jun-20,NORTHEASTERN REGION,,,X,,,,X,,,,,X,X
15623,SCANDINAVIAN COURT ASSISTED LIVING,346 SCANDINAVIAN CT,DENMARK,WI,54208,(920) 863-5362,BROWN,MERKLEY,DAVE,DENMARK SENIOR LIVING INC,GURRIERI,JOHN,JOHNSON,LEE,1675 E RIVERSIDE DR STE 150,EAGLE,ID,83616,(920) 863-5362,CLASS CNA (NONAMBULATORY),B,20,2407,5500,1-Aug-15,1-Aug-16,NORTHEASTERN REGION,,,,X,,,X,,,,,X,X
16365,HIL FOX RUN,1744 BURGOYNE CT,DEPERE,WI,54115,(920) 983-9592,BROWN,ZIEMENDORF,DAWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,BALESTRIERI,JAMES,WILLIAMS,ASHLEY,1249 RUSSETT COURT,GREEN BAY,WI,54313,(920) 499-2688,CLASS CNA (NONAMBULATORY),B,8,6303,6303,,20-Mar-17,NORTHEASTERN REGION,,,,X,,,,,X,,,,X
11996,ACS GREEN BAY,2670 UNIVERSITY AVE,GREEN BAY,WI,54311-,(920) 469-2569,BROWN,MOREIN,LANE,ACS CLINICAL SERVICES LLC,,,MOREIN,LANE,2670 UNIVERSITY AVE,GREEN BAY,WI,54311,(608) 223-0017,CLASS AS (SEMIAMBULATORY),B,20,2374,2629,,31-Aug-07,NORTHEASTERN REGION,,,,,,,,,,X,X,,
15841,ALLOUEZ PARKSIDE  VILLAGE 2,1901 LIBAL STREET,GREEN BAY,WI,54301,(920) 432-3322,BROWN,VAN DINTER,ASHLEY,ASSISTED LIVING  BY HILLCREST,DOOLITTLE,AMY,DORO,AMY,1889 COMMERCE DRIVE,DEPERE,WI,54115,(920) 784-0195,CLASS CNA (NONAMBULATORY),B,64,4900,5500,29-Oct-15,30-Nov-16,NORTHEASTERN REGION,,,X,X,,X,X,,,,,X,
17630,ALLOUEZ PARKSIDE VILLAGE 1 LLC,1901 LIBAL ST,GREEN BAY,WI,54301,(920) 430-8500,BROWN,VAN DINTER,ASHLEY,ASSISTED LIVING BY HILLCREST,DORO,AMY,VAN DINTER,ASHLEY,1889 COMMERCE DR,DEPERE,WI,54115,(920) 850-5235,CLASS CNA (NONAMBULATORY),B,65,3500,8000,,11-Jul-19,NORTHEASTERN REGION,,,X,X,,X,X,,,,,X,X
13802,ALPHA SENIOR CONCEPTS,2723 LINEVILLE RD,GREEN BAY,WI,54313-,(920) 393-4531,BROWN,LINDNER,JENNIE,AVIEW SENIOR LIVING INC,HOWARD,JEAN,LINDNER,JENNIE,2723 LINEVILLE RD,GREEN BAY,WI,54313-,(920) 366-6221,CLASS CNA (NONAMBULATORY),B,50,4500,6750,7-Oct-11,1-Oct-12,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,X
14514,AUTUMNS PROMISE ASSISTED LIVING LLC,1700 SPARTAN RD,GREEN BAY,WI,54311-,(920) 465-1181,BROWN,SILTA,NICOLE,,LUTZ,GINGER K,LUTZ,GINGER,436 MCAULIFFE HEIGHTS TRAIL,GREEN BAY,WI,54311-,(920) 615-5523,CLASS CNA (NONAMBULATORY),B,30,4701,,6-Jun-13,1-Jun-14,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,X
410493,BISHOPS COURT,289 E ST JOSEPH ST,GREEN BAY,WI,54301-,(920) 435-2729,BROWN,BEYER,ELISABETH,ALPHA FAMILY LIM PARTNERSHIP,,,BEYER,ELISABETH,289 E ST JOSEPH  ST,GREEN BAY,WI,54301-,(920) 337-2450,CLASS CNA (NONAMBULATORY),B,69,3200,4500,23-Sep-97,1-Apr-98,NORTHEASTERN REGION,X,,X,X,,,X,,,,,X,
15319,BORNEMANN CBRF NORTH,1866 BROOK ST,GREEN BAY,WI,54302,(920) 406-9850,BROWN,SEGHERS,MIRANDA,BORNEMANN CBRF N OPERATING COMPANY LLC,HERATY,JONATHAN,BAUM,LEXIE,226 BORNEMANN ST,GREEN BAY,WI,54302,(716) 748-7888,CLASS CNA (NONAMBULATORY),B,20,4410,5363,1-Dec-14,,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,X
15320,BORNEMANN CBRF SOUTH,1853 MILLS ST,GREEN BAY,WI,54302,(920) 468-3110,BROWN,SEGHERS,MIRANDA,BORNEMANN CBRF S OPERATING COMPANY LLC,HERATY,JONATHAN J,BAUM,LEXIE,226 BORNEMANN ST,GREEN BAY,WI,54302,(716) 748-7888,CLASS CNA (NONAMBULATORY),B,20,4350,5270,1-Dec-14,1-Dec-15,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,X
14737,BROWN CO COMMUNITY TREATMENT CENTER BAY HAVEN,3150 GERSHWIN DR,GREEN BAY,WI,54311,(920) 391-4701,BROWN,SMITH,ANISSA,BROWN COUNTY COMMUNITY TREATMENT CENTER,,,SMITH,ANISSA,3150 GERSHWIN DR,GREEN BAY,WI,54311,(920) 391-4700,CLASS CS (SEMIAMBULATORY),B,15,6000,20160,13-Dec-13,,NORTHEASTERN REGION,,,,,,,,X,X,,X,,
16562,BUFFLEHEAD LANE,2084 BUFFLEHEAD LN,GREEN BAY,WI,54311,(920) 465-9410,BROWN,ANDERSON,STEPHANIE,INNOVATIVE SERVICES INC,ROWLAND,JILL,ROWLAND,JILL,2321 SAN LUIS PLACE,GREEN BAY,WI,54304,(920) 431-0962,CLASS CNA (NONAMBULATORY),B,8,4954,5472,,6-Jun-17,NORTHEASTERN REGION,,X,X,X,,X,X,X,X,,,X,X
17255,CARATON COMMONS GREEN BAY 1,653 WOODSIDE RD,GREEN BAY,WI,54311,(920) 406-7600,BROWN,LUNDQUIST,JENNALEE,SENIOR OPPORTUNITY FUND OPERATIONS I LLC,ALMQUIST,GREG,DEY,JACKIE,1889 COMMERCE DR,DE PERE,WI,54115,(678) 445-2300,CLASS CNA (NONAMBULATORY),B,15,2500,4400,1-May-19,1-May-20,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,X
17256,CARATON COMMONS GREEN BAY 2,655 WOODSIDE RD,GREEN BAY,WI,54311,(920) 406-7600,BROWN,LUNDQUIST,JENNALEE,SENIOR OPPORTUNITY FUND OPERATIONS I LLC,ALMQUIEST,GREG,DEY,JACKIE,1889 COMMERCE DR,DE PERE,WI,54115,(678) 445-2300,CLASS CNA (NONAMBULATORY),B,15,2500,4400,1-May-19,1-May-20,NORTHEASTERN REGION,,,X,,,X,X,,,,,X,X
10029,CARDINAL RIDGE RESIDENTIAL CARE,713 CARDINAL LANE,GREEN BAY,WI,54313-,(920) 434-9600,BROWN,DAULT,KAYLYN,CARDINAL RIDGE RESIDENTIAL CARE,ANDERSON,LARRY,DAULT,KAYLYN,PO BOX 11966,GREEN BAY,WI,54313-1966,(920) 434-9600,CLASS CNA (NONAMBULATORY),B,26,3850,5270,1-Apr-03,1-Oct-03,NORTHEASTERN REGION,,,,,,,X,,X,,,X,X
18090,CARRINGTON ASSISTED LIVING,2626 FINGER ROAD,GREEN BAY,WI,54302,(920) 469-2606,BROWN,SLAYTON,NICOLE,ARMH LEASECO 1 LLC,RUSSELL,KEVIN,SCHACHT,KAREN,328 NATURE PI,JOHNSON CREEK,WI,53038,(858) 500-6793,CLASS CNA (NONAMBULATORY),B,20,4295,6295,27-May-20,1-Jun-21,NORTHEASTERN REGION,,,,,,,X,,,,,X,X
14023,CENTURY RIDGE OF GREEN BAY I,2498 BLUESTONE PL,GREEN BAY,WI,54311-,(920) 468-2520,BROWN,CRAWFORD,JENNIFER,CENTURY RIDGE OF GREEN BAY INC,,,BAETEN,JILL,2498 BLUESTONE PL,GREEN BAY,WI,54311-,(920) 468-2520,CLASS CNA (NONAMBULATORY),B,20,2400,3200,,10-May-12,NORTHEASTERN REGION,,,X,X,,,X,,,,,X,X
14024,CENTURY RIDGE OF GREEN BAY II,2510 BLUESTONE PL,GREEN BAY,WI,54311-,(920) 468-2520,BROWN,CRAWFORD,JENNIFER,CENTURY RIDGE OF GREEN BAY INC,,,BAETEN,JILL,2510 BLUESTONE PL,GREEN BAY,WI,54311-,(920) 468-2520,CLASS CNA (NONAMBULATORY),B,20,2400,3200,,10-May-12,NORTHEASTERN REGION,,,X,X,,,X,,,,,X,X
15405,CFAA INC,1308 S NORWOOD AVE,GREEN BAY,WI,54304,(920) 432-8119,BROWN,CHVALA,RACHEL,CFAA INC,CHVALA,RACHEL,CHVALA,RACHEL,1308 S NORWOOD AVE,GREEN BAY,WI,54304,(920) 432-8119,CLASS CNA (NONAMBULATORY),,31,2900,3200,29-Jan-15,,NORTHEASTERN REGION,,,,X,,X,X,,,,,X,X
8949,CLARITY CARE BERNARD ON HOFFMAN,898 E HOFFMAN RD,GREEN BAY,WI,54301-,(920) 338-1569,BROWN,HAMEISTER,BARBARA,CLARITY CARE INC,SALEMI,BARB,SALEMI,BARB,424 WASHINGTON AVE,OSHKOSH,WI,54901,(920) 236-6560,CLASS CNA (NONAMBULATORY),F,6,4309,5794,23-Jun-00,1-Jan-01,NORTHEASTERN REGION,,X,,X,,X,X,X,X,,,X,X
