Facility ID,Facility Name,Address,City,State,Zip Code,Phone Number,County,Licensee,State Facility Type 2 Literal,Capacity
16171,JB SIGNATURE HOMES LLC,619 W MARSHALL ST,RICE LAKE,WI,54868,(715) 296-5415,BARRON,JB SIGNATURE HOMES LLC,AMBULATORY,4
12586,MITCHELLS FAMILY HOME,103 HILLTOP DR,RICE LAKE,WI,54868-,(715) 205-8091,BARRON,,AFH,4
16271,WE CARE ASSISTED LIVING,2852 20TH ST,RICE LAKE,WI,54868,(715) 456-0631,BARRON,,NONAMBULATORY,4
17847,HIL TURNER,3279 BITTERS CT,ALLOUEZ,WI,54301,(920) 983-0014,BROWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,NONAMBULATORY,4
16606,GENUINE HEARTS LLC VALLEY VIEW AFH,1189 VALLEY  VIEW ROAD,ASHWAUBENON,WI,54304,(920) 227-1977,BROWN,GENUINE HEARTS LLC,AMBULATORY,4
10986,CLARITY CARE PATRIOT WAY,1711-1713 PATRIOT WAY,DE PERE,WI,54115,(920) 339-0156,BROWN,CLARITY CARE INC,AFH,4
18196,DEBRA PROGRAM,1953 DICKINSON ROAD,DE PERE,WI,54115,(920) 351-3149,BROWN,UNLIMITED POSSIBILITIES,NONAMBULATORY,4
11412,ILS MORNING GLORY HOME,803 MORNING GLORY LANE,DE PERE,WI,54115-,(920) 347-9299,BROWN,IMPROVED LIVING SERVICES LLC,AFH,4
17811,KIMBROUGH ADULT FAMILY HOME LLC,209 CAVIL WAY,DE PERE,WI,54115,(920) 632-4031,BROWN,KIMBROUGH ADULT FAMILY HOME LLC,AMBULATORY,4
18025,CURO CARE MANDALAY,863 MANDALAY TERRACE,DEPERE,WI,54115,(920) 639-1060,BROWN,CURO CARE LLC,AMBULATORY,4
15868,RIVER TRAIL ADULT FAMILY HOME,2211 RIVER TRAIL CT,DEPERE,WI,54115,(920) 217-3386,BROWN,,AFH,4
14295,ANITA ADULT FAMILY HOME,1849 BURNS AVE,GREEN BAY,WI,54303-,(920) 434-2581,BROWN,,AFH,4
12462,BRENNER PLACE,2461 BRENNER PL,GREEN BAY,WI,54301-,(920) 857-9772,BROWN,BRUSS SUPPORTIVE COMMUNITY LIVING INC,AFH,4
13368,CHARITY LANE ADULT FAMILY HOME,352 CHARITY LN,GREEN BAY,WI,54311-,(920) 465-3661,BROWN,INNOVATIVE SERVICES INC,AFH,4
16130,CHESTNUT HOME,611 N CHESTNUT AVE,GREEN BAY,WI,54303,(920) 606-0588,BROWN,BRUSS SUPPORTIVE COMMUNITY LIVING INC,AMBULATORY,4
11330,CORNERSTONE ADULT FAMILY HOME,335 GRAASS STREET,GREEN BAY,WI,54301-,(920) 412-5444,BROWN,BOLL ADULT CARE CONCEPTS INC,AFH,4
14005,CURO CARE LLC ROCKDALE ADULT FAMILY HOME,1410 ROCKDALE ST,GREEN BAY,WI,54304-,(920) 544-8334,BROWN,CURO CARE LLC,AFH,4
16615,CURO CARE ROLLING GREEN 1,912 ROLLING GREEN DRIVE,GREEN BAY,WI,54313,(920) 544-5367,BROWN,Curo Care LLC,AMBULATORY,4
9645,EMPOWERMENT OPTIONS AFH,3045 COLLEEN DR,GREEN BAY,WI,54311-,(920) 884-9863,BROWN,EMPOWERMENT OPTIONS,AFH,4
16331,ENRICHED LIFESTYLES LLC,1047 ST LAWRENCE DR,GREEN BAY,WI,54311,(920) 965-2989,BROWN,ENRICHED LIFESTYLES LLC,AMBULATORY,4
17727,ENRICHED LIFESTYLES LLC HEMLOCK,2448 HEMLOCK ST,GREEN BAY,WI,54311,(920) 609-0353,BROWN,ENRICHED LIFESTYLES LLC,AMBULATORY,4
15660,FOREST GLEN,1628 FOREST GLEN,GREEN BAY,WI,54313,(920) 884-9574,BROWN,CLARITY CARE INC,AFH,4
13720,GARDEN PLACE,2464/2466 GARDEN HEIGHTS CT,GREEN BAY,WI,54311-,(920) 857-3420,BROWN,PRODUCTIVE LIVING SYSTEMS INC,AFH,4
16949,GENUINE HEARTS LLC FOREST GLEN AFH,1620 FOREST GLEN DR,GREEN BAY,WI,54304,(920) 461-8138,BROWN,GENUINE HEARTS LLC,AMBULATORY,4
10591,GLEN CREEK ADULT FAMILY HOME,1579 GLEN RD,GREEN BAY,WI,54313-,(920) 412-5444,BROWN,BOLL ADULT CARE CONCEPTS INC,AFH,4
10935,GREEN ISLE HOME,2679 GREEN ISLE CT,GREEN BAY,WI,54301-,(920) 430-7290,BROWN,INNOVATIVE SERVICES INC,AFH,4
13038,HANNAH II ADULT FAMILY HOME,1276 HANNAH ST,GREEN BAY,WI,54303-,(920) 406-6068,BROWN,INNOVATIVE SERVICES INC,AFH,4
12935,HANNAH STREET ADULT FAMILY HOME,1281 HANNAH ST,GREEN BAY,WI,54303-,(920) 499-0272,BROWN,INNOVATIVE SERVICES INC,AFH,4
16376,HAPPY HOUSE,722 S MONROE AVE,GREEN BAY,WI,54301,(920) 785-0642,BROWN,,AMBULATORY,4
11977,HIL CLAYTON PLACE,1009 CLAYTON PL,GREEN BAY,WI,54302-,(920) 288-0411,BROWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,AFH,3
18078,HIL COOPERS RUN,2460 FORESTVILLE DRIVE,GREEN BAY,WI,54304,(920) 857-3750,BROWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,AMBULATORY,4
11024,HIL GLENHAVEN,518 E BRIAR LANE,GREEN BAY,WI,54301-,(920) 337-1984,BROWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,AFH,4
9738,HIL SHADE TREE,1216 ST AGNES DR,GREEN BAY,WI,54304-,(920) 490-4723,BROWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,AFH,4
13712,ILS FISK HOME,425 N FISK ST,GREEN BAY,WI,54303-,(920) 430-7392,BROWN,IMPROVED LIVING SERVICES LLC,AFH,4
12719,JORDAN POINTE AFH,1647 BIEMERT ST,GREEN BAY,WI,54304-,(920) 965-1293,BROWN,COMPASS DEVELOPMENT LLC,AFH,4
9984,LASALLE HOUSE,2608 FINGER RD,GREEN BAY,WI,54302-,(920) 468-1033,BROWN,PRODUCTIVE LIVING SYSTEMS INC,AFH,4
16804,LIMITLESS POSSIBILITIES ROSE,164 ROSE LANE,GREEN BAY,WI,54302,(920) 489-2440,BROWN,LIMITLESS POSSIBILITIES LLC,AMBULATORY,4
16642,LIMITLESS POSSIBILITIES TROJAN,2466 TROJAN DR,GREEN BAY,WI,54304,,BROWN,LIMITLESS POSSIBILITIES LLC,AMBULATORY,4
15598,LOCUST ADULT FAMILY HOME,1030 LOCUST ST,GREEN BAY,WI,54303,(920) 544-5367,BROWN,CURO CARE LLC,AFH,4
11027,MIRAGE POINTE AFH,1315  MIRAGE DR,GREEN BAY,WI,54313-,(920) 884-3284,BROWN,COMPASS DEVELOPMENT LLC,AFH,4
18210,NATURAL LIVING ADULT FAMILY HOME LLC,660 DOST COURT,GREEN BAY,WI,54311,(920) 857-3480,BROWN,NATURAL LIVING ADULT FAMILY HOME LLC,AMBULATORY,4
9605,NEMETZ ADULT FAMILY HOME,1124 KELLOGG ST,GREEN BAY,WI,54303-,(920) 498-3446,BROWN,NEMETZ ADULT FAMILY HOME,AFH,4
13855,NEW BEGINNINGS,3208 LIBAL ST,GREEN BAY,WI,54301-,(920) 819-0546,BROWN,,AFH,4
12223,NEWBERRY HILL,420 MENLO PARK RD,GREEN BAY,WI,54302-,(920) 593-2856,BROWN,INNOVATIVE SERVICES INC,AFH,4
8867,NORTHERN AVENUE HOME,302 NORTHERN AVE,GREEN BAY,WI,54303-,(920) 544-4325,BROWN,BRUSS SUPPORTIVE COMMUNITY LIVING INC,AFH,4
15370,OAKWOOD,2407 OAKWOOD DR,GREEN BAY,WI,54303,(920) 593-2836,BROWN,CLARITY CARE INC,AFH,4
11272,ONTARIO HOME,1838 ONTARIO RD,GREEN BAY,WI,54311-,(920) 593-2802,BROWN,INNOVATIVE SERVICES INC,AFH,4
12121,ONTARIO II,1852 ONTARIO RD,GREEN BAY,WI,54311-,(920) 465-9750,BROWN,INNOVATIVE SERVICES INC,AFH,4
10451,OUR FAMILY HOME,425 ABRAMS ST,GREEN BAY,WI,54302-3209,(920) 465-9248,BROWN,LLOYD ADAMS,AFH,4
17028,PECAN HOUSE,2406 PECAN STREET,GREEN BAY,WI,54311,(920) 544-9293,BROWN,BETTYS HELPING HANDS LLC,AMBULATORY,4
17567,RELIABLE PERSEVERING PROVIDERS LLC,821 MATHER ST,GREEN BAY,WI,54303,(920) 391-5717,BROWN,RELIABLE PERSEVERING PROVIDERS LLC,AMBULATORY,4
14291,REM ONTARIO,2439 ONTARIO,GREEN BAY,WI,54311-,(920) 434-5352,BROWN,REM WISCONSIN II INC,AFH,4
13642,REM WISCONSIN CORMIER,1006 CORMIER,GREEN BAY,WI,54304-,(920) 429-1121,BROWN,REM WISCONSIN II INC,AFH,4
11067,REM WISCONSIN II - GLORY,778 GLORY RD,GREEN BAY,WI,54304-,(920) 983-9819,BROWN,REM WISCONSIN II INC,AFH,4
14791,REM WISCONSIN II BLACKBERRY,3400 BLACKBERRY LN,GREEN BAY,WI,54313,(920) 662-7552,BROWN,REM WISCONSIN II INC,AFH,4
14792,REM WISCONSIN II DANBAR,2805 DANBAR,GREEN BAY,WI,54313-,(608) 276-1191,BROWN,REM WISCONSIN II INC,AFH,4
11105,REM WISCONSIN II INC DIVISION,1294 DIVISION ST,GREEN BAY,WI,54303-,(920) 494-7226,BROWN,REM WISCONSIN II INC,AFH,4
11944,SANCTUARY AFH (THE),3385 BAY SETTLEMENT RD,GREEN BAY,WI,54311-,(920) 468-4864,BROWN,,AFH,4
12109,SANDIA AFH,2923 SANDIA DR,GREEN BAY,WI,54313-,(920) 884-5018,BROWN,COMPASS DEVELOPMENT LLC,AFH,4
12896,SCHULTZ ADULT FAMILY HOME (THE),130 BROADVIEW DR,GREEN BAY,WI,54301-,(920) 338-0781,BROWN,GREENER ACRES/STEVEN M SCHULTZ,AFH,4
18296,SHADY OAK,2465 SHADY OAK DRIVE,GREEN BAY,WI,54303,(920) 393-4112,BROWN,CREEKSIDE FAMILY CARE LLC,NONAMBULATORY,4
16463,STEPPING STONES ADULT FAMILY HOME,1738 JUNIPER DRIVE,GREEN BAY,WI,54302,(920) 965-6112,BROWN,STEPPING STONES ADULT FAMILY HOME LLC,AMBULATORY,4
12195,SUPERIOR ROAD ADULT FAMILY HOME,620 SUPERIOR ROAD,GREEN BAY,WI,54311-,(920) 884-1256,BROWN,INNOVATIVE SERVICES INC,AFH,4
17744,UNIVERSITY HOME,1931 UNIVERSITY AVE,GREEN BAY,WI,54302,(920) 857-3645,BROWN,BETTYS HELPING HANDS LLC,AMBULATORY,4
10941,WINDSOR HOME,819 S RIDGE RD,GREEN BAY,WI,54304-,(920) 497-6236,BROWN,INNOVATIVE SERVICES INC,AFH,4
10237,ILS DEUSTER HOME,6630 DEUSTER ST,GREENLEAF,WI,54126-,(920) 532-0605,BROWN,IMPROVED LIVING SERVICES LLC,AFH,4
10958,CARDINAL LANE,1473 CARDINAL LANE,HOWARD,WI,54313-,(920) 434-5991,BROWN,INNOVATIVE SERVICES INC,AFH,4
17891,HIL SANDRA ROSE,2633 SANDRA ROSE LN,NEW FRANKEN,WI,54229,(920) 438-9791,BROWN,HOMES FOR INDEPENDENT LIVING OF WI LLC,AMBULATORY,3
17463,RJS RIVER FOREST HILLS RETREAT,3048 RIVER FOREST HILLS DR,PULASKI,WI,54162,(920) 865-1886,BROWN,RJS RIVER FOREST HILLS RETREAT,AMBULATORY,4
11371,BROTOLOC WILDWOOD AFH,2004 WILDWOOD,SUAMICO,WI,54173-,(920) 434-3632,BROWN,BROTOLOC HEALTH CARE SYSTEMS INC DBA BROTOLOC NORTH,AFH,4
11932,EAGLE VIEW AFH,1640 1642 GABERTFIELD CT,SUAMICO,WI,54173-8157,(920) 434-4161,BROWN,INNOVATIVE SERVICES INC,AFH,4
18421,DAR MAR LLC Country Corner AFH,W2289 Stai Coulee Road,Durand,WI,54736,(715) 672-3536,BUFFALO,DAR-MAR LLC,AFH,4
14801,GARLICKS,539 N EAU CLAIRE STREET,MONDOVI,WI,54755-,(715) 926-5818,BUFFALO,GARLICKS CBRF INC,AFH,4
590084,STEP BY STEP ADULT FAMILY HOME,637 WEST HUDSON STREET,MONDOVI,WI,54755-,(715) 926-5898,BUFFALO,GARLICKS CBRF INC,AFH,4
8515,TROYS ADULT FAMILY HOME,649 NORTH EAU CLAIRE STREET,MONDOVI,WI,54755-,(715) 926-5828,BUFFALO,GARLICKS CBRF INC,AFH,4
590177,BETHANY HOME I,21856 AGATE RD,FREDERIC,WI,54837-,(715) 488-2328,BURNETT,KATHI BENNETT,AFH,4
9190,BETHANY HOME II,21941 AGATE ROAD,FREDERIC,WI,54837-,(715) 488-3943,BURNETT,,AFH,4
12590,BETHANY HOME III,21568 AGATE RD,FREDERIC,WI,54837-,(715) 327-4890,BURNETT,,AFH,4
17798,BETHANY HOME IV,21561 AGATE RD,FREDERIC,WI,54837,(715) 760-4640,BURNETT,,AMBULATORY,4
13711,HARMONY HOME,22364 COUNTY RD Y,GRANTSBURG,WI,54840-,(715) 488-2804,BURNETT,,AFH,4
17387,SERENITY ADULT FAMILY HOME,23470 STOLTZ ROAD,GRANTSBURG,WI,54840,(715) 222-2413,BURNETT,,AMBULATORY,4
18047,BELLA VISTA,7298 NORTH SHORE DRIVE,SIREN,WI,54872,(715) 349-2814,BURNETT,GEM IN THE WOODS LLC,AMBULATORY,4
14308,BIRCHVIEW HOME,7754 RASMUSSEN STREET,SIREN,WI,54872-,(715) 349-5871,BURNETT,ALTERNATIVES TO HOME INC,AFH,4
14677,CASCADING WILLOWS,24158 4TH AVE,SIREN,WI,54872-,(715) 410-7514,BURNETT,BERGERON HOME CARE,AFH,4
17664,PLANE VIEW,7715 AIRPORT RD,SIREN,WI,54872,(715) 410-7514,BURNETT,BERGERON HOME CARE LLC,AMBULATORY,4
14619,WELCOME HOME QUALITY CARE LLC,24134 DANIEL JOHNSON RD,SIREN,WI,54872-,(715) 349-4663,BURNETT,WELCOME HOME QUALITY CARE LLC,AFH,4
17735,BLIZZARD HOUSE,2601 S EAST ST,APPLETON,WI,54915,(920) 358-7228,CALUMET,EMPOWERMENT LIVING SERVICES,AMBULATORY,4
17985,LIMITLESS POSSIBILITIES N9444 COUNTY ROAD N,N9444 COUNTY ROAD N,APPLETON,WI,54915,(920) 750-9905,CALUMET,LIMITLESS POSSIBILITIES LLC,AMBULATORY,4
17297,HEARTS AT HOME,610 S MAIN ST,BRILLION,WI,54110,(920) 809-9225,CALUMET,HEARTS AT HOME,NONAMBULATORY,4
15253,LIMITLESS POSSIBILITIES W2025 RICH COURT,W2025 RICH CT,BRILLION,WI,54110,(920) 507-0205,CALUMET,LIMITLESS POSSIBILITIES LLC,AFH,4
15356,NATIONAL HOUSE,319 E NATIONAL AVE,BRILLION,WI,54110,(920) 849-9351,CALUMET,NEW HOPE CENTER INC,AFH,3
11748,BROOKLYN HOUSE,69 E BROOKLYN ST,CHILTON,WI,53014,(920) 849-4779,CALUMET,NEW HOPE CENTER INC,AFH,4
15184,CASS HOUSE,137 CASS ST,CHILTON,WI,53014,(920) 849-9351,CALUMET,NEW HOPE CENTER INC,AFH,4
17014,STEENPORT HOME,1024 STEENPORT LANE,CHILTON,WI,53014,(920) 849-4431,CALUMET,NEW HOPE CENTER INC,NONAMBULATORY,4
17000,4 SEASONS ADULT FAMILY HOME,1404 THOMPSON ST,BLOOMER,WI,54724,(715) 829-3363,CHIPPEWA,4 SEASONS ADULT FAMILY LIVING LLC,AMBULATORY,4
18361,EZ VIEW GROUP HOME 3,8342 HWY 64,BLOOMER,WI,54724,(715) 827-0355,CHIPPEWA,EZ VIEW GROUP HOME INC,AMBULATORY,4
17228,HOME AGAIN HILL TOP,18706 HWY Q,BLOOMER,WI,54724,(715) 559-9830,CHIPPEWA,HOME AGAIN ADULT FAMILY HOME INC,AMBULATORY,4
17347,HOME AGAIN HILL TOP WEST,18706 HWY Q,BLOOMER,WI,54724,(715) 254-1877,CHIPPEWA,HOME AGAIN ADULT FAMILY HOME INC,NONAMBULATORY,4
15891,SHINE REM WISCONSIN III INC,6975 158TH AVE,BLOOMER,WI,54724,(715) 568-9220,CHIPPEWA,REM WISCONSIN INC,AFH,4
14803,CLIENTS CHOICE BOYD STREET,213 N BOYD STREET,BOYD,WI,54726-,(715) 829-2849,CHIPPEWA,CLIENTS CHOICE LLC,AFH,4
14382,CLIENTS CHOICE ROSE STREET,106 ROSE STREET,BOYD,WI,54726-,(715) 703-1022,CHIPPEWA,CLIENTS CHOICE LLC,AFH,4
14564,HOPES AND DREAMS III,29732 125TH AVE,BOYD,WI,54726-,(715) 313-0287,CHIPPEWA,HOPES & DREAMS LLC,AFH,4
16765,PARADISE LIVING LLC,125 WEBSTER STREET,BOYD,WI,54726,(715) 667-3418,CHIPPEWA,PARADISE LIVING LLC,NONAMBULATORY,4
16766,PARADISE LIVING LLC II,435 WEBSTER STREET,BOYD,WI,54726,(715) 667-3429,CHIPPEWA,PARADISE LIVING LLC,NONAMBULATORY,4
13946,SCHEIDLER ADULT FAMILY HOME,30898 130TH AVE,BOYD,WI,54726,(715) 667-3242,CHIPPEWA,SCHEIDLER ADULT FAMILY HOME,AFH,4
17145,BISCHEL ADULT FAMILY HOME LLC,214 N MAIN ST,CADOTT,WI,54727,(715) 559-8521,CHIPPEWA,BISCHEL ADULT FAMILY HOME LLC,AMBULATORY,4
12448,COUNTRY WOODS LIVING INC,10194 - 190TH STREET,CADOTT,WI,54727-,(715) 382-4289,CHIPPEWA,COUNTRY WOODS LIVING INC,AFH,4
13167,HOPES & DREAMS,121 N PINE,CADOTT,WI,54727-,(715) 289-5300,CHIPPEWA,HOPES & DREAMS LLC,AFH,3
13988,HOPES & DREAMS II,123 N MAIN ST,CADOTT,WI,54727-,(715) 313-0287,CHIPPEWA,HOPES & DREAMS LLC,AFH,4
18082,REM BIRCH,456 BIRCH STREET,CADOTT,WI,54727,(715) 289-3278,CHIPPEWA,REM WISCONSIN INC,AMBULATORY,3
13440,REM WISCONSIN III INC CADOTT B 2,234 E OAK ST,CADOTT,WI,54727-,(715) 289-4062,CHIPPEWA,REM WISCONSIN INC,AFH,3
10846,REM WISCONSIN III INC OAK STREET A,232 E OAK STREET,CADOTT,WI,54727-,(715) 289-4061,CHIPPEWA,REM WISCONSIN INC,AFH,3
10847,"REM WISCONSIN III, INC - CADOTT B-1",236 E OAK ST,CADOTT,WI,54727-,(715) 289-4063,CHIPPEWA,REM WISCONSIN INC,AFH,4
13989,REM WISCONSIN INC - CADOTT D,1602 BOUNDARY RD,CADOTT,WI,54727-,(715) 289-3387,CHIPPEWA,REM WISCONSIN INC,AFH,3
14254,REM WISCONSIN INC BOUNDARY 2,1600 BOUNDARY RD,CADOTT,WI,54727-,(715) 289-3422,CHIPPEWA,REM WISCONSIN INC,AFH,3
16690,RIVERVIEW MANOR II REM WISCONSIN III INC,825 N MAIN ST,CADOTT,WI,54727,(715) 978-0198,CHIPPEWA,REM WISCONSIN INC,AMBULATORY,4
16688,RIVERVIEW MANOR IV REM WISCONSIN III INC,621 E CHIPPEWA ST,CADOTT,WI,54727,(715) 978-0204,CHIPPEWA,REM WISCONSIN INC,NONAMBULATORY,4
16687,RIVERVIEW MANOR V REM WISCONSIN III INC,649 E CHIPPEWA ST,CADOTT,WI,54727,(715) 978-0205,CHIPPEWA,REM WISCONSIN INC,NONAMBULATORY,4
16686,RIVERVIEW MANOR VI REM WISCONSIN III INC,621 A E CHIPPEWA ST,CADOTT,WI,54727,(715) 978-0208,CHIPPEWA,REM WISCONSIN INC,NONAMBULATORY,4
17392,ACE FAMILY HOMES LLC 11658 SIDE,11658 40TH AVE,CHIPPEWA FALLS,WI,54729,(715) 839-7227,CHIPPEWA,ACE FAMILY HOMES LLC,AMBULATORY,4
17391,ACE FAMILY HOMES LLC 11660 SIDE,11660 40TH AVE,CHIPPEWA FALLS,WI,54729,(715) 839-7227,CHIPPEWA,ACE FAMILY HOMES LLC,AMBULATORY,4
14113,AURORA RESIDENTIAL ALTERNATIVES INC 044,6939 CO HWY T,CHIPPEWA FALLS,WI,54729-,(715) 874-4429,CHIPPEWA,AURORA RESIDENTIAL ALTERNATIVES,AFH,4
18356,DACHEL ADULT FAMILY HOME,633 WOODWARD AVENUE,CHIPPEWA FALLS,WI,54729,(715) 382-3476,CHIPPEWA,DACHEL ADULT FAMILY HOME,AMBULATORY,4
15009,FORSTER AFH,21 WELL STREET,CHIPPEWA FALLS,WI,54729-,(715) 944-5128,CHIPPEWA,,AFH,4
16548,GUDMANSON AFH,620 SUPERIOR STREET,CHIPPEWA FALLS,WI,54729,(715) 512-0029,CHIPPEWA,,AMBULATORY,4
14780,IMPECKABLE CARE INC,19082 40TH AVENUE,CHIPPEWA FALLS,WI,54729-,(715) 944-9881,CHIPPEWA,IMPECKABLE CARE INC,AFH,4
15607,INDEPENDENT OUTLOOK 1,5093 160TH STREET,CHIPPEWA FALLS,WI,54729,(715) 861-3141,CHIPPEWA,INDEPENDENT OUTLOOK INC.,AFH,4
15608,INDEPENDENT OUTLOOK 2,16389 61ST AVENUE,CHIPPEWA FALLS,WI,54729,(715) 861-3141,CHIPPEWA,INDEPENDENT OUTLOOK INC,AFH,4
15609,INDEPENDENT OUTLOOK 3,5034 174TH STREET,CHIPPEWA FALLS,WI,54729,(715) 720-7457,CHIPPEWA,INDEPENDENT OUTLOOK INC,AFH,4
15840,MAKE A DIFFERENCE HOMES 16107 CTY HWY OO,16107 CTY HWY OO,CHIPPEWA FALLS,WI,54729,(715) 456-7854,CHIPPEWA,MAKE A DIFFERENCE HOMES LLC,AFH,4
16491,MAKE A DIFFERENCE HOMES 4133 130TH ST,4133 130TH ST,CHIPPEWA FALLS,WI,54729,(715) 861-7959,CHIPPEWA,MAKE A DIFFERENCE HOMES LLC,AMBULATORY,4
16492,MAKE A DIFFERENCE HOMES 4135 130TH ST,4135 130TH ST,CHIPPEWA FALLS,WI,54729,(715) 861-5156,CHIPPEWA,MAKE A DIFFERENCE HOMES LLC,AMBULATORY,4
15309,MAKE A DIFFERENCE HOMES 4320 132ND ST,4320 132ND STREET,CHIPPEWA FALLS,WI,54729,(715) 456-7854,CHIPPEWA,MAKE A DIFFERENCE HOMES LLC,AFH,3
14678,MAKE A DIFFERENCE HOMES BRIDGEWATER,434 BRIDGEWATER AVE,CHIPPEWA FALLS,WI,54729-,(715) 456-7854,CHIPPEWA,MAKE A DIFFERENCE HOMES LLC,AFH,4
14333,MAKE A DIFFERENCE HOMES LLC,4322 132ND STREET,CHIPPEWA FALLS,WI,54729-,(715) 861-3228,CHIPPEWA,MAKE A DIFFERENCE HOMES LLC,AFH,3
13550,NORTHWEST PATHWAYS TO INDEPENDENCE 10,5729 166TH STREET,CHIPPEWA FALLS,WI,54729-,(715) 723-7570,CHIPPEWA,NORTHWEST PATHWAYS TO INDEPENCENCE INC,AFH,4
13362,NORTHWEST PATHWAYS TO INDEPENDENCE 2,7338 - 203RD ST,CHIPPEWA FALLS,WI,54729-,(715) 726-0193,CHIPPEWA,NORTHWEST PATHWAYS TO INDEPENDENCE INC,AFH,4
