Facility Name,DBA,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Inspection Results and Facility Details,Phone
CLOVER CARE,-,B046049,Home Plus,6320 ZARDA DRIVE,SHAWNEE,JOHNSON,KS,66226,MELANIE KLOVER,Inspection Results and Facility Details,913-991-2605
COMFORT CARE HOMES INC,COMFORT CARE HOMES 29TH #2,B087248,Home Plus,8629 W 29TH ST N,WICHITA,SEDGWICK,KS,67205,SANDRA KEELER,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC,COMFORT CARE HOMES INC 29TH #1,B087247,Home Plus,8631 W 29TH ST N,WICHITA,SEDGWICK,KS,67205,BROOKE BOWLIN,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #147,-,B087100,Home Plus,147 S RIDGEWOOD DRIVE,WICHITA,SEDGWICK,KS,67218-1817,SANDI KEELER,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #219,-,B087206,Home Plus,219 S MORNINGSIDE ST,WICHITA,SEDGWICK,KS,67218-1813,BROOKE BOWLIN,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #441,-,B087095,Home Plus,441 S MORNINGSIDE ST,WICHITA,SEDGWICK,KS,67218-1817,DEBBIE GOODWIN,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #509,-,B087126,Home Plus,509 N TALLYRAND STREET,WICHITA,SEDGWICK,KS,67206-1603,BROOKE BOWLIN,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #557,-,B087186,Home Plus,557 N ARMOUR,WICHITA,SEDGWICK,KS,67218-1817,SANDRA KEELER,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #641,-,B087125,Home Plus,641 N BROADMOOR AVE,WICHITA,SEDGWICK,KS,67206-1603,BROOKE BOWLIN,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES OF KANSAS CITY LLC,COMFORTCARE HOMES KC-DELMAR,B046066,Home Plus,9631 DELMAR STREET,OVERLAND PARK,JOHNSON,KS,66207,LINDA DUGAN,Inspection Results and Facility Details,816-830-9767
COMFORTCARE HOMES MILLIES PLACE,-,B019002,Home Plus,803 LAKEVIEW DR,PITTSBURG,CRAWFORD,KS,66762,CHRIS WINDSOR,Inspection Results and Facility Details,620-308-6520
COMFORTCARE HOMES OF BALDWIN CITY LLC,-,B023014,Home Plus,232 ELM STREET,BALDWIN CITY,DOUGLAS,KS,66006-4120,SCOTT D SCHULTZ,Inspection Results and Facility Details,785-594-2603
COMFORTCARE HOMES OF HARVEY COUNTY ANNABELLES COTTAGE,-,B040003,Home Plus,1508 TERRACE DRIVE,NEWTON,HARVEY,KS,67114,PENNY BAKER LPN IVC,Inspection Results and Facility Details,316-333-1406
COMFORTCARE HOMES OF HARVEY COUNTY LLC MAMA GS HOUSE,-,B040001,Home Plus,1504 TERRACE DRIVE,NEWTON,HARVEY,KS,67114,SHARON ERWIN,Inspection Results and Facility Details,316-804-7220
COMFORTCARE HOMES OF KANSAS CITY LLC,COMFORTCARE HOMES KC - HOWE LLC,B046032,Home Plus,10205 HOWE DRIVE,LEAWOOD,JOHNSON,KS,66206,LINDA DUGAN,Inspection Results and Facility Details,913-381-2580
COMFORTCARE HOMES OF KANSAS CITY LLC,COMFORTCARE HOMES OF KC - OVERBROOK LLC,B046031,Home Plus,9825 OVERBROOK ROAD,LEAWOOD,JOHNSON,KS,66206-5308,LINDA DUGAN,Inspection Results and Facility Details,913-341-5547
COMFORTCARE HOMES OF OTTAWA LLC,-,B030013,Home Plus,27 E ROCKWOOD DRIVE,OTTAWA,FRANKLIN,KS,66067-3721,SCOTT D SCHULTZ,Inspection Results and Facility Details,785-.59-4.26
COMFORTCARE HOMES OF PITTSBURG LLC COLLEENS COTTAGE,-,B019004,Home Plus,704 LAKEVIEW DRIVE,PITTSBURG,CRAWFORD,KS,66762,CHRIS WINDSOR,Inspection Results and Facility Details,620-308-6520
COMPASSIONATE CARE WEST,-,B087167,Home Plus,968 N TYLER RD,WICHITA,SEDGWICK,KS,67212-3240,RACHAEL J. GRILL,Inspection Results and Facility Details,316-440-4167
COUNTRY LIVING OF LARNED HOME PLUS,-,B073001,Home Plus,710 WEST 9TH STREET,LARNED,PAWNEE,KS,67550,LAURA SMITH,Inspection Results and Facility Details,620-285-6212
COUNTRY LIVING OF LARNED HOME PLUS II,-,B073002,Home Plus,712 WEST 9TH,LARNED,PAWNEE,KS,67550,LAURA SMITH,Inspection Results and Facility Details,620-285-6900
COUNTRY PLACE MEMORY CARE OF CHANUTE,-,B067003,Home Plus,705 OSA MARTIN BLVD,CHANUTE,NEOSHO,KS,66720,SHANNON TYLER,Inspection Results and Facility Details,620-431-0599
COUNTRY PLACE MEMORY CARE OF FORT SCOTT,-,B006006,Home Plus,822 S HORTON STREET,FORT SCOTT,BOURBON,KS,66701,MARGARET MOYER,Inspection Results and Facility Details,620-223-1822
COVENANT CARE SENIOR LIVING,-,B087158,Home Plus,14422 TWINLAKE DRIVE,WICHITA,SEDGWICK,KS,67230-9517,NATE MATHEWS,Inspection Results and Facility Details,316-655-9996
DC DEFENSE SYSTEMS LLC,PROVIDENCE HOMES PLUS,B089101,Home Plus,1920 SW 32ND ST,TOPEKA,SHAWNEE,KS,66611-2063,LISA PEAVLER,Inspection Results and Facility Details,785-408-1559
DIVINE CARE HOMES LLC,-,B087195,Home Plus,5319 S SPRUCE STREET,WICHITA,SEDGWICK,KS,67216,RACHEL THOMAS,Inspection Results and Facility Details,316-796-4147
ELDER LIVING LLC,ASTER ESTATES,B005004,Home Plus,155 NW 10TH AVE,GREAT BEND,BARTON,KS,67530,PAMLA S LEWIS,Inspection Results and Facility Details,620-617-4096
ELLINWOOD COUNTRY LIVING,-,B005001,Home Plus,302 N. MAIN STREET,ELLINWOOD,BARTON,KS,67526-1613,LAURA SUPPES,Inspection Results and Facility Details,620-564-2100
EMERALD SENIORS LLC,-,B087210,Home Plus,1226 S BYRON ROAD,WICHITA,SEDGWICK,KS,67209,AUDRA M. CROUSE,Inspection Results and Facility Details,316-258-1883
FREMONT HOME PLUS LLC,-,B087246,Home Plus,2062 N GARNETT ST,WICHITA,SEDGWICK,KS,67226,BRYON MCNEIL,Inspection Results and Facility Details,316-305-7405
FUSION SENIOR CARE HOMES LLC,-,B087218,Home Plus,512 N BEBE STREET,WICHITA,SEDGWICK,KS,67212-6382,SYREETA BULGIN,Inspection Results and Facility Details,774-361-4056
GARDEN CITY SR OPERATIONS LLC,THE COTTAGES SENIOR CARE LIVING OF GARDEN CITY,B028002,Home Plus,2002 LABRADOR BLVD,GARDEN CITY,FINNEY,KS,67846,YESSICA PEREZ SANCHEZ,Inspection Results and Facility Details,620-290-0469
GENERATIONS HOME PLUS,-,B018003,Home Plus,28550 121ST RD,ARKANSAS CITY,COWLEY,KS,67005,DARCI WEIAND,Inspection Results and Facility Details,620-660-0938
GOLDEN BOOMERS 2,-,B087242,Home Plus,6900 STONEGATE ST,WICHITA,SEDGWICK,KS,67206,CHRISTINE NGUYEN,Inspection Results and Facility Details,316-730-3110
GOLDEN BOOMERS HOME PLUS LLC,-,B087216,Home Plus,6953 E KENTFORD CIRCLE,WICHITA,SEDGWICK,KS,67226-1026,CHRISTINE NGUYEN,Inspection Results and Facility Details,316-730-3110
GOLDEN OAKS,-,B089092,Home Plus,11701 W 60TH PLACE,SHAWNEE,JOHNSON,KS,66203,XXX,Inspection Results and Facility Details,913-717-6257
GOSHEN HOME CARE INC,-,B046036,Home Plus,9939 FOSTER STREET,OVERLAND PARK,JOHNSON,KS,66212-,MONICA KANGETHE,Inspection Results and Facility Details,913-341-2724
GRACE COTTAGE LLC,-,B087219,Home Plus,531 N CRESTLINE,WICHITA,SEDGWICK,KS,67212,AUBREONA LEHMAN,Inspection Results and Facility Details,316-990-2366
GRACEFUL HOME LLC,-,B089098,Home Plus,3100 SE ILLINOIS AVE,TOPEKA,SHAWNEE,KS,66605,GRACE TORKO,Inspection Results and Facility Details,785-424-2785
HARMONY ADULT HOME PLUS,-,B059013,Home Plus,1108 EAST SIMPSON STREET,MCPHERSON,MCPHERSON,KS,67460-6009,BRENDA A FOSTER,Inspection Results and Facility Details,620-242-7981
HARMONY HOUSE HOME PLUS LLC,-,B087240,Home Plus,400 N PETERSON AVE,WICHITA,SEDGWICK,KS,67212,LAMEHA HUGHES,Inspection Results and Facility Details,316-351-1148
HAVEN HOUSE,-,B078029,Home Plus,410 NORTH RENO AVENUE,HAVEN,RENO,KS,67543-280,HEATHER RENE HOLLE,Inspection Results and Facility Details,620-465-2421
HEART TO HEART HOME PLUS,-,B030008,Home Plus,3600 COLORADO ROAD,POMONA,FRANKLIN,KS,66076,VELDA JANE WILSON,Inspection Results and Facility Details,785-241-0023
HEARTLAND HAVEN HOME PLUS,-,B059012,Home Plus,1345 CHEROKEE ROAD,INMAN,MCPHERSON,KS,67546,ANN CHRISTINE WAGONER JORDAN,Inspection Results and Facility Details,620-585-6908
HEARTLAND MEADOWS LLC,-,B001001,Home Plus,1727 OREGON ROAD,IOLA,ALLEN,KS,66749,LESLIE NELSON WEIR,Inspection Results and Facility Details,620-228-5200
HILLSDALE PLACE LLC,-,B089086,Home Plus,1402 SW LANCASTER STREET,TOPEKA,SHAWNEE,KS,66604,TAMMY GONZALEZ,Inspection Results and Facility Details,785-783-7762
HILLSIDE GUEST HOME,-,B006003,Home Plus,1115 227TH STREET,FORT SCOTT,BOURBON,KS,66701,DEBRA RENE MORTER,Inspection Results and Facility Details,620-223-6132
HOME AGAIN SENIOR LIVING LLC,-,B049001,Home Plus,321 N MAIN STREET,HAVILAND,KIOWA,KS,67059,HALEY SIERRA JACKS,Inspection Results and Facility Details,620-862-5867
HOMESTEAD ESTATES HOME PLUS,-,B088002,Home Plus,1140 S PERSHING AVE,LIBERAL,SEWARD,KS,67901,MICHELLE LOCK-GOOCH,Inspection Results and Facility Details,620-626-5672
HORTON HOUSE,-,B006004,Home Plus,1126 S HORTON,FORT SCOTT,BOURBON,KS,66701,TRISTIAN B WURTZ,Inspection Results and Facility Details,660-644-5019
JOHNSONVILLE CARE HOME,-,B105138,Home Plus,2213 N. 22ND STREET,KANSAS CITY,WYANDOTTE,KS,66104,TIFFANY JOHNSON,Inspection Results and Facility Details,913-371-0701
JOHNSONVILLE HOME LLC,-,B105114,Home Plus,2419 N 22ND STREET,KANSAS CITY,WYANDOTTE,KS,66104-4612,TIFFANY JOHNSON,Inspection Results and Facility Details,913-371-3995
JOY HOME,-,B096017,Home Plus,"419 N PACIFIC STREET, PO BOX 26",OXFORD,SUMNER,KS,67119,TAMMY SAWYER,Inspection Results and Facility Details,620-455-3224
"KARAWAY, LLC",-,B089091,Home Plus,1815 SW WESTWOOD CIRCLE,TOPEKA,SHAWNEE,KS,66604,MEGAN KANATZAR,Inspection Results and Facility Details,785-608-4535
KEEPSAKE KOTTAGE #2,-,B087226,Home Plus,6412 E MARJORIE,WICHITA,SEDGWICK,KS,67206,KARI CAMERON,Inspection Results and Facility Details,316-650-4526
KEEPSAKE KOTTAGE #3,-,B087228,Home Plus,1411 S. MAIZE RD,WICHITA,SEDGWICK,KS,67209,KARI CAMERON,Inspection Results and Facility Details,316-650-4526
KEEPSAKE KOTTAGE LLC,KEEPSAKE KOTTAGE LLC #1,B008005,Home Plus,15834 SW BUTLER ROAD,ROSE HILL,BUTLER,KS,67133,KARI CAMERON,Inspection Results and Facility Details,316-350-6713
KEEPSAKE KOTTAGE LLC,KEEPSAKE KOTTAGE #4,B087252,Home Plus,2940 W RIVER PARK DR,WICHITA,SEDGWICK,KS,67203,KARI CAMERON,Inspection Results and Facility Details,316-650-4526
KELLY HOUSE OF MERIDEN NORTH,-,B044001,Home Plus,6313 HIGHWAY K-4,MERIDEN,JEFFERSON,KS,66512,VALERIE BENTEMAN,Inspection Results and Facility Details,785-484-0100
KELLY HOUSE OF MERIDEN SOUTH,-,B044002,Home Plus,3566 62ND STREET,MERIDEN,JEFFERSON,KS,66512,VALERIE BENTEMAN,Inspection Results and Facility Details,785-484-2165
LEGACY LIVING LLC,-,B011004,Home Plus,445 E 10TH STREET,BAXTER SPRINGS,CHEROKEE,KS,66713,RANDY DUKE DOTSON,Inspection Results and Facility Details,620-856-2756
LEISURE HOMESTEAD AT STAFFORD,-,N093002,Nursing FacilityHome Plus,405 GRAND AVENUE,STAFFORD,STAFFORD,KS,67578-2009,JAMES YOUNIE,Inspection Results and Facility Details,620-234-5208
LOIS HOUSE LLC,-,B087241,Home Plus,2734 N WELLESLEY,WICHITA,SEDGWICK,KS,67220,TRACY ALLEN,Inspection Results and Facility Details,316-409-2276
LOVING CARE OF MCPHERSON,-,B059006,Home Plus,1411 DOVER ROAD,MCPHERSON,MCPHERSON,KS,67460-1722,ANN CHRISTINE WAGONER JORDAN,Inspection Results and Facility Details,620-718-5047
LOVING HEARTS LLC,-,B087201,Home Plus,2311 W WESTPORT ST,WICHITA,SEDGWICK,KS,67203,ITANZA M CLARK,Inspection Results and Facility Details,316-239-6726
MANHATTAN RETIREMENT FOUNDATION INC,MEADOWLARK RILEY HOUSE,B081001,Home Plus,7621 FALCON RD,RILEY,RILEY,KS,66531,TRISHA MONTGOMERY,Inspection Results and Facility Details,785-485-2777
MANHATTAN RETIREMENT FOUNDATION INC,MEADOWLARK SCENIC HOUSE,B081002,Home Plus,120 N SCENIC DRIVE,MANHATTAN,RILEY,KS,66503,TRISHA MONTGOMERY,Inspection Results and Facility Details,785-317-8435
MARJORIES HOME LLC,-,B087162,Home Plus,14601 TIMBER LAKE ROAD,WICHITA,SEDGWICK,KS,67230-9220,THERESA REGIER,Inspection Results and Facility Details,316-260-1234
MARJORIES HOME LLC GP,-,B087199,Home Plus,524 N MAIN STREET,GARDEN PLAIN,SEDGWICK,KS,67050,THERESA REGIER,Inspection Results and Facility Details,316-213-9816
MARJORIES HOME OF KINGMAN LLC,-,B048002,Home Plus,1211 W KELLY AVENUE,KINGMAN,KINGMAN,KS,67068-8507,MONICA BILLS,Inspection Results and Facility Details,316-648-3368
MEADOWLARK ADULT CARE HOME 2,-,B087135,Home Plus,254 S  ROBIN ROAD,WICHITA,SEDGWICK,KS,67209,AMY PITZER,Inspection Results and Facility Details,316-773-2277
MEADOWLARK ADULT CARE HOME 3,-,B087141,Home Plus,11216 W. MAPLE STREET,WICHITA,SEDGWICK,KS,67209,SUSAN HATCHER,Inspection Results and Facility Details,316-773-2277
MEADOWLARK ADULT CARE HOME 4,-,B087147,Home Plus,1425 LEECREST STREET,WICHITA,SEDGWICK,KS,67209,SUSAN HATCHER,Inspection Results and Facility Details,316-773-2277
MEADOWLARK ADULT CARE HOME 6,-,B087178,Home Plus,10001 W. 12TH STREET NORTH,WICHITA,SEDGWICK,KS,67212,AMY PITZER,Inspection Results and Facility Details,316-773-2277
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 3,B046078,Home Plus,12640 W 137TH ST,OVERLAND PARK,JOHNSON,KS,66221 4129,ASHLEY DAWSON,Inspection Results and Facility Details,913-730-3700
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 2,B046077,Home Plus,12650 W 137TH ST,OVERLAND PARK,JOHNSON,KS,66221 4129,ASHLEY DAWSON,Inspection Results and Facility Details,913-730-3700
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 1,B046076,Home Plus,12620 W 137TH ST,OVERLAND PARK,JOHNSON,KS,662214129,ASHLEY DAWSON,Inspection Results and Facility Details,913-730-3700
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 5,B046080,Home Plus,12600 W 137TH ST,OVERLAND PARK,JOHNSON,KS,662214129,DAN CHIK,Inspection Results and Facility Details,913-730-3700
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 4,B046079,Home Plus,12630 W 137TH ST,OVERLAND PARK,JOHNSON,KS,662214129,ASHLEY DAWSON,Inspection Results and Facility Details,913-730-3700
MIDLAND CARE AT LINNWOOD PARK,-,N044005,Assisted Living FacilityHome Plus,1509 LINN ST,VALLEY FALLS,JEFFERSON,KS,66088-1185,KRISTI LEONARD,Inspection Results and Facility Details,785-945-3634
MORNINGSTAR CARE HOMES AT DUNN'S VISTA,-,B023020,Home Plus,424 WASHINGTON STREET,BALDWIN CITY,DOUGLAS,KS,66006,SCOTT D SCHULTZ,Inspection Results and Facility Details,785-.59-4.26
NEW LIFE HOME PLUS LLC,-,B087239,Home Plus,1214 N CHARLOTTE STREET,WICHITA,SEDGWICK,KS,67208,ARNOT MUNGUYA,Inspection Results and Facility Details,316-247-2209
OAKLEY #3,-,B089096,Home Plus,3314 SW FRONT,TOPEKA,SHAWNEE,KS,66604,MANDY WALES,Inspection Results and Facility Details,785-783-2128
OAKLEY PLACE #1,-,B089081,Home Plus,618 SW OAKLEY,TOPEKA,SHAWNEE,KS,66604,MANDY WALES,Inspection Results and Facility Details,785-221-7740
OAKLEY PLACE #2,-,B089082,Home Plus,"618 SW OAKLEY AVENUE, SUITE B",TOPEKA,SHAWNEE,KS,66606,MANDY WALES,Inspection Results and Facility Details,785-221-7740
OAKLEY PLACE OF ROSSVILLE,-,B089089,Home Plus,590 INDUSTRIAL TRAFFICWAY,ROSSVILLE,SHAWNEE,KS,66533,KIM GILLUM,Inspection Results and Facility Details,785-584-6075
OAKLEY PLACE OF SENECA,-,B066002,Home Plus,1306 BRANCH ST,SENECA,NEMAHA,KS,66538,JOYCE SUDBECK,Inspection Results and Facility Details,785-334-6000
OUR HOME SENIOR CARE,-,B089093,Home Plus,5745 ROSEHILL RD,SHAWNEE,JOHNSON,KS,66216,RONNETTA SULLIVAN,Inspection Results and Facility Details,913-296-3136
PEACE OF MIND HOME PLUS,-,B008003,Home Plus,400 E. SCHOOL,ROSE HILL,BUTLER,KS,67133-8465,SHALONDA BANKS,Inspection Results and Facility Details,316-260-7046
PEACE OF MIND LLC II,-,B087196,Home Plus,"223 N BURR OAK ROAD, PO BOX 173",WICHITA,SEDGWICK,KS,67206,SHALONDA BANKS,Inspection Results and Facility Details,316-295-4538
PLATINUM CARE HOMES,-,B087203,Home Plus,5701 E. 17TH NORTH,WICHITA,SEDGWICK,KS,67208,PAULA D MACK,Inspection Results and Facility Details,316-618-0584
PLEASANT HILLS,-,B078030,Home Plus,2500 PLEASANT HILLS PARKWAY,HUTCHINSON,RENO,KS,67502,SYDNI S. KRETZER,Inspection Results and Facility Details,620-665-6639
PRAIRIE ELDER HOMES  HARMONY HOUSE,-,B046059,Home Plus,11865 W 155TH TERRACE,OVERLAND PARK,JOHNSON,KS,66221,MICHALA GIBSON,Inspection Results and Facility Details,913-257-5425
PRAIRIE WIND SENIOR LIVING,-,B089084,Home Plus,5227 SE 77TH STREET,BERRYTON,SHAWNEE,KS,66409,BROOKE FISCHER,Inspection Results and Facility Details,785-862-5318
PRECIOUS GEMS HOMES  LLC,-,B087229,Home Plus,512 HORSESHOE BEND,MAIZE,SEDGWICK,KS,67101,SYREETA BULGIN,Inspection Results and Facility Details,316-977-8875
PRECIOUS GEMS HOMES PLUS LLC,PRECIOUS GEMS HOMES  AT POLO DR,B087116,Home Plus,5502 POLO DRIVE,WICHITA,SEDGWICK,KS,67208,SYREETA DWEH CHENNEH,Inspection Results and Facility Details,316-686-8098
PREMIER LIVING BY WARDEN LLC,-,B087119,Home Plus,234 S ANNA STREET,WICHITA,SEDGWICK,KS,67209-2404,RIAN PROBST,Inspection Results and Facility Details,316-945-2028
PREMIER LIVING BY WARDEN LLC 2,-,B087217,Home Plus,754 N MCCOMAS AVENUE,WICHITA,SEDGWICK,KS,67203,JANE AMMONS,Inspection Results and Facility Details,316-945-2028
PREMIER LIVING BY WARDEN LLC 4,-,B087142,Home Plus,1229 S BYRON ROAD,WICHITA,SEDGWICK,KS,67209,RIAN AHLMAN,Inspection Results and Facility Details,316-945-2028
PROGRESSIVE CARE HOME PLUS LLC,-,B071002,Home Plus,513 MILL STREET,ALTON,OSBORNE,KS,67623,DILENE REINHARDT,Inspection Results and Facility Details,785-984-2290
RAINBOW CARE HOMES LLC,RAINBOW GREENWAY,B087251,Home Plus,1858 S GREENWAY BLVD,WICHITA,SEDGWICK,KS,67213,ROSEBELL GITUNGO,Inspection Results and Facility Details,316-721-1010
REFLECTION LIVING LLC,-,B087146,Home Plus,1377 N IROQUOIS ROAD,WICHITA,SEDGWICK,KS,67203-4623,SUSAN ENGELS,Inspection Results and Facility Details,316-992-2119
REFLECTION LIVING MAIZE COURT 1,-,B087189,Home Plus,623 S. MAIZE COURT,WICHITA,SEDGWICK,KS,67209,JENNIFER MAUL,Inspection Results and Facility Details,316-680-4724
REFLECTION LIVING MAIZE COURT 2,-,B087188,Home Plus,625 S. MAIZE COURT,WICHITA,SEDGWICK,KS,67209,JENNIFER MAUL,Inspection Results and Facility Details,316-680-4724
REFLECTION LIVING MAIZE COURT 3,-,B087194,Home Plus,619 S. MAIZE COURT,WICHITA,SEDGWICK,KS,67209-1337,JENNIFER MAUL,Inspection Results and Facility Details,316-680-4724
REFLECTION LIVING OF HIDDEN LAKES LLC,-,B087155,Home Plus,550 CIRCLE LAKE,WICHITA,SEDGWICK,KS,67209-1005,SUSAN ENGELS,Inspection Results and Facility Details,316-425-5531
REFLECTIONS AT PARK WEST PLAZA,-,B087144,Home Plus,515 N. MAIZE ROAD,WICHITA,SEDGWICK,KS,67212,JAMES MARCUS PENNINGTON,Inspection Results and Facility Details,316-729-4114
RESIDENCE BEGONIA HOME PLUS,-,B087205,Home Plus,8327 EAST ZIMMERLY STREET,WICHITA,SEDGWICK,KS,67207,UGO DISASI,Inspection Results and Facility Details,316-312-3237
RESIDENCE BEGONIA II AT CRESTVIEW,-,B087209,Home Plus,15 CRESTVIEW LAKE ESTATES,WICHITA,SEDGWICK,KS,67220,AUDRA M. CROUSE,Inspection Results and Facility Details,316-616-5306
REST WELL HOME PLUS,-,B044004,Home Plus,508 UNION ST,OSKALOOSA,JEFFERSON,KS,66066,TONYA BROWN,Inspection Results and Facility Details,785-249-0800
RL DODGE CITY I LLC,-,B029001,Home Plus,2800 6TH STREET,DODGE CITY,FORD,KS,67801,TRACEE GERMAN,Inspection Results and Facility Details,620-371-3839
RL FOUNTAINWOOD 1,-,B040002,Home Plus,2004 FOUNTAINWOOD STREET,HUTCHINSON,HARVEY,KS,67502,SUSIE ENGELS,Inspection Results and Facility Details,316-992-2119
RL FOUNTAINWOOD 2,-,B078031,Home Plus,2000 FOUNTAINWOOD,HUTCHINSON,RENO,KS,67502,SUSIE ENGELS,Inspection Results and Facility Details,316-992-2119
RL KANSAS CITY I LLC,REFLECTION LIVING SHAWNEE BAUM HOUSE,B046072,Home Plus,7170 SILVERHEEL STREET,SHAWNEE,JOHNSON,KS,66227,ANGELA MOORE,Inspection Results and Facility Details,816-588-3996
ROSEWOOD COTTAGE LLC,-,B087243,Home Plus,5516 POLO DR,WICHITA,SEDGWICK,KS,67208,RANA ZAYED,Inspection Results and Facility Details,316-300-7606
