Licensee,Facility Name 2,Facility ID,State Facility Type 1 Literal,Address,City,County,State,Zipcode,Phone Number
BETHANY HOME ASSOCIATION DBA VARDSHUS,-,N059018,Assisted Living Facility,821 E. SWENSSON DRIVE,LINDSBORG,MCPHERSON,KS,67456,785-227-8331
BETHEL HEALTH CARE CENTER,-,N040001,Nursing Facility Assisted Living Facility,3001 IVY DRIVE,NORTH NEWTON,HARVEY,KS,67117-8005,316-284-2900
BETHESDA HOME,-,N057006,Nursing Facility Assisted Living Facility,408 E MAIN PO BOX 37,GOESSEL,MARION,KS,67053-37,620-367-2291
BICKFORD AT MISSION SPRINGS I OPCO LLC,BICKFORD AT MISSION SPRINGS I,N046042,Assisted Living Facility Residential Health Care Facility,5300 W 61ST PLACE,MISSION,JOHNSON,KS,66205-,913-831-7700
BICKFORD AT MISSION SPRINGS II OPCO LLC,BICKFORD AT MISSION SPRINGS II,N046044,Assisted Living Facility Residential Health Care Facility,5350 WEST 61ST PLACE,MISSION,JOHNSON,KS,66205-,913-831-7700
BIG BLUE HEALTHCARE INC,RIVERBEND POST ACUTE REHABILITATION,N105006,Nursing Facility Assisted Living Facility,7850 FREEMAN AVENUE,KANSAS CITY,WYANDOTTE,KS,66112-2133,913-334-3666
BKD STERLING HOUSE OF JUNCTION CITY LLC,BROOKDALE JUNCTION CITY,N031004,Assisted Living Facility,1022 N CAROLINE AVENUE,JUNCTION CITY,GEARY,KS,66441,785-762-3123
BKD STERLING HOUSE OF WICHITA - TALLGRASS LLC,BROOKDALE TALLGRASS,N087037,Assisted Living Facility,8600 E 21ST NORTH,WICHITA,SEDGWICK,KS,67206,316-684-3100
BLACKHAWK ASSISTED LIVING,-,N046066,Assisted Living Facility,22550 S FRANKLIN,SPRING HILL,MIAMI,KS,66083,913-686-3170
BROOKDALE DERBY,-,N087038,Assisted Living Facility,1709 E WALNUT GROVE,DERBY,SEDGWICK,KS,67037-3528,316-788-6100
BROOKDALE DODGE CITY,-,N029007,Assisted Living Facility,2400 N. 14TH AVENUE,DODGE CITY,FORD,KS,67801-2313,620-225-7555
BROOKDALE GREAT BEND,-,N005005,Assisted Living Facility,1206 PATTON ROAD,GREAT BEND,BARTON,KS,67530-3118,620-792-7000
BROOKDALE HAYS,-,N026008,Assisted Living Facility,1801 E. 27TH STREET,HAYS,ELLIS,KS,67601,785-628-1111
BROOKDALE MCPHERSON,-,N059016,Assisted Living Facility,1460 N. MAIN STREET,MCPHERSON,MCPHERSON,KS,67460-1902,620-241-6600
BROOKDALE OVERLAND PARK,-,N046079,Nursing Facility Assisted Living Facility Residential Health Care Facility,12000 LAMAR,OVERLAND PARK,JOHNSON,KS,66209,913-663-2888
BROOKDALE ROSEHILL,-,N046063,Nursing Facility Assisted Living Facility,12802 JOHNSON DR,SHAWNEE,JOHNSON,KS,66216-,913-962-7600
BROOKDALE SALINA FAIRDALE,-,N085010,Assisted Living Facility,2251 E CRAWFORD STREET,SALINA,SALINE,KS,67401,785-823-8600
BROOKDALE SALINA KIRWIN,-,N085009,Assisted Living Facility,1200 E KIRWIN AVE,SALINA,SALINE,KS,67401-6300,785-825-8200
BROOKSIDE RETIREMENT COMMUNITY ASSISTED LIVING,-,N070008,Assisted Living Facility,702 W 7TH PO BOX 308,OVERBROOK,OSAGE,KS,66524-308,785-665-3246
BUHLER SUNSHINE HOME,-,N078009,Nursing Facility Assisted Living Facility,400 S BUHLER RD,BUHLER,RENO,KS,67522-,620-543-2251
CARRINGTON AT CHERRY CREEK,-,N087043,Assisted Living Facility,8200 E PAWNEE ST,WICHITA,SEDGWICK,KS,67207-3448,316-684-0905
CATHOLIC CARE CENTER INC,-,N087001,Nursing Facility Assisted Living Facility Residential Health Care Facility,6700 E 45TH ST N,BELAIRE,SEDGWICK,KS,67226-9970,316-744-2020
CCRC OF LENEXA LLC,DBA WESTCHESTER VILLAGE OF LENEXA,N046085,Nursing Facility Assisted Living Facility,8505 PFLUMM ROAD,LENEXA,JOHNSON,KS,66215-2461,913-307-2000
CCRC OF OVERLAND PARK,COLONIAL VILLAGE,N046103,Nursing Facility Assisted Living Facility,12500 W. 137TH ST,OVERLAND PARK,JOHNSON,KS,66221,913-730-3700
CEDAR LAKE VILLAGE,-,N046059,Assisted Living Facility,15325 S. LONE ELM ROAD,OLATHE,JOHNSON,KS,66061-5331,913-780-9916
CLEARWATER AL OPCO LLC,CLEARWATER VILLAGE ASSISTED LIVING,N087053,Assisted Living Facility,440 N 4TH STREET,CLEARWATER,SEDGWICK,KS,67026,620-584-4257
COLWICH GARDENS ASSISTED LIVING LLC,-,N087081,Assisted Living Facility,300 E CHICAGO,COLWICH,SEDGWICK,KS,67030,316-260-1034
CORNERSTONE ASSISTED LIVING INC,-,N087041,Assisted Living Facility,1240 N BROADMOOR AVENUE,WICHITA,SEDGWICK,KS,67206-3869,316-636-5101
COUNCIL GROVE ASSISTED LIVING LLC,-,N064002,Assisted Living Facility,554 COUNTRY LANE,COUNCIL GROVE,MORRIS,KS,66846,620-767-5600
COUNTRY LIVING INC,-,N039004,Assisted Living Facility,420 N 5TH,ANTHONY,HARPER,KS,67003,620-842-5858
COUNTRY LIVING OF LARNED,-,N073002,Assisted Living Facility,714 W. 9TH STREET,LARNED,PAWNEE,KS,67550,620-285-6900
COUNTRY LIVING OF LYONS,-,N080004,Assisted Living Facility,502 SOUTH MILES,LYONS,RICE,KS,67554,620-257-5012
COUNTRY PLACE SENIOR LIVING OF CHANUTE,-,N067010,Assisted Living Facility,701 OSA MARTIN BLVD,CHANUTE,NEOSHO,KS,66720,620-431-0599
COUNTRY PLACE SENIOR LIVING OF CLAY CENTER,-,N014005,Assisted Living Facility,722 LIBERTY STREET,CLAY CENTER,CLAY,KS,67432,785-632-5052
COUNTRY PLACE SENIOR LIVING OF FORT SCOTT,-,N006008,Assisted Living Facility,820 S HORTON STREET,FORT SCOTT,BOURBON,KS,66701,620-223-1822
COUNTRY PLACE SENIOR LIVING OF INDEPENDENCE,-,N063018,Assisted Living Facility,2120 NORTH 13TH ST,INDEPENDENCE,MONTGOMERY,KS,67301,620-331-1400
COUNTRY PLACE SENIOR LIVING OF MARYSVILLE,-,N058007,Assisted Living Facility,1149 COUNTRY PLACE DRIVE,MARYSVILLE,MARSHALL,KS,66508,785-562-4001
DELAWARE HIGHLANDS ASSISTED LIVING,-,N105014,Assisted Living Facility,12600 DELAWARE PARKWAY,KANSAS CITY,WYANDOTTE,KS,66106,913-721-1400
DERBY ASSISTED LIVING LLC,AVITA SENIOR LIVING AT DERBY,N087066,Assisted Living Facility,719 N KLEIN CIRCLE,DERBY,SEDGWICK,KS,67037-,316-260-4447
DOVE ESTATES SENIOR LIVING COMMUNITY,-,N087082,Assisted Living Facility,1400 S. 183RD WEST,GODDARD,SEDGWICK,KS,67052,316-550-6343
EAGLECREST RETIREMENT COMMUNITY,-,N085012,Assisted Living Facility,1501 E. MAGNOLIA ROAD,SALINA,SALINE,KS,67401,785-309-1501
EMERIKEYT LIBERAL SPRINGS LLC,BROOKDALE LIBERAL SPRINGS,N088003,Assisted Living Facility,1500 TERRACE AVENUE,LIBERAL,SEWARD,KS,67901,620-624-8000
EMPORIA PLACE,-,N056012,Assisted Living Facility,1200 W 12TH AVENUE,EMPORIA,LYON,KS,66801-2557,620-342-1000
F W HUSTON MEDICAL CENTER DBA JEFFERSON SUITES,-,N044007,Assisted Living Facility,408 DELAWARE STREET,WINCHESTER,JEFFERSON,KS,66097-4003,913-774-4340
FAIRVIEW ESTATES RETIREMENT COMMUNITY INC,-,N097003,Assisted Living Facility,1630 SEWELL AVENUE,COLBY,THOMAS,KS,67701,785-462-2154
FOUNTAINVIEW LIVING LLC,FOUNTAINVIEW NURSING & REHAB CENTER,N008004,Nursing Facility Assisted Living Facility,601 N. ROSE HILL ROAD,ROSE HILL,BUTLER,KS,67133,316-776-2194
FSL KANSAS CITY TENANT LLC,THE PIPER ALF,N105018,Assisted Living Facility Residential Health Care Facility,2300 N 113TH TERRACE,KANSAS CITY,WYANDOTTE,KS,66109,913-400-7006
GARDEN VILLAS OF LENEXA,-,N046078,Assisted Living Facility,9705 MONROVIA STREET,LENEXA,JOHNSON,KS,66215-1564,913-492-1133
GLENWOOD VILLAGE OF OVERLAND PARK ASSISTED LIVING AND MEMORY CARE,-,N046048,Assisted Living Facility,9201 FOSTER,OVERLAND PARK,JOHNSON,KS,66212-,913-385-2052
GOLDEN OAKS HEALTHCARE INC,THE HEALTHCARE RESORT OF KANSAS CITY,N105019,Nursing Facility Assisted Living Facility,8900 PARALLEL PARKWAY,KANSAS CITY,WYANDOTTE,KS,66112,913-788-2100
GOOD SAMARITAN SOCIETY - ELLSWORTH VILLAGE,-,N027001,Nursing Facility Assisted Living Facility,1156 HIGHWAY 14,ELLSWORTH,ELLSWORTH,KS,67439,785-472-3167
GOOD SAMARITAN SOCIETY - HUTCHINSON VILLAGE,-,N078004,Nursing Facility Assisted Living Facility,810 E. 30TH AVENUE,HUTCHINSON,RENO,KS,67502-4398,620-663-1189
GRAN VILLAS  ATCHISON,-,N003004,Assisted Living Facility,1635 RILEY STREET,ATCHISON,ATCHISON,KS,66002-1514,913-367-2077
GRAN VILLAS PITTSBURG,-,N019009,Assisted Living Facility,1004 E. CENTENNIAL STREET,PITTSBURG,CRAWFORD,KS,66762-6603,620-231-4554
HERINGTON OPCO LLC,LEGACY AT HERINGTON,N021004,Nursing Facility Assisted Living Facility,2 E ASH SREET,HERINGTON,DICKINSON,KS,67449-1662,785-258-2283
HERITAGE AVONLEA OF OLATHE,-,N046035,Assisted Living Facility,625 LINCOLN AVE,OLATHE,JOHNSON,KS,66061-2594,913-829-6920
HERITAGE ESTATES ASSISTED LIVING,-,N039005,Assisted Living Facility,1212 HICKORY STREET,HARPER,HARPER,KS,67058-1455,620-896-2646
HILL TOP HOUSE,-,N029004,Nursing Facility Assisted Living Facility,"505 W. ELM, PO BOX 248",BUCKLIN,FORD,KS,67834-248,620-826-3202
HILLSIDE VILLAGE OF DESOTO,-,N046064,Nursing Facility Assisted Living Facility,33600 W. 85TH STREET,DESOTO,JOHNSON,KS,66018,913-583-1260
HILLTOP LODGE HEALTH AND REHABILITATION CENTER LLC,HILLTOP LODGE HEALTH AND REHABILITATION CENTER,N062001,Nursing Facility Assisted Living Facility,815 N INDEPENDENCE AVENUE,BELOIT,MITCHELL,KS,67420-1639,785-738-3516
HOMESTEAD ESTATES WICHITA OPERATIONS LLC,HOMESTEAD ESTATES WICHITA,N087048,Assisted Living Facility,10550 E. 21ST STREET NORTH,WICHITA,SEDGWICK,KS,67206-3509,316-867-4105
HOMESTEAD OF AUGUSTA,-,N008008,Assisted Living Facility Residential Health Care Facility,1611 FAIRWAY STREET,AUGUSTA,BUTLER,KS,67010-2246,316-775-1000
HOMESTEAD OF CRESTVIEW,-,N087059,Assisted Living Facility,600 N. 127TH STREET EAST,WICHITA,SEDGWICK,KS,67206-2830,316-733-8100
HOMESTEAD OF DERBY,-,N087036,Assisted Living Facility,1701 WALNUT GROVE ROAD,DERBY,SEDGWICK,KS,67037,316-788-9600
HOMESTEAD OF EUDORA OPERATIONS LLC,HOMESTEAD OF EUDORA,N023024,Assisted Living Facility,2725 CHURCH ST,EUDORA,DOUGLAS,KS,66025,785-363-5150
"HOMESTEAD OF HAYS OPERATIONS, LLC",-,N026010,Assisted Living Facility,2929 STERNBERG DRIVE,HAYS,ELLIS,KS,67601,785-628-3200
HOMESTEAD OF OVERLAND PARK OPERATIONS LLC,-,N046068,Assisted Living Facility,11701 NIEMAN ROAD,OVERLAND PARK,JOHNSON,KS,66210-4310,913-345-2200
HOMESTEAD OF RUSSELL,-,N084007,Assisted Living Facility,1070 E. WICHITA AVENUE,RUSSELL,RUSSELL,KS,67665-2452,785-483-5882
HOMESTEAD OF SHAWNEE OPERATIONS LLC,-,N046056,Assisted Living Facility,16207 MIDLAND DRIVE,SHAWNEE,JOHNSON,KS,66217,913-248-6600
HOMESTEAD OF WELLINGTON OPERATIONS LLC,HOMESTEAD OF WELLINGTON,N096009,Assisted Living Facility,500 N PLUM ST,WELLINGTON,SUMNER,KS,67152-3556,620-326-3031
IRON HORSE HEALTHCARE INC,THE HEALTHCARE RESORT OF LEAWOOD,N046096,Nursing Facility Assisted Living Facility,5401 W 143RD STREET,LEAWOOD,JOHNSON,KS,66224,913-249-3600
KANSAS VETERANS HOME,-,N018011,Nursing Facility Assisted Living Facility,1220 WORLD WAR II MEMORIAL DRIVE,WINFIELD,COWLEY,KS,67156-9801,620-221-9479
KEARNY COUNTY HOSPITAL ASSISTED LIVING,-,N047002,Assisted Living Facility,607 COURT PLACE,LAKIN,KEARNY,KS,67860,620-355-7836
KENNETH L CALDWELL ASSISTED LIVING MANOR,-,N087055,Assisted Living Facility,400 S MARTINSON STREET,WICHITA,SEDGWICK,KS,67213-5514,316-269-7500
KENWOOD PLAZA INC,-,N093004,Residential Health Care Facility Assisted Living Facility,607 E 1ST AVENUE,ST JOHN,STAFFORD,KS,67576-2223,620-549-6133
LAKEPOINT AUGUSTA LLC,-,N008005,Nursing Facility Assisted Living Facility,901 LAKEPOINT DRIVE,AUGUSTA,BUTLER,KS,67010,316-775-6333
LAKEPOINT EL DORADO LLC,-,N008002,Nursing Facility Assisted Living Facility,1313 S HIGH STREET,EL DORADO,BUTLER,KS,67042-3751,316-321-4140
LAKEPOINT WICHITA LLC,-,N087049,Nursing Facility Residential Health Care Facility Assisted Living Facility,1315 N WEST STREET,WICHITA,SEDGWICK,KS,67203-1302,316-943-1295
LAKEVIEW VILLAGE,-,N046007,Nursing Facility Assisted Living Facility,13840 W 91ST TERR,LENEXA,JOHNSON,KS,66215-3374,913-888-1900
LAMAR COURT ASSISTED LIVING COMMUNITY,-,N046051,Assisted Living Facility,11909 LAMAR,OVERLAND PARK,JOHNSON,KS,66209-,913-906-9696
LARKSFIELD PLACE ASSISTED LIVING,-,N087077,Assisted Living Facility,2727 N ROCK RD,WICHITA,SEDGWICK,KS,67226,316-361-2800
LEAWOOD GARDENS ASSISTED LIVING,-,N046065,Assisted Living Facility Residential Health Care Facility,5201 W. 143RD STREET,LEAWOOD,JOHNSON,KS,66224,913-685-4800
LEGEND AT CAPITAL RIDGE,-,N089045,Assisted Living Facility,1931 SW ARVONIA PLACE,TOPEKA,SHAWNEE,KS,66615,785-272-9400
LEGEND OF HUTCHINSON,-,N078015,Assisted Living Facility,2416 BRENTWOOD,HUTCHINSON,RENO,KS,67502,620-663-9195
LEISURE OPERATIONS LLC,OVERLAND PARK CENTER FOR REHABILITATION AND HEALTH CARE,N046031,Nursing Facility Assisted Living Facility,5211 WEST 103RD ST,OVERLAND PARK,JOHNSON,KS,66207,913-383-2569
LEXINGTON PARK ASSISTED LIVING,-,N089041,Assisted Living Facility,1021 SW FLEMING COURT,TOPEKA,SHAWNEE,KS,66604-1851,785-440-0399
LINCOLN PARK MANOR,-,N053001,Nursing Facility Assisted Living Facility,922 N 5TH ST PO BOX 466,LINCOLN,LINCOLN,KS,67455-466,785-524-4428
LOCUST GROVE VILLAGE,-,N083001,Nursing Facility Assisted Living Facility,701 W. 6TH STREET,LA CROSSE,RUSH,KS,67548,785-222-2574
LOGAN MANOR COMMUNITY HEALTH SERVICES,-,N074001,Nursing Facility Assisted Living Facility,"108 S. ADAMS, PO BOX 308",LOGAN,PHILLIPS,KS,67646-308,785-689-4201
MANHATTAN RETIREMENT FOUNDATION INC,MEADOWLARK HILLS,N081004,Nursing Facility Assisted Living Facility,2121 MEADOWLARK ROAD,MANHATTAN,RILEY,KS,66502-4569,785-537-4610
MAPLE HILLS HEALTHCARE INC,SHAWNEE POST ACUTE REHABILITATION CENTER,N046093,Nursing Facility Assisted Living Facility,7600 ANTIOCH RD,OVERLAND PARK,JOHNSON,KS,66204,913-383-2001
MARIA COURT,-,N096011,Assisted Living Facility,633 E MAIN STREET,MULVANE,SUMNER,KS,67110,316-777-9917
MARION ASSISTED LIVING COMMUNITY LLC,MARION ASSISTED LIVING LLC,N057007,Assisted Living Facility,200 N EISENHOWER DR,MARION,MARION,KS,66861,620-382-3000
MARQUIS PLACE,-,N015008,Assisted Living Facility,205 W 21ST STREET,CONCORDIA,CLOUD,KS,66901,785-243-2255
MCCRITE RETIREMENT ASSISTED LIVING,-,N089047,Assisted Living Facility,1608 SW 37TH STREET,TOPEKA,SHAWNEE,KS,66611-2564,785-267-2960
MEMORIAL LIVING CENTER,-,N094001,Assisted Living Facility,102 E LANE DR,JOHNSON,STANTON,KS,67855,620-492-2356
MENNONITE FRIENDSHIP COMMUNITIES INC,-,N078005,Nursing Facility Assisted Living Facility,600 W BLANCHARD AVE,SOUTH HUTCHINSON,RENO,KS,67505-1526,620-663-7175
MIDLAND CARE AT LINNWOOD PARK,-,N044005,Assisted Living FacilityHome Plus,1509 LINN ST,VALLEY FALLS,JEFFERSON,KS,66088-1185,785-945-3634
MOC WICHITA LLC,THE HEALTHCARE RESORT OF WICHITA,N087084,Nursing Facility Assisted Living Facility,7057 WEST VILLAGE CIRCLE,WICHITA,SEDGWICK,KS,67205,316-977-7015
MONTEREY VILLAGE,-,N023022,Assisted Living Facility,3901 PETERSON ROAD,LAWRENCE,DOUGLAS,KS,66049,573-471-1113
MORNINGSTAR CARE HOMES OF FREDONIA,-,N103004,Assisted Living Facility,2111 E. WASHINGTON STREET,FREDONIA,WILSON,KS,66736-1759,785-594-2603
MORNINGSTAR CARE HOMES OF NEODESHA,-,N103005,Assisted Living Facility,400 FIR STREET,NEODESHA,WILSON,KS,66757-1298,785-594-2603
PARAMOUNT COMMUNITY LIVING AND REHAB INC,-,N040002,Nursing Facility Assisted Living Facility Residential Health Care Facility,200 SW 14TH STREET,NEWTON,HARVEY,KS,67114,316-283-4770
PARK MEADOWS SENIOR LIVING,-,N046077,Assisted Living Facility,5901 W. 107TH STREET,OVERLAND PARK,JOHNSON,KS,66207-3851,913-901-8200
PARK WEST PLAZA,-,N087046,Nursing Facility STATE ONLY Assisted Living Facility,505 N. MAIZE ROAD,WICHITA,SEDGWICK,KS,67212,316-729-4114
PARKSIDE HOMES,-,N057004,Nursing Facility Assisted Living Facility,200 WILLOW ROAD,HILLSBORO,MARION,KS,67063-1904,620-947-2301
PARKWOOD VILLAGE,-,N076003,Assisted Living Facility,401 ROCHESTER,PRATT,PRATT,KS,67124-2900,620-672-5541
PETERSON ASSISTED LIVING LLC,PETERSON ASSISTED LIVING,N070007,Assisted Living Facility,629 HOLLIDAY STREET,OSAGE CITY,OSAGE,KS,66523-1138,785-528-3301
PHILLIPS COUNTY RETIREMENT CENTER,-,N074003,Nursing Facility Assisted Living Facility,"1300 STATE STREET, PO BOX 628",PHILLIPSBURG,PHILLIPS,KS,67661-628,785-543-2131
PIONEER RIDGE RETIREMENT COMMUNITY,-,N023019,Nursing Facility Assisted Living Facility,4851 HARVARD ROAD,LAWRENCE,DOUGLAS,KS,66049-3964,785-749-2000
PRAIRIE HOMESTEAD ASSISTED LIVING,-,N087062,Assisted Living Facility,1601 W. MAY STREET,WICHITA,SEDGWICK,KS,67213,316-263-8264
PRAIRIE MISSION RETIREMENT VILLAGE,-,N067007,Nursing Facility Assisted Living Facility,242 CARROLL STREET,SAINT PAUL,NEOSHO,KS,66771-9802,620-449-2400
PRAIRIE SUNSET HOME,-,N078017,Nursing Facility Assisted Living Facility,601 E. MAIN STREET,PRETTY PRAIRIE,RENO,KS,67570,620-459-6822
PRESBYTERIAN MANORS INC,EMPORIA PRESBYTERIAN MANOR,N056006,Nursing Facility Assisted Living Facility,2300 INDUSTRIAL ROAD,EMPORIA,LYON,KS,66801-6636,620-343-2613
PRESBYTERIAN MANORS INC,SALINA PRESBYTERIAN MANOR,N085005,Nursing Facility Residential Health Care Facility Assisted Living Facility,2601 E. CRAWFORD STREET,SALINA,SALINE,KS,67401-3791,785-825-1366
PRESBYTERIAN MANORS INC,ABERDEEN VILLAGE,N046057,Nursing Facility Assisted Living Facility,17500 W 119TH STREET,OLATHE,JOHNSON,KS,66061,913-599-6100
PRESBYTERIAN MANORS INC,NEWTON PRESBYTERIAN MANOR,N040005,Nursing Facility Assisted Living Facility,1200 E. 7TH STREET,NEWTON,HARVEY,KS,67114-2862,316-283-5400
PRESBYTERIAN MANORS INC,MANOR OF THE PLAINS,N029005,Nursing Facility Assisted Living Facility,200 CAMPUS DR,DODGE CITY,FORD,KS,67801-2706,620-225-1928
PRESBYTERIAN MANORS INC,PARSONS PRESBYTERIAN MANOR,N050005,Nursing Facility Assisted Living Facility,3501 DIRR AVENUE,PARSONS,LABETTE,KS,67357-2298,620-421-1450
PRESBYTERIAN MANORS INC,ARKANSAS CITY PRESBYTERIAN MANOR,N018008,Nursing Facility Assisted Living Facility,1711 N. 4TH STREET,ARKANSAS CITY,COWLEY,KS,67005-1607,620-442-8700
PRESBYTERIAN MANORS INC,FORT SCOTT PRESBYTERIAN VILLAGE,N006005,Assisted Living Facility,2401 S HORTON STREET,FORT SCOTT,BOURBON,KS,66701-3196,620-223-5550
PRESBYTERIAN MANORS INC,WICHITA PRESBYTERIAN MANOR,N087023,Nursing Facility Residential Health Care Facility Assisted Living Facility,4700 W. 13TH STREET NORTH,WICHITA,SEDGWICK,KS,67212-5599,316-942-7456
RANCH HOUSE SENIOR LIVING LLC,-,N028005,Nursing Facility Assisted Living Facility,2900 N CAMPUS DR,GARDEN CITY,FINNEY,KS,67846,620-371-4700
REDBUD PLAZA ASSISTED LIVING,-,N075007,Assisted Living Facility,205 W 9TH STREET,ONAGA,POTTAWATOMIE,KS,66521,785-889-4142
REFLECTION RETIREMENT RESORT LLC,-,B085009,Assisted Living Facility,626 S 3RD STREET,SALINA,SALINE,KS,67401,785-825-8183
REGENT PARK ASSISTED LIVING AND MEMORY CARE,-,N087069,Assisted Living Facility,10600 E 13TH STREET NORTH,WICHITA,SEDGWICK,KS,67206,316-337-5400
RIVER BEND ASSISTED LIVING,-,N005006,Assisted Living Facility,3820 BROADWAY,GREAT BEND,BARTON,KS,67530,620-792-7017
ROLLING HILLS ASSISTED LIVING APARTMENTS,-,N089036,Assisted Living Facility,2410 SW URISH ROAD,TOPEKA,SHAWNEE,KS,66614-4347,785-273-2202
ROOKS CO SENIOR SERVICES INC,REDBUD VILLAGE,N082001,Nursing Facility Assisted Living Facility,1000 S WASHINGTON STREET,PLAINVILLE,ROOKS,KS,67663-3699,785-434-4536
ROSE ESTATES ASSISTED LIVING COMMUNITY,-,N046060,Assisted Living Facility,12700 ANTIOCH ROAD,OVERLAND PARK,JOHNSON,KS,66213-2723,913-825-9600
SANDSTONE HEIGHTS NURSING HOME,-,N080002,Nursing Facility Assisted Living Facility,440 STATE STREET,LITTLE RIVER,RICE,KS,67457,620-897-6266
SCHOWALTER VILLA,-,N040006,Nursing Facility Assisted Living Facility,200 W. CEDAR,HESSTON,HARVEY,KS,67062,620-327-3400
SEDGWICK PLAZA,-,N087033,Assisted Living Facility,2455 N. WOODLAWN STREET,WICHITA,SEDGWICK,KS,67220-3950,316-687-3741
SILVERCREST AT COLLEGE VIEW,-,N046094,Assisted Living Facility Residential Health Care Facility,13600 WEST 110TH TERRACE,LENEXA,JOHNSON,KS,66215,913-915-6041
SILVERCREST AT DEER CREEK,-,N046070,Assisted Living Facility,13060 S. METCALF AVENUE,OVERLAND PARK,JOHNSON,KS,66213-2618,913-681-1101
SLCG BASEHOR LLC,COUNTRY PLACE SENIOR LIVING OF BASEHOR,N052009,Assisted Living Facility,15707 PINEHURST DRIVE,BASEHOR,LEAVENWORTH,KS,66007,913-662-7330
SLCG BELLEVILLE LLC,COUNTRY PLACE SENIOR LIVING OF BELLEVILLE,N079003,Assisted Living Facility,530 23RD STREET,BELLEVILLE,REPUBLIC,KS,66935,785-527-5300
SLCG HOISINGTON LLC,COUNTRY PLACE SENIOR LIVING OF HOISINGTON,N005007,Assisted Living Facility,259 W 6TH STREET,HOISINGTON,BARTON,KS,67544-2014,620-653-4121
SLCG SENECA LLC,COUNTRY PLACE SENIOR LIVING OF SENECA,N066008,Assisted Living Facility,1700 COMMUNITY DRIVE,SENECA,NEMAHA,KS,66538,785-336-6868
SNH TOTO TENANT LLC,BRANDON WOODS AT ALVAMAR,N023009,Nursing Facility Assisted Living Facility Residential Health Care Facility,1501 INVERNESS DR.,LAWRENCE,DOUGLAS,KS,66047-1825,785-838-8000
STONEYBROOK ASSISTED LIVING,-,N081007,Assisted Living Facility,2029 LITTLE KITTEN AVENUE,MANHATTAN,RILEY,KS,66503-7545,785-537-1065
STONEYBROOK RETIREMENT COMMUNITY,-,N081005,Nursing Facility Assisted Living Facility,2025 LITTLE KITTEN AVENUE,MANHATTAN,RILEY,KS,66503-7545,785-776-0065
STRATFORD COMMONS MEMORY CARE COMMUNITY,-,N046045,Assisted Living Facility,12340 QUIVIRA ROAD,OVERLAND PARK,JOHNSON,KS,66213-2408,913-851-0215
SUNRISE ASSISTED LIVING OF LEAWOOD,-,N046072,Assisted Living Facility Residential Health Care Facility,11661 GRANADA AVENUE,LEAWOOD,JOHNSON,KS,66211,913-906-0200
