State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Email Address,Phone Number,License Number,Date Accessed
ADULT RESIDENTIAL CARE,Chateau De Notre Dame Assisted Living-Level 3 ,2820 BURDETTE STREET ,New Orleans,LA,70125,Orleans,acedor@arch-no.org,(504) 866-2741,14259,6/25/21
ADULT RESIDENTIAL CARE,Christwood Retirement Community - Level 3,100 CHRISTWOOD BLVD.,Covington,LA,70433,St. Tammany,athompson@christwoodrc.com,(985) 898-0515,2203783013,6/25/21
ADULT RESIDENTIAL CARE,Christwood-Level 4 ,100 CHRISTWOOD BOULEVARD ,Covington,LA,70433,St. Tammany,jball@christwoodrc.com,(985) 292-1224,2203781597,6/25/21
ADULT RESIDENTIAL CARE,"Courtyard Retirement & Assisted Living, Inc.-Level 3",308 SIDNEY MARTIN ROAD ,Lafayette,LA,70507,Lafayette,nick@courtyard306and308.com,(337) 237-3040,13143,6/25/21
ADULT RESIDENTIAL CARE,Creole Cottage Residential Care Home - Level 1,29506 STICKER BAY ROAD,Lacombe,LA,70445,St. Tammany,creolecottage@gmail.com,(504) 931-3206,2203784389,6/25/21
ADULT RESIDENTIAL CARE,Eastridge Senior Living Suites-Level 3 ,2309 RICHARD STREET ,Abbeville,LA,70510,Vermilion,aleblanc@elderoutreach.com,(337) 898-1944,2203782576,6/25/21
ADULT RESIDENTIAL CARE,Fidelis Care I-Level 1 ,916 MARTIN BEHRMAN WALK ,Metairie,LA,70005,Jefferson,judy@fideliscaregroup.com,(504) 606-3143,11625,6/25/21
ADULT RESIDENTIAL CARE,Fidelis Care Ii - Level1,4000 KENT AVENUE ,Metairie,LA,70006,Jefferson,judy@fideliscaregroup.com,(504) 218-7951,12160,6/25/21
ADULT RESIDENTIAL CARE,Fidelis Care Iii-Level 1 ,1732 SHERWOOD FOREST BLVD. ,Baton Rouge,LA,70815,East Baton Rouge,rachelle@fideliscaregroup.com,(225) 636-5524,13723,6/25/21
ADULT RESIDENTIAL CARE,Fidelis Care Iv-Level 1 ,4801 TARTAN STREET ,Metairie,LA,70003,Jefferson,judy@fideliscaregroup.com,(504) 304-7862,13442,6/25/21
ADULT RESIDENTIAL CARE,"Fidelis Care V, Llc- Level 1 ",6543 E. ANCHORD ROAD ,Baton Rouge,LA,70817,East Baton Rouge,rachelle@fideliscaregroup.com,(225) 771-8569,14669,6/25/21
ADULT RESIDENTIAL CARE,Fidelis Janice House Llc - Level 2,4421 JANICE STREET,Metairie,LA,70003,Jefferson,judy@fideliscaregroup.com,(504) 309-5525,2203782065,6/25/21
ADULT RESIDENTIAL CARE,"Fidelis King Richard, Llc - Level 2",11710 KING RICHARD DRIVE,Baton Rouge,LA,70815,East Baton Rouge,rachelle@fideliscaregroup.com,(225) 251-3595,2203784505,6/25/21
ADULT RESIDENTIAL CARE,Fidelis Northshore I-Level 2 ,5011 SHARP ROAD,Mandeville,LA,70471,St. Tammany,rachelle@fideliscaregroup.com,(985) 778-2190,2203781167,6/25/21
ADULT RESIDENTIAL CARE,Fidelis Northshore Ii - Level 2,2045 OLENE DRIVE,Mandeville,LA,70448,St. Tammany,rachelle@fideliscaregroup.com,(985) 951-2147,2203783330,6/25/21
ADULT RESIDENTIAL CARE,Fidelis Scofield House Llc - Level 2,3721 SCOFIELD STREET,Metairie,LA,70002,Jefferson,judy@fideliscaregroup.com,(504) 304-2672,2203782813,6/25/21
ADULT RESIDENTIAL CARE,Fidelis White Road - Level 2 ,10359 WHITE ROAD ,Denham Springs,LA,70726,Livingston,rachelle@fideliscaregroup.com,(225) 271-4663,2203781366,6/25/21
ADULT RESIDENTIAL CARE,Francois Bend - Level 3,326 EAST INDUSTRY STREET,Gonzales,LA,70737,Ascension,nichole@francoisbend.com,(225) 647-2363,2203784064,6/25/21
ADULT RESIDENTIAL CARE,Garden View Assisted Living-Level 3 ,1000 DARBY LANE,New Iberia,LA,70560,Iberia,niltong@gardenview.org,(337) 364-2266,8878,6/25/21
ADULT RESIDENTIAL CARE,Garden View Assisted Living-Level 3,601 VEROT SCHOOL ROAD ,Lafayette,LA,70508,Lafayette,kimberlyb@gardenview.org,(337) 237-5542,9625,6/25/21
ADULT RESIDENTIAL CARE,Garden View Of Baton Rouge-Level 2 ,3130 JONES CREEK ROAD,Baton Rouge,LA,70816,East Baton Rouge,nicolea@gardenview.org,(225) 706-0037,2203782569,6/25/21
ADULT RESIDENTIAL CARE,Harvard House-Level 1,4012 HARVARD AVE.,Metairie,LA,70006,Jefferson,stahlsp@bellsouth.net,(504) 884-1063,2203782826,6/25/21
ADULT RESIDENTIAL CARE,Haven At Windermere 1 & 2 (The)Level 3 ,8225 YMCA PLAZA DRIVE ,Baton Rouge,LA,70810,East Baton Rouge,elkinst@gmail.com,(225) 769-9996,6715,6/25/21
ADULT RESIDENTIAL CARE,Henican House-Level 1 ,5511 MEADOWDALE STREET,Metairie,LA,70003,Jefferson,jasonhemel@gmail.com,(504) 259-0326,2203781272,6/25/21
ADULT RESIDENTIAL CARE,Holly Court Assisted Living And Memory Care - Level 3 ,8585 SUMMA AVENUE ,Baton Rouge,LA,70808,East Baton Rouge,rbridges@arkpostacute.com,(225) 767-7877,2203784811,6/25/21
ADULT RESIDENTIAL CARE,"Homelife In The Gardens, Llc.-Level 3 ",1101 ALINE STREET ,New Orleans,LA,70115,Orleans,executivedirector@homelifegardens.com,(504) 894-6100,2203781553,6/25/21
ADULT RESIDENTIAL CARE,Homestead Assisted Living -Level 3,1132 COTTAGE DRIVE ,Houma,LA,70360,Terrebonne,thehomesteadassistedliving@gmail.com,(985) 223-4663,9918,6/25/21
ADULT RESIDENTIAL CARE,Honeysuckle House-Level 1 ,824 HONEYSUCKLE STREET,Gretna,LA,70056,Jefferson,jasonhemel@gmail.com,(504) 259-0326,2203781140,6/25/21
ADULT RESIDENTIAL CARE,House Of Destiny - Level 1,2351 & 2353 JEFFERSON AVENUE,Baton Rouge,LA,70802,East Baton Rouge,metamorphosisgh@yahoo.com,(225) 383-1422,2203783709,6/25/21
ADULT RESIDENTIAL CARE,"House Of Grace, L.L.C. - Level 1",32956 HWY 16,Denham Springs,LA,70706,Livingston,mdehlin@cox.net,(225) 271-4445,2203781097,6/25/21
ADULT RESIDENTIAL CARE,Inspired Living At Kenner - Level 3,3801 LOYOLA DRIVE,Kenner,LA,70065,Jefferson,regulatory@validusseniorliving.com,(504) 313-6600,2203783238,6/25/21
ADULT RESIDENTIAL CARE,La Plantation Retirement Community -Level 3,26635 LA HIGHWAY 16 ,Denham Springs,LA,70726,Livingston,msharp@plantationmgt.com,(225) 667-1484,6024,6/25/21
ADULT RESIDENTIAL CARE,Lacour House-Level 3 ,345 MAJOR PARKWAY,New Roads,LA,70760,Pointe Coupee,alacombe@lacourhouse.com,(225) 638-7050,2203782343,6/25/21
ADULT RESIDENTIAL CARE,Lafreniere Assisted Living And Memory Care-Level 3 ,6555 PARK MANOR DRIVE ,Metairie,LA,70003,Jefferson,edatrium@atriumal.com,(504) 454-6635,2203784814,6/25/21
ADULT RESIDENTIAL CARE,Lake Villa House-Level 1 ,4212 LAKE VILLA DRIVE ,Metairie,LA,70002,Jefferson,stahlsp@bellsouth.net,(504) 884-1063,14696,6/25/21
ADULT RESIDENTIAL CARE,"Laketown Village, Residential Care & Memory Care - Level 3 ",1600 JOE YENNI BOULEVARD ,Kenner,LA,70065,Jefferson,tcopeland@pegasusseniorliving.com,(504) 467-1000,2203784133,6/25/21
ADULT RESIDENTIAL CARE,Lakeview House-Level 1,858 MOUTON STREET ,New Orleans,LA,70124,Orleans,jasonhemel@gmail.com,(504) 259-0326,2122,6/25/21
ADULT RESIDENTIAL CARE,Lambeth House Assisted Living -Level 3,150 BROADWAY STREET ,New Orleans,LA,70118,Orleans,ddominguez@lambethhouse.com,(504) 865-1960,10565,6/25/21
ADULT RESIDENTIAL CARE,"Magnolia Assisted Living, Llc - Level 3",1604 S. BURNSIDE AVENUE ,Gonzales,LA,70737,Ascension,tduhon@magnoliaseniorliving.com,(225) 647-8400,14875,6/25/21
ADULT RESIDENTIAL CARE,Magnolia Brook On Siegen Lane - Level 3,9394 SIEGEN LANE,Baton Rouge,LA,70810,East Baton Rouge,executivedirector@magnoliabrookassistedliving.com,(225) 778-7111,2203784329,6/25/21
ADULT RESIDENTIAL CARE,Magnolia Care Center Veterans Home - Level 1,16950 FLORIDA BLVD. ,Baton Rouge,LA,70819,East Baton Rouge,magnoliacarecenter@gmail.com,(225) 273-7274,14334,6/25/21
ADULT RESIDENTIAL CARE,Maison Bienvenue Senior Living Center,152 PERCY BROWN RD.,Thibodaux,LA,70301,Lafourche,maisonbienvenue.adm@nexion-health.com,(985) 279-0101,2203784803,6/25/21
ADULT RESIDENTIAL CARE,Maison De Fleur Assisted Living - Level 3,559 RUSHING RD WEST,Denham Springs,LA,70726,Livingston,sally.king@mdf-sl.com,(225) 238-1919,2203783054,6/25/21
ADULT RESIDENTIAL CARE,Maison Des Amis - Level 2,1050 CONVENTION STREET,Baton Rouge,LA,70802,East Baton Rouge,maisondesami@gmail.com,(225) 343-3827,2203784114,6/25/21
ADULT RESIDENTIAL CARE,Maison Jardin Senior Living Community -Level 3,516 RODERICK STREET ,Morgan City,LA,70380,St. Mary,maisonjardin.adm@nexion-health.com,(985) 385-3003,2203782492,6/25/21
ADULT RESIDENTIAL CARE,Maison Oaks Assisted Living-Level 3 ,504 WEST FIFTH STREET ,Laplace,LA,70068,St. John The Baptist,kconnor@twinoaksnh.com,(985) 653-8858,6368,6/25/21
ADULT RESIDENTIAL CARE,Marigold Place - Level 3,5723 JACKSON STREET ,Alexandria,LA,71303,Rapides,legalhelp@enlivant.com,(318) 449-8999,2203781715,6/25/21
ADULT RESIDENTIAL CARE,Montclair Park Assisted Living- Level 3,9100 EAST KINGS HIGHWAY ,Shreveport,LA,71115,Caddo,jordan@montclair-park.com,(318) 797-1114,7232,6/25/21
ADULT RESIDENTIAL CARE,Natchitoches Assisted Living-Level 3 ,1907 SOUTH DRIVE ,Natchitoches,LA,71457,Natchitoches,angie.ingram@nrmchospital.org,(318) 356-0016,13696,6/25/21
ADULT RESIDENTIAL CARE,Oak House Assisted Living - Level 3,5354 MAGAZINE ST. ,New Orleans,LA,70115,Orleans,obelonga@poydrashome.com,(504) 897-0535,2203781741,6/25/21
ADULT RESIDENTIAL CARE,Oak Park Village At Hammond -Level 3,17010 OLD COVINGTON HIGHWAY ,Hammond,LA,70403,Tangipahoa,hroberson@prioritylc.com,(985) 345-8787,2203782188,6/25/21
ADULT RESIDENTIAL CARE,Oak Park Village Of Slidell -Level 3,2200 GAUSE BOULEVARD ,Slidell,LA,70461,St. Tammany,hroberson@prioritylc.com,(985) 781-4545,2203782189,6/25/21
ADULT RESIDENTIAL CARE,"Oakmont Estate, Llc -Level 3",204 COCOVILLE ROAD ,Mansura,LA,71350,Avoyelles,jesslynnloughman@gmail.com,(318) 240-7424,7916,6/25/21
ADULT RESIDENTIAL CARE,Oakwood Village -Level 3,4400 MCHUGH ROAD ,Zachary,LA,70791,East Baton Rouge,acioffi@traditionsmanagement.net,(225) 658-8888,2203782956,6/25/21
ADULT RESIDENTIAL CARE,Old Metairie Gardens I - Level 1,344 LAKE AVE,Metairie,LA,70005,Jefferson,kellymariedonlan@gmail.com,(504) 259-0326,2203784176,6/25/21
ADULT RESIDENTIAL CARE,Old Metairie Gardens Ii - Level 1,348 LAKE AVE,Metairie,LA,70005,Jefferson,kellymariedonlan@gmail.com,(504) 259-0326,2203784177,6/25/21
ADULT RESIDENTIAL CARE,Our House For Respite Inc. - Level 1,2967 CARMEN DRIVE ,Baton Rouge,LA,70809,East Baton Rouge,hyoung@ohfrinc.net,(225) 776-0135,2123,6/25/21
ADULT RESIDENTIAL CARE,Our House For Respite-Level 1,58765 DELACROIX AVE. ,Plaquemine,LA,70764,Iberville,hyoung@ohfrinc.net,(225) 776-0135,14316,6/25/21
ADULT RESIDENTIAL CARE,Park Provence - Level 3,1925 POSSUM HOLLOW DRIVE,Slidell,LA,70458,St. Tammany,susan@parkprovence.com,(985) 781-0072,2203782060,6/25/21
ADULT RESIDENTIAL CARE,Peristyle Lake Louise-Level 1,4613 LAKE LOUISE AVENUE,Metairie,LA,70006,Jefferson,maggiemsewell@gmail.com,(504) 259-0326,2203782607,6/25/21
ADULT RESIDENTIAL CARE,Peristyle Metairie Heights Llc-Level 1,2701 METAIRIE HEIGHTS AVE.,Metairie,LA,70002,Jefferson,jasonhemel@gmail.com,(504) 259-0326,2203781951,6/25/21
ADULT RESIDENTIAL CARE,Peristyle Richland Llc-Level 1 ,3521 RICHLAND AVE,Metairie,LA,70002,Jefferson,kellymariedonlan@gmail.com,(504) 259-0326,2203782270,6/25/21
ADULT RESIDENTIAL CARE,Pines Retirement Center Of Baton Rouge-Level 3 ,14686 OLD HAMMOND HIGHWAY ,Baton Rouge,LA,70816,East Baton Rouge,ed@pinesbatonrouge.com,(225) 272-9339,2203784818,6/25/21
ADULT RESIDENTIAL CARE,Regency House Of Alexandria-Level 3 ,5131 MASONIC DRIVE,Alexandria,LA,71301,Rapides,psmall@steedcare.com,(318) 445-8343,2203782656,6/25/21
ADULT RESIDENTIAL CARE,Restoration Senior Living Of Covington - Level 3,1444 ANDREW DR.,Covington,LA,70433,St. Tammany,lauren@restorationsl.com,(985) 317-6750,2203784357,6/25/21
ADULT RESIDENTIAL CARE,River Oaks Estate-Level 2 ,9475 PETIT ROAD ,Baker,LA,70714,East Baton Rouge,johnsonl@optionsfoundation.com,(225) 778-0042,10513,6/25/21
ADULT RESIDENTIAL CARE,Rosemont Assisted Living Community Of West Monroe-Level 3,110 REGENCY PLACE ,West Monroe,LA,71291,Ouachita,khayes@omegasrliving.com,(318) 329-1021,6028,6/25/21
ADULT RESIDENTIAL CARE,Rosewood Assisted Living -Level 3,203 RUE FONTAINE DRIVE ,Lafayette,LA,70508,Lafayette,khays@omegasrliving.com,(337) 981-0333,2203784276,6/25/21
ADULT RESIDENTIAL CARE,Russ Place - Level 3,165 JEFFERSON AVENUE ,Ruston,LA,71270,Lincoln,legalhelp@enlivant.com,(318) 251-9068,2203781721,6/25/21
ADULT RESIDENTIAL CARE,Savannah At The Oaks - Level 3,651 LAKE ELEANOR WAY ,Shreveport,LA,71115,Caddo,rmyers@wkhs.com,(318) 212-2300,2110,6/25/21
ADULT RESIDENTIAL CARE,Savannah Court Of Bastrop-Level 3 ,10280 BOSWELL STREET ,Bastrop,LA,71220,Morehouse,urubin@slm.net,(318) 283-4238,2203782249,6/25/21
ADULT RESIDENTIAL CARE,Savannah Court Of Minden-Level 3 ,619 GERMANTOWN ROAD ,Minden,LA,71055,Webster,urubin@slm.net,(318) 382-0402,2203782252,6/25/21
ADULT RESIDENTIAL CARE,Savannah Grand Of Bossier City- Level 3 ,4770 BRANDON BLVD,Bossier City,LA,71111,Bossier,urubin@slm.net,(318) 549-1001,2203782248,6/25/21
ADULT RESIDENTIAL CARE,Savannah Grand Of West Monroe-Level 3 ,3702 CYPRESS STREET ,West Monroe,LA,71291,Ouachita,urubin@slm.net,(318) 397-2220,2203782253,6/25/21
ADULT RESIDENTIAL CARE,Schouest House - Level 1,7004 SCHOUEST ST. ,Metairie,LA,70003,Jefferson,stahlsp@bellsouth.net,(504) 884-1063,13945,6/25/21
ADULT RESIDENTIAL CARE,Serenity Senior Residence 2-Level 2 ,817 AURORA AVENUE ,Metairie,LA,70005,Jefferson,serenityres2@cox.net,(504) 481-4357,2114,6/25/21
ADULT RESIDENTIAL CARE,Serenity Senior Residences - Level 3,3949 MEADOWDALE ST. ,Metairie,LA,70002,Jefferson,serenityres2@cox.net,(504) 495-5522,13980,6/25/21
ADULT RESIDENTIAL CARE,Shekinah Glory - Level 2,3613 GOVERNMENT STREET ,Baton Rouge,LA,70806,East Baton Rouge,shekinah3613@gmail.com,(225) 250-5260,14542,6/25/21
ADULT RESIDENTIAL CARE,Southern Pines Retirement Community/ The Mclynn - Level 3,13603 MINTON LANE ,Walker,LA,70785,Livingston,msharp@plantationmgt.com,(225) 664-9423,5254,6/25/21
ADULT RESIDENTIAL CARE,Southside Gardens Assisted Living Center-Level 3 ,4536 PERKINS ROAD ,Baton Rouge,LA,70808,East Baton Rouge,sp.southsidegardens03@gmail.com,(225) 928-1600,5683,6/25/21
ADULT RESIDENTIAL CARE,Southwind Senior Living Suites-Level 3,626 CROWLEY/RAYNE HIGHWAY ,Crowley,LA,70526,Acadia,jsignorelli@elderoutreach.com,(337) 788-1113,14047,6/25/21
ADULT RESIDENTIAL CARE,St Anthony''''S Garden - Level 3,601 HOLY TRINITY DRIVE,Covington,LA,70433,St. Tammany,iblundell@stag-ano.org,(985) 605-5950,2203782960,6/25/21
ADULT RESIDENTIAL CARE,St Francis Villa Assisted Living-Level 3 ,10411 JEFFERSON HIGHWAY ,River Ridge,LA,70123,Jefferson,jrive@stfrancisvilla.com,(504) 738-1060,5391,6/25/21
ADULT RESIDENTIAL CARE,St. James Place Of Baton Rouge - Level 3,333 LEE DRIVE ,Baton Rouge,LA,70808,East Baton Rouge,anelson@stjamesplace.org,(225) 215-4500,4647,6/25/21
ADULT RESIDENTIAL CARE,St. Joseph Assisted Living Center,2299 STERLINGTON ROAD ,Monroe,LA,71203,Ouachita,sbryant@cantexcc.com,(318) 325-9459,2203784608,6/25/21
ADULT RESIDENTIAL CARE,St. Joseph Manor - Level 3,1201 CARDINAL DRIVE ,Thibodaux,LA,70301,Lafourche,benb@stjosephmanor.org,(985) 446-9050,2224,6/25/21
ADULT RESIDENTIAL CARE,St. Michael''''S Assisted Living Ii - Level 1,318 TRANSCONTINENTAL DRIVE,Metairie,LA,70001,Jefferson,jwright@assistedlivingsm.com,(504) 644-4324,2203783563,6/25/21
ADULT RESIDENTIAL CARE,St. Michael''S Assisted Living - Level 1,314 TRANSCONTINENTAL DRIVE,Metairie,LA,70001,Jefferson,jwright@assistedlivingsm.com,(504) 644-4324,2203783535,6/25/21
ADULT RESIDENTIAL CARE,Stonebridge Place-Level 3 ,1511 SOUTH HUNTINGTON STREET ,Sulphur,LA,70663,Calcasieu,sbdirector@paramounthcla.com,(337) 527-4433,2203784179,6/25/21
ADULT RESIDENTIAL CARE,Stoney Brook - Level 2,308 NORRIS LANE ,West Monroe,LA,71291,Ouachita,stoneybrookmc@comcast.net,(318) 396-3130,8316,6/25/21
ADULT RESIDENTIAL CARE,Summerfield Retirement Community - Level 3,4104 DAUPHINE STREET ,Slidell,LA,70458,St. Tammany,francine@lifeatsummerfield.com,(985) 646-4676,14879,6/25/21
ADULT RESIDENTIAL CARE,Summerfield Senior Living Of Hammond - Level 3,16170 E. MINNESOTA PARK ROAD,Hammond,LA,70403,Tangipahoa,administrator.hammond@lifeatsummerfield.com,(985) 345-6300,2203782979,6/25/21
ADULT RESIDENTIAL CARE,Sunrise At Siegen-Level 2,9351 SIEGEN LANE ,Baton Rouge,LA,70810,East Baton Rouge,siegen.ed@sunriseseniorliving.com,(225) 765-7538,14438,6/25/21
ADULT RESIDENTIAL CARE,Sunrise Of Metairie-Level 3 ,3732 WEST ESPLANADE AVE. ,Metairie,LA,70002,Jefferson,metairie.ed@sunriseseniorliving.com,(504) 889-9777,14242,6/25/21
ADULT RESIDENTIAL CARE,Sunrise Second Baton Rouge Assisted Living-Level 3 ,8502 JEFFERSON HIGHWAY ,Baton Rouge,LA,70809,East Baton Rouge,batonrouge.ed@sunriseseniorliving.com,(225) 932-9400,13392,6/25/21
ADULT RESIDENTIAL CARE,Terrebonne Place - Level 3,1163 MUSEUM DRIVE ,Houma,LA,70360,Terrebonne,legalhelp@enlivant.com,(985) 580-0620,2203781720,6/25/21
ADULT RESIDENTIAL CARE,The Arbor And Terrace Senior Center Of Ruston-Level 3,4518 HIGHWAY 80 EAST ,Ruston,LA,71270,Lincoln,muriel.ryder@klic.com,(318) 251-3116,2111,6/25/21
ADULT RESIDENTIAL CARE,The Azaleas Assisted Living At Woldenberg Village - Level 3,3701 BEHRMAN PLACE ,New Orleans,LA,70114,Orleans,bob.laster@lcmchealth.org,(504) 367-5640,8610,6/25/21
ADULT RESIDENTIAL CARE,The Blake At Bossier City - Level 3,2000 BLAKE BOULEVARD,Bossier City,LA,71111,Bossier,renee.matheny@blakeliving.com,(318) 752-6611,2203784004,6/25/21
ADULT RESIDENTIAL CARE,The Blake At Colonial Club - Level 3,7904 JEFFERSON HIGHWAY,Harahan,LA,70123,Jefferson,rebecca.jeffries@blakeseniorliving.com,(504) 737-7770,2203784794,6/25/21
ADULT RESIDENTIAL CARE,The Blake At Lafayette -Level 3,400 POLLY LANE,Lafayette,LA,70508,Lafayette,monah.folse@blakeliving.com,(337) 993-8898,2203782867,6/25/21
ADULT RESIDENTIAL CARE,The Blake At The Grove - Level 3,9511 CREEKVIEW DRIVE,Baton Rouge,LA,70836,East Baton Rouge,rick.watkins@blakeliving.com,(225) 424-6714,2203783426,6/25/21
ADULT RESIDENTIAL CARE,The Chateaus At Montclaire-Level 3 ,9200 EAST KINGS HIGHWAY,Shreveport,LA,71115,Caddo,jordan@montclair-park.com,(318) 213-0790,2203781600,6/25/21
ADULT RESIDENTIAL CARE,"The Claiborne At Shoe Creek, Llc - Level 3",9750 COURET DRIVE,Central,LA,70818,East Baton Rouge,mcrawford@theclaiborne.com,(225) 465-3769,2203784674,6/25/21
ADULT RESIDENTIAL CARE,The Claiborne At Thibodaux-Level 3 ,2495 TALBOT AVENUE,Thibodaux,LA,70301,Lafourche,rtalbot@theclaiborne.com,(985) 387-8088,2203782674,6/25/21
